,IOC,Breeding Range,Order,Family,Hungarian
5329,Myiozetetes granadensis,"MA, SA",PASSERIFORMES,Tyrannidae,szürkefejű bentévi
5330,Myiozetetes luteiventris,SA,PASSERIFORMES,Tyrannidae,Dusky-chested Flycatcher
5331,Pitangus sulphuratus,"NA, MA, SA",PASSERIFORMES,Tyrannidae,bentévi
5332,Philohydor lictor,"MA, SA",PASSERIFORMES,Tyrannidae,Lesser Kiskadee
5333,Conopias albovittatus,"MA, SA",PASSERIFORMES,Tyrannidae,koronás bentévi
5334,Conopias parvus,SA,PASSERIFORMES,Tyrannidae,Yellow-throated Flycatcher
5335,Conopias trivirgatus,SA,PASSERIFORMES,Tyrannidae,Three-striped Flycatcher
5336,Conopias cinchoneti,SA,PASSERIFORMES,Tyrannidae,Lemon-browed Flycatcher
5337,Myiodynastes hemichrysus,"MA, SA",PASSERIFORMES,Tyrannidae,Golden-bellied Flycatcher
5338,Myiodynastes chrysocephalus,SA,PASSERIFORMES,Tyrannidae,Golden-crowned Flycatcher
5339,Myiodynastes bairdii,SA,PASSERIFORMES,Tyrannidae,Baird's Flycatcher
5340,Myiodynastes luteiventris,"NA, MA",PASSERIFORMES,Tyrannidae,Sulphur-bellied Flycatcher
5341,Myiodynastes maculatus,"MA, SA",PASSERIFORMES,Tyrannidae,csíkos bentévi
5342,Megarynchus pitangua,"MA, SA",PASSERIFORMES,Tyrannidae,csónakcsőrű bentévi
5343,Tyrannopsis sulphurea,SA,PASSERIFORMES,Tyrannidae,Sulphury Flycatcher
5344,Empidonomus varius,SA,PASSERIFORMES,Tyrannidae,Variegated Flycatcher
5345,Griseotyrannus aurantioatrocristatus,SA,PASSERIFORMES,Tyrannidae,Crowned Slaty Flycatcher
5346,Tyrannus niveigularis,SA,PASSERIFORMES,Tyrannidae,Snowy-throated Kingbird
5347,Tyrannus albogularis,SA,PASSERIFORMES,Tyrannidae,White-throated Kingbird
5348,Tyrannus melancholicus,"NA, MA, SA",PASSERIFORMES,Tyrannidae,trópusi királygébics
5349,Tyrannus couchii,"NA, MA",PASSERIFORMES,Tyrannidae,Couch's Kingbird
5350,Tyrannus vociferans,"NA, MA",PASSERIFORMES,Tyrannidae,Cassin's Kingbird
5351,Tyrannus crassirostris,"NA, MA",PASSERIFORMES,Tyrannidae,Thick-billed Kingbird
5352,Tyrannus savana,"MA, SA",PASSERIFORMES,Tyrannidae,villásfarkú királygébics
5353,Rhytipterna simplex,SA,PASSERIFORMES,Tyrannidae,Greyish Mourner
5354,Rhytipterna immunda,SA,PASSERIFORMES,Tyrannidae,Pale-bellied Mourner
5355,Rhytipterna holerythra,"MA, SA",PASSERIFORMES,Tyrannidae,rozsdás siratómadár
5356,Sirystes sibilator,SA,PASSERIFORMES,Tyrannidae,Sibilant Sirystes
5357,Sirystes albocinereus,SA,PASSERIFORMES,Tyrannidae,White-rumped Sirystes
5358,Sirystes subcanescens,SA,PASSERIFORMES,Tyrannidae,Todd's Sirystes
5359,Sirystes albogriseus,"MA, SA",PASSERIFORMES,Tyrannidae,Choco Sirystes
5360,Casiornis rufus,SA,PASSERIFORMES,Tyrannidae,Rufous Casiornis
5361,Casiornis fuscus,SA,PASSERIFORMES,Tyrannidae,Ash-throated Casiornis
5362,Myiarchus semirufus,SA,PASSERIFORMES,Tyrannidae,Rufous Flycatcher
5363,Myiarchus yucatanensis,MA,PASSERIFORMES,Tyrannidae,Yucatan Flycatcher
5364,Myiarchus tuberculifer,"NA, MA, SA",PASSERIFORMES,Tyrannidae,feketefejű rozsdafarktirannusz
5365,Myiarchus swainsoni,SA,PASSERIFORMES,Tyrannidae,Swainson's Flycatcher
5366,Myiarchus venezuelensis,SA,PASSERIFORMES,Tyrannidae,Venezuelan Flycatcher
5367,Myiarchus panamensis,"MA, SA",PASSERIFORMES,Tyrannidae,Panama Flycatcher
5368,Myiarchus ferox,SA,PASSERIFORMES,Tyrannidae,Short-crested Flycatcher
5369,Myiarchus apicalis,SA,PASSERIFORMES,Tyrannidae,Apical Flycatcher
5370,Myiarchus cephalotes,SA,PASSERIFORMES,Tyrannidae,Pale-edged Flycatcher
5371,Myiarchus phaeocephalus,SA,PASSERIFORMES,Tyrannidae,Sooty-crowned Flycatcher
5372,Myiarchus cinerascens,"NA, MA",PASSERIFORMES,Tyrannidae,Ash-throated Flycatcher
5373,Myiarchus nuttingi,MA,PASSERIFORMES,Tyrannidae,nutting-rozsdafarktirannusz
5374,Myiarchus tyrannulus,"NA, MA, SA",PASSERIFORMES,Tyrannidae,fakó rozsdafarktirannusz
5375,Myiarchus magnirostris,SA,PASSERIFORMES,Tyrannidae,Galapagos Flycatcher
5376,Ramphotrigon megacephalum,SA,PASSERIFORMES,Tyrannidae,Large-headed Flatbill
5377,Ramphotrigon flammulatum,MA,PASSERIFORMES,Tyrannidae,Flammulated Flycatcher
5378,Ramphotrigon ruficauda,SA,PASSERIFORMES,Tyrannidae,Rufous-tailed Flatbill
5379,Ramphotrigon fuscicauda,SA,PASSERIFORMES,Tyrannidae,Dusky-tailed Flatbill
5380,Attila phoenicurus,SA,PASSERIFORMES,Tyrannidae,Rufous-tailed Attila
5381,Attila cinnamomeus,SA,PASSERIFORMES,Tyrannidae,Cinnamon Attila
5382,Attila torridus,SA,PASSERIFORMES,Tyrannidae,Ochraceous Attila
5383,Attila citriniventris,SA,PASSERIFORMES,Tyrannidae,Citron-bellied Attila
5384,Attila bolivianus,SA,PASSERIFORMES,Tyrannidae,White-eyed Attila
5385,Attila rufus,SA,PASSERIFORMES,Tyrannidae,Grey-hooded Attila
5386,Attila spadiceus,"MA, SA",PASSERIFORMES,Tyrannidae,sárgafarkú attila
5387,Ampelioides tschudii,SA,PASSERIFORMES,Cotingidae,Scaled Fruiteater
5388,Pipreola chlorolepidota,SA,PASSERIFORMES,Cotingidae,Fiery-throated Fruiteater
5389,Pipreola frontalis,SA,PASSERIFORMES,Cotingidae,Scarlet-breasted Fruiteater
5390,Pipreola formosa,SA,PASSERIFORMES,Cotingidae,pettyes gyümölcskotinga
5391,Pipreola whitelyi,SA,PASSERIFORMES,Cotingidae,Red-banded Fruiteater
5392,Pipreola lubomirskii,SA,PASSERIFORMES,Cotingidae,Black-chested Fruiteater
5393,Pipreola jucunda,SA,PASSERIFORMES,Cotingidae,Orange-breasted Fruiteater
5394,Pipreola pulchra,SA,PASSERIFORMES,Cotingidae,Masked Fruiteater
5395,Pipreola aureopectus,SA,PASSERIFORMES,Cotingidae,Golden-breasted Fruiteater
5396,Pipreola arcuata,SA,PASSERIFORMES,Cotingidae,szalagos gyümölcskotinga
5397,Pipreola intermedia,SA,PASSERIFORMES,Cotingidae,Band-tailed Fruiteater
5398,Pipreola riefferii,SA,PASSERIFORMES,Cotingidae,Green-and-black Fruiteater
5399,Snowornis subalaris,SA,PASSERIFORMES,Cotingidae,Grey-tailed Piha
5400,Snowornis cryptolophus,SA,PASSERIFORMES,Cotingidae,Olivaceous Piha
5401,Carpornis cucullata,SA,PASSERIFORMES,Cotingidae,Hooded Berryeater
5402,Carpornis melanocephala,SA,PASSERIFORMES,Cotingidae,Black-headed Berryeater
5403,Rupicola peruvianus,SA,PASSERIFORMES,Cotingidae,vörös szirtimadár
5404,Rupicola rupicola,SA,PASSERIFORMES,Cotingidae,tarajos szirtimadár
5405,Phoenicircus carnifex,SA,PASSERIFORMES,Cotingidae,skarlát kotinga
5406,Phoenicircus nigricollis,SA,PASSERIFORMES,Cotingidae,bársonykotinga
5407,Zaratornis stresemanni,SA,PASSERIFORMES,Cotingidae,barátkotinga
5408,Phytotoma rara,SA,PASSERIFORMES,Cotingidae,chilei kaszálómadár
5409,Phytotoma raimondii,SA,PASSERIFORMES,Cotingidae,perui kaszálómadár
5410,Phytotoma rutila,SA,PASSERIFORMES,Cotingidae,keskenycsőrű kaszálómadár
5411,Phibalura flavirostris,SA,PASSERIFORMES,Cotingidae,villásfarkú kotinga
5412,Phibalura boliviana,SA,PASSERIFORMES,Cotingidae,Palkachupa Cotinga
5413,Doliornis sclateri,SA,PASSERIFORMES,Cotingidae,Bay-vented Cotinga
5414,Doliornis remseni,SA,PASSERIFORMES,Cotingidae,Chestnut-bellied Cotinga
5415,Ampelion rubrocristatus,SA,PASSERIFORMES,Cotingidae,Red-crested Cotinga
5416,Ampelion rufaxilla,SA,PASSERIFORMES,Cotingidae,Chestnut-crested Cotinga
5417,Haematoderus militaris,SA,PASSERIFORMES,Cotingidae,vérkotinga
5418,Querula purpurata,"MA, SA",PASSERIFORMES,Cotingidae,bíbortorkú varjúkotinga
5419,Pyroderus scutatus,SA,PASSERIFORMES,Cotingidae,varjúkotinga
5420,Cephalopterus glabricollis,MA,PASSERIFORMES,Cotingidae,csupasznyakú sisakosmadár
5421,Cephalopterus penduliger,SA,PASSERIFORMES,Cotingidae,lebernyeges sisakosmadár
5422,Cephalopterus ornatus,SA,PASSERIFORMES,Cotingidae,díszes sisakosmadár
5423,Perissocephalus tricolor,SA,PASSERIFORMES,Cotingidae,kapucinusmadár
5424,Lipaugus unirufus,"MA, SA",PASSERIFORMES,Cotingidae,rozsdás piha
5425,Lipaugus streptophorus,SA,PASSERIFORMES,Cotingidae,Rose-collared Piha
5426,Lipaugus vociferans,SA,PASSERIFORMES,Cotingidae,lármás kotinga
5427,Lipaugus lanioides,SA,PASSERIFORMES,Cotingidae,Cinnamon-vented Piha
5428,Lipaugus ater,SA,PASSERIFORMES,Cotingidae,aranytükrös kotinga
5429,Lipaugus conditus,SA,PASSERIFORMES,Cotingidae,szürkeszárnyú kotinga
5430,Lipaugus weberi,SA,PASSERIFORMES,Cotingidae,Chestnut-capped Piha
5431,Lipaugus fuscocinereus,SA,PASSERIFORMES,Cotingidae,Dusky Piha
5432,Lipaugus uropygialis,SA,PASSERIFORMES,Cotingidae,kardszárnyú kotinga
5433,Procnias albus,SA,PASSERIFORMES,Cotingidae,csombókos harangozómadár
5434,Procnias tricarunculatus,MA,PASSERIFORMES,Cotingidae,lebernyeges harangozómadár
5435,Procnias nudicollis,SA,PASSERIFORMES,Cotingidae,kopasznyakú harangozómadár
5436,Procnias averano,SA,PASSERIFORMES,Cotingidae,araponga
5437,Cotinga maynana,SA,PASSERIFORMES,Cotingidae,Plum-throated Cotinga
5438,Cotinga cayana,SA,PASSERIFORMES,Cotingidae,türkizkotinga
5439,Cotinga amabilis,MA,PASSERIFORMES,Cotingidae,azúr kotinga
5440,Cotinga nattererii,"MA, SA",PASSERIFORMES,Cotingidae,Blue Cotinga
5441,Cotinga ridgwayi,MA,PASSERIFORMES,Cotingidae,panamai kotinga
5442,Cotinga maculata,SA,PASSERIFORMES,Cotingidae,kobaltkotinga
5443,Cotinga cotinga,SA,PASSERIFORMES,Cotingidae,bíborosmellű kotinga
5444,Porphyrolaema porphyrolaema,SA,PASSERIFORMES,Cotingidae,Purple-throated Cotinga
5445,Conioptilon mcilhennyi,SA,PASSERIFORMES,Cotingidae,Black-faced Cotinga
5446,Gymnoderus foetidus,SA,PASSERIFORMES,Cotingidae,Bare-necked Fruitcrow
5447,Xipholena punicea,SA,PASSERIFORMES,Cotingidae,Pompadour-kotinga
5448,Xipholena lamellipennis,SA,PASSERIFORMES,Cotingidae,White-tailed Cotinga
5449,Xipholena atropurpurea,SA,PASSERIFORMES,Cotingidae,fehérszárnyú kotinga
5450,Carpodectes hopkei,"MA, SA",PASSERIFORMES,Cotingidae,Black-tipped Cotinga
5451,Carpodectes antoniae,MA,PASSERIFORMES,Cotingidae,sárgacsőrű kotinga
5452,Carpodectes nitidus,MA,PASSERIFORMES,Cotingidae,hókotinga
5453,Tyranneutes stolzmanni,SA,PASSERIFORMES,Pipridae,Dwarf Tyrant-Manakin
5454,Tyranneutes virescens,SA,PASSERIFORMES,Pipridae,Tiny Tyrant-Manakin
5455,Neopelma chrysocephalum,SA,PASSERIFORMES,Pipridae,Saffron-crested Tyrant-Manakin
5456,Neopelma sulphureiventer,SA,PASSERIFORMES,Pipridae,Sulphur-bellied Tyrant-Manakin
5457,Neopelma pallescens,SA,PASSERIFORMES,Pipridae,Pale-bellied Tyrant-Manakin
5458,Neopelma aurifrons,SA,PASSERIFORMES,Pipridae,aranyhomlokú légykapópipra
5459,Neopelma chrysolophum,SA,PASSERIFORMES,Pipridae,Serra do Mar Tyrant-Manakin
5460,Chloropipo flavicapilla,SA,PASSERIFORMES,Pipridae,Yellow-headed Manakin
5461,Chloropipo unicolor,SA,PASSERIFORMES,Pipridae,Jet Manakin
5462,Antilophia bokermanni,SA,PASSERIFORMES,Pipridae,Araripe Manakin
5463,Antilophia galeata,SA,PASSERIFORMES,Pipridae,sisakos pipra
5464,Chiroxiphia linearis,MA,PASSERIFORMES,Pipridae,nyílfarkú pipra
5465,Chiroxiphia lanceolata,"MA, SA",PASSERIFORMES,Pipridae,Lance-tailed Manakin
5466,Chiroxiphia pareola,SA,PASSERIFORMES,Pipridae,kékhátú pipra
5467,Chiroxiphia boliviana,SA,PASSERIFORMES,Pipridae,Yungas Manakin
5468,Chiroxiphia caudata,SA,PASSERIFORMES,Pipridae,díszes pipra
5469,Ilicura militaris,SA,PASSERIFORMES,Pipridae,tűfarkú pipra
5470,Masius chrysopterus,SA,PASSERIFORMES,Pipridae,Golden-winged Manakin
5471,Corapipo gutturalis,SA,PASSERIFORMES,Pipridae,White-throated Manakin
5472,Corapipo altera,"MA, SA",PASSERIFORMES,Pipridae,fehértorkú pipra
5473,Corapipo leucorrhoa,SA,PASSERIFORMES,Pipridae,White-bibbed Manakin
5474,Xenopipo uniformis,SA,PASSERIFORMES,Pipridae,Olive Manakin
5475,Xenopipo atronitens,SA,PASSERIFORMES,Pipridae,fekete pipra
5476,Cryptopipo litae,"MA, SA",PASSERIFORMES,Pipridae,Choco Manakin
5477,Cryptopipo holochlora,SA,PASSERIFORMES,Pipridae,Green Manakin
5478,Lepidothrix velutina,"MA, SA",PASSERIFORMES,Pipridae,Velvety Manakin
5479,Lepidothrix coronata,SA,PASSERIFORMES,Pipridae,kékkoronás pipra
5480,Lepidothrix nattereri,SA,PASSERIFORMES,Pipridae,Snow-capped Manakin
5481,Lepidothrix vilasboasi,SA,PASSERIFORMES,Pipridae,Golden-crowned Manakin
5482,Lepidothrix iris,SA,PASSERIFORMES,Pipridae,opálpipra
5483,Lepidothrix suavissima,SA,PASSERIFORMES,Pipridae,Orange-bellied Manakin
5484,Lepidothrix serena,SA,PASSERIFORMES,Pipridae,White-fronted Manakin
5485,Lepidothrix isidorei,SA,PASSERIFORMES,Pipridae,Blue-rumped Manakin
5486,Lepidothrix coeruleocapilla,SA,PASSERIFORMES,Pipridae,Cerulean-capped Manakin
5487,Heterocercus aurantiivertex,SA,PASSERIFORMES,Pipridae,Orange-crested Manakin
5488,Heterocercus flavivertex,SA,PASSERIFORMES,Pipridae,Yellow-crested Manakin
5489,Heterocercus linteatus,SA,PASSERIFORMES,Pipridae,Flame-crested Manakin
5490,Manacus manacus,SA,PASSERIFORMES,Pipridae,barátpipra
5491,Manacus candei,MA,PASSERIFORMES,Pipridae,fehérnyakú barátpipra
5492,Manacus vitellinus,"MA, SA",PASSERIFORMES,Pipridae,aranyvörös pipra
5493,Manacus aurantiacus,MA,PASSERIFORMES,Pipridae,tüzesnyakú barátpipra
5494,Pipra aureola,SA,PASSERIFORMES,Pipridae,Crimson-hooded Manakin
5495,Pipra filicauda,SA,PASSERIFORMES,Pipridae,fátyolos pipra
5496,Pipra fasciicauda,SA,PASSERIFORMES,Pipridae,Band-tailed Manakin
5497,Machaeropterus deliciosus,SA,PASSERIFORMES,Pipridae,bunkósszárnyú pipra
5498,Machaeropterus regulus,SA,PASSERIFORMES,Pipridae,királykapipra
5499,Machaeropterus striolatus,SA,PASSERIFORMES,Pipridae,Striolated Manakin
5500,Machaeropterus eckelberryi,SA,PASSERIFORMES,Pipridae,Painted Manakin
5501,Machaeropterus pyrocephalus,SA,PASSERIFORMES,Pipridae,Fiery-capped Manakin
5502,Pseudopipra pipra,"MA, SA",PASSERIFORMES,Pipridae,fehérfejű pipra
5503,Ceratopipra cornuta,SA,PASSERIFORMES,Pipridae,Scarlet-horned Manakin
5504,Ceratopipra mentalis,"MA, SA",PASSERIFORMES,Pipridae,kárminsapkás pipra
5505,Ceratopipra chloromeros,SA,PASSERIFORMES,Pipridae,Round-tailed Manakin
5506,Ceratopipra erythrocephala,"MA, SA",PASSERIFORMES,Pipridae,Golden-headed Manakin
5507,Ceratopipra rubrocapilla,SA,PASSERIFORMES,Pipridae,Red-headed Manakin
5508,Oxyruncus cristatus,SA,PASSERIFORMES,Tityridae,élescsőrű madár
5509,Onychorhynchus coronatus,SA,PASSERIFORMES,Tityridae,koronás tirannusz
5510,Onychorhynchus mexicanus,"MA, SA",PASSERIFORMES,Tityridae,Northern Royal Flycatcher
5511,Onychorhynchus occidentalis,SA,PASSERIFORMES,Tityridae,Pacific Royal Flycatcher
5512,Onychorhynchus swainsoni,SA,PASSERIFORMES,Tityridae,Atlantic Royal Flycatcher
5513,Myiobius villosus,"MA, SA",PASSERIFORMES,Tityridae,Tawny-breasted Myiobius
5514,Myiobius sulphureipygius,"MA, SA",PASSERIFORMES,Tityridae,Sulphur-rumped Myiobius
5515,Myiobius barbatus,SA,PASSERIFORMES,Tityridae,Whiskered Myiobius
5516,Myiobius atricaudus,"MA, SA",PASSERIFORMES,Tityridae,Black-tailed Myiobius
5517,Terenotriccus erythrurus,"MA, SA",PASSERIFORMES,Tityridae,Ruddy-tailed Flycatcher
5518,Tityra inquisitor,"MA, SA",PASSERIFORMES,Tityridae,koronás titira
5519,Tityra cayana,SA,PASSERIFORMES,Tityridae,feketefarkú titira
5520,Tityra semifasciata,"MA, SA",PASSERIFORMES,Tityridae,álarcos titira
5521,Schiffornis major,SA,PASSERIFORMES,Tityridae,Varzea Schiffornis
5522,Schiffornis olivacea,SA,PASSERIFORMES,Tityridae,Guianan Schiffornis
5523,Schiffornis veraepacis,"MA, SA",PASSERIFORMES,Tityridae,Northern Schiffornis
5524,Schiffornis aenea,SA,PASSERIFORMES,Tityridae,Foothill Schiffornis
5525,Schiffornis stenorhyncha,"MA, SA",PASSERIFORMES,Tityridae,Russet-winged Schiffornis
5526,Schiffornis turdina,"MA, SA",PASSERIFORMES,Tityridae,rozsdás pipra
5527,Schiffornis virescens,SA,PASSERIFORMES,Tityridae,Greenish Schiffornis
5528,Laniocera rufescens,"MA, SA",PASSERIFORMES,Tityridae,Speckled Mourner
5529,Laniocera hypopyrra,SA,PASSERIFORMES,Tityridae,Cinereous Mourner
5530,Iodopleura pipra,SA,PASSERIFORMES,Tityridae,Buff-throated Purpletuft
5531,Iodopleura fusca,SA,PASSERIFORMES,Tityridae,Dusky Purpletuft
5532,Iodopleura isabellae,SA,PASSERIFORMES,Tityridae,jódkotinga
5533,Laniisoma elegans,SA,PASSERIFORMES,Tityridae,elegáns gébicskotinga
5534,Laniisoma buckleyi,SA,PASSERIFORMES,Tityridae,Andean Laniisoma
5535,Xenopsaris albinucha,SA,PASSERIFORMES,Tityridae,White-naped Xenopsaris
5536,Pachyramphus viridis,SA,PASSERIFORMES,Tityridae,Green-backed Becard
5537,Pachyramphus xanthogenys,SA,PASSERIFORMES,Tityridae,Yellow-cheeked Becard
5538,Pachyramphus versicolor,"MA, SA",PASSERIFORMES,Tityridae,szalagos bekard
5539,Pachyramphus spodiurus,SA,PASSERIFORMES,Tityridae,Slaty Becard
5540,Pachyramphus rufus,"MA, SA",PASSERIFORMES,Tityridae,Cinereous Becard
5541,Pachyramphus castaneus,SA,PASSERIFORMES,Tityridae,Chestnut-crowned Becard
5542,Pachyramphus cinnamomeus,"MA, SA",PASSERIFORMES,Tityridae,fahéjszínű bekard
5543,Pachyramphus salvini,SA,PASSERIFORMES,Tityridae,Cryptic Becard
5544,Pachyramphus polychopterus,"MA, SA",PASSERIFORMES,Tityridae,fehérszárnyú bekard
5545,Pachyramphus marginatus,SA,PASSERIFORMES,Tityridae,Black-capped Becard
5546,Pachyramphus albogriseus,"MA, SA",PASSERIFORMES,Tityridae,Black-and-white Becard
5547,Pachyramphus major,MA,PASSERIFORMES,Tityridae,Grey-collared Becard
5548,Pachyramphus surinamus,SA,PASSERIFORMES,Tityridae,Glossy-backed Becard
5549,Pachyramphus homochrous,"MA, SA",PASSERIFORMES,Tityridae,One-colored Becard
5550,Pachyramphus minor,SA,PASSERIFORMES,Tityridae,Pink-throated Becard
5551,Pachyramphus validus,SA,PASSERIFORMES,Tityridae,Crested Becard
5552,Pachyramphus aglaiae,MA,PASSERIFORMES,Tityridae,barátbekard
5553,Menura alberti,AU,PASSERIFORMES,Menuridae,vörhenyes lantfarkúmadár
5554,Menura novaehollandiae,AU,PASSERIFORMES,Menuridae,pompás lantfarkúmadár
5555,Atrichornis rufescens,AU,PASSERIFORMES,Atrichornithidae,rőt bozótjáró
5556,Atrichornis clamosus,AU,PASSERIFORMES,Atrichornithidae,lármás bozótjáró
5557,Ailuroedus stonii,AU,PASSERIFORMES,Ptilonorhynchidae,Ochre-breasted Catbird
5558,Ailuroedus buccoides,AU,PASSERIFORMES,Ptilonorhynchidae,fehérfülű nyávogómadár
5559,Ailuroedus geislerorum,AU,PASSERIFORMES,Ptilonorhynchidae,Tan-capped Catbird
5560,Ailuroedus crassirostris,AU,PASSERIFORMES,Ptilonorhynchidae,vastagcsőrű nyávogómadár
5561,Ailuroedus maculosus,AU,PASSERIFORMES,Ptilonorhynchidae,Spotted Catbird
5562,Ailuroedus astigmaticus,AU,PASSERIFORMES,Ptilonorhynchidae,Huon Catbird
5563,Ailuroedus melanocephalus,AU,PASSERIFORMES,Ptilonorhynchidae,Black-capped Catbird
5564,Ailuroedus jobiensis,AU,PASSERIFORMES,Ptilonorhynchidae,Northern Catbird
5565,Ailuroedus arfakianus,AU,PASSERIFORMES,Ptilonorhynchidae,Arfak Catbird
5566,Ailuroedus melanotis,AU,PASSERIFORMES,Ptilonorhynchidae,feketefülű nyávogómadár
5567,Scenopoeetes dentirostris,AU,PASSERIFORMES,Ptilonorhynchidae,fogascsőrű nyávogómadár
5568,Archboldia papuensis,AU,PASSERIFORMES,Ptilonorhynchidae,Archbold-lugasépítő
5569,Amblyornis inornata,AU,PASSERIFORMES,Ptilonorhynchidae,kertészmadár
5570,Amblyornis macgregoriae,AU,PASSERIFORMES,Ptilonorhynchidae,aranybóbitás kertészmadár
5571,Amblyornis germanus,AU,PASSERIFORMES,Ptilonorhynchidae,Huon Bowerbird
5572,Amblyornis subalaris,AU,PASSERIFORMES,Ptilonorhynchidae,narancsbóbitás kertészmadár
5573,Amblyornis flavifrons,AU,PASSERIFORMES,Ptilonorhynchidae,üstökös kertészmadár
5574,Prionodura newtoniana,AU,PASSERIFORMES,Ptilonorhynchidae,oszlopépítő kertészmadár
5575,Sericulus aureus,AU,PASSERIFORMES,Ptilonorhynchidae,bóbitás aranymadár
5576,Sericulus ardens,AU,PASSERIFORMES,Ptilonorhynchidae,Flame Bowerbird
5577,Sericulus bakeri,AU,PASSERIFORMES,Ptilonorhynchidae,pirosgalléros aranymadár
5578,Sericulus chrysocephalus,AU,PASSERIFORMES,Ptilonorhynchidae,bársonyos aranymadár
5579,Ptilonorhynchus violaceus,AU,PASSERIFORMES,Ptilonorhynchidae,selyemmadár
5580,Chlamydera guttata,AU,PASSERIFORMES,Ptilonorhynchidae,nyugati lugasépítő
5581,Chlamydera nuchalis,AU,PASSERIFORMES,Ptilonorhynchidae,mályvapártás lugasépítő
5582,Chlamydera maculata,AU,PASSERIFORMES,Ptilonorhynchidae,pártás lugasépítő
5583,Chlamydera lauterbachi,AU,PASSERIFORMES,Ptilonorhynchidae,sárgahasú lugasépítő
5584,Chlamydera cerviniventris,AU,PASSERIFORMES,Ptilonorhynchidae,vörhenyeshasú lugasépítő
5585,Cormobates leucophaea,AU,PASSERIFORMES,Climacteridae,fehértorkú földifakúsz
5586,Cormobates placens,AU,PASSERIFORMES,Climacteridae,pápua földifakúsz
5587,Climacteris erythrops,AU,PASSERIFORMES,Climacteridae,vörösszemű ausztrálfakúsz
5588,Climacteris affinis,AU,PASSERIFORMES,Climacteridae,aranytükrös ausztrálfakúsz
5589,Climacteris rufus,AU,PASSERIFORMES,Climacteridae,rozsdáshasú ausztrálfakúsz
5590,Climacteris picumnus,AU,PASSERIFORMES,Climacteridae,barna ausztrálfakúsz
5591,Climacteris melanurus,AU,PASSERIFORMES,Climacteridae,feketefarkú ausztrálfakúsz
5592,Sipodotus wallacii,AU,PASSERIFORMES,Maluridae,Wallace's Fairywren
5593,Chenorhamphus grayi,AU,PASSERIFORMES,Maluridae,Broad-billed Fairywren
5594,Chenorhamphus campbelli,AU,PASSERIFORMES,Maluridae,Campbell's Fairywren
5595,Malurus cyanocephalus,AU,PASSERIFORMES,Maluridae,Emperor Fairywren
5596,Malurus amabilis,AU,PASSERIFORMES,Maluridae,Lovely Fairywren
5597,Malurus assimilis,AU,PASSERIFORMES,Maluridae,Purple-backed Fairywren
5598,Malurus lamberti,AU,PASSERIFORMES,Maluridae,Variegated Fairywren
5599,Malurus pulcherrimus,AU,PASSERIFORMES,Maluridae,kékbegyű tündérmadár
5600,Malurus elegans,AU,PASSERIFORMES,Maluridae,hosszúfarkú tündérmadár
5601,Malurus cyaneus,AU,PASSERIFORMES,Maluridae,lazúr tündérmadár
5602,Malurus splendens,AU,PASSERIFORMES,Maluridae,tengerkék tündérmadár
5603,Malurus coronatus,AU,PASSERIFORMES,Maluridae,bíborsapkás tündérmadár
5604,Malurus alboscapulatus,AU,PASSERIFORMES,Maluridae,White-shouldered Fairywren
5605,Malurus melanocephalus,AU,PASSERIFORMES,Maluridae,piroshátú tündérmadár
5606,Malurus leucopterus,AU,PASSERIFORMES,Maluridae,fehérszárnyú tündérmadár
5607,Clytomyias insignis,AU,PASSERIFORMES,Maluridae,sáfrányos tündérmadár
5608,Stipiturus malachurus,AU,PASSERIFORMES,Maluridae,délvidéki sertefarkú
5609,Stipiturus mallee,AU,PASSERIFORMES,Maluridae,ligeti sertefarkú
5610,Stipiturus ruficeps,AU,PASSERIFORMES,Maluridae,Rufous-crowned Emu-wren
5611,Amytornis barbatus,AU,PASSERIFORMES,Maluridae,lápi létrafarkú
5612,Amytornis housei,AU,PASSERIFORMES,Maluridae,kormos létrafarkú
5613,Amytornis woodwardi,AU,PASSERIFORMES,Maluridae,fehértorkú létrafarkú
5614,Amytornis dorotheae,AU,PASSERIFORMES,Maluridae,szirti létrafarkú
5615,Amytornis merrotsyi,AU,PASSERIFORMES,Maluridae,rövidfarkú létrafarkú
5616,Amytornis whitei,AU,PASSERIFORMES,Maluridae,Rufous Grasswren
5617,Amytornis rowleyi,AU,PASSERIFORMES,Maluridae,Opalton Grasswren
5618,Amytornis striatus,AU,PASSERIFORMES,Maluridae,Striated Grasswren
5619,Amytornis goyderi,AU,PASSERIFORMES,Maluridae,kúposcsőrű létrafarkú
5620,Amytornis textilis,AU,PASSERIFORMES,Maluridae,Western Grasswren
5621,Amytornis modestus,AU,PASSERIFORMES,Maluridae,Thick-billed Grasswren
5622,Amytornis purnelli,AU,PASSERIFORMES,Maluridae,Dusky Grasswren
5623,Amytornis ballarae,AU,PASSERIFORMES,Maluridae,Kalkadún-létrafarkú
5624,Myza celebensis,AU,PASSERIFORMES,Meliphagidae,celebeszi mézevő
5625,Myza sarasinorum,AU,PASSERIFORMES,Meliphagidae,Sarasin-mézevő
5626,Acanthorhynchus tenuirostris,AU,PASSERIFORMES,Meliphagidae,keleti mézmadár
5627,Acanthorhynchus superciliosus,AU,PASSERIFORMES,Meliphagidae,nyugati mézmadár
5628,Glycichaera fallax,AU,PASSERIFORMES,Meliphagidae,zöldkabátos mézevő
