,IOC,Breeding Range,Order,Family,Swedish
4394,Syndactyla dimidiata,SA,PASSERIFORMES,Furnariidae,planaltolövletare
4395,Syndactyla roraimae,SA,PASSERIFORMES,Furnariidae,tepuílövletare
4396,Syndactyla subalaris,"MA, SA",PASSERIFORMES,Furnariidae,höglandslövletare
4397,Syndactyla ruficollis,SA,PASSERIFORMES,Furnariidae,rosthalsad lövletare
4398,Syndactyla guttulata,SA,PASSERIFORMES,Furnariidae,venezuelalövletare
4399,Syndactyla ucayalae,SA,PASSERIFORMES,Furnariidae,perumejselnäbb
4400,Syndactyla striata,SA,PASSERIFORMES,Furnariidae,boliviamejselnäbb
4401,Ancistrops strigilatus,SA,PASSERIFORMES,Furnariidae,krumnäbb
4402,Dendroma rufa,"MA, SA",PASSERIFORMES,Furnariidae,gulpannad lövletare
4403,Dendroma erythroptera,SA,PASSERIFORMES,Furnariidae,gråryggig lövletare
4404,Clibanornis dendrocolaptoides,SA,PASSERIFORMES,Furnariidae,bambukrypare
4405,Clibanornis rectirostris,SA,PASSERIFORMES,Furnariidae,kroknäbbad lövletare
4406,Clibanornis erythrocephalus,SA,PASSERIFORMES,Furnariidae,hennahuvad lövletare
4407,Clibanornis rubiginosus,"MA, SA",PASSERIFORMES,Furnariidae,rödbrun lövletare
4408,Clibanornis rufipectus,SA,PASSERIFORMES,Furnariidae,santamartalövletare
4409,Thripadectes ignobilis,SA,PASSERIFORMES,Furnariidae,enfärgad trädletare
4410,Thripadectes flammulatus,SA,PASSERIFORMES,Furnariidae,gulflammig trädletare
4411,Thripadectes scrutator,SA,PASSERIFORMES,Furnariidae,peruträdletare
4412,Thripadectes rufobrunneus,MA,PASSERIFORMES,Furnariidae,costaricaträdletare
4413,Thripadectes melanorhynchus,SA,PASSERIFORMES,Furnariidae,svartnäbbad trädletare
4414,Thripadectes holostictus,SA,PASSERIFORMES,Furnariidae,strimmig trädletare
4415,Thripadectes virgaticeps,SA,PASSERIFORMES,Furnariidae,streckhuvad trädletare
4416,Automolus rufipileatus,SA,PASSERIFORMES,Furnariidae,gulögd lövletare
4417,Automolus melanopezus,SA,PASSERIFORMES,Furnariidae,rödögd lövletare
4418,Automolus cervinigularis,MA,PASSERIFORMES,Furnariidae,Fawn-throated Foliage-gleaner
4419,Automolus ochrolaemus,"MA, SA",PASSERIFORMES,Furnariidae,gulstrupig lövletare
4420,Automolus exsertus,MA,PASSERIFORMES,Furnariidae,chiriquílövletare
4421,Automolus subulatus,SA,PASSERIFORMES,Furnariidae,östlig skogssmyg
4422,Automolus virgatus,"MA, SA",PASSERIFORMES,Furnariidae,västlig skogssmyg
4423,Automolus infuscatus,SA,PASSERIFORMES,Furnariidae,olivryggig lövletare
4424,Automolus paraensis,SA,PASSERIFORMES,Furnariidae,parálövletare
4425,Automolus lammi,SA,PASSERIFORMES,Furnariidae,pernambucolövletare
4426,Automolus leucophthalmus,SA,PASSERIFORMES,Furnariidae,vitögd lövletare
4427,Premnoplex brunnescens,"MA, SA",PASSERIFORMES,Furnariidae,fläckig piggstjärt
4428,Premnoplex tatei,SA,PASSERIFORMES,Furnariidae,vitstrupig piggstjärt
4429,Margarornis bellulus,MA,PASSERIFORMES,Furnariidae,praktträdlöpare
4430,Margarornis rubiginosus,MA,PASSERIFORMES,Furnariidae,rödbrun trädlöpare
4431,Margarornis stellatus,SA,PASSERIFORMES,Furnariidae,stjärnträdlöpare
4432,Margarornis squamiger,SA,PASSERIFORMES,Furnariidae,pärlträdlöpare
4433,Aphrastura spinicauda,SA,PASSERIFORMES,Furnariidae,chiletörnstjärt
4434,Aphrastura masafuerae,SA,PASSERIFORMES,Furnariidae,alejandroselkirktörnstjärt
4435,Sylviorthorhynchus desmurii,SA,PASSERIFORMES,Furnariidae,trådsprötstjärt
4436,Sylviorthorhynchus yanacensis,SA,PASSERIFORMES,Furnariidae,gyllenbrun sprötstjärt
4437,Leptasthenura fuliginiceps,SA,PASSERIFORMES,Furnariidae,brun sprötstjärt
4438,Leptasthenura platensis,SA,PASSERIFORMES,Furnariidae,tofssprötstjärt
4439,Leptasthenura aegithaloides,SA,PASSERIFORMES,Furnariidae,gråryggig sprötstjärt
4440,Leptasthenura striolata,SA,PASSERIFORMES,Furnariidae,streckad sprötstjärt
4441,Leptasthenura pileata,SA,PASSERIFORMES,Furnariidae,rostkronad sprötstjärt
4442,Leptasthenura xenothorax,SA,PASSERIFORMES,Furnariidae,cuzcosprötstjärt
4443,Leptasthenura striata,SA,PASSERIFORMES,Furnariidae,strimryggig sprötstjärt
4444,Leptasthenura andicola,SA,PASSERIFORMES,Furnariidae,andinsk sprötstjärt
4445,Leptasthenura setaria,SA,PASSERIFORMES,Furnariidae,araucariasprötstjärt
4446,Phacellodomus rufifrons,SA,PASSERIFORMES,Furnariidae,rödpannad törnfågel
4447,Phacellodomus inornatus,SA,PASSERIFORMES,Furnariidae,nordlig törnfågel
4448,Phacellodomus striaticeps,SA,PASSERIFORMES,Furnariidae,streckpannad törnfågel
4449,Phacellodomus sibilatrix,SA,PASSERIFORMES,Furnariidae,mindre törnfågel
4450,Phacellodomus dorsalis,SA,PASSERIFORMES,Furnariidae,kastanjeryggig törnfågel
4451,Phacellodomus maculipectus,SA,PASSERIFORMES,Furnariidae,gråögd törnfågel
4452,Phacellodomus striaticollis,SA,PASSERIFORMES,Furnariidae,fläckbröstad törnfågel
4453,Phacellodomus ruber,SA,PASSERIFORMES,Furnariidae,större törnfågel
4454,Phacellodomus erythrophthalmus,SA,PASSERIFORMES,Furnariidae,orangeögd törnfågel
4455,Phacellodomus ferrugineigula,SA,PASSERIFORMES,Furnariidae,orangebröstad törnfågel
4456,Hellmayrea gularis,SA,PASSERIFORMES,Furnariidae,vitbrynad taggstjärt
4457,Anumbius annumbi,SA,PASSERIFORMES,Furnariidae,kvistsamlare
4458,Coryphistera alaudina,SA,PASSERIFORMES,Furnariidae,lärksnårlöpare
4459,Asthenes dorbignyi,SA,PASSERIFORMES,Furnariidae,rostgumpad kanastero
4460,Asthenes arequipae,SA,PASSERIFORMES,Furnariidae,mörkvingad kanastero
4461,Asthenes huancavelicae,SA,PASSERIFORMES,Furnariidae,ljusstjärtad kanastero
4462,Asthenes berlepschi,SA,PASSERIFORMES,Furnariidae,consatakanastero
4463,Asthenes baeri,SA,PASSERIFORMES,Furnariidae,kortnäbbad kanastero
4464,Asthenes luizae,SA,PASSERIFORMES,Furnariidae,cipókanastero
4465,Asthenes hudsoni,SA,PASSERIFORMES,Furnariidae,pampaskanastero
4466,Asthenes anthoides,SA,PASSERIFORMES,Furnariidae,magellankanastero
4467,Asthenes urubambensis,SA,PASSERIFORMES,Furnariidae,inkakanastero
4468,Asthenes flammulata,SA,PASSERIFORMES,Furnariidae,strimmig kanastero
4469,Asthenes virgata,SA,PASSERIFORMES,Furnariidae,junínkanastero
4470,Asthenes maculicauda,SA,PASSERIFORMES,Furnariidae,páramokanastero
4471,Asthenes wyatti,SA,PASSERIFORMES,Furnariidae,strimryggig kanastero
4472,Asthenes humilis,SA,PASSERIFORMES,Furnariidae,streckbröstad kanastero
4473,Asthenes modesta,SA,PASSERIFORMES,Furnariidae,gräskanastero
4474,Asthenes moreirae,SA,PASSERIFORMES,Furnariidae,itatiaiaborststjärt
4475,Asthenes pyrrholeuca,SA,PASSERIFORMES,Furnariidae,mindre kanastero
4476,Asthenes harterti,SA,PASSERIFORMES,Furnariidae,svartstrupig borststjärt
4477,Asthenes helleri,SA,PASSERIFORMES,Furnariidae,punaborststjärt
4478,Asthenes vilcabambae,SA,PASSERIFORMES,Furnariidae,vilcabambaborststjärt
4479,Asthenes ayacuchensis,SA,PASSERIFORMES,Furnariidae,ayacuchoborststjärt
4480,Asthenes pudibunda,SA,PASSERIFORMES,Furnariidae,kanjonkanastero
4481,Asthenes ottonis,SA,PASSERIFORMES,Furnariidae,rostpannad kanastero
4482,Asthenes heterura,SA,PASSERIFORMES,Furnariidae,boliviakanastero
4483,Asthenes palpebralis,SA,PASSERIFORMES,Furnariidae,junínborststjärt
4484,Asthenes coryi,SA,PASSERIFORMES,Furnariidae,ockrabrynad borststjärt
4485,Asthenes perijana,SA,PASSERIFORMES,Furnariidae,perijáborststjärt
4486,Asthenes fuliginosa,SA,PASSERIFORMES,Furnariidae,vitstrupig borststjärt
4487,Asthenes griseomurina,SA,PASSERIFORMES,Furnariidae,umbraborststjärt
4488,Acrobatornis fonsecai,SA,PASSERIFORMES,Furnariidae,akrobatfågel
4489,Metopothrix aurantiaca,SA,PASSERIFORMES,Furnariidae,guldpanna
4490,Xenerpestes minlosi,"MA, SA",PASSERIFORMES,Furnariidae,dubbelbandad gråstjärt
4491,Xenerpestes singularis,SA,PASSERIFORMES,Furnariidae,ecuadorgråstjärt
4492,Siptornis striaticollis,SA,PASSERIFORMES,Furnariidae,glasögontaggstjärt
4493,Roraimia adusta,SA,PASSERIFORMES,Furnariidae,roraimamjukstjärt
4494,Thripophaga gutturata,SA,PASSERIFORMES,Furnariidae,fläckmjukstjärt
4495,Thripophaga macroura,SA,PASSERIFORMES,Furnariidae,strimmjukstjärt
4496,Thripophaga cherriei,SA,PASSERIFORMES,Furnariidae,orinocomjukstjärt
4497,Thripophaga amacurensis,SA,PASSERIFORMES,Furnariidae,deltaamacuromjukstjärt
4498,Thripophaga fusciceps,SA,PASSERIFORMES,Furnariidae,ljusbrynad mjukstjärt
4499,Limnoctites rectirostris,SA,PASSERIFORMES,Furnariidae,långnäbbad sumpjägare
4500,Limnoctites sulphuriferus,SA,PASSERIFORMES,Furnariidae,svavelstrupig sumpjägare
4501,Cranioleuca berlepschi,SA,PASSERIFORMES,Furnariidae,rostmantlad taggstjärt
4502,Cranioleuca weskei,SA,PASSERIFORMES,Furnariidae,Vilcabamba Spinetail
4503,Cranioleuca marcapatae,SA,PASSERIFORMES,Furnariidae,marcapatataggstjärt
4504,Cranioleuca albiceps,SA,PASSERIFORMES,Furnariidae,vitkronad taggstjärt
4505,Cranioleuca vulpina,SA,PASSERIFORMES,Furnariidae,rostryggig taggstjärt
4506,Cranioleuca dissita,MA,PASSERIFORMES,Furnariidae,coibataggstjärt
4507,Cranioleuca vulpecula,SA,PASSERIFORMES,Furnariidae,amazontaggstjärt
4508,Cranioleuca subcristata,SA,PASSERIFORMES,Furnariidae,venezuelataggstjärt
4509,Cranioleuca pyrrhophia,SA,PASSERIFORMES,Furnariidae,strimkronad taggstjärt
4510,Cranioleuca henricae,SA,PASSERIFORMES,Furnariidae,boliviataggstjärt
4511,Cranioleuca obsoleta,SA,PASSERIFORMES,Furnariidae,olivtaggstjärt
4512,Cranioleuca pallida,SA,PASSERIFORMES,Furnariidae,blek taggstjärt
4513,Cranioleuca semicinerea,SA,PASSERIFORMES,Furnariidae,gråhuvad taggstjärt
4514,Cranioleuca albicapilla,SA,PASSERIFORMES,Furnariidae,gräddkronad taggstjärt
4515,Cranioleuca erythrops,"MA, SA",PASSERIFORMES,Furnariidae,rosthuvad taggstjärt
4516,Cranioleuca demissa,SA,PASSERIFORMES,Furnariidae,tepuítaggstjärt
4517,Cranioleuca hellmayri,SA,PASSERIFORMES,Furnariidae,streckkronad taggstjärt
4518,Cranioleuca curtata,SA,PASSERIFORMES,Furnariidae,gråbrynad taggstjärt
4519,Cranioleuca antisiensis,SA,PASSERIFORMES,Furnariidae,bergtaggstjärt
4520,Cranioleuca muelleri,SA,PASSERIFORMES,Furnariidae,várzeataggstjärt
4521,Pseudasthenes humicola,SA,PASSERIFORMES,Furnariidae,mörkstjärtad kanastero
4522,Pseudasthenes patagonica,SA,PASSERIFORMES,Furnariidae,patagonienkanastero
4523,Pseudasthenes steinbachi,SA,PASSERIFORMES,Furnariidae,kastanjekanastero
4524,Pseudasthenes cactorum,SA,PASSERIFORMES,Furnariidae,kaktuskanastero
4525,Spartonoica maluroides,SA,PASSERIFORMES,Furnariidae,träsksmyg
4526,Pseudoseisura cristata,SA,PASSERIFORMES,Furnariidae,caatingatörnskrika
4527,Pseudoseisura unirufa,SA,PASSERIFORMES,Furnariidae,gråtofsad törnskrika
4528,Pseudoseisura lophotes,SA,PASSERIFORMES,Furnariidae,brun törnskrika
4529,Pseudoseisura gutturalis,SA,PASSERIFORMES,Furnariidae,vitstrupig törnskrika
4530,Certhiaxis cinnamomeus,SA,PASSERIFORMES,Furnariidae,gulhakad taggstjärt
4531,Certhiaxis mustelinus,SA,PASSERIFORMES,Furnariidae,rödvit taggstjärt
4532,Mazaria propinqua,SA,PASSERIFORMES,Furnariidae,vitbukig taggstjärt
4533,Schoeniophylax phryganophilus,SA,PASSERIFORMES,Furnariidae,chotoytaggstjärt
4534,Synallaxis scutata,SA,PASSERIFORMES,Furnariidae,ockrakindad taggstjärt
4535,Synallaxis cinerascens,SA,PASSERIFORMES,Furnariidae,gråbukig taggstjärt
4536,Synallaxis gujanensis,SA,PASSERIFORMES,Furnariidae,gråkronad taggstjärt
4537,Synallaxis simoni,SA,PASSERIFORMES,Furnariidae,Araguaia Spinetail
4538,Synallaxis albilora,SA,PASSERIFORMES,Furnariidae,vittyglad taggstjärt
4539,Synallaxis maranonica,SA,PASSERIFORMES,Furnariidae,marañóntaggstjärt
4540,Synallaxis hypochondriaca,SA,PASSERIFORMES,Furnariidae,större taggstjärt
4541,Synallaxis chinchipensis,SA,PASSERIFORMES,Furnariidae,chinchipetaggstjärt
4542,Synallaxis stictothorax,SA,PASSERIFORMES,Furnariidae,fläckbröstad taggstjärt
4543,Synallaxis zimmeri,SA,PASSERIFORMES,Furnariidae,rostbukig taggstjärt
4544,Synallaxis brachyura,"MA, SA",PASSERIFORMES,Furnariidae,skiffertaggstjärt
4545,Synallaxis subpudica,SA,PASSERIFORMES,Furnariidae,bogotátaggstjärt
4546,Synallaxis hellmayri,SA,PASSERIFORMES,Furnariidae,rödskuldrad taggstjärt
4547,Synallaxis ruficapilla,SA,PASSERIFORMES,Furnariidae,rostkronad taggstjärt
4548,Synallaxis cinerea,SA,PASSERIFORMES,Furnariidae,bahiataggstjärt
4549,Synallaxis infuscata,SA,PASSERIFORMES,Furnariidae,pernambucotaggstjärt
4550,Synallaxis moesta,SA,PASSERIFORMES,Furnariidae,mörk taggstjärt
4551,Synallaxis macconnelli,SA,PASSERIFORMES,Furnariidae,McConnells taggstjärt
4552,Synallaxis cabanisi,SA,PASSERIFORMES,Furnariidae,flodtaggstjärt
4553,Synallaxis hypospodia,SA,PASSERIFORMES,Furnariidae,gråbröstad taggstjärt
4554,Synallaxis spixi,SA,PASSERIFORMES,Furnariidae,chiclitaggstjärt
4555,Synallaxis albigularis,SA,PASSERIFORMES,Furnariidae,mörkbröstad taggstjärt
4556,Synallaxis beverlyae,SA,PASSERIFORMES,Furnariidae,orinocotaggstjärt
4557,Synallaxis albescens,"MA, SA",PASSERIFORMES,Furnariidae,blekbröstad taggstjärt
4558,Synallaxis frontalis,SA,PASSERIFORMES,Furnariidae,sotpannad taggstjärt
4559,Synallaxis azarae,SA,PASSERIFORMES,Furnariidae,azarataggstjärt
4560,Synallaxis courseni,SA,PASSERIFORMES,Furnariidae,apurímactaggstjärt
4561,Synallaxis candei,SA,PASSERIFORMES,Furnariidae,svartörad taggstjärt
4562,Synallaxis erythrothorax,MA,PASSERIFORMES,Furnariidae,yucatántaggstjärt
4563,Synallaxis kollari,SA,PASSERIFORMES,Furnariidae,roraimataggstjärt
4564,Synallaxis tithys,SA,PASSERIFORMES,Furnariidae,svarthuvad taggstjärt
4565,Synallaxis fuscorufa,SA,PASSERIFORMES,Furnariidae,santamartataggstjärt
4566,Synallaxis unirufa,SA,PASSERIFORMES,Furnariidae,rosttaggstjärt
4567,Synallaxis castanea,SA,PASSERIFORMES,Furnariidae,svartstrupig taggstjärt
4568,Synallaxis cinnamomea,SA,PASSERIFORMES,Furnariidae,streckbröstad taggstjärt
4569,Synallaxis rutilans,SA,PASSERIFORMES,Furnariidae,kastanjetaggstjärt
4570,Synallaxis cherriei,SA,PASSERIFORMES,Furnariidae,kastanjestrupig taggstjärt
4571,Euchrepomis callinota,"MA, SA",PASSERIFORMES,Thamnophilidae,rostgumpad myrsmyg
4572,Euchrepomis humeralis,SA,PASSERIFORMES,Thamnophilidae,kastanjeskuldrad myrsmyg
4573,Euchrepomis sharpei,SA,PASSERIFORMES,Thamnophilidae,gulgumpad myrsmyg
4574,Euchrepomis spodioptila,SA,PASSERIFORMES,Thamnophilidae,gråvingad myrsmyg
4575,Myrmornis torquata,"MA, SA",PASSERIFORMES,Thamnophilidae,praktmyrfågel
4576,Pygiptila stellaris,SA,PASSERIFORMES,Thamnophilidae,fläckvingad myrtörnskata
4577,Thamnistes anabatinus,"MA, SA",PASSERIFORMES,Thamnophilidae,rödbrun myrtörnskata
4578,Thamnistes rufescens,SA,PASSERIFORMES,Thamnophilidae,rostbrun myrtörnskata
4579,Microrhopias quixensis,"MA, SA",PASSERIFORMES,Thamnophilidae,fläckvingad myrsmyg
4580,Neoctantes niger,SA,PASSERIFORMES,Thamnophilidae,helikoniamyrtörnskata
4581,Clytoctantes alixii,SA,PASSERIFORMES,Thamnophilidae,båtnäbbad myrtörnskata
4582,Clytoctantes atrogularis,SA,PASSERIFORMES,Thamnophilidae,rondôniamyrtörnskata
4583,Epinecrophylla fulviventris,"MA, SA",PASSERIFORMES,Thamnophilidae,lianmyrsmyg
4584,Epinecrophylla ornata,SA,PASSERIFORMES,Thamnophilidae,praktmyrsmyg
4585,Epinecrophylla erythrura,SA,PASSERIFORMES,Thamnophilidae,roststjärtad myrsmyg
4586,Epinecrophylla leucophthalma,SA,PASSERIFORMES,Thamnophilidae,vitögd myrsmyg
4587,Epinecrophylla gutturalis,SA,PASSERIFORMES,Thamnophilidae,brunbukig myrsmyg
4588,Epinecrophylla haematonota,SA,PASSERIFORMES,Thamnophilidae,rostmantlad myrsmyg
4589,Epinecrophylla spodionota,SA,PASSERIFORMES,Thamnophilidae,gråryggig myrsmyg
4590,Epinecrophylla amazonica,SA,PASSERIFORMES,Thamnophilidae,madeiramyrsmyg
4591,Myrmorchilus strigilatus,SA,PASSERIFORMES,Thamnophilidae,strimryggig myrsmyg
4592,Aprositornis disjuncta,SA,PASSERIFORMES,Thamnophilidae,yapacanamyrfågel
4593,Ammonastes pelzelni,SA,PASSERIFORMES,Thamnophilidae,gråbukig myrfågel
4594,Myrmophylax atrothorax,SA,PASSERIFORMES,Thamnophilidae,svartstrupig myrfågel
4595,Myrmotherula ignota,"MA, SA",PASSERIFORMES,Thamnophilidae,mustaschmyrsmyg
4596,Myrmotherula brachyura,SA,PASSERIFORMES,Thamnophilidae,dvärgmyrsmyg
4597,Myrmotherula surinamensis,SA,PASSERIFORMES,Thamnophilidae,guyanamyrsmyg
4598,Myrmotherula multostriata,SA,PASSERIFORMES,Thamnophilidae,amazonmyrsmyg
4599,Myrmotherula pacifica,"MA, SA",PASSERIFORMES,Thamnophilidae,chocómyrsmyg
4600,Myrmotherula cherriei,SA,PASSERIFORMES,Thamnophilidae,cherriemyrsmyg
4601,Myrmotherula klagesi,SA,PASSERIFORMES,Thamnophilidae,klagesmyrsmyg
4602,Myrmotherula longicauda,SA,PASSERIFORMES,Thamnophilidae,andinsk myrsmyg
4603,Myrmotherula ambigua,SA,PASSERIFORMES,Thamnophilidae,gulstrupig myrsmyg
4604,Myrmotherula sclateri,SA,PASSERIFORMES,Thamnophilidae,gulbukig myrsmyg
4605,Myrmotherula axillaris,"MA, SA",PASSERIFORMES,Thamnophilidae,vitsidig myrsmyg
4606,Myrmotherula luctuosa,SA,PASSERIFORMES,Thamnophilidae,silversidig myrsmyg
4607,Myrmotherula schisticolor,"MA, SA",PASSERIFORMES,Thamnophilidae,skiffermyrsmyg
4608,Myrmotherula sunensis,SA,PASSERIFORMES,Thamnophilidae,ríosunomyrsmyg
4609,Myrmotherula minor,SA,PASSERIFORMES,Thamnophilidae,salvadorimyrsmyg
4610,Myrmotherula longipennis,SA,PASSERIFORMES,Thamnophilidae,långvingad myrsmyg
4611,Myrmotherula urosticta,SA,PASSERIFORMES,Thamnophilidae,bandstjärtad myrsmyg
4612,Myrmotherula iheringi,SA,PASSERIFORMES,Thamnophilidae,iheringmyrsmyg
4613,Myrmotherula fluminensis,SA,PASSERIFORMES,Thamnophilidae,riodejaneiromyrsmyg
4614,Myrmotherula grisea,SA,PASSERIFORMES,Thamnophilidae,yungasmyrsmyg
4615,Myrmotherula unicolor,SA,PASSERIFORMES,Thamnophilidae,enfärgad myrsmyg
4616,Myrmotherula snowi,SA,PASSERIFORMES,Thamnophilidae,alagoasmyrsmyg
4617,Myrmotherula behni,SA,PASSERIFORMES,Thamnophilidae,mörkvingad myrsmyg
4618,Myrmotherula menetriesii,SA,PASSERIFORMES,Thamnophilidae,grå myrsmyg
4619,Myrmotherula assimilis,SA,PASSERIFORMES,Thamnophilidae,ljusbukig myrsmyg
4620,Terenura maculata,SA,PASSERIFORMES,Thamnophilidae,streckhuvad myrsmyg
4621,Terenura sicki,SA,PASSERIFORMES,Thamnophilidae,orangebukig myrsmyg
4622,Myrmochanes hemileucus,SA,PASSERIFORMES,Thamnophilidae,svartvit myrfågel
4623,Formicivora iheringi,SA,PASSERIFORMES,Thamnophilidae,smalnäbbad myrsmyg
4624,Formicivora erythronotos,SA,PASSERIFORMES,Thamnophilidae,svarthuvad myrsmyg
4625,Formicivora grisea,SA,PASSERIFORMES,Thamnophilidae,vitrandad myrsmyg
4626,Formicivora intermedia,SA,PASSERIFORMES,Thamnophilidae,vitbrynad myrsmyg
4627,Formicivora serrana,SA,PASSERIFORMES,Thamnophilidae,serramyrsmyg
4628,Formicivora melanogaster,SA,PASSERIFORMES,Thamnophilidae,svartbukig myrsmyg
4629,Formicivora rufa,SA,PASSERIFORMES,Thamnophilidae,rostryggig myrsmyg
4630,Formicivora grantsaui,SA,PASSERIFORMES,Thamnophilidae,sincorámyrsmyg
4631,Formicivora acutirostris,SA,PASSERIFORMES,Thamnophilidae,paranámyrsmyg
4632,Dichrozona cincta,SA,PASSERIFORMES,Thamnophilidae,bandad myrfågel
4633,Rhopias gularis,SA,PASSERIFORMES,Thamnophilidae,stjärnstrupig myrsmyg
4634,Isleria hauxwelli,SA,PASSERIFORMES,Thamnophilidae,gråbukig myrsmyg
4635,Isleria guttata,SA,PASSERIFORMES,Thamnophilidae,rostbukig myrsmyg
4636,Thamnomanes ardesiacus,SA,PASSERIFORMES,Thamnophilidae,mörkstrupig myrtörnskata
4637,Thamnomanes saturninus,SA,PASSERIFORMES,Thamnophilidae,svartstrupig myrtörnskata
4638,Thamnomanes caesius,SA,PASSERIFORMES,Thamnophilidae,askgrå myrtörnskata
4639,Thamnomanes schistogynus,SA,PASSERIFORMES,Thamnophilidae,blågrå myrtörnskata
4640,Megastictus margaritatus,SA,PASSERIFORMES,Thamnophilidae,pärlmyrtörnskata
4641,Sakesphoroides cristatus,SA,PASSERIFORMES,Thamnophilidae,silverkindad myrtörnskata
4642,Herpsilochmus pileatus,SA,PASSERIFORMES,Thamnophilidae,bahiamyrsmyg
4643,Herpsilochmus atricapillus,SA,PASSERIFORMES,Thamnophilidae,svartkronad myrsmyg
4644,Herpsilochmus stotzi,SA,PASSERIFORMES,Thamnophilidae,aripuanãmyrsmyg
4645,Herpsilochmus praedictus,SA,PASSERIFORMES,Thamnophilidae,purusmyrsmyg
4646,Herpsilochmus motacilloides,SA,PASSERIFORMES,Thamnophilidae,gräddbukig myrsmyg
4647,Herpsilochmus parkeri,SA,PASSERIFORMES,Thamnophilidae,gråstrupig myrsmyg
4648,Herpsilochmus sticturus,SA,PASSERIFORMES,Thamnophilidae,fläckstjärtad myrsmyg
4649,Herpsilochmus dugandi,SA,PASSERIFORMES,Thamnophilidae,loretomyrsmyg
4650,Herpsilochmus stictocephalus,SA,PASSERIFORMES,Thamnophilidae,cayennemyrsmyg
4651,Herpsilochmus dorsimaculatus,SA,PASSERIFORMES,Thamnophilidae,fläckryggig myrsmyg
4652,Herpsilochmus roraimae,SA,PASSERIFORMES,Thamnophilidae,roraimamyrsmyg
4653,Herpsilochmus pectoralis,SA,PASSERIFORMES,Thamnophilidae,kragmyrsmyg
4654,Herpsilochmus longirostris,SA,PASSERIFORMES,Thamnophilidae,stornäbbad myrsmyg
4655,Herpsilochmus gentryi,SA,PASSERIFORMES,Thamnophilidae,varillalmyrsmyg
4656,Herpsilochmus axillaris,SA,PASSERIFORMES,Thamnophilidae,gulbröstad myrsmyg
4657,Herpsilochmus frater,"MA, SA",PASSERIFORMES,Thamnophilidae,rostvingad myrsmyg
4658,Herpsilochmus rufimarginatus,SA,PASSERIFORMES,Thamnophilidae,rostkantad myrsmyg
4659,Dysithamnus stictothorax,SA,PASSERIFORMES,Thamnophilidae,fläckbröstad myrvireo
4660,Dysithamnus mentalis,"MA, SA",PASSERIFORMES,Thamnophilidae,grå myrvireo
4661,Dysithamnus striaticeps,MA,PASSERIFORMES,Thamnophilidae,strimhuvad myrvireo
4662,Dysithamnus puncticeps,"MA, SA",PASSERIFORMES,Thamnophilidae,fläckhuvad myrvireo
4663,Dysithamnus xanthopterus,SA,PASSERIFORMES,Thamnophilidae,rostryggig myrvireo
4664,Dysithamnus occidentalis,SA,PASSERIFORMES,Thamnophilidae,svart myrvireo
4665,Dysithamnus plumbeus,SA,PASSERIFORMES,Thamnophilidae,blygrå myrvireo
4666,Dysithamnus leucostictus,SA,PASSERIFORMES,Thamnophilidae,sotmyrvireo
4667,Thamnophilus bernardi,SA,PASSERIFORMES,Thamnophilidae,vitnackad myrtörnskata
4668,Thamnophilus melanonotus,SA,PASSERIFORMES,Thamnophilidae,svartryggig myrtörnskata
4669,Thamnophilus melanothorax,SA,PASSERIFORMES,Thamnophilidae,vitspetsad myrtörnskata
4670,Thamnophilus doliatus,"MA, SA",PASSERIFORMES,Thamnophilidae,bandad myrtörnskata
4671,Thamnophilus zarumae,SA,PASSERIFORMES,Thamnophilidae,zarumamyrtörnskata
4672,Thamnophilus multistriatus,SA,PASSERIFORMES,Thamnophilidae,strimtofsad myrtörnskata
4673,Thamnophilus tenuepunctatus,SA,PASSERIFORMES,Thamnophilidae,streckad myrtörnskata
4674,Thamnophilus palliatus,SA,PASSERIFORMES,Thamnophilidae,kastanjeryggig myrtörnskata
4675,Thamnophilus bridgesi,MA,PASSERIFORMES,Thamnophilidae,pärlvingad myrtörnskata
4676,Thamnophilus nigriceps,"MA, SA",PASSERIFORMES,Thamnophilidae,colombiamyrtörnskata
4677,Thamnophilus praecox,SA,PASSERIFORMES,Thamnophilidae,cochamyrtörnskata
4678,Thamnophilus nigrocinereus,SA,PASSERIFORMES,Thamnophilidae,gråsvart myrtörnskata
4679,Thamnophilus cryptoleucus,SA,PASSERIFORMES,Thamnophilidae,várzeamyrtörnskata
4680,Thamnophilus aethiops,SA,PASSERIFORMES,Thamnophilidae,prickmyrtörnskata
4681,Thamnophilus unicolor,SA,PASSERIFORMES,Thamnophilidae,enfärgad myrtörnskata
4682,Thamnophilus schistaceus,SA,PASSERIFORMES,Thamnophilidae,grå myrtörnskata
4683,Thamnophilus murinus,SA,PASSERIFORMES,Thamnophilidae,musgrå myrtörnskata
4684,Thamnophilus aroyae,SA,PASSERIFORMES,Thamnophilidae,höglandsmyrtörnskata
4685,Thamnophilus atrinucha,"MA, SA",PASSERIFORMES,Thamnophilidae,svartnackad myrtörnskata
4686,Thamnophilus punctatus,SA,PASSERIFORMES,Thamnophilidae,skiffermyrtörnskata
4687,Thamnophilus stictocephalus,SA,PASSERIFORMES,Thamnophilidae,mörkryggig myrtörnskata
4688,Thamnophilus sticturus,SA,PASSERIFORMES,Thamnophilidae,lianmyrtörnskata
4689,Thamnophilus pelzelni,SA,PASSERIFORMES,Thamnophilidae,planaltomyrtörnskata
