,IOC,Breeding Range,Order,Family,Swedish
200,Heteronetta atricapilla,SA,ANSERIFORMES,Anatidae,svarthuvad and
201,Nomonyx dominicus,"MA, SA",ANSERIFORMES,Anatidae,svartmaskad kopparand
202,Oxyura jamaicensis,"NA, MA",ANSERIFORMES,Anatidae,amerikansk kopparand
203,Oxyura ferruginea,SA,ANSERIFORMES,Anatidae,andinsk kopparand
204,Oxyura vittata,SA,ANSERIFORMES,Anatidae,argentinakopparand
205,Oxyura australis,AU,ANSERIFORMES,Anatidae,australisk kopparand
206,Oxyura maccoa,AF,ANSERIFORMES,Anatidae,afrikansk kopparand
207,Oxyura leucocephala,PAL,ANSERIFORMES,Anatidae,kopparand
208,Biziura lobata,AU,ANSERIFORMES,Anatidae,bisamand
209,Alectura lathami,AU,GALLIFORMES,Megapodiidae,australisk buskhöna
210,Aepypodius arfakianus,AU,GALLIFORMES,Megapodiidae,kambuskhöna
211,Aepypodius bruijnii,AU,GALLIFORMES,Megapodiidae,waigeobuskhöna
212,Talegalla cuvieri,AU,GALLIFORMES,Megapodiidae,rödnäbbad buskhöna
213,Talegalla fuscirostris,AU,GALLIFORMES,Megapodiidae,svartnäbbad buskhöna
214,Talegalla jobiensis,AU,GALLIFORMES,Megapodiidae,rödkindad buskhöna
215,Leipoa ocellata,AU,GALLIFORMES,Megapodiidae,malleehöna
216,Macrocephalon maleo,AU,GALLIFORMES,Megapodiidae,maleohöna
217,Eulipoa wallacei,AU,GALLIFORMES,Megapodiidae,moluckstorfotshöna
218,Megapodius pritchardii,PO,GALLIFORMES,Megapodiidae,tongastorfotshöna
219,Megapodius laperouse,PO,GALLIFORMES,Megapodiidae,mikronesisk storfotshöna
220,Megapodius nicobariensis,OR,GALLIFORMES,Megapodiidae,nikobarstorfotshöna
221,Megapodius cumingii,"OR, AU",GALLIFORMES,Megapodiidae,filippinstorfotshöna
222,Megapodius bernsteinii,AU,GALLIFORMES,Megapodiidae,sulastorfotshöna
223,Megapodius tenimberensis,AU,GALLIFORMES,Megapodiidae,tanimbarstorfotshöna
224,Megapodius freycinet,AU,GALLIFORMES,Megapodiidae,mörk storfotshöna
225,Megapodius geelvinkianus,AU,GALLIFORMES,Megapodiidae,geelvinkstorfotshöna
226,Megapodius eremita,AU,GALLIFORMES,Megapodiidae,melanesisk storfotshöna
227,Megapodius layardi,AU,GALLIFORMES,Megapodiidae,vanuatustorfotshöna
228,Megapodius decollatus,AU,GALLIFORMES,Megapodiidae,papuastorfotshöna
229,Megapodius reinwardt,AU,GALLIFORMES,Megapodiidae,orangefotad storfotshöna
230,Ortalis vetula,"NA, MA",GALLIFORMES,Cracidae,nordlig chachalaca
231,Ortalis cinereiceps,"MA, SA",GALLIFORMES,Cracidae,gråhuvad chachalaca
232,Ortalis garrula,SA,GALLIFORMES,Cracidae,brunvingad chachalaca
233,Ortalis ruficauda,SA,GALLIFORMES,Cracidae,rostgumpad chachalaca
234,Ortalis erythroptera,SA,GALLIFORMES,Cracidae,rosthuvad chachalaca
235,Ortalis wagleri,MA,GALLIFORMES,Cracidae,rostbukig chachalaca
236,Ortalis poliocephala,MA,GALLIFORMES,Cracidae,västmexikansk chachalaca
237,Ortalis canicollis,SA,GALLIFORMES,Cracidae,gråhalsad chachalaca
238,Ortalis leucogastra,MA,GALLIFORMES,Cracidae,vitbukig chachalaca
239,Ortalis guttata,SA,GALLIFORMES,Cracidae,spräcklig chachalaca
240,Ortalis araucuan,SA,GALLIFORMES,Cracidae,bahiachachalaca
241,Ortalis squamata,SA,GALLIFORMES,Cracidae,fjällig chachalaca
242,Ortalis columbiana,SA,GALLIFORMES,Cracidae,colombiachachalaca
243,Ortalis motmot,SA,GALLIFORMES,Cracidae,motmotchachalaca
244,Ortalis ruficeps,SA,GALLIFORMES,Cracidae,brunhuvad chachalaca
245,Ortalis superciliaris,SA,GALLIFORMES,Cracidae,beigebrynad chachalaca
246,Penelope argyrotis,SA,GALLIFORMES,Cracidae,bandstjärtad guan
247,Penelope barbata,SA,GALLIFORMES,Cracidae,skägguan
248,Penelope ortoni,SA,GALLIFORMES,Cracidae,baudóguan
249,Penelope montagnii,SA,GALLIFORMES,Cracidae,andinsk guan
250,Penelope marail,SA,GALLIFORMES,Cracidae,marailguan
251,Penelope superciliaris,SA,GALLIFORMES,Cracidae,blåkindad guan
252,Penelope dabbenei,SA,GALLIFORMES,Cracidae,rödkindad guan
253,Penelope purpurascens,"MA, SA",GALLIFORMES,Cracidae,tofsguan
254,Penelope perspicax,SA,GALLIFORMES,Cracidae,caucaguan
255,Penelope albipennis,SA,GALLIFORMES,Cracidae,vitvingad guan
256,Penelope jacquacu,SA,GALLIFORMES,Cracidae,amazonguan
257,Penelope obscura,SA,GALLIFORMES,Cracidae,mörkbent guan
258,Penelope bridgesi,SA,GALLIFORMES,Cracidae,yungasguan
259,Penelope pileata,SA,GALLIFORMES,Cracidae,vitkronad guan
260,Penelope ochrogaster,SA,GALLIFORMES,Cracidae,rostbukig guan
261,Penelope jacucaca,SA,GALLIFORMES,Cracidae,vitbrynad guan
262,Pipile pipile,SA,GALLIFORMES,Cracidae,trinidadguan
263,Pipile cumanensis,SA,GALLIFORMES,Cracidae,blåstrupig guan
264,Pipile grayi,SA,GALLIFORMES,Cracidae,vitstrupig guan
265,Pipile cujubi,SA,GALLIFORMES,Cracidae,rödstrupig guan
266,Pipile jacutinga,SA,GALLIFORMES,Cracidae,svartpannad guan
267,Aburria aburri,SA,GALLIFORMES,Cracidae,flikguan
268,Chamaepetes unicolor,MA,GALLIFORMES,Cracidae,svartguan
269,Chamaepetes goudotii,SA,GALLIFORMES,Cracidae,blåmaskad guan
270,Penelopina nigra,MA,GALLIFORMES,Cracidae,bergguan
271,Oreophasis derbianus,MA,GALLIFORMES,Cracidae,hornguan
