,IOC,Breeding Range,Order,Family,Chinese (Traditional)
4439,Leptasthenura aegithaloides,SA,PASSERIFORMES,Furnariidae,純色針尾雀
4440,Leptasthenura striolata,SA,PASSERIFORMES,Furnariidae,條紋針尾雀
4441,Leptasthenura pileata,SA,PASSERIFORMES,Furnariidae,鏽頂針尾雀
4442,Leptasthenura xenothorax,SA,PASSERIFORMES,Furnariidae,秘魯白眉針尾雀
4443,Leptasthenura striata,SA,PASSERIFORMES,Furnariidae,紋針尾雀
4444,Leptasthenura andicola,SA,PASSERIFORMES,Furnariidae,安地斯針尾雀
4445,Leptasthenura setaria,SA,PASSERIFORMES,Furnariidae,南美針尾雀
4446,Phacellodomus rufifrons,SA,PASSERIFORMES,Furnariidae,棕額棘雀
4447,Phacellodomus inornatus,SA,PASSERIFORMES,Furnariidae,淡色棘雀
4448,Phacellodomus striaticeps,SA,PASSERIFORMES,Furnariidae,紋額棘雀
4449,Phacellodomus sibilatrix,SA,PASSERIFORMES,Furnariidae,小棘雀
4450,Phacellodomus dorsalis,SA,PASSERIFORMES,Furnariidae,栗背棘雀
4451,Phacellodomus maculipectus,SA,PASSERIFORMES,Furnariidae,紋斑胸棘雀
4452,Phacellodomus striaticollis,SA,PASSERIFORMES,Furnariidae,點斑胸棘雀
4453,Phacellodomus ruber,SA,PASSERIFORMES,Furnariidae,大棘雀
4454,Phacellodomus erythrophthalmus,SA,PASSERIFORMES,Furnariidae,橙眼棘雀
4455,Phacellodomus ferrugineigula,SA,PASSERIFORMES,Furnariidae,橙胸棘雀
4456,Hellmayrea gularis,SA,PASSERIFORMES,Furnariidae,白眉針尾雀
4457,Anumbius annumbi,SA,PASSERIFORMES,Furnariidae,木聚雀
4458,Coryphistera alaudina,SA,PASSERIFORMES,Furnariidae,鷚叢跑雀
4459,Asthenes dorbignyi,SA,PASSERIFORMES,Furnariidae,乳白胸卡納雀
4460,Asthenes arequipae,SA,PASSERIFORMES,Furnariidae,黑翅卡納雀
4461,Asthenes huancavelicae,SA,PASSERIFORMES,Furnariidae,淡尾卡納雀
4462,Asthenes berlepschi,SA,PASSERIFORMES,Furnariidae,玻利維亞卡納雀
4463,Asthenes baeri,SA,PASSERIFORMES,Furnariidae,短嘴卡納雀
4464,Asthenes luizae,SA,PASSERIFORMES,Furnariidae,石紋卡納雀
4465,Asthenes hudsoni,SA,PASSERIFORMES,Furnariidae,赫德森卡納雀
4466,Asthenes anthoides,SA,PASSERIFORMES,Furnariidae,安地斯卡納雀
4467,Asthenes urubambensis,SA,PASSERIFORMES,Furnariidae,絨額卡納雀
4468,Asthenes flammulata,SA,PASSERIFORMES,Furnariidae,多紋卡納雀
4469,Asthenes virgata,SA,PASSERIFORMES,Furnariidae,久寧卡納雀
4470,Asthenes maculicauda,SA,PASSERIFORMES,Furnariidae,亂尾卡納雀
4471,Asthenes wyatti,SA,PASSERIFORMES,Furnariidae,紋背卡納雀
4472,Asthenes humilis,SA,PASSERIFORMES,Furnariidae,紋喉卡納雀
4473,Asthenes modesta,SA,PASSERIFORMES,Furnariidae,高山卡納雀
4474,Asthenes moreirae,SA,PASSERIFORMES,Furnariidae,巴西針尾雀
4475,Asthenes pyrrholeuca,SA,PASSERIFORMES,Furnariidae,小卡納雀
4476,Asthenes harterti,SA,PASSERIFORMES,Furnariidae,黑喉薊尾雀
4477,Asthenes helleri,SA,PASSERIFORMES,Furnariidae,普納高原薊尾雀
4478,Asthenes vilcabambae,SA,PASSERIFORMES,Furnariidae,維卡班巴薊尾雀
4479,Asthenes ayacuchensis,SA,PASSERIFORMES,Furnariidae,阿雅庫喬薊尾雀
4480,Asthenes pudibunda,SA,PASSERIFORMES,Furnariidae,峽谷卡納雀
4481,Asthenes ottonis,SA,PASSERIFORMES,Furnariidae,鏽額卡納雀
4482,Asthenes heterura,SA,PASSERIFORMES,Furnariidae,灌叢卡納雀
4483,Asthenes palpebralis,SA,PASSERIFORMES,Furnariidae,眼環薊尾雀
4484,Asthenes coryi,SA,PASSERIFORMES,Furnariidae,赭額薊尾雀
4485,Asthenes perijana,SA,PASSERIFORMES,Furnariidae,珀里哈薊尾雀
4486,Asthenes fuliginosa,SA,PASSERIFORMES,Furnariidae,白頦薊尾雀
4487,Asthenes griseomurina,SA,PASSERIFORMES,Furnariidae,鼠色薊尾雀
4488,Acrobatornis fonsecai,SA,PASSERIFORMES,Furnariidae,粉腳灶鳥
4489,Metopothrix aurantiaca,SA,PASSERIFORMES,Furnariidae,橙額絨頂雀
4490,Xenerpestes minlosi,"MA, SA",PASSERIFORMES,Furnariidae,雙斑灰尾雀
4491,Xenerpestes singularis,SA,PASSERIFORMES,Furnariidae,赤道灰尾雀
4492,Siptornis striaticollis,SA,PASSERIFORMES,Furnariidae,眼眶刺尾雀
4493,Roraimia adusta,SA,PASSERIFORMES,Furnariidae,紅斑尾雀
4494,Thripophaga gutturata,SA,PASSERIFORMES,Furnariidae,點斑針尾雀
4495,Thripophaga macroura,SA,PASSERIFORMES,Furnariidae,條紋軟尾雀
4496,Thripophaga cherriei,SA,PASSERIFORMES,Furnariidae,委內瑞拉軟尾雀
4497,Thripophaga amacurensis,SA,PASSERIFORMES,Furnariidae,阿馬庫羅三角洲軟尾雀
4498,Thripophaga fusciceps,SA,PASSERIFORMES,Furnariidae,純色軟尾雀
4499,Limnoctites rectirostris,SA,PASSERIFORMES,Furnariidae,直嘴蘆雀
4500,Limnoctites sulphuriferus,SA,PASSERIFORMES,Furnariidae,硫黃髭針尾雀
4501,Cranioleuca berlepschi,SA,PASSERIFORMES,Furnariidae,草黃背軟尾雀
4502,Cranioleuca weskei,SA,PASSERIFORMES,Furnariidae,Vilcabamba Spinetail
4503,Cranioleuca marcapatae,SA,PASSERIFORMES,Furnariidae,秘魯針尾雀
4504,Cranioleuca albiceps,SA,PASSERIFORMES,Furnariidae,淡頂針尾雀
4505,Cranioleuca vulpina,SA,PASSERIFORMES,Furnariidae,鏽背針尾雀
4506,Cranioleuca dissita,MA,PASSERIFORMES,Furnariidae,可依巴針尾雀
4507,Cranioleuca vulpecula,SA,PASSERIFORMES,Furnariidae,帕克氏鏽背針尾雀
4508,Cranioleuca subcristata,SA,PASSERIFORMES,Furnariidae,冠針尾雀
4509,Cranioleuca pyrrhophia,SA,PASSERIFORMES,Furnariidae,紋冠針尾雀
4510,Cranioleuca henricae,SA,PASSERIFORMES,Furnariidae,玻利維亞針尾雀
4511,Cranioleuca obsoleta,SA,PASSERIFORMES,Furnariidae,橄綠針尾雀
4512,Cranioleuca pallida,SA,PASSERIFORMES,Furnariidae,蒼白針尾雀
4513,Cranioleuca semicinerea,SA,PASSERIFORMES,Furnariidae,灰頭針尾雀
4514,Cranioleuca albicapilla,SA,PASSERIFORMES,Furnariidae,乳白冠針尾雀
4515,Cranioleuca erythrops,"MA, SA",PASSERIFORMES,Furnariidae,紅臉針尾雀
4516,Cranioleuca demissa,SA,PASSERIFORMES,Furnariidae,特布伊針尾雀
4517,Cranioleuca hellmayri,SA,PASSERIFORMES,Furnariidae,紋頂針尾雀
4518,Cranioleuca curtata,SA,PASSERIFORMES,Furnariidae,煙灰眉針尾雀
4519,Cranioleuca antisiensis,SA,PASSERIFORMES,Furnariidae,線頰針尾雀
4520,Cranioleuca muelleri,SA,PASSERIFORMES,Furnariidae,鱗斑針尾雀
4521,Pseudasthenes humicola,SA,PASSERIFORMES,Furnariidae,烏尾卡納雀
4522,Pseudasthenes patagonica,SA,PASSERIFORMES,Furnariidae,巴塔哥尼亞卡納雀
4523,Pseudasthenes steinbachi,SA,PASSERIFORMES,Furnariidae,栗卡納雀
4524,Pseudasthenes cactorum,SA,PASSERIFORMES,Furnariidae,仙人掌卡納雀
4525,Spartonoica maluroides,SA,PASSERIFORMES,Furnariidae,栗頂鷯針尾雀
4526,Pseudoseisura cristata,SA,PASSERIFORMES,Furnariidae,卡卡汀加棕卡喬雀
4527,Pseudoseisura unirufa,SA,PASSERIFORMES,Furnariidae,灰冠棕卡喬雀
4528,Pseudoseisura lophotes,SA,PASSERIFORMES,Furnariidae,褐卡喬雀
4529,Pseudoseisura gutturalis,SA,PASSERIFORMES,Furnariidae,白喉卡喬雀
4530,Certhiaxis cinnamomeus,SA,PASSERIFORMES,Furnariidae,黃喉針尾雀
4531,Certhiaxis mustelinus,SA,PASSERIFORMES,Furnariidae,紅白針尾雀
4532,Mazaria propinqua,SA,PASSERIFORMES,Furnariidae,白腹針尾雀
4533,Schoeniophylax phryganophilus,SA,PASSERIFORMES,Furnariidae,喬托南美針尾雀
4534,Synallaxis scutata,SA,PASSERIFORMES,Furnariidae,赭頰針尾雀
4535,Synallaxis cinerascens,SA,PASSERIFORMES,Furnariidae,灰腹針尾雀
4536,Synallaxis gujanensis,SA,PASSERIFORMES,Furnariidae,淡頭針尾雀
4537,Synallaxis simoni,SA,PASSERIFORMES,Furnariidae,Araguaia Spinetail
4538,Synallaxis albilora,SA,PASSERIFORMES,Furnariidae,牙白針尾雀
4539,Synallaxis maranonica,SA,PASSERIFORMES,Furnariidae,馬拉諾針尾雀
4540,Synallaxis hypochondriaca,SA,PASSERIFORMES,Furnariidae,大針尾雀
4541,Synallaxis chinchipensis,SA,PASSERIFORMES,Furnariidae,Chinchipe Spinetail
4542,Synallaxis stictothorax,SA,PASSERIFORMES,Furnariidae,頸圈針尾雀
4543,Synallaxis zimmeri,SA,PASSERIFORMES,Furnariidae,草黃腹針尾雀
4544,Synallaxis brachyura,"MA, SA",PASSERIFORMES,Furnariidae,藍灰針尾雀
4545,Synallaxis subpudica,SA,PASSERIFORMES,Furnariidae,銀喉針尾雀
4546,Synallaxis hellmayri,SA,PASSERIFORMES,Furnariidae,紅肩針尾雀
4547,Synallaxis ruficapilla,SA,PASSERIFORMES,Furnariidae,棕頂針尾雀
4548,Synallaxis cinerea,SA,PASSERIFORMES,Furnariidae,巴伊亞針尾雀
4549,Synallaxis infuscata,SA,PASSERIFORMES,Furnariidae,斑紋針尾雀
4550,Synallaxis moesta,SA,PASSERIFORMES,Furnariidae,暗色針尾雀
4551,Synallaxis macconnelli,SA,PASSERIFORMES,Furnariidae,麥康氏針尾雀
4552,Synallaxis cabanisi,SA,PASSERIFORMES,Furnariidae,卡巴尼氏針尾雀
4553,Synallaxis hypospodia,SA,PASSERIFORMES,Furnariidae,灰胸針尾雀
4554,Synallaxis spixi,SA,PASSERIFORMES,Furnariidae,斯彼氏針尾雀
4555,Synallaxis albigularis,SA,PASSERIFORMES,Furnariidae,暗胸針尾雀
4556,Synallaxis beverlyae,SA,PASSERIFORMES,Furnariidae,奧利諾科針尾雀
4557,Synallaxis albescens,"MA, SA",PASSERIFORMES,Furnariidae,淡胸針尾雀
4558,Synallaxis frontalis,SA,PASSERIFORMES,Furnariidae,烏額針尾雀
4559,Synallaxis azarae,SA,PASSERIFORMES,Furnariidae,阿扎氏針尾雀
4560,Synallaxis courseni,SA,PASSERIFORMES,Furnariidae,亞普里馬克針尾雀
4561,Synallaxis candei,SA,PASSERIFORMES,Furnariidae,白鬚針尾雀
4562,Synallaxis erythrothorax,MA,PASSERIFORMES,Furnariidae,棕胸針尾雀
4563,Synallaxis kollari,SA,PASSERIFORMES,Furnariidae,灰白喉針尾雀
4564,Synallaxis tithys,SA,PASSERIFORMES,Furnariidae,黑頭針尾雀
4565,Synallaxis fuscorufa,SA,PASSERIFORMES,Furnariidae,鏽頭針尾雀
4566,Synallaxis unirufa,SA,PASSERIFORMES,Furnariidae,棕色針尾雀
4567,Synallaxis castanea,SA,PASSERIFORMES,Furnariidae,黑喉針尾雀
4568,Synallaxis cinnamomea,SA,PASSERIFORMES,Furnariidae,紋胸針尾雀
4569,Synallaxis rutilans,SA,PASSERIFORMES,Furnariidae,赤黃針尾雀
4570,Synallaxis cherriei,SA,PASSERIFORMES,Furnariidae,栗喉針尾雀
4571,Euchrepomis callinota,"MA, SA",PASSERIFORMES,Thamnophilidae,棕腰蟻鷯
4572,Euchrepomis humeralis,SA,PASSERIFORMES,Thamnophilidae,栗肩蟻鷯
4573,Euchrepomis sharpei,SA,PASSERIFORMES,Thamnophilidae,黃腰蟻鷯
4574,Euchrepomis spodioptila,SA,PASSERIFORMES,Thamnophilidae,灰翅蟻鷯
4575,Myrmornis torquata,"MA, SA",PASSERIFORMES,Thamnophilidae,翅斑蟻鳥
4576,Pygiptila stellaris,SA,PASSERIFORMES,Thamnophilidae,點翅蟻鵙
4577,Thamnistes anabatinus,"MA, SA",PASSERIFORMES,Thamnophilidae,赤褐蟻鵙
4578,Thamnistes rufescens,SA,PASSERIFORMES,Thamnophilidae,Rufescent Antshrike
4579,Microrhopias quixensis,"MA, SA",PASSERIFORMES,Thamnophilidae,點翅蟻鷯
4580,Neoctantes niger,SA,PASSERIFORMES,Thamnophilidae,黑叢鳥
4581,Clytoctantes alixii,SA,PASSERIFORMES,Thamnophilidae,彎嘴丘鳥
4582,Clytoctantes atrogularis,SA,PASSERIFORMES,Thamnophilidae,隆多尼亞丘鳥
4583,Epinecrophylla fulviventris,"MA, SA",PASSERIFORMES,Thamnophilidae,格喉蟻鷯
4584,Epinecrophylla ornata,SA,PASSERIFORMES,Thamnophilidae,華麗蟻鷯
4585,Epinecrophylla erythrura,SA,PASSERIFORMES,Thamnophilidae,棕尾蟻鷯
4586,Epinecrophylla leucophthalma,SA,PASSERIFORMES,Thamnophilidae,白眼蟻鷯
4587,Epinecrophylla gutturalis,SA,PASSERIFORMES,Thamnophilidae,褐腹蟻鷯
4588,Epinecrophylla haematonota,SA,PASSERIFORMES,Thamnophilidae,納波點喉蟻鷯
4589,Epinecrophylla spodionota,SA,PASSERIFORMES,Thamnophilidae,山麓蟻鷯
4590,Epinecrophylla amazonica,SA,PASSERIFORMES,Thamnophilidae,馬迪拉點喉蟻鷯
4591,Myrmorchilus strigilatus,SA,PASSERIFORMES,Thamnophilidae,紋背蟻鳥
4592,Aprositornis disjuncta,SA,PASSERIFORMES,Thamnophilidae,委內瑞拉蟻鳥
4593,Ammonastes pelzelni,SA,PASSERIFORMES,Thamnophilidae,灰腹蟻鳥
4594,Myrmophylax atrothorax,SA,PASSERIFORMES,Thamnophilidae,黑喉蟻鳥
4595,Myrmotherula ignota,"MA, SA",PASSERIFORMES,Thamnophilidae,髭姬蟻鷯
4596,Myrmotherula brachyura,SA,PASSERIFORMES,Thamnophilidae,姬蟻鷯
4597,Myrmotherula surinamensis,SA,PASSERIFORMES,Thamnophilidae,圭亞那縱紋蟻鷯
4598,Myrmotherula multostriata,SA,PASSERIFORMES,Thamnophilidae,亞馬遜縱紋蟻鷯
4599,Myrmotherula pacifica,"MA, SA",PASSERIFORMES,Thamnophilidae,太平洋縱紋蟻鷯
4600,Myrmotherula cherriei,SA,PASSERIFORMES,Thamnophilidae,鮮紅蟻鷯
4601,Myrmotherula klagesi,SA,PASSERIFORMES,Thamnophilidae,克拉氏蟻鷯
4602,Myrmotherula longicauda,SA,PASSERIFORMES,Thamnophilidae,紋胸蟻鷯
4603,Myrmotherula ambigua,SA,PASSERIFORMES,Thamnophilidae,黃喉蟻鷯
4604,Myrmotherula sclateri,SA,PASSERIFORMES,Thamnophilidae,巴西蟻鷯
4605,Myrmotherula axillaris,"MA, SA",PASSERIFORMES,Thamnophilidae,白脇蟻鷯
4606,Myrmotherula luctuosa,SA,PASSERIFORMES,Thamnophilidae,銀脇蟻鷯
4607,Myrmotherula schisticolor,"MA, SA",PASSERIFORMES,Thamnophilidae,藍灰蟻鷯
4608,Myrmotherula sunensis,SA,PASSERIFORMES,Thamnophilidae,南美蟻鷯
4609,Myrmotherula minor,SA,PASSERIFORMES,Thamnophilidae,小蟻鷯
4610,Myrmotherula longipennis,SA,PASSERIFORMES,Thamnophilidae,長翅蟻鷯
4611,Myrmotherula urosticta,SA,PASSERIFORMES,Thamnophilidae,斑尾蟻鷯
4612,Myrmotherula iheringi,SA,PASSERIFORMES,Thamnophilidae,亞馬遜蟻鷯
4613,Myrmotherula fluminensis,SA,PASSERIFORMES,Thamnophilidae,里約熱內盧蟻鷯
4614,Myrmotherula grisea,SA,PASSERIFORMES,Thamnophilidae,煙灰蟻鷯
4615,Myrmotherula unicolor,SA,PASSERIFORMES,Thamnophilidae,純色蟻鷯
4616,Myrmotherula snowi,SA,PASSERIFORMES,Thamnophilidae,亞拉哥亞斯蟻鷯
4617,Myrmotherula behni,SA,PASSERIFORMES,Thamnophilidae,淡翅蟻鷯
4618,Myrmotherula menetriesii,SA,PASSERIFORMES,Thamnophilidae,灰蟻鷯
4619,Myrmotherula assimilis,SA,PASSERIFORMES,Thamnophilidae,鉛色蟻鷯
4620,Terenura maculata,SA,PASSERIFORMES,Thamnophilidae,紋頂蟻鷯
4621,Terenura sicki,SA,PASSERIFORMES,Thamnophilidae,橙腹蟻鷯
4622,Myrmochanes hemileucus,SA,PASSERIFORMES,Thamnophilidae,黑白蟻鳥
4623,Formicivora iheringi,SA,PASSERIFORMES,Thamnophilidae,狹嘴蟻鷯
4624,Formicivora erythronotos,SA,PASSERIFORMES,Thamnophilidae,黑兜蟻鷯
4625,Formicivora grisea,SA,PASSERIFORMES,Thamnophilidae,白緣蟻鷯
4626,Formicivora intermedia,SA,PASSERIFORMES,Thamnophilidae,北方白緣蟻鷯
4627,Formicivora serrana,SA,PASSERIFORMES,Thamnophilidae,塞拉蟻鷯
4628,Formicivora melanogaster,SA,PASSERIFORMES,Thamnophilidae,黑腹蟻鷯
4629,Formicivora rufa,SA,PASSERIFORMES,Thamnophilidae,鏽背蟻鷯
4630,Formicivora grantsaui,SA,PASSERIFORMES,Thamnophilidae,辛可拉蟻鷯
4631,Formicivora acutirostris,SA,PASSERIFORMES,Thamnophilidae,巴拉那蟻鷯
4632,Dichrozona cincta,SA,PASSERIFORMES,Thamnophilidae,帶斑蟻鳥
4633,Rhopias gularis,SA,PASSERIFORMES,Thamnophilidae,星喉蟻鷯
4634,Isleria hauxwelli,SA,PASSERIFORMES,Thamnophilidae,淡喉音蟻鷯
4635,Isleria guttata,SA,PASSERIFORMES,Thamnophilidae,棕腹蟻鷯
4636,Thamnomanes ardesiacus,SA,PASSERIFORMES,Thamnophilidae,暗喉蟻鵙
4637,Thamnomanes saturninus,SA,PASSERIFORMES,Thamnophilidae,東方暗喉蟻鵙
4638,Thamnomanes caesius,SA,PASSERIFORMES,Thamnophilidae,灰蟻鵙
4639,Thamnomanes schistogynus,SA,PASSERIFORMES,Thamnophilidae,藍灰蟻鵙
4640,Megastictus margaritatus,SA,PASSERIFORMES,Thamnophilidae,珠色蟻鵙
4641,Sakesphoroides cristatus,SA,PASSERIFORMES,Thamnophilidae,銀頰蟻鵙
4642,Herpsilochmus pileatus,SA,PASSERIFORMES,Thamnophilidae,巴伊亞黑頂蟻鷯
4643,Herpsilochmus atricapillus,SA,PASSERIFORMES,Thamnophilidae,黑頂蟻鷯
4644,Herpsilochmus stotzi,SA,PASSERIFORMES,Thamnophilidae,阿利普安納蟻鷯
4645,Herpsilochmus praedictus,SA,PASSERIFORMES,Thamnophilidae,意測蟻鷯
4646,Herpsilochmus motacilloides,SA,PASSERIFORMES,Thamnophilidae,乳白腹蟻鳥
4647,Herpsilochmus parkeri,SA,PASSERIFORMES,Thamnophilidae,灰喉蟻鳥
4648,Herpsilochmus sticturus,SA,PASSERIFORMES,Thamnophilidae,斑點尾蟻鷯
4649,Herpsilochmus dugandi,SA,PASSERIFORMES,Thamnophilidae,杜剛氏蟻鷯
4650,Herpsilochmus stictocephalus,SA,PASSERIFORMES,Thamnophilidae,托德氏蟻鷯
4651,Herpsilochmus dorsimaculatus,SA,PASSERIFORMES,Thamnophilidae,斑點背蟻鷯
4652,Herpsilochmus roraimae,SA,PASSERIFORMES,Thamnophilidae,羅來馬山蟻鷯
4653,Herpsilochmus pectoralis,SA,PASSERIFORMES,Thamnophilidae,飾胸蟻鷯
4654,Herpsilochmus longirostris,SA,PASSERIFORMES,Thamnophilidae,大嘴蟻鷯
4655,Herpsilochmus gentryi,SA,PASSERIFORMES,Thamnophilidae,遠古蟻鷯
4656,Herpsilochmus axillaris,SA,PASSERIFORMES,Thamnophilidae,黃胸蟻鷯
4657,Herpsilochmus frater,"MA, SA",PASSERIFORMES,Thamnophilidae,Rusty-winged Antwren
4658,Herpsilochmus rufimarginatus,SA,PASSERIFORMES,Thamnophilidae,棕翅蟻鷯
4659,Dysithamnus stictothorax,SA,PASSERIFORMES,Thamnophilidae,點胸綠蟻鵙
4660,Dysithamnus mentalis,"MA, SA",PASSERIFORMES,Thamnophilidae,純色綠蟻鵙
4661,Dysithamnus striaticeps,MA,PASSERIFORMES,Thamnophilidae,綠頂綠蟻鵙
4662,Dysithamnus puncticeps,"MA, SA",PASSERIFORMES,Thamnophilidae,點頂綠蟻鵙
4663,Dysithamnus xanthopterus,SA,PASSERIFORMES,Thamnophilidae,棕背綠蟻鵙
4664,Dysithamnus occidentalis,SA,PASSERIFORMES,Thamnophilidae,雙色蟻鵙
4665,Dysithamnus plumbeus,SA,PASSERIFORMES,Thamnophilidae,鉛色蟻鵙
4666,Dysithamnus leucostictus,SA,PASSERIFORMES,Thamnophilidae,白斑蟻鵙
4667,Thamnophilus bernardi,SA,PASSERIFORMES,Thamnophilidae,領蟻鵙
4668,Thamnophilus melanonotus,SA,PASSERIFORMES,Thamnophilidae,黑背蟻鵙
4669,Thamnophilus melanothorax,SA,PASSERIFORMES,Thamnophilidae,斑尾蟻鵙
4670,Thamnophilus doliatus,"MA, SA",PASSERIFORMES,Thamnophilidae,橫斑蟻鵙
4671,Thamnophilus zarumae,SA,PASSERIFORMES,Thamnophilidae,查普曼蟻鵙
4672,Thamnophilus multistriatus,SA,PASSERIFORMES,Thamnophilidae,斑冠蟻鵙
4673,Thamnophilus tenuepunctatus,SA,PASSERIFORMES,Thamnophilidae,線紋蟻鵙
4674,Thamnophilus palliatus,SA,PASSERIFORMES,Thamnophilidae,栗背蟻鵙
4675,Thamnophilus bridgesi,MA,PASSERIFORMES,Thamnophilidae,黑兜蟻鵙
4676,Thamnophilus nigriceps,"MA, SA",PASSERIFORMES,Thamnophilidae,黑蟻鵙
4677,Thamnophilus praecox,SA,PASSERIFORMES,Thamnophilidae,厄瓜多蟻鵙
4678,Thamnophilus nigrocinereus,SA,PASSERIFORMES,Thamnophilidae,黑灰蟻鵙
4679,Thamnophilus cryptoleucus,SA,PASSERIFORMES,Thamnophilidae,卡斯拖氏蟻鵙
4680,Thamnophilus aethiops,SA,PASSERIFORMES,Thamnophilidae,白肩蟻鵙
4681,Thamnophilus unicolor,SA,PASSERIFORMES,Thamnophilidae,純色蟻鵙
4682,Thamnophilus schistaceus,SA,PASSERIFORMES,Thamnophilidae,黑頂蟻鵙
4683,Thamnophilus murinus,SA,PASSERIFORMES,Thamnophilidae,鼠色蟻鵙
4684,Thamnophilus aroyae,SA,PASSERIFORMES,Thamnophilidae,高地蟻鵙
4685,Thamnophilus atrinucha,"MA, SA",PASSERIFORMES,Thamnophilidae,西方藍灰蟻鵙
4686,Thamnophilus punctatus,SA,PASSERIFORMES,Thamnophilidae,北方藍灰蟻鵙
4687,Thamnophilus stictocephalus,SA,PASSERIFORMES,Thamnophilidae,奈特氏藍灰蟻鵙
4688,Thamnophilus sticturus,SA,PASSERIFORMES,Thamnophilidae,玻利維亞藍灰蟻鵙
4689,Thamnophilus pelzelni,SA,PASSERIFORMES,Thamnophilidae,普拉納托藍灰蟻鵙
4690,Thamnophilus ambiguus,SA,PASSERIFORMES,Thamnophilidae,索里塔馬藍灰蟻鵙
4691,Thamnophilus amazonicus,SA,PASSERIFORMES,Thamnophilidae,亞馬遜蟻鵙
4692,Thamnophilus divisorius,SA,PASSERIFORMES,Thamnophilidae,阿克雷蟻鵙
4693,Thamnophilus insignis,SA,PASSERIFORMES,Thamnophilidae,紋背蟻鵙
4694,Thamnophilus caerulescens,SA,PASSERIFORMES,Thamnophilidae,雜色蟻鵙
4695,Thamnophilus torquatus,SA,PASSERIFORMES,Thamnophilidae,棕翅蟻鵙
4696,Thamnophilus ruficapillus,SA,PASSERIFORMES,Thamnophilidae,棕頂蟻鵙
4697,Sakesphorus canadensis,SA,PASSERIFORMES,Thamnophilidae,黑冠蟻鵙
4698,Sakesphorus luctuosus,SA,PASSERIFORMES,Thamnophilidae,閃光蟻鵙
4699,Radinopsyche sellowi,SA,PASSERIFORMES,Thamnophilidae,卡卡汀加蟻鷯
4700,Biatas nigropectus,SA,PASSERIFORMES,Thamnophilidae,白鬚蟻鵙
4701,Cymbilaimus lineatus,"MA, SA",PASSERIFORMES,Thamnophilidae,帶斑蟻鵙
4702,Cymbilaimus sanctaemariae,SA,PASSERIFORMES,Thamnophilidae,竹蟻鵙
4703,Taraba major,"MA, SA",PASSERIFORMES,Thamnophilidae,大蟻鵙
4704,Mackenziaena leachii,SA,PASSERIFORMES,Thamnophilidae,大尾蟻鵙
4705,Mackenziaena severa,SA,PASSERIFORMES,Thamnophilidae,鬚蟻鵙
4706,Frederickena viridis,SA,PASSERIFORMES,Thamnophilidae,黑喉蟻鵙
4707,Frederickena unduliger,SA,PASSERIFORMES,Thamnophilidae,波狀蟻鵙
4708,Frederickena fulva,SA,PASSERIFORMES,Thamnophilidae,黃褐蟻鵙
4709,Hypoedaleus guttatus,SA,PASSERIFORMES,Thamnophilidae,斑背蟻鵙
4710,Batara cinerea,SA,PASSERIFORMES,Thamnophilidae,巨蟻鵙
4711,Xenornis setifrons,"MA, SA",PASSERIFORMES,Thamnophilidae,褐斑蟻鵙
4712,Pithys albifrons,SA,PASSERIFORMES,Thamnophilidae,白腰蟻鳥
4713,Pithys castaneus,SA,PASSERIFORMES,Thamnophilidae,白臉蟻鳥
4714,Phaenostictus mcleannani,"MA, SA",PASSERIFORMES,Thamnophilidae,眼斑蟻雀
4715,Gymnopithys bicolor,"MA, SA",PASSERIFORMES,Thamnophilidae,雙色蟻鳥〔白頰蟻鳥〕
4716,Gymnopithys leucaspis,SA,PASSERIFORMES,Thamnophilidae,白頰蟻鳥
4717,Gymnopithys rufigula,SA,PASSERIFORMES,Thamnophilidae,棕喉蟻鳥
4718,Oneillornis salvini,SA,PASSERIFORMES,Thamnophilidae,白喉蟻鳥
4719,Oneillornis lunulatus,SA,PASSERIFORMES,Thamnophilidae,新月蟻鳥
4720,Rhegmatorhina gymnops,SA,PASSERIFORMES,Thamnophilidae,裸眼蟻鳥
4721,Rhegmatorhina berlepschi,SA,PASSERIFORMES,Thamnophilidae,橙頰蟻鳥
4722,Rhegmatorhina hoffmannsi,SA,PASSERIFORMES,Thamnophilidae,白胸蟻鳥
4723,Rhegmatorhina cristata,SA,PASSERIFORMES,Thamnophilidae,栗冠蟻鳥
4724,Rhegmatorhina melanosticta,SA,PASSERIFORMES,Thamnophilidae,毛冠蟻鳥
4725,Phlegopsis nigromaculata,SA,PASSERIFORMES,Thamnophilidae,黑斑裸眼雀
4726,Phlegopsis erythroptera,SA,PASSERIFORMES,Thamnophilidae,紅翅裸眼雀
4727,Phlegopsis borbae,SA,PASSERIFORMES,Thamnophilidae,淡臉裸眼雀
4728,Willisornis poecilinotus,SA,PASSERIFORMES,Thamnophilidae,鱗背蟻鳥
4729,Willisornis vidua,SA,PASSERIFORMES,Thamnophilidae,申古蟻鳥
4730,Drymophila ferruginea,SA,PASSERIFORMES,Thamnophilidae,赤褐蟻鳥
4731,Drymophila rubricollis,SA,PASSERIFORMES,Thamnophilidae,勃氏蟻鳥
4732,Drymophila genei,SA,PASSERIFORMES,Thamnophilidae,棕尾蟻鳥
4733,Drymophila ochropyga,SA,PASSERIFORMES,Thamnophilidae,赭腰蟻鳥
4734,Drymophila malura,SA,PASSERIFORMES,Thamnophilidae,烏尾蟻鳥
