,IOC,Breeding Range,Order,Family,Chinese (Traditional)
122,Nettapus auritus,AF,ANSERIFORMES,Anatidae,厚嘴棉鴨
123,Nettapus coromandelianus,OR,ANSERIFORMES,Anatidae,棉鴨
124,Nettapus pulchellus,AU,ANSERIFORMES,Anatidae,綠棉鴨
125,Amazonetta brasiliensis,SA,ANSERIFORMES,Anatidae,巴西鴨
126,Callonetta leucophrys,SA,ANSERIFORMES,Anatidae,半領鴨
127,Lophonetta specularioides,SA,ANSERIFORMES,Anatidae,鳳頭鴨
128,Speculanas specularis,SA,ANSERIFORMES,Anatidae,銅翅鴨
129,Sibirionetta formosa,PAL,ANSERIFORMES,Anatidae,巴鴨〔花臉鴨〕
130,Spatula querquedula,PAL,ANSERIFORMES,Anatidae,白眉鴨
131,Spatula hottentota,AF,ANSERIFORMES,Anatidae,南非鴨
132,Spatula puna,SA,ANSERIFORMES,Anatidae,普納高原鴨
133,Spatula versicolor,SA,ANSERIFORMES,Anatidae,銀鴨
134,Spatula platalea,SA,ANSERIFORMES,Anatidae,赤琵嘴鴨
135,Spatula cyanoptera,"NA, MA, SA",ANSERIFORMES,Anatidae,桂紅鴨
136,Spatula smithii,AF,ANSERIFORMES,Anatidae,褐頂琵嘴鴨
137,Spatula rhynchotis,AU,ANSERIFORMES,Anatidae,黑頂琵嘴鴨
138,Spatula clypeata,"NA, PAL",ANSERIFORMES,Anatidae,琵嘴鴨
139,Mareca strepera,"NA, PAL",ANSERIFORMES,Anatidae,赤膀鴨
140,Mareca falcata,PAL,ANSERIFORMES,Anatidae,羅紋鴨
141,Mareca penelope,PAL,ANSERIFORMES,Anatidae,赤頸鴨
142,Mareca sibilatrix,SA,ANSERIFORMES,Anatidae,黑白斑胸鴨
143,Anas sparsa,AF,ANSERIFORMES,Anatidae,黑鴨
144,Anas undulata,AF,ANSERIFORMES,Anatidae,黃嘴鴨
145,Anas melleri,AF,ANSERIFORMES,Anatidae,麻斑鴨
146,Anas superciliosa,AU,ANSERIFORMES,Anatidae,澳洲灰鴨
147,Anas laysanensis,PO,ANSERIFORMES,Anatidae,來珊鴨
148,Anas wyvilliana,PO,ANSERIFORMES,Anatidae,夏威夷鴨
149,Anas luzonica,OR,ANSERIFORMES,Anatidae,菲律賓鴨〔棕頸鴨，呂宋鴨 〕
150,Anas poecilorhyncha,OR,ANSERIFORMES,Anatidae,印緬花嘴鴨〔印緬斑嘴鴨〕
151,Anas zonorhyncha,OR,ANSERIFORMES,Anatidae,東方花嘴鴨〔東方斑嘴鴨〕
152,Anas platyrhynchos,"NA, PAL",ANSERIFORMES,Anatidae,綠頭鴨
153,Anas diazi,"NA, MA",ANSERIFORMES,Anatidae,墨西哥鴨
154,Anas capensis,AF,ANSERIFORMES,Anatidae,綠翅灰斑鴨
155,Anas bahamensis,"SA, NA",ANSERIFORMES,Anatidae,白臉針尾鴨
156,Anas erythrorhyncha,AF,ANSERIFORMES,Anatidae,赤嘴鴨
157,Anas georgica,SA,ANSERIFORMES,Anatidae,黃嘴針尾鴨
158,Anas eatoni,IO,ANSERIFORMES,Anatidae,伊東氏針尾鴨
159,Anas acuta,"NA, PAL",ANSERIFORMES,Anatidae,尖尾鴨〔針尾鴨〕
160,Anas crecca,"PAL, NA",ANSERIFORMES,Anatidae,小水鴨
161,Anas flavirostris,SA,ANSERIFORMES,Anatidae,斑頭綠翅鴨〔黃嘴鴨〕
162,Anas andium,SA,ANSERIFORMES,Anatidae,安地斯鴨
163,Anas gibberifrons,OR,ANSERIFORMES,Anatidae,巽他灰鴨
164,Anas albogularis,OR,ANSERIFORMES,Anatidae,安達曼灰鴨
165,Anas gracilis,AU,ANSERIFORMES,Anatidae,灰鴨
166,Anas castanea,AU,ANSERIFORMES,Anatidae,栗胸鴨
167,Anas bernieri,AF,ANSERIFORMES,Anatidae,馬達加斯加麻斑鴨
