,IOC,Breeding Range,Order,Family,Turkish
122,Nettapus auritus,AF,ANSERIFORMES,Anatidae,Yeşil Pamuk Ördek
123,Nettapus coromandelianus,OR,ANSERIFORMES,Anatidae,Pamuk Ördek
124,Nettapus pulchellus,AU,ANSERIFORMES,Anatidae,Afrika Pamuk Ördeği
125,Amazonetta brasiliensis,SA,ANSERIFORMES,Anatidae,Amazon Ördeği
126,Callonetta leucophrys,SA,ANSERIFORMES,Anatidae,Kızıl Sırtlı Ördek
127,Lophonetta specularioides,SA,ANSERIFORMES,Anatidae,Tepeli Ördek
128,Speculanas specularis,SA,ANSERIFORMES,Anatidae,Gözlüklü Ördek
129,Sibirionetta formosa,PAL,ANSERIFORMES,Anatidae,Sarı Yanaklı Ördek
130,Spatula querquedula,PAL,ANSERIFORMES,Anatidae,Çıkrıkçın
131,Spatula hottentota,AF,ANSERIFORMES,Anatidae,Nübye Ördeği
132,Spatula puna,SA,ANSERIFORMES,Anatidae,Puna Ördeği
133,Spatula versicolor,SA,ANSERIFORMES,Anatidae,Kırçıllı Ördek
134,Spatula platalea,SA,ANSERIFORMES,Anatidae,Kızılca Kaşıkgaga
135,Spatula cyanoptera,"NA, MA, SA",ANSERIFORMES,Anatidae,Kızıl Ördek
136,Spatula smithii,AF,ANSERIFORMES,Anatidae,Kap Kaşıkgagası
137,Spatula rhynchotis,AU,ANSERIFORMES,Anatidae,Avustralya Kaşıkgagası
138,Spatula clypeata,"NA, PAL",ANSERIFORMES,Anatidae,Kaşıkgaga
139,Mareca strepera,"NA, PAL",ANSERIFORMES,Anatidae,Boz Ördek
140,Mareca falcata,PAL,ANSERIFORMES,Anatidae,Büyük Çamurcun
141,Mareca penelope,PAL,ANSERIFORMES,Anatidae,Fiyu
142,Mareca sibilatrix,SA,ANSERIFORMES,Anatidae,Şili Fiyusu
143,Anas sparsa,AF,ANSERIFORMES,Anatidae,Afrika Kara Ördeği
144,Anas undulata,AF,ANSERIFORMES,Anatidae,Sarı Gagalı Ördek
145,Anas melleri,AF,ANSERIFORMES,Anatidae,Madagaskar Ördeği
146,Anas superciliosa,AU,ANSERIFORMES,Anatidae,Pasifik Kara Ördeği
