,IOC,Breeding Range,Order,Family,Turkish
5646,Conopophila whitei,AU,PASSERIFORMES,Meliphagidae,Boz Balkuşu
5647,Ramsayornis fasciatus,AU,PASSERIFORMES,Meliphagidae,Çavuş Göğüslü Balkuşu
5648,Ramsayornis modestus,AU,PASSERIFORMES,Meliphagidae,Kahverengi Sırtlı Balkuşu
5649,Melilestes megarhynchus,AU,PASSERIFORMES,Meliphagidae,Uzun Gagalı Balkuşu
5650,Timeliopsis fulvigula,AU,PASSERIFORMES,Meliphagidae,Zeytuni Balkuşu
5651,Timeliopsis griseigula,AU,PASSERIFORMES,Meliphagidae,Tan Rengi Balkuşu
5652,Melipotes gymnops,AU,PASSERIFORMES,Meliphagidae,Arfak Balkuşu
5653,Melipotes fumigatus,AU,PASSERIFORMES,Meliphagidae,Kül Rengi Balkuşu
5654,Melipotes carolae,AU,PASSERIFORMES,Meliphagidae,Foya Balkuşu
5655,Melipotes ater,AU,PASSERIFORMES,Meliphagidae,Yıldızlı Balkuşu
5656,Macgregoria pulchra,AU,PASSERIFORMES,Meliphagidae,Macgregor Balkuşu
5657,Glycifohia undulata,AU,PASSERIFORMES,Meliphagidae,Yazılı Balkuşu
5658,Glycifohia notabilis,AU,PASSERIFORMES,Meliphagidae,Vanuatu Balkuşu
5659,Gliciphila melanops,AU,PASSERIFORMES,Meliphagidae,Bej Başlıklı Balkuşu
5660,Pycnopygius ixoides,AU,PASSERIFORMES,Meliphagidae,Konur Balkuşu
5661,Pycnopygius cinereus,AU,PASSERIFORMES,Meliphagidae,Hareli Balkuşu
5662,Pycnopygius stictocephalus,AU,PASSERIFORMES,Meliphagidae,Kır Başlıklı Balkuşu
5663,Certhionyx variegatus,AU,PASSERIFORMES,Meliphagidae,Alaca Balkuşu
5664,Prosthemadera novaeseelandiae,AU,PASSERIFORMES,Meliphagidae,Tui
5665,Anthornis melanura,AU,PASSERIFORMES,Meliphagidae,Yeşil-Mor Balkuşu
5666,Sugomel lombokium,AU,PASSERIFORMES,Meliphagidae,Lombok Balkuşu
5667,Sugomel nigrum,AU,PASSERIFORMES,Meliphagidae,Alaca Mizomela
5668,Melitograis gilolensis,AU,PASSERIFORMES,Meliphagidae,Çizikli Keşişkuşu
5669,Vosea whitemanensis,AU,PASSERIFORMES,Meliphagidae,Gilliard Balkuşu
5670,Myzomela blasii,AU,PASSERIFORMES,Meliphagidae,Seram Mizomelası
5671,Myzomela albigula,AU,PASSERIFORMES,Meliphagidae,Ak Gerdanlı Mizomela
5672,Myzomela cineracea,AU,PASSERIFORMES,Meliphagidae,Kül Rengi Mizomela
5673,Myzomela eques,AU,PASSERIFORMES,Meliphagidae,Yakut Boğazlı Mizomela
5674,Myzomela simplex,AU,PASSERIFORMES,Meliphagidae,Moluccan Myzomela
5675,Myzomela rubrotincta,AU,PASSERIFORMES,Meliphagidae,Red-tinged Myzomela
5676,Myzomela rubrobrunnea,AU,PASSERIFORMES,Meliphagidae,Biak Myzomela
5677,Myzomela obscura,AU,PASSERIFORMES,Meliphagidae,Karaca Mizomela
5678,Myzomela cruentata,AU,PASSERIFORMES,Meliphagidae,Kırmızı Mizomela
5679,Myzomela erythrina,AU,PASSERIFORMES,Meliphagidae,Reddish Myzomela
5680,Myzomela nigrita,AU,PASSERIFORMES,Meliphagidae,Papua Kara Mizomelası
5681,Myzomela pulchella,AU,PASSERIFORMES,Meliphagidae,Yeni İrlanda Mizomelası
5682,Myzomela kuehni,AU,PASSERIFORMES,Meliphagidae,Wetar Mizomelası
5683,Myzomela prawiradilagae,AU,PASSERIFORMES,Meliphagidae,Alor Mizomelası
5684,Myzomela erythrocephala,AU,PASSERIFORMES,Meliphagidae,Kırmızı Başlı Mizomela
5685,Myzomela dammermani,AU,PASSERIFORMES,Meliphagidae,Sumba Mizomelası
5686,Myzomela irianawidodoae,AU,PASSERIFORMES,Meliphagidae,Rote Adası Mizomelası
5687,Myzomela adolphinae,AU,PASSERIFORMES,Meliphagidae,Küçük Mizomela
5688,Myzomela boiei,AU,PASSERIFORMES,Meliphagidae,Banda Mizomelası
5689,Myzomela wahe,AU,PASSERIFORMES,Meliphagidae,Taliabu Mizomelası
5690,Myzomela chloroptera,AU,PASSERIFORMES,Meliphagidae,Selebes Mizomelası
5691,Myzomela batjanensis,AU,PASSERIFORMES,Meliphagidae,Bacan Myzomela
5692,Myzomela wakoloensis,AU,PASSERIFORMES,Meliphagidae,Wakolo Mizomelası
5693,Myzomela sanguinolenta,AU,PASSERIFORMES,Meliphagidae,Al Mizomela
5694,Myzomela caledonica,AU,PASSERIFORMES,Meliphagidae,Yeni Kaledonya Mizomelası
5695,Myzomela cardinalis,"AU, PO",PASSERIFORMES,Meliphagidae,Kardinal Mizomelası
5696,Myzomela chermesina,PO,PASSERIFORMES,Meliphagidae,Rotuma Mizomelası
5697,Myzomela rubratra,PO,PASSERIFORMES,Meliphagidae,Mikronezya Mizomelası
5698,Myzomela sclateri,AU,PASSERIFORMES,Meliphagidae,Sclater Mizomelası
5699,Myzomela pammelaena,AU,PASSERIFORMES,Meliphagidae,Bismark Kara Mizomelası
5700,Myzomela lafargei,AU,PASSERIFORMES,Meliphagidae,Al Takkeli Mizomela
5701,Myzomela eichhorni,AU,PASSERIFORMES,Meliphagidae,Eichhorn Mizomelası
5702,Myzomela malaitae,AU,PASSERIFORMES,Meliphagidae,Malaita Mizomelası
5703,Myzomela melanocephala,AU,PASSERIFORMES,Meliphagidae,Kara Başlı Mizomela
5704,Myzomela tristrami,AU,PASSERIFORMES,Meliphagidae,Tristram Mizomelası
5705,Myzomela jugularis,PO,PASSERIFORMES,Meliphagidae,Fiji Mizomelası
5706,Myzomela erythromelas,AU,PASSERIFORMES,Meliphagidae,Al Başlı Mizomela
5707,Myzomela vulnerata,AU,PASSERIFORMES,Meliphagidae,Al Alaca Mizomela
5708,Myzomela rosenbergii,AU,PASSERIFORMES,Meliphagidae,Rosenberg Mizomelası
5709,Myzomela longirostris,AU,PASSERIFORMES,Meliphagidae,Long-billed Myzomela
5710,Philemon meyeri,AU,PASSERIFORMES,Meliphagidae,Küçük Keşişkuşu
5711,Philemon brassi,AU,PASSERIFORMES,Meliphagidae,Brass Keşişkuşu
5712,Philemon citreogularis,AU,PASSERIFORMES,Meliphagidae,Küçük Boz Keşişkuşu
5713,Philemon kisserensis,AU,PASSERIFORMES,Meliphagidae,Gri Yüzlü Keşişkuşu
5714,Philemon inornatus,AU,PASSERIFORMES,Meliphagidae,Timor Keşişkuşu
5715,Philemon fuscicapillus,AU,PASSERIFORMES,Meliphagidae,Maluku Keşişkuşu
5716,Philemon subcorniculatus,AU,PASSERIFORMES,Meliphagidae,Seram Keşişkuşu
5717,Philemon moluccensis,AU,PASSERIFORMES,Meliphagidae,Buru Keşişkuşu
5718,Philemon plumigenis,AU,PASSERIFORMES,Meliphagidae,Tanimbar Keşişkuşu
5719,Philemon buceroides,AU,PASSERIFORMES,Meliphagidae,Boynuzlu Keşişkuşu
5720,Philemon novaeguineae,AU,PASSERIFORMES,Meliphagidae,New Guinea Friarbird
5721,Philemon yorki,AU,PASSERIFORMES,Meliphagidae,Hornbill Friarbird
5722,Philemon cockerelli,AU,PASSERIFORMES,Meliphagidae,Yeni Britanya Keşişkuşu
5723,Philemon eichhorni,AU,PASSERIFORMES,Meliphagidae,Yeni İrlanda Keşişkuşu
5724,Philemon albitorques,AU,PASSERIFORMES,Meliphagidae,Akça Keşişkuşu
5725,Philemon argenticeps,AU,PASSERIFORMES,Meliphagidae,Yeleli Keşişkuşu
5726,Philemon corniculatus,AU,PASSERIFORMES,Meliphagidae,Bağırgan Keşişkuşu
5727,Philemon diemenensis,AU,PASSERIFORMES,Meliphagidae,Yeni Kaledonya Keşişkuşu
5728,Xanthotis polygrammus,AU,PASSERIFORMES,Meliphagidae,Çavuşlu Balkuşu
5729,Xanthotis macleayanus,AU,PASSERIFORMES,Meliphagidae,Macleay Balkuşu
5730,Xanthotis flaviventer,AU,PASSERIFORMES,Meliphagidae,Bal Göğüslü Balkuşu
5731,Plectorhyncha lanceolata,AU,PASSERIFORMES,Meliphagidae,Tekir Balkuşu
5732,Grantiella picta,AU,PASSERIFORMES,Meliphagidae,Boyalı Balkuşu
5733,Trichodere cockerelli,AU,PASSERIFORMES,Meliphagidae,Kırçıl Göğüslü Balkuşu
5734,Phylidonyris pyrrhopterus,AU,PASSERIFORMES,Meliphagidae,Kara Yakalı Balkuşu
5735,Phylidonyris novaehollandiae,AU,PASSERIFORMES,Meliphagidae,Yeni Hollanda Balkuşu
5736,Phylidonyris niger,AU,PASSERIFORMES,Meliphagidae,Ak Yanaklı Balkuşu
5737,Lichmera argentauris,AU,PASSERIFORMES,Meliphagidae,Sahil Balkuşu
5738,Lichmera indistincta,AU,PASSERIFORMES,Meliphagidae,Kahverengi Balkuşu
5739,Lichmera incana,AU,PASSERIFORMES,Meliphagidae,Gri Yanaklı Balkuşu
5740,Lichmera alboauricularis,AU,PASSERIFORMES,Meliphagidae,Gümüş Kulaklı Balkuşu
5741,Lichmera squamata,AU,PASSERIFORMES,Meliphagidae,Pul Göğüslü Balkuşu
5742,Lichmera deningeri,AU,PASSERIFORMES,Meliphagidae,Buru Balkuşu
5743,Lichmera monticola,AU,PASSERIFORMES,Meliphagidae,Seram Balkuşu
5744,Lichmera flavicans,AU,PASSERIFORMES,Meliphagidae,Timor Balkuşu
5745,Lichmera notabilis,AU,PASSERIFORMES,Meliphagidae,Kara Gerdanlı Balkuşu
5746,Cissomela pectoralis,AU,PASSERIFORMES,Meliphagidae,Kolyeli Balkuşu
5747,Guadalcanaria inexpectata,AU,PASSERIFORMES,Meliphagidae,Guadalkanal Balkuşu
5748,Meliarchus sclateri,AU,PASSERIFORMES,Meliphagidae,Makira Balkuşu
5749,Gymnomyza viridis,PO,PASSERIFORMES,Meliphagidae,Sarı Gagalı Balkuşu
5750,Gymnomyza brunneirostris,PO,PASSERIFORMES,Meliphagidae,Viti Levu Balkuşu
5751,Gymnomyza samoensis,PO,PASSERIFORMES,Meliphagidae,Mao Balkuşu
5752,Gymnomyza aubryana,AU,PASSERIFORMES,Meliphagidae,Balkargası
5753,Foulehaio carunculatus,PO,PASSERIFORMES,Meliphagidae,Sarı Bezeli Balkuşu
5754,Foulehaio taviunensis,PO,PASSERIFORMES,Meliphagidae,Sarı Bezeli Gri Balkuşu
5755,Foulehaio procerior,PO,PASSERIFORMES,Meliphagidae,Sarı Bezeli Büyük Balkuşu
5756,Meliphacator provocator,PO,PASSERIFORMES,Meliphagidae,Kandavu Balkuşu
5757,Nesoptilotis leucotis,AU,PASSERIFORMES,Meliphagidae,Ak Kulaklı Balkuşu
5758,Nesoptilotis flavicollis,AU,PASSERIFORMES,Meliphagidae,Sarı Boğazlı Balkuşu
5759,Entomyzon cyanotis,AU,PASSERIFORMES,Meliphagidae,Mavi Yüzlü Balkuşu
5760,Melithreptus gularis,AU,PASSERIFORMES,Meliphagidae,Kara Gıdılı Balkuşu
5761,Melithreptus validirostris,AU,PASSERIFORMES,Meliphagidae,Tasmanya Balkuşu
5762,Melithreptus brevirostris,AU,PASSERIFORMES,Meliphagidae,Kahverengi Başlı Balkuşu
5763,Melithreptus albogularis,AU,PASSERIFORMES,Meliphagidae,Ak Boğazlı Balkuşu
5764,Melithreptus lunatus,AU,PASSERIFORMES,Meliphagidae,Hilal Enseli Balkuşu
5765,Melithreptus chloropsis,AU,PASSERIFORMES,Meliphagidae,Gilbert Balkuşu
5766,Melithreptus affinis,AU,PASSERIFORMES,Meliphagidae,Kara Başlı Balkuşu
5767,Stomiopera unicolor,AU,PASSERIFORMES,Meliphagidae,Lümzalı Balkuşu
5768,Stomiopera flava,AU,PASSERIFORMES,Meliphagidae,Yeşil-Sarı Balkuşu
5769,Meliphaga aruensis,AU,PASSERIFORMES,Meliphagidae,Yeşilce Balkuşu
5770,Meliphaga notata,AU,PASSERIFORMES,Meliphagidae,Küçük Lewin Balkuşu
5771,Meliphaga lewinii,AU,PASSERIFORMES,Meliphagidae,Lewin Balkuşu
5772,Purnella albifrons,AU,PASSERIFORMES,Meliphagidae,Ak Alınlı Balkuşu
5773,Lichenostomus melanops,AU,PASSERIFORMES,Meliphagidae,Sarı Kulaklı Balkuşu
5774,Lichenostomus cratitius,AU,PASSERIFORMES,Meliphagidae,Erguvan Bıyıklı Balkuşu
5775,Microptilotis mimikae,AU,PASSERIFORMES,Meliphagidae,Mimika Balkuşu
5776,Microptilotis montanus,AU,PASSERIFORMES,Meliphagidae,Orman Balkuşu
5777,Microptilotis orientalis,AU,PASSERIFORMES,Meliphagidae,Dağ Balkuşu
5778,Microptilotis albonotatus,AU,PASSERIFORMES,Meliphagidae,Çalılık Balkuşu
5779,Microptilotis analogus,AU,PASSERIFORMES,Meliphagidae,Papua Balkuşu
5780,Microptilotis vicina,AU,PASSERIFORMES,Meliphagidae,Tagula Balkuşu
5781,Microptilotis gracilis,AU,PASSERIFORMES,Meliphagidae,Zarif Balkuşu
5782,Microptilotis imitatrix,AU,PASSERIFORMES,Meliphagidae,Avustralya Zarif Balkuşu
5783,Microptilotis cinereifrons,AU,PASSERIFORMES,Meliphagidae,Rand Balkuşu
5784,Microptilotis flavirictus,AU,PASSERIFORMES,Meliphagidae,Sarı Ağızlı Balkuşu
5785,Territornis albilineata,AU,PASSERIFORMES,Meliphagidae,Ak Bıyıklı Balkuşu
5786,Territornis fordiana,AU,PASSERIFORMES,Meliphagidae,Kimberley Balkuşu
5787,Territornis reticulata,AU,PASSERIFORMES,Meliphagidae,Çizgili Balkuşu
5788,Gavicalis versicolor,AU,PASSERIFORMES,Meliphagidae,Değişken Renkli Balkuşu
5789,Gavicalis fasciogularis,AU,PASSERIFORMES,Meliphagidae,Mangrov Balkuşu
5790,Gavicalis virescens,AU,PASSERIFORMES,Meliphagidae,Şarkıcı Balkuşu
5791,Oreornis chrysogenys,AU,PASSERIFORMES,Meliphagidae,Turuncu Yanaklı Balkuşu
5792,Ptilotula flavescens,AU,PASSERIFORMES,Meliphagidae,Sarımsı Balkuşu
5793,Ptilotula fusca,AU,PASSERIFORMES,Meliphagidae,Gri Balkuşu
5794,Ptilotula keartlandi,AU,PASSERIFORMES,Meliphagidae,Gri Başlı Balkuşu
5795,Ptilotula plumula,AU,PASSERIFORMES,Meliphagidae,Sarı-Siyah Yakalı Balkuşu
5796,Ptilotula ornata,AU,PASSERIFORMES,Meliphagidae,Sarı Yakalı Balkuşu
5797,Ptilotula penicillata,AU,PASSERIFORMES,Meliphagidae,Ak Yakalı Balkuşu
5798,Caligavis chrysops,AU,PASSERIFORMES,Meliphagidae,Sarı Yanaklı Balkuşu
5799,Caligavis subfrenata,AU,PASSERIFORMES,Meliphagidae,Dumanlı Balkuşu
5800,Caligavis obscura,AU,PASSERIFORMES,Meliphagidae,Yeşil-Gri Balkuşu
5801,Anthochaera chrysoptera,AU,PASSERIFORMES,Meliphagidae,Kızıl Kanatlı Balkuşu
5802,Anthochaera lunulata,AU,PASSERIFORMES,Meliphagidae,Batılı Kızıl Kanatlı Balkuşu
5803,Anthochaera carunculata,AU,PASSERIFORMES,Meliphagidae,Al Küpeli Balkuşu
5804,Anthochaera paradoxa,AU,PASSERIFORMES,Meliphagidae,Sarı Küpeli Balkuşu
5805,Anthochaera phrygia,AU,PASSERIFORMES,Meliphagidae,Alaca Benekli Balkuşu
5806,Acanthagenys rufogularis,AU,PASSERIFORMES,Meliphagidae,Diken Yanaklı Balkuşu
5807,Bolemoreus frenatus,AU,PASSERIFORMES,Meliphagidae,Sarı-Siyah Gagalı Balkuşu
5808,Bolemoreus hindwoodi,AU,PASSERIFORMES,Meliphagidae,Yungela Balkuşu
5809,Melidectes ochromelas,AU,PASSERIFORMES,Meliphagidae,Tarçın Kaşlı Balkuşu
5810,Melidectes leucostephes,AU,PASSERIFORMES,Meliphagidae,Vogelkop Balkuşu
5811,Melidectes rufocrissalis,AU,PASSERIFORMES,Meliphagidae,Sarı Kaşlı Balkuşu
5812,Melidectes foersteri,AU,PASSERIFORMES,Meliphagidae,Foerster Balkuşu
5813,Melidectes belfordi,AU,PASSERIFORMES,Meliphagidae,Belford Balkuşu
5814,Melidectes torquatus,AU,PASSERIFORMES,Meliphagidae,Süslü Balkuşu
5815,Manorina melanophrys,AU,PASSERIFORMES,Meliphagidae,Rastıklı Balkuşu
5816,Manorina melanocephala,AU,PASSERIFORMES,Meliphagidae,Geveze Balkuşu
5817,Manorina flavigula,AU,PASSERIFORMES,Meliphagidae,Sarı Gerdanlı Geveze Balkuşu
5818,Manorina melanotis,AU,PASSERIFORMES,Meliphagidae,Kara Pınarlı Geveze Balkuşu
5819,Dasyornis brachypterus,AU,PASSERIFORMES,Dasyornithidae,Doğulu Bıyıklıkuş
5820,Dasyornis longirostris,AU,PASSERIFORMES,Dasyornithidae,Batılı Bıyıklıkuş
5821,Dasyornis broadbenti,AU,PASSERIFORMES,Dasyornithidae,Kızıl Bıyıklıkuş
5822,Pardalotus punctatus,AU,PASSERIFORMES,Pardalotidae,Benekli Panterkuşu
5823,Pardalotus quadragintus,AU,PASSERIFORMES,Pardalotidae,Tasmanya Panterkuşu
5824,Pardalotus rubricatus,AU,PASSERIFORMES,Pardalotidae,Panterkuşu
5825,Pardalotus striatus,AU,PASSERIFORMES,Pardalotidae,Çizgili Panterkuşu
5826,Pachycare flavogriseum,AU,PASSERIFORMES,Acanthizidae,Altınsurat
5827,Oreoscopus gutturalis,AU,PASSERIFORMES,Acanthizidae,Eğreltibülbülü
5828,Acanthornis magna,AU,PASSERIFORMES,Acanthizidae,Ak Gözlü Akantiz
5829,Smicrornis brevirostris,AU,PASSERIFORMES,Acanthizidae,Güdük Gagalı Akantiz
5830,Calamanthus fuliginosus,AU,PASSERIFORMES,Acanthizidae,Ak Kaşlı Kır Akantizi
5831,Calamanthus montanellus,AU,PASSERIFORMES,Acanthizidae,Batılı Kır Akantizi
5832,Calamanthus campestris,AU,PASSERIFORMES,Acanthizidae,Kızılca Kır Akantizi
5833,Hylacola pyrrhopygia,AU,PASSERIFORMES,Acanthizidae,Boz Funda Akantizi
5834,Hylacola cauta,AU,PASSERIFORMES,Acanthizidae,Çizgili Funda Akantizi
5835,Pycnoptilus floccosus,AU,PASSERIFORMES,Acanthizidae,Liryoldaşı
5836,Pyrrholaemus brunneus,AU,PASSERIFORMES,Acanthizidae,Kızıl Boğazlı Akantiz
5837,Pyrrholaemus sagittatus,AU,PASSERIFORMES,Acanthizidae,Çizgili Akantiz
5838,Origma solitaria,AU,PASSERIFORMES,Acanthizidae,Kaya Akantizi
5839,Origma murina,AU,PASSERIFORMES,Acanthizidae,Kızılca Farebülbülü
5840,Origma robusta,AU,PASSERIFORMES,Acanthizidae,Boz Farebülbülü
5841,Neosericornis citreogularis,AU,PASSERIFORMES,Acanthizidae,Sarı Gerdanlı Serikornis
5842,Aethomyias nigrorufus,AU,PASSERIFORMES,Acanthizidae,Çift Renkli Farebülbülü
5843,Aethomyias spilodera,AU,PASSERIFORMES,Acanthizidae,Sarı Gagalı Serikornis
5844,Aethomyias rufescens,AU,PASSERIFORMES,Acanthizidae,Vogelkop Serikornisi
5845,Aethomyias perspicillatus,AU,PASSERIFORMES,Acanthizidae,Ekru Yüzlü Serikornis
5846,Aethomyias papuensis,AU,PASSERIFORMES,Acanthizidae,Papua Serikornisi
5847,Aethomyias arfakianus,AU,PASSERIFORMES,Acanthizidae,Arfak Serikornisi
5848,Sericornis magnirostra,AU,PASSERIFORMES,Acanthizidae,Kalın Gagalı Serikornis
5849,Sericornis beccarii,AU,PASSERIFORMES,Acanthizidae,Beccari Serikornisi
5850,Sericornis nouhuysi,AU,PASSERIFORMES,Acanthizidae,Büyük Serikornis
5851,Sericornis maculatus,AU,PASSERIFORMES,Acanthizidae,Spotted Scrubwren
5852,Sericornis humilis,AU,PASSERIFORMES,Acanthizidae,Tasmanya Serikornisi
5853,Sericornis keri,AU,PASSERIFORMES,Acanthizidae,Atherton Serikornisi
5854,Sericornis frontalis,AU,PASSERIFORMES,Acanthizidae,Ak Kaşlı Serikornis
5855,Sericornis virgatus,AU,PASSERIFORMES,Acanthizidae,Gizemli Serikornis
5856,Gerygone mouki,AU,PASSERIFORMES,Acanthizidae,Kahverengi Gerigon
5857,Gerygone igata,AU,PASSERIFORMES,Acanthizidae,Gri Gerigon
5858,Gerygone modesta,AU,PASSERIFORMES,Acanthizidae,Norfolk Adası Gerigonu
5859,Gerygone albofrontata,AU,PASSERIFORMES,Acanthizidae,Chatham Adası Gerigonu
5860,Gerygone flavolateralis,AU,PASSERIFORMES,Acanthizidae,Yelpaze Kuyruklu Gerigon
5861,Gerygone citrina,AU,PASSERIFORMES,Acanthizidae,Rennell Gerygone
5862,Gerygone ruficollis,AU,PASSERIFORMES,Acanthizidae,Krem Göğüslü Gerigon
5863,Gerygone sulphurea,"OR, AU",PASSERIFORMES,Acanthizidae,Sarı Göğüslü Gerigon
5864,Gerygone dorsalis,AU,PASSERIFORMES,Acanthizidae,Kızıl Sırtlı Gerigon
5865,Gerygone levigaster,AU,PASSERIFORMES,Acanthizidae,Mangrov Gerigonu
5866,Gerygone inornata,AU,PASSERIFORMES,Acanthizidae,Kurşuni Gerigon
5867,Gerygone fusca,AU,PASSERIFORMES,Acanthizidae,Boz Gerigon
5868,Gerygone tenebrosa,AU,PASSERIFORMES,Acanthizidae,Ak Gözlü Mangrov Gerigonu
5869,Gerygone magnirostris,AU,PASSERIFORMES,Acanthizidae,İri Gagalı Gerigon
5870,Gerygone hypoxantha,AU,PASSERIFORMES,Acanthizidae,Biak Gerigonu
5871,Gerygone chrysogaster,AU,PASSERIFORMES,Acanthizidae,Sarı Etekli Gerigon
5872,Gerygone chloronota,AU,PASSERIFORMES,Acanthizidae,Yeşil Sırtlı Gerigon
5873,Gerygone olivacea,AU,PASSERIFORMES,Acanthizidae,Ak Boğazlı Gerigon
5874,Gerygone palpebrosa,AU,PASSERIFORMES,Acanthizidae,Peri Gerigonu
5875,Acanthiza katherina,AU,PASSERIFORMES,Acanthizidae,Dağ Dikengagası
5876,Acanthiza pusilla,AU,PASSERIFORMES,Acanthizidae,Kahverengi Dikengaga
5877,Acanthiza apicalis,AU,PASSERIFORMES,Acanthizidae,Al Gözlü Dikengaga
5878,Acanthiza ewingii,AU,PASSERIFORMES,Acanthizidae,Tasmanya Dikengagası
5879,Acanthiza murina,AU,PASSERIFORMES,Acanthizidae,Papua Dikengagası
5880,Acanthiza uropygialis,AU,PASSERIFORMES,Acanthizidae,Kestane Belli Dikengaga
5881,Acanthiza reguloides,AU,PASSERIFORMES,Acanthizidae,Keten Belli Dikengaga
5882,Acanthiza inornata,AU,PASSERIFORMES,Acanthizidae,Batılı Boz Dikengaga
5883,Acanthiza iredalei,AU,PASSERIFORMES,Acanthizidae,Boz Dikengaga
5884,Acanthiza chrysorrhoa,AU,PASSERIFORMES,Acanthizidae,Sarı Belli Dikengaga
5885,Acanthiza nana,AU,PASSERIFORMES,Acanthizidae,Sarı Dikengaga
5886,Acanthiza cinerea,AU,PASSERIFORMES,Acanthizidae,Gri Dikengaga
5887,Acanthiza lineata,AU,PASSERIFORMES,Acanthizidae,Çizgili Dikengaga
5888,Acanthiza robustirostris,AU,PASSERIFORMES,Acanthizidae,Gri Sırtlı Dikengaga
5889,Aphelocephala leucopsis,AU,PASSERIFORMES,Acanthizidae,Güneyli Ahu Akantiz
5890,Aphelocephala pectoralis,AU,PASSERIFORMES,Acanthizidae,Kestane Kuşaklı Ahu Akantiz
5891,Aphelocephala nigricincta,AU,PASSERIFORMES,Acanthizidae,Kara Kuşaklı Ahu Akantiz
5892,Garritornis isidorei,AU,PASSERIFORMES,Pomatostomidae,Papua Gevezeardıcı
5893,Pomatostomus temporalis,AU,PASSERIFORMES,Pomatostomidae,Gri Alınlı Gevezeardıç
5894,Pomatostomus halli,AU,PASSERIFORMES,Pomatostomidae,Hall Gevezeardıcı
5895,Pomatostomus superciliosus,AU,PASSERIFORMES,Pomatostomidae,Ak Kaşlı Gevezeardıç
5896,Pomatostomus ruficeps,AU,PASSERIFORMES,Pomatostomidae,Kestane Alınlı Gevezeardıç
5897,Orthonyx novaeguineae,AU,PASSERIFORMES,Orthonychidae,Papua Dalcambazı
5898,Orthonyx temminckii,AU,PASSERIFORMES,Orthonychidae,Avustralya Dalcambazı
5899,Orthonyx spaldingii,AU,PASSERIFORMES,Orthonychidae,Alaca Dalcambazı
5900,Cnemophilus loriae,AU,PASSERIFORMES,Cnemophilidae,Siyah Atlaskuşu
5901,Cnemophilus macgregorii,AU,PASSERIFORMES,Cnemophilidae,Kırmızı Atlaskuşu
5902,Loboparadisea sericea,AU,PASSERIFORMES,Cnemophilidae,Sarı Göğüslü Atlaskuşu
5903,Melanocharis arfakiana,AU,PASSERIFORMES,Melanocharitidae,Koyu Renkli Meyvekuşu
5904,Melanocharis longicauda,AU,PASSERIFORMES,Melanocharitidae,Uzun Kuyruklu Meyvekuşu
5905,Melanocharis nigra,AU,PASSERIFORMES,Melanocharitidae,Kara Meyvekuşu
5906,Melanocharis versteri,AU,PASSERIFORMES,Melanocharitidae,Yelpaze Kuyruklu Meyvekuşu
5907,Melanocharis striativentris,AU,PASSERIFORMES,Melanocharitidae,Çizgili Meyvekuşu
5908,Melanocharis citreola,AU,PASSERIFORMES,Melanocharitidae,Saten Meyvakuşu
5909,Rhamphocharis crassirostris,AU,PASSERIFORMES,Melanocharitidae,Kalın Gagalı Meyvekuşu
5910,Rhamphocharis piperata,AU,PASSERIFORMES,Melanocharitidae,Spotted Berrypecker
5911,Oedistoma iliolophus,AU,PASSERIFORMES,Melanocharitidae,Gözlüklü Uzungaga
5912,Oedistoma pygmaeum,AU,PASSERIFORMES,Melanocharitidae,Küçük Uzungaga
5913,Toxorhamphus novaeguineae,AU,PASSERIFORMES,Melanocharitidae,Sarı Karınlı Uzungaga
5914,Toxorhamphus poliopterus,AU,PASSERIFORMES,Melanocharitidae,Gri Başlı Uzungaga
5915,Oreocharis arfaki,AU,PASSERIFORMES,Paramythiidae,Sarı Yemişkakan
5916,Paramythia olivacea,AU,PASSERIFORMES,Paramythiidae,Western Crested Berrypecker
5917,Paramythia montium,AU,PASSERIFORMES,Paramythiidae,Boyalı Yemişkakan
5918,Callaeas wilsoni,AU,PASSERIFORMES,Callaeidae,Kuzey Adası Kokakosu
5919,Philesturnus rufusater,AU,PASSERIFORMES,Callaeidae,Kuzey Adası Eğerkuşu
5920,Philesturnus carunculatus,AU,PASSERIFORMES,Callaeidae,Güney Adası Eğerkuşu
5921,Notiomystis cincta,AU,PASSERIFORMES,Notiomystidae,Hihi
5922,Androphobus viridis,AU,PASSERIFORMES,Psophodidae,Papua Kamçıkuşu
5923,Psophodes olivaceus,AU,PASSERIFORMES,Psophodidae,Kara Göğüslü Kamçıkuşu
5924,Psophodes nigrogularis,AU,PASSERIFORMES,Psophodidae,Kara Boğazlı Kamçıkuşu
5925,Psophodes leucogaster,AU,PASSERIFORMES,Psophodidae,White-bellied Whipbird
5926,Psophodes cristatus,AU,PASSERIFORMES,Psophodidae,Düetçi Boz Kamçıkuşu
5927,Psophodes occidentalis,AU,PASSERIFORMES,Psophodidae,Boz Kamçıkuşu
5928,Ptilorrhoa leucosticta,AU,PASSERIFORMES,Cinclosomatidae,Benekli Çilardıcı
5929,Ptilorrhoa caerulescens,AU,PASSERIFORMES,Cinclosomatidae,Mavi Çilardıcı
5930,Ptilorrhoa geislerorum,AU,PASSERIFORMES,Cinclosomatidae,Gri Başlı Çilardıcı
5931,Ptilorrhoa castanonota,AU,PASSERIFORMES,Cinclosomatidae,Sedef Kanatlı Çilardıcı
