,IOC,Breeding Range,Order,Family,Finnish
113,Tadorna tadornoides,AU,ANSERIFORMES,Anatidae,australiansorsa
114,Tadorna variegata,AU,ANSERIFORMES,Anatidae,paratiisisorsa
115,Malacorhynchus membranaceus,AU,ANSERIFORMES,Anatidae,liuskanokkasorsa
116,Salvadorina waigiuensis,AU,ANSERIFORMES,Anatidae,papuansorsa
117,Cairina moschata,"NA, MA, SA",ANSERIFORMES,Anatidae,myskisorsa
118,Asarcornis scutulata,OR,ANSERIFORMES,Anatidae,sumatransorsa
119,Pteronetta hartlaubii,AF,ANSERIFORMES,Anatidae,kanelisorsa
120,Aix galericulata,PAL,ANSERIFORMES,Anatidae,mandariinisorsa
121,Chenonetta jubata,AU,ANSERIFORMES,Anatidae,lyijysorsa
122,Nettapus auritus,AF,ANSERIFORMES,Anatidae,afrikankääpiösorsa
123,Nettapus coromandelianus,OR,ANSERIFORMES,Anatidae,aasiankääpiösorsa
124,Nettapus pulchellus,AU,ANSERIFORMES,Anatidae,australiankääpiösorsa
125,Amazonetta brasiliensis,SA,ANSERIFORMES,Anatidae,brasiliantavi
126,Callonetta leucophrys,SA,ANSERIFORMES,Anatidae,pisamatavi
127,Lophonetta specularioides,SA,ANSERIFORMES,Anatidae,tukkasorsa
128,Speculanas specularis,SA,ANSERIFORMES,Anatidae,sepelsorsa
129,Sibirionetta formosa,PAL,ANSERIFORMES,Anatidae,siperiantavi
130,Spatula querquedula,PAL,ANSERIFORMES,Anatidae,heinätavi
131,Spatula hottentota,AF,ANSERIFORMES,Anatidae,pikkutavi
132,Spatula puna,SA,ANSERIFORMES,Anatidae,ylänkötavi
133,Spatula versicolor,SA,ANSERIFORMES,Anatidae,kalottitavi
134,Spatula platalea,SA,ANSERIFORMES,Anatidae,argentiinanlapasorsa
135,Spatula cyanoptera,"NA, MA, SA",ANSERIFORMES,Anatidae,punatavi
136,Spatula smithii,AF,ANSERIFORMES,Anatidae,kapinlapasorsa
137,Spatula rhynchotis,AU,ANSERIFORMES,Anatidae,australianlapasorsa
138,Spatula clypeata,"NA, PAL",ANSERIFORMES,Anatidae,lapasorsa
139,Mareca strepera,"NA, PAL",ANSERIFORMES,Anatidae,harmaasorsa
140,Mareca falcata,PAL,ANSERIFORMES,Anatidae,sirppisorsa
141,Mareca penelope,PAL,ANSERIFORMES,Anatidae,haapana
142,Mareca sibilatrix,SA,ANSERIFORMES,Anatidae,patagonianhaapana
143,Anas sparsa,AF,ANSERIFORMES,Anatidae,afrikannokisorsa
144,Anas undulata,AF,ANSERIFORMES,Anatidae,keltanokkasorsa
145,Anas melleri,AF,ANSERIFORMES,Anatidae,madagaskarinsorsa
146,Anas superciliosa,AU,ANSERIFORMES,Anatidae,juovanaamasorsa
147,Anas laysanensis,PO,ANSERIFORMES,Anatidae,laysaninsorsa
148,Anas wyvilliana,PO,ANSERIFORMES,Anatidae,havaijinsorsa
149,Anas luzonica,OR,ANSERIFORMES,Anatidae,filippiiniensorsa
150,Anas poecilorhyncha,OR,ANSERIFORMES,Anatidae,täplänokkasorsa
151,Anas zonorhyncha,OR,ANSERIFORMES,Anatidae,hymysorsa
152,Anas platyrhynchos,"NA, PAL",ANSERIFORMES,Anatidae,sinisorsa
153,Anas diazi,"NA, MA",ANSERIFORMES,Anatidae,Mexican Duck
154,Anas capensis,AF,ANSERIFORMES,Anatidae,punanokkatavi
155,Anas bahamensis,"SA, NA",ANSERIFORMES,Anatidae,valkoposkisorsa
156,Anas erythrorhyncha,AF,ANSERIFORMES,Anatidae,punanokkasorsa
157,Anas georgica,SA,ANSERIFORMES,Anatidae,suippopyrstösorsa
158,Anas eatoni,IO,ANSERIFORMES,Anatidae,kergueleninjouhisorsa
159,Anas acuta,"NA, PAL",ANSERIFORMES,Anatidae,jouhisorsa
160,Anas crecca,"PAL, NA",ANSERIFORMES,Anatidae,tavi
161,Anas flavirostris,SA,ANSERIFORMES,Anatidae,harmaatavi
162,Anas andium,SA,ANSERIFORMES,Anatidae,pohjoisandientavi
163,Anas gibberifrons,OR,ANSERIFORMES,Anatidae,suomutavi
164,Anas albogularis,OR,ANSERIFORMES,Anatidae,Andaman Teal
165,Anas gracilis,AU,ANSERIFORMES,Anatidae,australiansuomutavi
166,Anas castanea,AU,ANSERIFORMES,Anatidae,australiantavi
167,Anas bernieri,AF,ANSERIFORMES,Anatidae,madagaskarintavi
168,Anas chlorotis,AU,ANSERIFORMES,Anatidae,ruskotavi
169,Anas aucklandica,AU,ANSERIFORMES,Anatidae,uudenseelannintavi
170,Anas nesiotis,AU,ANSERIFORMES,Anatidae,dentintavi
171,Marmaronetta angustirostris,PAL,ANSERIFORMES,Anatidae,marmorisorsa
172,Netta rufina,PAL,ANSERIFORMES,Anatidae,punapäänarsku
173,Netta peposaca,SA,ANSERIFORMES,Anatidae,kyhmynarsku
174,Netta erythrophthalma,"AF, SA",ANSERIFORMES,Anatidae,ruskonarsku
175,Aythya ferina,PAL,ANSERIFORMES,Anatidae,punasotka
176,Aythya australis,AU,ANSERIFORMES,Anatidae,australiansotka
177,Aythya innotata,AF,ANSERIFORMES,Anatidae,madagaskarinsotka
178,Aythya baeri,PAL,ANSERIFORMES,Anatidae,kiinansotka
179,Aythya nyroca,PAL,ANSERIFORMES,Anatidae,ruskosotka
180,Aythya novaeseelandiae,AU,ANSERIFORMES,Anatidae,uudenseelanninsotka
181,Aythya fuligula,PAL,ANSERIFORMES,Anatidae,tukkasotka
182,Aythya marila,"NA, PAL",ANSERIFORMES,Anatidae,lapasotka
183,Polysticta stelleri,"NA, PAL",ANSERIFORMES,Anatidae,allihaahka
184,Somateria fischeri,"NA, PAL",ANSERIFORMES,Anatidae,silmälasihaahka
185,Somateria spectabilis,"NA, PAL",ANSERIFORMES,Anatidae,kyhmyhaahka
186,Somateria mollissima,"NA, PAL",ANSERIFORMES,Anatidae,haahka
187,Histrionicus histrionicus,"NA, PAL",ANSERIFORMES,Anatidae,virta-alli
188,Melanitta fusca,PAL,ANSERIFORMES,Anatidae,pilkkasiipi
189,Melanitta stejnegeri,PAL,ANSERIFORMES,Anatidae,Stejneger's Scoter
190,Melanitta nigra,PAL,ANSERIFORMES,Anatidae,mustalintu
191,Melanitta americana,"PAL, NA",ANSERIFORMES,Anatidae,amerikanmustalintu
192,Clangula hyemalis,"NA, PAL",ANSERIFORMES,Anatidae,alli
193,Bucephala clangula,"NA, PAL",ANSERIFORMES,Anatidae,telkkä
194,Bucephala islandica,"NA, PAL",ANSERIFORMES,Anatidae,amerikantelkkä
195,Mergellus albellus,PAL,ANSERIFORMES,Anatidae,uivelo
196,Mergus octosetaceus,SA,ANSERIFORMES,Anatidae,brasiliankoskelo
197,Mergus merganser,"NA, PAL",ANSERIFORMES,Anatidae,isokoskelo
198,Mergus serrator,"NA, PAL",ANSERIFORMES,Anatidae,tukkakoskelo
199,Mergus squamatus,PAL,ANSERIFORMES,Anatidae,amurinkoskelo
200,Heteronetta atricapilla,SA,ANSERIFORMES,Anatidae,loissorsa
201,Nomonyx dominicus,"MA, SA",ANSERIFORMES,Anatidae,naamiokuparisorsa
202,Oxyura jamaicensis,"NA, MA",ANSERIFORMES,Anatidae,kuparisorsa
203,Oxyura ferruginea,SA,ANSERIFORMES,Anatidae,andienkuparisorsa
204,Oxyura vittata,SA,ANSERIFORMES,Anatidae,argentiinankuparisorsa
205,Oxyura australis,AU,ANSERIFORMES,Anatidae,australiankuparisorsa
206,Oxyura maccoa,AF,ANSERIFORMES,Anatidae,afrikankuparisorsa
207,Oxyura leucocephala,PAL,ANSERIFORMES,Anatidae,valkopääsorsa
208,Biziura lobata,AU,ANSERIFORMES,Anatidae,helttasorsa
209,Alectura lathami,AU,GALLIFORMES,Megapodiidae,kekokana
210,Aepypodius arfakianus,AU,GALLIFORMES,Megapodiidae,helttatalekana
211,Aepypodius bruijnii,AU,GALLIFORMES,Megapodiidae,vaigeuntalekana
212,Talegalla cuvieri,AU,GALLIFORMES,Megapodiidae,punanokkatalekana
213,Talegalla fuscirostris,AU,GALLIFORMES,Megapodiidae,mustanokkatalekana
214,Talegalla jobiensis,AU,GALLIFORMES,Megapodiidae,vuoritalekana
215,Leipoa ocellata,AU,GALLIFORMES,Megapodiidae,malleekana
216,Macrocephalon maleo,AU,GALLIFORMES,Megapodiidae,vasarapääkana
217,Eulipoa wallacei,AU,GALLIFORMES,Megapodiidae,molukkienisojalka
218,Megapodius pritchardii,PO,GALLIFORMES,Megapodiidae,niuafounisojalka
219,Megapodius laperouse,PO,GALLIFORMES,Megapodiidae,mariaanienisojalka
220,Megapodius nicobariensis,OR,GALLIFORMES,Megapodiidae,nikobaarienisojalka
221,Megapodius cumingii,"OR, AU",GALLIFORMES,Megapodiidae,filippiinienisojalka
222,Megapodius bernsteinii,AU,GALLIFORMES,Megapodiidae,sulanisojalka
223,Megapodius tenimberensis,AU,GALLIFORMES,Megapodiidae,tanimbarinisojalka
224,Megapodius freycinet,AU,GALLIFORMES,Megapodiidae,isojalka
225,Megapodius geelvinkianus,AU,GALLIFORMES,Megapodiidae,supiorinisojalka
226,Megapodius eremita,AU,GALLIFORMES,Megapodiidae,harmaaisojalka
227,Megapodius layardi,AU,GALLIFORMES,Megapodiidae,vanuatunisojalka
228,Megapodius decollatus,AU,GALLIFORMES,Megapodiidae,papuanisojalka
229,Megapodius reinwardt,AU,GALLIFORMES,Megapodiidae,australianisojalka
230,Ortalis vetula,"NA, MA",GALLIFORMES,Cracidae,jukataninkaklattaja
231,Ortalis cinereiceps,"MA, SA",GALLIFORMES,Cracidae,panamankaklattaja
232,Ortalis garrula,SA,GALLIFORMES,Cracidae,kolumbiankaklattaja
233,Ortalis ruficauda,SA,GALLIFORMES,Cracidae,punaperäkaklattaja
234,Ortalis erythroptera,SA,GALLIFORMES,Cracidae,ecuadorinkaklattaja
235,Ortalis wagleri,MA,GALLIFORMES,Cracidae,kastanjavatsakaklattaja
236,Ortalis poliocephala,MA,GALLIFORMES,Cracidae,meksikonkaklattaja
237,Ortalis canicollis,SA,GALLIFORMES,Cracidae,mustaotsakaklattaja
238,Ortalis leucogastra,MA,GALLIFORMES,Cracidae,valkovatsakaklattaja
239,Ortalis guttata,SA,GALLIFORMES,Cracidae,suomukaklattaja
240,Ortalis araucuan,SA,GALLIFORMES,Cracidae,itäbrasiliankaklattaja
241,Ortalis squamata,SA,GALLIFORMES,Cracidae,idänsuomukaklattaja
242,Ortalis columbiana,SA,GALLIFORMES,Cracidae,magdalenankaklattaja
243,Ortalis motmot,SA,GALLIFORMES,Cracidae,amazoniankaklattaja
244,Ortalis ruficeps,SA,GALLIFORMES,Cracidae,Chestnut-headed Chachalaca
245,Ortalis superciliaris,SA,GALLIFORMES,Cracidae,vaaleakulmakaklattaja
246,Penelope argyrotis,SA,GALLIFORMES,Cracidae,vuorisaku
247,Penelope barbata,SA,GALLIFORMES,Cracidae,partasaku
248,Penelope ortoni,SA,GALLIFORMES,Cracidae,viidakkosaku
249,Penelope montagnii,SA,GALLIFORMES,Cracidae,andiensaku
250,Penelope marail,SA,GALLIFORMES,Cracidae,viherselkäsaku
251,Penelope superciliaris,SA,GALLIFORMES,Cracidae,ruostesaku
252,Penelope dabbenei,SA,GALLIFORMES,Cracidae,punanaamiosaku
253,Penelope purpurascens,"MA, SA",GALLIFORMES,Cracidae,isosaku
254,Penelope perspicax,SA,GALLIFORMES,Cracidae,kolumbiansaku
255,Penelope albipennis,SA,GALLIFORMES,Cracidae,perunsaku
256,Penelope jacquacu,SA,GALLIFORMES,Cracidae,amazoniansaku
257,Penelope obscura,SA,GALLIFORMES,Cracidae,tummajalkasaku
258,Penelope bridgesi,SA,GALLIFORMES,Cracidae,Yungas Guan
259,Penelope pileata,SA,GALLIFORMES,Cracidae,valkotöyhtösaku
260,Penelope ochrogaster,SA,GALLIFORMES,Cracidae,ruskovatsasaku
261,Penelope jacucaca,SA,GALLIFORMES,Cracidae,valkokulmasaku
262,Pipile pipile,SA,GALLIFORMES,Cracidae,trinidadinsaku
263,Pipile cumanensis,SA,GALLIFORMES,Cracidae,sinikurkkusaku
264,Pipile grayi,SA,GALLIFORMES,Cracidae,White-throated Piping Guan
265,Pipile cujubi,SA,GALLIFORMES,Cracidae,punakurkkusaku
266,Pipile jacutinga,SA,GALLIFORMES,Cracidae,mustaotsasaku
