,IOC,Breeding Range,Order,Family,Finnish
4401,Ancistrops strigilatus,SA,PASSERIFORMES,Furnariidae,hakanokkaorneero
4402,Dendroma rufa,"MA, SA",PASSERIFORMES,Furnariidae,ruostetiaisorneero
4403,Dendroma erythroptera,SA,PASSERIFORMES,Furnariidae,kastanjasiipiorneero
4404,Clibanornis dendrocolaptoides,SA,PASSERIFORMES,Furnariidae,bambuorneero
4405,Clibanornis rectirostris,SA,PASSERIFORMES,Furnariidae,ruso-orneero
4406,Clibanornis erythrocephalus,SA,PASSERIFORMES,Furnariidae,rusohuppuorneero
4407,Clibanornis rubiginosus,"MA, SA",PASSERIFORMES,Furnariidae,tummaorneero
4408,Clibanornis rufipectus,SA,PASSERIFORMES,Furnariidae,santamartanorneero
4409,Thripadectes ignobilis,SA,PASSERIFORMES,Furnariidae,ruskoviiruorneero
4410,Thripadectes flammulatus,SA,PASSERIFORMES,Furnariidae,kultaviiruorneero
4411,Thripadectes scrutator,SA,PASSERIFORMES,Furnariidae,isoviiruorneero
4412,Thripadectes rufobrunneus,MA,PASSERIFORMES,Furnariidae,viirurintaorneero
4413,Thripadectes melanorhynchus,SA,PASSERIFORMES,Furnariidae,mustanokkaorneero
4414,Thripadectes holostictus,SA,PASSERIFORMES,Furnariidae,viiruorneero
4415,Thripadectes virgaticeps,SA,PASSERIFORMES,Furnariidae,viiruhuppuorneero
4416,Automolus rufipileatus,SA,PASSERIFORMES,Furnariidae,oranssisilmäorneero
4417,Automolus melanopezus,SA,PASSERIFORMES,Furnariidae,isolehtiorneero
4418,Automolus cervinigularis,MA,PASSERIFORMES,Furnariidae,Fawn-throated Foliage-gleaner
4419,Automolus ochrolaemus,"MA, SA",PASSERIFORMES,Furnariidae,säämiskäkurkkuorneero
4420,Automolus exsertus,MA,PASSERIFORMES,Furnariidae,Chiriqui Foliage-gleaner
4421,Automolus subulatus,SA,PASSERIFORMES,Furnariidae,räikkäorneero
4422,Automolus virgatus,"MA, SA",PASSERIFORMES,Furnariidae,Western Woodhaunter
4423,Automolus infuscatus,SA,PASSERIFORMES,Furnariidae,harmaavatsaorneero
4424,Automolus paraensis,SA,PASSERIFORMES,Furnariidae,paranorneero
4425,Automolus lammi,SA,PASSERIFORMES,Furnariidae,pernambuconorneero
4426,Automolus leucophthalmus,SA,PASSERIFORMES,Furnariidae,valkosilmäorneero
4427,Premnoplex brunnescens,"MA, SA",PASSERIFORMES,Furnariidae,pisaraorneero
4428,Premnoplex tatei,SA,PASSERIFORMES,Furnariidae,valkopisaraorneero
4429,Margarornis bellulus,MA,PASSERIFORMES,Furnariidae,kyynelorneero
4430,Margarornis rubiginosus,MA,PASSERIFORMES,Furnariidae,punaorneero
4431,Margarornis stellatus,SA,PASSERIFORMES,Furnariidae,tähtiorneero
4432,Margarornis squamiger,SA,PASSERIFORMES,Furnariidae,helmiorneero
4433,Aphrastura spinicauda,SA,PASSERIFORMES,Furnariidae,andientulikulma
4434,Aphrastura masafuerae,SA,PASSERIFORMES,Furnariidae,juanfernandezintulikulma
4435,Sylviorthorhynchus desmurii,SA,PASSERIFORMES,Furnariidae,harsupyrstö
4436,Sylviorthorhynchus yanacensis,SA,PASSERIFORMES,Furnariidae,ruosteharsupyrstö
4437,Leptasthenura fuliginiceps,SA,PASSERIFORMES,Furnariidae,ruostepiikkipyrstö
4438,Leptasthenura platensis,SA,PASSERIFORMES,Furnariidae,töyhtöpiikkipyrstö
4439,Leptasthenura aegithaloides,SA,PASSERIFORMES,Furnariidae,mustapiikkipyrstö
4440,Leptasthenura striolata,SA,PASSERIFORMES,Furnariidae,pähkinäpiikkipyrstö
4441,Leptasthenura pileata,SA,PASSERIFORMES,Furnariidae,perunpiikkipyrstö
4442,Leptasthenura xenothorax,SA,PASSERIFORMES,Furnariidae,vuoripiikkipyrstö
4443,Leptasthenura striata,SA,PASSERIFORMES,Furnariidae,pikkupiikkipyrstö
4444,Leptasthenura andicola,SA,PASSERIFORMES,Furnariidae,andienpiikkipyrstö
4445,Leptasthenura setaria,SA,PASSERIFORMES,Furnariidae,isopiikkipyrstö
4446,Phacellodomus rufifrons,SA,PASSERIFORMES,Furnariidae,linnarisuttaja
4447,Phacellodomus inornatus,SA,PASSERIFORMES,Furnariidae,Plain Thornbird
4448,Phacellodomus striaticeps,SA,PASSERIFORMES,Furnariidae,viiruotsarisuttaja
4449,Phacellodomus sibilatrix,SA,PASSERIFORMES,Furnariidae,pikkurisuttaja
4450,Phacellodomus dorsalis,SA,PASSERIFORMES,Furnariidae,naskalirisuttaja
4451,Phacellodomus maculipectus,SA,PASSERIFORMES,Furnariidae,täplärintarisuttaja
4452,Phacellodomus striaticollis,SA,PASSERIFORMES,Furnariidae,pilkkurintarisuttaja
4453,Phacellodomus ruber,SA,PASSERIFORMES,Furnariidae,isorisuttaja
4454,Phacellodomus erythrophthalmus,SA,PASSERIFORMES,Furnariidae,ruskorisuttaja
4455,Phacellodomus ferrugineigula,SA,PASSERIFORMES,Furnariidae,punasilmärisuttaja
4456,Hellmayrea gularis,SA,PASSERIFORMES,Furnariidae,viitaorneero
4457,Anumbius annumbi,SA,PASSERIFORMES,Furnariidae,leukalappuorneero
4458,Coryphistera alaudina,SA,PASSERIFORMES,Furnariidae,kiuruorneero
4459,Asthenes dorbignyi,SA,PASSERIFORMES,Furnariidae,punaperäkanastero
4460,Asthenes arequipae,SA,PASSERIFORMES,Furnariidae,Dark-winged Canastero
4461,Asthenes huancavelicae,SA,PASSERIFORMES,Furnariidae,Pale-tailed Canastero
4462,Asthenes berlepschi,SA,PASSERIFORMES,Furnariidae,metsäkanastero
4463,Asthenes baeri,SA,PASSERIFORMES,Furnariidae,lyhytnokkakanastero
4464,Asthenes luizae,SA,PASSERIFORMES,Furnariidae,ciponkanastero
4465,Asthenes hudsoni,SA,PASSERIFORMES,Furnariidae,suokanastero
4466,Asthenes anthoides,SA,PASSERIFORMES,Furnariidae,chilenkanastero
4467,Asthenes urubambensis,SA,PASSERIFORMES,Furnariidae,tummakanastero
4468,Asthenes flammulata,SA,PASSERIFORMES,Furnariidae,viirukanastero
4469,Asthenes virgata,SA,PASSERIFORMES,Furnariidae,pensaskanastero
4470,Asthenes maculicauda,SA,PASSERIFORMES,Furnariidae,viirupyrstökanastero
4471,Asthenes wyatti,SA,PASSERIFORMES,Furnariidae,lakikanastero
4472,Asthenes humilis,SA,PASSERIFORMES,Furnariidae,punankanastero
4473,Asthenes modesta,SA,PASSERIFORMES,Furnariidae,kolokanastero
4474,Asthenes moreirae,SA,PASSERIFORMES,Furnariidae,rionpiikkipyrstö
4475,Asthenes pyrrholeuca,SA,PASSERIFORMES,Furnariidae,purokanastero
4476,Asthenes harterti,SA,PASSERIFORMES,Furnariidae,bolivianpiikkipyrstö
4477,Asthenes helleri,SA,PASSERIFORMES,Furnariidae,punanpiikkipyrstö
4478,Asthenes vilcabambae,SA,PASSERIFORMES,Furnariidae,vilcabambanpiikkipyrstö
4479,Asthenes ayacuchensis,SA,PASSERIFORMES,Furnariidae,Ayacucho Thistletail
4480,Asthenes pudibunda,SA,PASSERIFORMES,Furnariidae,kanjonikanastero
4481,Asthenes ottonis,SA,PASSERIFORMES,Furnariidae,ruosteotsakanastero
4482,Asthenes heterura,SA,PASSERIFORMES,Furnariidae,isokanastero
4483,Asthenes palpebralis,SA,PASSERIFORMES,Furnariidae,rillipiikkipyrstö
4484,Asthenes coryi,SA,PASSERIFORMES,Furnariidae,okrapiikkipyrstö
4485,Asthenes perijana,SA,PASSERIFORMES,Furnariidae,perijanpiikkipyrstö
4486,Asthenes fuliginosa,SA,PASSERIFORMES,Furnariidae,ruskopiikkipyrstö
4487,Asthenes griseomurina,SA,PASSERIFORMES,Furnariidae,hiiripiikkipyrstö
4488,Acrobatornis fonsecai,SA,PASSERIFORMES,Furnariidae,punajalkaorneero
4489,Metopothrix aurantiaca,SA,PASSERIFORMES,Furnariidae,oranssiotsaorneero
4490,Xenerpestes minlosi,"MA, SA",PASSERIFORMES,Furnariidae,harmaakerttuorneero
4491,Xenerpestes singularis,SA,PASSERIFORMES,Furnariidae,kerttuorneero
4492,Siptornis striaticollis,SA,PASSERIFORMES,Furnariidae,rilliorneero
4493,Roraimia adusta,SA,PASSERIFORMES,Furnariidae,tepuihelmiorneero
4494,Thripophaga gutturata,SA,PASSERIFORMES,Furnariidae,pisamakanastero
4495,Thripophaga macroura,SA,PASSERIFORMES,Furnariidae,viirurintakanastero
4496,Thripophaga cherriei,SA,PASSERIFORMES,Furnariidae,punaleukakanastero
4497,Thripophaga amacurensis,SA,PASSERIFORMES,Furnariidae,pisararintakanastero
4498,Thripophaga fusciceps,SA,PASSERIFORMES,Furnariidae,säämiskäkanastero
4499,Limnoctites rectirostris,SA,PASSERIFORMES,Furnariidae,pikkuruoko-orneero
4500,Limnoctites sulphuriferus,SA,PASSERIFORMES,Furnariidae,rikkitäpläorneero
4501,Cranioleuca berlepschi,SA,PASSERIFORMES,Furnariidae,ruosteselkäorneero
4502,Cranioleuca weskei,SA,PASSERIFORMES,Furnariidae,Vilcabamba Spinetail
4503,Cranioleuca marcapatae,SA,PASSERIFORMES,Furnariidae,cuzconorneero
4504,Cranioleuca albiceps,SA,PASSERIFORMES,Furnariidae,valkolakkiorneero
4505,Cranioleuca vulpina,SA,PASSERIFORMES,Furnariidae,kettuorneero
4506,Cranioleuca dissita,MA,PASSERIFORMES,Furnariidae,Coiba Spinetail
4507,Cranioleuca vulpecula,SA,PASSERIFORMES,Furnariidae,jokiorneero
4508,Cranioleuca subcristata,SA,PASSERIFORMES,Furnariidae,oliivihuppuorneero
4509,Cranioleuca pyrrhophia,SA,PASSERIFORMES,Furnariidae,viirupääorneero
4510,Cranioleuca henricae,SA,PASSERIFORMES,Furnariidae,bolivianorneero
4511,Cranioleuca obsoleta,SA,PASSERIFORMES,Furnariidae,oliiviselkäorneero
4512,Cranioleuca pallida,SA,PASSERIFORMES,Furnariidae,kaneliorneero
4513,Cranioleuca semicinerea,SA,PASSERIFORMES,Furnariidae,harmaapääorneero
4514,Cranioleuca albicapilla,SA,PASSERIFORMES,Furnariidae,valkopääorneero
4515,Cranioleuca erythrops,"MA, SA",PASSERIFORMES,Furnariidae,punanaamaorneero
4516,Cranioleuca demissa,SA,PASSERIFORMES,Furnariidae,tepuiorneero
4517,Cranioleuca hellmayri,SA,PASSERIFORMES,Furnariidae,viirulakkiorneero
4518,Cranioleuca curtata,SA,PASSERIFORMES,Furnariidae,tuhkakulmaorneero
4519,Cranioleuca antisiensis,SA,PASSERIFORMES,Furnariidae,valkokulmaorneero
4520,Cranioleuca muelleri,SA,PASSERIFORMES,Furnariidae,suomurintaorneero
4521,Pseudasthenes humicola,SA,PASSERIFORMES,Furnariidae,mustapyrstökanastero
4522,Pseudasthenes patagonica,SA,PASSERIFORMES,Furnariidae,patagoniankanastero
4523,Pseudasthenes steinbachi,SA,PASSERIFORMES,Furnariidae,harmaahuppukanastero
4524,Pseudasthenes cactorum,SA,PASSERIFORMES,Furnariidae,kaktuskanastero
4525,Spartonoica maluroides,SA,PASSERIFORMES,Furnariidae,viiruselkäorneero
4526,Pseudoseisura cristata,SA,PASSERIFORMES,Furnariidae,punalinnaorneero
4527,Pseudoseisura unirufa,SA,PASSERIFORMES,Furnariidae,ruostelinnaorneero
4528,Pseudoseisura lophotes,SA,PASSERIFORMES,Furnariidae,ruskolinnaorneero
4529,Pseudoseisura gutturalis,SA,PASSERIFORMES,Furnariidae,hietalinnaorneero
4530,Certhiaxis cinnamomeus,SA,PASSERIFORMES,Furnariidae,rantaorneero
4531,Certhiaxis mustelinus,SA,PASSERIFORMES,Furnariidae,valkovatsaorneero
4532,Mazaria propinqua,SA,PASSERIFORMES,Furnariidae,pitkänokkaorneero
4533,Schoeniophylax phryganophilus,SA,PASSERIFORMES,Furnariidae,pitkäpiikkipyrstö
4534,Synallaxis scutata,SA,PASSERIFORMES,Furnariidae,rusoposkiorneero
4535,Synallaxis cinerascens,SA,PASSERIFORMES,Furnariidae,lyijyorneero
4536,Synallaxis gujanensis,SA,PASSERIFORMES,Furnariidae,kosteikko-orneero
4537,Synallaxis simoni,SA,PASSERIFORMES,Furnariidae,Araguaia Spinetail
4538,Synallaxis albilora,SA,PASSERIFORMES,Furnariidae,keltarintaorneero
4539,Synallaxis maranonica,SA,PASSERIFORMES,Furnariidae,perunpöyhijäorneero
4540,Synallaxis hypochondriaca,SA,PASSERIFORMES,Furnariidae,paanupyrstöorneero
4541,Synallaxis chinchipensis,SA,PASSERIFORMES,Furnariidae,Chinchipe Spinetail
4542,Synallaxis stictothorax,SA,PASSERIFORMES,Furnariidae,pikkupöyhijäorneero
4543,Synallaxis zimmeri,SA,PASSERIFORMES,Furnariidae,ruusuvatsaorneero
4544,Synallaxis brachyura,"MA, SA",PASSERIFORMES,Furnariidae,liuskeorneero
4545,Synallaxis subpudica,SA,PASSERIFORMES,Furnariidae,isopöyhijäorneero
4546,Synallaxis hellmayri,SA,PASSERIFORMES,Furnariidae,punaolkaorneero
4547,Synallaxis ruficapilla,SA,PASSERIFORMES,Furnariidae,tulilakkiorneero
4548,Synallaxis cinerea,SA,PASSERIFORMES,Furnariidae,bahianorneero
4549,Synallaxis infuscata,SA,PASSERIFORMES,Furnariidae,hiiriorneero
4550,Synallaxis moesta,SA,PASSERIFORMES,Furnariidae,nokipöyhijäorneero
4551,Synallaxis macconnelli,SA,PASSERIFORMES,Furnariidae,roraimanorneero
4552,Synallaxis cabanisi,SA,PASSERIFORMES,Furnariidae,ruostelakkiorneero
4553,Synallaxis hypospodia,SA,PASSERIFORMES,Furnariidae,harmaaotsaorneero
4554,Synallaxis spixi,SA,PASSERIFORMES,Furnariidae,punalakkiorneero
4555,Synallaxis albigularis,SA,PASSERIFORMES,Furnariidae,mustarintaorneero
4556,Synallaxis beverlyae,SA,PASSERIFORMES,Furnariidae,orinoconorneero
4557,Synallaxis albescens,"MA, SA",PASSERIFORMES,Furnariidae,savanniorneero
4558,Synallaxis frontalis,SA,PASSERIFORMES,Furnariidae,nokiotsaorneero
4559,Synallaxis azarae,SA,PASSERIFORMES,Furnariidae,saniaisorneero
4560,Synallaxis courseni,SA,PASSERIFORMES,Furnariidae,pitkäpyrstöorneero
4561,Synallaxis candei,SA,PASSERIFORMES,Furnariidae,kaneliselkäorneero
4562,Synallaxis erythrothorax,MA,PASSERIFORMES,Furnariidae,punarintaorneero
4563,Synallaxis kollari,SA,PASSERIFORMES,Furnariidae,sukaskurkkuorneero
4564,Synallaxis tithys,SA,PASSERIFORMES,Furnariidae,mustanaamaorneero
4565,Synallaxis fuscorufa,SA,PASSERIFORMES,Furnariidae,ruostepääorneero
4566,Synallaxis unirufa,SA,PASSERIFORMES,Furnariidae,ruosteorneero
4567,Synallaxis castanea,SA,PASSERIFORMES,Furnariidae,mustakurkkuorneero
4568,Synallaxis cinnamomea,SA,PASSERIFORMES,Furnariidae,viirupöyhijäorneero
4569,Synallaxis rutilans,SA,PASSERIFORMES,Furnariidae,mustapyrstöorneero
4570,Synallaxis cherriei,SA,PASSERIFORMES,Furnariidae,kastanjakurkkuorneero
4571,Euchrepomis callinota,"MA, SA",PASSERIFORMES,Thamnophilidae,punaperämuura
4572,Euchrepomis humeralis,SA,PASSERIFORMES,Thamnophilidae,kastanjaolkamuura
4573,Euchrepomis sharpei,SA,PASSERIFORMES,Thamnophilidae,keltaperämuura
4574,Euchrepomis spodioptila,SA,PASSERIFORMES,Thamnophilidae,kerttumuura
4575,Myrmornis torquata,"MA, SA",PASSERIFORMES,Thamnophilidae,kirjosiipimuura
4576,Pygiptila stellaris,SA,PASSERIFORMES,Thamnophilidae,tynkämuura
4577,Thamnistes anabatinus,"MA, SA",PASSERIFORMES,Thamnophilidae,kerttupuumuura
4578,Thamnistes rufescens,SA,PASSERIFORMES,Thamnophilidae,Rufescent Antshrike
4579,Microrhopias quixensis,"MA, SA",PASSERIFORMES,Thamnophilidae,viuhkapyrstömuura
4580,Neoctantes niger,SA,PASSERIFORMES,Thamnophilidae,pikipuumuura
4581,Clytoctantes alixii,SA,PASSERIFORMES,Thamnophilidae,pystynokkamuura
4582,Clytoctantes atrogularis,SA,PASSERIFORMES,Thamnophilidae,rondonianmuura
4583,Epinecrophylla fulviventris,"MA, SA",PASSERIFORMES,Thamnophilidae,ruutukurkkumuuranen
4584,Epinecrophylla ornata,SA,PASSERIFORMES,Thamnophilidae,punaselkämuuranen
4585,Epinecrophylla erythrura,SA,PASSERIFORMES,Thamnophilidae,punapyrstömuuranen
4586,Epinecrophylla leucophthalma,SA,PASSERIFORMES,Thamnophilidae,valkosilmämuuranen
4587,Epinecrophylla gutturalis,SA,PASSERIFORMES,Thamnophilidae,ruskoperämuuranen
4588,Epinecrophylla haematonota,SA,PASSERIFORMES,Thamnophilidae,viiksimuuranen
4589,Epinecrophylla spodionota,SA,PASSERIFORMES,Thamnophilidae,rinnemuuranen
4590,Epinecrophylla amazonica,SA,PASSERIFORMES,Thamnophilidae,Rio Madeira Stipplethroat
4591,Myrmorchilus strigilatus,SA,PASSERIFORMES,Thamnophilidae,viiruselkämuuranen
4592,Aprositornis disjuncta,SA,PASSERIFORMES,Thamnophilidae,venezuelanmuura
4593,Ammonastes pelzelni,SA,PASSERIFORMES,Thamnophilidae,harmaavatsamuura
4594,Myrmophylax atrothorax,SA,PASSERIFORMES,Thamnophilidae,savannimuura
4595,Myrmotherula ignota,"MA, SA",PASSERIFORMES,Thamnophilidae,viiksikääpiömuuranen
4596,Myrmotherula brachyura,SA,PASSERIFORMES,Thamnophilidae,kääpiömuuranen
4597,Myrmotherula surinamensis,SA,PASSERIFORMES,Thamnophilidae,ruskoviirumuuranen
4598,Myrmotherula multostriata,SA,PASSERIFORMES,Thamnophilidae,amazonianviirumuuranen
4599,Myrmotherula pacifica,"MA, SA",PASSERIFORMES,Thamnophilidae,panamanviirumuuranen
4600,Myrmotherula cherriei,SA,PASSERIFORMES,Thamnophilidae,viirumuuranen
4601,Myrmotherula klagesi,SA,PASSERIFORMES,Thamnophilidae,paranmuuranen
4602,Myrmotherula longicauda,SA,PASSERIFORMES,Thamnophilidae,viirurintamuuranen
4603,Myrmotherula ambigua,SA,PASSERIFORMES,Thamnophilidae,valkohiekkamuuranen
4604,Myrmotherula sclateri,SA,PASSERIFORMES,Thamnophilidae,keltavatsamuuranen
4605,Myrmotherula axillaris,"MA, SA",PASSERIFORMES,Thamnophilidae,valkokuvemuuranen
4606,Myrmotherula luctuosa,SA,PASSERIFORMES,Thamnophilidae,Silvery-flanked Antwren
4607,Myrmotherula schisticolor,"MA, SA",PASSERIFORMES,Thamnophilidae,liuskemuuranen
4608,Myrmotherula sunensis,SA,PASSERIFORMES,Thamnophilidae,savumuuranen
4609,Myrmotherula minor,SA,PASSERIFORMES,Thamnophilidae,harmaalakkimuuranen
4610,Myrmotherula longipennis,SA,PASSERIFORMES,Thamnophilidae,pitkäsiipimuuranen
4611,Myrmotherula urosticta,SA,PASSERIFORMES,Thamnophilidae,valkopyrstömuuranen
4612,Myrmotherula iheringi,SA,PASSERIFORMES,Thamnophilidae,tuhkamuuranen
4613,Myrmotherula fluminensis,SA,PASSERIFORMES,Thamnophilidae,rionmuuranen
4614,Myrmotherula grisea,SA,PASSERIFORMES,Thamnophilidae,bolivianmuuranen
4615,Myrmotherula unicolor,SA,PASSERIFORMES,Thamnophilidae,hiirimuuranen
4616,Myrmotherula snowi,SA,PASSERIFORMES,Thamnophilidae,alagoasinmuuranen
4617,Myrmotherula behni,SA,PASSERIFORMES,Thamnophilidae,tummasiipimuuranen
4618,Myrmotherula menetriesii,SA,PASSERIFORMES,Thamnophilidae,harmaarintamuuranen
4619,Myrmotherula assimilis,SA,PASSERIFORMES,Thamnophilidae,lyijymuuranen
4620,Terenura maculata,SA,PASSERIFORMES,Thamnophilidae,viirupäämuura
4621,Terenura sicki,SA,PASSERIFORMES,Thamnophilidae,oranssivatsamuura
4622,Myrmochanes hemileucus,SA,PASSERIFORMES,Thamnophilidae,valkovatsamuura
4623,Formicivora iheringi,SA,PASSERIFORMES,Thamnophilidae,suomukurkkumuura
4624,Formicivora erythronotos,SA,PASSERIFORMES,Thamnophilidae,huppumuura
4625,Formicivora grisea,SA,PASSERIFORMES,Thamnophilidae,kapustarintamuura
4626,Formicivora intermedia,SA,PASSERIFORMES,Thamnophilidae,Northern White-fringed Antwren
4627,Formicivora serrana,SA,PASSERIFORMES,Thamnophilidae,ruskoviittamuura
4628,Formicivora melanogaster,SA,PASSERIFORMES,Thamnophilidae,mustavatsamuura
4629,Formicivora rufa,SA,PASSERIFORMES,Thamnophilidae,ruosteselkämuura
4630,Formicivora grantsaui,SA,PASSERIFORMES,Thamnophilidae,sincoranmuura
4631,Formicivora acutirostris,SA,PASSERIFORMES,Thamnophilidae,luhtamuura
4632,Dichrozona cincta,SA,PASSERIFORMES,Thamnophilidae,selkävyömuuranen
4633,Rhopias gularis,SA,PASSERIFORMES,Thamnophilidae,tähtikurkkumuuranen
4634,Isleria hauxwelli,SA,PASSERIFORMES,Thamnophilidae,harmaakurkkumuuranen
4635,Isleria guttata,SA,PASSERIFORMES,Thamnophilidae,punaperämuuranen
4636,Thamnomanes ardesiacus,SA,PASSERIFORMES,Thamnophilidae,mustaleukamuura
4637,Thamnomanes saturninus,SA,PASSERIFORMES,Thamnophilidae,leukalappumuura
4638,Thamnomanes caesius,SA,PASSERIFORMES,Thamnophilidae,sieppomuura
4639,Thamnomanes schistogynus,SA,PASSERIFORMES,Thamnophilidae,sinimuura
4640,Megastictus margaritatus,SA,PASSERIFORMES,Thamnophilidae,helmipuumuura
4641,Sakesphoroides cristatus,SA,PASSERIFORMES,Thamnophilidae,hopeaposkimuura
4642,Herpsilochmus pileatus,SA,PASSERIFORMES,Thamnophilidae,bahianlehvämuura
4643,Herpsilochmus atricapillus,SA,PASSERIFORMES,Thamnophilidae,kirjolehvämuura
4644,Herpsilochmus stotzi,SA,PASSERIFORMES,Thamnophilidae,aripuananmuura
4645,Herpsilochmus praedictus,SA,PASSERIFORMES,Thamnophilidae,campinarananmuura
4646,Herpsilochmus motacilloides,SA,PASSERIFORMES,Thamnophilidae,perunlehvämuura
4647,Herpsilochmus parkeri,SA,PASSERIFORMES,Thamnophilidae,tuhkakurkkumuura
4648,Herpsilochmus sticturus,SA,PASSERIFORMES,Thamnophilidae,pikkulehvämuura
4649,Herpsilochmus dugandi,SA,PASSERIFORMES,Thamnophilidae,rusolakkimuura
4650,Herpsilochmus stictocephalus,SA,PASSERIFORMES,Thamnophilidae,guayananlehvämuura
4651,Herpsilochmus dorsimaculatus,SA,PASSERIFORMES,Thamnophilidae,ruutuselkämuura
4652,Herpsilochmus roraimae,SA,PASSERIFORMES,Thamnophilidae,tepuilehvämuura
4653,Herpsilochmus pectoralis,SA,PASSERIFORMES,Thamnophilidae,rintavyömuura
4654,Herpsilochmus longirostris,SA,PASSERIFORMES,Thamnophilidae,isolehvämuura
4655,Herpsilochmus gentryi,SA,PASSERIFORMES,Thamnophilidae,keltalehvämuura
4656,Herpsilochmus axillaris,SA,PASSERIFORMES,Thamnophilidae,keltarintamuura
4657,Herpsilochmus frater,"MA, SA",PASSERIFORMES,Thamnophilidae,Rusty-winged Antwren
4658,Herpsilochmus rufimarginatus,SA,PASSERIFORMES,Thamnophilidae,punasiipimuura
4659,Dysithamnus stictothorax,SA,PASSERIFORMES,Thamnophilidae,korvalappumuura
4660,Dysithamnus mentalis,"MA, SA",PASSERIFORMES,Thamnophilidae,vireomuura
4661,Dysithamnus striaticeps,MA,PASSERIFORMES,Thamnophilidae,viirulakkimuura
4662,Dysithamnus puncticeps,"MA, SA",PASSERIFORMES,Thamnophilidae,helmilakkimuura
4663,Dysithamnus xanthopterus,SA,PASSERIFORMES,Thamnophilidae,punaselkämuura
4664,Dysithamnus occidentalis,SA,PASSERIFORMES,Thamnophilidae,lännenmuura
4665,Dysithamnus plumbeus,SA,PASSERIFORMES,Thamnophilidae,lyijymuura
4666,Dysithamnus leucostictus,SA,PASSERIFORMES,Thamnophilidae,kolumbianlyijymuura
4667,Thamnophilus bernardi,SA,PASSERIFORMES,Thamnophilidae,valkoniskamuura
4668,Thamnophilus melanonotus,SA,PASSERIFORMES,Thamnophilidae,karibianmuura
4669,Thamnophilus melanothorax,SA,PASSERIFORMES,Thamnophilidae,mustakurkkumuura
4670,Thamnophilus doliatus,"MA, SA",PASSERIFORMES,Thamnophilidae,raitapuumuura
4671,Thamnophilus zarumae,SA,PASSERIFORMES,Thamnophilidae,okrakuvemuura
4672,Thamnophilus multistriatus,SA,PASSERIFORMES,Thamnophilidae,verkkopuumuura
4673,Thamnophilus tenuepunctatus,SA,PASSERIFORMES,Thamnophilidae,kirjopuumuura
4674,Thamnophilus palliatus,SA,PASSERIFORMES,Thamnophilidae,pitsipuumuura
4675,Thamnophilus bridgesi,MA,PASSERIFORMES,Thamnophilidae,huppupuumuura
4676,Thamnophilus nigriceps,"MA, SA",PASSERIFORMES,Thamnophilidae,mustapuumuura
4677,Thamnophilus praecox,SA,PASSERIFORMES,Thamnophilidae,neitopuumuura
4678,Thamnophilus nigrocinereus,SA,PASSERIFORMES,Thamnophilidae,tummapuumuura
4679,Thamnophilus cryptoleucus,SA,PASSERIFORMES,Thamnophilidae,nokipuumuura
4680,Thamnophilus aethiops,SA,PASSERIFORMES,Thamnophilidae,koukkunokkamuura
4681,Thamnophilus unicolor,SA,PASSERIFORMES,Thamnophilidae,tuhkapuumuura
4682,Thamnophilus schistaceus,SA,PASSERIFORMES,Thamnophilidae,savipuumuura
4683,Thamnophilus murinus,SA,PASSERIFORMES,Thamnophilidae,hiiripuumuura
4684,Thamnophilus aroyae,SA,PASSERIFORMES,Thamnophilidae,ylänköpuumuura
4685,Thamnophilus atrinucha,"MA, SA",PASSERIFORMES,Thamnophilidae,panamanpuumuura
4686,Thamnophilus punctatus,SA,PASSERIFORMES,Thamnophilidae,liuskepuumuura
4687,Thamnophilus stictocephalus,SA,PASSERIFORMES,Thamnophilidae,lyijypuumuura
4688,Thamnophilus sticturus,SA,PASSERIFORMES,Thamnophilidae,bolivianpuumuura
4689,Thamnophilus pelzelni,SA,PASSERIFORMES,Thamnophilidae,vaaleapuumuura
4690,Thamnophilus ambiguus,SA,PASSERIFORMES,Thamnophilidae,rannikkopuumuura
4691,Thamnophilus amazonicus,SA,PASSERIFORMES,Thamnophilidae,amazonianpuumuura
4692,Thamnophilus divisorius,SA,PASSERIFORMES,Thamnophilidae,acrenpuumuura
4693,Thamnophilus insignis,SA,PASSERIFORMES,Thamnophilidae,tepuipuumuura
4694,Thamnophilus caerulescens,SA,PASSERIFORMES,Thamnophilidae,köynnöspuumuura
4695,Thamnophilus torquatus,SA,PASSERIFORMES,Thamnophilidae,brasilianpuumuura
4696,Thamnophilus ruficapillus,SA,PASSERIFORMES,Thamnophilidae,punalakkimuura
4697,Sakesphorus canadensis,SA,PASSERIFORMES,Thamnophilidae,sointumuura
4698,Sakesphorus luctuosus,SA,PASSERIFORMES,Thamnophilidae,hohtomuura
4699,Radinopsyche sellowi,SA,PASSERIFORMES,Thamnophilidae,lehvämuura
4700,Biatas nigropectus,SA,PASSERIFORMES,Thamnophilidae,valkopartamuura
4701,Cymbilaimus lineatus,"MA, SA",PASSERIFORMES,Thamnophilidae,isonokkamuura
4702,Cymbilaimus sanctaemariae,SA,PASSERIFORMES,Thamnophilidae,tambopatanmuura
4703,Taraba major,"MA, SA",PASSERIFORMES,Thamnophilidae,lepinkäismuura
4704,Mackenziaena leachii,SA,PASSERIFORMES,Thamnophilidae,isopyrstömuura
4705,Mackenziaena severa,SA,PASSERIFORMES,Thamnophilidae,pyrstömuura
