,IOC,Breeding Range,Order,Family,Japanese
176,Aythya australis,AU,ANSERIFORMES,Anatidae,オーストラリアメジロガモ
177,Aythya innotata,AF,ANSERIFORMES,Anatidae,マダガスカルメジロガモ
178,Aythya baeri,PAL,ANSERIFORMES,Anatidae,アカハジロ
179,Aythya nyroca,PAL,ANSERIFORMES,Anatidae,メジロガモ
180,Aythya novaeseelandiae,AU,ANSERIFORMES,Anatidae,ニュージーランドスズガモ
181,Aythya fuligula,PAL,ANSERIFORMES,Anatidae,キンクロハジロ
182,Aythya marila,"NA, PAL",ANSERIFORMES,Anatidae,スズガモ
183,Polysticta stelleri,"NA, PAL",ANSERIFORMES,Anatidae,コケワタガモ
184,Somateria fischeri,"NA, PAL",ANSERIFORMES,Anatidae,メガネケワタガモ
185,Somateria spectabilis,"NA, PAL",ANSERIFORMES,Anatidae,ケワタガモ
186,Somateria mollissima,"NA, PAL",ANSERIFORMES,Anatidae,ホンケワタガモ
187,Histrionicus histrionicus,"NA, PAL",ANSERIFORMES,Anatidae,シノリガモ
188,Melanitta fusca,PAL,ANSERIFORMES,Anatidae,ヨーロッパビロードキンクロ
189,Melanitta stejnegeri,PAL,ANSERIFORMES,Anatidae,ビロードキンクロ
190,Melanitta nigra,PAL,ANSERIFORMES,Anatidae,ヨーロッパクロガモ
191,Melanitta americana,"PAL, NA",ANSERIFORMES,Anatidae,クロガモ
192,Clangula hyemalis,"NA, PAL",ANSERIFORMES,Anatidae,コオリガモ
193,Bucephala clangula,"NA, PAL",ANSERIFORMES,Anatidae,ホオジロガモ
194,Bucephala islandica,"NA, PAL",ANSERIFORMES,Anatidae,キタホオジロガモ
195,Mergellus albellus,PAL,ANSERIFORMES,Anatidae,ミコアイサ
196,Mergus octosetaceus,SA,ANSERIFORMES,Anatidae,クロアイサ
197,Mergus merganser,"NA, PAL",ANSERIFORMES,Anatidae,カワアイサ
198,Mergus serrator,"NA, PAL",ANSERIFORMES,Anatidae,ウミアイサ
199,Mergus squamatus,PAL,ANSERIFORMES,Anatidae,コウライアイサ
200,Heteronetta atricapilla,SA,ANSERIFORMES,Anatidae,ズグロガモ
201,Nomonyx dominicus,"MA, SA",ANSERIFORMES,Anatidae,メンカブリオタテガモ
202,Oxyura jamaicensis,"NA, MA",ANSERIFORMES,Anatidae,アカオタテガモ
203,Oxyura ferruginea,SA,ANSERIFORMES,Anatidae,アンデスタテガモ
204,Oxyura vittata,SA,ANSERIFORMES,Anatidae,コバシオタテガモ
205,Oxyura australis,AU,ANSERIFORMES,Anatidae,オーストラリアオタテガモ
206,Oxyura maccoa,AF,ANSERIFORMES,Anatidae,アフリカオタテガモ
207,Oxyura leucocephala,PAL,ANSERIFORMES,Anatidae,カオジロオタテガモ
208,Biziura lobata,AU,ANSERIFORMES,Anatidae,ニオイガモ
209,Alectura lathami,AU,GALLIFORMES,Megapodiidae,ヤブツカツクリ
210,Aepypodius arfakianus,AU,GALLIFORMES,Megapodiidae,エボシツカツクリ
211,Aepypodius bruijnii,AU,GALLIFORMES,Megapodiidae,ワイゲウツカツクリ
212,Talegalla cuvieri,AU,GALLIFORMES,Megapodiidae,アカハシツカツクリ
213,Talegalla fuscirostris,AU,GALLIFORMES,Megapodiidae,ハシグロツカツクリ
214,Talegalla jobiensis,AU,GALLIFORMES,Megapodiidae,チャエリツカツクリ
215,Leipoa ocellata,AU,GALLIFORMES,Megapodiidae,クサムラツカツクリ
216,Macrocephalon maleo,AU,GALLIFORMES,Megapodiidae,セレベスツカツクリ
217,Eulipoa wallacei,AU,GALLIFORMES,Megapodiidae,モルッカツカツクリ
218,Megapodius pritchardii,PO,GALLIFORMES,Megapodiidae,トンガツカツクリ
219,Megapodius laperouse,PO,GALLIFORMES,Megapodiidae,マリアナツカツクリ
220,Megapodius nicobariensis,OR,GALLIFORMES,Megapodiidae,ニコバルツカツクリ
221,Megapodius cumingii,"OR, AU",GALLIFORMES,Megapodiidae,パラワンツカツクリ
222,Megapodius bernsteinii,AU,GALLIFORMES,Megapodiidae,スラツカツクリ
223,Megapodius tenimberensis,AU,GALLIFORMES,Megapodiidae,タニンバルツカツクリ
224,Megapodius freycinet,AU,GALLIFORMES,Megapodiidae,ツカツクリ
225,Megapodius geelvinkianus,AU,GALLIFORMES,Megapodiidae,ビアクツカツクリ
226,Megapodius eremita,AU,GALLIFORMES,Megapodiidae,メラネシアツカツクリ
227,Megapodius layardi,AU,GALLIFORMES,Megapodiidae,バヌアツツカツクリ
228,Megapodius decollatus,AU,GALLIFORMES,Megapodiidae,ニューギニアツカツクリ
229,Megapodius reinwardt,AU,GALLIFORMES,Megapodiidae,オーストラリアツカツクリ
230,Ortalis vetula,"NA, MA",GALLIFORMES,Cracidae,ムジヒメシャクケイ
231,Ortalis cinereiceps,"MA, SA",GALLIFORMES,Cracidae,ハイガシラヒメシャクケイ
232,Ortalis garrula,SA,GALLIFORMES,Cracidae,チャバネヒメシャクケイ
233,Ortalis ruficauda,SA,GALLIFORMES,Cracidae,ワキアカヒメシャクケイ
234,Ortalis erythroptera,SA,GALLIFORMES,Cracidae,ズアカヒメシャクケイ
235,Ortalis wagleri,MA,GALLIFORMES,Cracidae,アカハラヒメシャクケイ
236,Ortalis poliocephala,MA,GALLIFORMES,Cracidae,メキシコヒメシャクケイ
237,Ortalis canicollis,SA,GALLIFORMES,Cracidae,アカオヒメシャクケイ
238,Ortalis leucogastra,MA,GALLIFORMES,Cracidae,シロハラヒメシャクケイ
239,Ortalis guttata,SA,GALLIFORMES,Cracidae,ブラジルヒメシャクケイ
240,Ortalis araucuan,SA,GALLIFORMES,Cracidae,ヒガシブラジルヒメシャクケイ
241,Ortalis squamata,SA,GALLIFORMES,Cracidae,ウロコヒメシャクケイ
242,Ortalis columbiana,SA,GALLIFORMES,Cracidae,コロンビアヒメシャクケイ
243,Ortalis motmot,SA,GALLIFORMES,Cracidae,カワリヒメシャクケイ
244,Ortalis ruficeps,SA,GALLIFORMES,Cracidae,Chestnut-headed Chachalaca
245,Ortalis superciliaris,SA,GALLIFORMES,Cracidae,アマゾンヒメシャクケイ
246,Penelope argyrotis,SA,GALLIFORMES,Cracidae,オビオシャクケイ
247,Penelope barbata,SA,GALLIFORMES,Cracidae,ヒゲシャクケイ
248,Penelope ortoni,SA,GALLIFORMES,Cracidae,チャイロシャクケイ
249,Penelope montagnii,SA,GALLIFORMES,Cracidae,アンデスシャクケイ
250,Penelope marail,SA,GALLIFORMES,Cracidae,マレイルシャクケイ
251,Penelope superciliaris,SA,GALLIFORMES,Cracidae,チャバネシャクケイ
252,Penelope dabbenei,SA,GALLIFORMES,Cracidae,アカガオシャクケイ
253,Penelope purpurascens,"MA, SA",GALLIFORMES,Cracidae,カンムリシャクケイ
254,Penelope perspicax,SA,GALLIFORMES,Cracidae,アカシャクケイ
255,Penelope albipennis,SA,GALLIFORMES,Cracidae,ハジロシャクケイ
256,Penelope jacquacu,SA,GALLIFORMES,Cracidae,アマゾンシャクケイ
257,Penelope obscura,SA,GALLIFORMES,Cracidae,クロアシシャクケイ
258,Penelope bridgesi,SA,GALLIFORMES,Cracidae,Yungas Guan
259,Penelope pileata,SA,GALLIFORMES,Cracidae,シロガシラシャクケイ
260,Penelope ochrogaster,SA,GALLIFORMES,Cracidae,アカハラシャクケイ
261,Penelope jacucaca,SA,GALLIFORMES,Cracidae,マミジロシャクケイ
262,Pipile pipile,SA,GALLIFORMES,Cracidae,トリニダードナキシャクケイ
263,Pipile cumanensis,SA,GALLIFORMES,Cracidae,アオノドナキシャクケイ
264,Pipile grayi,SA,GALLIFORMES,Cracidae,White-throated Piping Guan
265,Pipile cujubi,SA,GALLIFORMES,Cracidae,アカノドナキシャクケイ
266,Pipile jacutinga,SA,GALLIFORMES,Cracidae,カオグロナキシャクケイ
267,Aburria aburri,SA,GALLIFORMES,Cracidae,ニクダレシャクケイ
268,Chamaepetes unicolor,MA,GALLIFORMES,Cracidae,クロシャクケイ
269,Chamaepetes goudotii,SA,GALLIFORMES,Cracidae,カマバネシャクケイ
270,Penelopina nigra,MA,GALLIFORMES,Cracidae,ヒメクロシャクケイ
271,Oreophasis derbianus,MA,GALLIFORMES,Cracidae,ツノシャクケイ
272,Nothocrax urumutum,SA,GALLIFORMES,Cracidae,カンムリホウカンチョウ
273,Mitu tomentosum,SA,GALLIFORMES,Cracidae,コチャバラホウカンチョウ
274,Mitu salvini,SA,GALLIFORMES,Cracidae,シロハラホウカンチョウ
275,Mitu tuberosum,SA,GALLIFORMES,Cracidae,アマゾンホウカンチョウ
276,Mitu mitu,SA,GALLIFORMES,Cracidae,チャバラホウカンチョウ
277,Pauxi pauxi,SA,GALLIFORMES,Cracidae,カブトホウカンチョウ
278,Pauxi unicornis,SA,GALLIFORMES,Cracidae,ミナミカブトホウカンチョウ
279,Pauxi koepckeae,SA,GALLIFORMES,Cracidae,シラホウカンチョウ
280,Crax rubra,"MA, SA",GALLIFORMES,Cracidae,オオホウカンチョウ
281,Crax alberti,SA,GALLIFORMES,Cracidae,アオコブホウカンチョウ
282,Crax daubentoni,SA,GALLIFORMES,Cracidae,キコブホウカンチョウ
283,Crax alector,SA,GALLIFORMES,Cracidae,メスグロホウカンチョウ
284,Crax globulosa,SA,GALLIFORMES,Cracidae,ホオダレホウカンチョウ
285,Crax fasciolata,SA,GALLIFORMES,Cracidae,ハゲガオホウカンチョウ
286,Crax blumenbachii,SA,GALLIFORMES,Cracidae,アカハシホウカンチョウ
287,Agelastes meleagrides,AF,GALLIFORMES,Numididae,ムナジロホロホロチョウ
288,Agelastes niger,AF,GALLIFORMES,Numididae,クロホロホロチョウ
289,Numida meleagris,AF,GALLIFORMES,Numididae,ホロホロチョウ
290,Guttera plumifera,AF,GALLIFORMES,Numididae,コカンムリホロホロチョウ
291,Guttera verreauxi,AF,GALLIFORMES,Numididae,Western Crested Guineafowl
292,Guttera pucherani,AF,GALLIFORMES,Numididae,カンムリホロホロチョウ
293,Guttera edouardi,AF,GALLIFORMES,Numididae,Southern Crested Guineafowl
294,Acryllium vulturinum,AF,GALLIFORMES,Numididae,フサホロホロチョウ
295,Ptilopachus petrosus,AF,GALLIFORMES,Odontophoridae,イシシャコ
296,Ptilopachus nahani,AF,GALLIFORMES,Odontophoridae,コンゴモリシャコ
297,Dendrortyx leucophrys,MA,GALLIFORMES,Odontophoridae,シロマユオナガウズラ
298,Dendrortyx macroura,MA,GALLIFORMES,Odontophoridae,オナガウズラ
299,Dendrortyx barbatus,MA,GALLIFORMES,Odontophoridae,ヒゲウズラ
300,Oreortyx pictus,"NA, MA",GALLIFORMES,Odontophoridae,ツノウズラ
301,Callipepla squamata,"NA, MA",GALLIFORMES,Odontophoridae,ウロコウズラ
302,Callipepla douglasii,MA,GALLIFORMES,Odontophoridae,エボシウズラ
303,Callipepla californica,"NA, MA",GALLIFORMES,Odontophoridae,カンムリウズラ
304,Callipepla gambelii,"NA, MA",GALLIFORMES,Odontophoridae,ズアカカンムリウズラ
305,Philortyx fasciatus,MA,GALLIFORMES,Odontophoridae,ヨコフウズラ
306,Colinus virginianus,"NA, MA",GALLIFORMES,Odontophoridae,コリンウズラ
307,Colinus nigrogularis,MA,GALLIFORMES,Odontophoridae,ノドグロコリン
308,Colinus leucopogon,MA,GALLIFORMES,Odontophoridae,ノドジロコリン
309,Colinus cristatus,"MA, SA",GALLIFORMES,Odontophoridae,カンムリコリン
310,Odontophorus gujanensis,"MA, SA",GALLIFORMES,Odontophoridae,ギアナウズラ
311,Odontophorus capueira,SA,GALLIFORMES,Odontophoridae,ジャネイロウズラ
312,Odontophorus melanotis,MA,GALLIFORMES,Odontophoridae,ミミグロウズラ
313,Odontophorus erythrops,SA,GALLIFORMES,Odontophoridae,チャミミウズラ
314,Odontophorus atrifrons,SA,GALLIFORMES,Odontophoridae,クロビタイウズラ
315,Odontophorus hyperythrus,SA,GALLIFORMES,Odontophoridae,チャノドウズラ
316,Odontophorus melanonotus,SA,GALLIFORMES,Odontophoridae,セグロウズラ
317,Odontophorus speciosus,SA,GALLIFORMES,Odontophoridae,チャバラウズラ
318,Odontophorus dialeucos,"MA, SA",GALLIFORMES,Odontophoridae,パナマクビワウズラ
319,Odontophorus strophium,SA,GALLIFORMES,Odontophoridae,クビワウズラ
320,Odontophorus columbianus,SA,GALLIFORMES,Odontophoridae,ベネズエラウズラ
321,Odontophorus leucolaemus,MA,GALLIFORMES,Odontophoridae,ノドジロウズラ
322,Odontophorus balliviani,SA,GALLIFORMES,Odontophoridae,シロボシウズラ
323,Odontophorus stellatus,SA,GALLIFORMES,Odontophoridae,ホシウズラ
324,Odontophorus guttatus,MA,GALLIFORMES,Odontophoridae,マダラウズラ
325,Dactylortyx thoracicus,MA,GALLIFORMES,Odontophoridae,ユビナガウズラ
326,Cyrtonyx montezumae,"NA, MA",GALLIFORMES,Odontophoridae,シロマダラウズラ
327,Cyrtonyx ocellatus,MA,GALLIFORMES,Odontophoridae,タマフウズラ
