,IOC,Breeding Range,Order,Family,Japanese
5665,Anthornis melanura,AU,PASSERIFORMES,Meliphagidae,ニュージーランドミツスイ
5666,Sugomel lombokium,AU,PASSERIFORMES,Meliphagidae,ロンボクミツスイ
5667,Sugomel nigrum,AU,PASSERIFORMES,Meliphagidae,シロクロミツスイ
5668,Melitograis gilolensis,AU,PASSERIFORMES,Meliphagidae,ハルマヘラハゲミツスイ
5669,Vosea whitemanensis,AU,PASSERIFORMES,Meliphagidae,ユミハシミツスイ
5670,Myzomela blasii,AU,PASSERIFORMES,Meliphagidae,アンボンミツスイ
5671,Myzomela albigula,AU,PASSERIFORMES,Meliphagidae,ノドジロミツスイ
5672,Myzomela cineracea,AU,PASSERIFORMES,Meliphagidae,ビスマルクミツスイ
5673,Myzomela eques,AU,PASSERIFORMES,Meliphagidae,アカボシミツスイ
5674,Myzomela simplex,AU,PASSERIFORMES,Meliphagidae,Moluccan Myzomela
5675,Myzomela rubrotincta,AU,PASSERIFORMES,Meliphagidae,Red-tinged Myzomela
5676,Myzomela rubrobrunnea,AU,PASSERIFORMES,Meliphagidae,Biak Myzomela
5677,Myzomela obscura,AU,PASSERIFORMES,Meliphagidae,コゲチャミツスイ
5678,Myzomela cruentata,AU,PASSERIFORMES,Meliphagidae,アカミツスイ
5679,Myzomela erythrina,AU,PASSERIFORMES,Meliphagidae,Reddish Myzomela
5680,Myzomela nigrita,AU,PASSERIFORMES,Meliphagidae,クロミツスイ
5681,Myzomela pulchella,AU,PASSERIFORMES,Meliphagidae,ニューアイルランドミツスイ
5682,Myzomela kuehni,AU,PASSERIFORMES,Meliphagidae,シロハラミツスイ
5683,Myzomela prawiradilagae,AU,PASSERIFORMES,Meliphagidae,アロールミツスイ
5684,Myzomela erythrocephala,AU,PASSERIFORMES,Meliphagidae,ズアカミツスイ
5685,Myzomela dammermani,AU,PASSERIFORMES,Meliphagidae,スンバミツスイ
5686,Myzomela irianawidodoae,AU,PASSERIFORMES,Meliphagidae,ロテミツスイ
5687,Myzomela adolphinae,AU,PASSERIFORMES,Meliphagidae,ヤマズアカミツスイ
5688,Myzomela boiei,AU,PASSERIFORMES,Meliphagidae,バンダミツスイ
5689,Myzomela wahe,AU,PASSERIFORMES,Meliphagidae,タリアブミツスイ
5690,Myzomela chloroptera,AU,PASSERIFORMES,Meliphagidae,セレベスクレナイミツスイ
5691,Myzomela batjanensis,AU,PASSERIFORMES,Meliphagidae,Bacan Myzomela
5692,Myzomela wakoloensis,AU,PASSERIFORMES,Meliphagidae,モルッカミツスイ
5693,Myzomela sanguinolenta,AU,PASSERIFORMES,Meliphagidae,クレナイミツスイ
5694,Myzomela caledonica,AU,PASSERIFORMES,Meliphagidae,カレドニアミツスイ
5695,Myzomela cardinalis,"AU, PO",PASSERIFORMES,Meliphagidae,ミツスイ
5696,Myzomela chermesina,PO,PASSERIFORMES,Meliphagidae,ムネアカミツスイ
5697,Myzomela rubratra,PO,PASSERIFORMES,Meliphagidae,ミクロネシアミツスイ
5698,Myzomela sclateri,AU,PASSERIFORMES,Meliphagidae,ノドアカミツスイ
5699,Myzomela pammelaena,AU,PASSERIFORMES,Meliphagidae,コクタンミツスイ
5700,Myzomela lafargei,AU,PASSERIFORMES,Meliphagidae,アカエリミツスイ
5701,Myzomela eichhorni,AU,PASSERIFORMES,Meliphagidae,コシアカミツスイ
5702,Myzomela malaitae,AU,PASSERIFORMES,Meliphagidae,マライタミツスイ
5703,Myzomela melanocephala,AU,PASSERIFORMES,Meliphagidae,クロガシラミツスイ
5704,Myzomela tristrami,AU,PASSERIFORMES,Meliphagidae,ソロモンミツスイ
5705,Myzomela jugularis,PO,PASSERIFORMES,Meliphagidae,フィジーミツスイ
5706,Myzomela erythromelas,AU,PASSERIFORMES,Meliphagidae,クロハラミツスイ
5707,Myzomela vulnerata,AU,PASSERIFORMES,Meliphagidae,チモールミツスイ
5708,Myzomela rosenbergii,AU,PASSERIFORMES,Meliphagidae,クロアカミツスイ
5709,Myzomela longirostris,AU,PASSERIFORMES,Meliphagidae,Long-billed Myzomela
5710,Philemon meyeri,AU,PASSERIFORMES,Meliphagidae,チャイロハゲミツスイ
5711,Philemon brassi,AU,PASSERIFORMES,Meliphagidae,オリーブハゲミツスイ
5712,Philemon citreogularis,AU,PASSERIFORMES,Meliphagidae,ヒメハゲミツスイ
5713,Philemon kisserensis,AU,PASSERIFORMES,Meliphagidae,ハイイロハゲミツスイ
5714,Philemon inornatus,AU,PASSERIFORMES,Meliphagidae,チモールハゲミツスイ
5715,Philemon fuscicapillus,AU,PASSERIFORMES,Meliphagidae,モロタイハゲミツスイ
5716,Philemon subcorniculatus,AU,PASSERIFORMES,Meliphagidae,セラムハゲミツスイ
5717,Philemon moluccensis,AU,PASSERIFORMES,Meliphagidae,ブルハゲミツスイ
5718,Philemon plumigenis,AU,PASSERIFORMES,Meliphagidae,タニンバルハゲミツスイ
5719,Philemon buceroides,AU,PASSERIFORMES,Meliphagidae,トサカハゲミツスイ
5720,Philemon novaeguineae,AU,PASSERIFORMES,Meliphagidae,パプアハゲミツスイ
5721,Philemon yorki,AU,PASSERIFORMES,Meliphagidae,ケープヨークハゲミツスイ
5722,Philemon cockerelli,AU,PASSERIFORMES,Meliphagidae,クビワハゲミツスイ
5723,Philemon eichhorni,AU,PASSERIFORMES,Meliphagidae,ニューアイルランドハゲミツスイ
5724,Philemon albitorques,AU,PASSERIFORMES,Meliphagidae,シロエリハゲミツスイ
5725,Philemon argenticeps,AU,PASSERIFORMES,Meliphagidae,コブハゲミツスイ
5726,Philemon corniculatus,AU,PASSERIFORMES,Meliphagidae,ズグロハゲミツスイ
5727,Philemon diemenensis,AU,PASSERIFORMES,Meliphagidae,カレドニアハゲミツスイ
5728,Xanthotis polygrammus,AU,PASSERIFORMES,Meliphagidae,ヤジリミツスイ
5729,Xanthotis macleayanus,AU,PASSERIFORMES,Meliphagidae,シラフミツスイ
5730,Xanthotis flaviventer,AU,PASSERIFORMES,Meliphagidae,チャムネミツスイ
5731,Plectorhyncha lanceolata,AU,PASSERIFORMES,Meliphagidae,ヒヨミツスイ
5732,Grantiella picta,AU,PASSERIFORMES,Meliphagidae,ミミジロセグロミツスイ
5733,Trichodere cockerelli,AU,PASSERIFORMES,Meliphagidae,キミミオリーブミツスイ
5734,Phylidonyris pyrrhopterus,AU,PASSERIFORMES,Meliphagidae,ミカヅキキバネミツスイ
5735,Phylidonyris novaehollandiae,AU,PASSERIFORMES,Meliphagidae,メジロキバネミツスイ
5736,Phylidonyris niger,AU,PASSERIFORMES,Meliphagidae,ホオジロキバネミツスイ
5737,Lichmera argentauris,AU,PASSERIFORMES,Meliphagidae,オリーブミツスイ
5738,Lichmera indistincta,AU,PASSERIFORMES,Meliphagidae,サメイロミツスイ
5739,Lichmera incana,AU,PASSERIFORMES,Meliphagidae,ギンミミミツスイ
5740,Lichmera alboauricularis,AU,PASSERIFORMES,Meliphagidae,ミミジロオリーブミツスイ
5741,Lichmera squamata,AU,PASSERIFORMES,Meliphagidae,ウロコオリーブミツスイ
5742,Lichmera deningeri,AU,PASSERIFORMES,Meliphagidae,ブルオリーブミツスイ
5743,Lichmera monticola,AU,PASSERIFORMES,Meliphagidae,セラムオリーブミツスイ
5744,Lichmera flavicans,AU,PASSERIFORMES,Meliphagidae,チモールオリーブミツスイ
5745,Lichmera notabilis,AU,PASSERIFORMES,Meliphagidae,ウェタルオリーブミツスイ
5746,Cissomela pectoralis,AU,PASSERIFORMES,Meliphagidae,クロオビミツスイ
5747,Guadalcanaria inexpectata,AU,PASSERIFORMES,Meliphagidae,ガダルカナルミツスイ
5748,Meliarchus sclateri,AU,PASSERIFORMES,Meliphagidae,サンクリストバルミツスイ
5749,Gymnomyza viridis,PO,PASSERIFORMES,Meliphagidae,キバシオオミツスイ
5750,Gymnomyza brunneirostris,PO,PASSERIFORMES,Meliphagidae,チャバシオオミツスイ
5751,Gymnomyza samoensis,PO,PASSERIFORMES,Meliphagidae,ハシグロオオミツスイ
5752,Gymnomyza aubryana,AU,PASSERIFORMES,Meliphagidae,オオミツスイ
5753,Foulehaio carunculatus,PO,PASSERIFORMES,Meliphagidae,ニクダレミツスイ
5754,Foulehaio taviunensis,PO,PASSERIFORMES,Meliphagidae,キタニクダレミツスイ
5755,Foulehaio procerior,PO,PASSERIFORMES,Meliphagidae,ニシニクダレミツスイ
5756,Meliphacator provocator,PO,PASSERIFORMES,Meliphagidae,カンダブミツスイ
5757,Nesoptilotis leucotis,AU,PASSERIFORMES,Meliphagidae,ミミジロミツスイ
5758,Nesoptilotis flavicollis,AU,PASSERIFORMES,Meliphagidae,キノドミツスイ
5759,Entomyzon cyanotis,AU,PASSERIFORMES,Meliphagidae,アオツラミツスイ
5760,Melithreptus gularis,AU,PASSERIFORMES,Meliphagidae,ノドグロハチマキミツスイ
5761,Melithreptus validirostris,AU,PASSERIFORMES,Meliphagidae,オリーブハチマキミツスイ
5762,Melithreptus brevirostris,AU,PASSERIFORMES,Meliphagidae,チャガシラハチマキミツスイ
5763,Melithreptus albogularis,AU,PASSERIFORMES,Meliphagidae,ノドジロハチマキミツスイ
5764,Melithreptus lunatus,AU,PASSERIFORMES,Meliphagidae,ハチマキミツスイ
5765,Melithreptus chloropsis,AU,PASSERIFORMES,Meliphagidae,ニシハチマキミツスイ
5766,Melithreptus affinis,AU,PASSERIFORMES,Meliphagidae,ズグロミツスイ
5767,Stomiopera unicolor,AU,PASSERIFORMES,Meliphagidae,クチシロミツスイ
5768,Stomiopera flava,AU,PASSERIFORMES,Meliphagidae,キイロミツスイ
5769,Meliphaga aruensis,AU,PASSERIFORMES,Meliphagidae,オリーブキミミミツスイ
5770,Meliphaga notata,AU,PASSERIFORMES,Meliphagidae,コキミミミツスイ
5771,Meliphaga lewinii,AU,PASSERIFORMES,Meliphagidae,キミミミツスイ
5772,Purnella albifrons,AU,PASSERIFORMES,Meliphagidae,シロビタイキバネミツスイ
5773,Lichenostomus melanops,AU,PASSERIFORMES,Meliphagidae,キムネミツスイ
5774,Lichenostomus cratitius,AU,PASSERIFORMES,Meliphagidae,フジビタイコバシミツスイ
5775,Microptilotis mimikae,AU,PASSERIFORMES,Meliphagidae,ムナボシキミミミツスイ
5776,Microptilotis montanus,AU,PASSERIFORMES,Meliphagidae,ミヤマミミジロミツスイ
5777,Microptilotis orientalis,AU,PASSERIFORMES,Meliphagidae,コムナボシキミミミツスイ
5778,Microptilotis albonotatus,AU,PASSERIFORMES,Meliphagidae,シロフサミツスイ
5779,Microptilotis analogus,AU,PASSERIFORMES,Meliphagidae,ミドリキミミミツスイ
5780,Microptilotis vicina,AU,PASSERIFORMES,Meliphagidae,タグラキミミミツスイ
5781,Microptilotis gracilis,AU,PASSERIFORMES,Meliphagidae,ハシボソキミミミツスイ
5782,Microptilotis imitatrix,AU,PASSERIFORMES,Meliphagidae,ニセハシボソキミミミツスイ
5783,Microptilotis cinereifrons,AU,PASSERIFORMES,Meliphagidae,ズグロキミミミツスイ
5784,Microptilotis flavirictus,AU,PASSERIFORMES,Meliphagidae,キスジキミミミツスイ
5785,Territornis albilineata,AU,PASSERIFORMES,Meliphagidae,シロスジミツスイ
5786,Territornis fordiana,AU,PASSERIFORMES,Meliphagidae,キンバリーミツスイ
5787,Territornis reticulata,AU,PASSERIFORMES,Meliphagidae,チモールキミミミツスイ
5788,Gavicalis versicolor,AU,PASSERIFORMES,Meliphagidae,タテフミツスイ
5789,Gavicalis fasciogularis,AU,PASSERIFORMES,Meliphagidae,サザナミミツスイ
5790,Gavicalis virescens,AU,PASSERIFORMES,Meliphagidae,ウタイミツスイ
5791,Oreornis chrysogenys,AU,PASSERIFORMES,Meliphagidae,オオキミミミツスイ
5792,Ptilotula flavescens,AU,PASSERIFORMES,Meliphagidae,キイロコバシミツスイ
5793,Ptilotula fusca,AU,PASSERIFORMES,Meliphagidae,コバシミツスイ
5794,Ptilotula keartlandi,AU,PASSERIFORMES,Meliphagidae,ハイビタイコバシミツスイ
5795,Ptilotula plumula,AU,PASSERIFORMES,Meliphagidae,ミドリコバシミツスイ
5796,Ptilotula ornata,AU,PASSERIFORMES,Meliphagidae,ムナフコバシミツスイ
5797,Ptilotula penicillata,AU,PASSERIFORMES,Meliphagidae,ミミジロコバシミツスイ
5798,Caligavis chrysops,AU,PASSERIFORMES,Meliphagidae,キホオコバシミツスイ
5799,Caligavis subfrenata,AU,PASSERIFORMES,Meliphagidae,ノドグロミツスイ
5800,Caligavis obscura,AU,PASSERIFORMES,Meliphagidae,パプアミミジロミツスイ
5801,Anthochaera chrysoptera,AU,PASSERIFORMES,Meliphagidae,ハイガシラミツスイ
5802,Anthochaera lunulata,AU,PASSERIFORMES,Meliphagidae,ギンホオミツスイ
5803,Anthochaera carunculata,AU,PASSERIFORMES,Meliphagidae,アカミミダレミツスイ
5804,Anthochaera paradoxa,AU,PASSERIFORMES,Meliphagidae,キミミダレミツスイ
5805,Anthochaera phrygia,AU,PASSERIFORMES,Meliphagidae,キガオミツスイ
5806,Acanthagenys rufogularis,AU,PASSERIFORMES,Meliphagidae,ケミミミツスイ
5807,Bolemoreus frenatus,AU,PASSERIFORMES,Meliphagidae,キスジミツスイ
5808,Bolemoreus hindwoodi,AU,PASSERIFORMES,Meliphagidae,ヒメキスジミツスイ
5809,Melidectes ochromelas,AU,PASSERIFORMES,Meliphagidae,ウロコヤマミツスイ
5810,Melidectes leucostephes,AU,PASSERIFORMES,Meliphagidae,シロガオヤマミツスイ
5811,Melidectes rufocrissalis,AU,PASSERIFORMES,Meliphagidae,ライヘノーヤマミツスイ
5812,Melidectes foersteri,AU,PASSERIFORMES,Meliphagidae,フェルスターヤマミツスイ
5813,Melidectes belfordi,AU,PASSERIFORMES,Meliphagidae,アオガオヤマミツスイ
5814,Melidectes torquatus,AU,PASSERIFORMES,Meliphagidae,ニクダレヤマミツスイ
5815,Manorina melanophrys,AU,PASSERIFORMES,Meliphagidae,スズミツスイ
5816,Manorina melanocephala,AU,PASSERIFORMES,Meliphagidae,クロガオミツスイ
5817,Manorina flavigula,AU,PASSERIFORMES,Meliphagidae,コシジロミツスイ
5818,Manorina melanotis,AU,PASSERIFORMES,Meliphagidae,ミミグロミツスイ
5819,Dasyornis brachypterus,AU,PASSERIFORMES,Dasyornithidae,ヒゲムシクイ
5820,Dasyornis longirostris,AU,PASSERIFORMES,Dasyornithidae,ハシナガヒゲムシクイ
5821,Dasyornis broadbenti,AU,PASSERIFORMES,Dasyornithidae,ズアカヒゲムシクイ
5822,Pardalotus punctatus,AU,PASSERIFORMES,Pardalotidae,ホウセキドリ
5823,Pardalotus quadragintus,AU,PASSERIFORMES,Pardalotidae,ミドリホウセキドリ
5824,Pardalotus rubricatus,AU,PASSERIFORMES,Pardalotidae,アカマユホウセキドリ
5825,Pardalotus striatus,AU,PASSERIFORMES,Pardalotidae,キボシホウセキドリ
5826,Pachycare flavogriseum,AU,PASSERIFORMES,Acanthizidae,キンガオモズガラ
5827,Oreoscopus gutturalis,AU,PASSERIFORMES,Acanthizidae,シダムシクイ
5828,Acanthornis magna,AU,PASSERIFORMES,Acanthizidae,メジロヤブムシクイ
5829,Smicrornis brevirostris,AU,PASSERIFORMES,Acanthizidae,コバシムシクイ
5830,Calamanthus fuliginosus,AU,PASSERIFORMES,Acanthizidae,キバラノハラムシクイ
5831,Calamanthus montanellus,AU,PASSERIFORMES,Acanthizidae,ニシノハラムシクイ
5832,Calamanthus campestris,AU,PASSERIFORMES,Acanthizidae,ノハラムシクイ
5833,Hylacola pyrrhopygia,AU,PASSERIFORMES,Acanthizidae,コシアカアレチムシクイ
5834,Hylacola cauta,AU,PASSERIFORMES,Acanthizidae,オグロアレチムシクイ
5835,Pycnoptilus floccosus,AU,PASSERIFORMES,Acanthizidae,アンナイドリ
5836,Pyrrholaemus brunneus,AU,PASSERIFORMES,Acanthizidae,ノドアカアレチムシクイ
5837,Pyrrholaemus sagittatus,AU,PASSERIFORMES,Acanthizidae,タテフムシクイ
5838,Origma solitaria,AU,PASSERIFORMES,Acanthizidae,イワムシクイ
5839,Origma murina,AU,PASSERIFORMES,Acanthizidae,ネズミムシクイ
5840,Origma robusta,AU,PASSERIFORMES,Acanthizidae,ヤマネズミムシクイ
5841,Neosericornis citreogularis,AU,PASSERIFORMES,Acanthizidae,キノドヤブムシクイ
5842,Aethomyias nigrorufus,AU,PASSERIFORMES,Acanthizidae,ミヤマネズミムシクイ
5843,Aethomyias spilodera,AU,PASSERIFORMES,Acanthizidae,ハシジロヤブムシクイ
5844,Aethomyias rufescens,AU,PASSERIFORMES,Acanthizidae,アルファクヤブムシクイ
5845,Aethomyias perspicillatus,AU,PASSERIFORMES,Acanthizidae,キガオヤブムシクイ
5846,Aethomyias papuensis,AU,PASSERIFORMES,Acanthizidae,パプアヤブムシクイ
5847,Aethomyias arfakianus,AU,PASSERIFORMES,Acanthizidae,コヤブムシクイ
5848,Sericornis magnirostra,AU,PASSERIFORMES,Acanthizidae,ハシナガヤブムシクイ
5849,Sericornis beccarii,AU,PASSERIFORMES,Acanthizidae,ヒメヤブムシクイ
5850,Sericornis nouhuysi,AU,PASSERIFORMES,Acanthizidae,ミヤマヤブムシクイ
5851,Sericornis maculatus,AU,PASSERIFORMES,Acanthizidae,Spotted Scrubwren
5852,Sericornis humilis,AU,PASSERIFORMES,Acanthizidae,クリイロヤブムシクイ
5853,Sericornis keri,AU,PASSERIFORMES,Acanthizidae,メグロヤブムシクイ
5854,Sericornis frontalis,AU,PASSERIFORMES,Acanthizidae,マミジロヤブムシクイ
5855,Sericornis virgatus,AU,PASSERIFORMES,Acanthizidae,アカガオヤブムシクイ
5856,Gerygone mouki,AU,PASSERIFORMES,Acanthizidae,チャイロセンニョムシクイ
5857,Gerygone igata,AU,PASSERIFORMES,Acanthizidae,ニュージーランドセンニョムシクイ
5858,Gerygone modesta,AU,PASSERIFORMES,Acanthizidae,ノーフォークセンニョムシクイ
5859,Gerygone albofrontata,AU,PASSERIFORMES,Acanthizidae,チャタムセンニョムシクイ
5860,Gerygone flavolateralis,AU,PASSERIFORMES,Acanthizidae,カレドニアセンニョムシクイ
5861,Gerygone citrina,AU,PASSERIFORMES,Acanthizidae,Rennell Gerygone
5862,Gerygone ruficollis,AU,PASSERIFORMES,Acanthizidae,タカネセンニョムシクイ
5863,Gerygone sulphurea,"OR, AU",PASSERIFORMES,Acanthizidae,マレーシアセンニョムシクイ
5864,Gerygone dorsalis,AU,PASSERIFORMES,Acanthizidae,ワキアカセンニョムシクイ
5865,Gerygone levigaster,AU,PASSERIFORMES,Acanthizidae,マングローブセンニョムシクイ
5866,Gerygone inornata,AU,PASSERIFORMES,Acanthizidae,チモールセンニョムシクイ
5867,Gerygone fusca,AU,PASSERIFORMES,Acanthizidae,オジロセンニョムシクイ
5868,Gerygone tenebrosa,AU,PASSERIFORMES,Acanthizidae,メジロセンニョムシクイ
5869,Gerygone magnirostris,AU,PASSERIFORMES,Acanthizidae,ハシブトセンニョムシクイ
5870,Gerygone hypoxantha,AU,PASSERIFORMES,Acanthizidae,ビアクセンニョムシクイ
5871,Gerygone chrysogaster,AU,PASSERIFORMES,Acanthizidae,キバラセンニョムシクイ
5872,Gerygone chloronota,AU,PASSERIFORMES,Acanthizidae,ミドリセンニョムシクイ
5873,Gerygone olivacea,AU,PASSERIFORMES,Acanthizidae,ノドジロセンニョムシクイ
5874,Gerygone palpebrosa,AU,PASSERIFORMES,Acanthizidae,ノドグロセンニョムシクイ
5875,Acanthiza katherina,AU,PASSERIFORMES,Acanthizidae,ヤマトゲハシムシクイ
5876,Acanthiza pusilla,AU,PASSERIFORMES,Acanthizidae,チャイロトゲハシムシクイ
5877,Acanthiza apicalis,AU,PASSERIFORMES,Acanthizidae,ヒロオトゲハシムシクイ
5878,Acanthiza ewingii,AU,PASSERIFORMES,Acanthizidae,タスマニアトゲハシムシクイ
5879,Acanthiza murina,AU,PASSERIFORMES,Acanthizidae,パプアトゲハシムシクイ
5880,Acanthiza uropygialis,AU,PASSERIFORMES,Acanthizidae,コシアカトゲハシムシクイ
5881,Acanthiza reguloides,AU,PASSERIFORMES,Acanthizidae,ウグイストゲハシムシクイ
5882,Acanthiza inornata,AU,PASSERIFORMES,Acanthizidae,ニシトゲハシムシクイ
5883,Acanthiza iredalei,AU,PASSERIFORMES,Acanthizidae,キゴシトゲハシムシクイ
5884,Acanthiza chrysorrhoa,AU,PASSERIFORMES,Acanthizidae,コモントゲハシムシクイ
5885,Acanthiza nana,AU,PASSERIFORMES,Acanthizidae,ヒメトゲハシムシクイ
5886,Acanthiza cinerea,AU,PASSERIFORMES,Acanthizidae,ハイイロセンニョムシクイ
5887,Acanthiza lineata,AU,PASSERIFORMES,Acanthizidae,ムナフトゲハシムシクイ
5888,Acanthiza robustirostris,AU,PASSERIFORMES,Acanthizidae,ハイイロトゲハシムシクイ
5889,Aphelocephala leucopsis,AU,PASSERIFORMES,Acanthizidae,カオジロムシクイ
5890,Aphelocephala pectoralis,AU,PASSERIFORMES,Acanthizidae,チャムネカオジロムシクイ
5891,Aphelocephala nigricincta,AU,PASSERIFORMES,Acanthizidae,クビワカオジロムシクイ
5892,Garritornis isidorei,AU,PASSERIFORMES,Pomatostomidae,パプアマルハシ
5893,Pomatostomus temporalis,AU,PASSERIFORMES,Pomatostomidae,オーストラリアマルハシ
5894,Pomatostomus halli,AU,PASSERIFORMES,Pomatostomidae,ノドジロオーストラリアマルハシ
5895,Pomatostomus superciliosus,AU,PASSERIFORMES,Pomatostomidae,マミジロオーストラリアマルハシ
5896,Pomatostomus ruficeps,AU,PASSERIFORMES,Pomatostomidae,クリボウシオーストラリアマルハシ
5897,Orthonyx novaeguineae,AU,PASSERIFORMES,Orthonychidae,パプアハシリチメドリ
5898,Orthonyx temminckii,AU,PASSERIFORMES,Orthonychidae,ハシリチメドリ
5899,Orthonyx spaldingii,AU,PASSERIFORMES,Orthonychidae,メジロハシリチメドリ
5900,Cnemophilus loriae,AU,PASSERIFORMES,Cnemophilidae,ルリフウチョウモドキ
5901,Cnemophilus macgregorii,AU,PASSERIFORMES,Cnemophilidae,カンムリフウチョウモドキ
5902,Loboparadisea sericea,AU,PASSERIFORMES,Cnemophilidae,ツノハシフウチョウモドキ
5903,Melanocharis arfakiana,AU,PASSERIFORMES,Melanocharitidae,チャイロパプアハナドリ
5904,Melanocharis longicauda,AU,PASSERIFORMES,Melanocharitidae,ヤマパプアハナドリ
5905,Melanocharis nigra,AU,PASSERIFORMES,Melanocharitidae,クロパプアハナドリ
5906,Melanocharis versteri,AU,PASSERIFORMES,Melanocharitidae,オウギパプアハナドリ
5907,Melanocharis striativentris,AU,PASSERIFORMES,Melanocharitidae,ムナフパプアハナドリ
5908,Melanocharis citreola,AU,PASSERIFORMES,Melanocharitidae,ビロードハナドリ
5909,Rhamphocharis crassirostris,AU,PASSERIFORMES,Melanocharitidae,メスボシハナドリ
5910,Rhamphocharis piperata,AU,PASSERIFORMES,Melanocharitidae,Spotted Berrypecker
5911,Oedistoma iliolophus,AU,PASSERIFORMES,Melanocharitidae,オオコビトミツスイ
5912,Oedistoma pygmaeum,AU,PASSERIFORMES,Melanocharitidae,コビトミツスイ
5913,Toxorhamphus novaeguineae,AU,PASSERIFORMES,Melanocharitidae,ハシナガミツスイ
5914,Toxorhamphus poliopterus,AU,PASSERIFORMES,Melanocharitidae,ズグロハシナガミツスイ
5915,Oreocharis arfaki,AU,PASSERIFORMES,Paramythiidae,パプアカラハナドリ
5916,Paramythia olivacea,AU,PASSERIFORMES,Paramythiidae,Western Crested Berrypecker
5917,Paramythia montium,AU,PASSERIFORMES,Paramythiidae,カンムリハナドリ
5918,Callaeas wilsoni,AU,PASSERIFORMES,Callaeidae,ホクトウハシブトホオダレムクドリ
5919,Philesturnus rufusater,AU,PASSERIFORMES,Callaeidae,ホクトウセアカホオダレムクドリ
5920,Philesturnus carunculatus,AU,PASSERIFORMES,Callaeidae,セアカホオダレムクドリ
5921,Notiomystis cincta,AU,PASSERIFORMES,Notiomystidae,シロツノミツスイ
5922,Androphobus viridis,AU,PASSERIFORMES,Psophodidae,セミドリチメドリ
5923,Psophodes olivaceus,AU,PASSERIFORMES,Psophodidae,ムナグロシラヒゲドリ
5924,Psophodes nigrogularis,AU,PASSERIFORMES,Psophodidae,シラヒゲドリ
5925,Psophodes leucogaster,AU,PASSERIFORMES,Psophodidae,White-bellied Whipbird
5926,Psophodes cristatus,AU,PASSERIFORMES,Psophodidae,カンムリハシリチメドリ
5927,Psophodes occidentalis,AU,PASSERIFORMES,Psophodidae,ニシカンムリハシリチメドリ
5928,Ptilorrhoa leucosticta,AU,PASSERIFORMES,Cinclosomatidae,タカネパプアチメドリ
5929,Ptilorrhoa caerulescens,AU,PASSERIFORMES,Cinclosomatidae,パプアチメドリ
5930,Ptilorrhoa geislerorum,AU,PASSERIFORMES,Cinclosomatidae,Brown-headed Jewel-babbler
5931,Ptilorrhoa castanonota,AU,PASSERIFORMES,Cinclosomatidae,ヤマパプアチメドリ
5932,Cinclosoma punctatum,AU,PASSERIFORMES,Cinclosomatidae,ウズラチメドリ
5933,Cinclosoma castanotum,AU,PASSERIFORMES,Cinclosomatidae,クリゴシウズラチメドリ
5934,Cinclosoma clarum,AU,PASSERIFORMES,Cinclosomatidae,アカガネウズラチメドリ
5935,Cinclosoma cinnamomeum,AU,PASSERIFORMES,Cinclosomatidae,ニッケイウズラチメドリ
5936,Cinclosoma alisteri,AU,PASSERIFORMES,Cinclosomatidae,セアカウズラチメドリ
5937,Cinclosoma castaneothorax,AU,PASSERIFORMES,Cinclosomatidae,クリムネウズラチメドリ
5938,Cinclosoma marginatum,AU,PASSERIFORMES,Cinclosomatidae,ニシウズラチメドリ
5939,Cinclosoma ajax,AU,PASSERIFORMES,Cinclosomatidae,パプアウズラチメドリ
5940,Batis diops,AF,PASSERIFORMES,Platysteiridae,ハナジロセワタビタキ
5941,Batis margaritae,AF,PASSERIFORMES,Platysteiridae,メスグロセワタビタキ
5942,Batis mixta,AF,PASSERIFORMES,Platysteiridae,タンビセワタビタキ
5943,Batis reichenowi,AF,PASSERIFORMES,Platysteiridae,タンザニアセワタビタキ
5944,Batis crypta,AF,PASSERIFORMES,Platysteiridae,アカバネセワタビタキ
5945,Batis dimorpha,AF,PASSERIFORMES,Platysteiridae,マラウィセワタビタキ
5946,Batis capensis,AF,PASSERIFORMES,Platysteiridae,ムナグロセワタビタキ
5947,Batis fratrum,AF,PASSERIFORMES,Platysteiridae,チャムネセワタビタキ
5948,Batis molitor,AF,PASSERIFORMES,Platysteiridae,アゴフセワタビタキ
5949,Batis senegalensis,AF,PASSERIFORMES,Platysteiridae,シロエリセワタビタキ
5950,Batis orientalis,AF,PASSERIFORMES,Platysteiridae,ハイガシラセワタビタキ
5951,Batis soror,AF,PASSERIFORMES,Platysteiridae,シラフセワタビタキ
5952,Batis pririt,AF,PASSERIFORMES,Platysteiridae,ワキジマセワタビタキ
5953,Batis minor,AF,PASSERIFORMES,Platysteiridae,ズグロセワタビタキ
5954,Batis erlangeri,AF,PASSERIFORMES,Platysteiridae,Western Black-headed Batis
5955,Batis perkeo,AF,PASSERIFORMES,Platysteiridae,コビトセワタビタキ
5956,Batis minulla,AF,PASSERIFORMES,Platysteiridae,アンゴラセワタビタキ
5957,Batis minima,AF,PASSERIFORMES,Platysteiridae,ヒメセワタビタキ
5958,Batis ituriensis,AF,PASSERIFORMES,Platysteiridae,ザイールヒメセワタビタキ
5959,Batis occulta,AF,PASSERIFORMES,Platysteiridae,ニシアフリカセワタビタキ
5960,Batis poensis,AF,PASSERIFORMES,Platysteiridae,フェルナンドポーセワタビタキ
