,IOC,Breeding Range,Order,Family,Catalan
5300,Fluvicola albiventer,SA,PASSERIFORMES,Tyrannidae,tirà torrenter dorsnegre
5301,Fluvicola nengeta,SA,PASSERIFORMES,Tyrannidae,tirà torrenter emmascarat
5302,Arundinicola leucocephala,SA,PASSERIFORMES,Tyrannidae,tirà capblanc
5303,Heteroxolmis dominicana,SA,PASSERIFORMES,Tyrannidae,monja alanegra
5304,Alectrurus tricolor,SA,PASSERIFORMES,Tyrannidae,tirà cua de gall
5305,Alectrurus risora,SA,PASSERIFORMES,Tyrannidae,tirà d'estendards
5306,Tumbezia salvini,SA,PASSERIFORMES,Tyrannidae,tirà diademat de Tumbes
5307,Silvicultrix frontalis,SA,PASSERIFORMES,Tyrannidae,tirà diademat fosc
5308,Silvicultrix spodionota,SA,PASSERIFORMES,Tyrannidae,Kalinowski's Chat-Tyrant
5309,Silvicultrix pulchella,SA,PASSERIFORMES,Tyrannidae,tirà diademat ala-rogenc
5310,Silvicultrix diadema,SA,PASSERIFORMES,Tyrannidae,tirà diademat panxagroc
5311,Silvicultrix jelskii,SA,PASSERIFORMES,Tyrannidae,tirà diademat de Jelski
5312,Ochthoeca cinnamomeiventris,SA,PASSERIFORMES,Tyrannidae,tirà diademat negre
5313,Ochthoeca nigrita,SA,PASSERIFORMES,Tyrannidae,Blackish Chat-Tyrant
5314,Ochthoeca thoracica,SA,PASSERIFORMES,Tyrannidae,Maroon-belted Chat-Tyrant
5315,Ochthoeca rufipectoralis,SA,PASSERIFORMES,Tyrannidae,tirà diademat pit-roig
5316,Ochthoeca fumicolor,SA,PASSERIFORMES,Tyrannidae,tirà diademat bru
5317,Ochthoeca superciliosa,SA,PASSERIFORMES,Tyrannidae,Rufous-browed Chat-Tyrant
5318,Ochthoeca oenanthoides,SA,PASSERIFORMES,Tyrannidae,tirà diademat de D'Orbigny
5319,Ochthoeca leucophrys,SA,PASSERIFORMES,Tyrannidae,tirà diademat d'argent
5320,Ochthoeca piurae,SA,PASSERIFORMES,Tyrannidae,tirà diademat de Piura
5321,Colorhamphus parvirostris,SA,PASSERIFORMES,Tyrannidae,tirà de la Patagònia
5322,Colonia colonus,"MA, SA",PASSERIFORMES,Tyrannidae,tirà cuallarg
5323,Muscigralla brevicauda,SA,PASSERIFORMES,Tyrannidae,tirà cuacurt
5324,Machetornis rixosa,"MA, SA",PASSERIFORMES,Tyrannidae,tirà ramader
5325,Legatus leucophaius,"MA, SA",PASSERIFORMES,Tyrannidae,tirà pirata
5326,Phelpsia inornata,SA,PASSERIFORMES,Tyrannidae,tirà reial dels Llanos (?)
5327,Myiozetetes cayanensis,"MA, SA",PASSERIFORMES,Tyrannidae,tirà reial de coroneta groga
5328,Myiozetetes similis,"MA, SA",PASSERIFORMES,Tyrannidae,tirà reial sociable
5329,Myiozetetes granadensis,"MA, SA",PASSERIFORMES,Tyrannidae,tirà reial capgrís
5330,Myiozetetes luteiventris,SA,PASSERIFORMES,Tyrannidae,tirà reial de pit llistat
5331,Pitangus sulphuratus,"NA, MA, SA",PASSERIFORMES,Tyrannidae,tirà reial gros
5332,Philohydor lictor,"MA, SA",PASSERIFORMES,Tyrannidae,tirà reial lictor
5333,Conopias albovittatus,"MA, SA",PASSERIFORMES,Tyrannidae,tirà reial del Chocó
5334,Conopias parvus,SA,PASSERIFORMES,Tyrannidae,tirà reial de Pelzeln
5335,Conopias trivirgatus,SA,PASSERIFORMES,Tyrannidae,tirà reial de tres bandes
5336,Conopias cinchoneti,SA,PASSERIFORMES,Tyrannidae,tirà reial cellagroc
5337,Myiodynastes hemichrysus,"MA, SA",PASSERIFORMES,Tyrannidae,tirà reial de panxa daurada
5338,Myiodynastes chrysocephalus,SA,PASSERIFORMES,Tyrannidae,tirà reial de casquet daurat
5339,Myiodynastes bairdii,SA,PASSERIFORMES,Tyrannidae,tirà reial de Baird
5340,Myiodynastes luteiventris,"NA, MA",PASSERIFORMES,Tyrannidae,tirà reial panxa de sofre
5341,Myiodynastes maculatus,"MA, SA",PASSERIFORMES,Tyrannidae,tirà reial estriat
5342,Megarynchus pitangua,"MA, SA",PASSERIFORMES,Tyrannidae,tirà reial bec de bota
5343,Tyrannopsis sulphurea,SA,PASSERIFORMES,Tyrannidae,tirà de les palmeres
5344,Empidonomus varius,SA,PASSERIFORMES,Tyrannidae,tirà variegat
5345,Griseotyrannus aurantioatrocristatus,SA,PASSERIFORMES,Tyrannidae,tirà coronat
5346,Tyrannus niveigularis,SA,PASSERIFORMES,Tyrannidae,tirà d'antifaç
5347,Tyrannus albogularis,SA,PASSERIFORMES,Tyrannidae,tirà golablanc
5348,Tyrannus melancholicus,"NA, MA, SA",PASSERIFORMES,Tyrannidae,tirà melancòlic
5349,Tyrannus couchii,"NA, MA",PASSERIFORMES,Tyrannidae,tirà de Couch
5350,Tyrannus vociferans,"NA, MA",PASSERIFORMES,Tyrannidae,tirà de Cassin
5351,Tyrannus crassirostris,"NA, MA",PASSERIFORMES,Tyrannidae,tirà becgròs
5352,Tyrannus savana,"MA, SA",PASSERIFORMES,Tyrannidae,tirà de sabana
5353,Rhytipterna simplex,SA,PASSERIFORMES,Tyrannidae,tirà ploraner gris
5354,Rhytipterna immunda,SA,PASSERIFORMES,Tyrannidae,tirà ploraner pàl·lid
5355,Rhytipterna holerythra,"MA, SA",PASSERIFORMES,Tyrannidae,tirà ploraner rogenc
5356,Sirystes sibilator,SA,PASSERIFORMES,Tyrannidae,tirà xiulador
5357,Sirystes albocinereus,SA,PASSERIFORMES,Tyrannidae,White-rumped Sirystes
5358,Sirystes subcanescens,SA,PASSERIFORMES,Tyrannidae,Todd's Sirystes
5359,Sirystes albogriseus,"MA, SA",PASSERIFORMES,Tyrannidae,Choco Sirystes
5360,Casiornis rufus,SA,PASSERIFORMES,Tyrannidae,tirà rogenc occidental
5361,Casiornis fuscus,SA,PASSERIFORMES,Tyrannidae,tirà rogenc oriental
5362,Myiarchus semirufus,SA,PASSERIFORMES,Tyrannidae,tirà crestat rogenc
5363,Myiarchus yucatanensis,MA,PASSERIFORMES,Tyrannidae,tirà crestat del Yucatan
5364,Myiarchus tuberculifer,"NA, MA, SA",PASSERIFORMES,Tyrannidae,tirà crestat de capell fosc
5365,Myiarchus swainsoni,SA,PASSERIFORMES,Tyrannidae,tirà crestat de Swainson
5366,Myiarchus venezuelensis,SA,PASSERIFORMES,Tyrannidae,tirà crestat de Veneçuela
5367,Myiarchus panamensis,"MA, SA",PASSERIFORMES,Tyrannidae,tirà crestat de Panamà
5368,Myiarchus ferox,SA,PASSERIFORMES,Tyrannidae,tirà crestat ferotge
5369,Myiarchus apicalis,SA,PASSERIFORMES,Tyrannidae,tirà crestat apical
5370,Myiarchus cephalotes,SA,PASSERIFORMES,Tyrannidae,tirà crestat de muntanya
5371,Myiarchus phaeocephalus,SA,PASSERIFORMES,Tyrannidae,tirà crestat de front gris
5372,Myiarchus cinerascens,"NA, MA",PASSERIFORMES,Tyrannidae,tirà crestat de gola cendrosa
5373,Myiarchus nuttingi,MA,PASSERIFORMES,Tyrannidae,tirà crestat de Nutting
5374,Myiarchus tyrannulus,"NA, MA, SA",PASSERIFORMES,Tyrannidae,tirà crestat de Wied
5375,Myiarchus magnirostris,SA,PASSERIFORMES,Tyrannidae,tirà crestat de les Galápagos
5376,Ramphotrigon megacephalum,SA,PASSERIFORMES,Tyrannidae,tirà cabut de Swainson
5377,Ramphotrigon flammulatum,MA,PASSERIFORMES,Tyrannidae,tirà crestat flamulat
5378,Ramphotrigon ruficauda,SA,PASSERIFORMES,Tyrannidae,tirà cabut cua-roig
5379,Ramphotrigon fuscicauda,SA,PASSERIFORMES,Tyrannidae,tirà cabut cuafosc
5380,Attila phoenicurus,SA,PASSERIFORMES,Tyrannidae,àtila encaputxat
5381,Attila cinnamomeus,SA,PASSERIFORMES,Tyrannidae,àtila canyella
5382,Attila torridus,SA,PASSERIFORMES,Tyrannidae,àtila ocraci
5383,Attila citriniventris,SA,PASSERIFORMES,Tyrannidae,àtila panxagroc
5384,Attila bolivianus,SA,PASSERIFORMES,Tyrannidae,àtila d'ulls blancs
5385,Attila rufus,SA,PASSERIFORMES,Tyrannidae,àtila capgrís
5386,Attila spadiceus,"MA, SA",PASSERIFORMES,Tyrannidae,àtila de carpó lluent
5387,Ampelioides tschudii,SA,PASSERIFORMES,Cotingidae,cotinga escatós
5388,Pipreola chlorolepidota,SA,PASSERIFORMES,Cotingidae,cotinga gola-roig
5389,Pipreola frontalis,SA,PASSERIFORMES,Cotingidae,cotinga pit-roig
5390,Pipreola formosa,SA,PASSERIFORMES,Cotingidae,cotinga formós
5391,Pipreola whitelyi,SA,PASSERIFORMES,Cotingidae,cotinga degollat
5392,Pipreola lubomirskii,SA,PASSERIFORMES,Cotingidae,cotinga pitnegre
5393,Pipreola jucunda,SA,PASSERIFORMES,Cotingidae,cotinga de gola carbassa
5394,Pipreola pulchra,SA,PASSERIFORMES,Cotingidae,cotinga emmascarat
5395,Pipreola aureopectus,SA,PASSERIFORMES,Cotingidae,cotinga de pit daurat
5396,Pipreola arcuata,SA,PASSERIFORMES,Cotingidae,cotinga barrat
5397,Pipreola intermedia,SA,PASSERIFORMES,Cotingidae,cotinga de cua ratllada
5398,Pipreola riefferii,SA,PASSERIFORMES,Cotingidae,cotinga verda i negre
5399,Snowornis subalaris,SA,PASSERIFORMES,Cotingidae,cotinga cuagrís
5400,Snowornis cryptolophus,SA,PASSERIFORMES,Cotingidae,cotinga olivaci
5401,Carpornis cucullata,SA,PASSERIFORMES,Cotingidae,cotinga encapuxat
5402,Carpornis melanocephala,SA,PASSERIFORMES,Cotingidae,cotinga capnegre
5403,Rupicola peruvianus,SA,PASSERIFORMES,Cotingidae,gallet de roca dels Andes
5404,Rupicola rupicola,SA,PASSERIFORMES,Cotingidae,gallet de roca de la Guaiana
5405,Phoenicircus carnifex,SA,PASSERIFORMES,Cotingidae,cotinga roig de la Guaiana
5406,Phoenicircus nigricollis,SA,PASSERIFORMES,Cotingidae,cotinga roig collnegre
5407,Zaratornis stresemanni,SA,PASSERIFORMES,Cotingidae,cotinga de galtes blanques
5408,Phytotoma rara,SA,PASSERIFORMES,Cotingidae,cotinga tallabranques de Xile
5409,Phytotoma raimondii,SA,PASSERIFORMES,Cotingidae,cotinga tallabranques del Perú
5410,Phytotoma rutila,SA,PASSERIFORMES,Cotingidae,cotinga tallabranques de l'Argentina
5411,Phibalura flavirostris,SA,PASSERIFORMES,Cotingidae,cotinga de cua forcada
5412,Phibalura boliviana,SA,PASSERIFORMES,Cotingidae,Palkachupa Cotinga
5413,Doliornis sclateri,SA,PASSERIFORMES,Cotingidae,cotinga de Sclater
5414,Doliornis remseni,SA,PASSERIFORMES,Cotingidae,cotinga de Remsen
5415,Ampelion rubrocristatus,SA,PASSERIFORMES,Cotingidae,cotinga emplomallat fosc
5416,Ampelion rufaxilla,SA,PASSERIFORMES,Cotingidae,cotinga emplomallat coll-roig
5417,Haematoderus militaris,SA,PASSERIFORMES,Cotingidae,cotinga carmesí
5418,Querula purpurata,"MA, SA",PASSERIFORMES,Cotingidae,cotinga quèrula
5419,Pyroderus scutatus,SA,PASSERIFORMES,Cotingidae,cotinga ardent
5420,Cephalopterus glabricollis,MA,PASSERIFORMES,Cotingidae,ocell paraigua de coll nu
5421,Cephalopterus penduliger,SA,PASSERIFORMES,Cotingidae,ocell paraigua encorbatat
5422,Cephalopterus ornatus,SA,PASSERIFORMES,Cotingidae,ocell paraigua d'ulls blancs
5423,Perissocephalus tricolor,SA,PASSERIFORMES,Cotingidae,cotinga caputxí
5424,Lipaugus unirufus,"MA, SA",PASSERIFORMES,Cotingidae,cotinga rogenc
5425,Lipaugus streptophorus,SA,PASSERIFORMES,Cotingidae,cotinga de collar rosa
5426,Lipaugus vociferans,SA,PASSERIFORMES,Cotingidae,cotinga cridaner
5427,Lipaugus lanioides,SA,PASSERIFORMES,Cotingidae,cotinga capgrís
5428,Lipaugus ater,SA,PASSERIFORMES,Cotingidae,cotinga d'ales daurades
5429,Lipaugus conditus,SA,PASSERIFORMES,Cotingidae,cotinga d'ales grises
5430,Lipaugus weberi,SA,PASSERIFORMES,Cotingidae,cotinga de Weber
5431,Lipaugus fuscocinereus,SA,PASSERIFORMES,Cotingidae,cotinga fosc
5432,Lipaugus uropygialis,SA,PASSERIFORMES,Cotingidae,cotinga alafalcat
5433,Procnias albus,SA,PASSERIFORMES,Cotingidae,campaner blanc
5434,Procnias tricarunculatus,MA,PASSERIFORMES,Cotingidae,campaner tricarunculat
5435,Procnias nudicollis,SA,PASSERIFORMES,Cotingidae,campaner de collnu
5436,Procnias averano,SA,PASSERIFORMES,Cotingidae,campaner barbat
5437,Cotinga maynana,SA,PASSERIFORMES,Cotingidae,cotinga d'ulls grocs
5438,Cotinga cayana,SA,PASSERIFORMES,Cotingidae,cotinga metàl·lic
5439,Cotinga amabilis,MA,PASSERIFORMES,Cotingidae,cotinga amable
5440,Cotinga nattererii,"MA, SA",PASSERIFORMES,Cotingidae,cotinga blau
5441,Cotinga ridgwayi,MA,PASSERIFORMES,Cotingidae,cotinga turquesa
5442,Cotinga maculata,SA,PASSERIFORMES,Cotingidae,cotinga maculat
5443,Cotinga cotinga,SA,PASSERIFORMES,Cotingidae,cotinga de pit porpra
5444,Porphyrolaema porphyrolaema,SA,PASSERIFORMES,Cotingidae,cotinga golamorat
5445,Conioptilon mcilhennyi,SA,PASSERIFORMES,Cotingidae,cotinga caranegre
5446,Gymnoderus foetidus,SA,PASSERIFORMES,Cotingidae,cotinga vulturí
5447,Xipholena punicea,SA,PASSERIFORMES,Cotingidae,cotinga pompadour
5448,Xipholena lamellipennis,SA,PASSERIFORMES,Cotingidae,cotinga cuablanc
5449,Xipholena atropurpurea,SA,PASSERIFORMES,Cotingidae,cotinga alablanc
5450,Carpodectes hopkei,"MA, SA",PASSERIFORMES,Cotingidae,cotinga blanc
5451,Carpodectes antoniae,MA,PASSERIFORMES,Cotingidae,cotinga becgroc
5452,Carpodectes nitidus,MA,PASSERIFORMES,Cotingidae,cotinga nivi
5453,Tyranneutes stolzmanni,SA,PASSERIFORMES,Pipridae,manaquí nan
5454,Tyranneutes virescens,SA,PASSERIFORMES,Pipridae,manaquí diminut
5455,Neopelma chrysocephalum,SA,PASSERIFORMES,Pipridae,manaquí de Pelzeln
5456,Neopelma sulphureiventer,SA,PASSERIFORMES,Pipridae,manaquí de panxa groga
5457,Neopelma pallescens,SA,PASSERIFORMES,Pipridae,manaquí de ventre pàl·lid
5458,Neopelma aurifrons,SA,PASSERIFORMES,Pipridae,manaquí de Wied
5459,Neopelma chrysolophum,SA,PASSERIFORMES,Pipridae,manaquí de Serra do Mar
5460,Chloropipo flavicapilla,SA,PASSERIFORMES,Pipridae,manaquí citrí
5461,Chloropipo unicolor,SA,PASSERIFORMES,Pipridae,manaquí unicolor
5462,Antilophia bokermanni,SA,PASSERIFORMES,Pipridae,manaquí d'Araripe
5463,Antilophia galeata,SA,PASSERIFORMES,Pipridae,manaquí de casc
5464,Chiroxiphia linearis,MA,PASSERIFORMES,Pipridae,manaquí cuallarg
5465,Chiroxiphia lanceolata,"MA, SA",PASSERIFORMES,Pipridae,manaquí lanceolat
5466,Chiroxiphia pareola,SA,PASSERIFORMES,Pipridae,manaquí de dors blau
5467,Chiroxiphia boliviana,SA,PASSERIFORMES,Pipridae,manaquí de Yungas
5468,Chiroxiphia caudata,SA,PASSERIFORMES,Pipridae,manaquí blau
5469,Ilicura militaris,SA,PASSERIFORMES,Pipridae,manaquí militar
5470,Masius chrysopterus,SA,PASSERIFORMES,Pipridae,manaquí d'ales daurades
5471,Corapipo gutturalis,SA,PASSERIFORMES,Pipridae,manaquí pitblanc
5472,Corapipo altera,"MA, SA",PASSERIFORMES,Pipridae,White-ruffed Manakin
5473,Corapipo leucorrhoa,SA,PASSERIFORMES,Pipridae,manaquí golablanc
5474,Xenopipo uniformis,SA,PASSERIFORMES,Pipridae,manaquí olivaci
5475,Xenopipo atronitens,SA,PASSERIFORMES,Pipridae,manaquí negre
5476,Cryptopipo litae,"MA, SA",PASSERIFORMES,Pipridae,Choco Manakin
5477,Cryptopipo holochlora,SA,PASSERIFORMES,Pipridae,manaquí verd
5478,Lepidothrix velutina,"MA, SA",PASSERIFORMES,Pipridae,Velvety Manakin
5479,Lepidothrix coronata,SA,PASSERIFORMES,Pipridae,manaquí de coroneta blava
5480,Lepidothrix nattereri,SA,PASSERIFORMES,Pipridae,manaquí de coroneta blanca
5481,Lepidothrix vilasboasi,SA,PASSERIFORMES,Pipridae,manaquí de capell daurat
5482,Lepidothrix iris,SA,PASSERIFORMES,Pipridae,manaquí de cap òpal
5483,Lepidothrix suavissima,SA,PASSERIFORMES,Pipridae,manaquí de ventre daurat
5484,Lepidothrix serena,SA,PASSERIFORMES,Pipridae,manaquí de front blanc
5485,Lepidothrix isidorei,SA,PASSERIFORMES,Pipridae,manaquí de carpó blau
5486,Lepidothrix coeruleocapilla,SA,PASSERIFORMES,Pipridae,manaquí de coroneta cerúlia
5487,Heterocercus aurantiivertex,SA,PASSERIFORMES,Pipridae,manaquí de coroneta carbassa
5488,Heterocercus flavivertex,SA,PASSERIFORMES,Pipridae,manaquí de coroneta groga
5489,Heterocercus linteatus,SA,PASSERIFORMES,Pipridae,manaquí de coroneta encesa
5490,Manacus manacus,SA,PASSERIFORMES,Pipridae,manaquí barbat blanc
5491,Manacus candei,MA,PASSERIFORMES,Pipridae,manaquí barbat collblanc
5492,Manacus vitellinus,"MA, SA",PASSERIFORMES,Pipridae,manaquí barbat colldaurat
5493,Manacus aurantiacus,MA,PASSERIFORMES,Pipridae,manaquí barbat collcarbassa
5494,Pipra aureola,SA,PASSERIFORMES,Pipridae,manaquí aureolat
5495,Pipra filicauda,SA,PASSERIFORMES,Pipridae,manaquí cua de fil
5496,Pipra fasciicauda,SA,PASSERIFORMES,Pipridae,manaquí cuabarrat
5497,Machaeropterus deliciosus,SA,PASSERIFORMES,Pipridae,manaquí d'ales blanques
5498,Machaeropterus regulus,SA,PASSERIFORMES,Pipridae,manaquí estriat oriental
5499,Machaeropterus striolatus,SA,PASSERIFORMES,Pipridae,manaquí estriat occidental
5500,Machaeropterus eckelberryi,SA,PASSERIFORMES,Pipridae,Painted Manakin
5501,Machaeropterus pyrocephalus,SA,PASSERIFORMES,Pipridae,manaquí cap de foc
5502,Pseudopipra pipra,"MA, SA",PASSERIFORMES,Pipridae,manaquí de casquet blanc
5503,Ceratopipra cornuta,SA,PASSERIFORMES,Pipridae,manaquí de crinera
5504,Ceratopipra mentalis,"MA, SA",PASSERIFORMES,Pipridae,manaquí cuixagroc
5505,Ceratopipra chloromeros,SA,PASSERIFORMES,Pipridae,manaquí cuaample
5506,Ceratopipra erythrocephala,"MA, SA",PASSERIFORMES,Pipridae,manaquí capdaurat
5507,Ceratopipra rubrocapilla,SA,PASSERIFORMES,Pipridae,manaquí cap-roig
5508,Oxyruncus cristatus,SA,PASSERIFORMES,Tityridae,cotinga bec-esmolat
5509,Onychorhynchus coronatus,SA,PASSERIFORMES,Tityridae,cabdill reial
5510,Onychorhynchus mexicanus,"MA, SA",PASSERIFORMES,Tityridae,Northern Royal Flycatcher
5511,Onychorhynchus occidentalis,SA,PASSERIFORMES,Tityridae,Pacific Royal Flycatcher
5512,Onychorhynchus swainsoni,SA,PASSERIFORMES,Tityridae,Atlantic Royal Flycatcher
5513,Myiobius villosus,"MA, SA",PASSERIFORMES,Tityridae,mosquer de panxa lleonada
5514,Myiobius sulphureipygius,"MA, SA",PASSERIFORMES,Tityridae,miobi de carpó groc
5515,Myiobius barbatus,SA,PASSERIFORMES,Tityridae,mosquer barbat
5516,Myiobius atricaudus,"MA, SA",PASSERIFORMES,Tityridae,mosquer cuanegre
5517,Terenotriccus erythrurus,"MA, SA",PASSERIFORMES,Tityridae,mosquer cua-rogenc
5518,Tityra inquisitor,"MA, SA",PASSERIFORMES,Tityridae,titira becnegra
5519,Tityra cayana,SA,PASSERIFORMES,Tityridae,titira encaputxada
5520,Tityra semifasciata,"MA, SA",PASSERIFORMES,Tityridae,titira emmascarada
5521,Schiffornis major,SA,PASSERIFORMES,Tityridae,ploranera de Varzea
5522,Schiffornis olivacea,SA,PASSERIFORMES,Tityridae,Guianan Schiffornis
5523,Schiffornis veraepacis,"MA, SA",PASSERIFORMES,Tityridae,Northern Schiffornis
5524,Schiffornis aenea,SA,PASSERIFORMES,Tityridae,Foothill Schiffornis
5525,Schiffornis stenorhyncha,"MA, SA",PASSERIFORMES,Tityridae,Russet-winged Schiffornis
5526,Schiffornis turdina,"MA, SA",PASSERIFORMES,Tityridae,ploranera tordina
5527,Schiffornis virescens,SA,PASSERIFORMES,Tityridae,ploranera verdosa
5528,Laniocera rufescens,"MA, SA",PASSERIFORMES,Tityridae,àtila ploraner tacat
5529,Laniocera hypopyrra,SA,PASSERIFORMES,Tityridae,àtila ploraner cendrós
5530,Iodopleura pipra,SA,PASSERIFORMES,Tityridae,cotinga menut golacremós
5531,Iodopleura fusca,SA,PASSERIFORMES,Tityridae,cotinga menut fosc
5532,Iodopleura isabellae,SA,PASSERIFORMES,Tityridae,cotinga menut cellablanc
5533,Laniisoma elegans,SA,PASSERIFORMES,Tityridae,cotinga elegant
5534,Laniisoma buckleyi,SA,PASSERIFORMES,Tityridae,Andean Laniisoma
5535,Xenopsaris albinucha,SA,PASSERIFORMES,Tityridae,anambé menut
5536,Pachyramphus viridis,SA,PASSERIFORMES,Tityridae,anambé olivaci
5537,Pachyramphus xanthogenys,SA,PASSERIFORMES,Tityridae,anambé caragroc
5538,Pachyramphus versicolor,"MA, SA",PASSERIFORMES,Tityridae,anambé barrat
5539,Pachyramphus spodiurus,SA,PASSERIFORMES,Tityridae,anambé pissarrós
5540,Pachyramphus rufus,"MA, SA",PASSERIFORMES,Tityridae,anambé cendrós
5541,Pachyramphus castaneus,SA,PASSERIFORMES,Tityridae,anambé castany
5542,Pachyramphus cinnamomeus,"MA, SA",PASSERIFORMES,Tityridae,anambé canyella
5543,Pachyramphus salvini,SA,PASSERIFORMES,Tityridae,Cryptic Becard
5544,Pachyramphus polychopterus,"MA, SA",PASSERIFORMES,Tityridae,anambé alablanc
5545,Pachyramphus marginatus,SA,PASSERIFORMES,Tityridae,anambé de casquet
5546,Pachyramphus albogriseus,"MA, SA",PASSERIFORMES,Tityridae,anambé blanc i negre
5547,Pachyramphus major,MA,PASSERIFORMES,Tityridae,anambé de Mèxic
5548,Pachyramphus surinamus,SA,PASSERIFORMES,Tityridae,anambé de Surinam
5549,Pachyramphus homochrous,"MA, SA",PASSERIFORMES,Tityridae,anambé unicolor
5550,Pachyramphus minor,SA,PASSERIFORMES,Tityridae,anambé de Lesson
5551,Pachyramphus validus,SA,PASSERIFORMES,Tityridae,anambé de Lichtenstein
5552,Pachyramphus aglaiae,MA,PASSERIFORMES,Tityridae,anambé gorja-rosat
5553,Menura alberti,AU,PASSERIFORMES,Menuridae,ocell lira d'Albert
5554,Menura novaehollandiae,AU,PASSERIFORMES,Menuridae,ocell lira superb
5555,Atrichornis rufescens,AU,PASSERIFORMES,Atrichornithidae,matollera rogenca
5556,Atrichornis clamosus,AU,PASSERIFORMES,Atrichornithidae,matollera xerraire
5557,Ailuroedus stonii,AU,PASSERIFORMES,Ptilonorhynchidae,Ochre-breasted Catbird
5558,Ailuroedus buccoides,AU,PASSERIFORMES,Ptilonorhynchidae,arquer de galtes blanques
5559,Ailuroedus geislerorum,AU,PASSERIFORMES,Ptilonorhynchidae,Tan-capped Catbird
5560,Ailuroedus crassirostris,AU,PASSERIFORMES,Ptilonorhynchidae,arquer verd
5561,Ailuroedus maculosus,AU,PASSERIFORMES,Ptilonorhynchidae,Spotted Catbird
5562,Ailuroedus astigmaticus,AU,PASSERIFORMES,Ptilonorhynchidae,Huon Catbird
5563,Ailuroedus melanocephalus,AU,PASSERIFORMES,Ptilonorhynchidae,Black-capped Catbird
5564,Ailuroedus jobiensis,AU,PASSERIFORMES,Ptilonorhynchidae,Northern Catbird
5565,Ailuroedus arfakianus,AU,PASSERIFORMES,Ptilonorhynchidae,Arfak Catbird
5566,Ailuroedus melanotis,AU,PASSERIFORMES,Ptilonorhynchidae,arquer orellut
5567,Scenopoeetes dentirostris,AU,PASSERIFORMES,Ptilonorhynchidae,arquer dentat
5568,Archboldia papuensis,AU,PASSERIFORMES,Ptilonorhynchidae,arquer d'Archbold
5569,Amblyornis inornata,AU,PASSERIFORMES,Ptilonorhynchidae,arquer bru
5570,Amblyornis macgregoriae,AU,PASSERIFORMES,Ptilonorhynchidae,arquer de MacGregor
5571,Amblyornis germanus,AU,PASSERIFORMES,Ptilonorhynchidae,Huon Bowerbird
5572,Amblyornis subalaris,AU,PASSERIFORMES,Ptilonorhynchidae,arquer de crinera carbassa
5573,Amblyornis flavifrons,AU,PASSERIFORMES,Ptilonorhynchidae,arquer de crinera groga
5574,Prionodura newtoniana,AU,PASSERIFORMES,Ptilonorhynchidae,arquer de Newton
5575,Sericulus aureus,AU,PASSERIFORMES,Ptilonorhynchidae,arquer auri
5576,Sericulus ardens,AU,PASSERIFORMES,Ptilonorhynchidae,arquer flamíger
5577,Sericulus bakeri,AU,PASSERIFORMES,Ptilonorhynchidae,arquer dels monts Adelbert
5578,Sericulus chrysocephalus,AU,PASSERIFORMES,Ptilonorhynchidae,arquer regent
5579,Ptilonorhynchus violaceus,AU,PASSERIFORMES,Ptilonorhynchidae,arquer setinat
5580,Chlamydera guttata,AU,PASSERIFORMES,Ptilonorhynchidae,arquer maculat occidental
5581,Chlamydera nuchalis,AU,PASSERIFORMES,Ptilonorhynchidae,arquer gros
5582,Chlamydera maculata,AU,PASSERIFORMES,Ptilonorhynchidae,arquer maculat oriental
5583,Chlamydera lauterbachi,AU,PASSERIFORMES,Ptilonorhynchidae,arquer de Lauterbach
5584,Chlamydera cerviniventris,AU,PASSERIFORMES,Ptilonorhynchidae,arquer de pit estriat
5585,Cormobates leucophaea,AU,PASSERIFORMES,Climacteridae,pelatroncs golablanc
5586,Cormobates placens,AU,PASSERIFORMES,Climacteridae,pelatroncs de Nova Guinea
5587,Climacteris erythrops,AU,PASSERIFORMES,Climacteridae,pelatroncs cara-roig
5588,Climacteris affinis,AU,PASSERIFORMES,Climacteridae,pelatroncs cellablanc
5589,Climacteris rufus,AU,PASSERIFORMES,Climacteridae,pelatroncs rogenc
5590,Climacteris picumnus,AU,PASSERIFORMES,Climacteridae,pelatroncs bru
5591,Climacteris melanurus,AU,PASSERIFORMES,Climacteridae,pelatroncs fosc
5592,Sipodotus wallacii,AU,PASSERIFORMES,Maluridae,malur de Wallace
5593,Chenorhamphus grayi,AU,PASSERIFORMES,Maluridae,malur becample
5594,Chenorhamphus campbelli,AU,PASSERIFORMES,Maluridae,Campbell's Fairywren
5595,Malurus cyanocephalus,AU,PASSERIFORMES,Maluridae,malur emperador
5596,Malurus amabilis,AU,PASSERIFORMES,Maluridae,malur amable
5597,Malurus assimilis,AU,PASSERIFORMES,Maluridae,Purple-backed Fairywren
5598,Malurus lamberti,AU,PASSERIFORMES,Maluridae,malur de Lambert
5599,Malurus pulcherrimus,AU,PASSERIFORMES,Maluridae,malur pitblau
5600,Malurus elegans,AU,PASSERIFORMES,Maluridae,malur elegant
5601,Malurus cyaneus,AU,PASSERIFORMES,Maluridae,malur superb
5602,Malurus splendens,AU,PASSERIFORMES,Maluridae,malur esplèndid
5603,Malurus coronatus,AU,PASSERIFORMES,Maluridae,malur coronat
5604,Malurus alboscapulatus,AU,PASSERIFORMES,Maluridae,malur d'espatlles blanques
5605,Malurus melanocephalus,AU,PASSERIFORMES,Maluridae,malur de dors rogenc
