,IOC,Breeding Range,Order,Family,Catalan
142,Mareca sibilatrix,SA,ANSERIFORMES,Anatidae,ànec xiulador sud-americà
143,Anas sparsa,AF,ANSERIFORMES,Anatidae,ànec negre africà
144,Anas undulata,AF,ANSERIFORMES,Anatidae,ànec becgroc
145,Anas melleri,AF,ANSERIFORMES,Anatidae,ànec de Meller
146,Anas superciliosa,AU,ANSERIFORMES,Anatidae,ànec cellut
147,Anas laysanensis,PO,ANSERIFORMES,Anatidae,ànec de l'illa Laysan
148,Anas wyvilliana,PO,ANSERIFORMES,Anatidae,ànec de Hawaii
149,Anas luzonica,OR,ANSERIFORMES,Anatidae,ànec de les Filipines
150,Anas poecilorhyncha,OR,ANSERIFORMES,Anatidae,ànec becpintat de l'Índia
151,Anas zonorhyncha,OR,ANSERIFORMES,Anatidae,ànec becpintat de la Xina
152,Anas platyrhynchos,"NA, PAL",ANSERIFORMES,Anatidae,ànec collverd
153,Anas diazi,"NA, MA",ANSERIFORMES,Anatidae,Mexican Duck
154,Anas capensis,AF,ANSERIFORMES,Anatidae,xarxet del Cap
155,Anas bahamensis,"SA, NA",ANSERIFORMES,Anatidae,ànec de les Bahames
156,Anas erythrorhyncha,AF,ANSERIFORMES,Anatidae,ànec bec-roig
157,Anas georgica,SA,ANSERIFORMES,Anatidae,ànec de Gmelin
158,Anas eatoni,IO,ANSERIFORMES,Anatidae,ànec d'Eaton
159,Anas acuta,"NA, PAL",ANSERIFORMES,Anatidae,ànec cuallarg
160,Anas crecca,"PAL, NA",ANSERIFORMES,Anatidae,xarxet comú
161,Anas flavirostris,SA,ANSERIFORMES,Anatidae,xarxet becgroc
162,Anas andium,SA,ANSERIFORMES,Anatidae,xarxet dels Andes
163,Anas gibberifrons,OR,ANSERIFORMES,Anatidae,xarxet de les Andaman
164,Anas albogularis,OR,ANSERIFORMES,Anatidae,xarxet de front boterut
165,Anas gracilis,AU,ANSERIFORMES,Anatidae,xarxet gris
166,Anas castanea,AU,ANSERIFORMES,Anatidae,xarxet de Tasmània
167,Anas bernieri,AF,ANSERIFORMES,Anatidae,xarxet de Madagascar
168,Anas chlorotis,AU,ANSERIFORMES,Anatidae,xarxet de Nova Zelanda
169,Anas aucklandica,AU,ANSERIFORMES,Anatidae,xarxet de les illes Auckland
170,Anas nesiotis,AU,ANSERIFORMES,Anatidae,xarxet de l'illa Campbell
171,Marmaronetta angustirostris,PAL,ANSERIFORMES,Anatidae,xarxet marbrenc
172,Netta rufina,PAL,ANSERIFORMES,Anatidae,xibec comú
173,Netta peposaca,SA,ANSERIFORMES,Anatidae,xibec peposaca
174,Netta erythrophthalma,"AF, SA",ANSERIFORMES,Anatidae,xibec bru
175,Aythya ferina,PAL,ANSERIFORMES,Anatidae,morell cap-roig
176,Aythya australis,AU,ANSERIFORMES,Anatidae,morell australià
177,Aythya innotata,AF,ANSERIFORMES,Anatidae,morell de Madagascar
178,Aythya baeri,PAL,ANSERIFORMES,Anatidae,morell de Baer
179,Aythya nyroca,PAL,ANSERIFORMES,Anatidae,morell xocolater
180,Aythya novaeseelandiae,AU,ANSERIFORMES,Anatidae,morell de Nova Zelanda
181,Aythya fuligula,PAL,ANSERIFORMES,Anatidae,morell de plomall
182,Aythya marila,"NA, PAL",ANSERIFORMES,Anatidae,morell buixot
183,Polysticta stelleri,"NA, PAL",ANSERIFORMES,Anatidae,èider de Steller
184,Somateria fischeri,"NA, PAL",ANSERIFORMES,Anatidae,èider de Fischer
185,Somateria spectabilis,"NA, PAL",ANSERIFORMES,Anatidae,èider reial
186,Somateria mollissima,"NA, PAL",ANSERIFORMES,Anatidae,èider comú
187,Histrionicus histrionicus,"NA, PAL",ANSERIFORMES,Anatidae,ànec arlequí
188,Melanitta fusca,PAL,ANSERIFORMES,Anatidae,ànec fosc
189,Melanitta stejnegeri,PAL,ANSERIFORMES,Anatidae,ànec fosc siberià
190,Melanitta nigra,PAL,ANSERIFORMES,Anatidae,ànec negre comú
191,Melanitta americana,"PAL, NA",ANSERIFORMES,Anatidae,ànec negre americà
192,Clangula hyemalis,"NA, PAL",ANSERIFORMES,Anatidae,ànec glacial
