,IOC,Breeding Range,Order,Family,Indonesian
122,Nettapus auritus,AF,ANSERIFORMES,Anatidae,African Pygmy Goose
123,Nettapus coromandelianus,OR,ANSERIFORMES,Anatidae,Trutu hijau
124,Nettapus pulchellus,AU,ANSERIFORMES,Anatidae,Trutu coklat
125,Amazonetta brasiliensis,SA,ANSERIFORMES,Anatidae,Brazilian Teal
126,Callonetta leucophrys,SA,ANSERIFORMES,Anatidae,Ringed Teal
127,Lophonetta specularioides,SA,ANSERIFORMES,Anatidae,Crested Duck
128,Speculanas specularis,SA,ANSERIFORMES,Anatidae,Bronze-winged Duck
129,Sibirionetta formosa,PAL,ANSERIFORMES,Anatidae,Baikal Teal
130,Spatula querquedula,PAL,ANSERIFORMES,Anatidae,Itik jurai
131,Spatula hottentota,AF,ANSERIFORMES,Anatidae,Blue-billed Teal
132,Spatula puna,SA,ANSERIFORMES,Anatidae,Puna Teal
133,Spatula versicolor,SA,ANSERIFORMES,Anatidae,Silver Teal
134,Spatula platalea,SA,ANSERIFORMES,Anatidae,Red Shoveler
135,Spatula cyanoptera,"NA, MA, SA",ANSERIFORMES,Anatidae,Cinnamon Teal
136,Spatula smithii,AF,ANSERIFORMES,Anatidae,Cape Shoveler
137,Spatula rhynchotis,AU,ANSERIFORMES,Anatidae,Australasian Shoveler
138,Spatula clypeata,"NA, PAL",ANSERIFORMES,Anatidae,Northern Shoveler
139,Mareca strepera,"NA, PAL",ANSERIFORMES,Anatidae,Gadwall
140,Mareca falcata,PAL,ANSERIFORMES,Anatidae,Falcated Duck
141,Mareca penelope,PAL,ANSERIFORMES,Anatidae,Itik bungalan
142,Mareca sibilatrix,SA,ANSERIFORMES,Anatidae,Chiloe Wigeon
143,Anas sparsa,AF,ANSERIFORMES,Anatidae,African Black Duck
144,Anas undulata,AF,ANSERIFORMES,Anatidae,Yellow-billed Duck
145,Anas melleri,AF,ANSERIFORMES,Anatidae,Meller's Duck
146,Anas superciliosa,AU,ANSERIFORMES,Anatidae,Itik alis
147,Anas laysanensis,PO,ANSERIFORMES,Anatidae,Laysan Duck
148,Anas wyvilliana,PO,ANSERIFORMES,Anatidae,Hawaiian Duck
149,Anas luzonica,OR,ANSERIFORMES,Anatidae,Philippine Duck
150,Anas poecilorhyncha,OR,ANSERIFORMES,Anatidae,Indian Spot-billed Duck
