,IOC,Breeding Range,Order,Family,Italian
5377,Ramphotrigon flammulatum,MA,PASSERIFORMES,Tyrannidae,Pigliamosche fiammato
5378,Ramphotrigon ruficauda,SA,PASSERIFORMES,Tyrannidae,Beccopiatto codarossiccia
5379,Ramphotrigon fuscicauda,SA,PASSERIFORMES,Tyrannidae,Beccopiatto codascura
5380,Attila phoenicurus,SA,PASSERIFORMES,Tyrannidae,Attila codarossiccia
5381,Attila cinnamomeus,SA,PASSERIFORMES,Tyrannidae,Attila cannella
5382,Attila torridus,SA,PASSERIFORMES,Tyrannidae,Attila ocraceo
5383,Attila citriniventris,SA,PASSERIFORMES,Tyrannidae,Attila panciacitrina
5384,Attila bolivianus,SA,PASSERIFORMES,Tyrannidae,Attila caposcialbo
5385,Attila rufus,SA,PASSERIFORMES,Tyrannidae,Attila monaco
5386,Attila spadiceus,"MA, SA",PASSERIFORMES,Tyrannidae,Attila groppabrillante
5387,Ampelioides tschudii,SA,PASSERIFORMES,Cotingidae,Fruttaio squamato
5388,Pipreola chlorolepidota,SA,PASSERIFORMES,Cotingidae,Fruttaio golaflammea
5389,Pipreola frontalis,SA,PASSERIFORMES,Cotingidae,Fruttaio pettoscarlatto
5390,Pipreola formosa,SA,PASSERIFORMES,Cotingidae,Fruttaio magnifico
5391,Pipreola whitelyi,SA,PASSERIFORMES,Cotingidae,Fruttaio bandarossa
5392,Pipreola lubomirskii,SA,PASSERIFORMES,Cotingidae,Fruttaio pettonero
5393,Pipreola jucunda,SA,PASSERIFORMES,Cotingidae,Fruttaio pettoarancio
5394,Pipreola pulchra,SA,PASSERIFORMES,Cotingidae,Fruttaio mascherato
5395,Pipreola aureopectus,SA,PASSERIFORMES,Cotingidae,Fruttaio pettodorato
5396,Pipreola arcuata,SA,PASSERIFORMES,Cotingidae,Fruttaio barrato
5397,Pipreola intermedia,SA,PASSERIFORMES,Cotingidae,Fruttaio codafasciata
5398,Pipreola riefferii,SA,PASSERIFORMES,Cotingidae,Fruttaio verdenero
5399,Snowornis subalaris,SA,PASSERIFORMES,Cotingidae,Piha codagrigia
5400,Snowornis cryptolophus,SA,PASSERIFORMES,Cotingidae,Piha olivacea
5401,Carpornis cucullata,SA,PASSERIFORMES,Cotingidae,Beccabacca monaco
5402,Carpornis melanocephala,SA,PASSERIFORMES,Cotingidae,Beccabacca testanera
5403,Rupicola peruvianus,SA,PASSERIFORMES,Cotingidae,Galletto di roccia delle Ande
5404,Rupicola rupicola,SA,PASSERIFORMES,Cotingidae,Galletto di roccia della Guyana
5405,Phoenicircus carnifex,SA,PASSERIFORMES,Cotingidae,Cotinga rossa della Guyana
5406,Phoenicircus nigricollis,SA,PASSERIFORMES,Cotingidae,Cotinga rossa collonero
5407,Zaratornis stresemanni,SA,PASSERIFORMES,Cotingidae,Cotinga guancebianche
5408,Phytotoma rara,SA,PASSERIFORMES,Cotingidae,Tagliafoglie codarossiccia
5409,Phytotoma raimondii,SA,PASSERIFORMES,Cotingidae,Tagliafoglie del Perù
5410,Phytotoma rutila,SA,PASSERIFORMES,Cotingidae,Tagliafoglie codabianca
5411,Phibalura flavirostris,SA,PASSERIFORMES,Cotingidae,Cotinga coda di rondine
5412,Phibalura boliviana,SA,PASSERIFORMES,Cotingidae,Palkachupa Cotinga
5413,Doliornis sclateri,SA,PASSERIFORMES,Cotingidae,Cotinga culbaio
5414,Doliornis remseni,SA,PASSERIFORMES,Cotingidae,Cotinga panciacastana
5415,Ampelion rubrocristatus,SA,PASSERIFORMES,Cotingidae,Cotinga crestarossa
5416,Ampelion rufaxilla,SA,PASSERIFORMES,Cotingidae,Cotinga crestacastana
5417,Haematoderus militaris,SA,PASSERIFORMES,Cotingidae,Corvo beccafrutta cremisi
5418,Querula purpurata,"MA, SA",PASSERIFORMES,Cotingidae,Corvo beccafrutta golaviola
5419,Pyroderus scutatus,SA,PASSERIFORMES,Cotingidae,Corvo beccafrutta golarossa
5420,Cephalopterus glabricollis,MA,PASSERIFORMES,Cotingidae,Uccello parasole collonudo
5421,Cephalopterus penduliger,SA,PASSERIFORMES,Cotingidae,Uccello parasole caruncolato
5422,Cephalopterus ornatus,SA,PASSERIFORMES,Cotingidae,Uccello parasole amazzonico
5423,Perissocephalus tricolor,SA,PASSERIFORMES,Cotingidae,Cappuccino
5424,Lipaugus unirufus,"MA, SA",PASSERIFORMES,Cotingidae,Piha rossiccia
5425,Lipaugus streptophorus,SA,PASSERIFORMES,Cotingidae,Piha dal collare
5426,Lipaugus vociferans,SA,PASSERIFORMES,Cotingidae,Piha urlatrice
5427,Lipaugus lanioides,SA,PASSERIFORMES,Cotingidae,Piha culcannella
5428,Lipaugus ater,SA,PASSERIFORMES,Cotingidae,Cotinga nerodorata
5429,Lipaugus conditus,SA,PASSERIFORMES,Cotingidae,Cotinga aligrigie
5430,Lipaugus weberi,SA,PASSERIFORMES,Cotingidae,Piha capocastano
5431,Lipaugus fuscocinereus,SA,PASSERIFORMES,Cotingidae,Piha fosca
5432,Lipaugus uropygialis,SA,PASSERIFORMES,Cotingidae,Piha alifalcate
5433,Procnias albus,SA,PASSERIFORMES,Cotingidae,Campanaro bianco
5434,Procnias tricarunculatus,MA,PASSERIFORMES,Cotingidae,Campanaro caruncolato
5435,Procnias nudicollis,SA,PASSERIFORMES,Cotingidae,Campanaro golanuda
5436,Procnias averano,SA,PASSERIFORMES,Cotingidae,Campanaro barbuto
5437,Cotinga maynana,SA,PASSERIFORMES,Cotingidae,Cotinga golaprugna
5438,Cotinga cayana,SA,PASSERIFORMES,Cotingidae,Cotinga picchiettata
5439,Cotinga amabilis,MA,PASSERIFORMES,Cotingidae,Cotinga amabile
5440,Cotinga nattererii,"MA, SA",PASSERIFORMES,Cotingidae,Cotinga blu
5441,Cotinga ridgwayi,MA,PASSERIFORMES,Cotingidae,Cotinga turchese
5442,Cotinga maculata,SA,PASSERIFORMES,Cotingidae,Cotinga fasciata
5443,Cotinga cotinga,SA,PASSERIFORMES,Cotingidae,Cotinga pettoviola
5444,Porphyrolaema porphyrolaema,SA,PASSERIFORMES,Cotingidae,Cotinga golaviola
5445,Conioptilon mcilhennyi,SA,PASSERIFORMES,Cotingidae,Cotinga faccianera
5446,Gymnoderus foetidus,SA,PASSERIFORMES,Cotingidae,Corvo beccafrutta collonudo
5447,Xipholena punicea,SA,PASSERIFORMES,Cotingidae,Cotinga della Pompadour
5448,Xipholena lamellipennis,SA,PASSERIFORMES,Cotingidae,Cotinga codabianca
5449,Xipholena atropurpurea,SA,PASSERIFORMES,Cotingidae,Cotinga alibianche
5450,Carpodectes hopkei,"MA, SA",PASSERIFORMES,Cotingidae,Cotinga bianca
5451,Carpodectes antoniae,MA,PASSERIFORMES,Cotingidae,Cotinga beccogiallo
5452,Carpodectes nitidus,MA,PASSERIFORMES,Cotingidae,Cotinga nivea
5453,Tyranneutes stolzmanni,SA,PASSERIFORMES,Pipridae,Manachino tiranno nano
5454,Tyranneutes virescens,SA,PASSERIFORMES,Pipridae,Manachino tiranno minuscolo
5455,Neopelma chrysocephalum,SA,PASSERIFORMES,Pipridae,Manachino tiranno crestato
5456,Neopelma sulphureiventer,SA,PASSERIFORMES,Pipridae,Manachino tiranno panciazolfo
5457,Neopelma pallescens,SA,PASSERIFORMES,Pipridae,Manachino tiranno panciachiara
5458,Neopelma aurifrons,SA,PASSERIFORMES,Pipridae,Manachino tiranno di Wied
5459,Neopelma chrysolophum,SA,PASSERIFORMES,Pipridae,Manachino tiranno di Serra do Mar
5460,Chloropipo flavicapilla,SA,PASSERIFORMES,Pipridae,Manachino testagialla
5461,Chloropipo unicolor,SA,PASSERIFORMES,Pipridae,Manachino lucente
5462,Antilophia bokermanni,SA,PASSERIFORMES,Pipridae,Manachino dell'Araripe
5463,Antilophia galeata,SA,PASSERIFORMES,Pipridae,Manachino dall'elmo
5464,Chiroxiphia linearis,MA,PASSERIFORMES,Pipridae,Manachino codalunga
5465,Chiroxiphia lanceolata,"MA, SA",PASSERIFORMES,Pipridae,Manachino lanceolato
5466,Chiroxiphia pareola,SA,PASSERIFORMES,Pipridae,Manachino dorsoblu
5467,Chiroxiphia boliviana,SA,PASSERIFORMES,Pipridae,Manachino della yungas
5468,Chiroxiphia caudata,SA,PASSERIFORMES,Pipridae,Manachino coda di rondine
5469,Ilicura militaris,SA,PASSERIFORMES,Pipridae,Manachino codaspillo
5470,Masius chrysopterus,SA,PASSERIFORMES,Pipridae,Manachino alidorate
5471,Corapipo gutturalis,SA,PASSERIFORMES,Pipridae,Manachino golabianca
5472,Corapipo altera,"MA, SA",PASSERIFORMES,Pipridae,Manachino dalla gorgiera
5473,Corapipo leucorrhoa,SA,PASSERIFORMES,Pipridae,Manachino dal bavaglino
5474,Xenopipo uniformis,SA,PASSERIFORMES,Pipridae,Manachino oliva
5475,Xenopipo atronitens,SA,PASSERIFORMES,Pipridae,Manachino nero
5476,Cryptopipo litae,"MA, SA",PASSERIFORMES,Pipridae,Choco Manakin
5477,Cryptopipo holochlora,SA,PASSERIFORMES,Pipridae,Manachino verde
5478,Lepidothrix velutina,"MA, SA",PASSERIFORMES,Pipridae,Velvety Manakin
5479,Lepidothrix coronata,SA,PASSERIFORMES,Pipridae,Manachino capoazzurro
5480,Lepidothrix nattereri,SA,PASSERIFORMES,Pipridae,Manachino caponiveo
5481,Lepidothrix vilasboasi,SA,PASSERIFORMES,Pipridae,Manachino capodorato
5482,Lepidothrix iris,SA,PASSERIFORMES,Pipridae,Manachino capopale
5483,Lepidothrix suavissima,SA,PASSERIFORMES,Pipridae,Manachino dei tepui
5484,Lepidothrix serena,SA,PASSERIFORMES,Pipridae,Manachino frontebianca
5485,Lepidothrix isidorei,SA,PASSERIFORMES,Pipridae,Manachino groppazzurra
5486,Lepidothrix coeruleocapilla,SA,PASSERIFORMES,Pipridae,Manachino capoceruleo
5487,Heterocercus aurantiivertex,SA,PASSERIFORMES,Pipridae,Manachino crestarancio
5488,Heterocercus flavivertex,SA,PASSERIFORMES,Pipridae,Manachino crestagialla
5489,Heterocercus linteatus,SA,PASSERIFORMES,Pipridae,Manachino crestaflammea
5490,Manacus manacus,SA,PASSERIFORMES,Pipridae,Manachino barbabianca
5491,Manacus candei,MA,PASSERIFORMES,Pipridae,Manachino collobianco
5492,Manacus vitellinus,"MA, SA",PASSERIFORMES,Pipridae,Manachino collodorato
5493,Manacus aurantiacus,MA,PASSERIFORMES,Pipridae,Manachino colloarancio
5494,Pipra aureola,SA,PASSERIFORMES,Pipridae,Manachino caposcarlatto
5495,Pipra filicauda,SA,PASSERIFORMES,Pipridae,Manachino codafili
5496,Pipra fasciicauda,SA,PASSERIFORMES,Pipridae,Manachino codafasciata
5497,Machaeropterus deliciosus,SA,PASSERIFORMES,Pipridae,Manachino aliricciute
5498,Machaeropterus regulus,SA,PASSERIFORMES,Pipridae,Manachino striato orientale
5499,Machaeropterus striolatus,SA,PASSERIFORMES,Pipridae,Manachino striato occidentale
5500,Machaeropterus eckelberryi,SA,PASSERIFORMES,Pipridae,Painted Manakin
5501,Machaeropterus pyrocephalus,SA,PASSERIFORMES,Pipridae,Manachino capoflammeo
5502,Pseudopipra pipra,"MA, SA",PASSERIFORMES,Pipridae,Manachino capobianco
5503,Ceratopipra cornuta,SA,PASSERIFORMES,Pipridae,Manachino cornuto
5504,Ceratopipra mentalis,"MA, SA",PASSERIFORMES,Pipridae,Manachino capirosso
5505,Ceratopipra chloromeros,SA,PASSERIFORMES,Pipridae,Manachino codatonda
5506,Ceratopipra erythrocephala,"MA, SA",PASSERIFORMES,Pipridae,Manachino testadorata
5507,Ceratopipra rubrocapilla,SA,PASSERIFORMES,Pipridae,Manachino testarossa
5508,Oxyruncus cristatus,SA,PASSERIFORMES,Tityridae,Testa di fiamma
5509,Onychorhynchus coronatus,SA,PASSERIFORMES,Tityridae,Pigliamosche reale amazzonico
5510,Onychorhynchus mexicanus,"MA, SA",PASSERIFORMES,Tityridae,Pigliamosche reale settentrionale
5511,Onychorhynchus occidentalis,SA,PASSERIFORMES,Tityridae,Pigliamosche reale del Pacifico
5512,Onychorhynchus swainsoni,SA,PASSERIFORMES,Tityridae,Atlantic Royal Flycatcher
5513,Myiobius villosus,"MA, SA",PASSERIFORMES,Tityridae,Pigliamosche pettocastano
5514,Myiobius sulphureipygius,"MA, SA",PASSERIFORMES,Tityridae,Pigliamosche groppazolfo
5515,Myiobius barbatus,SA,PASSERIFORMES,Tityridae,Pigliamosche dai mustacchi
5516,Myiobius atricaudus,"MA, SA",PASSERIFORMES,Tityridae,Pigliamosche codanera
5517,Terenotriccus erythrurus,"MA, SA",PASSERIFORMES,Tityridae,Pigliamosche codarossastra
5518,Tityra inquisitor,"MA, SA",PASSERIFORMES,Tityridae,Titira capinera
5519,Tityra cayana,SA,PASSERIFORMES,Tityridae,Titira codanera
5520,Tityra semifasciata,"MA, SA",PASSERIFORMES,Tityridae,Titira mascherata
5521,Schiffornis major,SA,PASSERIFORMES,Tityridae,Schiffornis maggiore
5522,Schiffornis olivacea,SA,PASSERIFORMES,Tityridae,Guianan Schiffornis
5523,Schiffornis veraepacis,"MA, SA",PASSERIFORMES,Tityridae,Northern Schiffornis
5524,Schiffornis aenea,SA,PASSERIFORMES,Tityridae,Foothill Schiffornis
5525,Schiffornis stenorhyncha,"MA, SA",PASSERIFORMES,Tityridae,Russet-winged Schiffornis
5526,Schiffornis turdina,"MA, SA",PASSERIFORMES,Tityridae,Schiffornis turdino
5527,Schiffornis virescens,SA,PASSERIFORMES,Tityridae,Schiffornis verdastro
5528,Laniocera rufescens,"MA, SA",PASSERIFORMES,Tityridae,Piagnone marezzato
5529,Laniocera hypopyrra,SA,PASSERIFORMES,Tityridae,Piagnone cenerino
5530,Iodopleura pipra,SA,PASSERIFORMES,Tityridae,Ciuffetto golacamoscio
5531,Iodopleura fusca,SA,PASSERIFORMES,Tityridae,Ciuffiviola fosco
5532,Iodopleura isabellae,SA,PASSERIFORMES,Tityridae,Ciuffetto cigliabianche
5533,Laniisoma elegans,SA,PASSERIFORMES,Tityridae,Cotinga averla
5534,Laniisoma buckleyi,SA,PASSERIFORMES,Tityridae,Andean Laniisoma
5535,Xenopsaris albinucha,SA,PASSERIFORMES,Tityridae,Xenopsaris
5536,Pachyramphus viridis,SA,PASSERIFORMES,Tityridae,Beccaio dorsoverde
5537,Pachyramphus xanthogenys,SA,PASSERIFORMES,Tityridae,Beccaio guancegialle
5538,Pachyramphus versicolor,"MA, SA",PASSERIFORMES,Tityridae,Beccaio barrato
5539,Pachyramphus spodiurus,SA,PASSERIFORMES,Tityridae,Beccaio ardesia
5540,Pachyramphus rufus,"MA, SA",PASSERIFORMES,Tityridae,Beccaio cenerino
5541,Pachyramphus castaneus,SA,PASSERIFORMES,Tityridae,Beccaio capocastano
5542,Pachyramphus cinnamomeus,"MA, SA",PASSERIFORMES,Tityridae,Beccaio cannella
5543,Pachyramphus salvini,SA,PASSERIFORMES,Tityridae,Cryptic Becard
5544,Pachyramphus polychopterus,"MA, SA",PASSERIFORMES,Tityridae,Beccaio alibianche
5545,Pachyramphus marginatus,SA,PASSERIFORMES,Tityridae,Beccaio capinero
5546,Pachyramphus albogriseus,"MA, SA",PASSERIFORMES,Tityridae,Beccaio bianconero
5547,Pachyramphus major,MA,PASSERIFORMES,Tityridae,Beccaio dal collare
5548,Pachyramphus surinamus,SA,PASSERIFORMES,Tityridae,Beccaio dorsolucente
5549,Pachyramphus homochrous,"MA, SA",PASSERIFORMES,Tityridae,Beccaio unicolore
5550,Pachyramphus minor,SA,PASSERIFORMES,Tityridae,Beccaio golarosa
5551,Pachyramphus validus,SA,PASSERIFORMES,Tityridae,Beccaio crestato
5552,Pachyramphus aglaiae,MA,PASSERIFORMES,Tityridae,Beccaio golarosata
5553,Menura alberti,AU,PASSERIFORMES,Menuridae,Uccello lira di Albert
5554,Menura novaehollandiae,AU,PASSERIFORMES,Menuridae,Uccello lira superbo
5555,Atrichornis rufescens,AU,PASSERIFORMES,Atrichornithidae,Uccello del bush rossiccio
5556,Atrichornis clamosus,AU,PASSERIFORMES,Atrichornithidae,Uccello del bush chiassoso
5557,Ailuroedus stonii,AU,PASSERIFORMES,Ptilonorhynchidae,Ochre-breasted Catbird
5558,Ailuroedus buccoides,AU,PASSERIFORMES,Ptilonorhynchidae,Uccello gatto guancebianche
5559,Ailuroedus geislerorum,AU,PASSERIFORMES,Ptilonorhynchidae,Tan-capped Catbird
5560,Ailuroedus crassirostris,AU,PASSERIFORMES,Ptilonorhynchidae,Uccello gatto verde
5561,Ailuroedus maculosus,AU,PASSERIFORMES,Ptilonorhynchidae,Spotted Catbird
5562,Ailuroedus astigmaticus,AU,PASSERIFORMES,Ptilonorhynchidae,Huon Catbird
5563,Ailuroedus melanocephalus,AU,PASSERIFORMES,Ptilonorhynchidae,Black-capped Catbird
5564,Ailuroedus jobiensis,AU,PASSERIFORMES,Ptilonorhynchidae,Northern Catbird
5565,Ailuroedus arfakianus,AU,PASSERIFORMES,Ptilonorhynchidae,Arfak Catbird
5566,Ailuroedus melanotis,AU,PASSERIFORMES,Ptilonorhynchidae,Uccello gatto macchiato
5567,Scenopoeetes dentirostris,AU,PASSERIFORMES,Ptilonorhynchidae,Uccello gatto dentato
5568,Archboldia papuensis,AU,PASSERIFORMES,Ptilonorhynchidae,Uccello giardiniere di Archbold
5569,Amblyornis inornata,AU,PASSERIFORMES,Ptilonorhynchidae,Uccello giardiniere del Vogelkop
5570,Amblyornis macgregoriae,AU,PASSERIFORMES,Ptilonorhynchidae,Uccello giardiniere di Macgregor
5571,Amblyornis germanus,AU,PASSERIFORMES,Ptilonorhynchidae,Huon Bowerbird
5572,Amblyornis subalaris,AU,PASSERIFORMES,Ptilonorhynchidae,Uccello giardiniere striato
5573,Amblyornis flavifrons,AU,PASSERIFORMES,Ptilonorhynchidae,Uccello giardiniere frontedorata
5574,Prionodura newtoniana,AU,PASSERIFORMES,Ptilonorhynchidae,Uccello giardiniere dorato
5575,Sericulus aureus,AU,PASSERIFORMES,Ptilonorhynchidae,Uccello giardiniere flammeo
5576,Sericulus ardens,AU,PASSERIFORMES,Ptilonorhynchidae,Flame Bowerbird
5577,Sericulus bakeri,AU,PASSERIFORMES,Ptilonorhynchidae,Uccello giardiniere crinito
5578,Sericulus chrysocephalus,AU,PASSERIFORMES,Ptilonorhynchidae,Uccello giardiniere del reggente
5579,Ptilonorhynchus violaceus,AU,PASSERIFORMES,Ptilonorhynchidae,Uccello giardiniere satinato
5580,Chlamydera guttata,AU,PASSERIFORMES,Ptilonorhynchidae,Uccello giardiniere occidentale
5581,Chlamydera nuchalis,AU,PASSERIFORMES,Ptilonorhynchidae,Uccello giardiniere maggiore
5582,Chlamydera maculata,AU,PASSERIFORMES,Ptilonorhynchidae,Uccello giardiniere macchiato
5583,Chlamydera lauterbachi,AU,PASSERIFORMES,Ptilonorhynchidae,Uccello giardiniere pettogiallo
5584,Chlamydera cerviniventris,AU,PASSERIFORMES,Ptilonorhynchidae,Uccello giardiniere pettofulvo
5585,Cormobates leucophaea,AU,PASSERIFORMES,Climacteridae,Rampichino golabianca
5586,Cormobates placens,AU,PASSERIFORMES,Climacteridae,Rampichino papua
5587,Climacteris erythrops,AU,PASSERIFORMES,Climacteridae,Rampivhino cigliarosse
5588,Climacteris affinis,AU,PASSERIFORMES,Climacteridae,Rampichino cigliabianche
5589,Climacteris rufus,AU,PASSERIFORMES,Climacteridae,Rampichino rossiccio
5590,Climacteris picumnus,AU,PASSERIFORMES,Climacteridae,Rampichino bruno
5591,Climacteris melanurus,AU,PASSERIFORMES,Climacteridae,Rampichino golanera
5592,Sipodotus wallacii,AU,PASSERIFORMES,Maluridae,Scricciolo fatato di Wallace
5593,Chenorhamphus grayi,AU,PASSERIFORMES,Maluridae,Scricciolo fatato beccolargo
5594,Chenorhamphus campbelli,AU,PASSERIFORMES,Maluridae,Scricciolo fatato di Campbell
5595,Malurus cyanocephalus,AU,PASSERIFORMES,Maluridae,Scricciolo fatato imperatore
5596,Malurus amabilis,AU,PASSERIFORMES,Maluridae,Scricciolo fatato amabile
5597,Malurus assimilis,AU,PASSERIFORMES,Maluridae,Purple-backed Fairywren
5598,Malurus lamberti,AU,PASSERIFORMES,Maluridae,Scricciolo fatato variegato
5599,Malurus pulcherrimus,AU,PASSERIFORMES,Maluridae,Scricciolo fatato pettoblu
5600,Malurus elegans,AU,PASSERIFORMES,Maluridae,Scricciolo fatato alirosse
5601,Malurus cyaneus,AU,PASSERIFORMES,Maluridae,Scricciolo fatato superbo
5602,Malurus splendens,AU,PASSERIFORMES,Maluridae,Scricciolo fatato splendido
5603,Malurus coronatus,AU,PASSERIFORMES,Maluridae,Scricciolo fatato capoviola
5604,Malurus alboscapulatus,AU,PASSERIFORMES,Maluridae,Scricciolo fatato spallebianche
5605,Malurus melanocephalus,AU,PASSERIFORMES,Maluridae,Scricciolo fatato dorsorosso
5606,Malurus leucopterus,AU,PASSERIFORMES,Maluridae,Scricciolo fatato alibianche
5607,Clytomyias insignis,AU,PASSERIFORMES,Maluridae,Scricciolo fatato capoarancio
5608,Stipiturus malachurus,AU,PASSERIFORMES,Maluridae,Scricciolo emù meridionale
5609,Stipiturus mallee,AU,PASSERIFORMES,Maluridae,Scricciolo emù del mallee
5610,Stipiturus ruficeps,AU,PASSERIFORMES,Maluridae,Scricciolo emù caporossiccio
5611,Amytornis barbatus,AU,PASSERIFORMES,Maluridae,Scricciolo d'erba grigio
5612,Amytornis housei,AU,PASSERIFORMES,Maluridae,Scricciolo d'erba nero
5613,Amytornis woodwardi,AU,PASSERIFORMES,Maluridae,Scricciolo d'erba golabianca
5614,Amytornis dorotheae,AU,PASSERIFORMES,Maluridae,Scricciolo d'erba di Carpentaria
5615,Amytornis merrotsyi,AU,PASSERIFORMES,Maluridae,Scricciolo d'erba codacorta
5616,Amytornis whitei,AU,PASSERIFORMES,Maluridae,Rufous Grasswren
5617,Amytornis rowleyi,AU,PASSERIFORMES,Maluridae,Opalton Grasswren
5618,Amytornis striatus,AU,PASSERIFORMES,Maluridae,Scricciolo d'erba striato
5619,Amytornis goyderi,AU,PASSERIFORMES,Maluridae,Scricciolo d'erba dell'Eyre
5620,Amytornis textilis,AU,PASSERIFORMES,Maluridae,Scricciolo d'erba beccogrosso
5621,Amytornis modestus,AU,PASSERIFORMES,Maluridae,Thick-billed Grasswren
5622,Amytornis purnelli,AU,PASSERIFORMES,Maluridae,Scricciolo d'erba fosco
5623,Amytornis ballarae,AU,PASSERIFORMES,Maluridae,Scricciolo d'erba di Kalkadoon
5624,Myza celebensis,AU,PASSERIFORMES,Meliphagidae,Succiamiele guancescure
5625,Myza sarasinorum,AU,PASSERIFORMES,Meliphagidae,Succiamiele vergato
5626,Acanthorhynchus tenuirostris,AU,PASSERIFORMES,Meliphagidae,Spinorinco orientale
5627,Acanthorhynchus superciliosus,AU,PASSERIFORMES,Meliphagidae,Spinorinco occidentale
5628,Glycichaera fallax,AU,PASSERIFORMES,Meliphagidae,Succiamiele dorsoverde
5629,Melionyx fuscus,AU,PASSERIFORMES,Meliphagidae,Succiamiele fuligginoso
5630,Melionyx princeps,AU,PASSERIFORMES,Meliphagidae,Succiamiele barbalunga
5631,Melionyx nouhuysi,AU,PASSERIFORMES,Meliphagidae,Succiamiele barbacorta
5632,Ptiloprora plumbea,AU,PASSERIFORMES,Meliphagidae,Succiamiele piombato
5633,Ptiloprora meekiana,AU,PASSERIFORMES,Meliphagidae,Succiamiele strieoliva
5634,Ptiloprora erythropleura,AU,PASSERIFORMES,Meliphagidae,Succiamiele fianchirossicci
5635,Ptiloprora guisei,AU,PASSERIFORMES,Meliphagidae,Succiamiele dorsorossiccio
5636,Ptiloprora mayri,AU,PASSERIFORMES,Meliphagidae,Succiamiele di Mayr
5637,Ptiloprora perstriata,AU,PASSERIFORMES,Meliphagidae,Succiamiele dorsonero
5638,Ashbyia lovensis,AU,PASSERIFORMES,Meliphagidae,Uccello del gibber
5639,Epthianura tricolor,AU,PASSERIFORMES,Meliphagidae,Melifago cremisi
5640,Epthianura aurifrons,AU,PASSERIFORMES,Meliphagidae,Melifago arancio
5641,Epthianura crocea,AU,PASSERIFORMES,Meliphagidae,Melifago giallo
5642,Epthianura albifrons,AU,PASSERIFORMES,Meliphagidae,Melifago frontebianca
5643,Stresemannia bougainvillei,AU,PASSERIFORMES,Meliphagidae,Succiamiele di Bougainville
5644,Conopophila albogularis,AU,PASSERIFORMES,Meliphagidae,Succiamiele bandarossiccia
5645,Conopophila rufogularis,AU,PASSERIFORMES,Meliphagidae,Succiamiele golarossiccia
5646,Conopophila whitei,AU,PASSERIFORMES,Meliphagidae,Succiamiele grigio
5647,Ramsayornis fasciatus,AU,PASSERIFORMES,Meliphagidae,Succiamiele pettobarrato
5648,Ramsayornis modestus,AU,PASSERIFORMES,Meliphagidae,Succiamiele dorsobruno
5649,Melilestes megarhynchus,AU,PASSERIFORMES,Meliphagidae,Succiamiele beccolungo
5650,Timeliopsis fulvigula,AU,PASSERIFORMES,Meliphagidae,Beccodritto oliva
5651,Timeliopsis griseigula,AU,PASSERIFORMES,Meliphagidae,Beccodritto fulvo
5652,Melipotes gymnops,AU,PASSERIFORMES,Meliphagidae,Succiamiele degli Arfak
5653,Melipotes fumigatus,AU,PASSERIFORMES,Meliphagidae,Succiamiele grigiofumo
5654,Melipotes carolae,AU,PASSERIFORMES,Meliphagidae,Succiamiele grigiofumo caruncolato
5655,Melipotes ater,AU,PASSERIFORMES,Meliphagidae,Succiamiele picchiettato
5656,Macgregoria pulchra,AU,PASSERIFORMES,Meliphagidae,Uccello del paradiso di Macgregor
5657,Glycifohia undulata,AU,PASSERIFORMES,Meliphagidae,Succiamiele barrato
5658,Glycifohia notabilis,AU,PASSERIFORMES,Meliphagidae,Succiamiele delle New Hebrides
5659,Gliciphila melanops,AU,PASSERIFORMES,Meliphagidae,Succiamiele capofulvo
5660,Pycnopygius ixoides,AU,PASSERIFORMES,Meliphagidae,Succiamiele disadorno
5661,Pycnopygius cinereus,AU,PASSERIFORMES,Meliphagidae,Succiamiele marmorizzato
5662,Pycnopygius stictocephalus,AU,PASSERIFORMES,Meliphagidae,Succiamiele testastriata
5663,Certhionyx variegatus,AU,PASSERIFORMES,Meliphagidae,Succiamiele bianconero
5664,Prosthemadera novaeseelandiae,AU,PASSERIFORMES,Meliphagidae,Tui
5665,Anthornis melanura,AU,PASSERIFORMES,Meliphagidae,Campanaro di Nuova Zelanda
5666,Sugomel lombokium,AU,PASSERIFORMES,Meliphagidae,Succiamiele caposquamato
5667,Sugomel nigrum,AU,PASSERIFORMES,Meliphagidae,Succiamiele nero
5668,Melitograis gilolensis,AU,PASSERIFORMES,Meliphagidae,Uccello frate striebianche
5669,Vosea whitemanensis,AU,PASSERIFORMES,Meliphagidae,Succiamiele delle Bismarck
5670,Myzomela blasii,AU,PASSERIFORMES,Meliphagidae,Mizomela scialba
5671,Myzomela albigula,AU,PASSERIFORMES,Meliphagidae,Mizomela mentobianco
5672,Myzomela cineracea,AU,PASSERIFORMES,Meliphagidae,Mizomela cenerina
5673,Myzomela eques,AU,PASSERIFORMES,Meliphagidae,Mizomela golarossa
5674,Myzomela simplex,AU,PASSERIFORMES,Meliphagidae,Moluccan Myzomela
5675,Myzomela rubrotincta,AU,PASSERIFORMES,Meliphagidae,Red-tinged Myzomela
5676,Myzomela rubrobrunnea,AU,PASSERIFORMES,Meliphagidae,Biak Myzomela
5677,Myzomela obscura,AU,PASSERIFORMES,Meliphagidae,Mizomela fosca
5678,Myzomela cruentata,AU,PASSERIFORMES,Meliphagidae,Mizomela rossa
5679,Myzomela erythrina,AU,PASSERIFORMES,Meliphagidae,Reddish Myzomela
