,IOC,Breeding Range,Order,Family,German
4897,Conopophaga ardesiaca,SA,PASSERIFORMES,Conopophagidae,Schiefermückenfresser
4898,Conopophaga castaneiceps,SA,PASSERIFORMES,Conopophagidae,Roststirn-Mückenfresser
4899,Conopophaga melanops,SA,PASSERIFORMES,Conopophagidae,Rotscheitel-Mückenfresser
4900,Conopophaga melanogaster,SA,PASSERIFORMES,Conopophagidae,Weißbüschel-Mückenfresser
4901,Pittasoma michleri,"MA, SA",PASSERIFORMES,Conopophagidae,Schwarzscheitel-Mückenfresser
4902,Pittasoma rufopileatum,SA,PASSERIFORMES,Conopophagidae,Schwarzbrauen-Mückenfresser
4903,Acropternis orthonyx,SA,PASSERIFORMES,Rhinocryptidae,Perlmanteltapaculo
4904,Pteroptochos castaneus,SA,PASSERIFORMES,Rhinocryptidae,Braunkehltapaculo
4905,Pteroptochos tarnii,SA,PASSERIFORMES,Rhinocryptidae,Schwarzkehltapaculo
4906,Pteroptochos megapodius,SA,PASSERIFORMES,Rhinocryptidae,Weißbarttapaculo
4907,Scelorchilus albicollis,SA,PASSERIFORMES,Rhinocryptidae,Weißkehltapaculo
4908,Scelorchilus rubecula,SA,PASSERIFORMES,Rhinocryptidae,Rotkehltapaculo
4909,Rhinocrypta lanceolata,SA,PASSERIFORMES,Rhinocryptidae,Schopftapaculo
4910,Teledromas fuscus,SA,PASSERIFORMES,Rhinocryptidae,Fahltapaculo
4911,Liosceles thoracicus,SA,PASSERIFORMES,Rhinocryptidae,Brustflecktapaculo
4912,Psilorhamphus guttatus,SA,PASSERIFORMES,Rhinocryptidae,Zaunkönigtapaculo
4913,Merulaxis ater,SA,PASSERIFORMES,Rhinocryptidae,Braunbauchtapaculo
4914,Merulaxis stresemanni,SA,PASSERIFORMES,Rhinocryptidae,Stirnhaubentapaculo
4915,Eugralla paradoxa,SA,PASSERIFORMES,Rhinocryptidae,Rostflankentapaculo
4916,Myornis senilis,SA,PASSERIFORMES,Rhinocryptidae,Aschgrautapaculo
4917,Eleoscytalopus indigoticus,SA,PASSERIFORMES,Rhinocryptidae,Weißbrusttapaculo
4918,Eleoscytalopus psychopompus,SA,PASSERIFORMES,Rhinocryptidae,Bahiatapaculo
4919,Scytalopus iraiensis,SA,PASSERIFORMES,Rhinocryptidae,Flussauentapaculo
4920,Scytalopus diamantinensis,SA,PASSERIFORMES,Rhinocryptidae,Diamantinatapaculo
4921,Scytalopus novacapitalis,SA,PASSERIFORMES,Rhinocryptidae,Brasiliatapaculo
4922,Scytalopus petrophilus,SA,PASSERIFORMES,Rhinocryptidae,Felstapaculo
4923,Scytalopus pachecoi,SA,PASSERIFORMES,Rhinocryptidae,Planalto-Tapaculo
4924,Scytalopus gonzagai,SA,PASSERIFORMES,Rhinocryptidae,Braunschwingentapaculo
4925,Scytalopus speluncae,SA,PASSERIFORMES,Rhinocryptidae,Maustapaculo
4926,Scytalopus fuscus,SA,PASSERIFORMES,Rhinocryptidae,Rußtapaculo
4927,Scytalopus magellanicus,SA,PASSERIFORMES,Rhinocryptidae,Magellantapaculo
4928,Scytalopus affinis,SA,PASSERIFORMES,Rhinocryptidae,Ancashtapaculo
4929,Scytalopus krabbei,SA,PASSERIFORMES,Rhinocryptidae,Weißflügeltapaculo
4930,Scytalopus androstictus,SA,PASSERIFORMES,Rhinocryptidae,Lojatapaculo
4931,Scytalopus opacus,SA,PASSERIFORMES,Rhinocryptidae,Kordillerentapaculo
4932,Scytalopus canus,SA,PASSERIFORMES,Rhinocryptidae,Antioquiatapaculo
4933,Scytalopus superciliaris,SA,PASSERIFORMES,Rhinocryptidae,Weißbrauentapaculo
4934,Scytalopus zimmeri,SA,PASSERIFORMES,Rhinocryptidae,Graukehltapaculo
4935,Scytalopus simonsi,SA,PASSERIFORMES,Rhinocryptidae,Punatapaculo
4936,Scytalopus schulenbergi,SA,PASSERIFORMES,Rhinocryptidae,Diademtapaculo
4937,Scytalopus urubambae,SA,PASSERIFORMES,Rhinocryptidae,Vilcabambatapaculo
4938,Scytalopus whitneyi,SA,PASSERIFORMES,Rhinocryptidae,Ampaytapaculo
4939,Scytalopus frankeae,SA,PASSERIFORMES,Rhinocryptidae,Nebelwaldtapaculo
4940,Scytalopus altirostris,SA,PASSERIFORMES,Rhinocryptidae,Neblinatapaculo
4941,Scytalopus parvirostris,SA,PASSERIFORMES,Rhinocryptidae,Trillertapaculo
4942,Scytalopus bolivianus,SA,PASSERIFORMES,Rhinocryptidae,Weißkronentapaculo
4943,Scytalopus atratus,SA,PASSERIFORMES,Rhinocryptidae,Weißscheiteltapaculo
4944,Scytalopus sanctaemartae,SA,PASSERIFORMES,Rhinocryptidae,Santa-Marta-Tapaculo
4945,Scytalopus micropterus,SA,PASSERIFORMES,Rhinocryptidae,Dunkelrückentapaculo
4946,Scytalopus femoralis,SA,PASSERIFORMES,Rhinocryptidae,Schieferrückentapaculo
4947,Scytalopus intermedius,SA,PASSERIFORMES,Rhinocryptidae,Utcubambatapaculo
4948,Scytalopus macropus,SA,PASSERIFORMES,Rhinocryptidae,Großfußtapaculo
4949,Scytalopus gettyae,SA,PASSERIFORMES,Rhinocryptidae,Juníntapaculo
4950,Scytalopus unicolor,SA,PASSERIFORMES,Rhinocryptidae,Hellbauchtapaculo
4951,Scytalopus acutirostris,SA,PASSERIFORMES,Rhinocryptidae,Grautapaculo
4952,Scytalopus latrans,SA,PASSERIFORMES,Rhinocryptidae,Schwarztapaculo
4953,Scytalopus argentifrons,MA,PASSERIFORMES,Rhinocryptidae,Silberbrauentapaculo
4954,Scytalopus vicinior,SA,PASSERIFORMES,Rhinocryptidae,Nariñotapaculo
4955,Scytalopus panamensis,"MA, SA",PASSERIFORMES,Rhinocryptidae,Tacarcunatapaculo
4956,Scytalopus chocoensis,"MA, SA",PASSERIFORMES,Rhinocryptidae,Chocótapaculo
4957,Scytalopus rodriguezi,SA,PASSERIFORMES,Rhinocryptidae,Magdalenatapaculo
4958,Scytalopus stilesi,SA,PASSERIFORMES,Rhinocryptidae,Stilestapaculo
4959,Scytalopus alvarezlopezi,SA,PASSERIFORMES,Rhinocryptidae,Tatamátapaculo
4960,Scytalopus robbinsi,SA,PASSERIFORMES,Rhinocryptidae,Robbinstapaculo
4961,Scytalopus caracae,SA,PASSERIFORMES,Rhinocryptidae,Caracastapaculo
4962,Scytalopus griseicollis,SA,PASSERIFORMES,Rhinocryptidae,Rostbürzeltapaculo
4963,Scytalopus latebricola,SA,PASSERIFORMES,Rhinocryptidae,Hellkehltapaculo
4964,Scytalopus perijanus,SA,PASSERIFORMES,Rhinocryptidae,Perijátapaculo
4965,Scytalopus meridanus,SA,PASSERIFORMES,Rhinocryptidae,Méridatapaculo
4966,Scytalopus parkeri,SA,PASSERIFORMES,Rhinocryptidae,Bambustapaculo
4967,Scytalopus spillmanni,SA,PASSERIFORMES,Rhinocryptidae,Roststeißtapaculo
4968,Melanopareia torquata,SA,PASSERIFORMES,Melanopareiidae,Rotnacken-Bandvogel
4969,Melanopareia bitorquata,SA,PASSERIFORMES,Melanopareiidae,Doppelbandvogel
4970,Melanopareia maximiliani,SA,PASSERIFORMES,Melanopareiidae,Olivscheitel-Bandvogel
4971,Melanopareia maranonica,SA,PASSERIFORMES,Melanopareiidae,Weißflügel-Bandvogel
4972,Melanopareia elegans,SA,PASSERIFORMES,Melanopareiidae,Rotflügel-Bandvogel
4973,Piprites griseiceps,MA,PASSERIFORMES,Tyrannidae,Graustirn-Pipratyrann
4974,Piprites chloris,SA,PASSERIFORMES,Tyrannidae,Gelbzügel-Pipratyrann
4975,Piprites pileata,SA,PASSERIFORMES,Tyrannidae,Zimtpipratyrann
4976,Phyllomyias fasciatus,SA,PASSERIFORMES,Tyrannidae,Planaltokleintyrann
4977,Phyllomyias weedeni,SA,PASSERIFORMES,Tyrannidae,Yungaskleintyrann
4978,Phyllomyias burmeisteri,SA,PASSERIFORMES,Tyrannidae,Burmeisterkleintyrann
4979,Phyllomyias zeledoni,"MA, SA",PASSERIFORMES,Tyrannidae,Weißstirn-Kleintyrann
4980,Phyllomyias virescens,SA,PASSERIFORMES,Tyrannidae,Grünrücken-Kleintyrann
4981,Phyllomyias reiseri,SA,PASSERIFORMES,Tyrannidae,Reiserkleintyrann
4982,Phyllomyias urichi,SA,PASSERIFORMES,Tyrannidae,Urichkleintyrann
4983,Phyllomyias sclateri,SA,PASSERIFORMES,Tyrannidae,Graubrust-Kleintyrann
4984,Phyllomyias griseocapilla,SA,PASSERIFORMES,Tyrannidae,Graukappen-Kleintyrann
4985,Phyllomyias griseiceps,SA,PASSERIFORMES,Tyrannidae,Rußkappen-Kleintyrann
4986,Phyllomyias plumbeiceps,SA,PASSERIFORMES,Tyrannidae,Graukronen-Kleintyrann
4987,Phyllomyias nigrocapillus,SA,PASSERIFORMES,Tyrannidae,Schwarzkappen-Kleintyrann
4988,Phyllomyias cinereiceps,SA,PASSERIFORMES,Tyrannidae,Ohrfleck-Kleintyrann
4989,Phyllomyias uropygialis,SA,PASSERIFORMES,Tyrannidae,Zimtbürzel-Kleintyrann
4990,Tyrannulus elatus,"MA, SA",PASSERIFORMES,Tyrannidae,Gelbscheitel-Olivtyrann
4991,Myiopagis gaimardii,"MA, SA",PASSERIFORMES,Tyrannidae,Weißscheitel-Olivtyrann
4992,Myiopagis parambae,"MA, SA",PASSERIFORMES,Tyrannidae,Chocóolivtyrann
4993,Myiopagis cinerea,SA,PASSERIFORMES,Tyrannidae,Graurücken-Olivtyrann
4994,Myiopagis caniceps,SA,PASSERIFORMES,Tyrannidae,Grauolivtyrann
4995,Myiopagis olallai,SA,PASSERIFORMES,Tyrannidae,Vorgebirgs-Olivtyrann
4996,Myiopagis subplacens,SA,PASSERIFORMES,Tyrannidae,Weißbrauen-Olivtyrann
4997,Myiopagis flavivertex,SA,PASSERIFORMES,Tyrannidae,Goldscheitel-Olivtyrann
4998,Myiopagis viridicata,"MA, SA",PASSERIFORMES,Tyrannidae,Grünolivtyrann
4999,Elaenia flavogaster,"MA, SA",PASSERIFORMES,Tyrannidae,Gelbbauch-Olivtyrann
5000,Elaenia spectabilis,SA,PASSERIFORMES,Tyrannidae,Graubrust-Olivtyrann
5001,Elaenia ridleyana,SA,PASSERIFORMES,Tyrannidae,Noronha-Olivtyrann
5002,Elaenia albiceps,SA,PASSERIFORMES,Tyrannidae,Weißkronen-Olivtyrann
5003,Elaenia chilensis,SA,PASSERIFORMES,Tyrannidae,Weißbauch-Olivtyrann
5004,Elaenia parvirostris,SA,PASSERIFORMES,Tyrannidae,Dreibinden-Olivtyrann
5005,Elaenia mesoleuca,SA,PASSERIFORMES,Tyrannidae,Schlichtolivtyrann
5006,Elaenia strepera,SA,PASSERIFORMES,Tyrannidae,Schieferolivtyrann
5007,Elaenia gigas,SA,PASSERIFORMES,Tyrannidae,Schuppenolivtyrann
5008,Elaenia pelzelni,SA,PASSERIFORMES,Tyrannidae,Braunolivtyrann
5009,Elaenia cristata,SA,PASSERIFORMES,Tyrannidae,Braunscheitel-Olivtyrann
5010,Elaenia chiriquensis,"MA, SA",PASSERIFORMES,Tyrannidae,Grauwangen-Olivtyrann
5011,Elaenia brachyptera,SA,PASSERIFORMES,Tyrannidae,Braunrücken-Olivtyrann
5012,Elaenia ruficeps,SA,PASSERIFORMES,Tyrannidae,Rostnacken-Olivtyrann
5013,Elaenia frantzii,"MA, SA",PASSERIFORMES,Tyrannidae,Nordanden-Olivtyrann
5014,Elaenia obscura,SA,PASSERIFORMES,Tyrannidae,Hochland-Olivtyrann
5015,Elaenia sordida,SA,PASSERIFORMES,Tyrannidae,Paranáolivtyrann
5016,Elaenia dayi,SA,PASSERIFORMES,Tyrannidae,Riesenolivtyrann
5017,Elaenia pallatangae,SA,PASSERIFORMES,Tyrannidae,Sierraolivtyrann
5018,Elaenia olivina,SA,PASSERIFORMES,Tyrannidae,Tepuiolivtyrann
5019,Ornithion semiflavum,MA,PASSERIFORMES,Tyrannidae,Gelbbauch-Kleintyrann
5020,Ornithion brunneicapillus,"MA, SA",PASSERIFORMES,Tyrannidae,Braunkappen-Kleintyrann
5021,Ornithion inerme,SA,PASSERIFORMES,Tyrannidae,Weißzügel-Kleintyrann
5022,Camptostoma imberbe,MA,PASSERIFORMES,Tyrannidae,Blasskleintyrann
5023,Camptostoma obsoletum,"MA, SA",PASSERIFORMES,Tyrannidae,Haubenkleintyrann
5024,Suiriri suiriri,SA,PASSERIFORMES,Tyrannidae,Grauscheitel-Olivtyrann
5025,Mecocerculus leucophrys,SA,PASSERIFORMES,Tyrannidae,Weißkehl-Tachurityrann
5026,Mecocerculus poecilocercus,SA,PASSERIFORMES,Tyrannidae,Weißschwanz-Tachurityrann
5027,Mecocerculus hellmayri,SA,PASSERIFORMES,Tyrannidae,Fahlbinden-Tachurityrann
5028,Mecocerculus calopterus,SA,PASSERIFORMES,Tyrannidae,Rotschwingen-Tachurityrann
5029,Mecocerculus minor,SA,PASSERIFORMES,Tyrannidae,Gelbbauch-Tachurityrann
5030,Mecocerculus stictopterus,SA,PASSERIFORMES,Tyrannidae,Weißbinden-Tachurityrann
5031,Anairetes nigrocristatus,SA,PASSERIFORMES,Tyrannidae,Schwarzhauben-Tachurityrann
5032,Anairetes reguloides,SA,PASSERIFORMES,Tyrannidae,Streifenbauch-Tachurityrann
5033,Anairetes alpinus,SA,PASSERIFORMES,Tyrannidae,Graubrust-Tachurityrann
5034,Anairetes flavirostris,SA,PASSERIFORMES,Tyrannidae,Gelbschnabel-Tachurityrann
5035,Anairetes parulus,SA,PASSERIFORMES,Tyrannidae,Meisentachurityrann
5036,Anairetes fernandezianus,SA,PASSERIFORMES,Tyrannidae,Juan-Fernández-Tachurityrann
5037,Uromyias agilis,SA,PASSERIFORMES,Tyrannidae,Brauentachurityrann
5038,Uromyias agraphia,SA,PASSERIFORMES,Tyrannidae,Weißbauch-Tachurityrann
5039,Serpophaga cinerea,"MA, SA",PASSERIFORMES,Tyrannidae,Sturzbach-Kleintyrann
5040,Serpophaga hypoleuca,SA,PASSERIFORMES,Tyrannidae,Uferkleintyrann
5041,Serpophaga nigricans,SA,PASSERIFORMES,Tyrannidae,Rußkleintyrann
5042,Serpophaga subcristata,SA,PASSERIFORMES,Tyrannidae,Weißscheitel-Kleintyrann
5043,Serpophaga griseicapilla,SA,PASSERIFORMES,Tyrannidae,Grauscheitel-Kleintyrann
5044,Nesotriccus incomtus,"MA, SA",PASSERIFORMES,Tyrannidae,Northern Mouse-colored Tyrannulet
5045,Nesotriccus ridgwayi,MA,PASSERIFORMES,Tyrannidae,Kokosinseltyrann
5046,Nesotriccus murinus,SA,PASSERIFORMES,Tyrannidae,Graubraun-Kleintyrann
5047,Nesotriccus tumbezanus,SA,PASSERIFORMES,Tyrannidae,Tumbeskleintyrann
5048,Nesotriccus maranonicus,SA,PASSERIFORMES,Tyrannidae,Maranon Tyrannulet
5049,Capsiempis flaveola,"MA, SA",PASSERIFORMES,Tyrannidae,Zitronentyrann
5050,Polystictus pectoralis,SA,PASSERIFORMES,Tyrannidae,Streifenkinn-Grastyrann
5051,Polystictus superciliaris,SA,PASSERIFORMES,Tyrannidae,Graunacken-Grastyrann
5052,Pseudocolopteryx dinelliana,SA,PASSERIFORMES,Tyrannidae,Dinellisumpftyrann
5053,Pseudocolopteryx sclateri,SA,PASSERIFORMES,Tyrannidae,Schopfsumpftyrann
5054,Pseudocolopteryx acutipennis,SA,PASSERIFORMES,Tyrannidae,Andensumpftyrann
5055,Pseudocolopteryx flaviventris,SA,PASSERIFORMES,Tyrannidae,Braunrücken-Sumpftyrann
5056,Pseudocolopteryx citreola,SA,PASSERIFORMES,Tyrannidae,Tickersumpftyrann
5057,Pseudotriccus pelzelni,"MA, SA",PASSERIFORMES,Tyrannidae,Bronzeolivtyrann
5058,Pseudotriccus simplex,SA,PASSERIFORMES,Tyrannidae,Roststirntyrann
5059,Pseudotriccus ruficeps,SA,PASSERIFORMES,Tyrannidae,Rotkopftyrann
5060,Corythopis torquatus,SA,PASSERIFORMES,Tyrannidae,Brustbandtyrann
5061,Corythopis delalandi,SA,PASSERIFORMES,Tyrannidae,Schwarzbrusttyrann
5062,Euscarthmus meloryphus,SA,PASSERIFORMES,Tyrannidae,Graubrust-Zwergtyrann
5063,Euscarthmus fulviceps,SA,PASSERIFORMES,Tyrannidae,Ockerstirn-Zwergtyrann
5064,Euscarthmus rufomarginatus,SA,PASSERIFORMES,Tyrannidae,Weißkehl-Zwergtyrann
5065,Pseudelaenia leucospodia,SA,PASSERIFORMES,Tyrannidae,Weißkronentyrann
5066,Stigmatura napensis,SA,PASSERIFORMES,Tyrannidae,Nordstelzentyrann
5067,Stigmatura bahiae,SA,PASSERIFORMES,Tyrannidae,Bahiastelzentyrann
5068,Stigmatura budytoides,SA,PASSERIFORMES,Tyrannidae,Südstelzentyrann
5069,Zimmerius vilissimus,MA,PASSERIFORMES,Tyrannidae,Weißstreif-Kleintyrann
5070,Zimmerius parvus,"MA, SA",PASSERIFORMES,Tyrannidae,Hellbauch-Kleintyrann
5071,Zimmerius improbus,SA,PASSERIFORMES,Tyrannidae,Küstenkordilleren-Kleintyrann
5072,Zimmerius petersi,SA,PASSERIFORMES,Tyrannidae,Mirandakleintyrann
5073,Zimmerius bolivianus,SA,PASSERIFORMES,Tyrannidae,Olivkleintyrann
5074,Zimmerius cinereicapilla,SA,PASSERIFORMES,Tyrannidae,Purpurschnabel-Kleintyrann
5075,Zimmerius villarejoi,SA,PASSERIFORMES,Tyrannidae,Mishana-Kleintyrann
5076,Zimmerius chicomendesi,SA,PASSERIFORMES,Tyrannidae,Grünkleintyrann
5077,Zimmerius gracilipes,SA,PASSERIFORMES,Tyrannidae,Schlankfuß-Kleintyrann
5078,Zimmerius acer,SA,PASSERIFORMES,Tyrannidae,Guayanakleintyrann
5079,Zimmerius chrysops,SA,PASSERIFORMES,Tyrannidae,Goldgesicht-Kleintyrann
5080,Zimmerius minimus,SA,PASSERIFORMES,Tyrannidae,Santa-Marta-Kleintyrann
5081,Zimmerius albigularis,SA,PASSERIFORMES,Tyrannidae,Chocókleintyrann
5082,Zimmerius flavidifrons,SA,PASSERIFORMES,Tyrannidae,Lojakleintyrann
5083,Zimmerius viridiflavus,SA,PASSERIFORMES,Tyrannidae,Gelbstreif-Kleintyrann
5084,Pogonotriccus poecilotis,SA,PASSERIFORMES,Tyrannidae,Zimtbinden-Laubtyrann
5085,Pogonotriccus chapmani,SA,PASSERIFORMES,Tyrannidae,Olivkappen-Laubtyrann
5086,Pogonotriccus ophthalmicus,SA,PASSERIFORMES,Tyrannidae,Schwarzohr-Laubtyrann
5087,Pogonotriccus orbitalis,SA,PASSERIFORMES,Tyrannidae,Augenring-Laubtyrann
5088,Pogonotriccus venezuelanus,SA,PASSERIFORMES,Tyrannidae,Karibiklaubtyrann
5089,Pogonotriccus lanyoni,SA,PASSERIFORMES,Tyrannidae,Antioquialaubtyrann
5090,Pogonotriccus eximius,SA,PASSERIFORMES,Tyrannidae,Weißzügel-Laubtyrann
5091,Phylloscartes ventralis,SA,PASSERIFORMES,Tyrannidae,Olivgelb-Laubtyrann
5092,Phylloscartes ceciliae,SA,PASSERIFORMES,Tyrannidae,Alagoaslaubtyrann
5093,Phylloscartes kronei,SA,PASSERIFORMES,Tyrannidae,Uferlaubtyrann
5094,Phylloscartes beckeri,SA,PASSERIFORMES,Tyrannidae,Bahialaubtyrann
5095,Phylloscartes flavovirens,MA,PASSERIFORMES,Tyrannidae,Panamalaubtyrann
5096,Phylloscartes virescens,SA,PASSERIFORMES,Tyrannidae,Guyanalaubtyrann
5097,Phylloscartes gualaquizae,SA,PASSERIFORMES,Tyrannidae,Graukronen-Laubtyrann
5098,Phylloscartes nigrifrons,SA,PASSERIFORMES,Tyrannidae,Schwarzstirn-Laubtyrann
5099,Phylloscartes superciliaris,"MA, SA",PASSERIFORMES,Tyrannidae,Weißwangen-Laubtyrann
5100,Phylloscartes flaviventris,SA,PASSERIFORMES,Tyrannidae,Rostzügel-Laubtyrann
5101,Phylloscartes parkeri,SA,PASSERIFORMES,Tyrannidae,Zimtgesicht-Laubtyrann
