,IOC,Breeding Range,Order,Family,German
5102,Phylloscartes roquettei,SA,PASSERIFORMES,Tyrannidae,Gelbbürzel-Laubtyrann
5103,Phylloscartes paulista,SA,PASSERIFORMES,Tyrannidae,Zwerglaubtyrann
5104,Phylloscartes oustaleti,SA,PASSERIFORMES,Tyrannidae,Gelbohr-Laubtyrann
5105,Phylloscartes difficilis,SA,PASSERIFORMES,Tyrannidae,Olivgrau-Laubtyrann
5106,Phylloscartes sylviolus,SA,PASSERIFORMES,Tyrannidae,Rostring-Laubtyrann
5107,Mionectes striaticollis,SA,PASSERIFORMES,Tyrannidae,Graukappen-Pipratyrann
5108,Mionectes olivaceus,MA,PASSERIFORMES,Tyrannidae,Olivkopf-Pipratyrann
5109,Mionectes galbinus,"MA, SA",PASSERIFORMES,Tyrannidae,Santa-Marta-Pipratyrann
5110,Mionectes oleagineus,"MA, SA",PASSERIFORMES,Tyrannidae,Ockerbauch-Pipratyrann
5111,Mionectes macconnelli,SA,PASSERIFORMES,Tyrannidae,Schwarzschnabel-Pipratyrann
5112,Mionectes roraimae,SA,PASSERIFORMES,Tyrannidae,Tepuipipratyrann
5113,Mionectes rufiventris,SA,PASSERIFORMES,Tyrannidae,Graukopf-Pipratyrann
5114,Leptopogon amaurocephalus,"MA, SA",PASSERIFORMES,Tyrannidae,Braunkappen-Laubtyrann
5115,Leptopogon superciliaris,"MA, SA",PASSERIFORMES,Tyrannidae,Schieferkappen-Laubtyrann
5116,Leptopogon rufipectus,SA,PASSERIFORMES,Tyrannidae,Rostbrust-Laubtyrann
5117,Leptopogon taczanowskii,SA,PASSERIFORMES,Tyrannidae,Graugesicht-Laubtyrann
5118,Guyramemua affine,SA,PASSERIFORMES,Tyrannidae,Chapadatyrann
5119,Sublegatus arenarum,"MA, SA",PASSERIFORMES,Tyrannidae,Karibikstrauchtyrann
5120,Sublegatus obscurior,SA,PASSERIFORMES,Tyrannidae,Amazonienstrauchtyrann
5121,Sublegatus modestus,SA,PASSERIFORMES,Tyrannidae,Pantanalstrauchtyrann
5122,Inezia tenuirostris,SA,PASSERIFORMES,Tyrannidae,Olivbraun-Tachurityrann
5123,Inezia inornata,SA,PASSERIFORMES,Tyrannidae,Grauscheitel-Tachurityrann
5124,Inezia subflava,SA,PASSERIFORMES,Tyrannidae,Braunscheitel-Tachurityrann
5125,Inezia caudata,SA,PASSERIFORMES,Tyrannidae,Blassspitzen-Tachurityrann
5126,Myiophobus flavicans,SA,PASSERIFORMES,Tyrannidae,Gelbzügel-Schnäppertyrann
5127,Myiophobus phoenicomitra,SA,PASSERIFORMES,Tyrannidae,Olivrücken-Schnäppertyrann
5128,Myiophobus inornatus,SA,PASSERIFORMES,Tyrannidae,Zimtflügel-Schnäppertyrann
5129,Myiophobus roraimae,SA,PASSERIFORMES,Tyrannidae,Tepuischnäppertyrann
5130,Myiophobus cryptoxanthus,SA,PASSERIFORMES,Tyrannidae,Grauflecken-Schnäppertyrann
5131,Myiophobus fasciatus,"MA, SA",PASSERIFORMES,Tyrannidae,Rostschnäppertyrann
5132,Myiophobus crypterythrus,SA,PASSERIFORMES,Tyrannidae,Grauschulter-Schnäppertyrann
5133,Myiophobus rufescens,SA,PASSERIFORMES,Tyrannidae,Orangebauch-Schnäppertyrann
5134,Nephelomyias pulcher,SA,PASSERIFORMES,Tyrannidae,Graukronen-Schnäppertyrann
5135,Nephelomyias lintoni,SA,PASSERIFORMES,Tyrannidae,Orangeband-Schnäppertyrann
5136,Nephelomyias ochraceiventris,SA,PASSERIFORMES,Tyrannidae,Ockerhals-Schnäppertyrann
5137,Myiotriccus ornatus,SA,PASSERIFORMES,Tyrannidae,Schmucktyrann
5138,Tachuris rubrigastra,SA,PASSERIFORMES,Tyrannidae,Vielfarben-Tachurityrann
5139,Culicivora caudacuta,SA,PASSERIFORMES,Tyrannidae,Spitzschwanz-Grastyrann
5140,Hemitriccus diops,SA,PASSERIFORMES,Tyrannidae,Weißstern-Todityrann
5141,Hemitriccus obsoletus,SA,PASSERIFORMES,Tyrannidae,Braunbrust-Todityrann
5142,Hemitriccus flammulatus,SA,PASSERIFORMES,Tyrannidae,Streifenbrust-Todityrann
5143,Hemitriccus minor,SA,PASSERIFORMES,Tyrannidae,Kleintodityrann
5144,Hemitriccus spodiops,SA,PASSERIFORMES,Tyrannidae,Yungastodityrann
5145,Hemitriccus cohnhafti,SA,PASSERIFORMES,Tyrannidae,Acretodityrann
5146,Hemitriccus josephinae,SA,PASSERIFORMES,Tyrannidae,Grauwangen-Todityrann
5147,Hemitriccus zosterops,SA,PASSERIFORMES,Tyrannidae,Weißaugen-Todityrann
5148,Hemitriccus griseipectus,SA,PASSERIFORMES,Tyrannidae,Weißbauch-Todityrann
5149,Hemitriccus minimus,SA,PASSERIFORMES,Tyrannidae,Zwergtodityrann
5150,Hemitriccus orbitatus,SA,PASSERIFORMES,Tyrannidae,Augenring-Todityrann
5151,Hemitriccus iohannis,SA,PASSERIFORMES,Tyrannidae,Braunzügel-Todityrann
5152,Hemitriccus striaticollis,SA,PASSERIFORMES,Tyrannidae,Streifenkehl-Todityrann
5153,Hemitriccus nidipendulus,SA,PASSERIFORMES,Tyrannidae,Grünrücken-Todityrann
5154,Hemitriccus margaritaceiventer,SA,PASSERIFORMES,Tyrannidae,Perlbauch-Todityrann
5155,Hemitriccus inornatus,SA,PASSERIFORMES,Tyrannidae,Pelzelntodityrann
5156,Hemitriccus granadensis,SA,PASSERIFORMES,Tyrannidae,Schwarzkehl-Todityrann
5157,Hemitriccus mirandae,SA,PASSERIFORMES,Tyrannidae,Ockerbauch-Todityrann
5158,Hemitriccus cinnamomeipectus,SA,PASSERIFORMES,Tyrannidae,Zimtbrust-Todityrann
5159,Hemitriccus kaempferi,SA,PASSERIFORMES,Tyrannidae,Ockerbrust-Todityrann
5160,Hemitriccus rufigularis,SA,PASSERIFORMES,Tyrannidae,Graukappen-Todityrann
5161,Hemitriccus furcatus,SA,PASSERIFORMES,Tyrannidae,Gabelschwanz-Todityrann
5162,Myiornis auricularis,SA,PASSERIFORMES,Tyrannidae,Ohrfleck-Zwergtyrann
5163,Myiornis albiventris,SA,PASSERIFORMES,Tyrannidae,Weißbauch-Zwergtyrann
5164,Myiornis atricapillus,"MA, SA",PASSERIFORMES,Tyrannidae,Schwarzkappen-Zwergtyrann
5165,Myiornis ecaudatus,SA,PASSERIFORMES,Tyrannidae,Stummelschwanz-Zwergtyrann
5166,Oncostoma cinereigulare,MA,PASSERIFORMES,Tyrannidae,Graukehl-Krummschnabeltyrann
5167,Oncostoma olivaceum,"MA, SA",PASSERIFORMES,Tyrannidae,Gelbkehl-Krummschnabeltyrann
5168,Lophotriccus pileatus,"MA, SA",PASSERIFORMES,Tyrannidae,Rot-Schuppenkopftyrann
5169,Lophotriccus eulophotes,SA,PASSERIFORMES,Tyrannidae,Weißbauch-Schuppenkopftyrann
5170,Lophotriccus vitiosus,SA,PASSERIFORMES,Tyrannidae,Grau-Schuppenkopftyrann
5171,Lophotriccus galeatus,SA,PASSERIFORMES,Tyrannidae,Helm-Schuppenkopftyrann
5172,Atalotriccus pilaris,"MA, SA",PASSERIFORMES,Tyrannidae,Blassaugen-Zwergtyrann
5173,Poecilotriccus ruficeps,SA,PASSERIFORMES,Tyrannidae,Rostkappen-Todityrann
5174,Poecilotriccus luluae,SA,PASSERIFORMES,Tyrannidae,Lulutodityrann
5175,Poecilotriccus albifacies,SA,PASSERIFORMES,Tyrannidae,Weißwangen-Todityrann
5176,Poecilotriccus capitalis,SA,PASSERIFORMES,Tyrannidae,Schwarzweiß-Todityrann
5177,Poecilotriccus senex,SA,PASSERIFORMES,Tyrannidae,Ockerwangen-Todityrann
5178,Poecilotriccus russatus,SA,PASSERIFORMES,Tyrannidae,Rostgesicht-Todityrann
5179,Poecilotriccus plumbeiceps,SA,PASSERIFORMES,Tyrannidae,Ockergesicht-Todityrann
5180,Poecilotriccus fumifrons,SA,PASSERIFORMES,Tyrannidae,Graustirn-Todityrann
5181,Poecilotriccus latirostris,SA,PASSERIFORMES,Tyrannidae,Rostzügel-Todityrann
5182,Poecilotriccus sylvia,"MA, SA",PASSERIFORMES,Tyrannidae,Graukopf-Todityrann
5183,Poecilotriccus calopterus,SA,PASSERIFORMES,Tyrannidae,Goldflügel-Todityrann
5184,Poecilotriccus pulchellus,SA,PASSERIFORMES,Tyrannidae,Weißzügel-Todityrann
5185,Taeniotriccus andrei,SA,PASSERIFORMES,Tyrannidae,Schwarzschopf-Todityrann
5186,Todirostrum maculatum,SA,PASSERIFORMES,Tyrannidae,Fleckenbrust-Todityrann
5187,Todirostrum poliocephalum,SA,PASSERIFORMES,Tyrannidae,Gelbzügel-Todityrann
5188,Todirostrum cinereum,"MA, SA",PASSERIFORMES,Tyrannidae,Graugelb-Todityrann
5189,Todirostrum viridanum,SA,PASSERIFORMES,Tyrannidae,Kurzschwanz-Todityrann
5190,Todirostrum pictum,SA,PASSERIFORMES,Tyrannidae,Schwarzflecken-Todityrann
5191,Todirostrum chrysocrotaphum,SA,PASSERIFORMES,Tyrannidae,Goldbrauen-Todityrann
5192,Todirostrum nigriceps,"MA, SA",PASSERIFORMES,Tyrannidae,Schwarzkopf-Todityrann
5193,Cnipodectes subbrunneus,"MA, SA",PASSERIFORMES,Tyrannidae,Drehschwingentyrann
5194,Cnipodectes superrufus,SA,PASSERIFORMES,Tyrannidae,Rötel-Drehschwingentyrann
5195,Rhynchocyclus pacificus,SA,PASSERIFORMES,Tyrannidae,Pazifik-Breitschnabeltyrann
5196,Rhynchocyclus brevirostris,MA,PASSERIFORMES,Tyrannidae,Augenring-Breitschnabeltyrann
5197,Rhynchocyclus fulvipectus,SA,PASSERIFORMES,Tyrannidae,Ockerbrust-Breitschnabeltyrann
5198,Rhynchocyclus aequinoctialis,"MA, SA",PASSERIFORMES,Tyrannidae,Western Olivaceous Flatbill
5199,Rhynchocyclus olivaceus,"MA, SA",PASSERIFORMES,Tyrannidae,Amazonien-Breitschnabeltyrann
5200,Tolmomyias sulphurescens,"MA, SA",PASSERIFORMES,Tyrannidae,Olivscheitel-Breitschnabeltyrann
5201,Tolmomyias traylori,SA,PASSERIFORMES,Tyrannidae,Orangeaugen-Breitschnabeltyrann
5202,Tolmomyias flavotectus,"MA, SA",PASSERIFORMES,Tyrannidae,Gelbschwingen-Breitschnabeltyrann
5203,Tolmomyias assimilis,SA,PASSERIFORMES,Tyrannidae,Flügelspiegel-Breitschnabeltyrann
5204,Tolmomyias poliocephalus,SA,PASSERIFORMES,Tyrannidae,Grauscheitel-Breitschnabeltyrann
5205,Tolmomyias flaviventris,"MA, SA",PASSERIFORMES,Tyrannidae,Gelbbauch-Breitschnabeltyrann
5206,Tolmomyias viridiceps,SA,PASSERIFORMES,Tyrannidae,Grünkopf-Breitschnabeltyrann
5207,Calyptura cristata,SA,PASSERIFORMES,Tyrannidae,Goldhähnchentyrann
5208,Platyrinchus saturatus,SA,PASSERIFORMES,Tyrannidae,Zimtkopf-Spatelschnabeltyrann
5209,Platyrinchus cancrominus,MA,PASSERIFORMES,Tyrannidae,Kurzschwanz-Spatelschnabeltyrann
5210,Platyrinchus mystaceus,"MA, SA",PASSERIFORMES,Tyrannidae,Gelbscheitel-Spatelschnabeltyrann
