,IOC,Breeding Range,Order,Family,Dutch
5684,Myzomela erythrocephala,AU,PASSERIFORMES,Meliphagidae,Roodkopdwerghoningeter
5685,Myzomela dammermani,AU,PASSERIFORMES,Meliphagidae,Soembadwerghoningeter
5686,Myzomela irianawidodoae,AU,PASSERIFORMES,Meliphagidae,Rotidwerghoningeter
5687,Myzomela adolphinae,AU,PASSERIFORMES,Meliphagidae,Arfakdwerghoningeter
5688,Myzomela boiei,AU,PASSERIFORMES,Meliphagidae,Tanimbardwerghoningeter
5689,Myzomela wahe,AU,PASSERIFORMES,Meliphagidae,Taliabudwerghoningeter
5690,Myzomela chloroptera,AU,PASSERIFORMES,Meliphagidae,Sulawesidwerghoningeter
5691,Myzomela batjanensis,AU,PASSERIFORMES,Meliphagidae,Batjandwerghoningeter
5692,Myzomela wakoloensis,AU,PASSERIFORMES,Meliphagidae,Rode Molukse Dwerghoningeter
5693,Myzomela sanguinolenta,AU,PASSERIFORMES,Meliphagidae,Scharlaken Dwerghoningeter
5694,Myzomela caledonica,AU,PASSERIFORMES,Meliphagidae,Nieuw-Caledonische Dwerghoningeter
5695,Myzomela cardinalis,"AU, PO",PASSERIFORMES,Meliphagidae,Kardinaaldwerghoningeter
5696,Myzomela chermesina,PO,PASSERIFORMES,Meliphagidae,Karmozijndwerghoningeter
5697,Myzomela rubratra,PO,PASSERIFORMES,Meliphagidae,Vuurdwerghoningeter
5698,Myzomela sclateri,AU,PASSERIFORMES,Meliphagidae,Roodkeeldwerghoningeter
5699,Myzomela pammelaena,AU,PASSERIFORMES,Meliphagidae,Ebbendwerghoningeter
5700,Myzomela lafargei,AU,PASSERIFORMES,Meliphagidae,Roodnekdwerghoningeter
5701,Myzomela eichhorni,AU,PASSERIFORMES,Meliphagidae,Roodstuitdwerghoningeter
5702,Myzomela malaitae,AU,PASSERIFORMES,Meliphagidae,Malaitadwerghoningeter
5703,Myzomela melanocephala,AU,PASSERIFORMES,Meliphagidae,Savodwerghoningeter
5704,Myzomela tristrami,AU,PASSERIFORMES,Meliphagidae,Tristrams Dwerghoningeter
5705,Myzomela jugularis,PO,PASSERIFORMES,Meliphagidae,Vuurborstdwerghoningeter
5706,Myzomela erythromelas,AU,PASSERIFORMES,Meliphagidae,Vuurkopdwerghoningeter
5707,Myzomela vulnerata,AU,PASSERIFORMES,Meliphagidae,Timordwerghoningeter
5708,Myzomela rosenbergii,AU,PASSERIFORMES,Meliphagidae,Zwartkopdwerghoningeter
5709,Myzomela longirostris,AU,PASSERIFORMES,Meliphagidae,Goodenoughdwerghoningeter
5710,Philemon meyeri,AU,PASSERIFORMES,Meliphagidae,Dwerglederkop
5711,Philemon brassi,AU,PASSERIFORMES,Meliphagidae,Mamberamolederkop
5712,Philemon citreogularis,AU,PASSERIFORMES,Meliphagidae,Kleine Lederkop
5713,Philemon kisserensis,AU,PASSERIFORMES,Meliphagidae,Kisserlederkop
5714,Philemon inornatus,AU,PASSERIFORMES,Meliphagidae,Timorlederkop
5715,Philemon fuscicapillus,AU,PASSERIFORMES,Meliphagidae,Morotailederkop
5716,Philemon subcorniculatus,AU,PASSERIFORMES,Meliphagidae,Ceramlederkop
5717,Philemon moluccensis,AU,PASSERIFORMES,Meliphagidae,Burulederkop
5718,Philemon plumigenis,AU,PASSERIFORMES,Meliphagidae,Tanimbarlederkop
5719,Philemon buceroides,AU,PASSERIFORMES,Meliphagidae,Timorese Helmlederkop
5720,Philemon novaeguineae,AU,PASSERIFORMES,Meliphagidae,Papoeahelmlederkop
5721,Philemon yorki,AU,PASSERIFORMES,Meliphagidae,Cape-Yorklederkop
5722,Philemon cockerelli,AU,PASSERIFORMES,Meliphagidae,Bismarcklederkop
5723,Philemon eichhorni,AU,PASSERIFORMES,Meliphagidae,Eichhorns Lederkop
5724,Philemon albitorques,AU,PASSERIFORMES,Meliphagidae,Manuslederkop
5725,Philemon argenticeps,AU,PASSERIFORMES,Meliphagidae,Witkruinlederkop
5726,Philemon corniculatus,AU,PASSERIFORMES,Meliphagidae,Schreeuwlederkop
5727,Philemon diemenensis,AU,PASSERIFORMES,Meliphagidae,Nieuw-Caledonische Lederkop
5728,Xanthotis polygrammus,AU,PASSERIFORMES,Meliphagidae,Gevlekte Honingeter
5729,Xanthotis macleayanus,AU,PASSERIFORMES,Meliphagidae,Bruinkaphoningeter
5730,Xanthotis flaviventer,AU,PASSERIFORMES,Meliphagidae,Taanborsthoningeter
5731,Plectorhyncha lanceolata,AU,PASSERIFORMES,Meliphagidae,Gestreepte Honingeter
5732,Grantiella picta,AU,PASSERIFORMES,Meliphagidae,Bonte Honingeter
5733,Trichodere cockerelli,AU,PASSERIFORMES,Meliphagidae,Cape-Yorkhoningeter
5734,Phylidonyris pyrrhopterus,AU,PASSERIFORMES,Meliphagidae,Goudvleugelhoningeter
5735,Phylidonyris novaehollandiae,AU,PASSERIFORMES,Meliphagidae,Witooghoningeter
5736,Phylidonyris niger,AU,PASSERIFORMES,Meliphagidae,Withalshoningeter
5737,Lichmera argentauris,AU,PASSERIFORMES,Meliphagidae,Zilveroorhoningeter
5738,Lichmera indistincta,AU,PASSERIFORMES,Meliphagidae,Parkhoningeter
5739,Lichmera incana,AU,PASSERIFORMES,Meliphagidae,Vanuatuhoningeter
5740,Lichmera alboauricularis,AU,PASSERIFORMES,Meliphagidae,Lijsterhoningeter
5741,Lichmera squamata,AU,PASSERIFORMES,Meliphagidae,Babarhoningeter
5742,Lichmera deningeri,AU,PASSERIFORMES,Meliphagidae,Buruhoningeter
5743,Lichmera monticola,AU,PASSERIFORMES,Meliphagidae,Ceramhoningeter
5744,Lichmera flavicans,AU,PASSERIFORMES,Meliphagidae,Timorhoningeter
5745,Lichmera notabilis,AU,PASSERIFORMES,Meliphagidae,Wetarhoningeter
5746,Cissomela pectoralis,AU,PASSERIFORMES,Meliphagidae,Zwartbandhoningeter
5747,Guadalcanaria inexpectata,AU,PASSERIFORMES,Meliphagidae,Guadalcanalhoningeter
5748,Meliarchus sclateri,AU,PASSERIFORMES,Meliphagidae,Makirahoningeter
5749,Gymnomyza viridis,PO,PASSERIFORMES,Meliphagidae,Geelsnavelhoningeter
5750,Gymnomyza brunneirostris,PO,PASSERIFORMES,Meliphagidae,Bruinsnavelhoningeter
5751,Gymnomyza samoensis,PO,PASSERIFORMES,Meliphagidae,Samoahoningeter
5752,Gymnomyza aubryana,AU,PASSERIFORMES,Meliphagidae,Nieuw-Caledonische Honingeter
5753,Foulehaio carunculatus,PO,PASSERIFORMES,Meliphagidae,Grote Fijihoningeter
5754,Foulehaio taviunensis,PO,PASSERIFORMES,Meliphagidae,Kleine Fijihoningeter
5755,Foulehaio procerior,PO,PASSERIFORMES,Meliphagidae,Kikauhoningeter
5756,Meliphacator provocator,PO,PASSERIFORMES,Meliphagidae,Kandavuhoningeter
5757,Nesoptilotis leucotis,AU,PASSERIFORMES,Meliphagidae,Witoorhoningeter
5758,Nesoptilotis flavicollis,AU,PASSERIFORMES,Meliphagidae,Geelkeelhoningeter
5759,Entomyzon cyanotis,AU,PASSERIFORMES,Meliphagidae,Blauwwanghoningeter
5760,Melithreptus gularis,AU,PASSERIFORMES,Meliphagidae,Zwartkinhoningeter
5761,Melithreptus validirostris,AU,PASSERIFORMES,Meliphagidae,Tasmaanse Honingeter
5762,Melithreptus brevirostris,AU,PASSERIFORMES,Meliphagidae,Bruine Diadeemhoningeter
5763,Melithreptus albogularis,AU,PASSERIFORMES,Meliphagidae,Witkinhoningeter
5764,Melithreptus lunatus,AU,PASSERIFORMES,Meliphagidae,Diadeemhoningeter
5765,Melithreptus chloropsis,AU,PASSERIFORMES,Meliphagidae,Swandiadeemhoningeter
5766,Melithreptus affinis,AU,PASSERIFORMES,Meliphagidae,Zwartkophoningeter
5767,Stomiopera unicolor,AU,PASSERIFORMES,Meliphagidae,Witsnavelhoningeter
5768,Stomiopera flava,AU,PASSERIFORMES,Meliphagidae,Citroenhoningeter
5769,Meliphaga aruensis,AU,PASSERIFORMES,Meliphagidae,Aroehoningeter
5770,Meliphaga notata,AU,PASSERIFORMES,Meliphagidae,Torreshoningeter
5771,Meliphaga lewinii,AU,PASSERIFORMES,Meliphagidae,Geeloorhoningeter
5772,Purnella albifrons,AU,PASSERIFORMES,Meliphagidae,Witvoorhoofdhoningeter
5773,Lichenostomus melanops,AU,PASSERIFORMES,Meliphagidae,Geelpluimhoningeter
5774,Lichenostomus cratitius,AU,PASSERIFORMES,Meliphagidae,Purperteugelhoningeter
5775,Microptilotis mimikae,AU,PASSERIFORMES,Meliphagidae,Mimikahoningeter
5776,Microptilotis montanus,AU,PASSERIFORMES,Meliphagidae,Salvadori's Honingeter
5777,Microptilotis orientalis,AU,PASSERIFORMES,Meliphagidae,Kleine Berghoningeter
5778,Microptilotis albonotatus,AU,PASSERIFORMES,Meliphagidae,Witgevlekte Honingeter
5779,Microptilotis analogus,AU,PASSERIFORMES,Meliphagidae,Reichenbachs Honingeter
5780,Microptilotis vicina,AU,PASSERIFORMES,Meliphagidae,Tagulahoningeter
5781,Microptilotis gracilis,AU,PASSERIFORMES,Meliphagidae,Priemsnavelhoningeter
5782,Microptilotis imitatrix,AU,PASSERIFORMES,Meliphagidae,Cryptische Honingeter
5783,Microptilotis cinereifrons,AU,PASSERIFORMES,Meliphagidae,Sierlijke Honingeter
5784,Microptilotis flavirictus,AU,PASSERIFORMES,Meliphagidae,Geelteugelhoningeter
5785,Territornis albilineata,AU,PASSERIFORMES,Meliphagidae,Witbaardhoningeter
5786,Territornis fordiana,AU,PASSERIFORMES,Meliphagidae,Kimberleyhoningeter
5787,Territornis reticulata,AU,PASSERIFORMES,Meliphagidae,Rasterhoningeter
5788,Gavicalis versicolor,AU,PASSERIFORMES,Meliphagidae,Wielewaalhoningeter
5789,Gavicalis fasciogularis,AU,PASSERIFORMES,Meliphagidae,Mangrovehoningeter
5790,Gavicalis virescens,AU,PASSERIFORMES,Meliphagidae,Fluithoningeter
5791,Oreornis chrysogenys,AU,PASSERIFORMES,Meliphagidae,Goudwanghoningeter
5792,Ptilotula flavescens,AU,PASSERIFORMES,Meliphagidae,Sikkeloorhoningeter
5793,Ptilotula fusca,AU,PASSERIFORMES,Meliphagidae,Brilhoningeter
5794,Ptilotula keartlandi,AU,PASSERIFORMES,Meliphagidae,Grijskophoningeter
5795,Ptilotula plumula,AU,PASSERIFORMES,Meliphagidae,Groenkaphoningeter
5796,Ptilotula ornata,AU,PASSERIFORMES,Meliphagidae,Malleehoningeter
5797,Ptilotula penicillata,AU,PASSERIFORMES,Meliphagidae,Witpluimhoningeter
5798,Caligavis chrysops,AU,PASSERIFORMES,Meliphagidae,Geelmaskerhoningeter
5799,Caligavis subfrenata,AU,PASSERIFORMES,Meliphagidae,Zwartkeelhoningeter
5800,Caligavis obscura,AU,PASSERIFORMES,Meliphagidae,Loverhoningeter
5801,Anthochaera chrysoptera,AU,PASSERIFORMES,Meliphagidae,Kleine Lelhoningeter
5802,Anthochaera lunulata,AU,PASSERIFORMES,Meliphagidae,Westelijke Lelhoningeter
5803,Anthochaera carunculata,AU,PASSERIFORMES,Meliphagidae,Roodlelhoningeter
5804,Anthochaera paradoxa,AU,PASSERIFORMES,Meliphagidae,Geellelhoningeter
5805,Anthochaera phrygia,AU,PASSERIFORMES,Meliphagidae,Geschubde Lelhoningeter
5806,Acanthagenys rufogularis,AU,PASSERIFORMES,Meliphagidae,Goudkeelhoningeter
5807,Bolemoreus frenatus,AU,PASSERIFORMES,Meliphagidae,Bontbekhoningeter
5808,Bolemoreus hindwoodi,AU,PASSERIFORMES,Meliphagidae,Eungellahoningeter
5809,Melidectes ochromelas,AU,PASSERIFORMES,Meliphagidae,Roodbrauwhoningeter
5810,Melidectes leucostephes,AU,PASSERIFORMES,Meliphagidae,Witmaskerhoningeter
5811,Melidectes rufocrissalis,AU,PASSERIFORMES,Meliphagidae,Geelbrauwhoningeter
5812,Melidectes foersteri,AU,PASSERIFORMES,Meliphagidae,Försters Honingeter
5813,Melidectes belfordi,AU,PASSERIFORMES,Meliphagidae,Belfords Honingeter
5814,Melidectes torquatus,AU,PASSERIFORMES,Meliphagidae,Ornaathoningeter
5815,Manorina melanophrys,AU,PASSERIFORMES,Meliphagidae,Belhoningeter
5816,Manorina melanocephala,AU,PASSERIFORMES,Meliphagidae,Tuinhoningeter
5817,Manorina flavigula,AU,PASSERIFORMES,Meliphagidae,Witstuithoningeter
5818,Manorina melanotis,AU,PASSERIFORMES,Meliphagidae,Zwartoorhoningeter
5819,Dasyornis brachypterus,AU,PASSERIFORMES,Dasyornithidae,Bruine Borstelvogel
5820,Dasyornis longirostris,AU,PASSERIFORMES,Dasyornithidae,Zwartkapborstelvogel
5821,Dasyornis broadbenti,AU,PASSERIFORMES,Dasyornithidae,Rosse Borstelvogel
5822,Pardalotus punctatus,AU,PASSERIFORMES,Pardalotidae,Gevlekte Diamantvogel
5823,Pardalotus quadragintus,AU,PASSERIFORMES,Pardalotidae,Tasmaanse Diamantvogel
5824,Pardalotus rubricatus,AU,PASSERIFORMES,Pardalotidae,Roodbrauwdiamantvogel
5825,Pardalotus striatus,AU,PASSERIFORMES,Pardalotidae,Gestreepte Diamantvogel
5826,Pachycare flavogriseum,AU,PASSERIFORMES,Acanthizidae,Goudmaskerdikkop
5827,Oreoscopus gutturalis,AU,PASSERIFORMES,Acanthizidae,Zwartkeelstruiksluiper
5828,Acanthornis magna,AU,PASSERIFORMES,Acanthizidae,Tasmaanse Struiksluiper
5829,Smicrornis brevirostris,AU,PASSERIFORMES,Acanthizidae,Eucalyptushaantje
5830,Calamanthus fuliginosus,AU,PASSERIFORMES,Acanthizidae,Gevlekte Struiksluiper
5831,Calamanthus montanellus,AU,PASSERIFORMES,Acanthizidae,Westelijke Struiksluiper
5832,Calamanthus campestris,AU,PASSERIFORMES,Acanthizidae,Rosse Struiksluiper
5833,Hylacola pyrrhopygia,AU,PASSERIFORMES,Acanthizidae,Vuurstuitheidesluiper
5834,Hylacola cauta,AU,PASSERIFORMES,Acanthizidae,Malleeheidesluiper
5835,Pycnoptilus floccosus,AU,PASSERIFORMES,Acanthizidae,Loodsvogel
5836,Pyrrholaemus brunneus,AU,PASSERIFORMES,Acanthizidae,Roodkeelstruiksluiper
5837,Pyrrholaemus sagittatus,AU,PASSERIFORMES,Acanthizidae,Pieperstruiksluiper
5838,Origma solitaria,AU,PASSERIFORMES,Acanthizidae,Rotsstruiksluiper
5839,Origma murina,AU,PASSERIFORMES,Acanthizidae,Bruine Struiksluiper
5840,Origma robusta,AU,PASSERIFORMES,Acanthizidae,Bergstruiksluiper
5841,Neosericornis citreogularis,AU,PASSERIFORMES,Acanthizidae,Geelkeelstruiksluiper
5842,Aethomyias nigrorufus,AU,PASSERIFORMES,Acanthizidae,Zwart-rosse Struiksluiper
5843,Aethomyias spilodera,AU,PASSERIFORMES,Acanthizidae,Witbekstruiksluiper
5844,Aethomyias rufescens,AU,PASSERIFORMES,Acanthizidae,Vogelkopstruiksluiper
5845,Aethomyias perspicillatus,AU,PASSERIFORMES,Acanthizidae,Bruinkopstruiksluiper
5846,Aethomyias papuensis,AU,PASSERIFORMES,Acanthizidae,Papoeastruiksluiper
5847,Aethomyias arfakianus,AU,PASSERIFORMES,Acanthizidae,Grijsgroene Struiksluiper
5848,Sericornis magnirostra,AU,PASSERIFORMES,Acanthizidae,Nachtegaalstruiksluiper
5849,Sericornis beccarii,AU,PASSERIFORMES,Acanthizidae,Beccari's Struiksluiper
5850,Sericornis nouhuysi,AU,PASSERIFORMES,Acanthizidae,Grote Struiksluiper
5851,Sericornis maculatus,AU,PASSERIFORMES,Acanthizidae,Westelijke Witbrauwstruiksluiper
5852,Sericornis humilis,AU,PASSERIFORMES,Acanthizidae,Tasmaanse Bruine Struiksluiper
5853,Sericornis keri,AU,PASSERIFORMES,Acanthizidae,Athertonstruiksluiper
5854,Sericornis frontalis,AU,PASSERIFORMES,Acanthizidae,Oostelijke Witbrauwstruiksluiper
5855,Sericornis virgatus,AU,PASSERIFORMES,Acanthizidae,Sepikstruiksluiper
5856,Gerygone mouki,AU,PASSERIFORMES,Acanthizidae,Bruine Mangrovezanger
5857,Gerygone igata,AU,PASSERIFORMES,Acanthizidae,Maorimangrovezanger
5858,Gerygone modesta,AU,PASSERIFORMES,Acanthizidae,Norfolkmangrovezanger
5859,Gerygone albofrontata,AU,PASSERIFORMES,Acanthizidae,Chathammangrovezanger
5860,Gerygone flavolateralis,AU,PASSERIFORMES,Acanthizidae,Vanuatumangrovezanger
5861,Gerygone citrina,AU,PASSERIFORMES,Acanthizidae,Rennellmangrovezanger
5862,Gerygone ruficollis,AU,PASSERIFORMES,Acanthizidae,Boomvarenmangrovezanger
5863,Gerygone sulphurea,"OR, AU",PASSERIFORMES,Acanthizidae,Goudbuikmangrovezanger
5864,Gerygone dorsalis,AU,PASSERIFORMES,Acanthizidae,Roodflankmangrovezanger
5865,Gerygone levigaster,AU,PASSERIFORMES,Acanthizidae,Witbrauwmangrovezanger
5866,Gerygone inornata,AU,PASSERIFORMES,Acanthizidae,Timormangrovezanger
5867,Gerygone fusca,AU,PASSERIFORMES,Acanthizidae,Witstaartmangrovezanger
5868,Gerygone tenebrosa,AU,PASSERIFORMES,Acanthizidae,Witoogmangrovezanger
5869,Gerygone magnirostris,AU,PASSERIFORMES,Acanthizidae,Dikbekmangrovezanger
5870,Gerygone hypoxantha,AU,PASSERIFORMES,Acanthizidae,Biakmangrovezanger
5871,Gerygone chrysogaster,AU,PASSERIFORMES,Acanthizidae,Geelbuikmangrovezanger
5872,Gerygone chloronota,AU,PASSERIFORMES,Acanthizidae,Witbuikmangrovezanger
5873,Gerygone olivacea,AU,PASSERIFORMES,Acanthizidae,Witkeelmangrovezanger
5874,Gerygone palpebrosa,AU,PASSERIFORMES,Acanthizidae,Zwartkeelmangrovezanger
5875,Acanthiza katherina,AU,PASSERIFORMES,Acanthizidae,Athertondoornsnavel
5876,Acanthiza pusilla,AU,PASSERIFORMES,Acanthizidae,Bruine Doornsnavel
5877,Acanthiza apicalis,AU,PASSERIFORMES,Acanthizidae,Roodstuitdoornsnavel
5878,Acanthiza ewingii,AU,PASSERIFORMES,Acanthizidae,Tasmaanse Doornsnavel
5879,Acanthiza murina,AU,PASSERIFORMES,Acanthizidae,Papoeadoornsnavel
5880,Acanthiza uropygialis,AU,PASSERIFORMES,Acanthizidae,Roodstaartdoornsnavel
5881,Acanthiza reguloides,AU,PASSERIFORMES,Acanthizidae,Vaalstuitdoornsnavel
5882,Acanthiza inornata,AU,PASSERIFORMES,Acanthizidae,Kaap-Leeuwindoornsnavel
5883,Acanthiza iredalei,AU,PASSERIFORMES,Acanthizidae,Mulgadoornsnavel
5884,Acanthiza chrysorrhoa,AU,PASSERIFORMES,Acanthizidae,Geelstuitdoornsnavel
5885,Acanthiza nana,AU,PASSERIFORMES,Acanthizidae,Gele Doornsnavel
5886,Acanthiza cinerea,AU,PASSERIFORMES,Acanthizidae,Grijze Doornsnavel
5887,Acanthiza lineata,AU,PASSERIFORMES,Acanthizidae,Twijgdoornsnavel
5888,Acanthiza robustirostris,AU,PASSERIFORMES,Acanthizidae,Grijsrugdoornsnavel
5889,Aphelocephala leucopsis,AU,PASSERIFORMES,Acanthizidae,Zuidelijke Witgezicht
5890,Aphelocephala pectoralis,AU,PASSERIFORMES,Acanthizidae,Kastanjeborstwitgezicht
5891,Aphelocephala nigricincta,AU,PASSERIFORMES,Acanthizidae,Gebandeerde Witgezicht
5892,Garritornis isidorei,AU,PASSERIFORMES,Pomatostomidae,Papoeababbelaar
5893,Pomatostomus temporalis,AU,PASSERIFORMES,Pomatostomidae,Grijskruinbabbelaar
5894,Pomatostomus halli,AU,PASSERIFORMES,Pomatostomidae,Halls Babbelaar
5895,Pomatostomus superciliosus,AU,PASSERIFORMES,Pomatostomidae,Witbrauwbabbelaar
5896,Pomatostomus ruficeps,AU,PASSERIFORMES,Pomatostomidae,Roodkruinbabbelaar
5897,Orthonyx novaeguineae,AU,PASSERIFORMES,Orthonychidae,Nieuw-Guinese Stronkloper
5898,Orthonyx temminckii,AU,PASSERIFORMES,Orthonychidae,Australische Stronkloper
5899,Orthonyx spaldingii,AU,PASSERIFORMES,Orthonychidae,Zwartkopstronkloper
5900,Cnemophilus loriae,AU,PASSERIFORMES,Cnemophilidae,Loria's Satijnvogel
5901,Cnemophilus macgregorii,AU,PASSERIFORMES,Cnemophilidae,MacGregors Satijnvogel
5902,Loboparadisea sericea,AU,PASSERIFORMES,Cnemophilidae,Lelsatijnvogel
5903,Melanocharis arfakiana,AU,PASSERIFORMES,Melanocharitidae,Arfakbessenpikker
5904,Melanocharis longicauda,AU,PASSERIFORMES,Melanocharitidae,Geelpluimbessenpikker
5905,Melanocharis nigra,AU,PASSERIFORMES,Melanocharitidae,Zwarte Bessenpikker
5906,Melanocharis versteri,AU,PASSERIFORMES,Melanocharitidae,Versters Bessenpikker
5907,Melanocharis striativentris,AU,PASSERIFORMES,Melanocharitidae,Gestreepte Bessenpikker
5908,Melanocharis citreola,AU,PASSERIFORMES,Melanocharitidae,Satijnbessenpikker
5909,Rhamphocharis crassirostris,AU,PASSERIFORMES,Melanocharitidae,Diksnavelbessenpikker
5910,Rhamphocharis piperata,AU,PASSERIFORMES,Melanocharitidae,Gevlekte Bessenpikker
5911,Oedistoma iliolophus,AU,PASSERIFORMES,Melanocharitidae,Groene Dwerghoningjager
5912,Oedistoma pygmaeum,AU,PASSERIFORMES,Melanocharitidae,Gele Dwerghoningjager
5913,Toxorhamphus novaeguineae,AU,PASSERIFORMES,Melanocharitidae,Geelbuikhoningjager
5914,Toxorhamphus poliopterus,AU,PASSERIFORMES,Melanocharitidae,Grijskinhoningjager
5915,Oreocharis arfaki,AU,PASSERIFORMES,Paramythiidae,Meesbessenpikker
5916,Paramythia olivacea,AU,PASSERIFORMES,Paramythiidae,Westelijke Bergbessenpikker
5917,Paramythia montium,AU,PASSERIFORMES,Paramythiidae,Oostelijke Bergbessenpikker
5918,Callaeas wilsoni,AU,PASSERIFORMES,Callaeidae,Noordelijke Kokako
5919,Philesturnus rufusater,AU,PASSERIFORMES,Callaeidae,Noordelijke Zadelrug
5920,Philesturnus carunculatus,AU,PASSERIFORMES,Callaeidae,Zuidelijke Zadelrug
5921,Notiomystis cincta,AU,PASSERIFORMES,Notiomystidae,Hihi
5922,Androphobus viridis,AU,PASSERIFORMES,Psophodidae,Groenrugzwiepfluiter
5923,Psophodes olivaceus,AU,PASSERIFORMES,Psophodidae,Zwartkopzwiepfluiter
5924,Psophodes nigrogularis,AU,PASSERIFORMES,Psophodidae,Westelijke Zwiepfluiter
5925,Psophodes leucogaster,AU,PASSERIFORMES,Psophodidae,Malleezwiepfluiter
5926,Psophodes cristatus,AU,PASSERIFORMES,Psophodidae,Struikzwiepfluiter
5927,Psophodes occidentalis,AU,PASSERIFORMES,Psophodidae,Klokzwiepfluiter
5928,Ptilorrhoa leucosticta,AU,PASSERIFORMES,Cinclosomatidae,Bergjuweelbabbelaar
5929,Ptilorrhoa caerulescens,AU,PASSERIFORMES,Cinclosomatidae,Blauwe Juweelbabbelaar
5930,Ptilorrhoa geislerorum,AU,PASSERIFORMES,Cinclosomatidae,Bruinkapjuweelbabbelaar
5931,Ptilorrhoa castanonota,AU,PASSERIFORMES,Cinclosomatidae,Bonte Juweelbabbelaar
5932,Cinclosoma punctatum,AU,PASSERIFORMES,Cinclosomatidae,Gevlekte Kwartellijster
5933,Cinclosoma castanotum,AU,PASSERIFORMES,Cinclosomatidae,Roodrugkwartellijster
5934,Cinclosoma clarum,AU,PASSERIFORMES,Cinclosomatidae,Koperrugkwartellijster
5935,Cinclosoma cinnamomeum,AU,PASSERIFORMES,Cinclosomatidae,Bruine Kwartellijster
5936,Cinclosoma alisteri,AU,PASSERIFORMES,Cinclosomatidae,Nullarborkwartellijster
5937,Cinclosoma castaneothorax,AU,PASSERIFORMES,Cinclosomatidae,Bruinborstkwartellijster
5938,Cinclosoma marginatum,AU,PASSERIFORMES,Cinclosomatidae,Westelijke Kwartellijster
5939,Cinclosoma ajax,AU,PASSERIFORMES,Cinclosomatidae,Nieuw-Guinese Kwartellijster
5940,Batis diops,AF,PASSERIFORMES,Platysteiridae,Ruwenzorivliegenvanger
5941,Batis margaritae,AF,PASSERIFORMES,Platysteiridae,Boultons Vliegenvanger
5942,Batis mixta,AF,PASSERIFORMES,Platysteiridae,Kortstaartvliegenvanger
5943,Batis reichenowi,AF,PASSERIFORMES,Platysteiridae,Reichenows Vliegenvanger
5944,Batis crypta,AF,PASSERIFORMES,Platysteiridae,Donkere Kortstaartvliegenvanger
5945,Batis dimorpha,AF,PASSERIFORMES,Platysteiridae,Malawivliegenvanger
5946,Batis capensis,AF,PASSERIFORMES,Platysteiridae,Bruinflankvliegenvanger
5947,Batis fratrum,AF,PASSERIFORMES,Platysteiridae,Woodwards Vliegenvanger
5948,Batis molitor,AF,PASSERIFORMES,Platysteiridae,Witflankvliegenvanger
5949,Batis senegalensis,AF,PASSERIFORMES,Platysteiridae,Senegalese Vliegenvanger
5950,Batis orientalis,AF,PASSERIFORMES,Platysteiridae,Doornvliegenvanger
5951,Batis soror,AF,PASSERIFORMES,Platysteiridae,Acaciavliegenvanger
5952,Batis pririt,AF,PASSERIFORMES,Platysteiridae,Priritvliegenvanger
5953,Batis minor,AF,PASSERIFORMES,Platysteiridae,Oostelijke Savannevliegenvanger
5954,Batis erlangeri,AF,PASSERIFORMES,Platysteiridae,Westelijke Savannevliegenvanger
5955,Batis perkeo,AF,PASSERIFORMES,Platysteiridae,Kleine Doornvliegenvanger
5956,Batis minulla,AF,PASSERIFORMES,Platysteiridae,Angolese Vliegenvanger
5957,Batis minima,AF,PASSERIFORMES,Platysteiridae,Gabonvliegenvanger
5958,Batis ituriensis,AF,PASSERIFORMES,Platysteiridae,Iturivliegenvanger
5959,Batis occulta,AF,PASSERIFORMES,Platysteiridae,Nimbavliegenvanger
5960,Batis poensis,AF,PASSERIFORMES,Platysteiridae,Biokovliegenvanger
5961,Lanioturdus torquatus,AF,PASSERIFORMES,Platysteiridae,Tapuitklauwier
5962,Platysteira hormophora,AF,PASSERIFORMES,Platysteiridae,Witneklelvliegenvanger
5963,Platysteira castanea,AF,PASSERIFORMES,Platysteiridae,Witstuitlelvliegenvanger
5964,Platysteira tonsa,AF,PASSERIFORMES,Platysteiridae,Witbrauwlelvliegenvanger
5965,Platysteira laticincta,AF,PASSERIFORMES,Platysteiridae,Bamendalelvliegenvanger
5966,Platysteira peltata,AF,PASSERIFORMES,Platysteiridae,Zwartkeellelvliegenvanger
5967,Platysteira albifrons,AF,PASSERIFORMES,Platysteiridae,Angolese Lelvliegenvanger
5968,Platysteira cyanea,AF,PASSERIFORMES,Platysteiridae,Bruinkeellelvliegenvanger
5969,Platysteira concreta,AF,PASSERIFORMES,Platysteiridae,Geelbuiklelvliegenvanger
5970,Platysteira blissetti,AF,PASSERIFORMES,Platysteiridae,Roodwanglelvliegenvanger
5971,Platysteira chalybea,AF,PASSERIFORMES,Platysteiridae,Reichenows Lelvliegenvanger
5972,Platysteira jamesoni,AF,PASSERIFORMES,Platysteiridae,Jamesons Lelvliegenvanger
5973,Malaconotus cruentus,AF,PASSERIFORMES,Malaconotidae,Bloedklauwier
5974,Malaconotus monteiri,AF,PASSERIFORMES,Malaconotidae,Monteiro's Klauwier
5975,Malaconotus blanchoti,AF,PASSERIFORMES,Malaconotidae,Spookklauwier
5976,Malaconotus lagdeni,AF,PASSERIFORMES,Malaconotidae,Asjantiklauwier
5977,Malaconotus gladiator,AF,PASSERIFORMES,Malaconotidae,Gladiatorklauwier
