,IOC,Breeding Range,Order,Family,Dutch
112,Tadorna cana,AF,ANSERIFORMES,Anatidae,Kaapse Casarca
113,Tadorna tadornoides,AU,ANSERIFORMES,Anatidae,Australische Bergeend
114,Tadorna variegata,AU,ANSERIFORMES,Anatidae,Paradijscasarca
115,Malacorhynchus membranaceus,AU,ANSERIFORMES,Anatidae,Lepelbekeend
116,Salvadorina waigiuensis,AU,ANSERIFORMES,Anatidae,Salvadori's Eend
117,Cairina moschata,"NA, MA, SA",ANSERIFORMES,Anatidae,Muskuseend
118,Asarcornis scutulata,OR,ANSERIFORMES,Anatidae,Witvleugelboseend
119,Pteronetta hartlaubii,AF,ANSERIFORMES,Anatidae,Hartlaubs Eend
120,Aix galericulata,PAL,ANSERIFORMES,Anatidae,Mandarijneend
121,Chenonetta jubata,AU,ANSERIFORMES,Anatidae,Manengans
122,Nettapus auritus,AF,ANSERIFORMES,Anatidae,Afrikaanse Dwergeend
123,Nettapus coromandelianus,OR,ANSERIFORMES,Anatidae,Coromandeleend
124,Nettapus pulchellus,AU,ANSERIFORMES,Anatidae,Groene Dwergeend
125,Amazonetta brasiliensis,SA,ANSERIFORMES,Anatidae,Amazonetaling
126,Callonetta leucophrys,SA,ANSERIFORMES,Anatidae,Ringtaling
127,Lophonetta specularioides,SA,ANSERIFORMES,Anatidae,Andeseend
128,Speculanas specularis,SA,ANSERIFORMES,Anatidae,Bronsvleugeleend
129,Sibirionetta formosa,PAL,ANSERIFORMES,Anatidae,Siberische Taling
130,Spatula querquedula,PAL,ANSERIFORMES,Anatidae,Zomertaling
131,Spatula hottentota,AF,ANSERIFORMES,Anatidae,Gouden Taling
132,Spatula puna,SA,ANSERIFORMES,Anatidae,Punataling
133,Spatula versicolor,SA,ANSERIFORMES,Anatidae,Zilvertaling
134,Spatula platalea,SA,ANSERIFORMES,Anatidae,Argentijnse Slobeend
135,Spatula cyanoptera,"NA, MA, SA",ANSERIFORMES,Anatidae,Kaneeltaling
136,Spatula smithii,AF,ANSERIFORMES,Anatidae,Kaapse Slobeend
137,Spatula rhynchotis,AU,ANSERIFORMES,Anatidae,Australische Slobeend
138,Spatula clypeata,"NA, PAL",ANSERIFORMES,Anatidae,Slobeend
139,Mareca strepera,"NA, PAL",ANSERIFORMES,Anatidae,Krakeend
140,Mareca falcata,PAL,ANSERIFORMES,Anatidae,Bronskopeend
141,Mareca penelope,PAL,ANSERIFORMES,Anatidae,Smient
142,Mareca sibilatrix,SA,ANSERIFORMES,Anatidae,Chileense Smient
143,Anas sparsa,AF,ANSERIFORMES,Anatidae,Afrikaanse Zwarte Eend
144,Anas undulata,AF,ANSERIFORMES,Anatidae,Geelsnaveleend
145,Anas melleri,AF,ANSERIFORMES,Anatidae,Mellers Eend
146,Anas superciliosa,AU,ANSERIFORMES,Anatidae,Wenkbrauweend
147,Anas laysanensis,PO,ANSERIFORMES,Anatidae,Laysaneend
148,Anas wyvilliana,PO,ANSERIFORMES,Anatidae,Hawaii-eend
149,Anas luzonica,OR,ANSERIFORMES,Anatidae,Filipijnse Eend
150,Anas poecilorhyncha,OR,ANSERIFORMES,Anatidae,Indische Vlekbekeend
151,Anas zonorhyncha,OR,ANSERIFORMES,Anatidae,Chinese Vlekbekeend
152,Anas platyrhynchos,"NA, PAL",ANSERIFORMES,Anatidae,Wilde Eend
153,Anas diazi,"NA, MA",ANSERIFORMES,Anatidae,Mexicaanse Eend
154,Anas capensis,AF,ANSERIFORMES,Anatidae,Kaapse Taling
155,Anas bahamensis,"SA, NA",ANSERIFORMES,Anatidae,Bahamapijlstaart
156,Anas erythrorhyncha,AF,ANSERIFORMES,Anatidae,Roodsnavelpijlstaart
157,Anas georgica,SA,ANSERIFORMES,Anatidae,Zuid-Amerikaanse Pijlstaart
158,Anas eatoni,IO,ANSERIFORMES,Anatidae,Kerguelenpijlstaart
159,Anas acuta,"NA, PAL",ANSERIFORMES,Anatidae,Pijlstaart
160,Anas crecca,"PAL, NA",ANSERIFORMES,Anatidae,Wintertaling
161,Anas flavirostris,SA,ANSERIFORMES,Anatidae,Chileense Taling
162,Anas andium,SA,ANSERIFORMES,Anatidae,Andestaling
163,Anas gibberifrons,OR,ANSERIFORMES,Anatidae,Indische Taling
164,Anas albogularis,OR,ANSERIFORMES,Anatidae,Andamanentaling
165,Anas gracilis,AU,ANSERIFORMES,Anatidae,Australische Taling
