,IOC,Breeding Range,Order,Family,Spanish
148,Anas wyvilliana,PO,ANSERIFORMES,Anatidae,Ánade hawaiano
149,Anas luzonica,OR,ANSERIFORMES,Anatidae,Ánade filipino
150,Anas poecilorhyncha,OR,ANSERIFORMES,Anatidae,Ánade picopinto indio
151,Anas zonorhyncha,OR,ANSERIFORMES,Anatidae,Ánade picopinto chino
152,Anas platyrhynchos,"NA, PAL",ANSERIFORMES,Anatidae,Ánade azulón
153,Anas diazi,"NA, MA",ANSERIFORMES,Anatidae,Pato mexicano
154,Anas capensis,AF,ANSERIFORMES,Anatidae,Cerceta de El Cabo
155,Anas bahamensis,"SA, NA",ANSERIFORMES,Anatidae,Ánade gargantillo
156,Anas erythrorhyncha,AF,ANSERIFORMES,Anatidae,Ánade piquirrojo
157,Anas georgica,SA,ANSERIFORMES,Anatidae,Ánade maicero
158,Anas eatoni,IO,ANSERIFORMES,Anatidae,Ánade rabudo meridional
159,Anas acuta,"NA, PAL",ANSERIFORMES,Anatidae,Ánade rabudo norteño
160,Anas crecca,"PAL, NA",ANSERIFORMES,Anatidae,Cerceta común
161,Anas flavirostris,SA,ANSERIFORMES,Anatidae,Cerceta barcina
162,Anas andium,SA,ANSERIFORMES,Anatidae,Cerceta andina
163,Anas gibberifrons,OR,ANSERIFORMES,Anatidae,Cerceta de la Sonda
164,Anas albogularis,OR,ANSERIFORMES,Anatidae,Cerceta de Andamán
165,Anas gracilis,AU,ANSERIFORMES,Anatidae,Cerceta gris
166,Anas castanea,AU,ANSERIFORMES,Anatidae,Cerceta castaña
167,Anas bernieri,AF,ANSERIFORMES,Anatidae,Cerceta malgache
168,Anas chlorotis,AU,ANSERIFORMES,Anatidae,Cerceta maorí
169,Anas aucklandica,AU,ANSERIFORMES,Anatidae,Cerceta de las Auckland
170,Anas nesiotis,AU,ANSERIFORMES,Anatidae,Cerceta de la Campbell
171,Marmaronetta angustirostris,PAL,ANSERIFORMES,Anatidae,Cerceta pardilla
172,Netta rufina,PAL,ANSERIFORMES,Anatidae,Pato colorado
173,Netta peposaca,SA,ANSERIFORMES,Anatidae,Pato picazo
174,Netta erythrophthalma,"AF, SA",ANSERIFORMES,Anatidae,Pato morado
175,Aythya ferina,PAL,ANSERIFORMES,Anatidae,Porrón europeo
176,Aythya australis,AU,ANSERIFORMES,Anatidae,Porrón australiano
177,Aythya innotata,AF,ANSERIFORMES,Anatidae,Porrón malgache
178,Aythya baeri,PAL,ANSERIFORMES,Anatidae,Porrón de Baer
179,Aythya nyroca,PAL,ANSERIFORMES,Anatidae,Porrón pardo
180,Aythya novaeseelandiae,AU,ANSERIFORMES,Anatidae,Porrón maorí
181,Aythya fuligula,PAL,ANSERIFORMES,Anatidae,Porrón moñudo
182,Aythya marila,"NA, PAL",ANSERIFORMES,Anatidae,Porrón bastardo
183,Polysticta stelleri,"NA, PAL",ANSERIFORMES,Anatidae,Éider menor
184,Somateria fischeri,"NA, PAL",ANSERIFORMES,Anatidae,Éider de anteojos
185,Somateria spectabilis,"NA, PAL",ANSERIFORMES,Anatidae,Éider real
186,Somateria mollissima,"NA, PAL",ANSERIFORMES,Anatidae,Éider común
187,Histrionicus histrionicus,"NA, PAL",ANSERIFORMES,Anatidae,Pato arlequín
188,Melanitta fusca,PAL,ANSERIFORMES,Anatidae,Negrón especulado
189,Melanitta stejnegeri,PAL,ANSERIFORMES,Anatidae,Negrón siberiano
190,Melanitta nigra,PAL,ANSERIFORMES,Anatidae,Negrón común
191,Melanitta americana,"PAL, NA",ANSERIFORMES,Anatidae,Negrón americano
192,Clangula hyemalis,"NA, PAL",ANSERIFORMES,Anatidae,Pato havelda
193,Bucephala clangula,"NA, PAL",ANSERIFORMES,Anatidae,Porrón osculado
194,Bucephala islandica,"NA, PAL",ANSERIFORMES,Anatidae,Porrón islándico
195,Mergellus albellus,PAL,ANSERIFORMES,Anatidae,Serreta chica
196,Mergus octosetaceus,SA,ANSERIFORMES,Anatidae,Serreta brasileña
197,Mergus merganser,"NA, PAL",ANSERIFORMES,Anatidae,Serreta grande
198,Mergus serrator,"NA, PAL",ANSERIFORMES,Anatidae,Serreta mediana
199,Mergus squamatus,PAL,ANSERIFORMES,Anatidae,Serreta china
200,Heteronetta atricapilla,SA,ANSERIFORMES,Anatidae,Pato rinconero
201,Nomonyx dominicus,"MA, SA",ANSERIFORMES,Anatidae,Malvasía enmascarada
202,Oxyura jamaicensis,"NA, MA",ANSERIFORMES,Anatidae,Malvasía canela
203,Oxyura ferruginea,SA,ANSERIFORMES,Anatidae,Malvasía andina
204,Oxyura vittata,SA,ANSERIFORMES,Anatidae,Malvasía argentina
205,Oxyura australis,AU,ANSERIFORMES,Anatidae,Malvasía australiana
206,Oxyura maccoa,AF,ANSERIFORMES,Anatidae,Malvasía maccoa
207,Oxyura leucocephala,PAL,ANSERIFORMES,Anatidae,Malvasía cabeciblanca
208,Biziura lobata,AU,ANSERIFORMES,Anatidae,Malvasía papuda
209,Alectura lathami,AU,GALLIFORMES,Megapodiidae,Talégalo cabecirrojo
210,Aepypodius arfakianus,AU,GALLIFORMES,Megapodiidae,Talégalo carunculado
211,Aepypodius bruijnii,AU,GALLIFORMES,Megapodiidae,Talégalo de la Waigeo
212,Talegalla cuvieri,AU,GALLIFORMES,Megapodiidae,Talégalo de Cuvier
213,Talegalla fuscirostris,AU,GALLIFORMES,Megapodiidae,Talégalo piquinegro
214,Talegalla jobiensis,AU,GALLIFORMES,Megapodiidae,Talégalo patirrojo
215,Leipoa ocellata,AU,GALLIFORMES,Megapodiidae,Talégalo leipoa
216,Macrocephalon maleo,AU,GALLIFORMES,Megapodiidae,Talégalo maleo
217,Eulipoa wallacei,AU,GALLIFORMES,Megapodiidae,Talégalo de Wallace
