,IOC,Breeding Range,Order,Family,Spanish
6385,Rhipidura samarensis,OR,PASSERIFORMES,Rhipiduridae,Abanico azul de las Bisayas
6386,Rhipidura cyaniceps,OR,PASSERIFORMES,Rhipiduridae,Abanico cabeciazul de Luzón
6387,Rhipidura sauli,OR,PASSERIFORMES,Rhipiduridae,Abanico cabeciazul de Tablas
6388,Rhipidura albiventris,OR,PASSERIFORMES,Rhipiduridae,Abanico cabeciazul de las Bisayas
6389,Rhipidura albicollis,OR,PASSERIFORMES,Rhipiduridae,Abanico gorjiblanco
6390,Rhipidura albogularis,OR,PASSERIFORMES,Rhipiduridae,Abanico pechipinto
6391,Rhipidura euryura,OR,PASSERIFORMES,Rhipiduridae,Abanico ventriblanco
6392,Rhipidura aureola,OR,PASSERIFORMES,Rhipiduridae,Abanico cejiblanco
6393,Rhipidura javanica,OR,PASSERIFORMES,Rhipiduridae,Abanico pío de la Sonda
6394,Rhipidura nigritorquis,OR,PASSERIFORMES,Rhipiduridae,Abanico pío de Filipinas
6395,Rhipidura perlata,OR,PASSERIFORMES,Rhipiduridae,Abanico perlado
6396,Rhipidura leucophrys,AU,PASSERIFORMES,Rhipiduridae,Abanico lavandera
6397,Rhipidura diluta,AU,PASSERIFORMES,Rhipiduridae,Abanico cabecipardo
6398,Rhipidura fuscorufa,AU,PASSERIFORMES,Rhipiduridae,Abanico colicanela
6399,Rhipidura rufiventris,AU,PASSERIFORMES,Rhipiduridae,Abanico de Timor
6400,Rhipidura kordensis,AU,PASSERIFORMES,Rhipiduridae,Abanico de Biak
6401,Rhipidura cockerelli,AU,PASSERIFORMES,Rhipiduridae,Abanico de Cockerell
6402,Rhipidura threnothorax,AU,PASSERIFORMES,Rhipiduridae,Abanico del matorral
6403,Rhipidura maculipectus,AU,PASSERIFORMES,Rhipiduridae,Abanico colipinto
6404,Rhipidura leucothorax,AU,PASSERIFORMES,Rhipiduridae,Abanico pechiblanco
6405,Rhipidura atra,AU,PASSERIFORMES,Rhipiduridae,Abanico negro
6406,Rhipidura hyperythra,AU,PASSERIFORMES,Rhipiduridae,Abanico ventrirrufo
6407,Rhipidura albolimbata,AU,PASSERIFORMES,Rhipiduridae,Abanico amistoso
6408,Rhipidura albiscapa,AU,PASSERIFORMES,Rhipiduridae,Abanico gris
6409,Rhipidura fuliginosa,AU,PASSERIFORMES,Rhipiduridae,Abanico maorí
6410,Rhipidura phasiana,AU,PASSERIFORMES,Rhipiduridae,Abanico de manglar
6411,Rhipidura drownei,AU,PASSERIFORMES,Rhipiduridae,Abanico de Bougainville
6412,Rhipidura tenebrosa,AU,PASSERIFORMES,Rhipiduridae,Abanico sombrío
6413,Rhipidura rennelliana,AU,PASSERIFORMES,Rhipiduridae,Abanico de Rennell
6414,Rhipidura verreauxi,PO,PASSERIFORMES,Rhipiduridae,Abanico moteado de Nueva Caledonia
6415,Rhipidura personata,PO,PASSERIFORMES,Rhipiduridae,Abanico de Kandavu
6416,Rhipidura nebulosa,PO,PASSERIFORMES,Rhipiduridae,Abanico samoano
6417,Rhipidura phoenicura,OR,PASSERIFORMES,Rhipiduridae,Abanico colirrojo
6418,Rhipidura nigrocinnamomea,OR,PASSERIFORMES,Rhipiduridae,Abanico rojinegro
6419,Rhipidura brachyrhyncha,AU,PASSERIFORMES,Rhipiduridae,Abanico dimorfo
6420,Rhipidura lepida,PO,PASSERIFORMES,Rhipiduridae,Abanico de Palaos
6421,Rhipidura dedemi,AU,PASSERIFORMES,Rhipiduridae,Abanico de van Dedem
6422,Rhipidura superflua,AU,PASSERIFORMES,Rhipiduridae,Abanico superfluo
6423,Rhipidura teysmanni,AU,PASSERIFORMES,Rhipiduridae,Abanico de Célebes
6424,Rhipidura habibiei,AU,PASSERIFORMES,Rhipiduridae,Abanico de Peleng
6425,Rhipidura sulaensis,AU,PASSERIFORMES,Rhipiduridae,Abanico de Taliabu
6426,Rhipidura opistherythra,AU,PASSERIFORMES,Rhipiduridae,Abanico de las Tanimbar
6427,Rhipidura rufidorsa,AU,PASSERIFORMES,Rhipiduridae,Abanico dorsirrufo
6428,Rhipidura dahli,AU,PASSERIFORMES,Rhipiduridae,Abanico de las Bismarck
6429,Rhipidura matthiae,AU,PASSERIFORMES,Rhipiduridae,Abanico de San Matías
6430,Rhipidura malaitae,AU,PASSERIFORMES,Rhipiduridae,Abanico de Malaita
6431,Rhipidura semirubra,AU,PASSERIFORMES,Rhipiduridae,Abanico de Manus
6432,Rhipidura rufifrons,"AU, PO",PASSERIFORMES,Rhipiduridae,Abanico rojizo
6433,Rhipidura kubaryi,PO,PASSERIFORMES,Rhipiduridae,Abanico de Ponapé
6434,Rhipidura dryas,AU,PASSERIFORMES,Rhipiduridae,Abanico de Arafura
6435,Chaetorhynchus papuensis,AU,PASSERIFORMES,Rhipiduridae,Drongo papú
6436,Eutrichomyias rowleyi,AU,PASSERIFORMES,Rhipiduridae,Monarca de Rowley
6437,Lamprolia klinesmithi,PO,PASSERIFORMES,Rhipiduridae,Monarca de Natewa
6438,Lamprolia victoriae,PO,PASSERIFORMES,Rhipiduridae,Monarca de Taveuni
6439,Hypothymis azurea,OR,PASSERIFORMES,Monarchidae,Monarca nuquinegro
6440,Hypothymis puella,AU,PASSERIFORMES,Monarchidae,Monarca azulado
6441,Hypothymis helenae,OR,PASSERIFORMES,Monarchidae,Monarca de Helena
6442,Hypothymis coelestis,OR,PASSERIFORMES,Monarchidae,Monarca celeste
6443,Trochocercus cyanomelas,AF,PASSERIFORMES,Monarchidae,Monarca morado meridional
6444,Trochocercus nitens,AF,PASSERIFORMES,Monarchidae,Monarca brillante
6445,Terpsiphone bedfordi,AF,PASSERIFORMES,Monarchidae,Monarca de Bedford
6446,Terpsiphone rufocinerea,AF,PASSERIFORMES,Monarchidae,Monarca del Congo
6447,Terpsiphone rufiventer,AF,PASSERIFORMES,Monarchidae,Monarca ventrirrojo
6448,Terpsiphone smithii,AF,PASSERIFORMES,Monarchidae,Monarca-colilargo de Annobón
6449,Terpsiphone batesi,AF,PASSERIFORMES,Monarchidae,Monarca de Bates
6450,Terpsiphone viridis,AF,PASSERIFORMES,Monarchidae,Monarca africano
6451,Terpsiphone paradisi,OR,PASSERIFORMES,Monarchidae,Monarca del paraíso indio
6452,Terpsiphone affinis,OR,PASSERIFORMES,Monarchidae,Monarca del paraíso oriental
6453,Terpsiphone floris,AU,PASSERIFORMES,Monarchidae,Monarca del paraíso de Flores
6454,Terpsiphone incei,OR,PASSERIFORMES,Monarchidae,Monarca del paraíso chino
6455,Terpsiphone atrocaudata,PAL,PASSERIFORMES,Monarchidae,Monarca japonés
6456,Terpsiphone cyanescens,OR,PASSERIFORMES,Monarchidae,Monarca de Palawan
6457,Terpsiphone cinnamomea,OR,PASSERIFORMES,Monarchidae,Monarca canelo meridional
6458,Terpsiphone atrochalybeia,AF,PASSERIFORMES,Monarchidae,Monarca de Santo Tomé
6459,Terpsiphone mutata,AF,PASSERIFORMES,Monarchidae,Monarca malgache
6460,Terpsiphone corvina,IO,PASSERIFORMES,Monarchidae,Monarca de las Seychelles
6461,Terpsiphone bourbonnensis,IO,PASSERIFORMES,Monarchidae,Monarca de las Mascareñas
6462,Chasiempis sclateri,PO,PASSERIFORMES,Monarchidae,Elepaio de Kauai
6463,Chasiempis ibidis,PO,PASSERIFORMES,Monarchidae,Elepaio de Oahu
6464,Chasiempis sandwichensis,PO,PASSERIFORMES,Monarchidae,Elepaio de Hawái
6465,Pomarea dimidiata,PO,PASSERIFORMES,Monarchidae,Monarca de Rarotonga
6466,Pomarea nigra,PO,PASSERIFORMES,Monarchidae,Monarca de Tahití
6467,Pomarea mendozae,PO,PASSERIFORMES,Monarchidae,Monarca de las Marquesas
6468,Pomarea mira,PO,PASSERIFORMES,Monarchidae,Monarca de Ua Pou
6469,Pomarea iphis,PO,PASSERIFORMES,Monarchidae,Monarca de Ua Huka
6470,Pomarea whitneyi,PO,PASSERIFORMES,Monarchidae,Monarca de Fatu Hiva
6471,Mayrornis schistaceus,AU,PASSERIFORMES,Monarchidae,Monarca pizarroso
6472,Mayrornis versicolor,PO,PASSERIFORMES,Monarchidae,Monarca versicolor
6473,Mayrornis lessoni,PO,PASSERIFORMES,Monarchidae,Monarca de Lesson
6474,Neolalage banksiana,AU,PASSERIFORMES,Monarchidae,Monarca de las Banks
6475,Clytorhynchus pachycephaloides,AU,PASSERIFORMES,Monarchidae,Monarca pardo
6476,Clytorhynchus vitiensis,PO,PASSERIFORMES,Monarchidae,Monarca de Fiyi
6477,Clytorhynchus nigrogularis,PO,PASSERIFORMES,Monarchidae,Monarca gorjinegro
6478,Clytorhynchus sanctaecrucis,PO,PASSERIFORMES,Monarchidae,Monarca de Santa Cruz
6479,Clytorhynchus hamlini,AU,PASSERIFORMES,Monarchidae,Monarca de la Rennell
6480,Metabolus rugensis,PO,PASSERIFORMES,Monarchidae,Monarca de la Truk
6481,Symposiachrus axillaris,AU,PASSERIFORMES,Monarchidae,Monarca negro
6482,Symposiachrus guttula,AU,PASSERIFORMES,Monarchidae,Monarca alimoteado
6483,Symposiachrus mundus,AU,PASSERIFORMES,Monarchidae,Monarca barbinegro
6484,Symposiachrus sacerdotum,AU,PASSERIFORMES,Monarchidae,Monarca de Flores
6485,Symposiachrus boanensis,AU,PASSERIFORMES,Monarchidae,Monarca de Boano
6486,Symposiachrus melanopterus,AU,PASSERIFORMES,Monarchidae,Louisiade Monarch
6487,Symposiachrus trivirgatus,AU,PASSERIFORMES,Monarchidae,Monarca de anteojos
6488,Symposiachrus bimaculatus,AU,PASSERIFORMES,Monarchidae,Moluccan Monarch
6489,Symposiachrus leucurus,AU,PASSERIFORMES,Monarchidae,Monarca coliblanco
6490,Symposiachrus everetti,AU,PASSERIFORMES,Monarchidae,Monarca de Everett
6491,Symposiachrus loricatus,AU,PASSERIFORMES,Monarchidae,Monarca de Buru
6492,Symposiachrus julianae,AU,PASSERIFORMES,Monarchidae,Monarca de Kofiau
6493,Symposiachrus brehmii,AU,PASSERIFORMES,Monarchidae,Monarca de Brehm
6494,Symposiachrus manadensis,AU,PASSERIFORMES,Monarchidae,Monarca encapuchado
6495,Symposiachrus infelix,AU,PASSERIFORMES,Monarchidae,Monarca de Manus
6496,Symposiachrus menckei,AU,PASSERIFORMES,Monarchidae,Monarca de San Matías
6497,Symposiachrus verticalis,AU,PASSERIFORMES,Monarchidae,Monarca de las Bismarck
6498,Symposiachrus barbatus,AU,PASSERIFORMES,Monarchidae,Monarca blanquinegro
6499,Symposiachrus browni,AU,PASSERIFORMES,Monarchidae,Monarca de Brown
6500,Symposiachrus vidua,AU,PASSERIFORMES,Monarchidae,Monarca acollarado
6501,Symposiachrus rubiensis,AU,PASSERIFORMES,Monarchidae,Monarca rufo
6502,Monarcha cinerascens,AU,PASSERIFORMES,Monarchidae,Monarca isleño
6503,Monarcha melanopsis,AU,PASSERIFORMES,Monarchidae,Monarca carinegro
6504,Monarcha frater,AU,PASSERIFORMES,Monarchidae,Monarca alinegro
6505,Monarcha erythrostictus,AU,PASSERIFORMES,Monarchidae,Monarca de la Bougainville
6506,Monarcha castaneiventris,AU,PASSERIFORMES,Monarchidae,Monarca ventricastaño
6507,Monarcha richardsii,AU,PASSERIFORMES,Monarchidae,Monarca de Richards
6508,Monarcha godeffroyi,PO,PASSERIFORMES,Monarchidae,Monarca de Yap
6509,Monarcha takatsukasae,PO,PASSERIFORMES,Monarchidae,Monarca de Tinian
6510,Carterornis leucotis,AU,PASSERIFORMES,Monarchidae,Monarca orejudo
6511,Carterornis pileatus,AU,PASSERIFORMES,Monarchidae,Monarca nuquiblanco
6512,Carterornis castus,AU,PASSERIFORMES,Monarchidae,Monarca de las Tanimbar
6513,Carterornis chrysomela,AU,PASSERIFORMES,Monarchidae,Monarca dorado
6514,Arses insularis,AU,PASSERIFORMES,Monarchidae,Monarca cuellirrufo
6515,Arses telescopthalmus,AU,PASSERIFORMES,Monarchidae,Monarca elegante
6516,Arses lorealis,AU,PASSERIFORMES,Monarchidae,Monarca de Cape York
6517,Arses kaupi,AU,PASSERIFORMES,Monarchidae,Monarca pío
6518,Grallina cyanoleuca,AU,PASSERIFORMES,Monarchidae,Grallina australiana
6519,Grallina bruijnii,AU,PASSERIFORMES,Monarchidae,Grallina papú
6520,Myiagra oceanica,PO,PASSERIFORMES,Monarchidae,Monarca de Truk
6521,Myiagra erythrops,PO,PASSERIFORMES,Monarchidae,Monarca de Palaos
6522,Myiagra pluto,PO,PASSERIFORMES,Monarchidae,Monarca de Ponapé
6523,Myiagra galeata,AU,PASSERIFORMES,Monarchidae,Monarca moluqueño
6524,Myiagra atra,AU,PASSERIFORMES,Monarchidae,Monarca de Biak
6525,Myiagra rubecula,AU,PASSERIFORMES,Monarchidae,Monarca plomizo
6526,Myiagra ferrocyanea,AU,PASSERIFORMES,Monarchidae,Monarca acerado
6527,Myiagra cervinicauda,AU,PASSERIFORMES,Monarchidae,Monarca de San Cristóbal ventriblanco
6528,Myiagra caledonica,AU,PASSERIFORMES,Monarchidae,Monarca melanesio
6529,Myiagra vanikorensis,PO,PASSERIFORMES,Monarchidae,Monarca de Vanikoro
6530,Myiagra albiventris,PO,PASSERIFORMES,Monarchidae,Monarca samoano
6531,Myiagra azureocapilla,PO,PASSERIFORMES,Monarchidae,Monarca crestiazul
6532,Myiagra castaneigularis,PO,PASSERIFORMES,Monarchidae,Monarca gorjicastaño
6533,Myiagra ruficollis,AU,PASSERIFORMES,Monarchidae,Monarca piquiancho
6534,Myiagra cyanoleuca,AU,PASSERIFORMES,Monarchidae,Monarca satinado
6535,Myiagra alecto,AU,PASSERIFORMES,Monarchidae,Monarca reluciente
6536,Myiagra hebetior,AU,PASSERIFORMES,Monarchidae,Monarca apagado
6537,Myiagra eichhorni,AU,PASSERIFORMES,Monarchidae,Monarca de Eichhorn
6538,Myiagra cervinicolor,AU,PASSERIFORMES,Monarchidae,Monarca cervuno
6539,Myiagra nana,AU,PASSERIFORMES,Monarchidae,Monarca chico
6540,Myiagra inquieta,AU,PASSERIFORMES,Monarchidae,Monarca inquieto
6541,Platylophus galericulatus,OR,PASSERIFORMES,Platylophidae,Arrendajo crestado
6542,Eurocephalus ruppelli,AF,PASSERIFORMES,Laniidae,Alcaudón culiblanco
6543,Eurocephalus anguitimens,AF,PASSERIFORMES,Laniidae,Alcaudón coroniblanco
6544,Lanius corvinus,AF,PASSERIFORMES,Laniidae,Alcaudón piquigualdo
6545,Lanius melanoleucus,AF,PASSERIFORMES,Laniidae,Alcaudón pío
6546,Lanius cabanisi,AF,PASSERIFORMES,Laniidae,Alcaudón colilargo
6547,Lanius excubitoroides,AF,PASSERIFORMES,Laniidae,Alcaudón dorsigrís
6548,Lanius dorsalis,AF,PASSERIFORMES,Laniidae,Alcaudón de los Taita
6549,Lanius excubitor,"PAL, AF",PASSERIFORMES,Laniidae,Alcaudón norteño
6550,Lanius somalicus,AF,PASSERIFORMES,Laniidae,Alcaudón somalí
6551,Lanius ludovicianus,"NA, MA",PASSERIFORMES,Laniidae,Alcaudón americano
6552,Lanius giganteus,PAL,PASSERIFORMES,Laniidae,Alcaudón gigante
6553,Lanius sphenocercus,PAL,PASSERIFORMES,Laniidae,Alcaudón chino
6554,Lanius meridionalis,PAL,PASSERIFORMES,Laniidae,Alcaudón real
6555,Lanius borealis,"NA, PAL",PASSERIFORMES,Laniidae,Alcaudón boreal
6556,Lanius nubicus,PAL,PASSERIFORMES,Laniidae,Alcaudón núbico
6557,Lanius newtoni,AF,PASSERIFORMES,Laniidae,Alcaudón de Santo Tomé
6558,Lanius humeralis,AF,PASSERIFORMES,Laniidae,Alcaudón fiscal norteño
6559,Lanius gubernator,AF,PASSERIFORMES,Laniidae,Alcaudón de Emin
6560,Lanius mackinnoni,AF,PASSERIFORMES,Laniidae,Alcaudón de Mackinnon
6561,Lanius souzae,AF,PASSERIFORMES,Laniidae,Alcaudón de Souza
6562,Lanius collaris,AF,PASSERIFORMES,Laniidae,Alcaudón fiscal sureño
6563,Lanius minor,PAL,PASSERIFORMES,Laniidae,Alcaudón chico
6564,Lanius senator,PAL,PASSERIFORMES,Laniidae,Alcaudón común
6565,Lanius collurioides,OR,PASSERIFORMES,Laniidae,Alcaudón birmano
6566,Lanius tigrinus,PAL,PASSERIFORMES,Laniidae,Alcaudón tigre
6567,Lanius vittatus,PAL,PASSERIFORMES,Laniidae,Alcaudón dorsicastaño
6568,Lanius isabellinus,PAL,PASSERIFORMES,Laniidae,Alcaudón isabel
6569,Lanius collurio,PAL,PASSERIFORMES,Laniidae,Alcaudón dorsirrojo
6570,Lanius phoenicuroides,OR,PASSERIFORMES,Laniidae,Alcaudón colirrojo
6571,Lanius validirostris,OR,PASSERIFORMES,Laniidae,Alcaudón filipino
6572,Lanius cristatus,PAL,PASSERIFORMES,Laniidae,Alcaudón pardo
6573,Lanius bucephalus,PAL,PASSERIFORMES,Laniidae,Alcaudón bucéfalo
6574,Lanius schach,"OR, AU",PASSERIFORMES,Laniidae,Alcaudón schach
6575,Lanius tephronotus,PAL,PASSERIFORMES,Laniidae,Alcaudón tibetano
6576,Platysmurus leucopterus,OR,PASSERIFORMES,Corvidae,Urraca negra malaya
6577,Platysmurus aterrimus,OR,PASSERIFORMES,Corvidae,Urraca negra de Borneo
6578,Perisoreus infaustus,PAL,PASSERIFORMES,Corvidae,Arrendajo siberiano
6579,Perisoreus internigrans,PAL,PASSERIFORMES,Corvidae,Arrendajo de Sichuan
6580,Cyanolyca armillata,SA,PASSERIFORMES,Corvidae,Chara collareja
6581,Cyanolyca viridicyanus,SA,PASSERIFORMES,Corvidae,Chara andina
6582,Cyanolyca turcosa,SA,PASSERIFORMES,Corvidae,Chara turquesa
6583,Cyanolyca pulchra,SA,PASSERIFORMES,Corvidae,Chara hermosa
6584,Cyanolyca cucullata,MA,PASSERIFORMES,Corvidae,Chara coroniazul
6585,Cyanolyca pumilo,MA,PASSERIFORMES,Corvidae,Chara gorjinegra
6586,Cyanolyca nanus,MA,PASSERIFORMES,Corvidae,Chara enana
6587,Cyanolyca mirabilis,MA,PASSERIFORMES,Corvidae,Chara de Omiltemi
6588,Cyanolyca argentigula,MA,PASSERIFORMES,Corvidae,Chara gorjiplateada
6589,Cyanocorax melanocyaneus,MA,PASSERIFORMES,Corvidae,Chara centroamericana
6590,Cyanocorax sanblasianus,MA,PASSERIFORMES,Corvidae,Chara de San Blas
6591,Cyanocorax yucatanicus,MA,PASSERIFORMES,Corvidae,Chara yucateca
6592,Cyanocorax beecheii,MA,PASSERIFORMES,Corvidae,Chara de Beechey
6593,Cyanocorax violaceus,SA,PASSERIFORMES,Corvidae,Chara violácea
6594,Cyanocorax caeruleus,SA,PASSERIFORMES,Corvidae,Chara cerúlea
6595,Cyanocorax cyanomelas,SA,PASSERIFORMES,Corvidae,Chara morada
6596,Cyanocorax cristatellus,SA,PASSERIFORMES,Corvidae,Chara crestada
6597,Cyanocorax dickeyi,MA,PASSERIFORMES,Corvidae,Chara pinta
6598,Cyanocorax affinis,"MA, SA",PASSERIFORMES,Corvidae,Chara pechinegra
6599,Cyanocorax mystacalis,SA,PASSERIFORMES,Corvidae,Chara coliblanca
6600,Cyanocorax cayanus,SA,PASSERIFORMES,Corvidae,Chara de Cayena
6601,Cyanocorax heilprini,SA,PASSERIFORMES,Corvidae,Chara nuquiazul
6602,Cyanocorax chrysops,SA,PASSERIFORMES,Corvidae,Chara moñuda
6603,Cyanocorax cyanopogon,SA,PASSERIFORMES,Corvidae,Chara nuquiblanca
6604,Cyanocorax luxuosus,MA,PASSERIFORMES,Corvidae,Chara verde
6605,Cyanocorax yncas,SA,PASSERIFORMES,Corvidae,Chara verde
6606,Psilorhinus morio,MA,PASSERIFORMES,Corvidae,Chara papán
6607,Calocitta colliei,MA,PASSERIFORMES,Corvidae,Urraca hermosa carinegra
6608,Calocitta formosa,MA,PASSERIFORMES,Corvidae,Urraca hermosa cariblanca
6609,Cyanocitta stelleri,"NA, MA",PASSERIFORMES,Corvidae,Chara de Steller
6610,Aphelocoma wollweberi,"NA, MA",PASSERIFORMES,Corvidae,Chara mexicana
6611,Aphelocoma ultramarina,MA,PASSERIFORMES,Corvidae,Chara ultramarina
6612,Aphelocoma unicolor,MA,PASSERIFORMES,Corvidae,Chara unicolor
6613,Aphelocoma californica,"NA, MA",PASSERIFORMES,Corvidae,Chara californiana
6614,Aphelocoma woodhouseii,"NA, MA",PASSERIFORMES,Corvidae,Woodhouse's Scrub Jay
6615,Garrulus glandarius,"PAL, OR",PASSERIFORMES,Corvidae,Arrendajo euroasiático
6616,Garrulus lanceolatus,PAL,PASSERIFORMES,Corvidae,Arrendajo cabecinegro
6617,Garrulus lidthi,PAL,PASSERIFORMES,Corvidae,Arrendajo de Lidth
6618,Cyanopica cyanus,PAL,PASSERIFORMES,Corvidae,Rabilargo asiático
6619,Cyanopica cooki,PAL,PASSERIFORMES,Corvidae,Rabilargo ibérico
6620,Urocissa ornata,OR,PASSERIFORMES,Corvidae,Urraca cingalesa
6621,Urocissa caerulea,OR,PASSERIFORMES,Corvidae,Urraca de Formosa
6622,Urocissa flavirostris,OR,PASSERIFORMES,Corvidae,Urraca piquigualda
6623,Urocissa erythroryncha,OR,PASSERIFORMES,Corvidae,Urraca piquirroja
6624,Urocissa whiteheadi,OR,PASSERIFORMES,Corvidae,Urraca de Hainan
6625,Cissa chinensis,OR,PASSERIFORMES,Corvidae,Urraca verde
6626,Cissa hypoleuca,OR,PASSERIFORMES,Corvidae,Urraca ventrigualda
6627,Cissa thalassina,OR,PASSERIFORMES,Corvidae,Urraca colicorta de Java
6628,Cissa jefferyi,OR,PASSERIFORMES,Corvidae,Urraca colicorta de Borneo
6629,Dendrocitta vagabunda,OR,PASSERIFORMES,Corvidae,Urraca vagabunda
6630,Dendrocitta occipitalis,OR,PASSERIFORMES,Corvidae,Urraca de Sumatra
6631,Dendrocitta cinerascens,OR,PASSERIFORMES,Corvidae,Urraca de Borneo
6632,Dendrocitta formosae,OR,PASSERIFORMES,Corvidae,Urraca gris
6633,Dendrocitta leucogastra,OR,PASSERIFORMES,Corvidae,Urraca ventriblanca
6634,Dendrocitta frontalis,OR,PASSERIFORMES,Corvidae,Urraca acollarada
6635,Dendrocitta bayleii,OR,PASSERIFORMES,Corvidae,Urraca de las Andamán
6636,Crypsirina temia,OR,PASSERIFORMES,Corvidae,Urraca bronceada
6637,Crypsirina cucullata,OR,PASSERIFORMES,Corvidae,Urraca encapuchada
6638,Temnurus temnurus,OR,PASSERIFORMES,Corvidae,Urraca de raquetas
6639,Pica pica,PAL,PASSERIFORMES,Corvidae,Urraca común
6640,Pica mauritanica,AF,PASSERIFORMES,Corvidae,Urraca magrebí
6641,Pica asirensis,PAL,PASSERIFORMES,Corvidae,Urraca árabe
6642,Pica bottanensis,OR,PASSERIFORMES,Corvidae,Urraca del himalaya
6643,Pica serica,OR,PASSERIFORMES,Corvidae,Urraca oriental
6644,Zavattariornis stresemanni,AF,PASSERIFORMES,Corvidae,Urraquita de Stresemann
6645,Podoces hendersoni,PAL,PASSERIFORMES,Corvidae,Arrendajo terrestre mongol
6646,Podoces biddulphi,PAL,PASSERIFORMES,Corvidae,Arrendajo terrestre de Xinjiang
6647,Podoces panderi,PAL,PASSERIFORMES,Corvidae,Arrendajo terrestre del Turquestán
6648,Podoces pleskei,PAL,PASSERIFORMES,Corvidae,Arrendajo terrestre iraní
6649,Nucifraga caryocatactes,PAL,PASSERIFORMES,Corvidae,Cascanueces norteño
6650,Nucifraga multipunctata,PAL,PASSERIFORMES,Corvidae,Cascanueces del Himalaya
6651,Pyrrhocorax pyrrhocorax,PAL,PASSERIFORMES,Corvidae,Chova piquirroja
6652,Pyrrhocorax graculus,PAL,PASSERIFORMES,Corvidae,Chova piquigualda
6653,Ptilostomus afer,AF,PASSERIFORMES,Corvidae,Piapiac
6654,Coloeus monedula,PAL,PASSERIFORMES,Corvidae,Grajilla occidental
6655,Coloeus dauuricus,PAL,PASSERIFORMES,Corvidae,Grajilla oriental
6656,Corvus splendens,OR,PASSERIFORMES,Corvidae,Cuervo indio
6657,Corvus moneduloides,AU,PASSERIFORMES,Corvidae,Cuervo de Nueva Caledonia
6658,Corvus typicus,AU,PASSERIFORMES,Corvidae,Cuervo de Célebes
6659,Corvus unicolor,AU,PASSERIFORMES,Corvidae,Cuervo de las Banggai
6660,Corvus enca,"OR, AU",PASSERIFORMES,Corvidae,Cuervo picofino
6661,Corvus samarensis,OR,PASSERIFORMES,Corvidae,Small Crow
6662,Corvus pusillus,OR,PASSERIFORMES,Corvidae,Palawan Crow
6663,Corvus violaceus,AU,PASSERIFORMES,Corvidae,Cuervo violáceo
6664,Corvus florensis,AU,PASSERIFORMES,Corvidae,Cuervo de Flores
6665,Corvus kubaryi,PO,PASSERIFORMES,Corvidae,Cuervo de las Marianas
6666,Corvus validus,AU,PASSERIFORMES,Corvidae,Cuervo moluqueño
6667,Corvus woodfordi,AU,PASSERIFORMES,Corvidae,Cuervo piquiblanco
6668,Corvus meeki,AU,PASSERIFORMES,Corvidae,Cuervo de Bougainville
6669,Corvus fuscicapillus,AU,PASSERIFORMES,Corvidae,Cuervo cabecipardo
6670,Corvus tristis,AU,PASSERIFORMES,Corvidae,Cuervo gris
6671,Corvus capensis,AF,PASSERIFORMES,Corvidae,Cuervo de El Cabo
6672,Corvus frugilegus,PAL,PASSERIFORMES,Corvidae,Graja
6673,Corvus imparatus,"NA, MA",PASSERIFORMES,Corvidae,Cuervo tamaulipeco
6674,Corvus sinaloae,MA,PASSERIFORMES,Corvidae,Cuervo sinaloense
6675,Corvus hawaiiensis,PO,PASSERIFORMES,Corvidae,Cuervo hawaiano
6676,Corvus corone,PAL,PASSERIFORMES,Corvidae,Corneja negra
6677,Corvus cornix,PAL,PASSERIFORMES,Corvidae,Corneja Cenicienta
6678,Corvus torquatus,"PAL, OR",PASSERIFORMES,Corvidae,Cuervo acollarado
6679,Corvus macrorhynchos,"PAL, OR",PASSERIFORMES,Corvidae,Cuervo picudo
6680,Corvus levaillantii,OR,PASSERIFORMES,Corvidae,Eastern Jungle Crow
6681,Corvus culminatus,OR,PASSERIFORMES,Corvidae,Indian Jungle Crow
6682,Corvus orru,AU,PASSERIFORMES,Corvidae,Cuervo de Torres
6683,Corvus insularis,AU,PASSERIFORMES,Corvidae,Cuervo de las Bismarck
6684,Corvus bennetti,AU,PASSERIFORMES,Corvidae,Cuervo de Bennett
6685,Corvus tasmanicus,AU,PASSERIFORMES,Corvidae,Cuervo de Tasmania
6686,Corvus mellori,AU,PASSERIFORMES,Corvidae,Cuervo de Mellor
6687,Corvus coronoides,AU,PASSERIFORMES,Corvidae,Cuervo australiano
6688,Corvus albus,AF,PASSERIFORMES,Corvidae,Cuervo pío
6689,Corvus ruficollis,"AF, PAL",PASSERIFORMES,Corvidae,Cuervo desertícola
6690,Corvus edithae,AF,PASSERIFORMES,Corvidae,Cuervo etíope
6691,Corvus corax,"NA, MA, PAL",PASSERIFORMES,Corvidae,Cuervo grande
6692,Corvus cryptoleucus,"NA, MA",PASSERIFORMES,Corvidae,Cuervo llanero
6693,Corvus rhipidurus,"AF, PAL",PASSERIFORMES,Corvidae,Cuervo colicorto
6694,Corvus albicollis,AF,PASSERIFORMES,Corvidae,Cuervo cuelliblanco
6695,Corvus crassirostris,AF,PASSERIFORMES,Corvidae,Cuervo picogordo
6696,Corcorax melanorhamphos,AU,PASSERIFORMES,Corcoracidae,Corvino negro
6697,Struthidea cinerea,AU,PASSERIFORMES,Corcoracidae,Corvino apóstol
6698,Melampitta lugubris,AU,PASSERIFORMES,Melampittidae,Melampita chica
6699,Megalampitta gigantea,AU,PASSERIFORMES,Melampittidae,Melampita grande
