,IOC,Breeding Range,Order,Family,Croatian
4566,Synallaxis unirufa,SA,PASSERIFORMES,Furnariidae,planinska trnorepa
4567,Synallaxis castanea,SA,PASSERIFORMES,Furnariidae,mirandska trnorepa
4568,Synallaxis cinnamomea,SA,PASSERIFORMES,Furnariidae,prugastoprsa trnorepa
4569,Synallaxis rutilans,SA,PASSERIFORMES,Furnariidae,šumska trnorepa
4570,Synallaxis cherriei,SA,PASSERIFORMES,Furnariidae,crnokrila trnorepa
4571,Euchrepomis callinota,"MA, SA",PASSERIFORMES,Thamnophilidae,maslinastoleđa mravarica
4572,Euchrepomis humeralis,SA,PASSERIFORMES,Thamnophilidae,riđoramena mravarica
4573,Euchrepomis sharpei,SA,PASSERIFORMES,Thamnophilidae,žutoramena mravarica
4574,Euchrepomis spodioptila,SA,PASSERIFORMES,Thamnophilidae,pepeljastokrila mravarica
4575,Myrmornis torquata,"MA, SA",PASSERIFORMES,Thamnophilidae,ljuskastovrata mravarica
4576,Pygiptila stellaris,SA,PASSERIFORMES,Thamnophilidae,sivoleđa mravarica
4577,Thamnistes anabatinus,"MA, SA",PASSERIFORMES,Thamnophilidae,riđa mravarica
4578,Thamnistes rufescens,SA,PASSERIFORMES,Thamnophilidae,Rufescent Antshrike
4579,Microrhopias quixensis,"MA, SA",PASSERIFORMES,Thamnophilidae,zvjezdastokrila mravarica
4580,Neoctantes niger,SA,PASSERIFORMES,Thamnophilidae,crna mravarica
4581,Clytoctantes alixii,SA,PASSERIFORMES,Thamnophilidae,krivokljuna mravarica
4582,Clytoctantes atrogularis,SA,PASSERIFORMES,Thamnophilidae,rondonska mravarica
4583,Epinecrophylla fulviventris,"MA, SA",PASSERIFORMES,Thamnophilidae,smeđotrba mravarica
4584,Epinecrophylla ornata,SA,PASSERIFORMES,Thamnophilidae,pjegavoramena mravarica
4585,Epinecrophylla erythrura,SA,PASSERIFORMES,Thamnophilidae,riđorepa mravarica
4586,Epinecrophylla leucophthalma,SA,PASSERIFORMES,Thamnophilidae,bjelooka mravarica
4587,Epinecrophylla gutturalis,SA,PASSERIFORMES,Thamnophilidae,smeđa mravarica
4588,Epinecrophylla haematonota,SA,PASSERIFORMES,Thamnophilidae,pjegavogrla mravarica
4589,Epinecrophylla spodionota,SA,PASSERIFORMES,Thamnophilidae,brdska mravarica
4590,Epinecrophylla amazonica,SA,PASSERIFORMES,Thamnophilidae,biserastogrla mravarica
4591,Myrmorchilus strigilatus,SA,PASSERIFORMES,Thamnophilidae,pozemna mravarica
4592,Aprositornis disjuncta,SA,PASSERIFORMES,Thamnophilidae,dvobojna mravarica
4593,Ammonastes pelzelni,SA,PASSERIFORMES,Thamnophilidae,pepeljastotrba mravarica
4594,Myrmophylax atrothorax,SA,PASSERIFORMES,Thamnophilidae,škriljastolica mravarica
4595,Myrmotherula ignota,"MA, SA",PASSERIFORMES,Thamnophilidae,brkata mravarica
4596,Myrmotherula brachyura,SA,PASSERIFORMES,Thamnophilidae,mala mravarica
4597,Myrmotherula surinamensis,SA,PASSERIFORMES,Thamnophilidae,surinamska mravarica
4598,Myrmotherula multostriata,SA,PASSERIFORMES,Thamnophilidae,prugastotrba mravarica
4599,Myrmotherula pacifica,"MA, SA",PASSERIFORMES,Thamnophilidae,pacifička mravarica
4600,Myrmotherula cherriei,SA,PASSERIFORMES,Thamnophilidae,prugastoprsa mravarica
4601,Myrmotherula klagesi,SA,PASSERIFORMES,Thamnophilidae,manauška mravarica
4602,Myrmotherula longicauda,SA,PASSERIFORMES,Thamnophilidae,prugastorepa mravarica
4603,Myrmotherula ambigua,SA,PASSERIFORMES,Thamnophilidae,žutotrba mravarica
4604,Myrmotherula sclateri,SA,PASSERIFORMES,Thamnophilidae,kratkorepa mravarica
4605,Myrmotherula axillaris,"MA, SA",PASSERIFORMES,Thamnophilidae,bjeloboka mravarica
4606,Myrmotherula luctuosa,SA,PASSERIFORMES,Thamnophilidae,srebrnastoboka mravarica
4607,Myrmotherula schisticolor,"MA, SA",PASSERIFORMES,Thamnophilidae,sinja mravarica
4608,Myrmotherula sunensis,SA,PASSERIFORMES,Thamnophilidae,srebrnasta mravarica
4609,Myrmotherula minor,SA,PASSERIFORMES,Thamnophilidae,atlantska mravarica
4610,Myrmotherula longipennis,SA,PASSERIFORMES,Thamnophilidae,dugokrila mravarica
4611,Myrmotherula urosticta,SA,PASSERIFORMES,Thamnophilidae,bahijska mravarica
4612,Myrmotherula iheringi,SA,PASSERIFORMES,Thamnophilidae,biserastokrila mravarica
4613,Myrmotherula fluminensis,SA,PASSERIFORMES,Thamnophilidae,Rio de Janeiro Antwren
4614,Myrmotherula grisea,SA,PASSERIFORMES,Thamnophilidae,jungaška mravarica
4615,Myrmotherula unicolor,SA,PASSERIFORMES,Thamnophilidae,sura mravarica
4616,Myrmotherula snowi,SA,PASSERIFORMES,Thamnophilidae,alagoaška mravarica
4617,Myrmotherula behni,SA,PASSERIFORMES,Thamnophilidae,tamnokrila mravarica
4618,Myrmotherula menetriesii,SA,PASSERIFORMES,Thamnophilidae,tropruga mravarica
4619,Myrmotherula assimilis,SA,PASSERIFORMES,Thamnophilidae,riječna mravarica
4620,Terenura maculata,SA,PASSERIFORMES,Thamnophilidae,maslinastorepa mravarica
4621,Terenura sicki,SA,PASSERIFORMES,Thamnophilidae,narančastotrba mravarica
4622,Myrmochanes hemileucus,SA,PASSERIFORMES,Thamnophilidae,crno-bijela mravarica
4623,Formicivora iheringi,SA,PASSERIFORMES,Thamnophilidae,tankokljuna mravarica
4624,Formicivora erythronotos,SA,PASSERIFORMES,Thamnophilidae,kestenjastoleđa mravarica
4625,Formicivora grisea,SA,PASSERIFORMES,Thamnophilidae,smeđokapa mravarica
4626,Formicivora intermedia,SA,PASSERIFORMES,Thamnophilidae,klinastorepa mravarica
4627,Formicivora serrana,SA,PASSERIFORMES,Thamnophilidae,seranska mravarica
4628,Formicivora melanogaster,SA,PASSERIFORMES,Thamnophilidae,crnotrba mravarica
4629,Formicivora rufa,SA,PASSERIFORMES,Thamnophilidae,cimetastoboka mravarica
4630,Formicivora grantsaui,SA,PASSERIFORMES,Thamnophilidae,crno-smeđa mravarica
4631,Formicivora acutirostris,SA,PASSERIFORMES,Thamnophilidae,močvarna mravarica
4632,Dichrozona cincta,SA,PASSERIFORMES,Thamnophilidae,dugokljuna mravarica
4633,Rhopias gularis,SA,PASSERIFORMES,Thamnophilidae,zvjezdastogrla mravarica
4634,Isleria hauxwelli,SA,PASSERIFORMES,Thamnophilidae,dvopruga mravarica
4635,Isleria guttata,SA,PASSERIFORMES,Thamnophilidae,sivo-smeđa mravarica
4636,Thamnomanes ardesiacus,SA,PASSERIFORMES,Thamnophilidae,tamnogrla mravarica
4637,Thamnomanes saturninus,SA,PASSERIFORMES,Thamnophilidae,crnogrla mravarica
4638,Thamnomanes caesius,SA,PASSERIFORMES,Thamnophilidae,jednobojna mravarica
4639,Thamnomanes schistogynus,SA,PASSERIFORMES,Thamnophilidae,selvaška mravarica
4640,Megastictus margaritatus,SA,PASSERIFORMES,Thamnophilidae,biserasta mravarica
4641,Sakesphoroides cristatus,SA,PASSERIFORMES,Thamnophilidae,srebrnastolica mravarica
4642,Herpsilochmus pileatus,SA,PASSERIFORMES,Thamnophilidae,salvadorska mravarica
4643,Herpsilochmus atricapillus,SA,PASSERIFORMES,Thamnophilidae,pepeljastoleđa mravarica
4644,Herpsilochmus stotzi,SA,PASSERIFORMES,Thamnophilidae,aripuanska mravarica
4645,Herpsilochmus praedictus,SA,PASSERIFORMES,Thamnophilidae,Predicted Antwren
4646,Herpsilochmus motacilloides,SA,PASSERIFORMES,Thamnophilidae,peruanska mravarica
4647,Herpsilochmus parkeri,SA,PASSERIFORMES,Thamnophilidae,sanmartinska mravarica
4648,Herpsilochmus sticturus,SA,PASSERIFORMES,Thamnophilidae,olovastoleđa mravarica
4649,Herpsilochmus dugandi,SA,PASSERIFORMES,Thamnophilidae,majnaška mravarica
4650,Herpsilochmus stictocephalus,SA,PASSERIFORMES,Thamnophilidae,biserastorepa mravarica
4651,Herpsilochmus dorsimaculatus,SA,PASSERIFORMES,Thamnophilidae,obrvasta mravarica
4652,Herpsilochmus roraimae,SA,PASSERIFORMES,Thamnophilidae,roraimska mravarica
4653,Herpsilochmus pectoralis,SA,PASSERIFORMES,Thamnophilidae,svjetlogrla mravarica
4654,Herpsilochmus longirostris,SA,PASSERIFORMES,Thamnophilidae,tamnokapa mravarica
4655,Herpsilochmus gentryi,SA,PASSERIFORMES,Thamnophilidae,loretska mravarica
4656,Herpsilochmus axillaris,SA,PASSERIFORMES,Thamnophilidae,pjegavokapa mravarica
4657,Herpsilochmus frater,"MA, SA",PASSERIFORMES,Thamnophilidae,žućkastoprsa mravarica
4658,Herpsilochmus rufimarginatus,SA,PASSERIFORMES,Thamnophilidae,žutoprsa mravarica
4659,Dysithamnus stictothorax,SA,PASSERIFORMES,Thamnophilidae,pjegavoprsa mravarica
4660,Dysithamnus mentalis,"MA, SA",PASSERIFORMES,Thamnophilidae,sivoglava mravarica
4661,Dysithamnus striaticeps,MA,PASSERIFORMES,Thamnophilidae,prugastokapa mravarica
4662,Dysithamnus puncticeps,"MA, SA",PASSERIFORMES,Thamnophilidae,pjegavoglava mravarica
4663,Dysithamnus xanthopterus,SA,PASSERIFORMES,Thamnophilidae,pjegavolica mravarica
4664,Dysithamnus occidentalis,SA,PASSERIFORMES,Thamnophilidae,mrka mravarica
4665,Dysithamnus plumbeus,SA,PASSERIFORMES,Thamnophilidae,olovasta mravarica
4666,Dysithamnus leucostictus,SA,PASSERIFORMES,Thamnophilidae,bjelopruga mravarica
4667,Thamnophilus bernardi,SA,PASSERIFORMES,Thamnophilidae,ogrličasta mravarica
4668,Thamnophilus melanonotus,SA,PASSERIFORMES,Thamnophilidae,prugastokrila mravarica
4669,Thamnophilus melanothorax,SA,PASSERIFORMES,Thamnophilidae,gvajanska mravarica
4670,Thamnophilus doliatus,"MA, SA",PASSERIFORMES,Thamnophilidae,prugasta mravarica
4671,Thamnophilus zarumae,SA,PASSERIFORMES,Thamnophilidae,prugastoleđa mravarica
4672,Thamnophilus multistriatus,SA,PASSERIFORMES,Thamnophilidae,prugastoglava mravarica
4673,Thamnophilus tenuepunctatus,SA,PASSERIFORMES,Thamnophilidae,andska mravarica
4674,Thamnophilus palliatus,SA,PASSERIFORMES,Thamnophilidae,riđoleđa mravarica
4675,Thamnophilus bridgesi,MA,PASSERIFORMES,Thamnophilidae,kostarička mravarica
4676,Thamnophilus nigriceps,"MA, SA",PASSERIFORMES,Thamnophilidae,kolumbijska mravarica
4677,Thamnophilus praecox,SA,PASSERIFORMES,Thamnophilidae,ekvadorska mravarica
4678,Thamnophilus nigrocinereus,SA,PASSERIFORMES,Thamnophilidae,krupnokljuna mravarica
4679,Thamnophilus cryptoleucus,SA,PASSERIFORMES,Thamnophilidae,amazonska mravarica
4680,Thamnophilus aethiops,SA,PASSERIFORMES,Thamnophilidae,bjeloramena mravarica
4681,Thamnophilus unicolor,SA,PASSERIFORMES,Thamnophilidae,planinska mravarica
4682,Thamnophilus schistaceus,SA,PASSERIFORMES,Thamnophilidae,siva mravarica
4683,Thamnophilus murinus,SA,PASSERIFORMES,Thamnophilidae,sivotrba mravarica
4684,Thamnophilus aroyae,SA,PASSERIFORMES,Thamnophilidae,bolivijska mravarica
4685,Thamnophilus atrinucha,"MA, SA",PASSERIFORMES,Thamnophilidae,crnokapa mravarica
4686,Thamnophilus punctatus,SA,PASSERIFORMES,Thamnophilidae,pjegavokrila mravarica
4687,Thamnophilus stictocephalus,SA,PASSERIFORMES,Thamnophilidae,pepeljasta mravarica
4688,Thamnophilus sticturus,SA,PASSERIFORMES,Thamnophilidae,pjegavorepa mravarica
4689,Thamnophilus pelzelni,SA,PASSERIFORMES,Thamnophilidae,bjelopjegava mravarica
4690,Thamnophilus ambiguus,SA,PASSERIFORMES,Thamnophilidae,soretamska mravarica
4691,Thamnophilus amazonicus,SA,PASSERIFORMES,Thamnophilidae,škriljasta mravarica
4692,Thamnophilus divisorius,SA,PASSERIFORMES,Thamnophilidae,akreska mravarica
4693,Thamnophilus insignis,SA,PASSERIFORMES,Thamnophilidae,tepujska mravarica
4694,Thamnophilus caerulescens,SA,PASSERIFORMES,Thamnophilidae,tamnooka mravarica
4695,Thamnophilus torquatus,SA,PASSERIFORMES,Thamnophilidae,riđokrila mravarica
4696,Thamnophilus ruficapillus,SA,PASSERIFORMES,Thamnophilidae,riđokapa mravarica
4697,Sakesphorus canadensis,SA,PASSERIFORMES,Thamnophilidae,krunata mravarica
4698,Sakesphorus luctuosus,SA,PASSERIFORMES,Thamnophilidae,kudrava mravarica
4699,Radinopsyche sellowi,SA,PASSERIFORMES,Thamnophilidae,prugastoramena mravarica
4700,Biatas nigropectus,SA,PASSERIFORMES,Thamnophilidae,bjelogrla mravarica
4701,Cymbilaimus lineatus,"MA, SA",PASSERIFORMES,Thamnophilidae,crvenooka mravarica
4702,Cymbilaimus sanctaemariae,SA,PASSERIFORMES,Thamnophilidae,bambusova mravarica
4703,Taraba major,"MA, SA",PASSERIFORMES,Thamnophilidae,bjelotrba mravarica
4704,Mackenziaena leachii,SA,PASSERIFORMES,Thamnophilidae,dugorepa mravarica
4705,Mackenziaena severa,SA,PASSERIFORMES,Thamnophilidae,kukmasta mravarica
4706,Frederickena viridis,SA,PASSERIFORMES,Thamnophilidae,crnoprsa mravarica
4707,Frederickena unduliger,SA,PASSERIFORMES,Thamnophilidae,pjegava mravarica
4708,Frederickena fulva,SA,PASSERIFORMES,Thamnophilidae,Fulvous Antshrike
4709,Hypoedaleus guttatus,SA,PASSERIFORMES,Thamnophilidae,pjegavoleđa mravarica
4710,Batara cinerea,SA,PASSERIFORMES,Thamnophilidae,velika mravarica
4711,Xenornis setifrons,"MA, SA",PASSERIFORMES,Thamnophilidae,panamska mravarica
4712,Pithys albifrons,SA,PASSERIFORMES,Thamnophilidae,dvokresta mravarica
4713,Pithys castaneus,SA,PASSERIFORMES,Thamnophilidae,moronska mravarica
4714,Phaenostictus mcleannani,"MA, SA",PASSERIFORMES,Thamnophilidae,gololica mravarica
4715,Gymnopithys bicolor,"MA, SA",PASSERIFORMES,Thamnophilidae,smeđoboka mravarica
4716,Gymnopithys leucaspis,SA,PASSERIFORMES,Thamnophilidae,smeđoleđa mravarica
4717,Gymnopithys rufigula,SA,PASSERIFORMES,Thamnophilidae,riđogrla mravarica
4718,Oneillornis salvini,SA,PASSERIFORMES,Thamnophilidae,širokorepa mravarica
4719,Oneillornis lunulatus,SA,PASSERIFORMES,Thamnophilidae,tamnorepa mravarica
4720,Rhegmatorhina gymnops,SA,PASSERIFORMES,Thamnophilidae,kačimpska mravarica
4721,Rhegmatorhina berlepschi,SA,PASSERIFORMES,Thamnophilidae,krupnooka mravarica
4722,Rhegmatorhina hoffmannsi,SA,PASSERIFORMES,Thamnophilidae,bjeloprsa mravarica
4723,Rhegmatorhina cristata,SA,PASSERIFORMES,Thamnophilidae,kestenjastoprsa mravarica
4724,Rhegmatorhina melanosticta,SA,PASSERIFORMES,Thamnophilidae,maslinastosmeđa mravarica
4725,Phlegopsis nigromaculata,SA,PASSERIFORMES,Thamnophilidae,crnoglava mravarica
4726,Phlegopsis erythroptera,SA,PASSERIFORMES,Thamnophilidae,crvenolica mravarica
4727,Phlegopsis borbae,SA,PASSERIFORMES,Thamnophilidae,cimetastoprsa mravarica
4728,Willisornis poecilinotus,SA,PASSERIFORMES,Thamnophilidae,ljuskastoleđa mravarica
4729,Willisornis vidua,SA,PASSERIFORMES,Thamnophilidae,ljuskastokrila mravarica
4730,Drymophila ferruginea,SA,PASSERIFORMES,Thamnophilidae,crnorepa mravarica
4731,Drymophila rubricollis,SA,PASSERIFORMES,Thamnophilidae,cimetasta mravarica
4732,Drymophila genei,SA,PASSERIFORMES,Thamnophilidae,cimetastorepa mravarica
4733,Drymophila ochropyga,SA,PASSERIFORMES,Thamnophilidae,riđoguza mravarica
4734,Drymophila malura,SA,PASSERIFORMES,Thamnophilidae,sivorepa mravarica
4735,Drymophila squamata,SA,PASSERIFORMES,Thamnophilidae,ljuskastoprsa mravarica
4736,Drymophila devillei,SA,PASSERIFORMES,Thamnophilidae,riđoboka mravarica
4737,Drymophila hellmayri,SA,PASSERIFORMES,Thamnophilidae,santamartska mravarica
4738,Drymophila klagesi,SA,PASSERIFORMES,Thamnophilidae,lepezastorepa mravarica
4739,Drymophila caudata,SA,PASSERIFORMES,Thamnophilidae,olovastorepa mravarica
4740,Drymophila striaticeps,SA,PASSERIFORMES,Thamnophilidae,crno-riđa mravarica
4741,Hypocnemis cantator,SA,PASSERIFORMES,Thamnophilidae,cvrkutava mravarica
4742,Hypocnemis flavescens,SA,PASSERIFORMES,Thamnophilidae,narančastoboka mravarica
4743,Hypocnemis peruviana,SA,PASSERIFORMES,Thamnophilidae,šarenokrila mravarica
4744,Hypocnemis subflava,SA,PASSERIFORMES,Thamnophilidae,žućkastotrba mravarica
4745,Hypocnemis ochrogyna,SA,PASSERIFORMES,Thamnophilidae,sivkastoleđa mravarica
4746,Hypocnemis striata,SA,PASSERIFORMES,Thamnophilidae,tamnoleđa mravarica
4747,Hypocnemis rondoni,SA,PASSERIFORMES,Thamnophilidae,mravarica čevrljinka
4748,Hypocnemis hypoxantha,SA,PASSERIFORMES,Thamnophilidae,žutolica mravarica
4749,Sciaphylax hemimelaena,SA,PASSERIFORMES,Thamnophilidae,kestenjastorepa mravarica
4750,Sciaphylax castanea,SA,PASSERIFORMES,Thamnophilidae,sivolica mravarica
4751,Cercomacroides laeta,SA,PASSERIFORMES,Thamnophilidae,tankopruga mravarica
4752,Cercomacroides parkeri,SA,PASSERIFORMES,Thamnophilidae,kaukanska mravarica
4753,Cercomacroides nigrescens,SA,PASSERIFORMES,Thamnophilidae,čađasta mravarica
4754,Cercomacroides fuscicauda,SA,PASSERIFORMES,Thamnophilidae,tamna mravarica
4755,Cercomacroides tyrannina,"MA, SA",PASSERIFORMES,Thamnophilidae,čađastokrila mravarica
4756,Cercomacroides serva,SA,PASSERIFORMES,Thamnophilidae,crnosiva mravarica
4757,Cercomacra manu,SA,PASSERIFORMES,Thamnophilidae,manuanska mravarica
4758,Cercomacra brasiliana,SA,PASSERIFORMES,Thamnophilidae,kampoška mravarica
4759,Cercomacra cinerascens,SA,PASSERIFORMES,Thamnophilidae,škriljastokrila mravarica
4760,Cercomacra melanaria,SA,PASSERIFORMES,Thamnophilidae,matogroska mravarica
4761,Cercomacra ferdinandi,SA,PASSERIFORMES,Thamnophilidae,bananalska mravarica
4762,Cercomacra nigricans,"MA, SA",PASSERIFORMES,Thamnophilidae,antracitna mravarica
4763,Cercomacra carbonaria,SA,PASSERIFORMES,Thamnophilidae,brankoska mravarica
4764,Myrmoderus ferrugineus,SA,PASSERIFORMES,Thamnophilidae,šarena mravarica
4765,Myrmoderus eowilsoni,SA,PASSERIFORMES,Thamnophilidae,Cordillera Azul Antbird
4766,Myrmoderus ruficauda,SA,PASSERIFORMES,Thamnophilidae,crnopjegava mravarica
4767,Myrmoderus loricatus,SA,PASSERIFORMES,Thamnophilidae,kestenjastokapa mravarica
4768,Myrmoderus squamosus,SA,PASSERIFORMES,Thamnophilidae,ljuskasta mravarica
4769,Hypocnemoides melanopogon,SA,PASSERIFORMES,Thamnophilidae,crnobrada mravarica
4770,Hypocnemoides maculicauda,SA,PASSERIFORMES,Thamnophilidae,olovastokrila mravarica
4771,Hylophylax naevioides,"MA, SA",PASSERIFORMES,Thamnophilidae,riđopruga mravarica
4772,Hylophylax naevius,SA,PASSERIFORMES,Thamnophilidae,crnobrka mravarica
4773,Hylophylax punctulatus,SA,PASSERIFORMES,Thamnophilidae,biserastoleđa mravarica
4774,Sclateria naevia,SA,PASSERIFORMES,Thamnophilidae,srebrnastoprsa mravarica
4775,Myrmelastes hyperythrus,SA,PASSERIFORMES,Thamnophilidae,škriljastoleđa mravarica
4776,Myrmelastes schistaceus,SA,PASSERIFORMES,Thamnophilidae,modrosiva mravarica
4777,Myrmelastes leucostigma,SA,PASSERIFORMES,Thamnophilidae,biserastoramena mravarica
4778,Myrmelastes humaythae,SA,PASSERIFORMES,Thamnophilidae,smeđolica mravarica
4779,Myrmelastes brunneiceps,SA,PASSERIFORMES,Thamnophilidae,kuskoanska mravarica
4780,Myrmelastes rufifacies,SA,PASSERIFORMES,Thamnophilidae,riđolica mravarica
4781,Myrmelastes saturatus,SA,PASSERIFORMES,Thamnophilidae,sivoplava mravarica
4782,Myrmelastes caurensis,SA,PASSERIFORMES,Thamnophilidae,venezuelska mravarica
4783,Poliocrania exsul,"MA, SA",PASSERIFORMES,Thamnophilidae,kestenjasta mravarica
4784,Ampelornis griseiceps,SA,PASSERIFORMES,Thamnophilidae,gvajakvilska mravarica
4785,Sipia berlepschi,SA,PASSERIFORMES,Thamnophilidae,sitnopjegava mravarica
4786,Sipia nigricauda,SA,PASSERIFORMES,Thamnophilidae,esmeraldska mravarica
4787,Sipia palliata,SA,PASSERIFORMES,Thamnophilidae,olovastoprsa mravarica
4788,Sipia laemosticta,MA,PASSERIFORMES,Thamnophilidae,sivoprsa mravarica
4789,Myrmeciza longipes,SA,PASSERIFORMES,Thamnophilidae,ružičastonoga mravarica
4790,Myrmoborus melanurus,SA,PASSERIFORMES,Thamnophilidae,ukajalijska mravarica
4791,Myrmoborus lophotes,SA,PASSERIFORMES,Thamnophilidae,ćubasta mravarica
4792,Myrmoborus myotherinus,SA,PASSERIFORMES,Thamnophilidae,šarenoglava mravarica
4793,Myrmoborus leucophrys,SA,PASSERIFORMES,Thamnophilidae,bjeločela mravarica
4794,Myrmoborus lugubris,SA,PASSERIFORMES,Thamnophilidae,crnolica mravarica
4795,Gymnocichla nudiceps,"MA, SA",PASSERIFORMES,Thamnophilidae,gologlava mravarica
4796,Pyriglena maura,SA,PASSERIFORMES,Thamnophilidae,Western Fire-eye
4797,Pyriglena similis,SA,PASSERIFORMES,Thamnophilidae,Tapajos Fire-eye
4798,Pyriglena leuconota,SA,PASSERIFORMES,Thamnophilidae,plamenooka mravarica
4799,Pyriglena atra,SA,PASSERIFORMES,Thamnophilidae,sergipska mravarica
4800,Pyriglena leucoptera,SA,PASSERIFORMES,Thamnophilidae,blistava mravarica
4801,Rhopornis ardesiacus,SA,PASSERIFORMES,Thamnophilidae,škriljastorepa mravarica
4802,Percnostola rufifrons,SA,PASSERIFORMES,Thamnophilidae,crnokruna mravarica
4803,Percnostola arenarum,SA,PASSERIFORMES,Thamnophilidae,maranonska mravarica
4804,Akletos melanoceps,SA,PASSERIFORMES,Thamnophilidae,zapadnoamazonska mravarica
4805,Akletos goeldii,SA,PASSERIFORMES,Thamnophilidae,goeldijeva mravarica
4806,Hafferia fortis,SA,PASSERIFORMES,Thamnophilidae,plavolica mravarica
4807,Hafferia immaculata,"MA, SA",PASSERIFORMES,Thamnophilidae,riđooka mravarica
4808,Hafferia zeledoni,"MA, SA",PASSERIFORMES,Thamnophilidae,obalna mravarica
4809,Formicarius colma,SA,PASSERIFORMES,Formicariidae,riđokapi mravar
4810,Formicarius analis,"MA, SA",PASSERIFORMES,Formicariidae,crnogrli mravar
4811,Formicarius moniliger,MA,PASSERIFORMES,Formicariidae,jukatanski mravar
4812,Formicarius rufifrons,SA,PASSERIFORMES,Formicariidae,riđočeli mravar
4813,Formicarius nigricapillus,"MA, SA",PASSERIFORMES,Formicariidae,crnoglavi mravar
4814,Formicarius rufipectus,"MA, SA",PASSERIFORMES,Formicariidae,riđoprsi mravar
4815,Chamaeza campanisona,SA,PASSERIFORMES,Formicariidae,maslinastosmeđi mravar
4816,Chamaeza nobilis,SA,PASSERIFORMES,Formicariidae,smeđoleđi mravar
4817,Chamaeza meruloides,SA,PASSERIFORMES,Formicariidae,pjegavoboki mravar
4818,Chamaeza ruficauda,SA,PASSERIFORMES,Formicariidae,riđorepi mravar
4819,Chamaeza turdina,SA,PASSERIFORMES,Formicariidae,bjelogrli mravar
4820,Chamaeza mollissima,SA,PASSERIFORMES,Formicariidae,andski mravar
4821,Grallaria squamigera,SA,PASSERIFORMES,Grallariidae,brkati mravar
4822,Grallaria gigantea,SA,PASSERIFORMES,Grallariidae,veliki mravar
4823,Grallaria excelsa,SA,PASSERIFORMES,Grallariidae,venezuelski mravar
4824,Grallaria varia,SA,PASSERIFORMES,Grallariidae,maslinastoleđi mravar
4825,Grallaria alleni,SA,PASSERIFORMES,Grallariidae,bjelobrki mravar
4826,Grallaria guatimalensis,"MA, SA",PASSERIFORMES,Grallariidae,ljuskastoleđi mravar
4827,Grallaria chthonia,SA,PASSERIFORMES,Grallariidae,tačirski mravar
4828,Grallaria haplonota,SA,PASSERIFORMES,Grallariidae,smeđi mravar
4829,Grallaria dignissima,SA,PASSERIFORMES,Grallariidae,narančastoprsi mravar
4830,Grallaria eludens,SA,PASSERIFORMES,Grallariidae,ukajalijski mravar
4831,Grallaria ruficapilla,SA,PASSERIFORMES,Grallariidae,planinski mravar
4832,Grallaria watkinsi,SA,PASSERIFORMES,Grallariidae,gvajakvilski mravar
4833,Grallaria bangsi,SA,PASSERIFORMES,Grallariidae,santamartski mravar
4834,Grallaria kaestneri,SA,PASSERIFORMES,Grallariidae,mrki mravar
4835,Grallaria andicolus,SA,PASSERIFORMES,Grallariidae,prugastoglavi mravar
4836,Grallaria griseonucha,SA,PASSERIFORMES,Grallariidae,meridski mravar
4837,Grallaria ridgelyi,SA,PASSERIFORMES,Grallariidae,ekvadorski mravar
4838,Grallaria nuchalis,SA,PASSERIFORMES,Grallariidae,sivotrbi mravar
4839,Grallaria carrikeri,SA,PASSERIFORMES,Grallariidae,crnolici mravar
4840,Grallaria albigula,SA,PASSERIFORMES,Grallariidae,riđoglavi mravar
4841,Grallaria flavotincta,SA,PASSERIFORMES,Grallariidae,kestenjastoleđi mravar
4842,Grallaria hypoleuca,SA,PASSERIFORMES,Grallariidae,bjelotrbi mravar
4843,Grallaria przewalskii,SA,PASSERIFORMES,Grallariidae,sivokapi mravar
4844,Grallaria capitalis,SA,PASSERIFORMES,Grallariidae,kestenjasti mravar
4845,Grallaria erythroleuca,SA,PASSERIFORMES,Grallariidae,kuskoanski mravar
4846,Grallaria spatiator,SA,PASSERIFORMES,Grallariidae,Sierra Nevada Antpitta
4847,Grallaria saltuensis,SA,PASSERIFORMES,Grallariidae,perihanski mravar
4848,Grallaria rufula,SA,PASSERIFORMES,Grallariidae,riđi mravar
4849,Grallaria rufocinerea,SA,PASSERIFORMES,Grallariidae,sivo-riđi mravar
4850,Grallaria alvarezi,SA,PASSERIFORMES,Grallariidae,Chami Antpitta
4851,Grallaria saturata,SA,PASSERIFORMES,Grallariidae,Equatorial Antpitta
4852,Grallaria cajamarcae,SA,PASSERIFORMES,Grallariidae,Cajamarca Antpitta
4853,Grallaria blakei,SA,PASSERIFORMES,Grallariidae,maranonski mravar
4854,Grallaria gravesi,SA,PASSERIFORMES,Grallariidae,Chachapoyas Antpitta
4855,Grallaria oneilli,SA,PASSERIFORMES,Grallariidae,Panao Antpitta
4856,Grallaria obscura,SA,PASSERIFORMES,Grallariidae,Junin Antpitta
4857,Grallaria centralis,SA,PASSERIFORMES,Grallariidae,Oxapampa Antpitta
4858,Grallaria ayacuchensis,SA,PASSERIFORMES,Grallariidae,Ayacucho Antpitta
4859,Grallaria occabambae,SA,PASSERIFORMES,Grallariidae,Urubamba Antpitta
4860,Grallaria sinaensis,SA,PASSERIFORMES,Grallariidae,Puno Antpitta
4861,Grallaria cochabambae,SA,PASSERIFORMES,Grallariidae,Bolivian Antpitta
4862,Grallaria quitensis,SA,PASSERIFORMES,Grallariidae,krupnooki mravar
