,IOC,Breeding Range,Order,Family,Croatian
183,Polysticta stelleri,"NA, PAL",ANSERIFORMES,Anatidae,stellerova gavka
184,Somateria fischeri,"NA, PAL",ANSERIFORMES,Anatidae,gavka naočarka
185,Somateria spectabilis,"NA, PAL",ANSERIFORMES,Anatidae,krasna gavka
186,Somateria mollissima,"NA, PAL",ANSERIFORMES,Anatidae,gavka
187,Histrionicus histrionicus,"NA, PAL",ANSERIFORMES,Anatidae,šarena patka
188,Melanitta fusca,PAL,ANSERIFORMES,Anatidae,patka kulašica
189,Melanitta stejnegeri,PAL,ANSERIFORMES,Anatidae,sibirska patka
190,Melanitta nigra,PAL,ANSERIFORMES,Anatidae,crna patka
191,Melanitta americana,"PAL, NA",ANSERIFORMES,Anatidae,američka crna patka
192,Clangula hyemalis,"NA, PAL",ANSERIFORMES,Anatidae,patka ledara
193,Bucephala clangula,"NA, PAL",ANSERIFORMES,Anatidae,patka batoglavica
194,Bucephala islandica,"NA, PAL",ANSERIFORMES,Anatidae,islandska patka
195,Mergellus albellus,PAL,ANSERIFORMES,Anatidae,bijeli ronac
196,Mergus octosetaceus,SA,ANSERIFORMES,Anatidae,brazilski ronac
197,Mergus merganser,"NA, PAL",ANSERIFORMES,Anatidae,veliki ronac
198,Mergus serrator,"NA, PAL",ANSERIFORMES,Anatidae,mali ronac
199,Mergus squamatus,PAL,ANSERIFORMES,Anatidae,kineski ronac
200,Heteronetta atricapilla,SA,ANSERIFORMES,Anatidae,mrka čakora
201,Nomonyx dominicus,"MA, SA",ANSERIFORMES,Anatidae,mala čakora
202,Oxyura jamaicensis,"NA, MA",ANSERIFORMES,Anatidae,crnoglava čakora
203,Oxyura ferruginea,SA,ANSERIFORMES,Anatidae,andska čakora
204,Oxyura vittata,SA,ANSERIFORMES,Anatidae,argentinska čakora
205,Oxyura australis,AU,ANSERIFORMES,Anatidae,australska čakora
206,Oxyura maccoa,AF,ANSERIFORMES,Anatidae,afrička čakora
207,Oxyura leucocephala,PAL,ANSERIFORMES,Anatidae,čakora
208,Biziura lobata,AU,ANSERIFORMES,Anatidae,siva čakora
209,Alectura lathami,AU,GALLIFORMES,Megapodiidae,crvenovrata kokošina
210,Aepypodius arfakianus,AU,GALLIFORMES,Megapodiidae,bjelogrla kokošina
211,Aepypodius bruijnii,AU,GALLIFORMES,Megapodiidae,riđoprsa kokošina
212,Talegalla cuvieri,AU,GALLIFORMES,Megapodiidae,crvenokljuna kokošina
213,Talegalla fuscirostris,AU,GALLIFORMES,Megapodiidae,crnokljuna kokošina
214,Talegalla jobiensis,AU,GALLIFORMES,Megapodiidae,riđogrla kokošina
215,Leipoa ocellata,AU,GALLIFORMES,Megapodiidae,pjegava kokošina
216,Macrocephalon maleo,AU,GALLIFORMES,Megapodiidae,sulaveška kokošina
217,Eulipoa wallacei,AU,GALLIFORMES,Megapodiidae,molučka kokošina
218,Megapodius pritchardii,PO,GALLIFORMES,Megapodiidae,tongaska kokošina
219,Megapodius laperouse,PO,GALLIFORMES,Megapodiidae,mala kokošina
220,Megapodius nicobariensis,OR,GALLIFORMES,Megapodiidae,nikobarska kokošina
221,Megapodius cumingii,"OR, AU",GALLIFORMES,Megapodiidae,sivoprsa kokošina
222,Megapodius bernsteinii,AU,GALLIFORMES,Megapodiidae,riđa kokošina
223,Megapodius tenimberensis,AU,GALLIFORMES,Megapodiidae,tanimbarska kokošina
224,Megapodius freycinet,AU,GALLIFORMES,Megapodiidae,crvenolica kokošina
225,Megapodius geelvinkianus,AU,GALLIFORMES,Megapodiidae,biačka kokošina
226,Megapodius eremita,AU,GALLIFORMES,Megapodiidae,melanezijska kokošina
227,Megapodius layardi,AU,GALLIFORMES,Megapodiidae,vanuatska kokošina
228,Megapodius decollatus,AU,GALLIFORMES,Megapodiidae,novogvinejska kokošina
229,Megapodius reinwardt,AU,GALLIFORMES,Megapodiidae,kukmasta kokošina
230,Ortalis vetula,"NA, MA",GALLIFORMES,Cracidae,sivoleđa čačalaka
231,Ortalis cinereiceps,"MA, SA",GALLIFORMES,Cracidae,sivoglava čačalaka
232,Ortalis garrula,SA,GALLIFORMES,Cracidae,kestenjastokrila čačalaka
233,Ortalis ruficauda,SA,GALLIFORMES,Cracidae,venezuelska čačalaka
234,Ortalis erythroptera,SA,GALLIFORMES,Cracidae,riđoglava čačalaka
235,Ortalis wagleri,MA,GALLIFORMES,Cracidae,riđotrba čačalaka
236,Ortalis poliocephala,MA,GALLIFORMES,Cracidae,velika čačalaka
237,Ortalis canicollis,SA,GALLIFORMES,Cracidae,riđorepa čačalaka
238,Ortalis leucogastra,MA,GALLIFORMES,Cracidae,bjelotrba čačalaka
239,Ortalis guttata,SA,GALLIFORMES,Cracidae,pjegava čačalaka
240,Ortalis araucuan,SA,GALLIFORMES,Cracidae,riđokapa čačalaka
241,Ortalis squamata,SA,GALLIFORMES,Cracidae,ljuskastoprsa čačalaka
242,Ortalis columbiana,SA,GALLIFORMES,Cracidae,kolumbijska čačalaka
243,Ortalis motmot,SA,GALLIFORMES,Cracidae,kestenjastoglava čačalaka
244,Ortalis ruficeps,SA,GALLIFORMES,Cracidae,Chestnut-headed Chachalaca
245,Ortalis superciliaris,SA,GALLIFORMES,Cracidae,mala čačalaka
246,Penelope argyrotis,SA,GALLIFORMES,Cracidae,riđorepi guan
247,Penelope barbata,SA,GALLIFORMES,Cracidae,riđi guan
248,Penelope ortoni,SA,GALLIFORMES,Cracidae,tamnoglavi guan
249,Penelope montagnii,SA,GALLIFORMES,Cracidae,andski guan
250,Penelope marail,SA,GALLIFORMES,Cracidae,maslinasti guan
251,Penelope superciliaris,SA,GALLIFORMES,Cracidae,sivolici guan
252,Penelope dabbenei,SA,GALLIFORMES,Cracidae,crvenolici guan
253,Penelope purpurascens,"MA, SA",GALLIFORMES,Cracidae,kudravi guan
254,Penelope perspicax,SA,GALLIFORMES,Cracidae,kaukanski guan
255,Penelope albipennis,SA,GALLIFORMES,Cracidae,bjelokrili guan
256,Penelope jacquacu,SA,GALLIFORMES,Cracidae,spixov guan
257,Penelope obscura,SA,GALLIFORMES,Cracidae,tamnonogi guan
258,Penelope bridgesi,SA,GALLIFORMES,Cracidae,Yungas Guan
259,Penelope pileata,SA,GALLIFORMES,Cracidae,riđoprsi guan
260,Penelope ochrogaster,SA,GALLIFORMES,Cracidae,riđotrbi guan
261,Penelope jacucaca,SA,GALLIFORMES,Cracidae,bjeločeli guan
262,Pipile pipile,SA,GALLIFORMES,Cracidae,trinidadski guan
263,Pipile cumanensis,SA,GALLIFORMES,Cracidae,plavogrli guan
264,Pipile grayi,SA,GALLIFORMES,Cracidae,bjelogrli guan
265,Pipile cujubi,SA,GALLIFORMES,Cracidae,crvenobradi guan
266,Pipile jacutinga,SA,GALLIFORMES,Cracidae,crnočeli guan
267,Aburria aburri,SA,GALLIFORMES,Cracidae,plavokljuni guan
268,Chamaepetes unicolor,MA,GALLIFORMES,Cracidae,crni guan
269,Chamaepetes goudotii,SA,GALLIFORMES,Cracidae,modrolici guan
270,Penelopina nigra,MA,GALLIFORMES,Cracidae,planinski guan
271,Oreophasis derbianus,MA,GALLIFORMES,Cracidae,rogati guan
272,Nothocrax urumutum,SA,GALLIFORMES,Cracidae,noćni hoko
273,Mitu tomentosum,SA,GALLIFORMES,Cracidae,venezuelski hoko
274,Mitu salvini,SA,GALLIFORMES,Cracidae,krupnokljuni hoko
275,Mitu tuberosum,SA,GALLIFORMES,Cracidae,amazonski hoko
276,Mitu mitu,SA,GALLIFORMES,Cracidae,alagoaški hoko
277,Pauxi pauxi,SA,GALLIFORMES,Cracidae,kacigasti hoko
278,Pauxi unicornis,SA,GALLIFORMES,Cracidae,rogati hoko
279,Pauxi koepckeae,SA,GALLIFORMES,Cracidae,peruanski hoko
280,Crax rubra,"MA, SA",GALLIFORMES,Cracidae,kudravi hoko
281,Crax alberti,SA,GALLIFORMES,Cracidae,plavokljuni hoko
282,Crax daubentoni,SA,GALLIFORMES,Cracidae,žutokljuni hoko
283,Crax alector,SA,GALLIFORMES,Cracidae,crni hoko
284,Crax globulosa,SA,GALLIFORMES,Cracidae,crvenokljuni hoko
285,Crax fasciolata,SA,GALLIFORMES,Cracidae,gololici hoko
286,Crax blumenbachii,SA,GALLIFORMES,Cracidae,krunati hoko
287,Agelastes meleagrides,AF,GALLIFORMES,Numididae,crvenoglava biserka
288,Agelastes niger,AF,GALLIFORMES,Numididae,crna biserka
289,Numida meleagris,AF,GALLIFORMES,Numididae,biserka
290,Guttera plumifera,AF,GALLIFORMES,Numididae,kukmasta biserka
291,Guttera verreauxi,AF,GALLIFORMES,Numididae,kudrava biserka
292,Guttera pucherani,AF,GALLIFORMES,Numididae,crvenolica biserka
293,Guttera edouardi,AF,GALLIFORMES,Numididae,bjelouha biserka
294,Acryllium vulturinum,AF,GALLIFORMES,Numididae,velika biserka
295,Ptilopachus petrosus,AF,GALLIFORMES,Odontophoridae,prugastoboka jarebica
296,Ptilopachus nahani,AF,GALLIFORMES,Odontophoridae,šumska jarebica
297,Dendrortyx leucophrys,MA,GALLIFORMES,Odontophoridae,bjeločela prepelica
298,Dendrortyx macroura,MA,GALLIFORMES,Odontophoridae,dugorepa prepelica
299,Dendrortyx barbatus,MA,GALLIFORMES,Odontophoridae,hidalgoska prepelica
300,Oreortyx pictus,"NA, MA",GALLIFORMES,Odontophoridae,planinska prepelica
301,Callipepla squamata,"NA, MA",GALLIFORMES,Odontophoridae,kukmasta prepelica
302,Callipepla douglasii,MA,GALLIFORMES,Odontophoridae,sonorska prepelica
303,Callipepla californica,"NA, MA",GALLIFORMES,Odontophoridae,kalifornijska prepelica
304,Callipepla gambelii,"NA, MA",GALLIFORMES,Odontophoridae,pustinjska prepelica
305,Philortyx fasciatus,MA,GALLIFORMES,Odontophoridae,prugasta prepelica
306,Colinus virginianus,"NA, MA",GALLIFORMES,Odontophoridae,virdžinijska prepelica
307,Colinus nigrogularis,MA,GALLIFORMES,Odontophoridae,crnogrla prepelica
308,Colinus leucopogon,MA,GALLIFORMES,Odontophoridae,smeđokapa prepelica
309,Colinus cristatus,"MA, SA",GALLIFORMES,Odontophoridae,krunata prepelica
310,Odontophorus gujanensis,"MA, SA",GALLIFORMES,Odontophoridae,riđa prepelica
311,Odontophorus capueira,SA,GALLIFORMES,Odontophoridae,sivotrba prepelica
312,Odontophorus melanotis,MA,GALLIFORMES,Odontophoridae,riđotrba prepelica
313,Odontophorus erythrops,SA,GALLIFORMES,Odontophoridae,riđočela prepelica
314,Odontophorus atrifrons,SA,GALLIFORMES,Odontophoridae,riđokapa prepelica
315,Odontophorus hyperythrus,SA,GALLIFORMES,Odontophoridae,kolumbijska prepelica
316,Odontophorus melanonotus,SA,GALLIFORMES,Odontophoridae,riđoprsa prepelica
317,Odontophorus speciosus,SA,GALLIFORMES,Odontophoridae,pjegavokrila prepelica
318,Odontophorus dialeucos,"MA, SA",GALLIFORMES,Odontophoridae,crnočela prepelica
319,Odontophorus strophium,SA,GALLIFORMES,Odontophoridae,ogrličasta prepelica
320,Odontophorus columbianus,SA,GALLIFORMES,Odontophoridae,venezuelska prepelica
321,Odontophorus leucolaemus,MA,GALLIFORMES,Odontophoridae,crnoprsa prepelica
322,Odontophorus balliviani,SA,GALLIFORMES,Odontophoridae,brkata prepelica
323,Odontophorus stellatus,SA,GALLIFORMES,Odontophoridae,sivovrata prepelica
324,Odontophorus guttatus,MA,GALLIFORMES,Odontophoridae,pjegava prepelica
325,Dactylortyx thoracicus,MA,GALLIFORMES,Odontophoridae,prugastoprsa prepelica
326,Cyrtonyx montezumae,"NA, MA",GALLIFORMES,Odontophoridae,šarena prepelica
327,Cyrtonyx ocellatus,MA,GALLIFORMES,Odontophoridae,kacigasta prepelica
328,Rhynchortyx cinctus,"MA, SA",GALLIFORMES,Odontophoridae,riđolica prepelica
329,Xenoperdix udzungwensis,AF,GALLIFORMES,Phasianidae,tanzanska trčka
330,Xenoperdix obscuratus,AF,GALLIFORMES,Phasianidae,Rubeho Forest Partridge
331,Caloperdix oculeus,OR,GALLIFORMES,Phasianidae,cimetasta trčka
332,Rollulus rouloul,OR,GALLIFORMES,Phasianidae,kukmasta trčka
333,Melanoperdix niger,OR,GALLIFORMES,Phasianidae,crna trčka
334,Arborophila torqueola,OR,GALLIFORMES,Phasianidae,sivoprsa trčka
335,Arborophila rufipectus,OR,GALLIFORMES,Phasianidae,sečuanska trčka
336,Arborophila mandellii,OR,GALLIFORMES,Phasianidae,riđoprsa trčka
337,Arborophila gingica,OR,GALLIFORMES,Phasianidae,bjeločela trčka
338,Arborophila rufogularis,OR,GALLIFORMES,Phasianidae,riđogrla trčka
339,Arborophila rubrirostris,OR,GALLIFORMES,Phasianidae,crvenokljuna trčka
340,Arborophila diversa,OR,GALLIFORMES,Phasianidae,Siamese Partridge
