,IOC,Breeding Range,Order,Family,Chinese
4996,Myiopagis subplacens,SA,PASSERIFORMES,Tyrannidae,太平洋伊拉鹟
4997,Myiopagis flavivertex,SA,PASSERIFORMES,Tyrannidae,黄顶伊拉鹟
4998,Myiopagis viridicata,"MA, SA",PASSERIFORMES,Tyrannidae,绿伊拉鹟
4999,Elaenia flavogaster,"MA, SA",PASSERIFORMES,Tyrannidae,黄腹拟霸鹟
5000,Elaenia spectabilis,SA,PASSERIFORMES,Tyrannidae,大拟霸鹟
5001,Elaenia ridleyana,SA,PASSERIFORMES,Tyrannidae,诺尔拟霸鹟
5002,Elaenia albiceps,SA,PASSERIFORMES,Tyrannidae,白冠拟霸鹟
5003,Elaenia chilensis,SA,PASSERIFORMES,Tyrannidae,智利拟霸鹟
5004,Elaenia parvirostris,SA,PASSERIFORMES,Tyrannidae,小嘴拟霸鹟
5005,Elaenia mesoleuca,SA,PASSERIFORMES,Tyrannidae,绿拟霸鹟
5006,Elaenia strepera,SA,PASSERIFORMES,Tyrannidae,灰拟霸鹟
5007,Elaenia gigas,SA,PASSERIFORMES,Tyrannidae,斑背拟霸鹟
5008,Elaenia pelzelni,SA,PASSERIFORMES,Tyrannidae,淡褐拟霸鹟
5009,Elaenia cristata,SA,PASSERIFORMES,Tyrannidae,纯色冠拟霸鹟
5010,Elaenia chiriquensis,"MA, SA",PASSERIFORMES,Tyrannidae,小拟霸鹟
5011,Elaenia brachyptera,SA,PASSERIFORMES,Tyrannidae,灰胸小拟霸鹟
5012,Elaenia ruficeps,SA,PASSERIFORMES,Tyrannidae,棕顶拟霸鹟
5013,Elaenia frantzii,"MA, SA",PASSERIFORMES,Tyrannidae,山拟霸鹟
5014,Elaenia obscura,SA,PASSERIFORMES,Tyrannidae,高原拟霸鹟
5015,Elaenia sordida,SA,PASSERIFORMES,Tyrannidae,巴西拟霸鹟
5016,Elaenia dayi,SA,PASSERIFORMES,Tyrannidae,中美拟霸鹟
5017,Elaenia pallatangae,SA,PASSERIFORMES,Tyrannidae,岭拟霸鹟
5018,Elaenia olivina,SA,PASSERIFORMES,Tyrannidae,黄腹岭拟霸鹟
5019,Ornithion semiflavum,MA,PASSERIFORMES,Tyrannidae,黄腹小霸鹟
5020,Ornithion brunneicapillus,"MA, SA",PASSERIFORMES,Tyrannidae,褐顶小霸鹟
5021,Ornithion inerme,SA,PASSERIFORMES,Tyrannidae,白眼先小霸鹟
5022,Camptostoma imberbe,MA,PASSERIFORMES,Tyrannidae,北无须小霸鹟
5023,Camptostoma obsoletum,"MA, SA",PASSERIFORMES,Tyrannidae,南无须小霸鹟
5024,Suiriri suiriri,SA,PASSERIFORMES,Tyrannidae,平原霸鹟
5025,Mecocerculus leucophrys,SA,PASSERIFORMES,Tyrannidae,白喉姬霸鹟
5026,Mecocerculus poecilocercus,SA,PASSERIFORMES,Tyrannidae,白尾姬霸鹟
5027,Mecocerculus hellmayri,SA,PASSERIFORMES,Tyrannidae,黄斑姬霸鹟
5028,Mecocerculus calopterus,SA,PASSERIFORMES,Tyrannidae,棕翅姬霸鹟
5029,Mecocerculus minor,SA,PASSERIFORMES,Tyrannidae,黄腹姬霸鹟
5030,Mecocerculus stictopterus,SA,PASSERIFORMES,Tyrannidae,白斑姬霸鹟
5031,Anairetes nigrocristatus,SA,PASSERIFORMES,Tyrannidae,黑冠雀霸鹟
5032,Anairetes reguloides,SA,PASSERIFORMES,Tyrannidae,斑冠雀霸鹟
5033,Anairetes alpinus,SA,PASSERIFORMES,Tyrannidae,灰胸雀霸鹟
5034,Anairetes flavirostris,SA,PASSERIFORMES,Tyrannidae,黄嘴雀霸鹟
5035,Anairetes parulus,SA,PASSERIFORMES,Tyrannidae,须雀霸鹟
5036,Anairetes fernandezianus,SA,PASSERIFORMES,Tyrannidae,弗南多斯雀霸鹟
5037,Uromyias agilis,SA,PASSERIFORMES,Tyrannidae,敏雀霸鹟
5038,Uromyias agraphia,SA,PASSERIFORMES,Tyrannidae,无纹雀霸鹟
5039,Serpophaga cinerea,"MA, SA",PASSERIFORMES,Tyrannidae,灰姬霸鹟
5040,Serpophaga hypoleuca,SA,PASSERIFORMES,Tyrannidae,河姬霸鹟
5041,Serpophaga nigricans,SA,PASSERIFORMES,Tyrannidae,烟姬霸鹟
5042,Serpophaga subcristata,SA,PASSERIFORMES,Tyrannidae,白冠姬霸鹟
5043,Serpophaga griseicapilla,SA,PASSERIFORMES,Tyrannidae,灰冠姬霸鹟
5044,Nesotriccus incomtus,"MA, SA",PASSERIFORMES,Tyrannidae,北灰色小霸鹟
5045,Nesotriccus ridgwayi,MA,PASSERIFORMES,Tyrannidae,科岛霸鹟
5046,Nesotriccus murinus,SA,PASSERIFORMES,Tyrannidae,南灰色小霸鹟
5047,Nesotriccus tumbezanus,SA,PASSERIFORMES,Tyrannidae,白腹灰色小霸鹟
5048,Nesotriccus maranonicus,SA,PASSERIFORMES,Tyrannidae,马谷白腹灰色小霸鹟
5049,Capsiempis flaveola,"MA, SA",PASSERIFORMES,Tyrannidae,黄小霸鹟
5050,Polystictus pectoralis,SA,PASSERIFORMES,Tyrannidae,须多斑霸鹟
5051,Polystictus superciliaris,SA,PASSERIFORMES,Tyrannidae,灰背多斑霸鹟
5052,Pseudocolopteryx dinelliana,SA,PASSERIFORMES,Tyrannidae,南美多拉霸鹟
5053,Pseudocolopteryx sclateri,SA,PASSERIFORMES,Tyrannidae,冠多拉霸鹟
5054,Pseudocolopteryx acutipennis,SA,PASSERIFORMES,Tyrannidae,亚热带多拉霸鹟
5055,Pseudocolopteryx flaviventris,SA,PASSERIFORMES,Tyrannidae,拟莺多拉霸鹟
5056,Pseudocolopteryx citreola,SA,PASSERIFORMES,Tyrannidae,滴答多拉霸鹟
5057,Pseudotriccus pelzelni,"MA, SA",PASSERIFORMES,Tyrannidae,铜绿侏霸鹟
5058,Pseudotriccus simplex,SA,PASSERIFORMES,Tyrannidae,褐额侏霸鹟
5059,Pseudotriccus ruficeps,SA,PASSERIFORMES,Tyrannidae,棕头侏霸鹟
5060,Corythopis torquatus,SA,PASSERIFORMES,Tyrannidae,环蚁鹨
5061,Corythopis delalandi,SA,PASSERIFORMES,Tyrannidae,南美蚁鹨
5062,Euscarthmus meloryphus,SA,PASSERIFORMES,Tyrannidae,褐顶丛霸鹟
5063,Euscarthmus fulviceps,SA,PASSERIFORMES,Tyrannidae,褐脸丛霸鹟
5064,Euscarthmus rufomarginatus,SA,PASSERIFORMES,Tyrannidae,棕胁侏霸鹟
5065,Pseudelaenia leucospodia,SA,PASSERIFORMES,Tyrannidae,灰白小霸鹟
5066,Stigmatura napensis,SA,PASSERIFORMES,Tyrannidae,小霸鹟
5067,Stigmatura bahiae,SA,PASSERIFORMES,Tyrannidae,巴伊小霸鹟
5068,Stigmatura budytoides,SA,PASSERIFORMES,Tyrannidae,大霸鹟
5069,Zimmerius vilissimus,MA,PASSERIFORMES,Tyrannidae,稚小霸鹟
5070,Zimmerius parvus,"MA, SA",PASSERIFORMES,Tyrannidae,槲小霸鹟
5071,Zimmerius improbus,SA,PASSERIFORMES,Tyrannidae,华丽小霸鹟
5072,Zimmerius petersi,SA,PASSERIFORMES,Tyrannidae,委内瑞拉小霸鹟
5073,Zimmerius bolivianus,SA,PASSERIFORMES,Tyrannidae,玻利维亚小霸鹟
5074,Zimmerius cinereicapilla,SA,PASSERIFORMES,Tyrannidae,红嘴小霸鹟
5075,Zimmerius villarejoi,SA,PASSERIFORMES,Tyrannidae,绿头小霸鹟
5076,Zimmerius chicomendesi,SA,PASSERIFORMES,Tyrannidae,短嘴绿头小霸鹟
5077,Zimmerius gracilipes,SA,PASSERIFORMES,Tyrannidae,细脚小霸鹟
5078,Zimmerius acer,SA,PASSERIFORMES,Tyrannidae,圭亚那小霸鹟
5079,Zimmerius chrysops,SA,PASSERIFORMES,Tyrannidae,金脸小霸鹟
5080,Zimmerius minimus,SA,PASSERIFORMES,Tyrannidae,库氏小霸鹟
5081,Zimmerius albigularis,SA,PASSERIFORMES,Tyrannidae,灰喉金脸小霸鹟
5082,Zimmerius flavidifrons,SA,PASSERIFORMES,Tyrannidae,厄瓜多尔小霸鹟
5083,Zimmerius viridiflavus,SA,PASSERIFORMES,Tyrannidae,秘鲁小霸鹟
5084,Pogonotriccus poecilotis,SA,PASSERIFORMES,Tyrannidae,杂色须霸鹟
5085,Pogonotriccus chapmani,SA,PASSERIFORMES,Tyrannidae,查氏姬霸鹟
5086,Pogonotriccus ophthalmicus,SA,PASSERIFORMES,Tyrannidae,纹脸须霸鹟
5087,Pogonotriccus orbitalis,SA,PASSERIFORMES,Tyrannidae,眼斑须霸鹟
5088,Pogonotriccus venezuelanus,SA,PASSERIFORMES,Tyrannidae,委内瑞拉须霸鹟
5089,Pogonotriccus lanyoni,SA,PASSERIFORMES,Tyrannidae,哥伦比亚须霸鹟
5090,Pogonotriccus eximius,SA,PASSERIFORMES,Tyrannidae,南须霸鹟
5091,Phylloscartes ventralis,SA,PASSERIFORMES,Tyrannidae,点颊姬霸鹟
5092,Phylloscartes ceciliae,SA,PASSERIFORMES,Tyrannidae,长尾姬霸鹟
5093,Phylloscartes kronei,SA,PASSERIFORMES,Tyrannidae,雷斯姬霸鹟
5094,Phylloscartes beckeri,SA,PASSERIFORMES,Tyrannidae,巴伊姬霸鹟
5095,Phylloscartes flavovirens,MA,PASSERIFORMES,Tyrannidae,黄绿姬霸鹟
5096,Phylloscartes virescens,SA,PASSERIFORMES,Tyrannidae,橄榄绿姬霸鹟
5097,Phylloscartes gualaquizae,SA,PASSERIFORMES,Tyrannidae,厄瓜多尔姬霸鹟
5098,Phylloscartes nigrifrons,SA,PASSERIFORMES,Tyrannidae,黑额姬霸鹟
5099,Phylloscartes superciliaris,"MA, SA",PASSERIFORMES,Tyrannidae,棕额姬霸鹟
5100,Phylloscartes flaviventris,SA,PASSERIFORMES,Tyrannidae,褐眼先姬霸鹟
5101,Phylloscartes parkeri,SA,PASSERIFORMES,Tyrannidae,棕脸姬霸鹟
5102,Phylloscartes roquettei,SA,PASSERIFORMES,Tyrannidae,米州姬霸鹟
5103,Phylloscartes paulista,SA,PASSERIFORMES,Tyrannidae,圣保罗姬霸鹟
5104,Phylloscartes oustaleti,SA,PASSERIFORMES,Tyrannidae,欧氏姬霸鹟
5105,Phylloscartes difficilis,SA,PASSERIFORMES,Tyrannidae,巴西姬霸鹟
5106,Phylloscartes sylviolus,SA,PASSERIFORMES,Tyrannidae,栗环姬霸鹟
5107,Mionectes striaticollis,SA,PASSERIFORMES,Tyrannidae,纹颈霸鹟
5108,Mionectes olivaceus,MA,PASSERIFORMES,Tyrannidae,灰橄榄绿纹霸鹟
5109,Mionectes galbinus,"MA, SA",PASSERIFORMES,Tyrannidae,橄榄绿纹霸鹟
5110,Mionectes oleagineus,"MA, SA",PASSERIFORMES,Tyrannidae,赭腹霸鹟
5111,Mionectes macconnelli,SA,PASSERIFORMES,Tyrannidae,麦氏霸鹟
5112,Mionectes roraimae,SA,PASSERIFORMES,Tyrannidae,暗胸麦氏霸鹟
5113,Mionectes rufiventris,SA,PASSERIFORMES,Tyrannidae,灰冠霸鹟
5114,Leptopogon amaurocephalus,"MA, SA",PASSERIFORMES,Tyrannidae,棕顶窄嘴霸鹟
5115,Leptopogon superciliaris,"MA, SA",PASSERIFORMES,Tyrannidae,灰顶窄嘴霸鹟
5116,Leptopogon rufipectus,SA,PASSERIFORMES,Tyrannidae,棕胸窄嘴霸鹟
5117,Leptopogon taczanowskii,SA,PASSERIFORMES,Tyrannidae,印加窄嘴霸鹟
5118,Guyramemua affine,SA,PASSERIFORMES,Tyrannidae,高地霸鹟
5119,Sublegatus arenarum,"MA, SA",PASSERIFORMES,Tyrannidae,北灌丛霸鹟
5120,Sublegatus obscurior,SA,PASSERIFORMES,Tyrannidae,亚马孙灌丛霸鹟
5121,Sublegatus modestus,SA,PASSERIFORMES,Tyrannidae,南灌丛霸鹟
5122,Inezia tenuirostris,SA,PASSERIFORMES,Tyrannidae,细嘴姬霸鹟
5123,Inezia inornata,SA,PASSERIFORMES,Tyrannidae,纯色姬霸鹟
5124,Inezia subflava,SA,PASSERIFORMES,Tyrannidae,亚马孙姬霸鹟
5125,Inezia caudata,SA,PASSERIFORMES,Tyrannidae,白眼姬霸鹟
5126,Myiophobus flavicans,SA,PASSERIFORMES,Tyrannidae,黄斑翅霸鹟
5127,Myiophobus phoenicomitra,SA,PASSERIFORMES,Tyrannidae,橙冠斑翅霸鹟
5128,Myiophobus inornatus,SA,PASSERIFORMES,Tyrannidae,纯色斑翅霸鹟
5129,Myiophobus roraimae,SA,PASSERIFORMES,Tyrannidae,巴西斑翅霸鹟
5130,Myiophobus cryptoxanthus,SA,PASSERIFORMES,Tyrannidae,绿胸斑翅霸鹟
5131,Myiophobus fasciatus,"MA, SA",PASSERIFORMES,Tyrannidae,浅褐斑翅霸鹟
5132,Myiophobus crypterythrus,SA,PASSERIFORMES,Tyrannidae,灰褐斑翅霸鹟
5133,Myiophobus rufescens,SA,PASSERIFORMES,Tyrannidae,红褐斑翅霸鹟
5134,Nephelomyias pulcher,SA,PASSERIFORMES,Tyrannidae,华丽斑翅霸鹟
5135,Nephelomyias lintoni,SA,PASSERIFORMES,Tyrannidae,橙斑翅霸鹟
5136,Nephelomyias ochraceiventris,SA,PASSERIFORMES,Tyrannidae,赭胸斑翅霸鹟
5137,Myiotriccus ornatus,SA,PASSERIFORMES,Tyrannidae,华丽霸鹟
5138,Tachuris rubrigastra,SA,PASSERIFORMES,Tyrannidae,多色苇霸鹟
5139,Culicivora caudacuta,SA,PASSERIFORMES,Tyrannidae,尖尾霸鹟
5140,Hemitriccus diops,SA,PASSERIFORMES,Tyrannidae,淡褐胸侏霸鹟
5141,Hemitriccus obsoletus,SA,PASSERIFORMES,Tyrannidae,褐胸侏霸鹟
5142,Hemitriccus flammulatus,SA,PASSERIFORMES,Tyrannidae,红侏霸鹟
5143,Hemitriccus minor,SA,PASSERIFORMES,Tyrannidae,小哑霸鹟
5144,Hemitriccus spodiops,SA,PASSERIFORMES,Tyrannidae,玻利维亚哑霸鹟
5145,Hemitriccus cohnhafti,SA,PASSERIFORMES,Tyrannidae,阿克雷哑霸鹟
5146,Hemitriccus josephinae,SA,PASSERIFORMES,Tyrannidae,阔嘴哑霸鹟
5147,Hemitriccus zosterops,SA,PASSERIFORMES,Tyrannidae,白眼哑霸鹟
5148,Hemitriccus griseipectus,SA,PASSERIFORMES,Tyrannidae,白腹哑霸鹟
5149,Hemitriccus minimus,SA,PASSERIFORMES,Tyrannidae,奇氏哑霸鹟
5150,Hemitriccus orbitatus,SA,PASSERIFORMES,Tyrannidae,橄榄色哑霸鹟
5151,Hemitriccus iohannis,SA,PASSERIFORMES,Tyrannidae,乔氏哑霸鹟
5152,Hemitriccus striaticollis,SA,PASSERIFORMES,Tyrannidae,纹颈哑霸鹟
5153,Hemitriccus nidipendulus,SA,PASSERIFORMES,Tyrannidae,悬巢哑霸鹟
5154,Hemitriccus margaritaceiventer,SA,PASSERIFORMES,Tyrannidae,斑臀哑霸鹟
5155,Hemitriccus inornatus,SA,PASSERIFORMES,Tyrannidae,佩氏哑霸鹟
5156,Hemitriccus granadensis,SA,PASSERIFORMES,Tyrannidae,黑喉哑霸鹟
5157,Hemitriccus mirandae,SA,PASSERIFORMES,Tyrannidae,黄胸哑霸鹟
5158,Hemitriccus cinnamomeipectus,SA,PASSERIFORMES,Tyrannidae,棕胸哑霸鹟
5159,Hemitriccus kaempferi,SA,PASSERIFORMES,Tyrannidae,凯氏哑霸鹟
5160,Hemitriccus rufigularis,SA,PASSERIFORMES,Tyrannidae,黄喉哑霸鹟
5161,Hemitriccus furcatus,SA,PASSERIFORMES,Tyrannidae,叉尾哑霸鹟
5162,Myiornis auricularis,SA,PASSERIFORMES,Tyrannidae,角侏霸鹟
5163,Myiornis albiventris,SA,PASSERIFORMES,Tyrannidae,白胸侏霸鹟
5164,Myiornis atricapillus,"MA, SA",PASSERIFORMES,Tyrannidae,黑顶侏霸鹟
5165,Myiornis ecaudatus,SA,PASSERIFORMES,Tyrannidae,短尾侏霸鹟
5166,Oncostoma cinereigulare,MA,PASSERIFORMES,Tyrannidae,北弯嘴霸鹟
5167,Oncostoma olivaceum,"MA, SA",PASSERIFORMES,Tyrannidae,南弯嘴霸鹟
5168,Lophotriccus pileatus,"MA, SA",PASSERIFORMES,Tyrannidae,鳞冠侏霸鹟
5169,Lophotriccus eulophotes,SA,PASSERIFORMES,Tyrannidae,长冠侏霸鹟
5170,Lophotriccus vitiosus,SA,PASSERIFORMES,Tyrannidae,双斑侏霸鹟
5171,Lophotriccus galeatus,SA,PASSERIFORMES,Tyrannidae,盔侏霸鹟
5172,Atalotriccus pilaris,"MA, SA",PASSERIFORMES,Tyrannidae,淡眼侏霸鹟
5173,Poecilotriccus ruficeps,SA,PASSERIFORMES,Tyrannidae,棕顶哑霸鹟
5174,Poecilotriccus luluae,SA,PASSERIFORMES,Tyrannidae,红头哑霸鹟
5175,Poecilotriccus albifacies,SA,PASSERIFORMES,Tyrannidae,白颊哑霸鹟
5176,Poecilotriccus capitalis,SA,PASSERIFORMES,Tyrannidae,黑白哑霸鹟
5177,Poecilotriccus senex,SA,PASSERIFORMES,Tyrannidae,黄颊哑霸鹟
5178,Poecilotriccus russatus,SA,PASSERIFORMES,Tyrannidae,赤黄哑霸鹟
5179,Poecilotriccus plumbeiceps,SA,PASSERIFORMES,Tyrannidae,赭脸哑霸鹟
5180,Poecilotriccus fumifrons,SA,PASSERIFORMES,Tyrannidae,灰额哑霸鹟
5181,Poecilotriccus latirostris,SA,PASSERIFORMES,Tyrannidae,锈额哑霸鹟
5182,Poecilotriccus sylvia,"MA, SA",PASSERIFORMES,Tyrannidae,蓝灰头哑霸鹟
5183,Poecilotriccus calopterus,SA,PASSERIFORMES,Tyrannidae,金翅哑霸鹟
5184,Poecilotriccus pulchellus,SA,PASSERIFORMES,Tyrannidae,黑背哑霸鹟
5185,Taeniotriccus andrei,SA,PASSERIFORMES,Tyrannidae,黑胸霸鹟
5186,Todirostrum maculatum,SA,PASSERIFORMES,Tyrannidae,斑哑霸鹟
5187,Todirostrum poliocephalum,SA,PASSERIFORMES,Tyrannidae,灰头哑霸鹟
5188,Todirostrum cinereum,"MA, SA",PASSERIFORMES,Tyrannidae,哑霸鹟
5189,Todirostrum viridanum,SA,PASSERIFORMES,Tyrannidae,短尾哑霸鹟
5190,Todirostrum pictum,SA,PASSERIFORMES,Tyrannidae,彩哑霸鹟
5191,Todirostrum chrysocrotaphum,SA,PASSERIFORMES,Tyrannidae,黄眉哑霸鹟
5192,Todirostrum nigriceps,"MA, SA",PASSERIFORMES,Tyrannidae,黑头哑霸鹟
5193,Cnipodectes subbrunneus,"MA, SA",PASSERIFORMES,Tyrannidae,褐霸鹟
5194,Cnipodectes superrufus,SA,PASSERIFORMES,Tyrannidae,棕霸鹟
5195,Rhynchocyclus pacificus,SA,PASSERIFORMES,Tyrannidae,太平洋扁嘴霸鹟
5196,Rhynchocyclus brevirostris,MA,PASSERIFORMES,Tyrannidae,眼环扁嘴霸鹟
5197,Rhynchocyclus fulvipectus,SA,PASSERIFORMES,Tyrannidae,锈胸扁嘴霸鹟
5198,Rhynchocyclus aequinoctialis,"MA, SA",PASSERIFORMES,Tyrannidae,Western Olivaceous Flatbill
5199,Rhynchocyclus olivaceus,"MA, SA",PASSERIFORMES,Tyrannidae,绿扁嘴霸鹟
5200,Tolmomyias sulphurescens,"MA, SA",PASSERIFORMES,Tyrannidae,黄绿霸鹟
5201,Tolmomyias traylori,SA,PASSERIFORMES,Tyrannidae,黄眼霸鹟
5202,Tolmomyias flavotectus,"MA, SA",PASSERIFORMES,Tyrannidae,黄翅霸鹟
5203,Tolmomyias assimilis,SA,PASSERIFORMES,Tyrannidae,黄羽缘霸鹟
5204,Tolmomyias poliocephalus,SA,PASSERIFORMES,Tyrannidae,灰顶霸鹟
5205,Tolmomyias flaviventris,"MA, SA",PASSERIFORMES,Tyrannidae,黄胸霸鹟
5206,Tolmomyias viridiceps,SA,PASSERIFORMES,Tyrannidae,绿脸霸鹟
5207,Calyptura cristata,SA,PASSERIFORMES,Tyrannidae,姬伞鸟
5208,Platyrinchus saturatus,SA,PASSERIFORMES,Tyrannidae,桂红冠铲嘴雀
5209,Platyrinchus cancrominus,MA,PASSERIFORMES,Tyrannidae,短尾铲嘴雀
5210,Platyrinchus mystaceus,"MA, SA",PASSERIFORMES,Tyrannidae,白喉铲嘴雀
5211,Platyrinchus coronatus,"MA, SA",PASSERIFORMES,Tyrannidae,金冠铲嘴雀
5212,Platyrinchus flavigularis,SA,PASSERIFORMES,Tyrannidae,黄喉铲嘴雀
5213,Platyrinchus platyrhynchos,SA,PASSERIFORMES,Tyrannidae,白冠铲嘴雀
5214,Platyrinchus leucoryphus,SA,PASSERIFORMES,Tyrannidae,黄褐翅铲嘴雀
5215,Neopipo cinnamomea,SA,PASSERIFORMES,Tyrannidae,栗红霸鹟
5216,Pyrrhomyias cinnamomeus,SA,PASSERIFORMES,Tyrannidae,桂红霸鹟
5217,Hirundinea ferruginea,SA,PASSERIFORMES,Tyrannidae,峭壁霸鹟
5218,Lathrotriccus euleri,SA,PASSERIFORMES,Tyrannidae,南美纹霸鹟
5219,Lathrotriccus griseipectus,SA,PASSERIFORMES,Tyrannidae,灰胸纹霸鹟
5220,Aphanotriccus capitalis,MA,PASSERIFORMES,Tyrannidae,褐胸斑翅霸鹟
5221,Aphanotriccus audax,"MA, SA",PASSERIFORMES,Tyrannidae,黑嘴斑翅霸鹟
5222,Cnemotriccus fuscatus,SA,PASSERIFORMES,Tyrannidae,暗褐霸鹟
5223,Xenotriccus callizonus,MA,PASSERIFORMES,Tyrannidae,带霸鹟
5224,Xenotriccus mexicanus,MA,PASSERIFORMES,Tyrannidae,墨西哥霸鹟
5225,Sayornis nigricans,"NA, MA, SA",PASSERIFORMES,Tyrannidae,黑长尾霸鹟
5226,Sayornis saya,"NA, MA",PASSERIFORMES,Tyrannidae,棕腹长尾霸鹟
5227,Mitrephanes phaeocercus,"MA, SA",PASSERIFORMES,Tyrannidae,领霸鹟
5228,Mitrephanes olivaceus,SA,PASSERIFORMES,Tyrannidae,橄榄色霸鹟
5229,Contopus pertinax,"NA, MA",PASSERIFORMES,Tyrannidae,大绿霸鹟
5230,Contopus lugubris,MA,PASSERIFORMES,Tyrannidae,暗绿霸鹟
5231,Contopus fumigatus,SA,PASSERIFORMES,Tyrannidae,烟色绿霸鹟
5232,Contopus ochraceus,MA,PASSERIFORMES,Tyrannidae,赭色绿霸鹟
5233,Contopus sordidulus,"NA, MA",PASSERIFORMES,Tyrannidae,西绿霸鹟
5234,Contopus bogotensis,"MA, SA",PASSERIFORMES,Tyrannidae,北热带绿霸鹟
5235,Contopus punensis,SA,PASSERIFORMES,Tyrannidae,西热带绿霸鹟
5236,Contopus cinereus,SA,PASSERIFORMES,Tyrannidae,南热带绿霸鹟
5237,Contopus albogularis,SA,PASSERIFORMES,Tyrannidae,白喉绿霸鹟
5238,Contopus nigrescens,SA,PASSERIFORMES,Tyrannidae,黑绿霸鹟
5239,Empidonax albigularis,MA,PASSERIFORMES,Tyrannidae,白喉纹霸鹟
5240,Empidonax affinis,MA,PASSERIFORMES,Tyrannidae,松纹霸鹟
5241,Empidonax difficilis,"NA, MA",PASSERIFORMES,Tyrannidae,北美纹霸鹟
5242,Empidonax flavescens,MA,PASSERIFORMES,Tyrannidae,淡黄纹霸鹟
5243,Empidonax fulvifrons,"NA, MA",PASSERIFORMES,Tyrannidae,黄胸纹霸鹟
5244,Empidonax atriceps,MA,PASSERIFORMES,Tyrannidae,黑顶纹霸鹟
5245,Pyrocephalus rubinus,SA,PASSERIFORMES,Tyrannidae,猩红霸鹟
5246,Pyrocephalus obscurus,"NA, MA, SA",PASSERIFORMES,Tyrannidae,朱红霸鹟
5247,Pyrocephalus nanus,SA,PASSERIFORMES,Tyrannidae,小朱红霸鹟
5248,Ochthornis littoralis,SA,PASSERIFORMES,Tyrannidae,淡褐唧霸鹟
5249,Satrapa icterophrys,SA,PASSERIFORMES,Tyrannidae,黄眉霸鹟
5250,Syrtidicola fluviatilis,SA,PASSERIFORMES,Tyrannidae,小地霸鹟
5251,Muscisaxicola maculirostris,SA,PASSERIFORMES,Tyrannidae,斑嘴地霸鹟
5252,Muscisaxicola albifrons,SA,PASSERIFORMES,Tyrannidae,白额地霸鹟
5253,Muscisaxicola flavinucha,SA,PASSERIFORMES,Tyrannidae,赭颈地霸鹟
5254,Muscisaxicola alpinus,SA,PASSERIFORMES,Tyrannidae,淡顶地霸鹟
5255,Muscisaxicola griseus,SA,PASSERIFORMES,Tyrannidae,灰顶地霸鹟
5256,Muscisaxicola cinereus,SA,PASSERIFORMES,Tyrannidae,灰地霸鹟
5257,Muscisaxicola rufivertex,SA,PASSERIFORMES,Tyrannidae,棕颈地霸鹟
5258,Muscisaxicola maclovianus,SA,PASSERIFORMES,Tyrannidae,暗脸地霸鹟
5259,Muscisaxicola albilora,SA,PASSERIFORMES,Tyrannidae,白眉地霸鹟
5260,Muscisaxicola capistratus,SA,PASSERIFORMES,Tyrannidae,红腹地霸鹟
5261,Muscisaxicola juninensis,SA,PASSERIFORMES,Tyrannidae,高山地霸鹟
5262,Muscisaxicola frontalis,SA,PASSERIFORMES,Tyrannidae,黑额地霸鹟
5263,Lessonia oreas,SA,PASSERIFORMES,Tyrannidae,萨氏小霸鹟
5264,Lessonia rufa,SA,PASSERIFORMES,Tyrannidae,棕背小霸鹟
5265,Hymenops perspicillatus,SA,PASSERIFORMES,Tyrannidae,斑眼霸鹟
5266,Knipolegus cyanirostris,SA,PASSERIFORMES,Tyrannidae,蓝嘴黑霸鹟
5267,Knipolegus signatus,SA,PASSERIFORMES,Tyrannidae,秘鲁丛霸鹟
5268,Knipolegus cabanisi,SA,PASSERIFORMES,Tyrannidae,淡嘴黑霸鹟
5269,Knipolegus striaticeps,SA,PASSERIFORMES,Tyrannidae,灰霸鹟
5270,Knipolegus aterrimus,SA,PASSERIFORMES,Tyrannidae,白翅黑霸鹟
5271,Knipolegus hudsoni,SA,PASSERIFORMES,Tyrannidae,哈氏黑霸鹟
5272,Knipolegus poecilurus,SA,PASSERIFORMES,Tyrannidae,棕尾霸鹟
5273,Knipolegus orenocensis,SA,PASSERIFORMES,Tyrannidae,滨霸鹟
5274,Knipolegus poecilocercus,SA,PASSERIFORMES,Tyrannidae,亚马孙黑霸鹟
5275,Knipolegus lophotes,SA,PASSERIFORMES,Tyrannidae,冠黑霸鹟
5276,Knipolegus nigerrimus,SA,PASSERIFORMES,Tyrannidae,柔羽黑霸鹟
5277,Knipolegus franciscanus,SA,PASSERIFORMES,Tyrannidae,巴西黑霸鹟
5278,Cnemarchus erythropygius,SA,PASSERIFORMES,Tyrannidae,红腰丛霸鹟
5279,Cnemarchus rufipennis,SA,PASSERIFORMES,Tyrannidae,丛霸鹟
5280,Xolmis velatus,SA,PASSERIFORMES,Tyrannidae,白腰蒙霸鹟
5281,Xolmis irupero,SA,PASSERIFORMES,Tyrannidae,白蒙霸鹟
5282,Pyrope pyrope,SA,PASSERIFORMES,Tyrannidae,红眼蒙霸鹟
5283,Nengetus cinereus,SA,PASSERIFORMES,Tyrannidae,灰蒙霸鹟
5284,Neoxolmis coronatus,SA,PASSERIFORMES,Tyrannidae,黑顶蒙霸鹟
5285,Neoxolmis rubetra,SA,PASSERIFORMES,Tyrannidae,锈背蒙霸鹟
5286,Neoxolmis salinarum,SA,PASSERIFORMES,Tyrannidae,盐沼蒙霸鹟
5287,Neoxolmis rufiventris,SA,PASSERIFORMES,Tyrannidae,赭肛霸鹟
