,IOC,Breeding Range,Order,Family,Chinese
134,Spatula platalea,SA,ANSERIFORMES,Anatidae,赤琵嘴鸭
135,Spatula cyanoptera,"NA, MA, SA",ANSERIFORMES,Anatidae,桂红鸭
136,Spatula smithii,AF,ANSERIFORMES,Anatidae,褐顶琵嘴鸭
137,Spatula rhynchotis,AU,ANSERIFORMES,Anatidae,黑顶琵嘴鸭
138,Spatula clypeata,"NA, PAL",ANSERIFORMES,Anatidae,琵嘴鸭
139,Mareca strepera,"NA, PAL",ANSERIFORMES,Anatidae,赤膀鸭
140,Mareca falcata,PAL,ANSERIFORMES,Anatidae,罗纹鸭
141,Mareca penelope,PAL,ANSERIFORMES,Anatidae,赤颈鸭
142,Mareca sibilatrix,SA,ANSERIFORMES,Anatidae,黑白斑胸鸭
143,Anas sparsa,AF,ANSERIFORMES,Anatidae,非洲黑鸭
144,Anas undulata,AF,ANSERIFORMES,Anatidae,非洲黄嘴鸭
145,Anas melleri,AF,ANSERIFORMES,Anatidae,麻斑鸭
146,Anas superciliosa,AU,ANSERIFORMES,Anatidae,太平洋黑鸭
147,Anas laysanensis,PO,ANSERIFORMES,Anatidae,莱岛鸭
148,Anas wyvilliana,PO,ANSERIFORMES,Anatidae,夏威夷鸭
149,Anas luzonica,OR,ANSERIFORMES,Anatidae,棕颈鸭
150,Anas poecilorhyncha,OR,ANSERIFORMES,Anatidae,印缅斑嘴鸭
151,Anas zonorhyncha,OR,ANSERIFORMES,Anatidae,斑嘴鸭
152,Anas platyrhynchos,"NA, PAL",ANSERIFORMES,Anatidae,绿头鸭
153,Anas diazi,"NA, MA",ANSERIFORMES,Anatidae,墨西哥鸭
154,Anas capensis,AF,ANSERIFORMES,Anatidae,绿翅灰斑鸭
155,Anas bahamensis,"SA, NA",ANSERIFORMES,Anatidae,白脸针尾鸭
156,Anas erythrorhyncha,AF,ANSERIFORMES,Anatidae,赤嘴鸭
157,Anas georgica,SA,ANSERIFORMES,Anatidae,黄嘴针尾鸭
158,Anas eatoni,IO,ANSERIFORMES,Anatidae,凯岛针尾鸭
159,Anas acuta,"NA, PAL",ANSERIFORMES,Anatidae,针尾鸭
160,Anas crecca,"PAL, NA",ANSERIFORMES,Anatidae,绿翅鸭
161,Anas flavirostris,SA,ANSERIFORMES,Anatidae,黄嘴鸭
162,Anas andium,SA,ANSERIFORMES,Anatidae,斑头鸭
163,Anas gibberifrons,OR,ANSERIFORMES,Anatidae,爪哇灰鸭
164,Anas albogularis,OR,ANSERIFORMES,Anatidae,安岛灰鸭
165,Anas gracilis,AU,ANSERIFORMES,Anatidae,灰鸭
166,Anas castanea,AU,ANSERIFORMES,Anatidae,栗胸鸭
167,Anas bernieri,AF,ANSERIFORMES,Anatidae,马岛鸭
168,Anas chlorotis,AU,ANSERIFORMES,Anatidae,褐鸭
169,Anas aucklandica,AU,ANSERIFORMES,Anatidae,奥岛鸭
170,Anas nesiotis,AU,ANSERIFORMES,Anatidae,坎岛鸭
171,Marmaronetta angustirostris,PAL,ANSERIFORMES,Anatidae,云石斑鸭
172,Netta rufina,PAL,ANSERIFORMES,Anatidae,赤嘴潜鸭
173,Netta peposaca,SA,ANSERIFORMES,Anatidae,粉嘴潜鸭
174,Netta erythrophthalma,"AF, SA",ANSERIFORMES,Anatidae,灰嘴潜鸭
175,Aythya ferina,PAL,ANSERIFORMES,Anatidae,红头潜鸭
176,Aythya australis,AU,ANSERIFORMES,Anatidae,澳洲潜鸭
177,Aythya innotata,AF,ANSERIFORMES,Anatidae,马岛潜鸭
178,Aythya baeri,PAL,ANSERIFORMES,Anatidae,青头潜鸭
179,Aythya nyroca,PAL,ANSERIFORMES,Anatidae,白眼潜鸭
180,Aythya novaeseelandiae,AU,ANSERIFORMES,Anatidae,新西兰潜鸭
181,Aythya fuligula,PAL,ANSERIFORMES,Anatidae,凤头潜鸭
182,Aythya marila,"NA, PAL",ANSERIFORMES,Anatidae,斑背潜鸭
183,Polysticta stelleri,"NA, PAL",ANSERIFORMES,Anatidae,小绒鸭
184,Somateria fischeri,"NA, PAL",ANSERIFORMES,Anatidae,白眶绒鸭
185,Somateria spectabilis,"NA, PAL",ANSERIFORMES,Anatidae,王绒鸭
186,Somateria mollissima,"NA, PAL",ANSERIFORMES,Anatidae,欧绒鸭
187,Histrionicus histrionicus,"NA, PAL",ANSERIFORMES,Anatidae,丑鸭
188,Melanitta fusca,PAL,ANSERIFORMES,Anatidae,丝绒海番鸭
189,Melanitta stejnegeri,PAL,ANSERIFORMES,Anatidae,斑脸海番鸭
190,Melanitta nigra,PAL,ANSERIFORMES,Anatidae,普通海番鸭
191,Melanitta americana,"PAL, NA",ANSERIFORMES,Anatidae,黑海番鸭
192,Clangula hyemalis,"NA, PAL",ANSERIFORMES,Anatidae,长尾鸭
193,Bucephala clangula,"NA, PAL",ANSERIFORMES,Anatidae,鹊鸭
194,Bucephala islandica,"NA, PAL",ANSERIFORMES,Anatidae,巴氏鹊鸭
195,Mergellus albellus,PAL,ANSERIFORMES,Anatidae,斑头秋沙鸭
196,Mergus octosetaceus,SA,ANSERIFORMES,Anatidae,褐秋沙鸭
197,Mergus merganser,"NA, PAL",ANSERIFORMES,Anatidae,普通秋沙鸭
198,Mergus serrator,"NA, PAL",ANSERIFORMES,Anatidae,红胸秋沙鸭
199,Mergus squamatus,PAL,ANSERIFORMES,Anatidae,中华秋沙鸭
200,Heteronetta atricapilla,SA,ANSERIFORMES,Anatidae,黑头鸭
201,Nomonyx dominicus,"MA, SA",ANSERIFORMES,Anatidae,花脸硬尾鸭
202,Oxyura jamaicensis,"NA, MA",ANSERIFORMES,Anatidae,棕硬尾鸭
203,Oxyura ferruginea,SA,ANSERIFORMES,Anatidae,安第斯硬尾鸭
204,Oxyura vittata,SA,ANSERIFORMES,Anatidae,南美硬尾鸭
205,Oxyura australis,AU,ANSERIFORMES,Anatidae,澳洲硬尾鸭
206,Oxyura maccoa,AF,ANSERIFORMES,Anatidae,非洲硬尾鸭
207,Oxyura leucocephala,PAL,ANSERIFORMES,Anatidae,白头硬尾鸭
208,Biziura lobata,AU,ANSERIFORMES,Anatidae,麝鸭
209,Alectura lathami,AU,GALLIFORMES,Megapodiidae,大塚雉
210,Aepypodius arfakianus,AU,GALLIFORMES,Megapodiidae,肉垂塚雉
211,Aepypodius bruijnii,AU,GALLIFORMES,Megapodiidae,冠塚雉
212,Talegalla cuvieri,AU,GALLIFORMES,Megapodiidae,红嘴塚雉
213,Talegalla fuscirostris,AU,GALLIFORMES,Megapodiidae,黑嘴塚雉
214,Talegalla jobiensis,AU,GALLIFORMES,Megapodiidae,褐领塚雉
215,Leipoa ocellata,AU,GALLIFORMES,Megapodiidae,斑塚雉
216,Macrocephalon maleo,AU,GALLIFORMES,Megapodiidae,塚雉
217,Eulipoa wallacei,AU,GALLIFORMES,Megapodiidae,摩鹿加塚雉
218,Megapodius pritchardii,PO,GALLIFORMES,Megapodiidae,汤加塚雉
219,Megapodius laperouse,PO,GALLIFORMES,Megapodiidae,马岛塚雉
220,Megapodius nicobariensis,OR,GALLIFORMES,Megapodiidae,尼柯巴塚雉
221,Megapodius cumingii,"OR, AU",GALLIFORMES,Megapodiidae,菲律宾塚雉
222,Megapodius bernsteinii,AU,GALLIFORMES,Megapodiidae,苏拉塚雉
223,Megapodius tenimberensis,AU,GALLIFORMES,Megapodiidae,塔岛塚雉
224,Megapodius freycinet,AU,GALLIFORMES,Megapodiidae,暗色塚雉
225,Megapodius geelvinkianus,AU,GALLIFORMES,Megapodiidae,比岛塚雉
226,Megapodius eremita,AU,GALLIFORMES,Megapodiidae,红斑塚雉
227,Megapodius layardi,AU,GALLIFORMES,Megapodiidae,瓦努阿图塚雉
228,Megapodius decollatus,AU,GALLIFORMES,Megapodiidae,斑喉塚雉
229,Megapodius reinwardt,AU,GALLIFORMES,Megapodiidae,橙脚塚雉
230,Ortalis vetula,"NA, MA",GALLIFORMES,Cracidae,纯色小冠雉
231,Ortalis cinereiceps,"MA, SA",GALLIFORMES,Cracidae,灰头小冠雉
232,Ortalis garrula,SA,GALLIFORMES,Cracidae,栗翅小冠雉
233,Ortalis ruficauda,SA,GALLIFORMES,Cracidae,棕臀小冠雉
234,Ortalis erythroptera,SA,GALLIFORMES,Cracidae,棕头小冠雉
