,IOC,Breeding Range,Order,Family,Norwegian
111,Tadorna ferruginea,PAL,ANSERIFORMES,Anatidae,rustand
112,Tadorna cana,AF,ANSERIFORMES,Anatidae,kapprustand
113,Tadorna tadornoides,AU,ANSERIFORMES,Anatidae,praktrustand
114,Tadorna variegata,AU,ANSERIFORMES,Anatidae,maorirustand
115,Malacorhynchus membranaceus,AU,ANSERIFORMES,Anatidae,leppeand
116,Salvadorina waigiuensis,AU,ANSERIFORMES,Anatidae,tigerand
117,Cairina moschata,"NA, MA, SA",ANSERIFORMES,Anatidae,knoppand
118,Asarcornis scutulata,OR,ANSERIFORMES,Anatidae,jungeland
119,Pteronetta hartlaubii,AF,ANSERIFORMES,Anatidae,mahogniand
120,Aix galericulata,PAL,ANSERIFORMES,Anatidae,mandarinand
121,Chenonetta jubata,AU,ANSERIFORMES,Anatidae,mankeand
122,Nettapus auritus,AF,ANSERIFORMES,Anatidae,praktdvergand
123,Nettapus coromandelianus,OR,ANSERIFORMES,Anatidae,beltedvergand
124,Nettapus pulchellus,AU,ANSERIFORMES,Anatidae,grønndvergand
125,Amazonetta brasiliensis,SA,ANSERIFORMES,Anatidae,brasiland
126,Callonetta leucophrys,SA,ANSERIFORMES,Anatidae,prydand
127,Lophonetta specularioides,SA,ANSERIFORMES,Anatidae,duskand
128,Speculanas specularis,SA,ANSERIFORMES,Anatidae,bronsevingeand
129,Sibirionetta formosa,PAL,ANSERIFORMES,Anatidae,gulkinnand
130,Spatula querquedula,PAL,ANSERIFORMES,Anatidae,knekkand
131,Spatula hottentota,AF,ANSERIFORMES,Anatidae,sumpand
132,Spatula puna,SA,ANSERIFORMES,Anatidae,punaand
133,Spatula versicolor,SA,ANSERIFORMES,Anatidae,sølvand
134,Spatula platalea,SA,ANSERIFORMES,Anatidae,prikkskjeand
135,Spatula cyanoptera,"NA, MA, SA",ANSERIFORMES,Anatidae,kaneland
136,Spatula smithii,AF,ANSERIFORMES,Anatidae,kappskjeand
137,Spatula rhynchotis,AU,ANSERIFORMES,Anatidae,sigdskjeand
138,Spatula clypeata,"NA, PAL",ANSERIFORMES,Anatidae,skjeand
139,Mareca strepera,"NA, PAL",ANSERIFORMES,Anatidae,snadderand
140,Mareca falcata,PAL,ANSERIFORMES,Anatidae,sibirand
141,Mareca penelope,PAL,ANSERIFORMES,Anatidae,brunnakke
142,Mareca sibilatrix,SA,ANSERIFORMES,Anatidae,sørblesand
143,Anas sparsa,AF,ANSERIFORMES,Anatidae,elveand
144,Anas undulata,AF,ANSERIFORMES,Anatidae,gulnebband
145,Anas melleri,AF,ANSERIFORMES,Anatidae,madagaskarand
146,Anas superciliosa,AU,ANSERIFORMES,Anatidae,stripeand
147,Anas laysanensis,PO,ANSERIFORMES,Anatidae,laysanand
148,Anas wyvilliana,PO,ANSERIFORMES,Anatidae,hawaiiand
149,Anas luzonica,OR,ANSERIFORMES,Anatidae,filippinerand
150,Anas poecilorhyncha,OR,ANSERIFORMES,Anatidae,flekknebband
151,Anas zonorhyncha,OR,ANSERIFORMES,Anatidae,kinaand
152,Anas platyrhynchos,"NA, PAL",ANSERIFORMES,Anatidae,stokkand
153,Anas diazi,"NA, MA",ANSERIFORMES,Anatidae,mexicoand
154,Anas capensis,AF,ANSERIFORMES,Anatidae,kappand
155,Anas bahamensis,"SA, NA",ANSERIFORMES,Anatidae,hvitkinnand
156,Anas erythrorhyncha,AF,ANSERIFORMES,Anatidae,rødnebband
157,Anas georgica,SA,ANSERIFORMES,Anatidae,spisshaleand
158,Anas eatoni,IO,ANSERIFORMES,Anatidae,kerguelenand
159,Anas acuta,"NA, PAL",ANSERIFORMES,Anatidae,stjertand
160,Anas crecca,"PAL, NA",ANSERIFORMES,Anatidae,krikkand
161,Anas flavirostris,SA,ANSERIFORMES,Anatidae,gulnebbkrikkand
162,Anas andium,SA,ANSERIFORMES,Anatidae,andeskrikkand
163,Anas gibberifrons,OR,ANSERIFORMES,Anatidae,gråkrikkand
164,Anas albogularis,OR,ANSERIFORMES,Anatidae,hvitstrupekrikkand
165,Anas gracilis,AU,ANSERIFORMES,Anatidae,nomadeand
166,Anas castanea,AU,ANSERIFORMES,Anatidae,kastanjeand
167,Anas bernieri,AF,ANSERIFORMES,Anatidae,gasserkrikkand
168,Anas chlorotis,AU,ANSERIFORMES,Anatidae,kobberand
169,Anas aucklandica,AU,ANSERIFORMES,Anatidae,bronseand
170,Anas nesiotis,AU,ANSERIFORMES,Anatidae,campbelland
171,Marmaronetta angustirostris,PAL,ANSERIFORMES,Anatidae,marmorand
