,IOC,Breeding Range,Order,Family,Czech
211,Aepypodius bruijnii,AU,GALLIFORMES,Megapodiidae,tabon hnědoprsý
212,Talegalla cuvieri,AU,GALLIFORMES,Megapodiidae,tabon červenozobý
213,Talegalla fuscirostris,AU,GALLIFORMES,Megapodiidae,tabon černozobý
214,Talegalla jobiensis,AU,GALLIFORMES,Megapodiidae,tabon rudonohý
215,Leipoa ocellata,AU,GALLIFORMES,Megapodiidae,tabon holubí
216,Macrocephalon maleo,AU,GALLIFORMES,Megapodiidae,tabon přílbový
217,Eulipoa wallacei,AU,GALLIFORMES,Megapodiidae,tabon molucký
218,Megapodius pritchardii,PO,GALLIFORMES,Megapodiidae,tabon tonžský
219,Megapodius laperouse,PO,GALLIFORMES,Megapodiidae,tabon mikronéský
220,Megapodius nicobariensis,OR,GALLIFORMES,Megapodiidae,tabon nikobarský
221,Megapodius cumingii,"OR, AU",GALLIFORMES,Megapodiidae,tabon filipínský
222,Megapodius bernsteinii,AU,GALLIFORMES,Megapodiidae,tabon sulský
223,Megapodius tenimberensis,AU,GALLIFORMES,Megapodiidae,tabon tanimbarský
224,Megapodius freycinet,AU,GALLIFORMES,Megapodiidae,tabon tmavý
225,Megapodius geelvinkianus,AU,GALLIFORMES,Megapodiidae,tabon biacký
226,Megapodius eremita,AU,GALLIFORMES,Megapodiidae,tabon melanéský
227,Megapodius layardi,AU,GALLIFORMES,Megapodiidae,tabon vanuatský
228,Megapodius decollatus,AU,GALLIFORMES,Megapodiidae,tabon novoguinejský
229,Megapodius reinwardt,AU,GALLIFORMES,Megapodiidae,tabon oranžovonohý
230,Ortalis vetula,"NA, MA",GALLIFORMES,Cracidae,čačalaka obecná
231,Ortalis cinereiceps,"MA, SA",GALLIFORMES,Cracidae,čačalaka šedohlavá
232,Ortalis garrula,SA,GALLIFORMES,Cracidae,čačalaka rezavokřídlá
233,Ortalis ruficauda,SA,GALLIFORMES,Cracidae,čačalaka venezuelská
234,Ortalis erythroptera,SA,GALLIFORMES,Cracidae,čačalaka rezavohlavá
235,Ortalis wagleri,MA,GALLIFORMES,Cracidae,čačalaka rezavobřichá
236,Ortalis poliocephala,MA,GALLIFORMES,Cracidae,čačalaka západomexická
237,Ortalis canicollis,SA,GALLIFORMES,Cracidae,čačalaka šedokrká
238,Ortalis leucogastra,MA,GALLIFORMES,Cracidae,čačalaka bělobřichá
239,Ortalis guttata,SA,GALLIFORMES,Cracidae,čačalaka kropenatá
240,Ortalis araucuan,SA,GALLIFORMES,Cracidae,čačalaka brazilská
241,Ortalis squamata,SA,GALLIFORMES,Cracidae,čačalaka šupinatá
