,IOC,Breeding Range,Order,Family,Czech
5819,Dasyornis brachypterus,AU,PASSERIFORMES,Dasyornithidae,střízlíkovec východní
5820,Dasyornis longirostris,AU,PASSERIFORMES,Dasyornithidae,střízlíkovec západní
5821,Dasyornis broadbenti,AU,PASSERIFORMES,Dasyornithidae,střízlíkovec rezavohlavý
5822,Pardalotus punctatus,AU,PASSERIFORMES,Pardalotidae,pardalot tečkovaný
5823,Pardalotus quadragintus,AU,PASSERIFORMES,Pardalotidae,pardalot tasmánský
5824,Pardalotus rubricatus,AU,PASSERIFORMES,Pardalotidae,pardalot oranžovobrvý
5825,Pardalotus striatus,AU,PASSERIFORMES,Pardalotidae,pardalot australský
5826,Pachycare flavogriseum,AU,PASSERIFORMES,Acanthizidae,pištec žlutolící
5827,Oreoscopus gutturalis,AU,PASSERIFORMES,Acanthizidae,střízlíkovec kapradinov
5828,Acanthornis magna,AU,PASSERIFORMES,Acanthizidae,střízlíkovec sýkorovitý
5829,Smicrornis brevirostris,AU,PASSERIFORMES,Acanthizidae,střízlíkovec malinký
5830,Calamanthus fuliginosus,AU,PASSERIFORMES,Acanthizidae,střízlíkovec proužkovaný
5831,Calamanthus montanellus,AU,PASSERIFORMES,Acanthizidae,Western Fieldwren
5832,Calamanthus campestris,AU,PASSERIFORMES,Acanthizidae,střízlíkovec čárkovaný
5833,Hylacola pyrrhopygia,AU,PASSERIFORMES,Acanthizidae,střízlíkovec pokřovní
5834,Hylacola cauta,AU,PASSERIFORMES,Acanthizidae,střízlíkovec plachý
5835,Pycnoptilus floccosus,AU,PASSERIFORMES,Acanthizidae,střízlíkovec lyrochvostí
5836,Pyrrholaemus brunneus,AU,PASSERIFORMES,Acanthizidae,střízlíkovec rezavohrdlý
5837,Pyrrholaemus sagittatus,AU,PASSERIFORMES,Acanthizidae,střízlíkovec proužkobřichý
5838,Origma solitaria,AU,PASSERIFORMES,Acanthizidae,střízlíkovec skalní
5839,Origma murina,AU,PASSERIFORMES,Acanthizidae,střízlíkovec rezavý
5840,Origma robusta,AU,PASSERIFORMES,Acanthizidae,střízlíkovec horský
5841,Neosericornis citreogularis,AU,PASSERIFORMES,Acanthizidae,střízlíkovec žlutohrdlý
5842,Aethomyias nigrorufus,AU,PASSERIFORMES,Acanthizidae,střízlíkovec dvoubarvý
5843,Aethomyias spilodera,AU,PASSERIFORMES,Acanthizidae,střízlíkovec bledozobý
5844,Aethomyias rufescens,AU,PASSERIFORMES,Acanthizidae,střízlíkovec irianský
5845,Aethomyias perspicillatus,AU,PASSERIFORMES,Acanthizidae,střízlíkovec oranžovolící
5846,Aethomyias papuensis,AU,PASSERIFORMES,Acanthizidae,střízlíkovec papuánský
5847,Aethomyias arfakianus,AU,PASSERIFORMES,Acanthizidae,střízlíkovec arfacký
5848,Sericornis magnirostra,AU,PASSERIFORMES,Acanthizidae,střízlíkovec velkozobý
5849,Sericornis beccarii,AU,PASSERIFORMES,Acanthizidae,střízlíkovec tropický
5850,Sericornis nouhuysi,AU,PASSERIFORMES,Acanthizidae,střízlíkovec větší
5851,Sericornis maculatus,AU,PASSERIFORMES,Acanthizidae,střízlíkovec skvrnitoprsý
5852,Sericornis humilis,AU,PASSERIFORMES,Acanthizidae,střízlíkovec tasmánský
5853,Sericornis keri,AU,PASSERIFORMES,Acanthizidae,střízlíkovec athertonský
5854,Sericornis frontalis,AU,PASSERIFORMES,Acanthizidae,střízlíkovec bělobrvý
5855,Sericornis virgatus,AU,PASSERIFORMES,Acanthizidae,střízlíkovec pralesní
5856,Gerygone mouki,AU,PASSERIFORMES,Acanthizidae,střízlíkovec hnědý
5857,Gerygone igata,AU,PASSERIFORMES,Acanthizidae,střízlíkovec novozélandský
5858,Gerygone modesta,AU,PASSERIFORMES,Acanthizidae,střízlíkovec norfolcký
5859,Gerygone albofrontata,AU,PASSERIFORMES,Acanthizidae,střízlíkovec chathamský
5860,Gerygone flavolateralis,AU,PASSERIFORMES,Acanthizidae,střízlíkovec novokaledonský
5861,Gerygone citrina,AU,PASSERIFORMES,Acanthizidae,Rennell Gerygone
5862,Gerygone ruficollis,AU,PASSERIFORMES,Acanthizidae,střízlíkovec korunový
5863,Gerygone sulphurea,"OR, AU",PASSERIFORMES,Acanthizidae,střízlíkovec sírožlutý
5864,Gerygone dorsalis,AU,PASSERIFORMES,Acanthizidae,střízlíkovec rezavoboký
5865,Gerygone levigaster,AU,PASSERIFORMES,Acanthizidae,střízlíkovec mangrovový
5866,Gerygone inornata,AU,PASSERIFORMES,Acanthizidae,střízlíkovec bělobřichý
5867,Gerygone fusca,AU,PASSERIFORMES,Acanthizidae,střízlíkovec běloocasý
5868,Gerygone tenebrosa,AU,PASSERIFORMES,Acanthizidae,střízlíkovec temný
5869,Gerygone magnirostris,AU,PASSERIFORMES,Acanthizidae,střízlíkovec hnědavý
5870,Gerygone hypoxantha,AU,PASSERIFORMES,Acanthizidae,střízlíkovec biacký
5871,Gerygone chrysogaster,AU,PASSERIFORMES,Acanthizidae,střízlíkovec žlutobřichý
5872,Gerygone chloronota,AU,PASSERIFORMES,Acanthizidae,střízlíkovec zelenohřbetý
5873,Gerygone olivacea,AU,PASSERIFORMES,Acanthizidae,střízlíkovec bělohrdlý
5874,Gerygone palpebrosa,AU,PASSERIFORMES,Acanthizidae,střízlíkovec proměnlivý
5875,Acanthiza katherina,AU,PASSERIFORMES,Acanthizidae,střízlíkovec queenslandský
5876,Acanthiza pusilla,AU,PASSERIFORMES,Acanthizidae,střízlíkovec rudooký
5877,Acanthiza apicalis,AU,PASSERIFORMES,Acanthizidae,střízlíkovec australský
5878,Acanthiza ewingii,AU,PASSERIFORMES,Acanthizidae,střízlíkovec jižní
5879,Acanthiza murina,AU,PASSERIFORMES,Acanthizidae,střízlíkovec novoguinejský
5880,Acanthiza uropygialis,AU,PASSERIFORMES,Acanthizidae,střízlíkovec světlebřichý
5881,Acanthiza reguloides,AU,PASSERIFORMES,Acanthizidae,střízlíkovec východoaustralský
5882,Acanthiza inornata,AU,PASSERIFORMES,Acanthizidae,střízlíkovec západoaustralský
5883,Acanthiza iredalei,AU,PASSERIFORMES,Acanthizidae,střízlíkovec jihoaustralský
5884,Acanthiza chrysorrhoa,AU,PASSERIFORMES,Acanthizidae,střízlíkovec žlutokostřecový
5885,Acanthiza nana,AU,PASSERIFORMES,Acanthizidae,střízlíkovec žlutý
5886,Acanthiza cinerea,AU,PASSERIFORMES,Acanthizidae,střízlíkovec šedý
5887,Acanthiza lineata,AU,PASSERIFORMES,Acanthizidae,střízlíkovec blahovičníkový
5888,Acanthiza robustirostris,AU,PASSERIFORMES,Acanthizidae,střízlíkovec šedohřbetý
5889,Aphelocephala leucopsis,AU,PASSERIFORMES,Acanthizidae,střízlíkovec tlustozobý
5890,Aphelocephala pectoralis,AU,PASSERIFORMES,Acanthizidae,střízlíkovec rezavoprsý
5891,Aphelocephala nigricincta,AU,PASSERIFORMES,Acanthizidae,střízlíkovec pruhoprsý
5892,Garritornis isidorei,AU,PASSERIFORMES,Pomatostomidae,timáliovec rezavý
5893,Pomatostomus temporalis,AU,PASSERIFORMES,Pomatostomidae,timáliovec šedotemenný
5894,Pomatostomus halli,AU,PASSERIFORMES,Pomatostomidae,timáliovec bělobrvý
5895,Pomatostomus superciliosus,AU,PASSERIFORMES,Pomatostomidae,timáliovec hnědý
5896,Pomatostomus ruficeps,AU,PASSERIFORMES,Pomatostomidae,timáliovec pruhokřídlý
5897,Orthonyx novaeguineae,AU,PASSERIFORMES,Orthonychidae,Papuan Logrunner
5898,Orthonyx temminckii,AU,PASSERIFORMES,Orthonychidae,kosík ostrocasý
5899,Orthonyx spaldingii,AU,PASSERIFORMES,Orthonychidae,kosík pospolitý
5900,Cnemophilus loriae,AU,PASSERIFORMES,Cnemophilidae,rajka horská
5901,Cnemophilus macgregorii,AU,PASSERIFORMES,Cnemophilidae,rajka chocholatá
5902,Loboparadisea sericea,AU,PASSERIFORMES,Cnemophilidae,rajka žlutoprsá
5903,Melanocharis arfakiana,AU,PASSERIFORMES,Melanocharitidae,sýkorčík tmavý
5904,Melanocharis longicauda,AU,PASSERIFORMES,Melanocharitidae,sýkorčík dlouhoocasý
5905,Melanocharis nigra,AU,PASSERIFORMES,Melanocharitidae,sýkorčík černý
5906,Melanocharis versteri,AU,PASSERIFORMES,Melanocharitidae,sýkorčík vějířový
5907,Melanocharis striativentris,AU,PASSERIFORMES,Melanocharitidae,sýkorčík proužkobřichý
5908,Melanocharis citreola,AU,PASSERIFORMES,Melanocharitidae,Satin Berrypecker
5909,Rhamphocharis crassirostris,AU,PASSERIFORMES,Melanocharitidae,sýkorčík skvrnitý
5910,Rhamphocharis piperata,AU,PASSERIFORMES,Melanocharitidae,Spotted Berrypecker
5911,Oedistoma iliolophus,AU,PASSERIFORMES,Melanocharitidae,tenkozobka šedoprsá
5912,Oedistoma pygmaeum,AU,PASSERIFORMES,Melanocharitidae,tenkozobka drobná
5913,Toxorhamphus novaeguineae,AU,PASSERIFORMES,Melanocharitidae,tenkozobka žlutobřichá
5914,Toxorhamphus poliopterus,AU,PASSERIFORMES,Melanocharitidae,tenkozobka šedohlavá
5915,Oreocharis arfaki,AU,PASSERIFORMES,Paramythiidae,květozobec sýkorovitý
5916,Paramythia olivacea,AU,PASSERIFORMES,Paramythiidae,Western Crested Berrypecker
5917,Paramythia montium,AU,PASSERIFORMES,Paramythiidae,květozobec chocholatý
5918,Callaeas wilsoni,AU,PASSERIFORMES,Callaeidae,North Island Kokako
5919,Philesturnus rufusater,AU,PASSERIFORMES,Callaeidae,North Island Saddleback
5920,Philesturnus carunculatus,AU,PASSERIFORMES,Callaeidae,laločník sedlatý
5921,Notiomystis cincta,AU,PASSERIFORMES,Notiomystidae,medosavka hvízdavá
5922,Androphobus viridis,AU,PASSERIFORMES,Psophodidae,kosovec zelenohřbetý
5923,Psophodes olivaceus,AU,PASSERIFORMES,Psophodidae,kosovec zvučnohlasý
5924,Psophodes nigrogularis,AU,PASSERIFORMES,Psophodidae,kosovec černohrdlý
5925,Psophodes leucogaster,AU,PASSERIFORMES,Psophodidae,White-bellied Whipbird
5926,Psophodes cristatus,AU,PASSERIFORMES,Psophodidae,kosovec pokřovní
5927,Psophodes occidentalis,AU,PASSERIFORMES,Psophodidae,kosovec akáciový
5928,Ptilorrhoa leucosticta,AU,PASSERIFORMES,Cinclosomatidae,kosovec horský
5929,Ptilorrhoa caerulescens,AU,PASSERIFORMES,Cinclosomatidae,kosovec modrý
5930,Ptilorrhoa geislerorum,AU,PASSERIFORMES,Cinclosomatidae,Brown-headed Jewel-babbler
5931,Ptilorrhoa castanonota,AU,PASSERIFORMES,Cinclosomatidae,kosovec pestrý
5932,Cinclosoma punctatum,AU,PASSERIFORMES,Cinclosomatidae,kosovec skvrnitý
5933,Cinclosoma castanotum,AU,PASSERIFORMES,Cinclosomatidae,kosovec šedoboký
5934,Cinclosoma clarum,AU,PASSERIFORMES,Cinclosomatidae,Copperback Quail-thrush
5935,Cinclosoma cinnamomeum,AU,PASSERIFORMES,Cinclosomatidae,kosovec skořicový
5936,Cinclosoma alisteri,AU,PASSERIFORMES,Cinclosomatidae,kosovec nullarborský
5937,Cinclosoma castaneothorax,AU,PASSERIFORMES,Cinclosomatidae,kosovec mulgový
5938,Cinclosoma marginatum,AU,PASSERIFORMES,Cinclosomatidae,Western Quail-thrush
5939,Cinclosoma ajax,AU,PASSERIFORMES,Cinclosomatidae,kosovec novoguinejský
5940,Batis diops,AF,PASSERIFORMES,Platysteiridae,lesknáček ruwenzorský
5941,Batis margaritae,AF,PASSERIFORMES,Platysteiridae,lesknáček hvízdavý
5942,Batis mixta,AF,PASSERIFORMES,Platysteiridae,lesknáček krátkoocasý
5943,Batis reichenowi,AF,PASSERIFORMES,Platysteiridae,Reichenow's Batis
5944,Batis crypta,AF,PASSERIFORMES,Platysteiridae,Dark Batis
5945,Batis dimorpha,AF,PASSERIFORMES,Platysteiridae,lesknáček malawský
5946,Batis capensis,AF,PASSERIFORMES,Platysteiridae,lesknáček kapský
5947,Batis fratrum,AF,PASSERIFORMES,Platysteiridae,lesknáček zuluský
5948,Batis molitor,AF,PASSERIFORMES,Platysteiridae,lesknáček obecný
5949,Batis senegalensis,AF,PASSERIFORMES,Platysteiridae,lesknáček senegalský
5950,Batis orientalis,AF,PASSERIFORMES,Platysteiridae,lesknáček šedohlavý
5951,Batis soror,AF,PASSERIFORMES,Platysteiridae,lesknáček mozambický
5952,Batis pririt,AF,PASSERIFORMES,Platysteiridae,lesknáček savanový
5953,Batis minor,AF,PASSERIFORMES,Platysteiridae,lesknáček černohlavý
5954,Batis erlangeri,AF,PASSERIFORMES,Platysteiridae,Western Black-headed Batis
5955,Batis perkeo,AF,PASSERIFORMES,Platysteiridae,lesknáček drobný
5956,Batis minulla,AF,PASSERIFORMES,Platysteiridae,lesknáček malinký
5957,Batis minima,AF,PASSERIFORMES,Platysteiridae,lesknáček gabonský
5958,Batis ituriensis,AF,PASSERIFORMES,Platysteiridae,lesknáček iturský
5959,Batis occulta,AF,PASSERIFORMES,Platysteiridae,lesknáček sieraleonský
5960,Batis poensis,AF,PASSERIFORMES,Platysteiridae,lesknáček ostrovní
5961,Lanioturdus torquatus,AF,PASSERIFORMES,Platysteiridae,pitoš běloocasý
5962,Platysteira hormophora,AF,PASSERIFORMES,Platysteiridae,West African Wattle-eye
5963,Platysteira castanea,AF,PASSERIFORMES,Platysteiridae,lesknáček proměnlivý
5964,Platysteira tonsa,AF,PASSERIFORMES,Platysteiridae,lesknáček běloskvrnný
5965,Platysteira laticincta,AF,PASSERIFORMES,Platysteiridae,lesknáček horský
5966,Platysteira peltata,AF,PASSERIFORMES,Platysteiridae,lesknáček obojkový
5967,Platysteira albifrons,AF,PASSERIFORMES,Platysteiridae,lesknáček angolský
5968,Platysteira cyanea,AF,PASSERIFORMES,Platysteiridae,lesknáček rudobrvý
5969,Platysteira concreta,AF,PASSERIFORMES,Platysteiridae,lesknáček žlutobřichý
5970,Platysteira blissetti,AF,PASSERIFORMES,Platysteiridae,lesknáček podrostní
5971,Platysteira chalybea,AF,PASSERIFORMES,Platysteiridae,lesknáček černokrký
5972,Platysteira jamesoni,AF,PASSERIFORMES,Platysteiridae,lesknáček kaštanovokrký
5973,Malaconotus cruentus,AF,PASSERIFORMES,Malaconotidae,ťuhýkovec rudoprsý
5974,Malaconotus monteiri,AF,PASSERIFORMES,Malaconotidae,ťuhýkovec bělouzdičkový
5975,Malaconotus blanchoti,AF,PASSERIFORMES,Malaconotidae,ťuhýkovec šedohlavý
5976,Malaconotus lagdeni,AF,PASSERIFORMES,Malaconotidae,ťuhýkovec oranžovohrdlý
5977,Malaconotus gladiator,AF,PASSERIFORMES,Malaconotidae,ťuhýkovec zelenoprsý
5978,Malaconotus alius,AF,PASSERIFORMES,Malaconotidae,ťuhýkovec černočapkový
5979,Chlorophoneus kupeensis,AF,PASSERIFORMES,Malaconotidae,ťuhýkovec kamerunský
5980,Chlorophoneus multicolor,AF,PASSERIFORMES,Malaconotidae,ťuhýkovec mnohobarvý
5981,Chlorophoneus nigrifrons,AF,PASSERIFORMES,Malaconotidae,ťuhýkovec černočelý
5982,Chlorophoneus olivaceus,AF,PASSERIFORMES,Malaconotidae,ťuhýkovec olivovohřbetý
5983,Chlorophoneus bocagei,AF,PASSERIFORMES,Malaconotidae,ťuhýkovec tmavopláštíkový
5984,Chlorophoneus sulfureopectus,AF,PASSERIFORMES,Malaconotidae,ťuhýkovec zlatoprsý
5985,Telophorus viridis,AF,PASSERIFORMES,Malaconotidae,ťuhýkovec šarlatovohrdlý
5986,Telophorus dohertyi,AF,PASSERIFORMES,Malaconotidae,ťuhýkovec rudočelý
5987,Telophorus zeylonus,AF,PASSERIFORMES,Malaconotidae,ťuhýkovec jihoafrický
5988,Telophorus cruentus,AF,PASSERIFORMES,Malaconotidae,ťuhýkovec červenopásý
5989,Bocagia minuta,AF,PASSERIFORMES,Malaconotidae,čagra černohlavý
5990,Tchagra australis,AF,PASSERIFORMES,Malaconotidae,čagra hnědohlavý
5991,Tchagra jamesi,AF,PASSERIFORMES,Malaconotidae,čagra páskovaný
5992,Tchagra tchagra,AF,PASSERIFORMES,Malaconotidae,čagra kapský
5993,Tchagra senegalus,AF,PASSERIFORMES,Malaconotidae,čagra černotemenný
5994,Dryoscopus sabini,AF,PASSERIFORMES,Malaconotidae,ťuhýkovec černobílý
5995,Dryoscopus angolensis,AF,PASSERIFORMES,Malaconotidae,ťuhýkovec růžovonohý
5996,Dryoscopus senegalensis,AF,PASSERIFORMES,Malaconotidae,ťuhýkovec rudooký
5997,Dryoscopus cubla,AF,PASSERIFORMES,Malaconotidae,ťuhýkovec černohřbetý
5998,Dryoscopus gambensis,AF,PASSERIFORMES,Malaconotidae,ťuhýkovec stromový
5999,Dryoscopus pringlii,AF,PASSERIFORMES,Malaconotidae,ťuhýkovec světlekostřecový
6000,Laniarius leucorhynchus,AF,PASSERIFORMES,Malaconotidae,ťuhýkovec černý
6001,Laniarius poensis,AF,PASSERIFORMES,Malaconotidae,ťuhýkovec černolesklý
6002,Laniarius holomelas,AF,PASSERIFORMES,Malaconotidae,Albertine Sooty Boubou
6003,Laniarius willardi,AF,PASSERIFORMES,Malaconotidae,Willard's Sooty Boubou
6004,Laniarius fuelleborni,AF,PASSERIFORMES,Malaconotidae,ťuhýkovec tanzanský
6005,Laniarius funebris,AF,PASSERIFORMES,Malaconotidae,ťuhýkovec tmavý
6006,Laniarius luehderi,AF,PASSERIFORMES,Malaconotidae,ťuhýkovec hnědotemenný
6007,Laniarius brauni,AF,PASSERIFORMES,Malaconotidae,ťuhýkovec angolský
6008,Laniarius amboimensis,AF,PASSERIFORMES,Malaconotidae,ťuhýkovec gabelský
6009,Laniarius ruficeps,AF,PASSERIFORMES,Malaconotidae,ťuhýkovec rudošíjný
6010,Laniarius nigerrimus,AF,PASSERIFORMES,Malaconotidae,ťuhýkovec buloburtský
6011,Laniarius aethiopicus,AF,PASSERIFORMES,Malaconotidae,ťuhýkovec tropický
6012,Laniarius major,AF,PASSERIFORMES,Malaconotidae,Tropical Boubou
6013,Laniarius sublacteus,AF,PASSERIFORMES,Malaconotidae,East Coast Boubou
6014,Laniarius ferrugineus,AF,PASSERIFORMES,Malaconotidae,ťuhýkovec jižní
6015,Laniarius bicolor,AF,PASSERIFORMES,Malaconotidae,ťuhýkovec dvoubarvý
6016,Laniarius turatii,AF,PASSERIFORMES,Malaconotidae,ťuhýkovec guinejský
6017,Laniarius barbarus,AF,PASSERIFORMES,Malaconotidae,ťuhýkovec žlutokorunkatý
6018,Laniarius mufumbiri,AF,PASSERIFORMES,Malaconotidae,ťuhýkovec papyrusový
6019,Laniarius erythrogaster,AF,PASSERIFORMES,Malaconotidae,ťuhýkovec karmínovobřichý
6020,Laniarius atrococcineus,AF,PASSERIFORMES,Malaconotidae,ťuhýkovec pruhokřídlý
6021,Laniarius atroflavus,AF,PASSERIFORMES,Malaconotidae,ťuhýkovec žlutoprsý
6022,Nilaus afer,AF,PASSERIFORMES,Malaconotidae,ťuhýkovec africký
6023,Machaerirhynchus flaviventer,AU,PASSERIFORMES,Machaerirhynchidae,muchálek člunozobý
6024,Machaerirhynchus nigripectus,AU,PASSERIFORMES,Machaerirhynchidae,muchálek černoštítý
6025,Calicalicus madagascariensis,AF,PASSERIFORMES,Vangidae,vanga červenoocasá
6026,Calicalicus rufocarpalis,AF,PASSERIFORMES,Vangidae,vanga červenoramenná
6027,Vanga curvirostris,AF,PASSERIFORMES,Vangidae,vanga hákozobá
6028,Oriolia bernieri,AF,PASSERIFORMES,Vangidae,vanga černá
6029,Xenopirostris xenopirostris,AF,PASSERIFORMES,Vangidae,vanga ozdobná
6030,Xenopirostris damii,AF,PASSERIFORMES,Vangidae,vanga černobílá
6031,Xenopirostris polleni,AF,PASSERIFORMES,Vangidae,vanga černokápá
6032,Falculea palliata,AF,PASSERIFORMES,Vangidae,vanga srpozobá
6033,Artamella viridis,AF,PASSERIFORMES,Vangidae,vanga bělohlavá
6034,Leptopterus chabert,AF,PASSERIFORMES,Vangidae,vanga stračí
6035,Cyanolanius comorensis,AF,PASSERIFORMES,Vangidae,Comoro Blue Vanga
6036,Cyanolanius madagascarinus,AF,PASSERIFORMES,Vangidae,vanga modrá
6037,Schetba rufa,AF,PASSERIFORMES,Vangidae,vanga rezavohřbetá
6038,Euryceros prevostii,AF,PASSERIFORMES,Vangidae,vanga přílbová
6039,Tylas eduardi,AF,PASSERIFORMES,Vangidae,vanga madagaskarská
6040,Hypositta corallirostris,AF,PASSERIFORMES,Vangidae,vanga brhličí
6041,Newtonia amphichroa,AF,PASSERIFORMES,Vangidae,pěvka madagaskarská
6042,Newtonia brunneicauda,AF,PASSERIFORMES,Vangidae,pěvka lesní
6043,Newtonia archboldi,AF,PASSERIFORMES,Vangidae,pěvka hnědohlavá
6044,Newtonia fanovanae,AF,PASSERIFORMES,Vangidae,pěvka rezavoocasá
6045,Pseudobias wardi,AF,PASSERIFORMES,Vangidae,lesknáček bělokřídlý
6046,Mystacornis crossleyi,AF,PASSERIFORMES,Vangidae,timálie pruhohlavá
6047,Prionops plumatus,AF,PASSERIFORMES,Vangidae,přílbovník chocholatý
6048,Prionops poliolophus,AF,PASSERIFORMES,Vangidae,přílbovník šedochocholatý
6049,Prionops alberti,AF,PASSERIFORMES,Vangidae,přílbovník žlutochocholatý
6050,Prionops caniceps,AF,PASSERIFORMES,Vangidae,přílbovník rudozobý
6051,Prionops rufiventris,AF,PASSERIFORMES,Vangidae,přílbovník modrokorunkatý
6052,Prionops retzii,AF,PASSERIFORMES,Vangidae,přílbovník černohnědý
6053,Prionops gabela,AF,PASSERIFORMES,Vangidae,přílbovník angolský
6054,Prionops scopifrons,AF,PASSERIFORMES,Vangidae,přílbovník hnědočelý
6055,Hemipus picatus,OR,PASSERIFORMES,Vangidae,suříkovec pruhokřídlý
6056,Hemipus hirundinaceus,OR,PASSERIFORMES,Vangidae,suříkovec černopláštíkový
6057,Tephrodornis virgatus,OR,PASSERIFORMES,Vangidae,stromovníček ťuhýčí
6058,Tephrodornis sylvicola,OR,PASSERIFORMES,Vangidae,Malabar Woodshrike
6059,Tephrodornis pondicerianus,OR,PASSERIFORMES,Vangidae,stromovníček šedohnědý
6060,Tephrodornis affinis,OR,PASSERIFORMES,Vangidae,Sri Lanka Woodshrike
6061,Philentoma pyrhoptera,OR,PASSERIFORMES,Vangidae,stromovníček lejskovitý
6062,Philentoma velata,OR,PASSERIFORMES,Vangidae,stromovníček černohrdlý
6063,Megabyas flammulatus,AF,PASSERIFORMES,Vangidae,lesknáček pralesní
6064,Bias musicus,AF,PASSERIFORMES,Vangidae,lesknáček zpěvný
6065,Pityriasis gymnocephala,OR,PASSERIFORMES,Pityriasidae,pestrohlávek bornejský
6066,Artamus fuscus,OR,PASSERIFORMES,Artamidae,lasolet šedohlavý
6067,Artamus leucorynchus,"AU, OR",PASSERIFORMES,Artamidae,lasolet bělobřichý
6068,Artamus mentalis,PO,PASSERIFORMES,Artamidae,lasolet fidžijský
6069,Artamus monachus,AU,PASSERIFORMES,Artamidae,lasolet bělohřbetý
6070,Artamus maximus,AU,PASSERIFORMES,Artamidae,lasolet horský
6071,Artamus insignis,AU,PASSERIFORMES,Artamidae,lasolet bismarcký
6072,Artamus personatus,AU,PASSERIFORMES,Artamidae,lasolet škraboškový
6073,Artamus superciliosus,AU,PASSERIFORMES,Artamidae,lasolet bělobrvý
6074,Artamus cinereus,AU,PASSERIFORMES,Artamidae,lasolet černolící
6075,Artamus cyanopterus,AU,PASSERIFORMES,Artamidae,lasolet lesní
6076,Artamus minor,AU,PASSERIFORMES,Artamidae,lasolet malý
6077,Peltops blainvillii,AU,PASSERIFORMES,Artamidae,flétňáček nížinný
6078,Peltops montanus,AU,PASSERIFORMES,Artamidae,flétňáček horský
6079,Melloria quoyi,AU,PASSERIFORMES,Artamidae,flétňák černý
6080,Gymnorhina tibicen,AU,PASSERIFORMES,Artamidae,flétňák australský
6081,Cracticus torquatus,AU,PASSERIFORMES,Artamidae,flétňák šedohřbetý
6082,Cracticus argenteus,AU,PASSERIFORMES,Artamidae,Silver-backed Butcherbird
6083,Cracticus mentalis,AU,PASSERIFORMES,Artamidae,flétňák černohřbetý
6084,Cracticus nigrogularis,AU,PASSERIFORMES,Artamidae,flétňák černohrdlý
6085,Cracticus cassicus,AU,PASSERIFORMES,Artamidae,flétňák kápový
6086,Cracticus louisiadensis,AU,PASSERIFORMES,Artamidae,flétňák tagulský
6087,Strepera graculina,AU,PASSERIFORMES,Artamidae,flétňák stračí
6088,Strepera fuliginosa,AU,PASSERIFORMES,Artamidae,flétňák tasmánský
6089,Strepera versicolor,AU,PASSERIFORMES,Artamidae,flétňák bělořitý
6090,Rhagologus leucostigma,AU,PASSERIFORMES,Rhagologidae,pištec skvrnitý
6091,Aegithina tiphia,OR,PASSERIFORMES,Aegithinidae,jora černokřídlá
6092,Aegithina nigrolutea,OR,PASSERIFORMES,Aegithinidae,jora černohlavá
6093,Aegithina viridissima,OR,PASSERIFORMES,Aegithinidae,jora zelená
6094,Aegithina lafresnayei,OR,PASSERIFORMES,Aegithinidae,jora velká
6095,Pericrocotus erythropygius,OR,PASSERIFORMES,Campephagidae,suříkovec bělobřichý
6096,Pericrocotus albifrons,OR,PASSERIFORMES,Campephagidae,Jerdon's Minivet
6097,Pericrocotus igneus,OR,PASSERIFORMES,Campephagidae,suříkovec ohnivý
6098,Pericrocotus cinnamomeus,OR,PASSERIFORMES,Campephagidae,suříkovec rehkovitý
6099,Pericrocotus solaris,OR,PASSERIFORMES,Campephagidae,suříkovec šedolící
6100,Pericrocotus miniatus,OR,PASSERIFORMES,Campephagidae,suříkovec sundský
6101,Pericrocotus brevirostris,OR,PASSERIFORMES,Campephagidae,suříkovec krátkozobý
6102,Pericrocotus lansbergei,AU,PASSERIFORMES,Campephagidae,suříkovec floreský
6103,Pericrocotus ethologus,OR,PASSERIFORMES,Campephagidae,suříkovec dlouhoocasý
6104,Pericrocotus flammeus,OR,PASSERIFORMES,Campephagidae,suříkovec šarlatový
6105,Pericrocotus speciosus,OR,PASSERIFORMES,Campephagidae,Scarlet Minivet
6106,Pericrocotus divaricatus,PAL,PASSERIFORMES,Campephagidae,suříkovec šedý
6107,Pericrocotus tegimae,PAL,PASSERIFORMES,Campephagidae,suříkovec japonský
6108,Pericrocotus cantonensis,PAL,PASSERIFORMES,Campephagidae,suříkovec černouzdičkový
6109,Pericrocotus roseus,OR,PASSERIFORMES,Campephagidae,suříkovec růžový
6110,Ceblepyris cinereus,AF,PASSERIFORMES,Campephagidae,housenčík madagaskarský
6111,Ceblepyris cucullatus,AF,PASSERIFORMES,Campephagidae,Comoro Cuckooshrike
6112,Ceblepyris graueri,AF,PASSERIFORMES,Campephagidae,housenčík zairský
6113,Ceblepyris pectoralis,AF,PASSERIFORMES,Campephagidae,housenčík běloprsý
6114,Ceblepyris caesius,AF,PASSERIFORMES,Campephagidae,housenčík šedý
6115,Coracina caeruleogrisea,AU,PASSERIFORMES,Campephagidae,housenčík modrošedý
6116,Coracina longicauda,AU,PASSERIFORMES,Campephagidae,housenčík kápový
6117,Coracina temminckii,AU,PASSERIFORMES,Campephagidae,housenčík lesní
6118,Coracina bicolor,AU,PASSERIFORMES,Campephagidae,housenčík černobílý
6119,Coracina maxima,AU,PASSERIFORMES,Campephagidae,housenčík velký
6120,Coracina lineata,AU,PASSERIFORMES,Campephagidae,housenčík žlutooký
6121,Coracina novaehollandiae,AU,PASSERIFORMES,Campephagidae,housenčík černolící
6122,Coracina boyeri,AU,PASSERIFORMES,Campephagidae,housenčík korunový
