,IOC,Breeding Range,Order,Family,Russian
100,Sarkidiornis melanotos,"AF, OR",ANSERIFORMES,Anatidae,Гребенчатая утка
101,Cyanochen cyanoptera,AF,ANSERIFORMES,Anatidae,Голубокрылый гусь
102,Alopochen aegyptiaca,AF,ANSERIFORMES,Anatidae,Нильский гусь
103,Neochen jubata,SA,ANSERIFORMES,Anatidae,Оринокский гусь
104,Chloephaga melanoptera,SA,ANSERIFORMES,Anatidae,Андский гусь
105,Chloephaga picta,SA,ANSERIFORMES,Anatidae,Магелланов гусь
106,Chloephaga hybrida,SA,ANSERIFORMES,Anatidae,Водорослевый гусь
107,Chloephaga poliocephala,SA,ANSERIFORMES,Anatidae,Сероголовый гусь
108,Chloephaga rubidiceps,SA,ANSERIFORMES,Anatidae,Рыжеголовый гусь
109,Radjah radjah,AU,ANSERIFORMES,Anatidae,Пеганка-раджа
110,Tadorna tadorna,"PAL, AF",ANSERIFORMES,Anatidae,Пеганка
111,Tadorna ferruginea,PAL,ANSERIFORMES,Anatidae,Огарь
112,Tadorna cana,AF,ANSERIFORMES,Anatidae,Сероголовый огарь
113,Tadorna tadornoides,AU,ANSERIFORMES,Anatidae,Австралийский огарь
114,Tadorna variegata,AU,ANSERIFORMES,Anatidae,Новозеландский огарь
115,Malacorhynchus membranaceus,AU,ANSERIFORMES,Anatidae,Розовоухая утка
116,Salvadorina waigiuensis,AU,ANSERIFORMES,Anatidae,Полосатая утка
117,Cairina moschata,"NA, MA, SA",ANSERIFORMES,Anatidae,Мускусная утка
118,Asarcornis scutulata,OR,ANSERIFORMES,Anatidae,Белокрылая утка
119,Pteronetta hartlaubii,AF,ANSERIFORMES,Anatidae,Утка Хартлауба
120,Aix galericulata,PAL,ANSERIFORMES,Anatidae,Мандаринка
121,Chenonetta jubata,AU,ANSERIFORMES,Anatidae,Гривистая утка
122,Nettapus auritus,AF,ANSERIFORMES,Anatidae,Африканский блестящий чирок
123,Nettapus coromandelianus,OR,ANSERIFORMES,Anatidae,Хлопковый блестящий чирок
124,Nettapus pulchellus,AU,ANSERIFORMES,Anatidae,Австралийский блестящий чирок
125,Amazonetta brasiliensis,SA,ANSERIFORMES,Anatidae,Бразильский чирок
126,Callonetta leucophrys,SA,ANSERIFORMES,Anatidae,Кольчатый чирок
127,Lophonetta specularioides,SA,ANSERIFORMES,Anatidae,Хохлатая утка
128,Speculanas specularis,SA,ANSERIFORMES,Anatidae,Бронзовокрылая утка
129,Sibirionetta formosa,PAL,ANSERIFORMES,Anatidae,Клоктун
130,Spatula querquedula,PAL,ANSERIFORMES,Anatidae,Чирок-трескунок
131,Spatula hottentota,AF,ANSERIFORMES,Anatidae,Пятнистый чирок
132,Spatula puna,SA,ANSERIFORMES,Anatidae,Чирок пуны
133,Spatula versicolor,SA,ANSERIFORMES,Anatidae,Разноцветный чирок
134,Spatula platalea,SA,ANSERIFORMES,Anatidae,Южноамериканская широконоска
135,Spatula cyanoptera,"NA, MA, SA",ANSERIFORMES,Anatidae,Коричневый чирок
136,Spatula smithii,AF,ANSERIFORMES,Anatidae,Капская широконоска
137,Spatula rhynchotis,AU,ANSERIFORMES,Anatidae,Австралийская широконоска
138,Spatula clypeata,"NA, PAL",ANSERIFORMES,Anatidae,Широконоска
139,Mareca strepera,"NA, PAL",ANSERIFORMES,Anatidae,Серая утка
140,Mareca falcata,PAL,ANSERIFORMES,Anatidae,Касатка
141,Mareca penelope,PAL,ANSERIFORMES,Anatidae,Свиязь
142,Mareca sibilatrix,SA,ANSERIFORMES,Anatidae,Роскошная свиязь
143,Anas sparsa,AF,ANSERIFORMES,Anatidae,Африканская чёрная утка
144,Anas undulata,AF,ANSERIFORMES,Anatidae,Желтоносая кряква
145,Anas melleri,AF,ANSERIFORMES,Anatidae,Мадагаскарская кряква
146,Anas superciliosa,AU,ANSERIFORMES,Anatidae,Серая кряква
147,Anas laysanensis,PO,ANSERIFORMES,Anatidae,Лайсанский чирок
148,Anas wyvilliana,PO,ANSERIFORMES,Anatidae,Гавайская кряква
149,Anas luzonica,OR,ANSERIFORMES,Anatidae,Филиппинская кряква
150,Anas poecilorhyncha,OR,ANSERIFORMES,Anatidae,Пестроносая кряква
151,Anas zonorhyncha,OR,ANSERIFORMES,Anatidae,Чёрная кряква
152,Anas platyrhynchos,"NA, PAL",ANSERIFORMES,Anatidae,Кряква
153,Anas diazi,"NA, MA",ANSERIFORMES,Anatidae,Мексиканская кряква
154,Anas capensis,AF,ANSERIFORMES,Anatidae,Капский чирок
155,Anas bahamensis,"SA, NA",ANSERIFORMES,Anatidae,Багамская шилохвость
156,Anas erythrorhyncha,AF,ANSERIFORMES,Anatidae,Красноклювая шилохвость
157,Anas georgica,SA,ANSERIFORMES,Anatidae,Желтоклювая шилохвость
158,Anas eatoni,IO,ANSERIFORMES,Anatidae,Кергеленская шилохвость
159,Anas acuta,"NA, PAL",ANSERIFORMES,Anatidae,Шилохвость
160,Anas crecca,"PAL, NA",ANSERIFORMES,Anatidae,Чирок-свистунок
161,Anas flavirostris,SA,ANSERIFORMES,Anatidae,Желтоклювый чирок
162,Anas andium,SA,ANSERIFORMES,Anatidae,Андский чирок
163,Anas gibberifrons,OR,ANSERIFORMES,Anatidae,Зондский чирок
164,Anas albogularis,OR,ANSERIFORMES,Anatidae,Адаманский чирок
165,Anas gracilis,AU,ANSERIFORMES,Anatidae,Серый чирок
166,Anas castanea,AU,ANSERIFORMES,Anatidae,Каштановый чирок
167,Anas bernieri,AF,ANSERIFORMES,Anatidae,Мадагаскарский чирок
168,Anas chlorotis,AU,ANSERIFORMES,Anatidae,Бурый чирок
169,Anas aucklandica,AU,ANSERIFORMES,Anatidae,Оклендский чирок
170,Anas nesiotis,AU,ANSERIFORMES,Anatidae,Кэмпбельский чирок
171,Marmaronetta angustirostris,PAL,ANSERIFORMES,Anatidae,Мраморный чирок
172,Netta rufina,PAL,ANSERIFORMES,Anatidae,Красноносый нырок
173,Netta peposaca,SA,ANSERIFORMES,Anatidae,Пампасный нырок
174,Netta erythrophthalma,"AF, SA",ANSERIFORMES,Anatidae,Красноглазый нырок
175,Aythya ferina,PAL,ANSERIFORMES,Anatidae,Красноголовый нырок
176,Aythya australis,AU,ANSERIFORMES,Anatidae,Австралийский нырок
177,Aythya innotata,AF,ANSERIFORMES,Anatidae,Мадагаскарский нырок
178,Aythya baeri,PAL,ANSERIFORMES,Anatidae,Бэров нырок
179,Aythya nyroca,PAL,ANSERIFORMES,Anatidae,Белоглазый нырок
180,Aythya novaeseelandiae,AU,ANSERIFORMES,Anatidae,Новозеландская чернеть
181,Aythya fuligula,PAL,ANSERIFORMES,Anatidae,Хохлатая чернеть
182,Aythya marila,"NA, PAL",ANSERIFORMES,Anatidae,Морская чернеть
183,Polysticta stelleri,"NA, PAL",ANSERIFORMES,Anatidae,Сибирская гага
184,Somateria fischeri,"NA, PAL",ANSERIFORMES,Anatidae,Очковая гага
185,Somateria spectabilis,"NA, PAL",ANSERIFORMES,Anatidae,Гага-гребенушка
186,Somateria mollissima,"NA, PAL",ANSERIFORMES,Anatidae,Гага
187,Histrionicus histrionicus,"NA, PAL",ANSERIFORMES,Anatidae,Каменушка
188,Melanitta fusca,PAL,ANSERIFORMES,Anatidae,Турпан
189,Melanitta stejnegeri,PAL,ANSERIFORMES,Anatidae,Горбоносый турпан
190,Melanitta nigra,PAL,ANSERIFORMES,Anatidae,Синьга
191,Melanitta americana,"PAL, NA",ANSERIFORMES,Anatidae,Американская синьга
192,Clangula hyemalis,"NA, PAL",ANSERIFORMES,Anatidae,Морянка
193,Bucephala clangula,"NA, PAL",ANSERIFORMES,Anatidae,Гоголь
194,Bucephala islandica,"NA, PAL",ANSERIFORMES,Anatidae,Исландский гоголь
195,Mergellus albellus,PAL,ANSERIFORMES,Anatidae,Луток
196,Mergus octosetaceus,SA,ANSERIFORMES,Anatidae,Бразильский крохаль
197,Mergus merganser,"NA, PAL",ANSERIFORMES,Anatidae,Большой крохаль
198,Mergus serrator,"NA, PAL",ANSERIFORMES,Anatidae,Длинноносый крохаль
199,Mergus squamatus,PAL,ANSERIFORMES,Anatidae,Чешуйчатый крохаль
200,Heteronetta atricapilla,SA,ANSERIFORMES,Anatidae,Черноголовая утка
201,Nomonyx dominicus,"MA, SA",ANSERIFORMES,Anatidae,Масковая савка
202,Oxyura jamaicensis,"NA, MA",ANSERIFORMES,Anatidae,Американская савка
203,Oxyura ferruginea,SA,ANSERIFORMES,Anatidae,Андская савка
204,Oxyura vittata,SA,ANSERIFORMES,Anatidae,Патагонская савка
205,Oxyura australis,AU,ANSERIFORMES,Anatidae,Австралийская савка
206,Oxyura maccoa,AF,ANSERIFORMES,Anatidae,Африканская савка
207,Oxyura leucocephala,PAL,ANSERIFORMES,Anatidae,Савка
208,Biziura lobata,AU,ANSERIFORMES,Anatidae,Лопастная утка
209,Alectura lathami,AU,GALLIFORMES,Megapodiidae,Кустарниковый большеног
210,Aepypodius arfakianus,AU,GALLIFORMES,Megapodiidae,Серёжчатый большеног
211,Aepypodius bruijnii,AU,GALLIFORMES,Megapodiidae,Бурогрудый большеног
212,Talegalla cuvieri,AU,GALLIFORMES,Megapodiidae,Красноклювый большеног
213,Talegalla fuscirostris,AU,GALLIFORMES,Megapodiidae,Черноклювый большеног
214,Talegalla jobiensis,AU,GALLIFORMES,Megapodiidae,Ошейниковый большеног
215,Leipoa ocellata,AU,GALLIFORMES,Megapodiidae,Глазчатая курица
216,Macrocephalon maleo,AU,GALLIFORMES,Megapodiidae,Малео
217,Eulipoa wallacei,AU,GALLIFORMES,Megapodiidae,Молуккский большеног
218,Megapodius pritchardii,PO,GALLIFORMES,Megapodiidae,Полинезийский большеног
219,Megapodius laperouse,PO,GALLIFORMES,Megapodiidae,Микронезийский большеног
220,Megapodius nicobariensis,OR,GALLIFORMES,Megapodiidae,Никобарская курица
221,Megapodius cumingii,"OR, AU",GALLIFORMES,Megapodiidae,Филиппинская курица
222,Megapodius bernsteinii,AU,GALLIFORMES,Megapodiidae,Суласская курица
223,Megapodius tenimberensis,AU,GALLIFORMES,Megapodiidae,Танимбарский большеног
224,Megapodius freycinet,AU,GALLIFORMES,Megapodiidae,Джунглевая курица
225,Megapodius geelvinkianus,AU,GALLIFORMES,Megapodiidae,Биакский большеног
226,Megapodius eremita,AU,GALLIFORMES,Megapodiidae,Меланезийский большеног
227,Megapodius layardi,AU,GALLIFORMES,Megapodiidae,Вануатуйский большеног
228,Megapodius decollatus,AU,GALLIFORMES,Megapodiidae,Новогвинейский большеног
229,Megapodius reinwardt,AU,GALLIFORMES,Megapodiidae,Оранжевоногий большеног
230,Ortalis vetula,"NA, MA",GALLIFORMES,Cracidae,Бурокрылая чачалака
231,Ortalis cinereiceps,"MA, SA",GALLIFORMES,Cracidae,Сероголовая чачалака
232,Ortalis garrula,SA,GALLIFORMES,Cracidae,Краснокрылая чачалака
233,Ortalis ruficauda,SA,GALLIFORMES,Cracidae,Краснохвостая чачалака
234,Ortalis erythroptera,SA,GALLIFORMES,Cracidae,Красноголовая чачалака
235,Ortalis wagleri,MA,GALLIFORMES,Cracidae,Ваглерова началака
236,Ortalis poliocephala,MA,GALLIFORMES,Cracidae,Серогрудая чачалака
237,Ortalis canicollis,SA,GALLIFORMES,Cracidae,Чачалака
238,Ortalis leucogastra,MA,GALLIFORMES,Cracidae,Белобрюхая чачалака
239,Ortalis guttata,SA,GALLIFORMES,Cracidae,Полосатая чачалака
240,Ortalis araucuan,SA,GALLIFORMES,Cracidae,Арауканская чачалака
241,Ortalis squamata,SA,GALLIFORMES,Cracidae,Чешуйчатая чачалака
242,Ortalis columbiana,SA,GALLIFORMES,Cracidae,Колумбийская чачалака
243,Ortalis motmot,SA,GALLIFORMES,Cracidae,Малая чачалака
244,Ortalis ruficeps,SA,GALLIFORMES,Cracidae,Chestnut-headed Chachalaca
245,Ortalis superciliaris,SA,GALLIFORMES,Cracidae,Светлобровая чачалака
246,Penelope argyrotis,SA,GALLIFORMES,Cracidae,Полосатохвостая пенелопа
247,Penelope barbata,SA,GALLIFORMES,Cracidae,Бородатая пенелопа
248,Penelope ortoni,SA,GALLIFORMES,Cracidae,Ортонова пенелопа
249,Penelope montagnii,SA,GALLIFORMES,Cracidae,Андская пенелопа
250,Penelope marail,SA,GALLIFORMES,Cracidae,Кайеннская пенелопа
251,Penelope superciliaris,SA,GALLIFORMES,Cracidae,Рыжебокая пенелопа
252,Penelope dabbenei,SA,GALLIFORMES,Cracidae,Краснолицая пенелопа
253,Penelope purpurascens,"MA, SA",GALLIFORMES,Cracidae,Ржавобрюхая пенелопа
254,Penelope perspicax,SA,GALLIFORMES,Cracidae,Колумбийская пенелопа
255,Penelope albipennis,SA,GALLIFORMES,Cracidae,Белокрылая пенелопа
256,Penelope jacquacu,SA,GALLIFORMES,Cracidae,Спиксова пенелопа
257,Penelope obscura,SA,GALLIFORMES,Cracidae,Бронзовая пенелопа
258,Penelope bridgesi,SA,GALLIFORMES,Cracidae,Yungas Guan
259,Penelope pileata,SA,GALLIFORMES,Cracidae,Белохохлая пенелопа
260,Penelope ochrogaster,SA,GALLIFORMES,Cracidae,Рыжебрюхая пенелопа
261,Penelope jacucaca,SA,GALLIFORMES,Cracidae,Белолобая пенелопа
262,Pipile pipile,SA,GALLIFORMES,Cracidae,Синегорлая абурри
263,Pipile cumanensis,SA,GALLIFORMES,Cracidae,Голубогорлая абурри
264,Pipile grayi,SA,GALLIFORMES,Cracidae,White-throated Piping Guan
265,Pipile cujubi,SA,GALLIFORMES,Cracidae,Обыкновенная абурри
266,Pipile jacutinga,SA,GALLIFORMES,Cracidae,Чернолобая абурри
267,Aburria aburri,SA,GALLIFORMES,Cracidae,Серёжчатая абурри
268,Chamaepetes unicolor,MA,GALLIFORMES,Cracidae,Болотный кракс
269,Chamaepetes goudotii,SA,GALLIFORMES,Cracidae,Серпокрылый кракс
270,Penelopina nigra,MA,GALLIFORMES,Cracidae,Чёрная пенелопа
271,Oreophasis derbianus,MA,GALLIFORMES,Cracidae,Горный кракс
272,Nothocrax urumutum,SA,GALLIFORMES,Cracidae,Красный гокко
273,Mitu tomentosum,SA,GALLIFORMES,Cracidae,Малый хохлатый кракс
274,Mitu salvini,SA,GALLIFORMES,Cracidae,Сальвинов кракс
275,Mitu tuberosum,SA,GALLIFORMES,Cracidae,Бритвоклювый кракс
276,Mitu mitu,SA,GALLIFORMES,Cracidae,Миту
277,Pauxi pauxi,SA,GALLIFORMES,Cracidae,Шлемоносный кракс
278,Pauxi unicornis,SA,GALLIFORMES,Cracidae,Рогатый кракс
279,Pauxi koepckeae,SA,GALLIFORMES,Cracidae,Перуанский кракс
280,Crax rubra,"MA, SA",GALLIFORMES,Cracidae,Большой кракс
281,Crax alberti,SA,GALLIFORMES,Cracidae,Синеклювый кракс
282,Crax daubentoni,SA,GALLIFORMES,Cracidae,Желтогребневый кракс
283,Crax alector,SA,GALLIFORMES,Cracidae,Хохлатый кракс
284,Crax globulosa,SA,GALLIFORMES,Cracidae,Серёжчатый кракс
285,Crax fasciolata,SA,GALLIFORMES,Cracidae,Гололицый кракс
286,Crax blumenbachii,SA,GALLIFORMES,Cracidae,Красноклювый кракс
287,Agelastes meleagrides,AF,GALLIFORMES,Numididae,Белобрюхая тёмная цесарка
288,Agelastes niger,AF,GALLIFORMES,Numididae,Чёрная тёмная цесарка
289,Numida meleagris,AF,GALLIFORMES,Numididae,Обыкновенная цесарка
290,Guttera plumifera,AF,GALLIFORMES,Numididae,Гладкохохлая цесарка
291,Guttera verreauxi,AF,GALLIFORMES,Numididae,Western Crested Guineafowl
292,Guttera pucherani,AF,GALLIFORMES,Numididae,Чубатая цесарка
293,Guttera edouardi,AF,GALLIFORMES,Numididae,Southern Crested Guineafowl
294,Acryllium vulturinum,AF,GALLIFORMES,Numididae,Грифовая цесарка
295,Ptilopachus petrosus,AF,GALLIFORMES,Odontophoridae,Африканская скальная куропатка
296,Ptilopachus nahani,AF,GALLIFORMES,Odontophoridae,Итурийский турач
297,Dendrortyx leucophrys,MA,GALLIFORMES,Odontophoridae,Гватемальская лесная куропатка
298,Dendrortyx macroura,MA,GALLIFORMES,Odontophoridae,Длиннохвостая лесная куропатка
299,Dendrortyx barbatus,MA,GALLIFORMES,Odontophoridae,Бородатая лесная куропатка
300,Oreortyx pictus,"NA, MA",GALLIFORMES,Odontophoridae,Калифорнийский горный перепел
301,Callipepla squamata,"NA, MA",GALLIFORMES,Odontophoridae,Чешуйчатый перепел
302,Callipepla douglasii,MA,GALLIFORMES,Odontophoridae,Дугласов хохлатый перепел
303,Callipepla californica,"NA, MA",GALLIFORMES,Odontophoridae,Калифорнийский хохлатый перепел
304,Callipepla gambelii,"NA, MA",GALLIFORMES,Odontophoridae,Шлемоносный хохлатый перепел
