,IOC,Breeding Range,Order,Family,Lithuanian
4669,Thamnophilus melanothorax,SA,PASSERIFORMES,Thamnophilidae,baltauodegis esperitas
4670,Thamnophilus doliatus,"MA, SA",PASSERIFORMES,Thamnophilidae,dryžoji medšarkinė skruzdlesė
4671,Thamnophilus zarumae,SA,PASSERIFORMES,Thamnophilidae,Čapmano medšarkinė skruzdlesė
4672,Thamnophilus multistriatus,SA,PASSERIFORMES,Thamnophilidae,dryžakuodė medšarkinė skruzdlesė
4673,Thamnophilus tenuepunctatus,SA,PASSERIFORMES,Thamnophilidae,tamsioji medšarkinė skruzdlesė
4674,Thamnophilus palliatus,SA,PASSERIFORMES,Thamnophilidae,rusvanugarė medšarkinė skruzdlesė
4675,Thamnophilus bridgesi,MA,PASSERIFORMES,Thamnophilidae,apykaklėtoji medšarkinė skruzdlesė
4676,Thamnophilus nigriceps,"MA, SA",PASSERIFORMES,Thamnophilidae,juodoji medšarkinė skruzdlesė
4677,Thamnophilus praecox,SA,PASSERIFORMES,Thamnophilidae,kočinė medšarkinė skruzdlesė
4678,Thamnophilus nigrocinereus,SA,PASSERIFORMES,Thamnophilidae,juosvoji medšarkinė skruzdlesė
4679,Thamnophilus cryptoleucus,SA,PASSERIFORMES,Thamnophilidae,baltanugarė medšarkinė skruzdlesė
4680,Thamnophilus aethiops,SA,PASSERIFORMES,Thamnophilidae,baltapetė medšarkinė skruzdlesė
4681,Thamnophilus unicolor,SA,PASSERIFORMES,Thamnophilidae,paprastoji medšarkinė skruzdlesė
4682,Thamnophilus schistaceus,SA,PASSERIFORMES,Thamnophilidae,juodagalvė medšarkinė skruzdlesė
4683,Thamnophilus murinus,SA,PASSERIFORMES,Thamnophilidae,sidabrinė medšarkinė skruzdlesė
4684,Thamnophilus aroyae,SA,PASSERIFORMES,Thamnophilidae,kalninė medšarkinė skruzdlesė
4685,Thamnophilus atrinucha,"MA, SA",PASSERIFORMES,Thamnophilidae,vakarinė medšarkinė skruzdlesė
4686,Thamnophilus punctatus,SA,PASSERIFORMES,Thamnophilidae,šiaurinė medšarkinė skruzdlesė
4687,Thamnophilus stictocephalus,SA,PASSERIFORMES,Thamnophilidae,Natererio medšarkinė skruzdlesė
4688,Thamnophilus sticturus,SA,PASSERIFORMES,Thamnophilidae,bolivinė medšarkinė skruzdlesė
4689,Thamnophilus pelzelni,SA,PASSERIFORMES,Thamnophilidae,Pelcelno medšarkinė skruzdlesė
4690,Thamnophilus ambiguus,SA,PASSERIFORMES,Thamnophilidae,skalūninė medšarkinė skruzdlesė
4691,Thamnophilus amazonicus,SA,PASSERIFORMES,Thamnophilidae,amazoninė medšarkinė skruzdlesė
4692,Thamnophilus divisorius,SA,PASSERIFORMES,Thamnophilidae,brazilinė medšarkinė skruzdlesė
4693,Thamnophilus insignis,SA,PASSERIFORMES,Thamnophilidae,venesuelinė medšarkinė skruzdlesė
4694,Thamnophilus caerulescens,SA,PASSERIFORMES,Thamnophilidae,pilkoji medšarkinė skruzdlesė
4695,Thamnophilus torquatus,SA,PASSERIFORMES,Thamnophilidae,rusvasparnė medšarkinė skruzdlesė
4696,Thamnophilus ruficapillus,SA,PASSERIFORMES,Thamnophilidae,rusvagalvė medšarkinė skruzdlesė
4697,Sakesphorus canadensis,SA,PASSERIFORMES,Thamnophilidae,juodakuodis esperitas
4698,Sakesphorus luctuosus,SA,PASSERIFORMES,Thamnophilidae,juodasis esperitas
4699,Radinopsyche sellowi,SA,PASSERIFORMES,Thamnophilidae,Rio Grandės juodakepuris esperitas
4700,Biatas nigropectus,SA,PASSERIFORMES,Thamnophilidae,baltabarzdė skruzdlesė
4701,Cymbilaimus lineatus,"MA, SA",PASSERIFORMES,Thamnophilidae,paprastoji dryžoji skruzdlesė
4702,Cymbilaimus sanctaemariae,SA,PASSERIFORMES,Thamnophilidae,bambukinė dryžoji skruzdlesė
4703,Taraba major,"MA, SA",PASSERIFORMES,Thamnophilidae,taraba
4704,Mackenziaena leachii,SA,PASSERIFORMES,Thamnophilidae,ilgauodegė didžioji skruzdlesė
4705,Mackenziaena severa,SA,PASSERIFORMES,Thamnophilidae,kaukėtoji didžioji skruzdlesė
4706,Frederickena viridis,SA,PASSERIFORMES,Thamnophilidae,juodagurklė kuoduotoji skruzdlesė
4707,Frederickena unduliger,SA,PASSERIFORMES,Thamnophilidae,dėmėtoji kuoduotoji skruzdlesė
4708,Frederickena fulva,SA,PASSERIFORMES,Thamnophilidae,rusvagelsvė kuoduotoji skruzdlesė
4709,Hypoedaleus guttatus,SA,PASSERIFORMES,Thamnophilidae,dėmėtoji skruzdlesė
4710,Batara cinerea,SA,PASSERIFORMES,Thamnophilidae,batara
4711,Xenornis setifrons,"MA, SA",PASSERIFORMES,Thamnophilidae,čokas
4712,Pithys albifrons,SA,PASSERIFORMES,Thamnophilidae,baltaplunksnė arakura
4713,Pithys castaneus,SA,PASSERIFORMES,Thamnophilidae,baltaveidė arakura
4714,Phaenostictus mcleannani,"MA, SA",PASSERIFORMES,Thamnophilidae,mėlynakė skruzdėpaukštė
4715,Gymnopithys bicolor,"MA, SA",PASSERIFORMES,Thamnophilidae,Bicolored Antbird
4716,Gymnopithys leucaspis,SA,PASSERIFORMES,Thamnophilidae,dvispalvė kanapėtoji skruzdinukė
4717,Gymnopithys rufigula,SA,PASSERIFORMES,Thamnophilidae,rusvagurklė kanapėtoji skruzdinukė
4718,Oneillornis salvini,SA,PASSERIFORMES,Thamnophilidae,baltagurklė kanapėtoji skruzdinukė
4719,Oneillornis lunulatus,SA,PASSERIFORMES,Thamnophilidae,juodauodegė kanapėtoji skruzdinukė
4720,Rhegmatorhina gymnops,SA,PASSERIFORMES,Thamnophilidae,juodagalvė plikaakė skruzdlesė
4721,Rhegmatorhina berlepschi,SA,PASSERIFORMES,Thamnophilidae,margoji plikaakė skruzdlesė
4722,Rhegmatorhina hoffmannsi,SA,PASSERIFORMES,Thamnophilidae,baltakrūtė plikaakė skruzdlesė
4723,Rhegmatorhina cristata,SA,PASSERIFORMES,Thamnophilidae,kaštoninė plikaakė skruzdlesė
4724,Rhegmatorhina melanosticta,SA,PASSERIFORMES,Thamnophilidae,pilkakuodė plikaakė skruzdlesė
4725,Phlegopsis nigromaculata,SA,PASSERIFORMES,Thamnophilidae,dėmėtoji plikaakė skruzdėpaukštė
4726,Phlegopsis erythroptera,SA,PASSERIFORMES,Thamnophilidae,rusvasparnė plikaakė skruzdėpaukštė
4727,Phlegopsis borbae,SA,PASSERIFORMES,Thamnophilidae,skučija
4728,Willisornis poecilinotus,SA,PASSERIFORMES,Thamnophilidae,žvynanugarė trumpauodegė skruzdinukė
4729,Willisornis vidua,SA,PASSERIFORMES,Thamnophilidae,Xingu Scale-backed Antbird
4730,Drymophila ferruginea,SA,PASSERIFORMES,Thamnophilidae,rusvoji ilgauodegė skruzdinukė
4731,Drymophila rubricollis,SA,PASSERIFORMES,Thamnophilidae,Bertonio ilgauodegė skruzdinukė
4732,Drymophila genei,SA,PASSERIFORMES,Thamnophilidae,rusvauodegė ilgauodegė skruzdinukė
4733,Drymophila ochropyga,SA,PASSERIFORMES,Thamnophilidae,geltonsturplė ilgauodegė skruzdinukė
4734,Drymophila malura,SA,PASSERIFORMES,Thamnophilidae,pilkšvauodegė ilgauodegė skruzdinukė
4735,Drymophila squamata,SA,PASSERIFORMES,Thamnophilidae,žvynuotoji ilgauodegė skruzdinukė
4736,Drymophila devillei,SA,PASSERIFORMES,Thamnophilidae,dryžoji ilgauodegė skruzdinukė
4737,Drymophila hellmayri,SA,PASSERIFORMES,Thamnophilidae,Santa Marta Antbird
4738,Drymophila klagesi,SA,PASSERIFORMES,Thamnophilidae,Klages's Antbird
4739,Drymophila caudata,SA,PASSERIFORMES,Thamnophilidae,paprastoji ilgauodegė skruzdinukė
4740,Drymophila striaticeps,SA,PASSERIFORMES,Thamnophilidae,Streak-headed Antbird
4741,Hypocnemis cantator,SA,PASSERIFORMES,Thamnophilidae,čiulbančioji greitoji skruzdinukė
4742,Hypocnemis flavescens,SA,PASSERIFORMES,Thamnophilidae,Imeri Warbling Antbird
4743,Hypocnemis peruviana,SA,PASSERIFORMES,Thamnophilidae,Peruvian Warbling Antbird
4744,Hypocnemis subflava,SA,PASSERIFORMES,Thamnophilidae,Yellow-breasted Warbling Antbird
4745,Hypocnemis ochrogyna,SA,PASSERIFORMES,Thamnophilidae,Rondonia Warbling Antbird
4746,Hypocnemis striata,SA,PASSERIFORMES,Thamnophilidae,Spix's Warbling Antbird
4747,Hypocnemis rondoni,SA,PASSERIFORMES,Thamnophilidae,manikorinė greitoji skruzdinukė
4748,Hypocnemis hypoxantha,SA,PASSERIFORMES,Thamnophilidae,geltonbruvė greitoji skruzdinukė
4749,Sciaphylax hemimelaena,SA,PASSERIFORMES,Thamnophilidae,pietinė devynbalsė skruzdinukė
4750,Sciaphylax castanea,SA,PASSERIFORMES,Thamnophilidae,šiaurinė devynbalsė skruzdinukė
4751,Cercomacroides laeta,SA,PASSERIFORMES,Thamnophilidae,Vilio krūmyninė skruzdinukė
4752,Cercomacroides parkeri,SA,PASSERIFORMES,Thamnophilidae,Parkerio krūmyninė skruzdinukė
4753,Cercomacroides nigrescens,SA,PASSERIFORMES,Thamnophilidae,juosvoji krūmyninė skruzdinukė
4754,Cercomacroides fuscicauda,SA,PASSERIFORMES,Thamnophilidae,Riparian Antbird
4755,Cercomacroides tyrannina,"MA, SA",PASSERIFORMES,Thamnophilidae,tamsioji krūmyninė skruzdinukė
4756,Cercomacroides serva,SA,PASSERIFORMES,Thamnophilidae,juodoji krūmyninė skruzdinukė
4757,Cercomacra manu,SA,PASSERIFORMES,Thamnophilidae,manuvinė krūmyninė skruzdinukė
4758,Cercomacra brasiliana,SA,PASSERIFORMES,Thamnophilidae,brazilinė krūmyninė skruzdinukė
4759,Cercomacra cinerascens,SA,PASSERIFORMES,Thamnophilidae,pilkoji krūmyninė skruzdinukė
4760,Cercomacra melanaria,SA,PASSERIFORMES,Thamnophilidae,matogrosinė krūmyninė skruzdinukė
4761,Cercomacra ferdinandi,SA,PASSERIFORMES,Thamnophilidae,bananalinė krūmyninė skruzdinukė
4762,Cercomacra nigricans,"MA, SA",PASSERIFORMES,Thamnophilidae,niūrioji krūmyninė skruzdinukė
4763,Cercomacra carbonaria,SA,PASSERIFORMES,Thamnophilidae,siaurasnapė krūmyninė skruzdinukė
4764,Myrmoderus ferrugineus,SA,PASSERIFORMES,Thamnophilidae,rudnugarė devynbalsė skruzdinukė
4765,Myrmoderus eowilsoni,SA,PASSERIFORMES,Thamnophilidae,Cordillera Azul Antbird
4766,Myrmoderus ruficauda,SA,PASSERIFORMES,Thamnophilidae,rusvauodegė devynbalsė skruzdinukė
4767,Myrmoderus loricatus,SA,PASSERIFORMES,Thamnophilidae,baltakrūtė devynbalsė skruzdinukė
4768,Myrmoderus squamosus,SA,PASSERIFORMES,Thamnophilidae,žvynuotoji devynbalsė skruzdinukė
4769,Hypocnemoides melanopogon,SA,PASSERIFORMES,Thamnophilidae,juodasmakrė upinė skruzdinukė
4770,Hypocnemoides maculicauda,SA,PASSERIFORMES,Thamnophilidae,didžioji upinė skruzdinukė
4771,Hylophylax naevioides,"MA, SA",PASSERIFORMES,Thamnophilidae,dėmėtoji trumpauodegė skruzdinukė
4772,Hylophylax naevius,SA,PASSERIFORMES,Thamnophilidae,dėmėtnugarė trumpauodegė skruzdinukė
4773,Hylophylax punctulatus,SA,PASSERIFORMES,Thamnophilidae,perlinė trumpauodegė skruzdinukė
4774,Sclateria naevia,SA,PASSERIFORMES,Thamnophilidae,mangrovinė skruzdinukė
4775,Myrmelastes hyperythrus,SA,PASSERIFORMES,Thamnophilidae,pilkoji devynbalsė skruzdinukė
4776,Myrmelastes schistaceus,SA,PASSERIFORMES,Thamnophilidae,vienspalvė skruzdėpaukštė
4777,Myrmelastes leucostigma,SA,PASSERIFORMES,Thamnophilidae,dėmėtasparnė skruzdėpaukštė
4778,Myrmelastes humaythae,SA,PASSERIFORMES,Thamnophilidae,Humaita Antbird
4779,Myrmelastes brunneiceps,SA,PASSERIFORMES,Thamnophilidae,Brownish-headed Antbird
4780,Myrmelastes rufifacies,SA,PASSERIFORMES,Thamnophilidae,Rufous-faced Antbird
4781,Myrmelastes saturatus,SA,PASSERIFORMES,Thamnophilidae,Roraiman Antbird
4782,Myrmelastes caurensis,SA,PASSERIFORMES,Thamnophilidae,kaurinė skruzdėpaukštė
4783,Poliocrania exsul,"MA, SA",PASSERIFORMES,Thamnophilidae,kaštoninė devynbalsė skruzdinukė
4784,Ampelornis griseiceps,SA,PASSERIFORMES,Thamnophilidae,pilkagalvė devynbalsė skruzdinukė
4785,Sipia berlepschi,SA,PASSERIFORMES,Thamnophilidae,trumpauodegė devynbalsė skruzdinukė
4786,Sipia nigricauda,SA,PASSERIFORMES,Thamnophilidae,esmeraldasinė devynbalsė skruzdinukė
4787,Sipia palliata,SA,PASSERIFORMES,Thamnophilidae,Magdalena Antbird
4788,Sipia laemosticta,MA,PASSERIFORMES,Thamnophilidae,kostarikinė devynbalsė skruzdinukė
4789,Myrmeciza longipes,SA,PASSERIFORMES,Thamnophilidae,baltapilvė devynbalsė skruzdinukė
4790,Myrmoborus melanurus,SA,PASSERIFORMES,Thamnophilidae,juodauodegė mažoji skruzdinukė
4791,Myrmoborus lophotes,SA,PASSERIFORMES,Thamnophilidae,rusvakuodė skruzdėpaukštė
4792,Myrmoborus myotherinus,SA,PASSERIFORMES,Thamnophilidae,juodaveidė mažoji skruzdinukė
4793,Myrmoborus leucophrys,SA,PASSERIFORMES,Thamnophilidae,baltabruvė mažoji skruzdinukė
4794,Myrmoborus lugubris,SA,PASSERIFORMES,Thamnophilidae,pilkakrūtė mažoji skruzdinukė
4795,Gymnocichla nudiceps,"MA, SA",PASSERIFORMES,Thamnophilidae,plikagalvė skruzdinukė
4796,Pyriglena maura,SA,PASSERIFORMES,Thamnophilidae,Western Fire-eye
4797,Pyriglena similis,SA,PASSERIFORMES,Thamnophilidae,Tapajos Fire-eye
4798,Pyriglena leuconota,SA,PASSERIFORMES,Thamnophilidae,baltanugarė ugniaakė
4799,Pyriglena atra,SA,PASSERIFORMES,Thamnophilidae,juodoji ugniaakė
4800,Pyriglena leucoptera,SA,PASSERIFORMES,Thamnophilidae,baltapetė ugniaakė
4801,Rhopornis ardesiacus,SA,PASSERIFORMES,Thamnophilidae,ilgauodegė skruzdlesė
4802,Percnostola rufifrons,SA,PASSERIFORMES,Thamnophilidae,juodagalvė skruzdėpaukštė
4803,Percnostola arenarum,SA,PASSERIFORMES,Thamnophilidae,peruvinė skruzdėpaukštė
4804,Akletos melanoceps,SA,PASSERIFORMES,Thamnophilidae,baltapetė devynbalsė skruzdinukė
4805,Akletos goeldii,SA,PASSERIFORMES,Thamnophilidae,Geldžio devynbalsė skruzdinukė
4806,Hafferia fortis,SA,PASSERIFORMES,Thamnophilidae,juosvoji devynbalsė skruzdinukė
4807,Hafferia immaculata,"MA, SA",PASSERIFORMES,Thamnophilidae,tyroji devynbalsė skruzdinukė
4808,Hafferia zeledoni,"MA, SA",PASSERIFORMES,Thamnophilidae,Zeledon's Antbird
4809,Formicarius colma,SA,PASSERIFORMES,Formicariidae,raudongalvė strazdinė skruzdlesė
4810,Formicarius analis,"MA, SA",PASSERIFORMES,Formicariidae,juodaveidė strazdinė skruzdlesė
4811,Formicarius moniliger,MA,PASSERIFORMES,Formicariidae,meksikinė strazdinė skruzdlesė
4812,Formicarius rufifrons,SA,PASSERIFORMES,Formicariidae,rausvakaktė strazdinė skruzdlesė
4813,Formicarius nigricapillus,"MA, SA",PASSERIFORMES,Formicariidae,juodagalvė strazdinė skruzdlesė
4814,Formicarius rufipectus,"MA, SA",PASSERIFORMES,Formicariidae,rausvakrūtė strazdinė skruzdlesė
4815,Chamaeza campanisona,SA,PASSERIFORMES,Formicariidae,trumpauodegė strazdinė skruzdlesė
4816,Chamaeza nobilis,SA,PASSERIFORMES,Formicariidae,raiboji strazdinė skruzdlesė
4817,Chamaeza meruloides,SA,PASSERIFORMES,Formicariidae,baltapilvė strazdinė skruzdlesė
4818,Chamaeza ruficauda,SA,PASSERIFORMES,Formicariidae,rusvauodegė strazdinė skruzdlesė
4819,Chamaeza turdina,SA,PASSERIFORMES,Formicariidae,kolumbinė strazdinė skruzdlesė
4820,Chamaeza mollissima,SA,PASSERIFORMES,Formicariidae,dryžoji strazdinė skruzdlesė
4821,Grallaria squamigera,SA,PASSERIFORMES,Grallariidae,banguotoji pitinė skruzdlesė
4822,Grallaria gigantea,SA,PASSERIFORMES,Grallariidae,milžiniškoji pitinė skruzdlesė
4823,Grallaria excelsa,SA,PASSERIFORMES,Grallariidae,didžioji pitinė skruzdlesė
4824,Grallaria varia,SA,PASSERIFORMES,Grallariidae,karališkoji pitinė skruzdlesė
4825,Grallaria alleni,SA,PASSERIFORMES,Grallariidae,ūsuotoji pitinė skruzdlesė
4826,Grallaria guatimalensis,"MA, SA",PASSERIFORMES,Grallariidae,žvynuotoji pitinė skruzdlesė
4827,Grallaria chthonia,SA,PASSERIFORMES,Grallariidae,tačyrinė pitinė skruzdlesė
4828,Grallaria haplonota,SA,PASSERIFORMES,Grallariidae,rudnugarė pitinė skruzdlesė
4829,Grallaria dignissima,SA,PASSERIFORMES,Grallariidae,geltondryžė pitinė skruzdlesė
4830,Grallaria eludens,SA,PASSERIFORMES,Grallariidae,slaptingoji pitinė skruzdlesė
4831,Grallaria ruficapilla,SA,PASSERIFORMES,Grallariidae,rudavainikė pitinė skruzdlesė
4832,Grallaria watkinsi,SA,PASSERIFORMES,Grallariidae,Votkinso pitinė skruzdlesė
4833,Grallaria bangsi,SA,PASSERIFORMES,Grallariidae,santamartinė pitinė skruzdlesė
4834,Grallaria kaestneri,SA,PASSERIFORMES,Grallariidae,rudoji pitinė skruzdlesė
4835,Grallaria andicolus,SA,PASSERIFORMES,Grallariidae,dryžagalvė pitinė skruzdlesė
4836,Grallaria griseonucha,SA,PASSERIFORMES,Grallariidae,pilkasprandė pitinė skruzdlesė
4837,Grallaria ridgelyi,SA,PASSERIFORMES,Grallariidae,ekvadorinė pitinė skruzdlesė
4838,Grallaria nuchalis,SA,PASSERIFORMES,Grallariidae,rudasprandė pitinė skruzdlesė
4839,Grallaria carrikeri,SA,PASSERIFORMES,Grallariidae,blyškiasnapė pitinė skruzdlesė
4840,Grallaria albigula,SA,PASSERIFORMES,Grallariidae,baltagurklė pitinė skruzdlesė
4841,Grallaria flavotincta,SA,PASSERIFORMES,Grallariidae,geltonkrūtė pitinė skruzdlesė
4842,Grallaria hypoleuca,SA,PASSERIFORMES,Grallariidae,baltapilvė pitinė skruzdlesė
4843,Grallaria przewalskii,SA,PASSERIFORMES,Grallariidae,Prževalskio pitinė skruzdlesė
4844,Grallaria capitalis,SA,PASSERIFORMES,Grallariidae,kaštoninė pitinė skruzdlesė
4845,Grallaria erythroleuca,SA,PASSERIFORMES,Grallariidae,kuskinė pitinė skruzdlesė
4846,Grallaria spatiator,SA,PASSERIFORMES,Grallariidae,Sierra Nevada Antpitta
4847,Grallaria saltuensis,SA,PASSERIFORMES,Grallariidae,Perija Antpitta
4848,Grallaria rufula,SA,PASSERIFORMES,Grallariidae,rusvoji pitinė skruzdlesė
4849,Grallaria rufocinerea,SA,PASSERIFORMES,Grallariidae,dvispalvė pitinė skruzdlesė
4850,Grallaria alvarezi,SA,PASSERIFORMES,Grallariidae,Chami Antpitta
4851,Grallaria saturata,SA,PASSERIFORMES,Grallariidae,Equatorial Antpitta
4852,Grallaria cajamarcae,SA,PASSERIFORMES,Grallariidae,Cajamarca Antpitta
4853,Grallaria blakei,SA,PASSERIFORMES,Grallariidae,Bleiko pitinė skruzdlesė
4854,Grallaria gravesi,SA,PASSERIFORMES,Grallariidae,Chachapoyas Antpitta
4855,Grallaria oneilli,SA,PASSERIFORMES,Grallariidae,Panao Antpitta
4856,Grallaria obscura,SA,PASSERIFORMES,Grallariidae,Junin Antpitta
4857,Grallaria centralis,SA,PASSERIFORMES,Grallariidae,Oxapampa Antpitta
4858,Grallaria ayacuchensis,SA,PASSERIFORMES,Grallariidae,Ayacucho Antpitta
4859,Grallaria occabambae,SA,PASSERIFORMES,Grallariidae,Urubamba Antpitta
4860,Grallaria sinaensis,SA,PASSERIFORMES,Grallariidae,Puno Antpitta
4861,Grallaria cochabambae,SA,PASSERIFORMES,Grallariidae,Bolivian Antpitta
4862,Grallaria quitensis,SA,PASSERIFORMES,Grallariidae,kalninė pitinė skruzdlesė
4863,Grallaria alticola,SA,PASSERIFORMES,Grallariidae,Boyaca Antpitta
4864,Grallaria atuensis,SA,PASSERIFORMES,Grallariidae,Atuen Antpitta
4865,Grallaria milleri,SA,PASSERIFORMES,Grallariidae,Milerio pitinė skruzdlesė
4866,Grallaria urraoensis,SA,PASSERIFORMES,Grallariidae,uraoninė pitinė skruzdlesė
4867,Grallaria erythrotis,SA,PASSERIFORMES,Grallariidae,rusvaveidė pitinė skruzdlesė
4868,Cryptopezus nattereri,SA,PASSERIFORMES,Grallariidae,raibakrūtė beuodegė skruzdinukė
4869,Hylopezus perspicillatus,"MA, SA",PASSERIFORMES,Grallariidae,dryžakrūtė beuodegė skruzdinukė
4870,Hylopezus macularius,SA,PASSERIFORMES,Grallariidae,dėmėtoji beuodegė skruzdinukė
4871,Hylopezus paraensis,SA,PASSERIFORMES,Grallariidae,Snethlage's Antpitta
4872,Hylopezus whittakeri,SA,PASSERIFORMES,Grallariidae,Alta Floresta beuodegė skruzdinukė
4873,Hylopezus auricularis,SA,PASSERIFORMES,Grallariidae,bolivinė beuodegė skruzdinukė
4874,Hylopezus ochroleucus,SA,PASSERIFORMES,Grallariidae,baltabruvė beuodegė skruzdinukė
4875,Myrmothera fulviventris,SA,PASSERIFORMES,Grallariidae,baltakaktė beuodegė skruzdinukė
4876,Myrmothera berlepschi,SA,PASSERIFORMES,Grallariidae,amazoninė beuodegė skruzdinukė
4877,Myrmothera dives,"MA, SA",PASSERIFORMES,Grallariidae,krūmyninė beuodegė skruzdinukė
4878,Myrmothera simplex,SA,PASSERIFORMES,Grallariidae,rudakrūtė mirmotera
4879,Myrmothera campanisona,SA,PASSERIFORMES,Grallariidae,dryžakrūtė mirmotera
4880,Myrmothera subcanescens,SA,PASSERIFORMES,Grallariidae,Tapajos Antpitta
4881,Grallaricula flavirostris,"MA, SA",PASSERIFORMES,Grallariidae,geltonkrūtė mažoji skruzdinukė
4882,Grallaricula loricata,SA,PASSERIFORMES,Grallariidae,žvynuotakrūtė mažoji skruzdinukė
4883,Grallaricula cucullata,SA,PASSERIFORMES,Grallariidae,rusvagalvė mažoji skruzdinukė
4884,Grallaricula peruviana,SA,PASSERIFORMES,Grallariidae,peruvinė mažoji skruzdinukė
4885,Grallaricula ochraceifrons,SA,PASSERIFORMES,Grallariidae,rusvakaktė mažoji skruzdinukė
4886,Grallaricula ferrugineipectus,SA,PASSERIFORMES,Grallariidae,rusvakrūtė mažoji skruzdinukė
4887,Grallaricula leymebambae,SA,PASSERIFORMES,Grallariidae,Rufous-breasted Antpitta
4888,Grallaricula nana,SA,PASSERIFORMES,Grallariidae,pilkagalvė mažoji skruzdinukė
4889,Grallaricula cumanensis,SA,PASSERIFORMES,Grallariidae,Sucre Antpitta
4890,Grallaricula lineifrons,SA,PASSERIFORMES,Grallariidae,kaukėtoji mažoji skruzdinukė
4891,Conopophaga lineata,SA,PASSERIFORMES,Conopophagidae,rusvagurklis uodlesys
4892,Conopophaga aurita,SA,PASSERIFORMES,Conopophagidae,kaštoninis uodlesys
4893,Conopophaga snethlageae,SA,PASSERIFORMES,Conopophagidae,Black-breasted Gnateater
4894,Conopophaga roberti,SA,PASSERIFORMES,Conopophagidae,juodagalvis uodlesys
4895,Conopophaga peruviana,SA,PASSERIFORMES,Conopophagidae,pilkagurklis uodlesys
4896,Conopophaga cearae,SA,PASSERIFORMES,Conopophagidae,Ceara Gnateater
4897,Conopophaga ardesiaca,SA,PASSERIFORMES,Conopophagidae,skalūninis uodlesys
4898,Conopophaga castaneiceps,SA,PASSERIFORMES,Conopophagidae,rudagalvis uodlesys
4899,Conopophaga melanops,SA,PASSERIFORMES,Conopophagidae,juodaskruostis uodlesys
4900,Conopophaga melanogaster,SA,PASSERIFORMES,Conopophagidae,juodapilvis uodlesys
4901,Pittasoma michleri,"MA, SA",PASSERIFORMES,Conopophagidae,juodagalvė pitasoma
4902,Pittasoma rufopileatum,SA,PASSERIFORMES,Conopophagidae,rusvagalvė pitasoma
4903,Acropternis orthonyx,SA,PASSERIFORMES,Rhinocryptidae,akiniuotasis topakulas
4904,Pteroptochos castaneus,SA,PASSERIFORMES,Rhinocryptidae,rudagurklis turkas
4905,Pteroptochos tarnii,SA,PASSERIFORMES,Rhinocryptidae,juodagurklis turkas
4906,Pteroptochos megapodius,SA,PASSERIFORMES,Rhinocryptidae,ūsuotasis turkas
4907,Scelorchilus albicollis,SA,PASSERIFORMES,Rhinocryptidae,baltagurklis strazdinis topakulas
4908,Scelorchilus rubecula,SA,PASSERIFORMES,Rhinocryptidae,rusvagurklis strazdinis topakulas
4909,Rhinocrypta lanceolata,SA,PASSERIFORMES,Rhinocryptidae,kuoduotasis topakulas
4910,Teledromas fuscus,SA,PASSERIFORMES,Rhinocryptidae,smėlinis galitas
4911,Liosceles thoracicus,SA,PASSERIFORMES,Rhinocryptidae,rudasis topakulas
4912,Psilorhamphus guttatus,SA,PASSERIFORMES,Rhinocryptidae,bambukinis topakulas
4913,Merulaxis ater,SA,PASSERIFORMES,Rhinocryptidae,pietinis medyninis topakulas
4914,Merulaxis stresemanni,SA,PASSERIFORMES,Rhinocryptidae,šiaurinis medyninis topakulas
4915,Eugralla paradoxa,SA,PASSERIFORMES,Rhinocryptidae,rusvašonis topakulas
4916,Myornis senilis,SA,PASSERIFORMES,Rhinocryptidae,skalūninis topakulas
4917,Eleoscytalopus indigoticus,SA,PASSERIFORMES,Rhinocryptidae,baltakrūtis topakulas
4918,Eleoscytalopus psychopompus,SA,PASSERIFORMES,Rhinocryptidae,baijinis topakulas
4919,Scytalopus iraiensis,SA,PASSERIFORMES,Rhinocryptidae,pelkinis topakulas
4920,Scytalopus diamantinensis,SA,PASSERIFORMES,Rhinocryptidae,Diamantinos topakulas
4921,Scytalopus novacapitalis,SA,PASSERIFORMES,Rhinocryptidae,brazilinis topakulas
4922,Scytalopus petrophilus,SA,PASSERIFORMES,Rhinocryptidae,uolinis topakulas
4923,Scytalopus pachecoi,SA,PASSERIFORMES,Rhinocryptidae,Planalto topakulas
4924,Scytalopus gonzagai,SA,PASSERIFORMES,Rhinocryptidae,Boa Nova Tapaculo
4925,Scytalopus speluncae,SA,PASSERIFORMES,Rhinocryptidae,peleninis topakulas
4926,Scytalopus fuscus,SA,PASSERIFORMES,Rhinocryptidae,tamsusis topakulas
4927,Scytalopus magellanicus,SA,PASSERIFORMES,Rhinocryptidae,magelaninis topakulas
4928,Scytalopus affinis,SA,PASSERIFORMES,Rhinocryptidae,ankašinis topakulas
4929,Scytalopus krabbei,SA,PASSERIFORMES,Rhinocryptidae,White-winged Tapaculo
4930,Scytalopus androstictus,SA,PASSERIFORMES,Rhinocryptidae,Loja Tapaculo
4931,Scytalopus opacus,SA,PASSERIFORMES,Rhinocryptidae,Paramo Tapaculo
4932,Scytalopus canus,SA,PASSERIFORMES,Rhinocryptidae,paraminis topakulas
4933,Scytalopus superciliaris,SA,PASSERIFORMES,Rhinocryptidae,baltabruvis topakulas
4934,Scytalopus zimmeri,SA,PASSERIFORMES,Rhinocryptidae,baltagurklis topakulas
4935,Scytalopus simonsi,SA,PASSERIFORMES,Rhinocryptidae,Simonso topakulas
