,IOC,Breeding Range,Order,Family,Lithuanian
227,Megapodius layardi,AU,GALLIFORMES,Megapodiidae,Lajardo didžiakojė višta
228,Megapodius decollatus,AU,GALLIFORMES,Megapodiidae,Naujosios Gvinėjos didžiakojė višta
229,Megapodius reinwardt,AU,GALLIFORMES,Megapodiidae,Reinvardo didžiakojė višta
230,Ortalis vetula,"NA, MA",GALLIFORMES,Cracidae,rudasparnė čačalaka
231,Ortalis cinereiceps,"MA, SA",GALLIFORMES,Cracidae,pilkagalvė čačalaka
232,Ortalis garrula,SA,GALLIFORMES,Cracidae,raudonsparnė čačalaka
233,Ortalis ruficauda,SA,GALLIFORMES,Cracidae,raudonuodegė čačalaka
234,Ortalis erythroptera,SA,GALLIFORMES,Cracidae,rausvagalvė čačalaka
235,Ortalis wagleri,MA,GALLIFORMES,Cracidae,rausvapilvė čačalaka
236,Ortalis poliocephala,MA,GALLIFORMES,Cracidae,pilkakrūtė čačalaka
237,Ortalis canicollis,SA,GALLIFORMES,Cracidae,čakinė čačalaka
238,Ortalis leucogastra,MA,GALLIFORMES,Cracidae,baltapilvė čačalaka
239,Ortalis guttata,SA,GALLIFORMES,Cracidae,kanapėtoji čačalaka
240,Ortalis araucuan,SA,GALLIFORMES,Cracidae,East Brazilian Chachalaca
241,Ortalis squamata,SA,GALLIFORMES,Cracidae,Scaled Chachalaca
242,Ortalis columbiana,SA,GALLIFORMES,Cracidae,Colombian Chachalaca
243,Ortalis motmot,SA,GALLIFORMES,Cracidae,mažoji čačalaka
244,Ortalis ruficeps,SA,GALLIFORMES,Cracidae,Chestnut-headed Chachalaca
245,Ortalis superciliaris,SA,GALLIFORMES,Cracidae,geltonbruvė čačalaka
246,Penelope argyrotis,SA,GALLIFORMES,Cracidae,dryžauodegė penelopė
247,Penelope barbata,SA,GALLIFORMES,Cracidae,barzdotoji penelopė
248,Penelope ortoni,SA,GALLIFORMES,Cracidae,Ortono penelopė
249,Penelope montagnii,SA,GALLIFORMES,Cracidae,andinė penelopė
250,Penelope marail,SA,GALLIFORMES,Cracidae,kajeninė penelopė
251,Penelope superciliaris,SA,GALLIFORMES,Cracidae,rudašonė penelopė
252,Penelope dabbenei,SA,GALLIFORMES,Cracidae,raudonveidė penelopė
253,Penelope purpurascens,"MA, SA",GALLIFORMES,Cracidae,kuoduotoji penelopė
254,Penelope perspicax,SA,GALLIFORMES,Cracidae,kolumbinė penelopė
255,Penelope albipennis,SA,GALLIFORMES,Cracidae,baltasparnė penelopė
256,Penelope jacquacu,SA,GALLIFORMES,Cracidae,Spikso penelopė
257,Penelope obscura,SA,GALLIFORMES,Cracidae,tamsioji penelopė
258,Penelope bridgesi,SA,GALLIFORMES,Cracidae,Yungas Guan
259,Penelope pileata,SA,GALLIFORMES,Cracidae,baltakuodė penelopė
260,Penelope ochrogaster,SA,GALLIFORMES,Cracidae,kaštonpilvė penelopė
261,Penelope jacucaca,SA,GALLIFORMES,Cracidae,baltabruvė penelopė
262,Pipile pipile,SA,GALLIFORMES,Cracidae,trinidadinė pipilė
263,Pipile cumanensis,SA,GALLIFORMES,Cracidae,mėlyngurklė pipilė
264,Pipile grayi,SA,GALLIFORMES,Cracidae,White-throated Piping Guan
265,Pipile cujubi,SA,GALLIFORMES,Cracidae,raudongurklė pipilė
266,Pipile jacutinga,SA,GALLIFORMES,Cracidae,juodakaktė pipilė
267,Aburria aburri,SA,GALLIFORMES,Cracidae,aburija
268,Chamaepetes unicolor,MA,GALLIFORMES,Cracidae,juodasis guanas
269,Chamaepetes goudotii,SA,GALLIFORMES,Cracidae,pjūklasparnis guanas
270,Penelopina nigra,MA,GALLIFORMES,Cracidae,juodoji penelopina
271,Oreophasis derbianus,MA,GALLIFORMES,Cracidae,raguotasis guanas
272,Nothocrax urumutum,SA,GALLIFORMES,Cracidae,naktinis kraksas
273,Mitu tomentosum,SA,GALLIFORMES,Cracidae,mažasis mitu
274,Mitu salvini,SA,GALLIFORMES,Cracidae,Salvino mitu
275,Mitu tuberosum,SA,GALLIFORMES,Cracidae,amazoninis mitu
276,Mitu mitu,SA,GALLIFORMES,Cracidae,tikrasis mitu
277,Pauxi pauxi,SA,GALLIFORMES,Cracidae,šiaurinis šalminis kraksas
278,Pauxi unicornis,SA,GALLIFORMES,Cracidae,pietinis šalminis kraksas
279,Pauxi koepckeae,SA,GALLIFORMES,Cracidae,Sira Curassow
280,Crax rubra,"MA, SA",GALLIFORMES,Cracidae,didysis kraksas
281,Crax alberti,SA,GALLIFORMES,Cracidae,melsvasnapis kraksas
282,Crax daubentoni,SA,GALLIFORMES,Cracidae,Dobantono kraksas
283,Crax alector,SA,GALLIFORMES,Cracidae,juodasis kraksas
284,Crax globulosa,SA,GALLIFORMES,Cracidae,rutuliasnapis kraksas
285,Crax fasciolata,SA,GALLIFORMES,Cracidae,plikaveidis kraksas
286,Crax blumenbachii,SA,GALLIFORMES,Cracidae,raudonsnapis kraksas
287,Agelastes meleagrides,AF,GALLIFORMES,Numididae,baltakrūtė patarška
288,Agelastes niger,AF,GALLIFORMES,Numididae,juodoji patarška
289,Numida meleagris,AF,GALLIFORMES,Numididae,naminė patarška
290,Guttera plumifera,AF,GALLIFORMES,Numididae,lygiakuodė patarška
291,Guttera verreauxi,AF,GALLIFORMES,Numididae,Western Crested Guineafowl
292,Guttera pucherani,AF,GALLIFORMES,Numididae,keninė patarška
293,Guttera edouardi,AF,GALLIFORMES,Numididae,Southern Crested Guineafowl
294,Acryllium vulturinum,AF,GALLIFORMES,Numididae,grifinė patarška
295,Ptilopachus petrosus,AF,GALLIFORMES,Odontophoridae,akmeninė kurapka
296,Ptilopachus nahani,AF,GALLIFORMES,Odontophoridae,konginis frankolinas
297,Dendrortyx leucophrys,MA,GALLIFORMES,Odontophoridae,gvatemalinė miškinė kurapka
298,Dendrortyx macroura,MA,GALLIFORMES,Odontophoridae,ilgauodegė miškinė kurapka
299,Dendrortyx barbatus,MA,GALLIFORMES,Odontophoridae,barzdotoji miškinė kurapka
300,Oreortyx pictus,"NA, MA",GALLIFORMES,Odontophoridae,kalninė putpelė
301,Callipepla squamata,"NA, MA",GALLIFORMES,Odontophoridae,žvynuotoji putpelė
302,Callipepla douglasii,MA,GALLIFORMES,Odontophoridae,dailioji putpelė
303,Callipepla californica,"NA, MA",GALLIFORMES,Odontophoridae,kaliforninė putpelė
304,Callipepla gambelii,"NA, MA",GALLIFORMES,Odontophoridae,Gambelio putpelė
305,Philortyx fasciatus,MA,GALLIFORMES,Odontophoridae,dryžoji putpelė
306,Colinus virginianus,"NA, MA",GALLIFORMES,Odontophoridae,virgininė putpelė
307,Colinus nigrogularis,MA,GALLIFORMES,Odontophoridae,juodagurklė amerikinė putpelė
308,Colinus leucopogon,MA,GALLIFORMES,Odontophoridae,baltakrūtė amerikinė putpelė
309,Colinus cristatus,"MA, SA",GALLIFORMES,Odontophoridae,kuoduotoji amerikinė putpelė
310,Odontophorus gujanensis,"MA, SA",GALLIFORMES,Odontophoridae,marmurinė miškinė putpelė
311,Odontophorus capueira,SA,GALLIFORMES,Odontophoridae,pilkakrūtė miškinė putpelė
312,Odontophorus melanotis,MA,GALLIFORMES,Odontophoridae,juodaausė miškinė putpelė
313,Odontophorus erythrops,SA,GALLIFORMES,Odontophoridae,rusvakaktė miškinė putpelė
314,Odontophorus atrifrons,SA,GALLIFORMES,Odontophoridae,juodakaktė miškinė putpelė
315,Odontophorus hyperythrus,SA,GALLIFORMES,Odontophoridae,rudoji miškinė putpelė
316,Odontophorus melanonotus,SA,GALLIFORMES,Odontophoridae,tamsianugarė miškinė putpelė
317,Odontophorus speciosus,SA,GALLIFORMES,Odontophoridae,rusvakrūtė miškinė putpelė
318,Odontophorus dialeucos,"MA, SA",GALLIFORMES,Odontophoridae,juodakepurė miškinė putpelė
319,Odontophorus strophium,SA,GALLIFORMES,Odontophoridae,apykaklėtoji miškinė putpelė
320,Odontophorus columbianus,SA,GALLIFORMES,Odontophoridae,venesuelinė miškinė putpelė
