,IOC,Breeding Range,Order,Family,Danish
4041,Psittacula alexandri,OR,PSITTACIFORMES,Psittaculidae,Skægparakit
4042,Psittacula derbiana,OR,PSITTACIFORMES,Psittaculidae,Kinaparakit
4043,Psittacula longicauda,OR,PSITTACIFORMES,Psittaculidae,Langhalet Ædelparakit
4044,Psittacula columboides,OR,PSITTACIFORMES,Psittaculidae,Dueparakit
4045,Psittacula calthrapae,OR,PSITTACIFORMES,Psittaculidae,Blåhalet Ædelparakit
4046,Psittacula eupatria,OR,PSITTACIFORMES,Psittaculidae,Stor Alexanderparakit
4047,Psittacula krameri,"AF, OR",PSITTACIFORMES,Psittaculidae,Alexanderparakit
4048,Psittacula eques,IO,PSITTACIFORMES,Psittaculidae,Mauritius-alexanderparakit
4049,Psittacula caniceps,OR,PSITTACIFORMES,Psittaculidae,Nicobarparakit
4050,Psittacella brehmii,AU,PSITTACIFORMES,Psittaculidae,Mørkhovedet Tigerpapegøje
4051,Psittacella picta,AU,PSITTACIFORMES,Psittaculidae,Rødgumpet Tigerpapegøje
4052,Psittacella modesta,AU,PSITTACIFORMES,Psittaculidae,Tigerpapegøje
4053,Psittacella madaraszi,AU,PSITTACIFORMES,Psittaculidae,Grøn Tigerpapegøje
4054,Psephotus haematonotus,AU,PSITTACIFORMES,Psittaculidae,Sangparakit
4055,Northiella haematogaster,AU,PSITTACIFORMES,Psittaculidae,Blåmaskeparakit
4056,Northiella narethae,AU,PSITTACIFORMES,Psittaculidae,Naretha-blåmaskeparakit
4057,Psephotellus varius,AU,PSITTACIFORMES,Psittaculidae,Mangefarvet Sangparakit
4058,Psephotellus dissimilis,AU,PSITTACIFORMES,Psittaculidae,Sortkappet Sangparakit
4059,Psephotellus chrysopterygius,AU,PSITTACIFORMES,Psittaculidae,Guldskuldret Sangparakit
4060,Purpureicephalus spurius,AU,PSITTACIFORMES,Psittaculidae,Rødisset Parakit
4061,Platycercus caledonicus,AU,PSITTACIFORMES,Psittaculidae,Grøn Rosella
4062,Platycercus elegans,AU,PSITTACIFORMES,Psittaculidae,Pennants Parakit
4063,Platycercus venustus,AU,PSITTACIFORMES,Psittaculidae,Nordlig Rosella
4064,Platycercus adscitus,AU,PSITTACIFORMES,Psittaculidae,Blå Rosella
4065,Platycercus eximius,AU,PSITTACIFORMES,Psittaculidae,Rosella
4066,Platycercus icterotis,AU,PSITTACIFORMES,Psittaculidae,Stanleyrosella
4067,Barnardius zonarius,AU,PSITTACIFORMES,Psittaculidae,Ringparakit
4068,Lathamus discolor,AU,PSITTACIFORMES,Psittaculidae,Svaleparakit
4069,Prosopeia splendens,PO,PSITTACIFORMES,Psittaculidae,Rød Fijiparakit
4070,Prosopeia personata,PO,PSITTACIFORMES,Psittaculidae,Maskefijiparakit
4071,Prosopeia tabuensis,PO,PSITTACIFORMES,Psittaculidae,Pragtfijiparakit
4072,Eunymphicus cornutus,AU,PSITTACIFORMES,Psittaculidae,Hornparakit
4073,Eunymphicus uvaeensis,AU,PSITTACIFORMES,Psittaculidae,Uveahornparakit
4074,Cyanoramphus saisseti,AU,PSITTACIFORMES,Psittaculidae,Ny Caledonisk Gedeparakit
4075,Cyanoramphus cookii,AU,PSITTACIFORMES,Psittaculidae,Norfolkparakit
4076,Cyanoramphus forbesi,AU,PSITTACIFORMES,Psittaculidae,Chathamparakit
4077,Cyanoramphus unicolor,AU,PSITTACIFORMES,Psittaculidae,Antipodeparakit
4078,Cyanoramphus malherbi,AU,PSITTACIFORMES,Psittaculidae,Orangepandet Parakit
4079,Cyanoramphus hochstetteri,AU,PSITTACIFORMES,Psittaculidae,Antipode-gedeparakit
4080,Cyanoramphus auriceps,AU,PSITTACIFORMES,Psittaculidae,Springparakit
4081,Cyanoramphus novaezelandiae,AU,PSITTACIFORMES,Psittaculidae,Gedeparakit
4082,Pezoporus wallicus,AU,PSITTACIFORMES,Psittaculidae,Jordparakit
4083,Pezoporus occidentalis,AU,PSITTACIFORMES,Psittaculidae,Natparakit
4084,Neopsephotus bourkii,AU,PSITTACIFORMES,Psittaculidae,Bourkes Parakit
4085,Neophema chrysostoma,AU,PSITTACIFORMES,Psittaculidae,Blåvinget Græsparakit
4086,Neophema elegans,AU,PSITTACIFORMES,Psittaculidae,Elegant Græsparakit
4087,Neophema petrophila,AU,PSITTACIFORMES,Psittaculidae,Klippegræsparakit
4088,Neophema chrysogaster,AU,PSITTACIFORMES,Psittaculidae,Orangebuget Græsparakit
4089,Neophema pulchella,AU,PSITTACIFORMES,Psittaculidae,Rødskuldret Græsparakit
4090,Neophema splendida,AU,PSITTACIFORMES,Psittaculidae,Rødbrystet Græsparakit
4091,Oreopsittacus arfaki,AU,PSITTACIFORMES,Psittaculidae,Arfaklori
4092,Charminetta wilhelminae,AU,PSITTACIFORMES,Psittaculidae,Dværgprydlori
4093,Hypocharmosyna rubronotata,AU,PSITTACIFORMES,Psittaculidae,Rødpandet Prydlori
4094,Hypocharmosyna placentis,AU,PSITTACIFORMES,Psittaculidae,Rødflanket Prydlori
4095,Charmosynopsis toxopei,AU,PSITTACIFORMES,Psittaculidae,Buruprydlori
4096,Charmosynopsis pulchella,AU,PSITTACIFORMES,Psittaculidae,Rødgumpet Prydlori
4097,Synorhacma multistriata,AU,PSITTACIFORMES,Psittaculidae,Gulstribet Prydlori
4098,Charmosyna josefinae,AU,PSITTACIFORMES,Psittaculidae,Josefines Prydlori
4099,Charmosyna papou,AU,PSITTACIFORMES,Psittaculidae,Papuaprydlori
4100,Charmosyna stellae,AU,PSITTACIFORMES,Psittaculidae,Langhalet Prydlori
4101,Charmosynoides margarethae,AU,PSITTACIFORMES,Psittaculidae,Prinsesseprydlori
4102,Vini meeki,AU,PSITTACIFORMES,Psittaculidae,Salomonprydlori
4103,Vini rubrigularis,AU,PSITTACIFORMES,Psittaculidae,Rødstrubet Prydlori
4104,Vini palmarum,AU,PSITTACIFORMES,Psittaculidae,Palmeprydlori
4105,Vini amabilis,PO,PSITTACIFORMES,Psittaculidae,Fijiprydlori
4106,Vini solitaria,PO,PSITTACIFORMES,Psittaculidae,Eremitlori
4107,Vini australis,PO,PSITTACIFORMES,Psittaculidae,Blåkronet Lori
4108,Vini ultramarina,PO,PSITTACIFORMES,Psittaculidae,Smaragdlori
4109,Vini stepheni,PO,PSITTACIFORMES,Psittaculidae,Hendersonlori
4110,Vini kuhlii,PO,PSITTACIFORMES,Psittaculidae,Rubinlori
4111,Vini peruviana,PO,PSITTACIFORMES,Psittaculidae,Safirlori
4112,Neopsittacus musschenbroekii,AU,PSITTACIFORMES,Psittaculidae,Gualori
4113,Neopsittacus pullicauda,AU,PSITTACIFORMES,Psittaculidae,Mørkhalet Gualori
4114,Lorius albidinucha,AU,PSITTACIFORMES,Psittaculidae,Hvidnakket Lori
4115,Lorius chlorocercus,AU,PSITTACIFORMES,Psittaculidae,Grønhalet Lori
4116,Lorius domicella,AU,PSITTACIFORMES,Psittaculidae,Ambonlori
4117,Lorius garrulus,AU,PSITTACIFORMES,Psittaculidae,Gulskuldret Lori
4118,Lorius hypoinochrous,AU,PSITTACIFORMES,Psittaculidae,Grovnæbslori
4119,Lorius lory,AU,PSITTACIFORMES,Psittaculidae,Blåhalet Lori
4120,Psitteuteles versicolor,AU,PSITTACIFORMES,Psittaculidae,Mangefarvet Lori
4121,Parvipsitta porphyrocephala,AU,PSITTACIFORMES,Psittaculidae,Blåisset Moskuslori
4122,Parvipsitta pusilla,AU,PSITTACIFORMES,Psittaculidae,Lille Moskuslori
4123,Pseudeos fuscata,AU,PSITTACIFORMES,Psittaculidae,Brun Lori
4124,Pseudeos cardinalis,AU,PSITTACIFORMES,Psittaculidae,Kardinallori
4125,Chalcopsitta duivenbodei,AU,PSITTACIFORMES,Psittaculidae,Gulmasket Lori
4126,Chalcopsitta atra,AU,PSITTACIFORMES,Psittaculidae,Sort Lori
4127,Chalcopsitta scintillata,AU,PSITTACIFORMES,Psittaculidae,Gulstreget Lori
4128,Glossoptilus goldiei,AU,PSITTACIFORMES,Psittaculidae,Stribet Lori
4129,Glossopsitta concinna,AU,PSITTACIFORMES,Psittaculidae,Moskuslori
4130,Saudareos johnstoniae,OR,PSITTACIFORMES,Psittaculidae,Apolori
4131,Saudareos iris,AU,PSITTACIFORMES,Psittaculidae,Irislori
4132,Saudareos flavoviridis,AU,PSITTACIFORMES,Psittaculidae,Gulgrøn Lori
4133,Saudareos meyeri,AU,PSITTACIFORMES,Psittaculidae,Sulawesi Lori
4134,Saudareos ornata,AU,PSITTACIFORMES,Psittaculidae,Pragtlori
4135,Eos reticulata,AU,PSITTACIFORMES,Psittaculidae,Blåstreget Lori
4136,Eos semilarvata,AU,PSITTACIFORMES,Psittaculidae,Halvmaskelori
4137,Eos bornea,AU,PSITTACIFORMES,Psittaculidae,Rød Lori
4138,Eos cyanogenia,AU,PSITTACIFORMES,Psittaculidae,Blåøret Lori
4139,Eos histrio,AU,PSITTACIFORMES,Psittaculidae,Diademlori
4140,Eos squamata,AU,PSITTACIFORMES,Psittaculidae,Kapucinerlori
4141,Trichoglossus rubiginosus,PO,PSITTACIFORMES,Psittaculidae,Vinrød Lori
4142,Trichoglossus chlorolepidotus,AU,PSITTACIFORMES,Psittaculidae,Skælbrystet Lori
4143,Trichoglossus haematodus,AU,PSITTACIFORMES,Psittaculidae,Bjerglori
4144,Trichoglossus rosenbergii,AU,PSITTACIFORMES,Psittaculidae,Biaklori
4145,Trichoglossus moluccanus,AU,PSITTACIFORMES,Psittaculidae,Regnbuelori
4146,Trichoglossus rubritorquis,AU,PSITTACIFORMES,Psittaculidae,Rødnakket Lori
4147,Trichoglossus euteles,AU,PSITTACIFORMES,Psittaculidae,Gulhovedet Lori
4148,Trichoglossus capistratus,AU,PSITTACIFORMES,Psittaculidae,Marigoldlori
4149,Trichoglossus weberi,AU,PSITTACIFORMES,Psittaculidae,Floreslori
4150,Trichoglossus forsteni,AU,PSITTACIFORMES,Psittaculidae,Rødbrystet Lori
4151,Melopsittacus undulatus,AU,PSITTACIFORMES,Psittaculidae,Undulat
4152,Psittaculirostris desmarestii,AU,PSITTACIFORMES,Psittaculidae,Orangekronet Figenpapegøje
4153,Psittaculirostris edwardsii,AU,PSITTACIFORMES,Psittaculidae,Sortnakket Figenpapegøje
4154,Psittaculirostris salvadorii,AU,PSITTACIFORMES,Psittaculidae,Rødbrystet Figenpapegøje
4155,Cyclopsitta gulielmitertii,AU,PSITTACIFORMES,Psittaculidae,Sortkindet Figenpapegøje
4156,Cyclopsitta nigrifrons,AU,PSITTACIFORMES,Psittaculidae,Sortpandet Figenpapegøje
4157,Cyclopsitta melanogenia,AU,PSITTACIFORMES,Psittaculidae,Aru Figenpapegøje
4158,Cyclopsitta diophthalma,AU,PSITTACIFORMES,Psittaculidae,Dobbeltøjet Figenpapegøje
4159,Bolbopsittacus lunulatus,OR,PSITTACIFORMES,Psittaculidae,Myrtepapegeøje
4160,Loriculus vernalis,OR,PSITTACIFORMES,Psittaculidae,Blåstrubet Flagermuspapegøje
4161,Loriculus beryllinus,OR,PSITTACIFORMES,Psittaculidae,Sri Lanka-flagermuspapegøje
4162,Loriculus philippensis,OR,PSITTACIFORMES,Psittaculidae,Filippinsk Flagermuspapegøje
4163,Loriculus bonapartei,OR,PSITTACIFORMES,Psittaculidae,Sortnæbbet Flagermuspapegøje
4164,Loriculus camiguinensis,OR,PSITTACIFORMES,Psittaculidae,Camiguin-flagermuspapegøje
4165,Loriculus galgulus,OR,PSITTACIFORMES,Psittaculidae,Blåisset Flagermuspapegøje
4166,Loriculus stigmatus,AU,PSITTACIFORMES,Psittaculidae,Sulawesiflagermuspaegøje
4167,Loriculus amabilis,AU,PSITTACIFORMES,Psittaculidae,Molukflagermuspapegøje
4168,Loriculus sclateri,OR,PSITTACIFORMES,Psittaculidae,Sulaflagermuspapegøje
4169,Loriculus catamene,AU,PSITTACIFORMES,Psittaculidae,Sangihe-flagermuspapegøje
4170,Loriculus aurantiifrons,AU,PSITTACIFORMES,Psittaculidae,Orangepandet Flagermuspapegøje
4171,Loriculus tener,AU,PSITTACIFORMES,Psittaculidae,Bismarckflagermuspapegøje
4172,Loriculus exilis,AU,PSITTACIFORMES,Psittaculidae,Grøn Flagermuspapegøje
4173,Loriculus pusillus,OR,PSITTACIFORMES,Psittaculidae,Gulstrubet Flagermuspapegøje
4174,Loriculus flosculus,AU,PSITTACIFORMES,Psittaculidae,Floresflagermuspapegøje
4175,Agapornis canus,AF,PSITTACIFORMES,Psittaculidae,Gråhovedet Dværgpapegøje
4176,Agapornis pullarius,AF,PSITTACIFORMES,Psittaculidae,Orangehovedet Dværgpapegøje
4177,Agapornis taranta,AF,PSITTACIFORMES,Psittaculidae,Tarantadværgpapegøje
4178,Agapornis swindernianus,AF,PSITTACIFORMES,Psittaculidae,Grønhovedet Dværgpapegøje
4179,Agapornis roseicollis,AF,PSITTACIFORMES,Psittaculidae,Rosenhovedet Dværgpapegøje
4180,Agapornis fischeri,AF,PSITTACIFORMES,Psittaculidae,Rødhovedet Dværgpapegøje
4181,Agapornis personatus,AF,PSITTACIFORMES,Psittaculidae,Sorthovedet Dværgpapegøje
4182,Agapornis lilianae,AF,PSITTACIFORMES,Psittaculidae,Jordbærhovedet Dværgpapegøje
4183,Agapornis nigrigenis,AF,PSITTACIFORMES,Psittaculidae,Sortkindet Dværgpapegøje
4184,Acanthisitta chloris,AU,PASSERIFORMES,Acanthisittidae,Klatresmutte
4185,Xenicus gilviventris,AU,PASSERIFORMES,Acanthisittidae,Klippesmutte
4186,Sapayoa aenigma,"MA, SA",PASSERIFORMES,Sapayoidae,Sapayoa
4187,Philepitta schlegeli,AF,PASSERIFORMES,Philepittidae,Gulnakket Asiti
4188,Philepitta castanea,AF,PASSERIFORMES,Philepittidae,Fløjlsasiti
4189,Neodrepanis coruscans,AF,PASSERIFORMES,Philepittidae,Seglnæbsasiti
4190,Neodrepanis hypoxantha,AF,PASSERIFORMES,Philepittidae,Gulbuget Asiti
4191,Pseudocalyptomena graueri,AF,PASSERIFORMES,Eurylaimidae,Blåbrystet Brednæb
4192,Psarisomus dalhousiae,OR,PASSERIFORMES,Eurylaimidae,Langhalet Brednæb
4193,Corydon sumatranus,OR,PASSERIFORMES,Eurylaimidae,Maskebrednæb
4194,Sarcophanops samarensis,OR,PASSERIFORMES,Eurylaimidae,Visayanbrednæb
4195,Sarcophanops steerii,OR,PASSERIFORMES,Eurylaimidae,Mindanaobrednæb
4196,Serilophus rubropygius,OR,PASSERIFORMES,Eurylaimidae,Nordlig Sølvbrednæb
4197,Serilophus lunatus,OR,PASSERIFORMES,Eurylaimidae,Sølvbrednæb
4198,Cymbirhynchus macrorhynchos,OR,PASSERIFORMES,Eurylaimidae,Blodbrednæb
4199,Eurylaimus javanicus,OR,PASSERIFORMES,Eurylaimidae,Gulspættet Brednæb
4200,Eurylaimus ochromalus,OR,PASSERIFORMES,Eurylaimidae,Guløjet Brednæb
4201,Smithornis sharpei,AF,PASSERIFORMES,Calyptomenidae,Gråhovedet Brednæb
4202,Smithornis rufolateralis,AF,PASSERIFORMES,Calyptomenidae,Rustsidet Brednæb
4203,Smithornis capensis,AF,PASSERIFORMES,Calyptomenidae,Afrobrednæb
4204,Calyptomena viridis,OR,PASSERIFORMES,Calyptomenidae,Smaragdbrednæb
4205,Calyptomena hosii,OR,PASSERIFORMES,Calyptomenidae,Blåbuget Brednæb
4206,Calyptomena whiteheadi,OR,PASSERIFORMES,Calyptomenidae,Sortstrubet Brednæb
4207,Hydrornis phayrei,OR,PASSERIFORMES,Pittidae,Ørepitta
4208,Hydrornis caeruleus,OR,PASSERIFORMES,Pittidae,Kæmpepitta
4209,Hydrornis oatesi,OR,PASSERIFORMES,Pittidae,Rustpitta
4210,Hydrornis schneideri,OR,PASSERIFORMES,Pittidae,Blårygget Pitta
4211,Hydrornis nipalensis,OR,PASSERIFORMES,Pittidae,Blånakket Pitta
4212,Hydrornis soror,OR,PASSERIFORMES,Pittidae,Blågumpet Pitta
4213,Hydrornis irena,OR,PASSERIFORMES,Pittidae,Malay-båndpitta
4214,Hydrornis guajanus,OR,PASSERIFORMES,Pittidae,Gyldenbrynet Pitta
4215,Hydrornis schwaneri,OR,PASSERIFORMES,Pittidae,Borneo-båndpitta
4216,Hydrornis baudii,OR,PASSERIFORMES,Pittidae,Blåkronet Pitta
4217,Hydrornis cyaneus,OR,PASSERIFORMES,Pittidae,Rødnakket Pitta
4218,Hydrornis gurneyi,OR,PASSERIFORMES,Pittidae,Gurney´s Pitta
4219,Hydrornis elliotii,OR,PASSERIFORMES,Pittidae,Smaragdpitta
4220,Erythropitta kochi,OR,PASSERIFORMES,Pittidae,Luzonpitta
4221,Erythropitta erythrogaster,AU,PASSERIFORMES,Pittidae,Rødbuget Pitta
4222,Erythropitta celebensis,AU,PASSERIFORMES,Pittidae,Sulawesi-pitta
4223,Erythropitta dohertyi,AU,PASSERIFORMES,Pittidae,Sulapitta
4224,Erythropitta palliceps,AU,PASSERIFORMES,Pittidae,Siau-pitta
4225,Erythropitta caeruleitorques,AU,PASSERIFORMES,Pittidae,Sangihe-pitta
4226,Erythropitta rufiventris,AU,PASSERIFORMES,Pittidae,Moluk-pitta
4227,Erythropitta rubrinucha,AU,PASSERIFORMES,Pittidae,Buru-pitta
4228,Erythropitta macklotii,AU,PASSERIFORMES,Pittidae,Papua Pitta
4229,Erythropitta meeki,AU,PASSERIFORMES,Pittidae,Louisiade-pitta
4230,Erythropitta novaehibernicae,AU,PASSERIFORMES,Pittidae,Ny Irland-pitta
4231,Erythropitta venusta,OR,PASSERIFORMES,Pittidae,Sumatrapitta
4232,Erythropitta granatina,OR,PASSERIFORMES,Pittidae,Granatpitta
4233,Erythropitta ussheri,OR,PASSERIFORMES,Pittidae,Sabahpitta
4234,Erythropitta arquata,OR,PASSERIFORMES,Pittidae,Halsbåndspitta
4235,Pitta angolensis,AF,PASSERIFORMES,Pittidae,Afrikansk Pitta
4236,Pitta reichenowi,AF,PASSERIFORMES,Pittidae,Grønbrystet Pitta
4237,Pitta brachyura,OR,PASSERIFORMES,Pittidae,Indisk Pitta
4238,Pitta moluccensis,OR,PASSERIFORMES,Pittidae,Blåvinget Pitta
4239,Pitta megarhyncha,OR,PASSERIFORMES,Pittidae,Mangrovepitta
4240,Pitta sordida,"OR, AU",PASSERIFORMES,Pittidae,Kappepitta
4241,Pitta nympha,"OR, PAL",PASSERIFORMES,Pittidae,Nymfepitta
4242,Pitta versicolor,AU,PASSERIFORMES,Pittidae,Larmpitta
4243,Pitta maxima,AU,PASSERIFORMES,Pittidae,Halmaherapitta
4244,Pitta concinna,AU,PASSERIFORMES,Pittidae,Lombok-pitta
4245,Pitta elegans,AU,PASSERIFORMES,Pittidae,Pragtpitta
4246,Pitta vigorsii,AU,PASSERIFORMES,Pittidae,Sundapitta
4247,Pitta anerythra,AU,PASSERIFORMES,Pittidae,Maskepitta
4248,Pitta steerii,OR,PASSERIFORMES,Pittidae,Azurpitta
4249,Pitta superba,AU,PASSERIFORMES,Pittidae,Manuspitta
4250,Pitta iris,AU,PASSERIFORMES,Pittidae,Regnbuepitta
4251,Sclerurus mexicanus,MA,PASSERIFORMES,Furnariidae,Rusthalset Løvkaster
4252,Sclerurus obscurior,"MA, SA",PASSERIFORMES,Furnariidae,Dusky Leaftosser
4253,Sclerurus rufigularis,SA,PASSERIFORMES,Furnariidae,Kortnæbbet Løvkaster
4254,Sclerurus guatemalensis,"MA, SA",PASSERIFORMES,Furnariidae,Skælstrubet Løvkaster
4255,Sclerurus caudacutus,SA,PASSERIFORMES,Furnariidae,Sorthalet Løvkaster
4256,Sclerurus albigularis,"MA, SA",PASSERIFORMES,Furnariidae,Gråstrubet Løvkaster
4257,Sclerurus scansor,SA,PASSERIFORMES,Furnariidae,Rødbrystet Løvkaster
4258,Geositta peruviana,SA,PASSERIFORMES,Furnariidae,Kystminør
4259,Geositta tenuirostris,SA,PASSERIFORMES,Furnariidae,Tyndnæbbet Minør
4260,Geositta cunicularia,SA,PASSERIFORMES,Furnariidae,Minør
4261,Geositta punensis,SA,PASSERIFORMES,Furnariidae,Punaminør
4262,Geositta poeciloptera,SA,PASSERIFORMES,Furnariidae,Campominør
4263,Geositta crassirostris,SA,PASSERIFORMES,Furnariidae,Grovnæbbet Minør
4264,Geositta rufipennis,SA,PASSERIFORMES,Furnariidae,Orangebåndet Minør
4265,Geositta maritima,SA,PASSERIFORMES,Furnariidae,Gråminør
4266,Geositta antarctica,SA,PASSERIFORMES,Furnariidae,Ildlandsminør
4267,Geositta saxicolina,SA,PASSERIFORMES,Furnariidae,Junínminør
4268,Geositta isabellina,SA,PASSERIFORMES,Furnariidae,Isabellaminør
4269,Certhiasomus stictolaemus,SA,PASSERIFORMES,Furnariidae,Pletstrubet Tyrankryber
4270,Sittasomus griseicapillus,"MA, SA",PASSERIFORMES,Furnariidae,Gråhovedet Tyrankryber
4271,Deconychura typica,"MA, SA",PASSERIFORMES,Furnariidae,Little Long-tailed Woodcreeper
4272,Deconychura longicauda,SA,PASSERIFORMES,Furnariidae,Langhalet Tyrankryber
4273,Deconychura pallida,SA,PASSERIFORMES,Furnariidae,Southern Long-tailed Woodcreeper
4274,Dendrocincla tyrannina,SA,PASSERIFORMES,Furnariidae,Tyrankryber
4275,Dendrocincla merula,SA,PASSERIFORMES,Furnariidae,Hvidhaget Tyrankryber
4276,Dendrocincla homochroa,"MA, SA",PASSERIFORMES,Furnariidae,Rødbrun Tyrankryber
4277,Dendrocincla anabatina,MA,PASSERIFORMES,Furnariidae,Rustvinget Tyrankryber
4278,Dendrocincla fuliginosa,"MA, SA",PASSERIFORMES,Furnariidae,Brun Tyrankryber
4279,Dendrocincla turdina,SA,PASSERIFORMES,Furnariidae,Drosseltyrankryber
4280,Glyphorynchus spirurus,"MA, SA",PASSERIFORMES,Furnariidae,Barkhakker
4281,Dendrexetastes rufigula,SA,PASSERIFORMES,Furnariidae,Perlehalstrækryber
4282,Nasica longirostris,SA,PASSERIFORMES,Furnariidae,Langnæbbet Trækryber
4283,Dendrocolaptes sanctithomae,"MA, SA",PASSERIFORMES,Furnariidae,Nordlig Certhiatrækryber
4284,Dendrocolaptes certhia,SA,PASSERIFORMES,Furnariidae,Certhiatrækryber
4285,Dendrocolaptes picumnus,"MA, SA",PASSERIFORMES,Furnariidae,Tværstribet Trækryber
4286,Dendrocolaptes hoffmannsi,SA,PASSERIFORMES,Furnariidae,Lavlandstrækryber
4287,Dendrocolaptes platyrostris,SA,PASSERIFORMES,Furnariidae,Planaltotrækryber
4288,Hylexetastes stresemanni,SA,PASSERIFORMES,Furnariidae,Vatret Trækryber
4289,Hylexetastes perrotii,SA,PASSERIFORMES,Furnariidae,Rødnæbbet Trækryber
4290,Hylexetastes uniformis,SA,PASSERIFORMES,Furnariidae,Ensfarvet Trækryber
4291,Xiphocolaptes promeropirhynchus,"MA, SA",PASSERIFORMES,Furnariidae,Stornæbbet Trækryber
4292,Xiphocolaptes falcirostris,SA,PASSERIFORMES,Furnariidae,Skægtrækryber
4293,Xiphocolaptes albicollis,SA,PASSERIFORMES,Furnariidae,Hvidstrubet Trækryber
4294,Xiphocolaptes major,SA,PASSERIFORMES,Furnariidae,Stor Trækryber
4295,Xiphorhynchus obsoletus,SA,PASSERIFORMES,Furnariidae,Stribet Trækryber
4296,Xiphorhynchus fuscus,SA,PASSERIFORMES,Furnariidae,Lille Trækryber
4297,Xiphorhynchus atlanticus,SA,PASSERIFORMES,Furnariidae,Ceara Woodcreeper
4298,Xiphorhynchus pardalotus,SA,PASSERIFORMES,Furnariidae,Rødgumpet Trækryber
4299,Xiphorhynchus ocellatus,SA,PASSERIFORMES,Furnariidae,Forbjergstrækryber
4300,Xiphorhynchus elegans,SA,PASSERIFORMES,Furnariidae,Elegant Trækryber
4301,Xiphorhynchus spixii,SA,PASSERIFORMES,Furnariidae,Marajótrækryber
4302,Xiphorhynchus guttatus,SA,PASSERIFORMES,Furnariidae,Gulstrubet Trækryber
4303,Xiphorhynchus susurrans,"MA, SA",PASSERIFORMES,Furnariidae,Cocoatrækryber
4304,Xiphorhynchus flavigaster,MA,PASSERIFORMES,Furnariidae,Hvidnæbbet Trækryber
4305,Xiphorhynchus lachrymosus,"MA, SA",PASSERIFORMES,Furnariidae,Sortstribet Trækryber
4306,Xiphorhynchus erythropygius,"MA, SA",PASSERIFORMES,Furnariidae,Plettet Trækryber
4307,Xiphorhynchus triangularis,SA,PASSERIFORMES,Furnariidae,Olivenrygget Trækryber
4308,Dendroplex picus,"MA, SA",PASSERIFORMES,Furnariidae,Sværdnæbbet Trækryber
4309,Dendroplex kienerii,SA,PASSERIFORMES,Furnariidae,Várzeatrækryber
4310,Campylorhamphus trochilirostris,"MA, SA",PASSERIFORMES,Furnariidae,Rødnæbbet Lenæb
4311,Campylorhamphus falcularius,SA,PASSERIFORMES,Furnariidae,Sortnæbbet Lenæb
4312,Campylorhamphus procurvoides,SA,PASSERIFORMES,Furnariidae,Lenæb
4313,Campylorhamphus probatus,SA,PASSERIFORMES,Furnariidae,Tapajós-lenæb
4314,Campylorhamphus multostriatus,SA,PASSERIFORMES,Furnariidae,Xingo-lenæb
4315,Campylorhamphus pusillus,"MA, SA",PASSERIFORMES,Furnariidae,Brunnæbbet Lenæb
4316,Drymotoxeres pucheranii,SA,PASSERIFORMES,Furnariidae,Stor Lenæb
4317,Drymornis bridgesii,SA,PASSERIFORMES,Furnariidae,Seglnæbbet Trækryber
4318,Lepidocolaptes leucogaster,MA,PASSERIFORMES,Furnariidae,Hvidstribet Trækryber
4319,Lepidocolaptes souleyetii,"MA, SA",PASSERIFORMES,Furnariidae,Streghovedet Trækryber
4320,Lepidocolaptes angustirostris,SA,PASSERIFORMES,Furnariidae,Tyndnæbbet Trækryber
4321,Lepidocolaptes affinis,MA,PASSERIFORMES,Furnariidae,Pletkronet Trækryber
4322,Lepidocolaptes lacrymiger,SA,PASSERIFORMES,Furnariidae,Andestrækryber
4323,Lepidocolaptes squamatus,SA,PASSERIFORMES,Furnariidae,Skællet Trækryber
4324,Lepidocolaptes falcinellus,SA,PASSERIFORMES,Furnariidae,Østkysttrækryber
4325,Lepidocolaptes albolineatus,SA,PASSERIFORMES,Furnariidae,Streget Trækryber
4326,Lepidocolaptes duidae,SA,PASSERIFORMES,Furnariidae,Duida-trækryber
4327,Lepidocolaptes fatimalimae,SA,PASSERIFORMES,Furnariidae,Inambari-trækryber
4328,Lepidocolaptes fuscicapillus,SA,PASSERIFORMES,Furnariidae,Dusky-capped Woodcreeper
4329,Xenops tenuirostris,SA,PASSERIFORMES,Furnariidae,Tyndnæbbet Xenops
4330,Xenops genibarbis,"MA, SA",PASSERIFORMES,Furnariidae,Plain Xenops
4331,Xenops minutus,SA,PASSERIFORMES,Furnariidae,Xenops
4332,Xenops rutilans,"MA, SA",PASSERIFORMES,Furnariidae,Stribet Xenops
4333,Berlepschia rikeri,SA,PASSERIFORMES,Furnariidae,Palmekryber
4334,Microxenops milleri,SA,PASSERIFORMES,Furnariidae,Rødhalet Xenops
4335,Pygarrhichas albogularis,SA,PASSERIFORMES,Furnariidae,Hvidstrubet Træjæger
4336,Ochetorhynchus ruficaudus,SA,PASSERIFORMES,Furnariidae,Retnæbbet Jordlusker
4337,Ochetorhynchus andaecola,SA,PASSERIFORMES,Furnariidae,Klippejordlusker
4338,Ochetorhynchus phoenicurus,SA,PASSERIFORMES,Furnariidae,Båndhalet Jordlusker
4339,Ochetorhynchus melanurus,SA,PASSERIFORMES,Furnariidae,Chilia
4340,Pseudocolaptes lawrencii,MA,PASSERIFORMES,Furnariidae,Duskøre
4341,Pseudocolaptes johnsoni,SA,PASSERIFORMES,Furnariidae,Chocóduskøre
