,IOC,Breeding Range,Order,Family,Danish
174,Netta erythrophthalma,"AF, SA",ANSERIFORMES,Anatidae,Rødøjet And
175,Aythya ferina,PAL,ANSERIFORMES,Anatidae,Taffeland
176,Aythya australis,AU,ANSERIFORMES,Anatidae,Australsk Taffeland
177,Aythya innotata,AF,ANSERIFORMES,Anatidae,Madagaskar Hvidøjet And
178,Aythya baeri,PAL,ANSERIFORMES,Anatidae,Manchurerand
179,Aythya nyroca,PAL,ANSERIFORMES,Anatidae,Hvidøjet And
180,Aythya novaeseelandiae,AU,ANSERIFORMES,Anatidae,Newzealandsk Troldand
181,Aythya fuligula,PAL,ANSERIFORMES,Anatidae,Troldand
182,Aythya marila,"NA, PAL",ANSERIFORMES,Anatidae,Bjergand
183,Polysticta stelleri,"NA, PAL",ANSERIFORMES,Anatidae,Stellersand
184,Somateria fischeri,"NA, PAL",ANSERIFORMES,Anatidae,Brilleederfugl
185,Somateria spectabilis,"NA, PAL",ANSERIFORMES,Anatidae,Kongeederfugl
186,Somateria mollissima,"NA, PAL",ANSERIFORMES,Anatidae,Ederfugl
187,Histrionicus histrionicus,"NA, PAL",ANSERIFORMES,Anatidae,Strømand
188,Melanitta fusca,PAL,ANSERIFORMES,Anatidae,Fløjlsand
189,Melanitta stejnegeri,PAL,ANSERIFORMES,Anatidae,Asiatisk Fløjlsand
190,Melanitta nigra,PAL,ANSERIFORMES,Anatidae,Sortand
191,Melanitta americana,"PAL, NA",ANSERIFORMES,Anatidae,Amerikansk Sortand
192,Clangula hyemalis,"NA, PAL",ANSERIFORMES,Anatidae,Havlit
193,Bucephala clangula,"NA, PAL",ANSERIFORMES,Anatidae,Hvinand
194,Bucephala islandica,"NA, PAL",ANSERIFORMES,Anatidae,Islandsk Hvinand
195,Mergellus albellus,PAL,ANSERIFORMES,Anatidae,Lille Skallesluger
196,Mergus octosetaceus,SA,ANSERIFORMES,Anatidae,Brasiliansk Skallesluger
197,Mergus merganser,"NA, PAL",ANSERIFORMES,Anatidae,Stor Skallesluger
198,Mergus serrator,"NA, PAL",ANSERIFORMES,Anatidae,Toppet Skallesluger
199,Mergus squamatus,PAL,ANSERIFORMES,Anatidae,Amurskallesluger
200,Heteronetta atricapilla,SA,ANSERIFORMES,Anatidae,Snylteand
201,Nomonyx dominicus,"MA, SA",ANSERIFORMES,Anatidae,Maskeskarveand
202,Oxyura jamaicensis,"NA, MA",ANSERIFORMES,Anatidae,Amerikansk Skarveand
203,Oxyura ferruginea,SA,ANSERIFORMES,Anatidae,Andesskarveand
204,Oxyura vittata,SA,ANSERIFORMES,Anatidae,Argentinsk Skarveand
205,Oxyura australis,AU,ANSERIFORMES,Anatidae,Australsk Skarveand
206,Oxyura maccoa,AF,ANSERIFORMES,Anatidae,Afrikansk Skarveand
207,Oxyura leucocephala,PAL,ANSERIFORMES,Anatidae,Hvidhovedet Skarveand
208,Biziura lobata,AU,ANSERIFORMES,Anatidae,Bisamand
209,Alectura lathami,AU,GALLIFORMES,Megapodiidae,Kratkalkun
210,Aepypodius arfakianus,AU,GALLIFORMES,Megapodiidae,Kamtallegalla
211,Aepypodius bruijnii,AU,GALLIFORMES,Megapodiidae,Waigeutallegalla
212,Talegalla cuvieri,AU,GALLIFORMES,Megapodiidae,Rødnæbbet Tallegalla
213,Talegalla fuscirostris,AU,GALLIFORMES,Megapodiidae,Sortnæbbet Tallegalla
214,Talegalla jobiensis,AU,GALLIFORMES,Megapodiidae,Brunhalset Tallegalla
215,Leipoa ocellata,AU,GALLIFORMES,Megapodiidae,Malleehøne
216,Macrocephalon maleo,AU,GALLIFORMES,Megapodiidae,Hammerhøne
217,Eulipoa wallacei,AU,GALLIFORMES,Megapodiidae,Molukbuskhøne
