,IOC,Breeding Range,Order,Family,Portuguese
6449,Terpsiphone batesi,AF,PASSERIFORMES,Monarchidae,papa-moscas-do-paraíso-congolês
6450,Terpsiphone viridis,AF,PASSERIFORMES,Monarchidae,papa-moscas-do-paraíso-africano
6451,Terpsiphone paradisi,OR,PASSERIFORMES,Monarchidae,papa-moscas-do-paraíso-indiano
6452,Terpsiphone affinis,OR,PASSERIFORMES,Monarchidae,papa-moscas-do-paraíso-oriental
6453,Terpsiphone floris,AU,PASSERIFORMES,Monarchidae,papa-moscas-da-pequena-sunda
6454,Terpsiphone incei,OR,PASSERIFORMES,Monarchidae,papa-moscas-do-paraíso-chinês
6455,Terpsiphone atrocaudata,PAL,PASSERIFORMES,Monarchidae,papa-moscas-do-paraíso-japonês
6456,Terpsiphone cyanescens,OR,PASSERIFORMES,Monarchidae,papa-moscas-do-paraíso-azul
6457,Terpsiphone cinnamomea,OR,PASSERIFORMES,Monarchidae,papa-moscas-do-paraíso-ruivo
6458,Terpsiphone atrochalybeia,AF,PASSERIFORMES,Monarchidae,papa-moscas-do-paraíso-de-são-tomé
6459,Terpsiphone mutata,AF,PASSERIFORMES,Monarchidae,papa-moscas-do-paraíso-malgaxe
6460,Terpsiphone corvina,IO,PASSERIFORMES,Monarchidae,papa-moscas-do-paraíso-das-seicheles
6461,Terpsiphone bourbonnensis,IO,PASSERIFORMES,Monarchidae,papa-moscas-do-paraíso-das-mascarenhas
6462,Chasiempis sclateri,PO,PASSERIFORMES,Monarchidae,monarca-de-kauai
6463,Chasiempis ibidis,PO,PASSERIFORMES,Monarchidae,monarca-de-oahu
6464,Chasiempis sandwichensis,PO,PASSERIFORMES,Monarchidae,monarca-de-havai
6465,Pomarea dimidiata,PO,PASSERIFORMES,Monarchidae,monarca-de-rarotonga
6466,Pomarea nigra,PO,PASSERIFORMES,Monarchidae,monarca-do-taiti
6467,Pomarea mendozae,PO,PASSERIFORMES,Monarchidae,monarca-das-marquesas
6468,Pomarea mira,PO,PASSERIFORMES,Monarchidae,monarca-de-ua-pou
6469,Pomarea iphis,PO,PASSERIFORMES,Monarchidae,monarca-de-ua-huka
6470,Pomarea whitneyi,PO,PASSERIFORMES,Monarchidae,monarca-de-fatu-hiva
6471,Mayrornis schistaceus,AU,PASSERIFORMES,Monarchidae,monarca-de-vanikoro
6472,Mayrornis versicolor,PO,PASSERIFORMES,Monarchidae,monarca-versicolor
6473,Mayrornis lessoni,PO,PASSERIFORMES,Monarchidae,monarca-ardósia
6474,Neolalage banksiana,AU,PASSERIFORMES,Monarchidae,monarca-amarelo
6475,Clytorhynchus pachycephaloides,AU,PASSERIFORMES,Monarchidae,monarca-pardo
6476,Clytorhynchus vitiensis,PO,PASSERIFORMES,Monarchidae,monarca-das-fiji
6477,Clytorhynchus nigrogularis,PO,PASSERIFORMES,Monarchidae,monarca-de-garganta-preta
6478,Clytorhynchus sanctaecrucis,PO,PASSERIFORMES,Monarchidae,monarca-das-santa-cruz
6479,Clytorhynchus hamlini,AU,PASSERIFORMES,Monarchidae,monarca-da-rennell
6480,Metabolus rugensis,PO,PASSERIFORMES,Monarchidae,monarca-de-chuuk
6481,Symposiachrus axillaris,AU,PASSERIFORMES,Monarchidae,monarca-preto
6482,Symposiachrus guttula,AU,PASSERIFORMES,Monarchidae,monarca-de-asa-malhada
6483,Symposiachrus mundus,AU,PASSERIFORMES,Monarchidae,monarca-barba-negra
6484,Symposiachrus sacerdotum,AU,PASSERIFORMES,Monarchidae,monarca-de-flores
6485,Symposiachrus boanensis,AU,PASSERIFORMES,Monarchidae,monarca-de-queixo-preto
6486,Symposiachrus melanopterus,AU,PASSERIFORMES,Monarchidae,monarca-das-luisíadas
6487,Symposiachrus trivirgatus,AU,PASSERIFORMES,Monarchidae,monarca-de-lunetas
6488,Symposiachrus bimaculatus,AU,PASSERIFORMES,Monarchidae,monarca-das-molucas
6489,Symposiachrus leucurus,AU,PASSERIFORMES,Monarchidae,monarca-de-rabo-branco
6490,Symposiachrus everetti,AU,PASSERIFORMES,Monarchidae,monarca-de-pontas-brancas
6491,Symposiachrus loricatus,AU,PASSERIFORMES,Monarchidae,monarca-de-pontas-pretas
6492,Symposiachrus julianae,AU,PASSERIFORMES,Monarchidae,monarca-de-kofiau
6493,Symposiachrus brehmii,AU,PASSERIFORMES,Monarchidae,monarca-de-biak
6494,Symposiachrus manadensis,AU,PASSERIFORMES,Monarchidae,monarca-de-capuz
6495,Symposiachrus infelix,AU,PASSERIFORMES,Monarchidae,monarca-do-almirantado
6496,Symposiachrus menckei,AU,PASSERIFORMES,Monarchidae,monarca-de-mussau
6497,Symposiachrus verticalis,AU,PASSERIFORMES,Monarchidae,monarca-das-bismarck
6498,Symposiachrus barbatus,AU,PASSERIFORMES,Monarchidae,monarca-das-salomão
6499,Symposiachrus browni,AU,PASSERIFORMES,Monarchidae,monarca-de-kolombangara
6500,Symposiachrus vidua,AU,PASSERIFORMES,Monarchidae,monarca-de-colar
6501,Symposiachrus rubiensis,AU,PASSERIFORMES,Monarchidae,monarca-ruivo
6502,Monarcha cinerascens,AU,PASSERIFORMES,Monarchidae,monarca-das-ilhas
6503,Monarcha melanopsis,AU,PASSERIFORMES,Monarchidae,monarca-de-faces-pretas
6504,Monarcha frater,AU,PASSERIFORMES,Monarchidae,monarca-de-asa-negra
6505,Monarcha erythrostictus,AU,PASSERIFORMES,Monarchidae,monarca-da-bougainville
6506,Monarcha castaneiventris,AU,PASSERIFORMES,Monarchidae,monarca-de-barriga-castanha
6507,Monarcha richardsii,AU,PASSERIFORMES,Monarchidae,monarca-de-touca-branca
6508,Monarcha godeffroyi,PO,PASSERIFORMES,Monarchidae,monarca-de-yap
6509,Monarcha takatsukasae,PO,PASSERIFORMES,Monarchidae,monarca-de-tiniã
6510,Carterornis leucotis,AU,PASSERIFORMES,Monarchidae,monarca-de-orelha-branca
6511,Carterornis pileatus,AU,PASSERIFORMES,Monarchidae,monarca-de-nuca-branca
6512,Carterornis castus,AU,PASSERIFORMES,Monarchidae,monarca-das-tanimbar
6513,Carterornis chrysomela,AU,PASSERIFORMES,Monarchidae,monarca-dourado
6514,Arses insularis,AU,PASSERIFORMES,Monarchidae,monarca-de-pescoço-ruivo
6515,Arses telescopthalmus,AU,PASSERIFORMES,Monarchidae,monarca-de-pescoço-branco
6516,Arses lorealis,AU,PASSERIFORMES,Monarchidae,monarca-do-cabo-york
6517,Arses kaupi,AU,PASSERIFORMES,Monarchidae,monarca-alvinegro
6518,Grallina cyanoleuca,AU,PASSERIFORMES,Monarchidae,gralina-pega
6519,Grallina bruijnii,AU,PASSERIFORMES,Monarchidae,gralina-papua
6520,Myiagra oceanica,PO,PASSERIFORMES,Monarchidae,papa-moscas-de-chuuk
6521,Myiagra erythrops,PO,PASSERIFORMES,Monarchidae,papa-moscas-de-palau
6522,Myiagra pluto,PO,PASSERIFORMES,Monarchidae,papa-moscas-de-ponapé
6523,Myiagra galeata,AU,PASSERIFORMES,Monarchidae,papa-moscas-das-molucas
6524,Myiagra atra,AU,PASSERIFORMES,Monarchidae,papa-moscas-das-biak
6525,Myiagra rubecula,AU,PASSERIFORMES,Monarchidae,papa-moscas-plúmbeo
6526,Myiagra ferrocyanea,AU,PASSERIFORMES,Monarchidae,papa-moscas-azulão
6527,Myiagra cervinicauda,AU,PASSERIFORMES,Monarchidae,papa-moscas-de-makira
6528,Myiagra caledonica,AU,PASSERIFORMES,Monarchidae,papa-moscas-melanésio
6529,Myiagra vanikorensis,PO,PASSERIFORMES,Monarchidae,papa-moscas-de-vanikoro
6530,Myiagra albiventris,PO,PASSERIFORMES,Monarchidae,papa-moscas-da-samoa
6531,Myiagra azureocapilla,PO,PASSERIFORMES,Monarchidae,papa-moscas-de-cabeça-celeste
6532,Myiagra castaneigularis,PO,PASSERIFORMES,Monarchidae,papa-moscas-de-garganta-castanha
6533,Myiagra ruficollis,AU,PASSERIFORMES,Monarchidae,papa-moscas-de-bico-largo
6534,Myiagra cyanoleuca,AU,PASSERIFORMES,Monarchidae,papa-moscas-acetinado
6535,Myiagra alecto,AU,PASSERIFORMES,Monarchidae,papa-moscas-reluzente
6536,Myiagra hebetior,AU,PASSERIFORMES,Monarchidae,papa-moscas-de-mussau
6537,Myiagra eichhorni,AU,PASSERIFORMES,Monarchidae,papa-moscas-aveludado
6538,Myiagra cervinicolor,AU,PASSERIFORMES,Monarchidae,papa-moscas-de-dyaul
6539,Myiagra nana,AU,PASSERIFORMES,Monarchidae,papa-moscas-das-melaleucas
6540,Myiagra inquieta,AU,PASSERIFORMES,Monarchidae,papa-moscas-amolador
6541,Platylophus galericulatus,OR,PASSERIFORMES,Platylophidae,gaio-de-poupa
6542,Eurocephalus ruppelli,AF,PASSERIFORMES,Laniidae,picanço-de-barrete-branco
6543,Eurocephalus anguitimens,AF,PASSERIFORMES,Laniidae,picanço-de-coroa-branca
6544,Lanius corvinus,AF,PASSERIFORMES,Laniidae,picanço-de-bico-amarelo
6545,Lanius melanoleucus,AF,PASSERIFORMES,Laniidae,picanço-rabudo
6546,Lanius cabanisi,AF,PASSERIFORMES,Laniidae,picanço-de-dorso-preto
6547,Lanius excubitoroides,AF,PASSERIFORMES,Laniidae,picanço-de-dorso-cinzento
6548,Lanius dorsalis,AF,PASSERIFORMES,Laniidae,picanço-do-quénia
6549,Lanius excubitor,"PAL, AF",PASSERIFORMES,Laniidae,picanço-real-nortenho
6550,Lanius somalicus,AF,PASSERIFORMES,Laniidae,picanço-somali
6551,Lanius ludovicianus,"NA, MA",PASSERIFORMES,Laniidae,picanço-americano
6552,Lanius giganteus,PAL,PASSERIFORMES,Laniidae,picanço-do-sujuão
6553,Lanius sphenocercus,PAL,PASSERIFORMES,Laniidae,picanço-chinês
6554,Lanius meridionalis,PAL,PASSERIFORMES,Laniidae,picanço-real-meridional
6555,Lanius borealis,"NA, PAL",PASSERIFORMES,Laniidae,picanço-boreal
6556,Lanius nubicus,PAL,PASSERIFORMES,Laniidae,picanço-da-núbia
6557,Lanius newtoni,AF,PASSERIFORMES,Laniidae,picanço-de-são-tomé
6558,Lanius humeralis,AF,PASSERIFORMES,Laniidae,picanço-fiscal-do-norte
6559,Lanius gubernator,AF,PASSERIFORMES,Laniidae,picanço-da-savana
6560,Lanius mackinnoni,AF,PASSERIFORMES,Laniidae,picanço-das-clareiras
6561,Lanius souzae,AF,PASSERIFORMES,Laniidae,picanço-do-miombo
6562,Lanius collaris,AF,PASSERIFORMES,Laniidae,picanço-fiscal-do-sul
6563,Lanius minor,PAL,PASSERIFORMES,Laniidae,picanço-de-mascarilha
6564,Lanius senator,PAL,PASSERIFORMES,Laniidae,picanço-barreteiro
6565,Lanius collurioides,OR,PASSERIFORMES,Laniidae,picanço-birmanês
6566,Lanius tigrinus,PAL,PASSERIFORMES,Laniidae,picanço-tigrino
6567,Lanius vittatus,PAL,PASSERIFORMES,Laniidae,picanço-de-dorso-castanho
6568,Lanius isabellinus,PAL,PASSERIFORMES,Laniidae,picanço-isabel
6569,Lanius collurio,PAL,PASSERIFORMES,Laniidae,picanço-de-dorso-ruivo
6570,Lanius phoenicuroides,OR,PASSERIFORMES,Laniidae,picanço-do-turquestão
6571,Lanius validirostris,OR,PASSERIFORMES,Laniidae,picanço-filipino
6572,Lanius cristatus,PAL,PASSERIFORMES,Laniidae,picanço-castanho
6573,Lanius bucephalus,PAL,PASSERIFORMES,Laniidae,picanço-bucéfalo
6574,Lanius schach,"OR, AU",PASSERIFORMES,Laniidae,picanço-rabilongo
6575,Lanius tephronotus,PAL,PASSERIFORMES,Laniidae,picanço-do-himalaia
6576,Platysmurus leucopterus,OR,PASSERIFORMES,Corvidae,pega-preta-malaia
6577,Platysmurus aterrimus,OR,PASSERIFORMES,Corvidae,pega-preta-de-bornéu
6578,Perisoreus infaustus,PAL,PASSERIFORMES,Corvidae,gaio-siberiano
6579,Perisoreus internigrans,PAL,PASSERIFORMES,Corvidae,gaio-de-sujuão
6580,Cyanolyca armillata,SA,PASSERIFORMES,Corvidae,gaio-de-colar
6581,Cyanolyca viridicyanus,SA,PASSERIFORMES,Corvidae,gaio-andino
6582,Cyanolyca turcosa,SA,PASSERIFORMES,Corvidae,gaio-turquesa
6583,Cyanolyca pulchra,SA,PASSERIFORMES,Corvidae,gaio-do-chocó
6584,Cyanolyca cucullata,MA,PASSERIFORMES,Corvidae,gaio-de-coroa-azul
6585,Cyanolyca pumilo,MA,PASSERIFORMES,Corvidae,gaio-de-garganta-preta
6586,Cyanolyca nanus,MA,PASSERIFORMES,Corvidae,gaio-anão
6587,Cyanolyca mirabilis,MA,PASSERIFORMES,Corvidae,gaio-mascarado
6588,Cyanolyca argentigula,MA,PASSERIFORMES,Corvidae,gaio-de-garganta-prateada
6589,Cyanocorax melanocyaneus,MA,PASSERIFORMES,Corvidae,gaio-de-capuz
6590,Cyanocorax sanblasianus,MA,PASSERIFORMES,Corvidae,gaio-de-são-brás
6591,Cyanocorax yucatanicus,MA,PASSERIFORMES,Corvidae,gaio-do-iucatão
6592,Cyanocorax beecheii,MA,PASSERIFORMES,Corvidae,gaio-de-dorso-violeta
6593,Cyanocorax violaceus,SA,PASSERIFORMES,Corvidae,gralha-violácea
6594,Cyanocorax caeruleus,SA,PASSERIFORMES,Corvidae,gralha-azul
6595,Cyanocorax cyanomelas,SA,PASSERIFORMES,Corvidae,gralha-do-pantanal
6596,Cyanocorax cristatellus,SA,PASSERIFORMES,Corvidae,gralha-do-campo
6597,Cyanocorax dickeyi,MA,PASSERIFORMES,Corvidae,gaio-de-penacho
6598,Cyanocorax affinis,"MA, SA",PASSERIFORMES,Corvidae,gaio-de-peito-preto
6599,Cyanocorax mystacalis,SA,PASSERIFORMES,Corvidae,gaio-de-bigodes
6600,Cyanocorax cayanus,SA,PASSERIFORMES,Corvidae,gralha-da-guiana
6601,Cyanocorax heilprini,SA,PASSERIFORMES,Corvidae,gralha-de-nuca-azul
6602,Cyanocorax chrysops,SA,PASSERIFORMES,Corvidae,gralha-picaça
6603,Cyanocorax cyanopogon,SA,PASSERIFORMES,Corvidae,gralha-cancã
6604,Cyanocorax luxuosus,MA,PASSERIFORMES,Corvidae,gaio-verde
6605,Cyanocorax yncas,SA,PASSERIFORMES,Corvidae,gaio-inca
6606,Psilorhinus morio,MA,PASSERIFORMES,Corvidae,gaio-castanho
6607,Calocitta colliei,MA,PASSERIFORMES,Corvidae,gaio-rabilongo-preto
6608,Calocitta formosa,MA,PASSERIFORMES,Corvidae,gaio-rabilongo-branco
6609,Cyanocitta stelleri,"NA, MA",PASSERIFORMES,Corvidae,gaio-de-mitra
6610,Aphelocoma wollweberi,"NA, MA",PASSERIFORMES,Corvidae,gaio-mexicano
6611,Aphelocoma ultramarina,MA,PASSERIFORMES,Corvidae,gaio-transvulcânico
6612,Aphelocoma unicolor,MA,PASSERIFORMES,Corvidae,gaio-unicolor
6613,Aphelocoma californica,"NA, MA",PASSERIFORMES,Corvidae,gaio-da-califórnia
6614,Aphelocoma woodhouseii,"NA, MA",PASSERIFORMES,Corvidae,gaio-das-pradarias
6615,Garrulus glandarius,"PAL, OR",PASSERIFORMES,Corvidae,gaio-comum
6616,Garrulus lanceolatus,PAL,PASSERIFORMES,Corvidae,gaio-de-cabeça-preta
6617,Garrulus lidthi,PAL,PASSERIFORMES,Corvidae,gaio-de-amami
6618,Cyanopica cyanus,PAL,PASSERIFORMES,Corvidae,pega-de-asa-azul
6619,Cyanopica cooki,PAL,PASSERIFORMES,Corvidae,charneco
6620,Urocissa ornata,OR,PASSERIFORMES,Corvidae,pega-azul-cingalesa
6621,Urocissa caerulea,OR,PASSERIFORMES,Corvidae,pega-azul-da-formosa
6622,Urocissa flavirostris,OR,PASSERIFORMES,Corvidae,pega-azul-de-bico-amarelo
6623,Urocissa erythroryncha,OR,PASSERIFORMES,Corvidae,pega-azul-de-bico-vermelho
6624,Urocissa whiteheadi,OR,PASSERIFORMES,Corvidae,pega-de-asa-branca
6625,Cissa chinensis,OR,PASSERIFORMES,Corvidae,pega-verde-ocidental
6626,Cissa hypoleuca,OR,PASSERIFORMES,Corvidae,pega-verde-indochinesa
6627,Cissa thalassina,OR,PASSERIFORMES,Corvidae,pega-verde-de-java
6628,Cissa jefferyi,OR,PASSERIFORMES,Corvidae,pega-verde-de-bornéu
6629,Dendrocitta vagabunda,OR,PASSERIFORMES,Corvidae,pega-ruiva
6630,Dendrocitta occipitalis,OR,PASSERIFORMES,Corvidae,pega-de-samatra
6631,Dendrocitta cinerascens,OR,PASSERIFORMES,Corvidae,pega-de-bornéu
6632,Dendrocitta formosae,OR,PASSERIFORMES,Corvidae,pega-cinzenta
6633,Dendrocitta leucogastra,OR,PASSERIFORMES,Corvidae,pega-de-barriga-branca
6634,Dendrocitta frontalis,OR,PASSERIFORMES,Corvidae,pega-de-colar
6635,Dendrocitta bayleii,OR,PASSERIFORMES,Corvidae,pega-das-andamão
6636,Crypsirina temia,OR,PASSERIFORMES,Corvidae,pega-de-raquete
6637,Crypsirina cucullata,OR,PASSERIFORMES,Corvidae,pega-de-capuz
6638,Temnurus temnurus,OR,PASSERIFORMES,Corvidae,pega-de-cauda-dentada
6639,Pica pica,PAL,PASSERIFORMES,Corvidae,pega-rabilonga
6640,Pica mauritanica,AF,PASSERIFORMES,Corvidae,pega-magrebina
6641,Pica asirensis,PAL,PASSERIFORMES,Corvidae,pega-de-assir
6642,Pica bottanensis,OR,PASSERIFORMES,Corvidae,pega-do-butão
6643,Pica serica,OR,PASSERIFORMES,Corvidae,pega-oriental
6644,Zavattariornis stresemanni,AF,PASSERIFORMES,Corvidae,peguinha-etíope
6645,Podoces hendersoni,PAL,PASSERIFORMES,Corvidae,gaio-terrestre-mongol
6646,Podoces biddulphi,PAL,PASSERIFORMES,Corvidae,gaio-terrestre-do-sinquião
6647,Podoces panderi,PAL,PASSERIFORMES,Corvidae,gaio-terrestre-do-turquestão
6648,Podoces pleskei,PAL,PASSERIFORMES,Corvidae,gaio-terrestre-iraniano
6649,Nucifraga caryocatactes,PAL,PASSERIFORMES,Corvidae,quebra-nozes-mosqueado
6650,Nucifraga multipunctata,PAL,PASSERIFORMES,Corvidae,quebra-nozes-de-caxemira
6651,Pyrrhocorax pyrrhocorax,PAL,PASSERIFORMES,Corvidae,gralha-de-bico-vermelho
6652,Pyrrhocorax graculus,PAL,PASSERIFORMES,Corvidae,gralha-de-bico-amarelo
6653,Ptilostomus afer,AF,PASSERIFORMES,Corvidae,pega-africana
6654,Coloeus monedula,PAL,PASSERIFORMES,Corvidae,gralha-de-nuca-cinzenta
6655,Coloeus dauuricus,PAL,PASSERIFORMES,Corvidae,gralha-dáurica
6656,Corvus splendens,OR,PASSERIFORMES,Corvidae,gralha-indiana
6657,Corvus moneduloides,AU,PASSERIFORMES,Corvidae,gralha-da-nova-caledónia
6658,Corvus typicus,AU,PASSERIFORMES,Corvidae,gralha-da-celebes
6659,Corvus unicolor,AU,PASSERIFORMES,Corvidae,gralha-das-bangai
6660,Corvus enca,"OR, AU",PASSERIFORMES,Corvidae,gralha-de-bico-fino
6661,Corvus samarensis,OR,PASSERIFORMES,Corvidae,gralha-filipina
6662,Corvus pusillus,OR,PASSERIFORMES,Corvidae,gralha-de-palauão
6663,Corvus violaceus,AU,PASSERIFORMES,Corvidae,gralha-azeviche
6664,Corvus florensis,AU,PASSERIFORMES,Corvidae,gralha-de-flores
6665,Corvus kubaryi,PO,PASSERIFORMES,Corvidae,gralha-de-rota
6666,Corvus validus,AU,PASSERIFORMES,Corvidae,gralha-de-bico-comprido
6667,Corvus woodfordi,AU,PASSERIFORMES,Corvidae,gralha-de-bico-branco
6668,Corvus meeki,AU,PASSERIFORMES,Corvidae,gralha-da-bougainville
6669,Corvus fuscicapillus,AU,PASSERIFORMES,Corvidae,gralha-de-cabeça-castanha
6670,Corvus tristis,AU,PASSERIFORMES,Corvidae,gralha-cinzenta
6671,Corvus capensis,AF,PASSERIFORMES,Corvidae,gralha-do-cabo
6672,Corvus frugilegus,PAL,PASSERIFORMES,Corvidae,gralha-calva
6673,Corvus imparatus,"NA, MA",PASSERIFORMES,Corvidae,gralha-de-tamaulipas
6674,Corvus sinaloae,MA,PASSERIFORMES,Corvidae,gralha-de-sinaloa
6675,Corvus hawaiiensis,PO,PASSERIFORMES,Corvidae,gralha-de-havai
6676,Corvus corone,PAL,PASSERIFORMES,Corvidae,gralha-preta
6677,Corvus cornix,PAL,PASSERIFORMES,Corvidae,gralha-de-capuz
6678,Corvus torquatus,"PAL, OR",PASSERIFORMES,Corvidae,gralha-de-colar
6679,Corvus macrorhynchos,"PAL, OR",PASSERIFORMES,Corvidae,gralha-de-bico-grosso
6680,Corvus levaillantii,OR,PASSERIFORMES,Corvidae,gralha-selvática-oriental
6681,Corvus culminatus,OR,PASSERIFORMES,Corvidae,gralha-selvática-indiana
6682,Corvus orru,AU,PASSERIFORMES,Corvidae,gralha-da-torrésia
6683,Corvus insularis,AU,PASSERIFORMES,Corvidae,gralha-das-bismarck
6684,Corvus bennetti,AU,PASSERIFORMES,Corvidae,gralha-pequena
6685,Corvus tasmanicus,AU,PASSERIFORMES,Corvidae,corvo-da-tasmânia
6686,Corvus mellori,AU,PASSERIFORMES,Corvidae,corvo-pequeno
6687,Corvus coronoides,AU,PASSERIFORMES,Corvidae,corvo-australiano
6688,Corvus albus,AF,PASSERIFORMES,Corvidae,gralha-seminarista
6689,Corvus ruficollis,"AF, PAL",PASSERIFORMES,Corvidae,corvo-do-deserto
6690,Corvus edithae,AF,PASSERIFORMES,Corvidae,gralha-etíope
6691,Corvus corax,"NA, MA, PAL",PASSERIFORMES,Corvidae,corvo-comum
6692,Corvus cryptoleucus,"NA, MA",PASSERIFORMES,Corvidae,corvo-da-planície
6693,Corvus rhipidurus,"AF, PAL",PASSERIFORMES,Corvidae,corvo-de-cauda-curta
6694,Corvus albicollis,AF,PASSERIFORMES,Corvidae,corvo-de-nuca-branca
6695,Corvus crassirostris,AF,PASSERIFORMES,Corvidae,corvo-de-bico-grosso
6696,Corcorax melanorhamphos,AU,PASSERIFORMES,Corcoracidae,corvino-negro
6697,Struthidea cinerea,AU,PASSERIFORMES,Corcoracidae,corvino-apóstolo
6698,Melampitta lugubris,AU,PASSERIFORMES,Melampittidae,melampita-pequena
6699,Megalampitta gigantea,AU,PASSERIFORMES,Melampittidae,melampita-grande
6700,Ifrita kowaldi,AU,PASSERIFORMES,Ifritidae,ifrita-de-coroa-azul
6701,Lycocorax pyrrhopterus,AU,PASSERIFORMES,Paradisaeidae,corvo-do-paraíso-de-halmahera
6702,Lycocorax obiensis,AU,PASSERIFORMES,Paradisaeidae,corvo-do-paraíso-das-obi
6703,Manucodia ater,AU,PASSERIFORMES,Paradisaeidae,manucódio-luzidio
6704,Manucodia alter,AU,PASSERIFORMES,Paradisaeidae,manucódio-de-tagula
6705,Manucodia jobiensis,AU,PASSERIFORMES,Paradisaeidae,manucódio-de-jóbi
6706,Manucodia chalybatus,AU,PASSERIFORMES,Paradisaeidae,manucódio-engelhado
6707,Manucodia comrii,AU,PASSERIFORMES,Paradisaeidae,manucódio-encaracolado
6708,Phonygammus keraudrenii,AU,PASSERIFORMES,Paradisaeidae,manucódio-trombeteiro
6709,Paradigalla carunculata,AU,PASSERIFORMES,Paradisaeidae,paradigalo-de-cauda-comprida
6710,Paradigalla brevicauda,AU,PASSERIFORMES,Paradisaeidae,paradigalo-de-cauda-curta
6711,Astrapia nigra,AU,PASSERIFORMES,Paradisaeidae,astrápia-de-arfak
6712,Astrapia splendidissima,AU,PASSERIFORMES,Paradisaeidae,astrápia-esplêndida
6713,Astrapia mayeri,AU,PASSERIFORMES,Paradisaeidae,astrápia-de-cauda-em-fita
6714,Astrapia stephaniae,AU,PASSERIFORMES,Paradisaeidae,astrápia-princesa
6715,Astrapia rothschildi,AU,PASSERIFORMES,Paradisaeidae,astrápia-de-huon
6716,Parotia sefilata,AU,PASSERIFORMES,Paradisaeidae,parótia-de-vogelkop
6717,Parotia carolae,AU,PASSERIFORMES,Paradisaeidae,parótia-de-capacete
6718,Parotia berlepschi,AU,PASSERIFORMES,Paradisaeidae,parótia-bronzeada
6719,Parotia lawesii,AU,PASSERIFORMES,Paradisaeidae,parótia-de-cauda-curta
6720,Parotia helenae,AU,PASSERIFORMES,Paradisaeidae,parótia-oriental
6721,Parotia wahnesi,AU,PASSERIFORMES,Paradisaeidae,parótia-de-huon
6722,Pteridophora alberti,AU,PASSERIFORMES,Paradisaeidae,ave-do-paraíso-embandeirada
6723,Lophorina superba,AU,PASSERIFORMES,Paradisaeidae,loforina-soberba
6724,Lophorina niedda,AU,PASSERIFORMES,Paradisaeidae,loforina-de-vogelkop
6725,Lophorina minor,AU,PASSERIFORMES,Paradisaeidae,loforina-oriental
6726,Ptiloris paradiseus,AU,PASSERIFORMES,Paradisaeidae,ave-do-paraíso-meridional
6727,Ptiloris victoriae,AU,PASSERIFORMES,Paradisaeidae,ave-do-paraíso-da-queenslândia
6728,Ptiloris magnificus,AU,PASSERIFORMES,Paradisaeidae,ave-do-paraíso-de-garganta-metálica
6729,Ptiloris intercedens,AU,PASSERIFORMES,Paradisaeidae,ave-do-paraíso-grunhidora
6730,Epimachus fastosus,AU,PASSERIFORMES,Paradisaeidae,bico-de-foice-negro
6731,Epimachus meyeri,AU,PASSERIFORMES,Paradisaeidae,bico-de-foice-castanho
6732,Drepanornis albertisi,AU,PASSERIFORMES,Paradisaeidae,bico-de-foice-de-bico-preto
6733,Drepanornis bruijnii,AU,PASSERIFORMES,Paradisaeidae,bico-de-foice-de-bico-claro
6734,Diphyllodes magnificus,AU,PASSERIFORMES,Paradisaeidae,ave-do-paraíso-magnífica
6735,Diphyllodes respublica,AU,PASSERIFORMES,Paradisaeidae,ave-do-paraíso-republicana
6736,Cicinnurus regius,AU,PASSERIFORMES,Paradisaeidae,ave-do-paraíso-real
6737,Semioptera wallacii,AU,PASSERIFORMES,Paradisaeidae,ave-do-paraíso-de-halmahera
6738,Seleucidis melanoleucus,AU,PASSERIFORMES,Paradisaeidae,ave-do-paraíso-filamentosa
6739,Paradisaea apoda,AU,PASSERIFORMES,Paradisaeidae,ave-do-paraíso-grande
6740,Paradisaea raggiana,AU,PASSERIFORMES,Paradisaeidae,ave-do-paraíso-flamejante
6741,Paradisaea minor,AU,PASSERIFORMES,Paradisaeidae,ave-do-paraíso-pequena
6742,Paradisaea decora,AU,PASSERIFORMES,Paradisaeidae,ave-do-paraíso-de-peito-alfazema
6743,Paradisaea rubra,AU,PASSERIFORMES,Paradisaeidae,ave-do-paraíso-vermelha
6744,Paradisaea guilielmi,AU,PASSERIFORMES,Paradisaeidae,ave-do-paraíso-imperial
6745,Paradisornis rudolphi,AU,PASSERIFORMES,Paradisaeidae,ave-do-paraíso-azul
6746,Tregellasia leucops,AU,PASSERIFORMES,Petroicidae,papinho-de-faces-brancas
6747,Tregellasia capito,AU,PASSERIFORMES,Petroicidae,papinho-amarelado
6748,Quoyornis georgianus,AU,PASSERIFORMES,Petroicidae,papinho-branco
6749,Eopsaltria australis,AU,PASSERIFORMES,Petroicidae,papinho-amarelo-oriental
6750,Eopsaltria griseogularis,AU,PASSERIFORMES,Petroicidae,papinho-amarelo-ocidental
6751,Gennaeodryas placens,AU,PASSERIFORMES,Petroicidae,papinho-amarelo-cintado
6752,Melanodryas cucullata,AU,PASSERIFORMES,Petroicidae,papinho-de-capuz
6753,Melanodryas vittata,AU,PASSERIFORMES,Petroicidae,papinho-da-tasmânia
6754,Peneothello sigillata,AU,PASSERIFORMES,Petroicidae,papinho-de-asa-branca
6755,Peneothello cryptoleuca,AU,PASSERIFORMES,Petroicidae,papinho-sombrio
