,IOC,Breeding Range,Order,Family,Portuguese
187,Histrionicus histrionicus,"NA, PAL",ANSERIFORMES,Anatidae,pato-arlequim
188,Melanitta fusca,PAL,ANSERIFORMES,Anatidae,negrola-de-asa-branca-europeia
189,Melanitta stejnegeri,PAL,ANSERIFORMES,Anatidae,negrola-siberiana
190,Melanitta nigra,PAL,ANSERIFORMES,Anatidae,negrola-comum
191,Melanitta americana,"PAL, NA",ANSERIFORMES,Anatidae,negrola-americana
192,Clangula hyemalis,"NA, PAL",ANSERIFORMES,Anatidae,pato-rabilongo
193,Bucephala clangula,"NA, PAL",ANSERIFORMES,Anatidae,olho-dourado-comum
194,Bucephala islandica,"NA, PAL",ANSERIFORMES,Anatidae,olho-dourado-da-islândia
195,Mergellus albellus,PAL,ANSERIFORMES,Anatidae,merganso-pequeno
196,Mergus octosetaceus,SA,ANSERIFORMES,Anatidae,pato-mergulhão
197,Mergus merganser,"NA, PAL",ANSERIFORMES,Anatidae,merganso-grande
198,Mergus serrator,"NA, PAL",ANSERIFORMES,Anatidae,merganso-de-poupa
199,Mergus squamatus,PAL,ANSERIFORMES,Anatidae,merganso-de-flancos-escamosos
200,Heteronetta atricapilla,SA,ANSERIFORMES,Anatidae,marreca-de-cabeça-preta
201,Nomonyx dominicus,"MA, SA",ANSERIFORMES,Anatidae,marreca-caucau
202,Oxyura jamaicensis,"NA, MA",ANSERIFORMES,Anatidae,pato-rabo-alçado-americano
203,Oxyura ferruginea,SA,ANSERIFORMES,Anatidae,pato-rabo-alçado-andino
204,Oxyura vittata,SA,ANSERIFORMES,Anatidae,marreca-rabo-de-espinho
205,Oxyura australis,AU,ANSERIFORMES,Anatidae,pato-de-bico-azul
206,Oxyura maccoa,AF,ANSERIFORMES,Anatidae,pato-rabo-alçado-africano
207,Oxyura leucocephala,PAL,ANSERIFORMES,Anatidae,pato-rabo-alçado-europeu
208,Biziura lobata,AU,ANSERIFORMES,Anatidae,pato-de-papada
209,Alectura lathami,AU,GALLIFORMES,Megapodiidae,peru-do-mato-australiano
210,Aepypodius arfakianus,AU,GALLIFORMES,Megapodiidae,peru-do-mato-de-barbela
211,Aepypodius bruijnii,AU,GALLIFORMES,Megapodiidae,peru-do-mato-de-waigeo
212,Talegalla cuvieri,AU,GALLIFORMES,Megapodiidae,peru-do-mato-de-bico-vermelho
213,Talegalla fuscirostris,AU,GALLIFORMES,Megapodiidae,peru-do-mato-de-bico-preto
214,Talegalla jobiensis,AU,GALLIFORMES,Megapodiidae,peru-do-mato-de-colar
215,Leipoa ocellata,AU,GALLIFORMES,Megapodiidae,frango-do-méli
216,Macrocephalon maleo,AU,GALLIFORMES,Megapodiidae,peru-do-mato-da-celebes
217,Eulipoa wallacei,AU,GALLIFORMES,Megapodiidae,frango-do-mato-das-molucas
218,Megapodius pritchardii,PO,GALLIFORMES,Megapodiidae,frango-do-mato-de-tonga
219,Megapodius laperouse,PO,GALLIFORMES,Megapodiidae,frango-do-mato-micronésio
220,Megapodius nicobariensis,OR,GALLIFORMES,Megapodiidae,frango-do-mato-das-nicobar
221,Megapodius cumingii,"OR, AU",GALLIFORMES,Megapodiidae,frango-do-mato-filipino
222,Megapodius bernsteinii,AU,GALLIFORMES,Megapodiidae,frango-do-mato-das-sula
223,Megapodius tenimberensis,AU,GALLIFORMES,Megapodiidae,frango-do-mato-das-tanimbar
224,Megapodius freycinet,AU,GALLIFORMES,Megapodiidae,frango-do-mato-escuro
225,Megapodius geelvinkianus,AU,GALLIFORMES,Megapodiidae,frango-do-mato-das-biak
226,Megapodius eremita,AU,GALLIFORMES,Megapodiidae,frango-do-mato-melanésio
227,Megapodius layardi,AU,GALLIFORMES,Megapodiidae,frango-do-mato-de-vanuatu
228,Megapodius decollatus,AU,GALLIFORMES,Megapodiidae,frango-do-mato-da-nova-guiné
229,Megapodius reinwardt,AU,GALLIFORMES,Megapodiidae,frango-do-mato-de-pés-laranja
230,Ortalis vetula,"NA, MA",GALLIFORMES,Cracidae,aracuã-nortenho
231,Ortalis cinereiceps,"MA, SA",GALLIFORMES,Cracidae,aracuã-de-cabeça-cinzenta
232,Ortalis garrula,SA,GALLIFORMES,Cracidae,aracuã-de-asa-castanha
233,Ortalis ruficauda,SA,GALLIFORMES,Cracidae,aracuã-de-ventre-ruivo
234,Ortalis erythroptera,SA,GALLIFORMES,Cracidae,aracuã-de-cabeça-ruiva
235,Ortalis wagleri,MA,GALLIFORMES,Cracidae,aracuã-de-barriga-ruiva
236,Ortalis poliocephala,MA,GALLIFORMES,Cracidae,aracuã-de-peito-cinzento
237,Ortalis canicollis,SA,GALLIFORMES,Cracidae,aracuã-do-pantanal
238,Ortalis leucogastra,MA,GALLIFORMES,Cracidae,aracuã-de-barriga-branca
239,Ortalis guttata,SA,GALLIFORMES,Cracidae,aracuã-pintado
240,Ortalis araucuan,SA,GALLIFORMES,Cracidae,aracuã-oriental
241,Ortalis squamata,SA,GALLIFORMES,Cracidae,aracuã-escamoso
242,Ortalis columbiana,SA,GALLIFORMES,Cracidae,aracuã-colombiano
243,Ortalis motmot,SA,GALLIFORMES,Cracidae,aracuã-pequeno
244,Ortalis ruficeps,SA,GALLIFORMES,Cracidae,aracuãzinho
245,Ortalis superciliaris,SA,GALLIFORMES,Cracidae,aracuã-de-sobrancelhas
246,Penelope argyrotis,SA,GALLIFORMES,Cracidae,jacu-de-faces-brancas
247,Penelope barbata,SA,GALLIFORMES,Cracidae,jacu-barbudo
248,Penelope ortoni,SA,GALLIFORMES,Cracidae,jacu-do-chocó
249,Penelope montagnii,SA,GALLIFORMES,Cracidae,jacu-andino
250,Penelope marail,SA,GALLIFORMES,Cracidae,jacumirim
251,Penelope superciliaris,SA,GALLIFORMES,Cracidae,jacupemba
252,Penelope dabbenei,SA,GALLIFORMES,Cracidae,jacu-de-cara-vermelha
253,Penelope purpurascens,"MA, SA",GALLIFORMES,Cracidae,jacu-de-penacho
254,Penelope perspicax,SA,GALLIFORMES,Cracidae,jacu-do-cauca
255,Penelope albipennis,SA,GALLIFORMES,Cracidae,jacu-de-asa-branca
256,Penelope jacquacu,SA,GALLIFORMES,Cracidae,jacu-amazónico
257,Penelope obscura,SA,GALLIFORMES,Cracidae,jacuguaçu
258,Penelope bridgesi,SA,GALLIFORMES,Cracidae,jacu-das-iungas
