,IOC,Breeding Range,Order,Family,Ukrainian
4058,Psephotellus dissimilis,AU,PSITTACIFORMES,Psittaculidae,папужка чорноголовий
4059,Psephotellus chrysopterygius,AU,PSITTACIFORMES,Psittaculidae,папужка золотоплечий
4060,Purpureicephalus spurius,AU,PSITTACIFORMES,Psittaculidae,папужець червоноголовий
4061,Platycercus caledonicus,AU,PSITTACIFORMES,Psittaculidae,розела тасманійська
4062,Platycercus elegans,AU,PSITTACIFORMES,Psittaculidae,розела червона
4063,Platycercus venustus,AU,PSITTACIFORMES,Psittaculidae,розела золотиста
4064,Platycercus adscitus,AU,PSITTACIFORMES,Psittaculidae,розела світлоголова
4065,Platycercus eximius,AU,PSITTACIFORMES,Psittaculidae,розела білогорла
4066,Platycercus icterotis,AU,PSITTACIFORMES,Psittaculidae,розела жовтощока
4067,Barnardius zonarius,AU,PSITTACIFORMES,Psittaculidae,розела чорноголова
4068,Lathamus discolor,AU,PSITTACIFORMES,Psittaculidae,папужка червоногорлий
4069,Prosopeia splendens,PO,PSITTACIFORMES,Psittaculidae,папужець червоний
4070,Prosopeia personata,PO,PSITTACIFORMES,Psittaculidae,папужець жовтоволий
4071,Prosopeia tabuensis,PO,PSITTACIFORMES,Psittaculidae,папужець пурпуровий
4072,Eunymphicus cornutus,AU,PSITTACIFORMES,Psittaculidae,какарікі рогатий
4073,Eunymphicus uvaeensis,AU,PSITTACIFORMES,Psittaculidae,какарікі садовий
4074,Cyanoramphus saisseti,AU,PSITTACIFORMES,Psittaculidae,какарікі новокаледонський
4075,Cyanoramphus cookii,AU,PSITTACIFORMES,Psittaculidae,какарікі норфолцький
4076,Cyanoramphus forbesi,AU,PSITTACIFORMES,Psittaculidae,какарікі чатамський
4077,Cyanoramphus unicolor,AU,PSITTACIFORMES,Psittaculidae,какарікі антиподський
4078,Cyanoramphus malherbi,AU,PSITTACIFORMES,Psittaculidae,какарікі малий
4079,Cyanoramphus hochstetteri,AU,PSITTACIFORMES,Psittaculidae,какарікі золотавий
4080,Cyanoramphus auriceps,AU,PSITTACIFORMES,Psittaculidae,какарікі жовтолобий
4081,Cyanoramphus novaezelandiae,AU,PSITTACIFORMES,Psittaculidae,какарікі червонолобий
4082,Pezoporus wallicus,AU,PSITTACIFORMES,Psittaculidae,папужка болотяний
4083,Pezoporus occidentalis,AU,PSITTACIFORMES,Psittaculidae,папужка жовточеревий
4084,Neopsephotus bourkii,AU,PSITTACIFORMES,Psittaculidae,папужка рожевогрудий
4085,Neophema chrysostoma,AU,PSITTACIFORMES,Psittaculidae,папужка синьокрилий
4086,Neophema elegans,AU,PSITTACIFORMES,Psittaculidae,папужка золотавий
4087,Neophema petrophila,AU,PSITTACIFORMES,Psittaculidae,папужка скельний
4088,Neophema chrysogaster,AU,PSITTACIFORMES,Psittaculidae,папужка золотисточеревий
4089,Neophema pulchella,AU,PSITTACIFORMES,Psittaculidae,папужка лазуровий
4090,Neophema splendida,AU,PSITTACIFORMES,Psittaculidae,папужка червоноволий
4091,Oreopsittacus arfaki,AU,PSITTACIFORMES,Psittaculidae,лорі гірський
4092,Charminetta wilhelminae,AU,PSITTACIFORMES,Psittaculidae,лорікет малий
4093,Hypocharmosyna rubronotata,AU,PSITTACIFORMES,Psittaculidae,лорікет червонолобий
4094,Hypocharmosyna placentis,AU,PSITTACIFORMES,Psittaculidae,лорікет червонобокий
4095,Charmosynopsis toxopei,AU,PSITTACIFORMES,Psittaculidae,лорікет буруйський
4096,Charmosynopsis pulchella,AU,PSITTACIFORMES,Psittaculidae,лорікет вогнистий
4097,Synorhacma multistriata,AU,PSITTACIFORMES,Psittaculidae,лорікет оливковокрилий
4098,Charmosyna josefinae,AU,PSITTACIFORMES,Psittaculidae,лорікет темноголовий
4099,Charmosyna papou,AU,PSITTACIFORMES,Psittaculidae,лорікет папуанський
4100,Charmosyna stellae,AU,PSITTACIFORMES,Psittaculidae,Stella's Lorikeet
4101,Charmosynoides margarethae,AU,PSITTACIFORMES,Psittaculidae,лорікет жовтоволий
4102,Vini meeki,AU,PSITTACIFORMES,Psittaculidae,лорікет зелений
4103,Vini rubrigularis,AU,PSITTACIFORMES,Psittaculidae,лорікет новобританський
4104,Vini palmarum,AU,PSITTACIFORMES,Psittaculidae,лорікет пальмовий
4105,Vini amabilis,PO,PSITTACIFORMES,Psittaculidae,лорікет червоногорлий
4106,Vini solitaria,PO,PSITTACIFORMES,Psittaculidae,лорі-самітник
4107,Vini australis,PO,PSITTACIFORMES,Psittaculidae,лорі-віні синьоголовий
4108,Vini ultramarina,PO,PSITTACIFORMES,Psittaculidae,лорі-віні бірюзовий
4109,Vini stepheni,PO,PSITTACIFORMES,Psittaculidae,лорі-віні гендерсонський
4110,Vini kuhlii,PO,PSITTACIFORMES,Psittaculidae,лорі-віні рубіновий
4111,Vini peruviana,PO,PSITTACIFORMES,Psittaculidae,лорі-віні синьо-фіолетовий
4112,Neopsittacus musschenbroekii,AU,PSITTACIFORMES,Psittaculidae,лорі-гуа великий
4113,Neopsittacus pullicauda,AU,PSITTACIFORMES,Psittaculidae,лорі-гуа малий
4114,Lorius albidinucha,AU,PSITTACIFORMES,Psittaculidae,лорі новоірландський
4115,Lorius chlorocercus,AU,PSITTACIFORMES,Psittaculidae,лорі соломонський
4116,Lorius domicella,AU,PSITTACIFORMES,Psittaculidae,лорі серамський
4117,Lorius garrulus,AU,PSITTACIFORMES,Psittaculidae,лорі жовтоплечий
4118,Lorius hypoinochrous,AU,PSITTACIFORMES,Psittaculidae,лорі пурпуровочеревий
4119,Lorius lory,AU,PSITTACIFORMES,Psittaculidae,лорі трибарвний
4120,Psitteuteles versicolor,AU,PSITTACIFORMES,Psittaculidae,лорікет рожевоволий
4121,Parvipsitta porphyrocephala,AU,PSITTACIFORMES,Psittaculidae,лорікет-нектароїд блакитноволий
4122,Parvipsitta pusilla,AU,PSITTACIFORMES,Psittaculidae,лорікет-нектароїд малий
4123,Pseudeos fuscata,AU,PSITTACIFORMES,Psittaculidae,лорі моренговий
4124,Pseudeos cardinalis,AU,PSITTACIFORMES,Psittaculidae,лорі-кардинал
4125,Chalcopsitta duivenbodei,AU,PSITTACIFORMES,Psittaculidae,лорі бурий
4126,Chalcopsitta atra,AU,PSITTACIFORMES,Psittaculidae,лорі чорний
4127,Chalcopsitta scintillata,AU,PSITTACIFORMES,Psittaculidae,лорі зелений
4128,Glossoptilus goldiei,AU,PSITTACIFORMES,Psittaculidae,лорікет чорнодзьобий
4129,Glossopsitta concinna,AU,PSITTACIFORMES,Psittaculidae,лорікет-нектароїд червонолобий
4130,Saudareos johnstoniae,OR,PSITTACIFORMES,Psittaculidae,лорікет мінданайський
4131,Saudareos iris,AU,PSITTACIFORMES,Psittaculidae,лорікет тиморський
4132,Saudareos flavoviridis,AU,PSITTACIFORMES,Psittaculidae,лорікет жовто-зелений
4133,Saudareos meyeri,AU,PSITTACIFORMES,Psittaculidae,лорікет жовтощокий
4134,Saudareos ornata,AU,PSITTACIFORMES,Psittaculidae,лорікет сулавеський
4135,Eos reticulata,AU,PSITTACIFORMES,Psittaculidae,лорі тамінбарський
4136,Eos semilarvata,AU,PSITTACIFORMES,Psittaculidae,лорі малий
4137,Eos bornea,AU,PSITTACIFORMES,Psittaculidae,лорі червоний
4138,Eos cyanogenia,AU,PSITTACIFORMES,Psittaculidae,лорі чорнокрилий
4139,Eos histrio,AU,PSITTACIFORMES,Psittaculidae,лорі червоно-синій
4140,Eos squamata,AU,PSITTACIFORMES,Psittaculidae,лорі фіолетовошиїй
4141,Trichoglossus rubiginosus,PO,PSITTACIFORMES,Psittaculidae,лорікет вишневий
4142,Trichoglossus chlorolepidotus,AU,PSITTACIFORMES,Psittaculidae,лорікет зеленоголовий
4143,Trichoglossus haematodus,AU,PSITTACIFORMES,Psittaculidae,лорікет веселковий
4144,Trichoglossus rosenbergii,AU,PSITTACIFORMES,Psittaculidae,лорікет біяцький
4145,Trichoglossus moluccanus,AU,PSITTACIFORMES,Psittaculidae,лорікет синьоголовий
4146,Trichoglossus rubritorquis,AU,PSITTACIFORMES,Psittaculidae,лорікет червоношиїй
4147,Trichoglossus euteles,AU,PSITTACIFORMES,Psittaculidae,лорікет оливковий
4148,Trichoglossus capistratus,AU,PSITTACIFORMES,Psittaculidae,лорікет золотоволий
4149,Trichoglossus weberi,AU,PSITTACIFORMES,Psittaculidae,лорікет флореський
4150,Trichoglossus forsteni,AU,PSITTACIFORMES,Psittaculidae,лорікет червоноволий
4151,Melopsittacus undulatus,AU,PSITTACIFORMES,Psittaculidae,папужка хвилястий
4152,Psittaculirostris desmarestii,AU,PSITTACIFORMES,Psittaculidae,папужець клинохвостий
4153,Psittaculirostris edwardsii,AU,PSITTACIFORMES,Psittaculidae,папужець червоногорлий
4154,Psittaculirostris salvadorii,AU,PSITTACIFORMES,Psittaculidae,папужець гильвінський
4155,Cyclopsitta gulielmitertii,AU,PSITTACIFORMES,Psittaculidae,папужка чорнощокий
4156,Cyclopsitta nigrifrons,AU,PSITTACIFORMES,Psittaculidae,Black-fronted Fig Parrot
4157,Cyclopsitta melanogenia,AU,PSITTACIFORMES,Psittaculidae,Dusky-cheeked Fig Parrot
4158,Cyclopsitta diophthalma,AU,PSITTACIFORMES,Psittaculidae,папужка червонощокий
4159,Bolbopsittacus lunulatus,OR,PSITTACIFORMES,Psittaculidae,папужець філіпінський
4160,Loriculus vernalis,OR,PSITTACIFORMES,Psittaculidae,кориліс індійський
4161,Loriculus beryllinus,OR,PSITTACIFORMES,Psittaculidae,кориліс цейлонський
4162,Loriculus philippensis,OR,PSITTACIFORMES,Psittaculidae,кориліс філіпінський
4163,Loriculus bonapartei,OR,PSITTACIFORMES,Psittaculidae,Black-billed Hanging Parrot
4164,Loriculus camiguinensis,OR,PSITTACIFORMES,Psittaculidae,кориліс камігвінський
4165,Loriculus galgulus,OR,PSITTACIFORMES,Psittaculidae,серендак
4166,Loriculus stigmatus,AU,PSITTACIFORMES,Psittaculidae,кориліс діадемовий
4167,Loriculus amabilis,AU,PSITTACIFORMES,Psittaculidae,кориліс молуцький
4168,Loriculus sclateri,OR,PSITTACIFORMES,Psittaculidae,кориліс сулуйський
4169,Loriculus catamene,AU,PSITTACIFORMES,Psittaculidae,кориліс сангезький
4170,Loriculus aurantiifrons,AU,PSITTACIFORMES,Psittaculidae,кориліс золотолобий
4171,Loriculus tener,AU,PSITTACIFORMES,Psittaculidae,кориліс бісмарцький
4172,Loriculus exilis,AU,PSITTACIFORMES,Psittaculidae,кориліс сулавеський
4173,Loriculus pusillus,OR,PSITTACIFORMES,Psittaculidae,кориліс жовтогорлий
4174,Loriculus flosculus,AU,PSITTACIFORMES,Psittaculidae,кориліс флореський
4175,Agapornis canus,AF,PSITTACIFORMES,Psittaculidae,нерозлучник сизий
4176,Agapornis pullarius,AF,PSITTACIFORMES,Psittaculidae,нерозлучник гвінейський
4177,Agapornis taranta,AF,PSITTACIFORMES,Psittaculidae,нерозлучник чорнокрилий
4178,Agapornis swindernianus,AF,PSITTACIFORMES,Psittaculidae,нерозлучник ліберійський
4179,Agapornis roseicollis,AF,PSITTACIFORMES,Psittaculidae,нерозлучник рожевощокий
4180,Agapornis fischeri,AF,PSITTACIFORMES,Psittaculidae,нерозлучник Фішера
4181,Agapornis personatus,AF,PSITTACIFORMES,Psittaculidae,нерозлучник масковий
4182,Agapornis lilianae,AF,PSITTACIFORMES,Psittaculidae,нерозлучник червоноголовий
4183,Agapornis nigrigenis,AF,PSITTACIFORMES,Psittaculidae,нерозлучник чорнощокий
4184,Acanthisitta chloris,AU,PASSERIFORMES,Acanthisittidae,стрілець
4185,Xenicus gilviventris,AU,PASSERIFORMES,Acanthisittidae,гонець скельний
4186,Sapayoa aenigma,"MA, SA",PASSERIFORMES,Sapayoidae,сапая
4187,Philepitta schlegeli,AF,PASSERIFORMES,Philepittidae,асіті жовточеревий
4188,Philepitta castanea,AF,PASSERIFORMES,Philepittidae,асіті чорний
4189,Neodrepanis coruscans,AF,PASSERIFORMES,Philepittidae,голобров довгодзьобий
4190,Neodrepanis hypoxantha,AF,PASSERIFORMES,Philepittidae,голобров короткодзьобий
4191,Pseudocalyptomena graueri,AF,PASSERIFORMES,Eurylaimidae,грауер
4192,Psarisomus dalhousiae,OR,PASSERIFORMES,Eurylaimidae,рогодзьоб довгохвостий
4193,Corydon sumatranus,OR,PASSERIFORMES,Eurylaimidae,рогодзьоб бурий
4194,Sarcophanops samarensis,OR,PASSERIFORMES,Eurylaimidae,рогодзьоб самарійський
4195,Sarcophanops steerii,OR,PASSERIFORMES,Eurylaimidae,рогодзьоб філіпінський
4196,Serilophus rubropygius,OR,PASSERIFORMES,Eurylaimidae,Grey-lored Broadbill
4197,Serilophus lunatus,OR,PASSERIFORMES,Eurylaimidae,рогодзьоб синьокрилий
4198,Cymbirhynchus macrorhynchos,OR,PASSERIFORMES,Eurylaimidae,рогодзьоб червоночеревий
4199,Eurylaimus javanicus,OR,PASSERIFORMES,Eurylaimidae,рогодзьоб пурпуровий
4200,Eurylaimus ochromalus,OR,PASSERIFORMES,Eurylaimidae,рогодзьоб жовтоокий
4201,Smithornis sharpei,AF,PASSERIFORMES,Calyptomenidae,широкодзьоб сіроголовий
4202,Smithornis rufolateralis,AF,PASSERIFORMES,Calyptomenidae,широкодзьоб рудобокий
4203,Smithornis capensis,AF,PASSERIFORMES,Calyptomenidae,широкодзьоб чорноголовий
4204,Calyptomena viridis,OR,PASSERIFORMES,Calyptomenidae,дзьобочуб смарагдовий
4205,Calyptomena hosii,OR,PASSERIFORMES,Calyptomenidae,дзьобочуб синьочеревий
4206,Calyptomena whiteheadi,OR,PASSERIFORMES,Calyptomenidae,дзьобочуб чорногорлий
4207,Hydrornis phayrei,OR,PASSERIFORMES,Pittidae,піта вухата
4208,Hydrornis caeruleus,OR,PASSERIFORMES,Pittidae,піта велика
4209,Hydrornis oatesi,OR,PASSERIFORMES,Pittidae,піта руда
4210,Hydrornis schneideri,OR,PASSERIFORMES,Pittidae,піта рудоголова
4211,Hydrornis nipalensis,OR,PASSERIFORMES,Pittidae,піта непальська
4212,Hydrornis soror,OR,PASSERIFORMES,Pittidae,піта синьогуза
4213,Hydrornis irena,OR,PASSERIFORMES,Pittidae,піта малазійська
4214,Hydrornis guajanus,OR,PASSERIFORMES,Pittidae,піта синьохвоста
4215,Hydrornis schwaneri,OR,PASSERIFORMES,Pittidae,піта золотава
4216,Hydrornis baudii,OR,PASSERIFORMES,Pittidae,піта борнейська
4217,Hydrornis cyaneus,OR,PASSERIFORMES,Pittidae,піта синя
4218,Hydrornis gurneyi,OR,PASSERIFORMES,Pittidae,піта чорночерева
4219,Hydrornis elliotii,OR,PASSERIFORMES,Pittidae,піта зелена
4220,Erythropitta kochi,OR,PASSERIFORMES,Pittidae,піта лусонська
4221,Erythropitta erythrogaster,AU,PASSERIFORMES,Pittidae,піта червоночерева
4222,Erythropitta celebensis,AU,PASSERIFORMES,Pittidae,піта сулавеська
4223,Erythropitta dohertyi,AU,PASSERIFORMES,Pittidae,піта сулайська
4224,Erythropitta palliceps,AU,PASSERIFORMES,Pittidae,піта сіауська
4225,Erythropitta caeruleitorques,AU,PASSERIFORMES,Pittidae,піта сангізька
4226,Erythropitta rufiventris,AU,PASSERIFORMES,Pittidae,піта північномолуцька
4227,Erythropitta rubrinucha,AU,PASSERIFORMES,Pittidae,піта південномолуцька
4228,Erythropitta macklotii,AU,PASSERIFORMES,Pittidae,піта папуанська
4229,Erythropitta meeki,AU,PASSERIFORMES,Pittidae,піта луїзіадська
4230,Erythropitta novaehibernicae,AU,PASSERIFORMES,Pittidae,піта архіпелагова
4231,Erythropitta venusta,OR,PASSERIFORMES,Pittidae,піта суматранська
4232,Erythropitta granatina,OR,PASSERIFORMES,Pittidae,піта гранатова
4233,Erythropitta ussheri,OR,PASSERIFORMES,Pittidae,піта сабаганська
4234,Erythropitta arquata,OR,PASSERIFORMES,Pittidae,піта червоноголова
4235,Pitta angolensis,AF,PASSERIFORMES,Pittidae,піта ангольська
4236,Pitta reichenowi,AF,PASSERIFORMES,Pittidae,піта зеленовола
4237,Pitta brachyura,OR,PASSERIFORMES,Pittidae,піта короткохвоста
4238,Pitta moluccensis,OR,PASSERIFORMES,Pittidae,піта синьокрила
4239,Pitta megarhyncha,OR,PASSERIFORMES,Pittidae,піта мангрова
4240,Pitta sordida,"OR, AU",PASSERIFORMES,Pittidae,піта чорноголова
4241,Pitta nympha,"OR, PAL",PASSERIFORMES,Pittidae,піта китайська
4242,Pitta versicolor,AU,PASSERIFORMES,Pittidae,піта-крикун
4243,Pitta maxima,AU,PASSERIFORMES,Pittidae,піта-велетень
4244,Pitta concinna,AU,PASSERIFORMES,Pittidae,піта золотогруда
4245,Pitta elegans,AU,PASSERIFORMES,Pittidae,піта жовтоброва
4246,Pitta vigorsii,AU,PASSERIFORMES,Pittidae,піта білогорла
4247,Pitta anerythra,AU,PASSERIFORMES,Pittidae,піта чорнощока
4248,Pitta steerii,OR,PASSERIFORMES,Pittidae,піта лазурова
4249,Pitta superba,AU,PASSERIFORMES,Pittidae,піта королівська
4250,Pitta iris,AU,PASSERIFORMES,Pittidae,піта австралійська
4251,Sclerurus mexicanus,MA,PASSERIFORMES,Furnariidae,листовик рудогорлий
4252,Sclerurus obscurior,"MA, SA",PASSERIFORMES,Furnariidae,листовик бурий
4253,Sclerurus rufigularis,SA,PASSERIFORMES,Furnariidae,листовик короткодзьобий
4254,Sclerurus guatemalensis,"MA, SA",PASSERIFORMES,Furnariidae,листовик гватемальський
4255,Sclerurus caudacutus,SA,PASSERIFORMES,Furnariidae,листовик білогорлий
4256,Sclerurus albigularis,"MA, SA",PASSERIFORMES,Furnariidae,листовик сірогорлий
4257,Sclerurus scansor,SA,PASSERIFORMES,Furnariidae,листовик бразильський
4258,Geositta peruviana,SA,PASSERIFORMES,Furnariidae,землекоп береговий
4259,Geositta tenuirostris,SA,PASSERIFORMES,Furnariidae,землекоп тонкодзьобий
4260,Geositta cunicularia,SA,PASSERIFORMES,Furnariidae,землекоп світлочеревий
4261,Geositta punensis,SA,PASSERIFORMES,Furnariidae,землекоп андійський
4262,Geositta poeciloptera,SA,PASSERIFORMES,Furnariidae,землекоп бразильський
4263,Geositta crassirostris,SA,PASSERIFORMES,Furnariidae,землекоп товстодзьобий
4264,Geositta rufipennis,SA,PASSERIFORMES,Furnariidae,землекоп рудохвостий
4265,Geositta maritima,SA,PASSERIFORMES,Furnariidae,землекоп сірий
4266,Geositta antarctica,SA,PASSERIFORMES,Furnariidae,землекоп короткодзьобий
4267,Geositta saxicolina,SA,PASSERIFORMES,Furnariidae,землекоп темнокрилий
4268,Geositta isabellina,SA,PASSERIFORMES,Furnariidae,землекоп блідий
4269,Certhiasomus stictolaemus,SA,PASSERIFORMES,Furnariidae,дереволаз-довгохвіст малий
4270,Sittasomus griseicapillus,"MA, SA",PASSERIFORMES,Furnariidae,дереволаз оливковий
4271,Deconychura typica,"MA, SA",PASSERIFORMES,Furnariidae,Little Long-tailed Woodcreeper
4272,Deconychura longicauda,SA,PASSERIFORMES,Furnariidae,дереволаз-довгохвіст великий
4273,Deconychura pallida,SA,PASSERIFORMES,Furnariidae,Southern Long-tailed Woodcreeper
4274,Dendrocincla tyrannina,SA,PASSERIFORMES,Furnariidae,грімпар великий
4275,Dendrocincla merula,SA,PASSERIFORMES,Furnariidae,грімпар білогорлий
4276,Dendrocincla homochroa,"MA, SA",PASSERIFORMES,Furnariidae,грімпар рудий
4277,Dendrocincla anabatina,MA,PASSERIFORMES,Furnariidae,грімпар рудокрилий
4278,Dendrocincla fuliginosa,"MA, SA",PASSERIFORMES,Furnariidae,грімпар сірощокий
4279,Dendrocincla turdina,SA,PASSERIFORMES,Furnariidae,грімпар бурий
4280,Glyphorynchus spirurus,"MA, SA",PASSERIFORMES,Furnariidae,дереволаз-долотодзьоб
4281,Dendrexetastes rufigula,SA,PASSERIFORMES,Furnariidae,дереволаз світлодзьобий
4282,Nasica longirostris,SA,PASSERIFORMES,Furnariidae,дереволаз білогорлий
4283,Dendrocolaptes sanctithomae,"MA, SA",PASSERIFORMES,Furnariidae,дереволаз північний
4284,Dendrocolaptes certhia,SA,PASSERIFORMES,Furnariidae,дереволаз підкоришниковий
4285,Dendrocolaptes picumnus,"MA, SA",PASSERIFORMES,Furnariidae,дереволаз строкатощокий
4286,Dendrocolaptes hoffmannsi,SA,PASSERIFORMES,Furnariidae,дереволаз чорнодзьобий
4287,Dendrocolaptes platyrostris,SA,PASSERIFORMES,Furnariidae,дереволаз плоскодзьобий
4288,Hylexetastes stresemanni,SA,PASSERIFORMES,Furnariidae,дереволаз-червонодзьоб смугасточеревий
4289,Hylexetastes perrotii,SA,PASSERIFORMES,Furnariidae,дереволаз-червонодзьоб східний
4290,Hylexetastes uniformis,SA,PASSERIFORMES,Furnariidae,дереволаз-червонодзьоб бразильський
4291,Xiphocolaptes promeropirhynchus,"MA, SA",PASSERIFORMES,Furnariidae,дереволаз-міцнодзьоб середній
4292,Xiphocolaptes falcirostris,SA,PASSERIFORMES,Furnariidae,дереволаз-міцнодзьоб біловусий
4293,Xiphocolaptes albicollis,SA,PASSERIFORMES,Furnariidae,дереволаз-міцнодзьоб бурий
4294,Xiphocolaptes major,SA,PASSERIFORMES,Furnariidae,дереволаз-міцнодзьоб великий
4295,Xiphorhynchus obsoletus,SA,PASSERIFORMES,Furnariidae,кокоа смугастошиїй
4296,Xiphorhynchus fuscus,SA,PASSERIFORMES,Furnariidae,кокоа малий
4297,Xiphorhynchus atlanticus,SA,PASSERIFORMES,Furnariidae,кокоа сеарський
4298,Xiphorhynchus pardalotus,SA,PASSERIFORMES,Furnariidae,кокоа леопардовий
4299,Xiphorhynchus ocellatus,SA,PASSERIFORMES,Furnariidae,кокоа колумбійський
4300,Xiphorhynchus elegans,SA,PASSERIFORMES,Furnariidae,кокоа західний
4301,Xiphorhynchus spixii,SA,PASSERIFORMES,Furnariidae,кокоа амазонійський
4302,Xiphorhynchus guttatus,SA,PASSERIFORMES,Furnariidae,кокоа жовтогорлий
4303,Xiphorhynchus susurrans,"MA, SA",PASSERIFORMES,Furnariidae,кокоа північний
4304,Xiphorhynchus flavigaster,MA,PASSERIFORMES,Furnariidae,кокоа мексиканський
4305,Xiphorhynchus lachrymosus,"MA, SA",PASSERIFORMES,Furnariidae,кокоа строкатоплечий
4306,Xiphorhynchus erythropygius,"MA, SA",PASSERIFORMES,Furnariidae,кокоа плямистий
4307,Xiphorhynchus triangularis,SA,PASSERIFORMES,Furnariidae,кокоа андійський
4308,Dendroplex picus,"MA, SA",PASSERIFORMES,Furnariidae,кокоа світлодзьобий
4309,Dendroplex kienerii,SA,PASSERIFORMES,Furnariidae,кокоа каштановий
4310,Campylorhamphus trochilirostris,"MA, SA",PASSERIFORMES,Furnariidae,дереволаз-серподзьоб середній
4311,Campylorhamphus falcularius,SA,PASSERIFORMES,Furnariidae,дереволаз-серподзьоб темнолобий
4312,Campylorhamphus procurvoides,SA,PASSERIFORMES,Furnariidae,дереволаз-серподзьоб амазонійський
4313,Campylorhamphus probatus,SA,PASSERIFORMES,Furnariidae,Tapajos Scythebill
4314,Campylorhamphus multostriatus,SA,PASSERIFORMES,Furnariidae,Xingu Scythebill
4315,Campylorhamphus pusillus,"MA, SA",PASSERIFORMES,Furnariidae,дереволаз-серподзьоб малий
4316,Drymotoxeres pucheranii,SA,PASSERIFORMES,Furnariidae,дереволаз-серподзьоб великий
4317,Drymornis bridgesii,SA,PASSERIFORMES,Furnariidae,дереволаз-шабледзьоб
4318,Lepidocolaptes leucogaster,MA,PASSERIFORMES,Furnariidae,дереволаз білосмугий
4319,Lepidocolaptes souleyetii,"MA, SA",PASSERIFORMES,Furnariidae,дереволаз строкатоголовий
4320,Lepidocolaptes angustirostris,SA,PASSERIFORMES,Furnariidae,дереволаз вузькодзьобий
4321,Lepidocolaptes affinis,MA,PASSERIFORMES,Furnariidae,дереволаз плямистолобий
4322,Lepidocolaptes lacrymiger,SA,PASSERIFORMES,Furnariidae,дереволаз гірський
4323,Lepidocolaptes squamatus,SA,PASSERIFORMES,Furnariidae,дереволаз білогрудий
4324,Lepidocolaptes falcinellus,SA,PASSERIFORMES,Furnariidae,дереволаз південний
4325,Lepidocolaptes albolineatus,SA,PASSERIFORMES,Furnariidae,дереволаз амазонійський
4326,Lepidocolaptes duidae,SA,PASSERIFORMES,Furnariidae,дереволаз дуїданський
4327,Lepidocolaptes fatimalimae,SA,PASSERIFORMES,Furnariidae,дереволаз інамбарійський
4328,Lepidocolaptes fuscicapillus,SA,PASSERIFORMES,Furnariidae,дереволаз смугастий
4329,Xenops tenuirostris,SA,PASSERIFORMES,Furnariidae,піколезна тонкодзьоба
4330,Xenops genibarbis,"MA, SA",PASSERIFORMES,Furnariidae,Plain Xenops
4331,Xenops minutus,SA,PASSERIFORMES,Furnariidae,піколезна мала
4332,Xenops rutilans,"MA, SA",PASSERIFORMES,Furnariidae,піколезна руда
4333,Berlepschia rikeri,SA,PASSERIFORMES,Furnariidae,пальмолаз
4334,Microxenops milleri,SA,PASSERIFORMES,Furnariidae,піколезна рудохвоста
4335,Pygarrhichas albogularis,SA,PASSERIFORMES,Furnariidae,амурадо
4336,Ochetorhynchus ruficaudus,SA,PASSERIFORMES,Furnariidae,землелаз рудохвостий
4337,Ochetorhynchus andaecola,SA,PASSERIFORMES,Furnariidae,землелаз скельний
4338,Ochetorhynchus phoenicurus,SA,PASSERIFORMES,Furnariidae,анумбі темнохвостий
4339,Ochetorhynchus melanurus,SA,PASSERIFORMES,Furnariidae,тококо
4340,Pseudocolaptes lawrencii,MA,PASSERIFORMES,Furnariidae,ковальчик панамський
4341,Pseudocolaptes johnsoni,SA,PASSERIFORMES,Furnariidae,ковальчик перлистоволий
4342,Pseudocolaptes boissonneautii,SA,PASSERIFORMES,Furnariidae,ковальчик андійський
4343,Premnornis guttuliger,SA,PASSERIFORMES,Furnariidae,гострохвіст золотавий
4344,Tarphonomus harterti,SA,PASSERIFORMES,Furnariidae,землелаз болівійський
4345,Tarphonomus certhioides,SA,PASSERIFORMES,Furnariidae,землелаз аргентинський
4346,Furnarius figulus,SA,PASSERIFORMES,Furnariidae,горнеро бразильський
4347,Furnarius leucopus,SA,PASSERIFORMES,Furnariidae,горнеро світлоногий
4348,Furnarius cinnamomeus,SA,PASSERIFORMES,Furnariidae,горнеро рудокрилий
4349,Furnarius longirostris,SA,PASSERIFORMES,Furnariidae,горнеро карибський
4350,Furnarius torridus,SA,PASSERIFORMES,Furnariidae,горнеро річковий
4351,Furnarius minor,SA,PASSERIFORMES,Furnariidae,горнеро малий
4352,Furnarius rufus,SA,PASSERIFORMES,Furnariidae,горнеро рудий
4353,Furnarius cristatus,SA,PASSERIFORMES,Furnariidae,горнеро чубатий
4354,Lochmias nematura,SA,PASSERIFORMES,Furnariidae,потічник
4355,Phleocryptes melanops,SA,PASSERIFORMES,Furnariidae,ротакоа
4356,Limnornis curvirostris,SA,PASSERIFORMES,Furnariidae,очеретник криводзьобий
4357,Geocerthia serrana,SA,PASSERIFORMES,Furnariidae,землелаз смугастий
4358,Upucerthia dumetaria,SA,PASSERIFORMES,Furnariidae,землелаз довгодзьобий
4359,Upucerthia saturatior,SA,PASSERIFORMES,Furnariidae,землелаз патагонський
4360,Upucerthia albigula,SA,PASSERIFORMES,Furnariidae,землелаз білогорлий
4361,Upucerthia validirostris,SA,PASSERIFORMES,Furnariidae,землелаз світлочеревий
4362,Cinclodes pabsti,SA,PASSERIFORMES,Furnariidae,трясохвіст довгохвостий
4363,Cinclodes antarcticus,SA,PASSERIFORMES,Furnariidae,трясохвіст острівний
