,IOC,Breeding Range,Order,Family,Ukrainian
10189,Nemosia rourei,SA,PASSERIFORMES,Thraupidae,танагрець рубінововолий
10190,Cyanicterus cyanicterus,SA,PASSERIFORMES,Thraupidae,танагра ультрамаринова
10191,Sericossypha albocristata,SA,PASSERIFORMES,Thraupidae,тангар білоголовий
10192,Compsothraupis loricata,SA,PASSERIFORMES,Thraupidae,тангар червоногорлий
10193,Coryphaspiza melanotis,SA,PASSERIFORMES,Thraupidae,вівсянчик чорнощокий
10194,Embernagra platensis,SA,PASSERIFORMES,Thraupidae,пампасник великий
10195,Embernagra longicauda,SA,PASSERIFORMES,Thraupidae,пампасник світлоголовий
10196,Emberizoides ypiranganus,SA,PASSERIFORMES,Thraupidae,трав’янець малий
10197,Emberizoides herbicola,"MA, SA",PASSERIFORMES,Thraupidae,трав’янець гострохвостий
10198,Emberizoides duidae,SA,PASSERIFORMES,Thraupidae,трав’янець великий
10199,Incaspiza pulchra,SA,PASSERIFORMES,Thraupidae,інкавець великий
10200,Incaspiza personata,SA,PASSERIFORMES,Thraupidae,інкавець масковий
10201,Incaspiza ortizi,SA,PASSERIFORMES,Thraupidae,інкавець сірокрилий
10202,Incaspiza laeta,SA,PASSERIFORMES,Thraupidae,інкавець вусатий
10203,Incaspiza watkinsi,SA,PASSERIFORMES,Thraupidae,інкавець малий
10204,Rhopospina fruticeti,SA,PASSERIFORMES,Thraupidae,вівсянчик великий
10205,Rhopospina caerulescens,SA,PASSERIFORMES,Thraupidae,вівсянчик синій
10206,Rhopospina alaudina,SA,PASSERIFORMES,Thraupidae,вівсянчик смугохвостий
10207,Rhopospina carbonaria,SA,PASSERIFORMES,Thraupidae,вівсянчик аргентинський
10208,Chlorophanes spiza,"MA, SA",PASSERIFORMES,Thraupidae,саї великий
10209,Iridophanes pulcherrimus,SA,PASSERIFORMES,Thraupidae,саї малий
10210,Chrysothlypis salmoni,SA,PASSERIFORMES,Thraupidae,танагрик колумбійський
10211,Chrysothlypis chrysomelas,MA,PASSERIFORMES,Thraupidae,танагрик жовтоголовий
10212,Heterospingus rubrifrons,MA,PASSERIFORMES,Thraupidae,танагра-інка панамська
10213,Heterospingus xanthopygius,"MA, SA",PASSERIFORMES,Thraupidae,танагра-інка червоноброва
10214,Hemithraupis flavicollis,"MA, SA",PASSERIFORMES,Thraupidae,танагрик жовтогорлий
10215,Hemithraupis guira,SA,PASSERIFORMES,Thraupidae,танагрик чорнощокий
10216,Hemithraupis ruficapilla,SA,PASSERIFORMES,Thraupidae,танагрик рудоголовий
10217,Tersina viridis,"MA, SA",PASSERIFORMES,Thraupidae,терзина
10218,Cyanerpes caeruleus,"MA, SA",PASSERIFORMES,Thraupidae,танагра-медоїд пурпурова
10219,Cyanerpes cyaneus,"MA, SA",PASSERIFORMES,Thraupidae,танагра-медоїд бірюзова
10220,Cyanerpes nitidus,SA,PASSERIFORMES,Thraupidae,танагра-медоїд короткодзьоба
10221,Cyanerpes lucidus,"MA, SA",PASSERIFORMES,Thraupidae,танагра-медоїд лазурова
10222,Dacnis berlepschi,SA,PASSERIFORMES,Thraupidae,цукрист червоногрудий
10223,Dacnis venusta,"MA, SA",PASSERIFORMES,Thraupidae,цукрист синьощокий
10224,Dacnis cayana,"MA, SA",PASSERIFORMES,Thraupidae,цукрист блакитний
10225,Dacnis flaviventer,SA,PASSERIFORMES,Thraupidae,цукрист жовточеревий
10226,Dacnis hartlaubi,SA,PASSERIFORMES,Thraupidae,цукрист бірюзовий
10227,Dacnis lineata,SA,PASSERIFORMES,Thraupidae,цукрист масковий
10228,Dacnis egregia,SA,PASSERIFORMES,Thraupidae,цукрист жовтоплечий
10229,Dacnis viguieri,"MA, SA",PASSERIFORMES,Thraupidae,цукрист панамський
10230,Dacnis nigripes,SA,PASSERIFORMES,Thraupidae,цукрист бразильський
10231,Dacnis albiventris,SA,PASSERIFORMES,Thraupidae,цукрист білочеревий
10232,Saltatricula multicolor,SA,PASSERIFORMES,Thraupidae,чако
10233,Saltatricula atricollis,SA,PASSERIFORMES,Thraupidae,зернолуск чорногорлий
10234,Saltator orenocensis,SA,PASSERIFORMES,Thraupidae,зернолуск рудобокий
10235,Saltator similis,SA,PASSERIFORMES,Thraupidae,зернолуск зеленокрилий
10236,Saltator grandis,MA,PASSERIFORMES,Thraupidae,зернолуск бурогузий
10237,Saltator olivascens,SA,PASSERIFORMES,Thraupidae,зернолуск оливковий
10238,Saltator coerulescens,SA,PASSERIFORMES,Thraupidae,зернолуск сірий
10239,Saltator striatipectus,"MA, SA",PASSERIFORMES,Thraupidae,зернолуск смугастоволий
10240,Saltator maximus,"MA, SA",PASSERIFORMES,Thraupidae,зернолуск великий
10241,Saltator atripennis,SA,PASSERIFORMES,Thraupidae,зернолуск чорнокрилий
10242,Saltator atriceps,MA,PASSERIFORMES,Thraupidae,зернолуск чорноголовий
10243,Saltator nigriceps,SA,PASSERIFORMES,Thraupidae,зернолуск еквадорський
10244,Saltator fuliginosus,SA,PASSERIFORMES,Thraupidae,зернолуск бразильський
10245,Saltator grossus,"MA, SA",PASSERIFORMES,Thraupidae,зернолуск білогорлий
10246,Saltator cinctus,SA,PASSERIFORMES,Thraupidae,зернолуск масковий
10247,Saltator maxillosus,SA,PASSERIFORMES,Thraupidae,зернолуск товстодзьобий
10248,Saltator aurantiirostris,SA,PASSERIFORMES,Thraupidae,зернолуск золотодзьобий
10249,Coereba flaveola,"MA, SA",PASSERIFORMES,Thraupidae,цереба
10250,Tiaris olivaceus,"NA, MA, SA",PASSERIFORMES,Thraupidae,потрост золотогорлий
10251,Melanospiza bicolor,"NA, SA",PASSERIFORMES,Thraupidae,потрост чорноволий
10252,Asemospiza fuliginosa,SA,PASSERIFORMES,Thraupidae,потрост чорний
10253,Asemospiza obscura,SA,PASSERIFORMES,Thraupidae,потрост бурий
10254,Certhidea olivacea,SA,PASSERIFORMES,Thraupidae,комашниця вохриста
10255,Certhidea fusca,SA,PASSERIFORMES,Thraupidae,комашниця сіра
10256,Platyspiza crassirostris,SA,PASSERIFORMES,Thraupidae,пінкис товстодзьобий
10257,Pinaroloxias inornata,MA,PASSERIFORMES,Thraupidae,кокосовик
10258,Camarhynchus heliobates,SA,PASSERIFORMES,Thraupidae,пінкис мангровий
10259,Camarhynchus pauper,SA,PASSERIFORMES,Thraupidae,пінкис великий
