,IOC,Breeding Range,Order,Family,Slovak
150,Anas poecilorhyncha,OR,ANSERIFORMES,Anatidae,kačica pestrozobá
151,Anas zonorhyncha,OR,ANSERIFORMES,Anatidae,kačica čínska
152,Anas platyrhynchos,"NA, PAL",ANSERIFORMES,Anatidae,kačica divá
153,Anas diazi,"NA, MA",ANSERIFORMES,Anatidae,kačica mexická
154,Anas capensis,AF,ANSERIFORMES,Anatidae,kačica ružovozobá
155,Anas bahamensis,"SA, NA",ANSERIFORMES,Anatidae,kačica bielolíca
156,Anas erythrorhyncha,AF,ANSERIFORMES,Anatidae,kačica červenozobá
157,Anas georgica,SA,ANSERIFORMES,Anatidae,kačica jazerná
158,Anas eatoni,IO,ANSERIFORMES,Anatidae,kačica kerguelenská
159,Anas acuta,"NA, PAL",ANSERIFORMES,Anatidae,kačica ostrochvostá
160,Anas crecca,"PAL, NA",ANSERIFORMES,Anatidae,kačica chrapka
161,Anas flavirostris,SA,ANSERIFORMES,Anatidae,kačica žltozobá
162,Anas andium,SA,ANSERIFORMES,Anatidae,kačica andská
163,Anas gibberifrons,OR,ANSERIFORMES,Anatidae,kačica hrbočelá
164,Anas albogularis,OR,ANSERIFORMES,Anatidae,kačica bielohrdlá
165,Anas gracilis,AU,ANSERIFORMES,Anatidae,kačica svetlobradá
166,Anas castanea,AU,ANSERIFORMES,Anatidae,kačica gaštanová
167,Anas bernieri,AF,ANSERIFORMES,Anatidae,kačica červenonohá
168,Anas chlorotis,AU,ANSERIFORMES,Anatidae,kačica hnedá
169,Anas aucklandica,AU,ANSERIFORMES,Anatidae,kačica nelietavá
170,Anas nesiotis,AU,ANSERIFORMES,Anatidae,kačica ostrovná
171,Marmaronetta angustirostris,PAL,ANSERIFORMES,Anatidae,kačka úzkozobá
172,Netta rufina,PAL,ANSERIFORMES,Anatidae,hrdzavka potápavá
173,Netta peposaca,SA,ANSERIFORMES,Anatidae,hrdzavka peposaka
174,Netta erythrophthalma,"AF, SA",ANSERIFORMES,Anatidae,hrdzavka červenooká
175,Aythya ferina,PAL,ANSERIFORMES,Anatidae,chochlačka sivá
176,Aythya australis,AU,ANSERIFORMES,Anatidae,chochlačka hnedastá
177,Aythya innotata,AF,ANSERIFORMES,Anatidae,chochlačka madagaskarská
178,Aythya baeri,PAL,ANSERIFORMES,Anatidae,chochlačka gaštanová
179,Aythya nyroca,PAL,ANSERIFORMES,Anatidae,chochlačka bielooká
180,Aythya novaeseelandiae,AU,ANSERIFORMES,Anatidae,chochlačka tmavá
181,Aythya fuligula,PAL,ANSERIFORMES,Anatidae,chochlačka vrkočatá
182,Aythya marila,"NA, PAL",ANSERIFORMES,Anatidae,chochlačka morská
183,Polysticta stelleri,"NA, PAL",ANSERIFORMES,Anatidae,kajka malá
184,Somateria fischeri,"NA, PAL",ANSERIFORMES,Anatidae,kajka okuliarnatá
185,Somateria spectabilis,"NA, PAL",ANSERIFORMES,Anatidae,kajka hrbozobá
186,Somateria mollissima,"NA, PAL",ANSERIFORMES,Anatidae,kajka morská
187,Histrionicus histrionicus,"NA, PAL",ANSERIFORMES,Anatidae,kamenárka strakatá
188,Melanitta fusca,PAL,ANSERIFORMES,Anatidae,turpan tmavý
189,Melanitta stejnegeri,PAL,ANSERIFORMES,Anatidae,turpan bielokrídly
190,Melanitta nigra,PAL,ANSERIFORMES,Anatidae,turpan čierny
191,Melanitta americana,"PAL, NA",ANSERIFORMES,Anatidae,turpan americký
192,Clangula hyemalis,"NA, PAL",ANSERIFORMES,Anatidae,ľadovka dlhochvostá
193,Bucephala clangula,"NA, PAL",ANSERIFORMES,Anatidae,hlaholka severská
194,Bucephala islandica,"NA, PAL",ANSERIFORMES,Anatidae,hlaholka veľká
195,Mergellus albellus,PAL,ANSERIFORMES,Anatidae,potápač malý
196,Mergus octosetaceus,SA,ANSERIFORMES,Anatidae,potápač tmavý
197,Mergus merganser,"NA, PAL",ANSERIFORMES,Anatidae,potápač veľký
198,Mergus serrator,"NA, PAL",ANSERIFORMES,Anatidae,potápač prostredný
199,Mergus squamatus,PAL,ANSERIFORMES,Anatidae,potápač šupinatý
200,Heteronetta atricapilla,SA,ANSERIFORMES,Anatidae,zanášavka čiernohlavá
201,Nomonyx dominicus,"MA, SA",ANSERIFORMES,Anatidae,potápnica malá
202,Oxyura jamaicensis,"NA, MA",ANSERIFORMES,Anatidae,potápnica bielolíca
203,Oxyura ferruginea,SA,ANSERIFORMES,Anatidae,potápnica hrdzavá
204,Oxyura vittata,SA,ANSERIFORMES,Anatidae,potápnica argentínska
205,Oxyura australis,AU,ANSERIFORMES,Anatidae,potápnica tmavá
206,Oxyura maccoa,AF,ANSERIFORMES,Anatidae,potápnica čiernohlavá
207,Oxyura leucocephala,PAL,ANSERIFORMES,Anatidae,potápnica bielohlavá
208,Biziura lobata,AU,ANSERIFORMES,Anatidae,laločnica potápavá
209,Alectura lathami,AU,GALLIFORMES,Megapodiidae,tabon morkovitý
210,Aepypodius arfakianus,AU,GALLIFORMES,Megapodiidae,tabon horský
211,Aepypodius bruijnii,AU,GALLIFORMES,Megapodiidae,tabon hnedoprsý
212,Talegalla cuvieri,AU,GALLIFORMES,Megapodiidae,tabon červenozobý
213,Talegalla fuscirostris,AU,GALLIFORMES,Megapodiidae,tabon čiernozobý
214,Talegalla jobiensis,AU,GALLIFORMES,Megapodiidae,tabon goliernatý
215,Leipoa ocellata,AU,GALLIFORMES,Megapodiidae,tabon okavý
216,Macrocephalon maleo,AU,GALLIFORMES,Megapodiidae,tabon prilbatý
217,Eulipoa wallacei,AU,GALLIFORMES,Megapodiidae,tabon džungľový
218,Megapodius pritchardii,PO,GALLIFORMES,Megapodiidae,tabon cisársky
219,Megapodius laperouse,PO,GALLIFORMES,Megapodiidae,tabon kurí
220,Megapodius nicobariensis,OR,GALLIFORMES,Megapodiidae,tabon nikobarský
221,Megapodius cumingii,"OR, AU",GALLIFORMES,Megapodiidae,tabon červenolíci
222,Megapodius bernsteinii,AU,GALLIFORMES,Megapodiidae,tabon bronzový
223,Megapodius tenimberensis,AU,GALLIFORMES,Megapodiidae,tabon tanimbarský
224,Megapodius freycinet,AU,GALLIFORMES,Megapodiidae,tabon tmavý
225,Megapodius geelvinkianus,AU,GALLIFORMES,Megapodiidae,tabon zálivový
226,Megapodius eremita,AU,GALLIFORMES,Megapodiidae,tabon melanézsky
227,Megapodius layardi,AU,GALLIFORMES,Megapodiidae,tabon žltonohý
228,Megapodius decollatus,AU,GALLIFORMES,Megapodiidae,tabon popolavý
229,Megapodius reinwardt,AU,GALLIFORMES,Megapodiidae,tabon hnedý
230,Ortalis vetula,"NA, MA",GALLIFORMES,Cracidae,čačalaka plodožravá
231,Ortalis cinereiceps,"MA, SA",GALLIFORMES,Cracidae,čačalaka sivohlavá
232,Ortalis garrula,SA,GALLIFORMES,Cracidae,čačalaka hnedokrídla
233,Ortalis ruficauda,SA,GALLIFORMES,Cracidae,čačalaka družná
234,Ortalis erythroptera,SA,GALLIFORMES,Cracidae,čačalaka ekvádorská
235,Ortalis wagleri,MA,GALLIFORMES,Cracidae,čačalaka mexická
236,Ortalis poliocephala,MA,GALLIFORMES,Cracidae,čačalaka plavá
237,Ortalis canicollis,SA,GALLIFORMES,Cracidae,čačalaka sivokrká
238,Ortalis leucogastra,MA,GALLIFORMES,Cracidae,čačalaka bielobruchá
