,IOC,Breeding Range,Order,Family,Slovak
6634,Dendrocitta frontalis,OR,PASSERIFORMES,Corvidae,strakaňa masková
6635,Dendrocitta bayleii,OR,PASSERIFORMES,Corvidae,strakaňa andamanská
6636,Crypsirina temia,OR,PASSERIFORMES,Corvidae,strakaňa čierna
6637,Crypsirina cucullata,OR,PASSERIFORMES,Corvidae,strakaňa kapucňová
6638,Temnurus temnurus,OR,PASSERIFORMES,Corvidae,strakaňa bambusová
6639,Pica pica,PAL,PASSERIFORMES,Corvidae,straka obyčajná
6640,Pica mauritanica,AF,PASSERIFORMES,Corvidae,straka saharská
6641,Pica asirensis,PAL,PASSERIFORMES,Corvidae,straka arabská
6642,Pica bottanensis,OR,PASSERIFORMES,Corvidae,straka himalájska
6643,Pica serica,OR,PASSERIFORMES,Corvidae,straka čínska
6644,Zavattariornis stresemanni,AF,PASSERIFORMES,Corvidae,vranka savanová
6645,Podoces hendersoni,PAL,PASSERIFORMES,Corvidae,džidžitka modrokrídla
6646,Podoces biddulphi,PAL,PASSERIFORMES,Corvidae,džidžitka bielochvostá
6647,Podoces panderi,PAL,PASSERIFORMES,Corvidae,džidžitka sivochrbtá
6648,Podoces pleskei,PAL,PASSERIFORMES,Corvidae,džidžitka iránska
6649,Nucifraga caryocatactes,PAL,PASSERIFORMES,Corvidae,orešnica perlavá
6650,Nucifraga multipunctata,PAL,PASSERIFORMES,Corvidae,orešnica kašmírska
6651,Pyrrhocorax pyrrhocorax,PAL,PASSERIFORMES,Corvidae,čavka červenozobá
6652,Pyrrhocorax graculus,PAL,PASSERIFORMES,Corvidae,čavka žltozobá
6653,Ptilostomus afer,AF,PASSERIFORMES,Corvidae,piapia dobytčia
6654,Coloeus monedula,PAL,PASSERIFORMES,Corvidae,kavka tmavá
6655,Coloeus dauuricus,PAL,PASSERIFORMES,Corvidae,kavka strakatá
6656,Corvus splendens,OR,PASSERIFORMES,Corvidae,vrana lesklá
6657,Corvus moneduloides,AU,PASSERIFORMES,Corvidae,vrana dôvtipná
6658,Corvus typicus,AU,PASSERIFORMES,Corvidae,vrana celebeská
6659,Corvus unicolor,AU,PASSERIFORMES,Corvidae,vrana jednofarebná
6660,Corvus enca,"OR, AU",PASSERIFORMES,Corvidae,vrana enka
6661,Corvus samarensis,OR,PASSERIFORMES,Corvidae,vrana fialová
6662,Corvus pusillus,OR,PASSERIFORMES,Corvidae,vrana palawanská
6663,Corvus violaceus,AU,PASSERIFORMES,Corvidae,vrana molucká
6664,Corvus florensis,AU,PASSERIFORMES,Corvidae,vrana floreská
6665,Corvus kubaryi,PO,PASSERIFORMES,Corvidae,vrana mariánska
6666,Corvus validus,AU,PASSERIFORMES,Corvidae,vrana dlhozobá
6667,Corvus woodfordi,AU,PASSERIFORMES,Corvidae,vrana bielozobá
6668,Corvus meeki,AU,PASSERIFORMES,Corvidae,vrana blyšťavá
6669,Corvus fuscicapillus,AU,PASSERIFORMES,Corvidae,vrana hnedohlavá
6670,Corvus tristis,AU,PASSERIFORMES,Corvidae,vrana sivá
6671,Corvus capensis,AF,PASSERIFORMES,Corvidae,vrana štíhlozobá
6672,Corvus frugilegus,PAL,PASSERIFORMES,Corvidae,havran čierny
6673,Corvus imparatus,"NA, MA",PASSERIFORMES,Corvidae,vrana mexická
6674,Corvus sinaloae,MA,PASSERIFORMES,Corvidae,vrana hájová
6675,Corvus hawaiiensis,PO,PASSERIFORMES,Corvidae,vrana havajská
6676,Corvus corone,PAL,PASSERIFORMES,Corvidae,vrana čierna
6677,Corvus cornix,PAL,PASSERIFORMES,Corvidae,vrana popolavá
6678,Corvus torquatus,"PAL, OR",PASSERIFORMES,Corvidae,vrana obojková
6679,Corvus macrorhynchos,"PAL, OR",PASSERIFORMES,Corvidae,vrana hrubozobá
6680,Corvus levaillantii,OR,PASSERIFORMES,Corvidae,vrana veľkozobá
6681,Corvus culminatus,OR,PASSERIFORMES,Corvidae,vrana indická
6682,Corvus orru,AU,PASSERIFORMES,Corvidae,vrana orru
6683,Corvus insularis,AU,PASSERIFORMES,Corvidae,vrana ostrovná
6684,Corvus bennetti,AU,PASSERIFORMES,Corvidae,vrana Bennettova
6685,Corvus tasmanicus,AU,PASSERIFORMES,Corvidae,krkavec lesný
6686,Corvus mellori,AU,PASSERIFORMES,Corvidae,krkavec družný
6687,Corvus coronoides,AU,PASSERIFORMES,Corvidae,krkavec pasienkový
6688,Corvus albus,AF,PASSERIFORMES,Corvidae,vrana štítnatá
6689,Corvus ruficollis,"AF, PAL",PASSERIFORMES,Corvidae,krkavec púštny
6690,Corvus edithae,AF,PASSERIFORMES,Corvidae,krkavec somálsky
6691,Corvus corax,"NA, MA, PAL",PASSERIFORMES,Corvidae,krkavec čierny
6692,Corvus cryptoleucus,"NA, MA",PASSERIFORMES,Corvidae,krkavec pustatinný
6693,Corvus rhipidurus,"AF, PAL",PASSERIFORMES,Corvidae,krkavec krátkochvostý
6694,Corvus albicollis,AF,PASSERIFORMES,Corvidae,krkavec bielokrký
6695,Corvus crassirostris,AF,PASSERIFORMES,Corvidae,krkavec hrubozobý
6696,Corcorax melanorhamphos,AU,PASSERIFORMES,Corcoracidae,kraka bielokrídla
6697,Struthidea cinerea,AU,PASSERIFORMES,Corcoracidae,popolák apoštolský
6698,Melampitta lugubris,AU,PASSERIFORMES,Melampittidae,prespevák dlhonohý
6699,Megalampitta gigantea,AU,PASSERIFORMES,Melampittidae,prespevák veľký
6700,Ifrita kowaldi,AU,PASSERIFORMES,Ifritidae,ifrita šplhavá
6701,Lycocorax pyrrhopterus,AU,PASSERIFORMES,Paradisaeidae,surga havrania
6702,Lycocorax obiensis,AU,PASSERIFORMES,Paradisaeidae,surga ostrovná
6703,Manucodia ater,AU,PASSERIFORMES,Paradisaeidae,rajka lesklá
6704,Manucodia alter,AU,PASSERIFORMES,Paradisaeidae,rajka tagulská
6705,Manucodia jobiensis,AU,PASSERIFORMES,Paradisaeidae,rajka tupozobá
6706,Manucodia chalybatus,AU,PASSERIFORMES,Paradisaeidae,rajka figárka
6707,Manucodia comrii,AU,PASSERIFORMES,Paradisaeidae,rajka kaderavá
6708,Phonygammus keraudrenii,AU,PASSERIFORMES,Paradisaeidae,rajka trubač
6709,Paradigalla carunculata,AU,PASSERIFORMES,Paradisaeidae,rajka laločnatá
6710,Paradigalla brevicauda,AU,PASSERIFORMES,Paradisaeidae,rajka krátkochvostá
6711,Astrapia nigra,AU,PASSERIFORMES,Paradisaeidae,rajka čierna
6712,Astrapia splendidissima,AU,PASSERIFORMES,Paradisaeidae,rajka varechárka
6713,Astrapia mayeri,AU,PASSERIFORMES,Paradisaeidae,rajka dlhochvostá
6714,Astrapia stephaniae,AU,PASSERIFORMES,Paradisaeidae,rajka lyžičiarka
6715,Astrapia rothschildi,AU,PASSERIFORMES,Paradisaeidae,rajka vznešená
6716,Parotia sefilata,AU,PASSERIFORMES,Paradisaeidae,rajka šesťperá
6717,Parotia carolae,AU,PASSERIFORMES,Paradisaeidae,rajka bieloboká
6718,Parotia berlepschi,AU,PASSERIFORMES,Paradisaeidae,rajka bronzová
6719,Parotia lawesii,AU,PASSERIFORMES,Paradisaeidae,rajka modrošijá
6720,Parotia helenae,AU,PASSERIFORMES,Paradisaeidae,rajka chochlíkatá
6721,Parotia wahnesi,AU,PASSERIFORMES,Paradisaeidae,rajka hrbozobá
6722,Pteridophora alberti,AU,PASSERIFORMES,Paradisaeidae,rajka vlajková
6723,Lophorina superba,AU,PASSERIFORMES,Paradisaeidae,rajka pôvabná
6724,Lophorina niedda,AU,PASSERIFORMES,Paradisaeidae,rajka nieda
6725,Lophorina minor,AU,PASSERIFORMES,Paradisaeidae,rajka tmavohlavá
6726,Ptiloris paradiseus,AU,PASSERIFORMES,Paradisaeidae,rajka zamatová
6727,Ptiloris victoriae,AU,PASSERIFORMES,Paradisaeidae,rajka ozdobná
6728,Ptiloris magnificus,AU,PASSERIFORMES,Paradisaeidae,rajka nádherná
6729,Ptiloris intercedens,AU,PASSERIFORMES,Paradisaeidae,rajka volavá
6730,Epimachus fastosus,AU,PASSERIFORMES,Paradisaeidae,rajka srpozobá
6731,Epimachus meyeri,AU,PASSERIFORMES,Paradisaeidae,rajka hnedá
6732,Drepanornis albertisi,AU,PASSERIFORMES,Paradisaeidae,rajka žltochvostá
6733,Drepanornis bruijnii,AU,PASSERIFORMES,Paradisaeidae,rajka bledozobá
6734,Diphyllodes magnificus,AU,PASSERIFORMES,Paradisaeidae,rajka pestrá
6735,Diphyllodes respublica,AU,PASSERIFORMES,Paradisaeidae,rajka lýrochvostá
6736,Cicinnurus regius,AU,PASSERIFORMES,Paradisaeidae,rajka kráľovská
6737,Semioptera wallacii,AU,PASSERIFORMES,Paradisaeidae,rajka molucká
6738,Seleucidis melanoleucus,AU,PASSERIFORMES,Paradisaeidae,rajka vlasatá
6739,Paradisaea apoda,AU,PASSERIFORMES,Paradisaeidae,rajka svadobná
6740,Paradisaea raggiana,AU,PASSERIFORMES,Paradisaeidae,rajka Raggiho
6741,Paradisaea minor,AU,PASSERIFORMES,Paradisaeidae,rajka hodvábna
6742,Paradisaea decora,AU,PASSERIFORMES,Paradisaeidae,rajka levanduľová
6743,Paradisaea rubra,AU,PASSERIFORMES,Paradisaeidae,rajka červená
6744,Paradisaea guilielmi,AU,PASSERIFORMES,Paradisaeidae,rajka bieloštíta
6745,Paradisornis rudolphi,AU,PASSERIFORMES,Paradisaeidae,rajka modrá
6746,Tregellasia leucops,AU,PASSERIFORMES,Petroicidae,mucholovka bielolíca
6747,Tregellasia capito,AU,PASSERIFORMES,Petroicidae,mucholovka žltkavá
6748,Quoyornis georgianus,AU,PASSERIFORMES,Petroicidae,mucholovka bieloprsá
6749,Eopsaltria australis,AU,PASSERIFORMES,Petroicidae,mucholovka žltoprsá
6750,Eopsaltria griseogularis,AU,PASSERIFORMES,Petroicidae,mucholovka sivoprsá
6751,Gennaeodryas placens,AU,PASSERIFORMES,Petroicidae,mucholovka obojková
6752,Melanodryas cucullata,AU,PASSERIFORMES,Petroicidae,mucholovka kapucňová
6753,Melanodryas vittata,AU,PASSERIFORMES,Petroicidae,mucholovka hnedá
6754,Peneothello sigillata,AU,PASSERIFORMES,Petroicidae,mucholovka bielokrídla
6755,Peneothello cryptoleuca,AU,PASSERIFORMES,Petroicidae,mucholovka dymová
6756,Peneothello cyanus,AU,PASSERIFORMES,Petroicidae,mucholovka spevavá
6757,Peneothello bimaculata,AU,PASSERIFORMES,Petroicidae,mucholovka strakatá
6758,Peneothello pulverulenta,AU,PASSERIFORMES,Petroicidae,mucholovka mangrovová
6759,Poecilodryas brachyura,AU,PASSERIFORMES,Petroicidae,mucholovka čiernobradá
6760,Poecilodryas hypoleuca,AU,PASSERIFORMES,Petroicidae,mucholovka čiernoboká
6761,Poecilodryas superciliosa,AU,PASSERIFORMES,Petroicidae,mucholovka bahenná
6762,Poecilodryas cerviniventris,AU,PASSERIFORMES,Petroicidae,mucholovka lužná
6763,Plesiodryas albonotata,AU,PASSERIFORMES,Petroicidae,mucholovka čiernohrdlá
6764,Heteromyias albispecularis,AU,PASSERIFORMES,Petroicidae,mucholovka popolavá
6765,Heteromyias armiti,AU,PASSERIFORMES,Petroicidae,mucholovka zemná
6766,Heteromyias cinereifrons,AU,PASSERIFORMES,Petroicidae,mucholovka sivohlavá
6767,Drymodes beccarii,AU,PASSERIFORMES,Petroicidae,kriačinár papuánsky
6768,Drymodes superciliaris,AU,PASSERIFORMES,Petroicidae,kriačinár svetlonohý
6769,Drymodes brunneopygia,AU,PASSERIFORMES,Petroicidae,kriačinár tmavonohý
6770,Microeca flavigaster,AU,PASSERIFORMES,Petroicidae,mucholovka žltobruchá
6771,Microeca hemixantha,AU,PASSERIFORMES,Petroicidae,mucholovka zlatobruchá
6772,Microeca fascinans,AU,PASSERIFORMES,Petroicidae,mucholovka bielochvostá
6773,Monachella muelleriana,AU,PASSERIFORMES,Petroicidae,mucholovka potočná
6774,Cryptomicroeca flaviventris,AU,PASSERIFORMES,Petroicidae,mucholovka pôvabná
6775,Kempiella griseoceps,AU,PASSERIFORMES,Petroicidae,mucholovka žltonohá
6776,Kempiella flavovirescens,AU,PASSERIFORMES,Petroicidae,mucholovka olivová
6777,Devioeca papuana,AU,PASSERIFORMES,Petroicidae,mucholovka žltá
6778,Eugerygone rubra,AU,PASSERIFORMES,Petroicidae,mucholovka granátová
6779,Petroica rosea,AU,PASSERIFORMES,Petroicidae,mucholovka červenoprsá
6780,Petroica rodinogaster,AU,PASSERIFORMES,Petroicidae,mucholovka ružová
6781,Petroica archboldi,AU,PASSERIFORMES,Petroicidae,mucholovka sutinová
6782,Petroica bivittata,AU,PASSERIFORMES,Petroicidae,mucholovka horská
6783,Petroica phoenicea,AU,PASSERIFORMES,Petroicidae,mucholovka ohnivá
6784,Petroica polymorpha,PO,PASSERIFORMES,Petroicidae,mucholovka šalamúnska
6785,Petroica pusilla,"AU, PO",PASSERIFORMES,Petroicidae,mucholovka pestrá
6786,Petroica multicolor,AU,PASSERIFORMES,Petroicidae,mucholovka norfolská
6787,Petroica boodang,AU,PASSERIFORMES,Petroicidae,mucholovka šarlátová
6788,Petroica goodenovii,AU,PASSERIFORMES,Petroicidae,mucholovka červenočelá
6789,Petroica macrocephala,AU,PASSERIFORMES,Petroicidae,mucholovka maorská
6790,Petroica longipes,AU,PASSERIFORMES,Petroicidae,mucholovka dlhonohá
6791,Petroica australis,AU,PASSERIFORMES,Petroicidae,mucholovka bieločelá
6792,Petroica traversi,AU,PASSERIFORMES,Petroicidae,mucholovka Traversova
6793,Pachycephalopsis hattamensis,AU,PASSERIFORMES,Petroicidae,mucholovka zelená
6794,Pachycephalopsis poliosoma,AU,PASSERIFORMES,Petroicidae,mucholovka bielooká
6795,Amalocichla sclateriana,AU,PASSERIFORMES,Petroicidae,pitovec veľký
6796,Amalocichla incerta,AU,PASSERIFORMES,Petroicidae,pitovec malý
6797,Picathartes gymnocephalus,AF,PASSERIFORMES,Picathartidae,holohlavec žltohlavý
6798,Picathartes oreas,AF,PASSERIFORMES,Picathartidae,holohlavec skalný
6799,Chaetops frenatus,AF,PASSERIFORMES,Chaetopidae,skalovec hrdzavý
6800,Chaetops aurantius,AF,PASSERIFORMES,Chaetopidae,skalovec zlatý
6801,Eupetes macrocerus,OR,PASSERIFORMES,Eupetidae,džungliar behavý
6802,Bombycilla garrulus,"PAL, NA",PASSERIFORMES,Bombycillidae,chochláč severský
6803,Bombycilla japonica,PAL,PASSERIFORMES,Bombycillidae,chochláč tajgový
6804,Bombycilla cedrorum,"NA, MA, SA",PASSERIFORMES,Bombycillidae,chochláč americký
6805,Phainoptila melanoxantha,MA,PASSERIFORMES,Ptiliogonatidae,hodvábnik hôrny
6806,Ptiliogonys cinereus,MA,PASSERIFORMES,Ptiliogonatidae,hodvábnik sivý
6807,Ptiliogonys caudatus,MA,PASSERIFORMES,Ptiliogonatidae,hodvábnik dlhochvostý
6808,Phainopepla nitens,"NA, MA",PASSERIFORMES,Ptiliogonatidae,hodvábnik čierny
6809,Hypocolius ampelinus,PAL,PASSERIFORMES,Hypocoliidae,kolesnák sivý
6810,Hylocitrea bonensis,AU,PASSERIFORMES,Hylocitreidae,celebeska horská
6811,Chelidorhynx hypoxanthus,OR,PASSERIFORMES,Stenostiridae,žltuška vejárová
6812,Stenostira scita,AF,PASSERIFORMES,Stenostiridae,čiernonôžka čarovná
6813,Culicicapa ceylonensis,OR,PASSERIFORMES,Stenostiridae,žltuška sivohlavá
6814,Culicicapa helianthea,"OR, AU",PASSERIFORMES,Stenostiridae,žltuška citrónová
6815,Elminia longicauda,AF,PASSERIFORMES,Stenostiridae,mušník tyrkysový
6816,Elminia albicauda,AF,PASSERIFORMES,Stenostiridae,mušník striebristý
6817,Elminia nigromitrata,AF,PASSERIFORMES,Stenostiridae,mušník tmavý
6818,Elminia albiventris,AF,PASSERIFORMES,Stenostiridae,mušník bielobruchý
6819,Elminia albonotata,AF,PASSERIFORMES,Stenostiridae,mušník bielochvostý
6820,Cephalopyrus flammiceps,OR,PASSERIFORMES,Paridae,ohnivočelka zelenkavá
6821,Sylviparus modestus,OR,PASSERIFORMES,Paridae,sýkorka olivová
6822,Melanochlora sultanea,OR,PASSERIFORMES,Paridae,sýkorka sultánska
6823,Periparus rufonuchalis,PAL,PASSERIFORMES,Paridae,sýkorka hrdzavokrká
6824,Periparus rubidiventris,OR,PASSERIFORMES,Paridae,sýkorka sivochrbtá
6825,Periparus ater,PAL,PASSERIFORMES,Paridae,sýkorka uhliarka
6826,Pardaliparus venustulus,PAL,PASSERIFORMES,Paridae,sýkorka žltobruchá
6827,Pardaliparus elegans,OR,PASSERIFORMES,Paridae,sýkorka škvrnitá
6828,Pardaliparus amabilis,OR,PASSERIFORMES,Paridae,sýkorka kapucňová
6829,Lophophanes cristatus,PAL,PASSERIFORMES,Paridae,sýkorka chochlatá
6830,Lophophanes dichrous,OR,PASSERIFORMES,Paridae,sýkorka sivochochlatá
6831,Baeolophus wollweberi,"NA, MA",PASSERIFORMES,Paridae,sýkorka ohlávková
6832,Baeolophus inornatus,"NA, MA",PASSERIFORMES,Paridae,sýkorka dubová
6833,Baeolophus ridgwayi,"NA, MA",PASSERIFORMES,Paridae,sýkorka borievková
6834,Baeolophus atricristatus,"NA, MA",PASSERIFORMES,Paridae,sýkorka čiernochochlatá
6835,Sittiparus varius,PAL,PASSERIFORMES,Paridae,sýkorka hrdzavá
6836,Sittiparus owstoni,PAL,PASSERIFORMES,Paridae,sýkorka Owstonova
6837,Sittiparus olivaceus,PAL,PASSERIFORMES,Paridae,sýkorka iriomotská
6838,Sittiparus castaneoventris,PAL,PASSERIFORMES,Paridae,sýkorka gaštanová
6839,Sittiparus semilarvatus,OR,PASSERIFORMES,Paridae,sýkorka bieločelá
6840,Poecile superciliosus,PAL,PASSERIFORMES,Paridae,sýkorka stužkatá
6841,Poecile lugubris,PAL,PASSERIFORMES,Paridae,sýkorka smútočná
6842,Poecile cinctus,PAL,PASSERIFORMES,Paridae,sýkorka hnedohlavá
6843,Poecile sclateri,"NA, MA",PASSERIFORMES,Paridae,sýkorka sivá
6844,Poecile davidi,PAL,PASSERIFORMES,Paridae,sýkorka škoricová
6845,Poecile hypermelaenus,OR,PASSERIFORMES,Paridae,sýkorka čiernobradá
6846,Poecile palustris,PAL,PASSERIFORMES,Paridae,sýkorka hôrna
6847,Poecile weigoldicus,PAL,PASSERIFORMES,Paridae,sýkorka čínska
6848,Poecile hyrcanus,PAL,PASSERIFORMES,Paridae,sýkorka iránska
6849,Poecile montanus,PAL,PASSERIFORMES,Paridae,sýkorka čiernohlavá
6850,Cyanistes teneriffae,AF,PASSERIFORMES,Paridae,sýkorka modrokrídla
6851,Cyanistes caeruleus,PAL,PASSERIFORMES,Paridae,sýkorka belasá
6852,Cyanistes cyanus,PAL,PASSERIFORMES,Paridae,sýkorka lazúrová
6853,Pseudopodoces humilis,PAL,PASSERIFORMES,Paridae,jakárka krivozobá
6854,Parus major,PAL,PASSERIFORMES,Paridae,sýkorka veľká
6855,Parus minor,PAL,PASSERIFORMES,Paridae,sýkorka japonská
6856,Parus cinereus,OR,PASSERIFORMES,Paridae,sýkorka šedivá
6857,Parus monticolus,"PAL, OR",PASSERIFORMES,Paridae,sýkorka vrchovská
6858,Machlolophus nuchalis,OR,PASSERIFORMES,Paridae,sýkorka bielotylová
6859,Machlolophus holsti,OR,PASSERIFORMES,Paridae,sýkorka žltá
6860,Machlolophus xanthogenys,OR,PASSERIFORMES,Paridae,sýkorka žltolíca
6861,Machlolophus aplonotus,OR,PASSERIFORMES,Paridae,sýkorka indická
6862,Machlolophus spilonotus,OR,PASSERIFORMES,Paridae,sýkorka kráľovská
6863,Melaniparus guineensis,AF,PASSERIFORMES,Paridae,sýkorka bledooká
6864,Melaniparus leucomelas,AF,PASSERIFORMES,Paridae,sýkorka bielokrídla
6865,Melaniparus niger,AF,PASSERIFORMES,Paridae,sýkorka čierna
6866,Melaniparus carpi,AF,PASSERIFORMES,Paridae,sýkorka krovinová
6867,Melaniparus albiventris,AF,PASSERIFORMES,Paridae,sýkorka bielobruchá
6868,Melaniparus leuconotus,AF,PASSERIFORMES,Paridae,sýkorka bielochrbtá
6869,Melaniparus funereus,AF,PASSERIFORMES,Paridae,sýkorka tmavá
6870,Melaniparus rufiventris,AF,PASSERIFORMES,Paridae,sýkorka hrdzavobruchá
6871,Melaniparus pallidiventris,AF,PASSERIFORMES,Paridae,sýkorka jantárová
6872,Melaniparus fringillinus,AF,PASSERIFORMES,Paridae,sýkorka červenohrdlá
6873,Melaniparus fasciiventer,AF,PASSERIFORMES,Paridae,sýkorka čiernopása
6874,Melaniparus thruppi,AF,PASSERIFORMES,Paridae,sýkorka savanová
6875,Melaniparus griseiventris,AF,PASSERIFORMES,Paridae,sýkorka sivobruchá
6876,Melaniparus cinerascens,AF,PASSERIFORMES,Paridae,sýkorka popolavá
6877,Melaniparus afer,AF,PASSERIFORMES,Paridae,sýkorka akáciová
6878,Remiz pendulinus,PAL,PASSERIFORMES,Remizidae,kúdeľníčka lužná
6879,Remiz macronyx,PAL,PASSERIFORMES,Remizidae,kúdeľníčka čiernohlavá
6880,Remiz coronatus,PAL,PASSERIFORMES,Remizidae,kúdeľníčka bielohlavá
6881,Remiz consobrinus,PAL,PASSERIFORMES,Remizidae,kúdeľníčka čínska
6882,Anthoscopus punctifrons,AF,PASSERIFORMES,Remizidae,kúdeľníčka savanová
6883,Anthoscopus parvulus,AF,PASSERIFORMES,Remizidae,kúdeľníčka žltá
6884,Anthoscopus musculus,AF,PASSERIFORMES,Remizidae,kúdeľníčka myšacia
6885,Anthoscopus flavifrons,AF,PASSERIFORMES,Remizidae,kúdeľníčka zlatočelá
6886,Anthoscopus caroli,AF,PASSERIFORMES,Remizidae,kúdeľníčka sivá
6887,Anthoscopus minutus,AF,PASSERIFORMES,Remizidae,kúdeľníčka sivohlavá
6888,Auriparus flaviceps,"NA, MA",PASSERIFORMES,Remizidae,žltohlávok sýkorčí
6889,Nicator chloris,AF,PASSERIFORMES,Nicatoridae,vetvár veľkozobý
6890,Nicator gularis,AF,PASSERIFORMES,Nicatoridae,vetvár hnedohlavý
6891,Nicator vireo,AF,PASSERIFORMES,Nicatoridae,vetvár žltohrdlý
6892,Panurus biarmicus,PAL,PASSERIFORMES,Panuridae,fúzatka trstinová
6893,Alaemon alaudipes,"AF, PAL",PASSERIFORMES,Alaudidae,behuľa dlhozobá
6894,Alaemon hamertoni,AF,PASSERIFORMES,Alaudidae,behuľa krátkozobá
6895,Chersomanes beesleyi,AF,PASSERIFORMES,Alaudidae,škovránok pôvabný
6896,Chersomanes albofasciata,AF,PASSERIFORMES,Alaudidae,škovránok ostrohatý
6897,Ammomanopsis grayi,AF,PASSERIFORMES,Alaudidae,škovránok štrkový
6898,Certhilauda chuana,AF,PASSERIFORMES,Alaudidae,škovránok pasienkový
6899,Certhilauda subcoronata,AF,PASSERIFORMES,Alaudidae,škovránok krovinový
6900,Certhilauda benguelensis,AF,PASSERIFORMES,Alaudidae,škovránok plavý
6901,Certhilauda semitorquata,AF,PASSERIFORMES,Alaudidae,škovránok bielohrdlý
6902,Certhilauda curvirostris,AF,PASSERIFORMES,Alaudidae,škovránok krivozobý
6903,Certhilauda brevirostris,AF,PASSERIFORMES,Alaudidae,škovránok nížinný
6904,Pinarocorys nigricans,AF,PASSERIFORMES,Alaudidae,škovránok tmavý
6905,Pinarocorys erythropygia,AF,PASSERIFORMES,Alaudidae,škovránok hrdzavochvostý
6906,Ramphocoris clotbey,AF,PASSERIFORMES,Alaudidae,škovránok hrubozobý
6907,Ammomanes deserti,"AF, PAL",PASSERIFORMES,Alaudidae,škovránok bledý
6908,Ammomanes cinctura,"AF, PAL",PASSERIFORMES,Alaudidae,škovránok púštny
6909,Ammomanes phoenicura,OR,PASSERIFORMES,Alaudidae,škovránok hrdzavý
6910,Eremopterix australis,AF,PASSERIFORMES,Alaudidae,škovránok čiernosluchý
6911,Eremopterix hova,AF,PASSERIFORMES,Alaudidae,škovránok madagaskarský
6912,Eremopterix nigriceps,"AF, PAL",PASSERIFORMES,Alaudidae,škovránok bieločelý
6913,Eremopterix leucotis,AF,PASSERIFORMES,Alaudidae,škovránok hnedochrbtý
6914,Eremopterix griseus,OR,PASSERIFORMES,Alaudidae,škovránok škraboškový
6915,Eremopterix signatus,AF,PASSERIFORMES,Alaudidae,škovránok ozdobný
6916,Eremopterix verticalis,AF,PASSERIFORMES,Alaudidae,škovránok sivochrbtý
6917,Eremopterix leucopareia,AF,PASSERIFORMES,Alaudidae,škovránok hnedohlavý
6918,Calendulauda sabota,AF,PASSERIFORMES,Alaudidae,škovránok sabota
6919,Calendulauda poecilosterna,AF,PASSERIFORMES,Alaudidae,škovránok ružovoprsý
6920,Calendulauda alopex,AF,PASSERIFORMES,Alaudidae,škovránok lišací
6921,Calendulauda africanoides,AF,PASSERIFORMES,Alaudidae,škovránok stepný
6922,Calendulauda albescens,AF,PASSERIFORMES,Alaudidae,škovránok búrsky
6923,Calendulauda burra,AF,PASSERIFORMES,Alaudidae,škovránok piesočný
6924,Calendulauda erythrochlamys,AF,PASSERIFORMES,Alaudidae,škovránok dunový
6925,Calendulauda barlowi,AF,PASSERIFORMES,Alaudidae,škovránok hnedkavý
6926,Heteromirafra ruddi,AF,PASSERIFORMES,Alaudidae,škovránok vzpriamený
6927,Heteromirafra archeri,AF,PASSERIFORMES,Alaudidae,škovránok somálsky
6928,Mirafra fasciolata,AF,PASSERIFORMES,Alaudidae,škovránok tlieskavý
6929,Mirafra apiata,AF,PASSERIFORMES,Alaudidae,škovránok rapotavý
6930,Mirafra hypermetra,AF,PASSERIFORMES,Alaudidae,škovránok veľký
6931,Mirafra africana,AF,PASSERIFORMES,Alaudidae,škovránok hnedotylový
6932,Mirafra sharpii,AF,PASSERIFORMES,Alaudidae,škovránok medený
6933,Mirafra rufocinnamomea,AF,PASSERIFORMES,Alaudidae,škovránok klopačkový
6934,Mirafra angolensis,AF,PASSERIFORMES,Alaudidae,škovránok vrchovinový
6935,Mirafra williamsi,AF,PASSERIFORMES,Alaudidae,škovránok tmavochrbtý
6936,Mirafra passerina,AF,PASSERIFORMES,Alaudidae,škovránok vrabčí
6937,Mirafra cheniana,AF,PASSERIFORMES,Alaudidae,škovránok napodobiteľ
6938,Mirafra javanica,"AF, OR, AU",PASSERIFORMES,Alaudidae,škovránok škoricový
6939,Mirafra microptera,OR,PASSERIFORMES,Alaudidae,škovránok mjanmarský
6940,Mirafra assamica,OR,PASSERIFORMES,Alaudidae,škovránok hrdzavokrídly
6941,Mirafra erythrocephala,OR,PASSERIFORMES,Alaudidae,škovránok suchomilný
6942,Mirafra erythroptera,OR,PASSERIFORMES,Alaudidae,škovránok úhorový
6943,Mirafra affinis,OR,PASSERIFORMES,Alaudidae,škovránok škvrnitý
6944,Mirafra gilletti,AF,PASSERIFORMES,Alaudidae,škovránok savanový
6945,Mirafra rufa,AF,PASSERIFORMES,Alaudidae,škovránok červenkastý
6946,Mirafra collaris,AF,PASSERIFORMES,Alaudidae,škovránok obojkový
6947,Mirafra ashi,AF,PASSERIFORMES,Alaudidae,škovránok tenkozobý
6948,Mirafra somalica,AF,PASSERIFORMES,Alaudidae,škovránok dlhozobý
6949,Mirafra pulpa,AF,PASSERIFORMES,Alaudidae,škovránok čarovný
6950,Mirafra cordofanica,AF,PASSERIFORMES,Alaudidae,škovránok sahelský
6951,Mirafra albicauda,AF,PASSERIFORMES,Alaudidae,škovránok bielochvostý
6952,Lullula arborea,PAL,PASSERIFORMES,Alaudidae,škovránik stromový
6953,Spizocorys obbiensis,AF,PASSERIFORMES,Alaudidae,škovránok pobrežný
