,IOC,Breeding Range,Order,Family,Polish
138,Spatula clypeata,"NA, PAL",ANSERIFORMES,Anatidae,płaskonos (zwyczajny)
139,Mareca strepera,"NA, PAL",ANSERIFORMES,Anatidae,krakwa
140,Mareca falcata,PAL,ANSERIFORMES,Anatidae,czuprynka
141,Mareca penelope,PAL,ANSERIFORMES,Anatidae,świstun (zwyczajny)
142,Mareca sibilatrix,SA,ANSERIFORMES,Anatidae,świstun chilijski
143,Anas sparsa,AF,ANSERIFORMES,Anatidae,moręgówka
144,Anas undulata,AF,ANSERIFORMES,Anatidae,kaczka żółtodzioba
145,Anas melleri,AF,ANSERIFORMES,Anatidae,kaczka madagaskarska
146,Anas superciliosa,AU,ANSERIFORMES,Anatidae,kaczka pacyficzna
147,Anas laysanensis,PO,ANSERIFORMES,Anatidae,krzyżówka białooka
148,Anas wyvilliana,PO,ANSERIFORMES,Anatidae,krzyżówka hawajska
149,Anas luzonica,OR,ANSERIFORMES,Anatidae,kaczka filipińska
150,Anas poecilorhyncha,OR,ANSERIFORMES,Anatidae,kaczka pstrodzioba
151,Anas zonorhyncha,OR,ANSERIFORMES,Anatidae,kaczka chińska
152,Anas platyrhynchos,"NA, PAL",ANSERIFORMES,Anatidae,krzyżówka
153,Anas diazi,"NA, MA",ANSERIFORMES,Anatidae,krzyżówka meksykańska
154,Anas capensis,AF,ANSERIFORMES,Anatidae,cyraneczka płowa
155,Anas bahamensis,"SA, NA",ANSERIFORMES,Anatidae,rożeniec białolicy
156,Anas erythrorhyncha,AF,ANSERIFORMES,Anatidae,rożeniec czerwonodzioby
157,Anas georgica,SA,ANSERIFORMES,Anatidae,rożeniec żółtodzioby
158,Anas eatoni,IO,ANSERIFORMES,Anatidae,rożeniec krótkosterny
159,Anas acuta,"NA, PAL",ANSERIFORMES,Anatidae,rożeniec (zwyczajny)
160,Anas crecca,"PAL, NA",ANSERIFORMES,Anatidae,cyraneczka (zwyczajna)
161,Anas flavirostris,SA,ANSERIFORMES,Anatidae,cyraneczka żółtodzioba
162,Anas andium,SA,ANSERIFORMES,Anatidae,cyraneczka andyjska
163,Anas gibberifrons,OR,ANSERIFORMES,Anatidae,cyraneczka szara
164,Anas albogularis,OR,ANSERIFORMES,Anatidae,cyraneczka andamańska
165,Anas gracilis,AU,ANSERIFORMES,Anatidae,cyraneczka australijska
166,Anas castanea,AU,ANSERIFORMES,Anatidae,cyraneczka kasztanowata
167,Anas bernieri,AF,ANSERIFORMES,Anatidae,cyraneczka madagaskarska
168,Anas chlorotis,AU,ANSERIFORMES,Anatidae,cyraneczka rdzawa
169,Anas aucklandica,AU,ANSERIFORMES,Anatidae,cyraneczka auklandzka
170,Anas nesiotis,AU,ANSERIFORMES,Anatidae,cyraneczka południowa
171,Marmaronetta angustirostris,PAL,ANSERIFORMES,Anatidae,marmurka
172,Netta rufina,PAL,ANSERIFORMES,Anatidae,hełmiatka (zwyczajna)
