,IOC,Breeding Range,Order,Family,Polish
4900,Conopophaga melanogaster,SA,PASSERIFORMES,Conopophagidae,mrówkożer czarnobrzuchy
4901,Pittasoma michleri,"MA, SA",PASSERIFORMES,Conopophagidae,kusogon czarnogłowy
4902,Pittasoma rufopileatum,SA,PASSERIFORMES,Conopophagidae,kusogon czarnobrewy
4903,Acropternis orthonyx,SA,PASSERIFORMES,Rhinocryptidae,szponniczek
4904,Pteroptochos castaneus,SA,PASSERIFORMES,Rhinocryptidae,turko kasztanowaty
4905,Pteroptochos tarnii,SA,PASSERIFORMES,Rhinocryptidae,turko czarnogardły
4906,Pteroptochos megapodius,SA,PASSERIFORMES,Rhinocryptidae,turko wąsaty
4907,Scelorchilus albicollis,SA,PASSERIFORMES,Rhinocryptidae,krytonos białogardły
4908,Scelorchilus rubecula,SA,PASSERIFORMES,Rhinocryptidae,krytonos rudogardły
4909,Rhinocrypta lanceolata,SA,PASSERIFORMES,Rhinocryptidae,krytonos czubaty
4910,Teledromas fuscus,SA,PASSERIFORMES,Rhinocryptidae,krytonos piaskowy
4911,Liosceles thoracicus,SA,PASSERIFORMES,Rhinocryptidae,przepasek
4912,Psilorhamphus guttatus,SA,PASSERIFORMES,Rhinocryptidae,kropiatek
4913,Merulaxis ater,SA,PASSERIFORMES,Rhinocryptidae,kominiarek ciemny
4914,Merulaxis stresemanni,SA,PASSERIFORMES,Rhinocryptidae,kominiarek śniady
4915,Eugralla paradoxa,SA,PASSERIFORMES,Rhinocryptidae,krytonosek południowy
4916,Myornis senilis,SA,PASSERIFORMES,Rhinocryptidae,krytonosek północny
4917,Eleoscytalopus indigoticus,SA,PASSERIFORMES,Rhinocryptidae,krytonosek białogardły
4918,Eleoscytalopus psychopompus,SA,PASSERIFORMES,Rhinocryptidae,krytonosek rdzawoboczny
4919,Scytalopus iraiensis,SA,PASSERIFORMES,Rhinocryptidae,krytonosek turzycowy
4920,Scytalopus diamantinensis,SA,PASSERIFORMES,Rhinocryptidae,krytonosek paprociowy
4921,Scytalopus novacapitalis,SA,PASSERIFORMES,Rhinocryptidae,krytonosek brazylijski
4922,Scytalopus petrophilus,SA,PASSERIFORMES,Rhinocryptidae,krytonosek skalny
4923,Scytalopus pachecoi,SA,PASSERIFORMES,Rhinocryptidae,krytonosek myszaty
4924,Scytalopus gonzagai,SA,PASSERIFORMES,Rhinocryptidae,krytonosek popielaty
4925,Scytalopus speluncae,SA,PASSERIFORMES,Rhinocryptidae,krytonosek śniady
4926,Scytalopus fuscus,SA,PASSERIFORMES,Rhinocryptidae,krytonosek chilijski
4927,Scytalopus magellanicus,SA,PASSERIFORMES,Rhinocryptidae,krytonosek magellański
4928,Scytalopus affinis,SA,PASSERIFORMES,Rhinocryptidae,krytonosek blady
4929,Scytalopus krabbei,SA,PASSERIFORMES,Rhinocryptidae,krytonosek białoskrzydły
4930,Scytalopus androstictus,SA,PASSERIFORMES,Rhinocryptidae,krytonosek smolisty
4931,Scytalopus opacus,SA,PASSERIFORMES,Rhinocryptidae,krytonosek buszowy
4932,Scytalopus canus,SA,PASSERIFORMES,Rhinocryptidae,krytonosek siwy
4933,Scytalopus superciliaris,SA,PASSERIFORMES,Rhinocryptidae,krytonosek białobrewy
4934,Scytalopus zimmeri,SA,PASSERIFORMES,Rhinocryptidae,krytonosek boliwijski
4935,Scytalopus simonsi,SA,PASSERIFORMES,Rhinocryptidae,krytonosek punański
4936,Scytalopus schulenbergi,SA,PASSERIFORMES,Rhinocryptidae,krytonosek diademowy
4937,Scytalopus urubambae,SA,PASSERIFORMES,Rhinocryptidae,krytonosek inkaski
4938,Scytalopus whitneyi,SA,PASSERIFORMES,Rhinocryptidae,krytonosek jasnobrewy
4939,Scytalopus frankeae,SA,PASSERIFORMES,Rhinocryptidae,krytonosek kostrzewowy
4940,Scytalopus altirostris,SA,PASSERIFORMES,Rhinocryptidae,krytonosek stokowy
4941,Scytalopus parvirostris,SA,PASSERIFORMES,Rhinocryptidae,krytonosek śpiewny
4942,Scytalopus bolivianus,SA,PASSERIFORMES,Rhinocryptidae,krytonosek białogłowy
4943,Scytalopus atratus,SA,PASSERIFORMES,Rhinocryptidae,krytonosek ciemny
4944,Scytalopus sanctaemartae,SA,PASSERIFORMES,Rhinocryptidae,krytonosek ubogi
4945,Scytalopus micropterus,SA,PASSERIFORMES,Rhinocryptidae,krytonosek długosterny
4946,Scytalopus femoralis,SA,PASSERIFORMES,Rhinocryptidae,krytonosek rdzaworzytny
4947,Scytalopus intermedius,SA,PASSERIFORMES,Rhinocryptidae,krytonosek zaroślowy
4948,Scytalopus macropus,SA,PASSERIFORMES,Rhinocryptidae,krytonosek duży
4949,Scytalopus gettyae,SA,PASSERIFORMES,Rhinocryptidae,krytonosek krzykliwy
4950,Scytalopus unicolor,SA,PASSERIFORMES,Rhinocryptidae,krytonosek jednobarwny
4951,Scytalopus acutirostris,SA,PASSERIFORMES,Rhinocryptidae,krytonosek peruwiański
4952,Scytalopus latrans,SA,PASSERIFORMES,Rhinocryptidae,krytonosek czarniawy
4953,Scytalopus argentifrons,MA,PASSERIFORMES,Rhinocryptidae,krytonosek srebrnoczelny
4954,Scytalopus vicinior,SA,PASSERIFORMES,Rhinocryptidae,krytonosek ponury
4955,Scytalopus panamensis,"MA, SA",PASSERIFORMES,Rhinocryptidae,krytonosek panamski
4956,Scytalopus chocoensis,"MA, SA",PASSERIFORMES,Rhinocryptidae,krytonosek okopcony
4957,Scytalopus rodriguezi,SA,PASSERIFORMES,Rhinocryptidae,krytonosek szarogłowy
4958,Scytalopus stilesi,SA,PASSERIFORMES,Rhinocryptidae,krytonosek kolumbijski
4959,Scytalopus alvarezlopezi,SA,PASSERIFORMES,Rhinocryptidae,krytonosek czarny
4960,Scytalopus robbinsi,SA,PASSERIFORMES,Rhinocryptidae,krytonosek ekwadorski
4961,Scytalopus caracae,SA,PASSERIFORMES,Rhinocryptidae,krytonosek wenezuelski
4962,Scytalopus griseicollis,SA,PASSERIFORMES,Rhinocryptidae,krytonosek szarawy
4963,Scytalopus latebricola,SA,PASSERIFORMES,Rhinocryptidae,krytonosek brunatny
4964,Scytalopus perijanus,SA,PASSERIFORMES,Rhinocryptidae,krytonosek brązowokarkowy
4965,Scytalopus meridanus,SA,PASSERIFORMES,Rhinocryptidae,krytonosek samotny
4966,Scytalopus parkeri,SA,PASSERIFORMES,Rhinocryptidae,krytonosek długoskrzydły
4967,Scytalopus spillmanni,SA,PASSERIFORMES,Rhinocryptidae,krytonosek bambusowy
4968,Melanopareia torquata,SA,PASSERIFORMES,Melanopareiidae,obrożnik rdzawokarkowy
4969,Melanopareia bitorquata,SA,PASSERIFORMES,Melanopareiidae,obrożnik ochrowy
4970,Melanopareia maximiliani,SA,PASSERIFORMES,Melanopareiidae,obrożnik oliwkowy
4971,Melanopareia maranonica,SA,PASSERIFORMES,Melanopareiidae,obrożnik peruwiański
4972,Melanopareia elegans,SA,PASSERIFORMES,Melanopareiidae,obrożnik ozdobny
4973,Piprites griseiceps,MA,PASSERIFORMES,Tyrannidae,krzykaczyk szarogłowy
4974,Piprites chloris,SA,PASSERIFORMES,Tyrannidae,krzykaczyk oliwkowy
4975,Piprites pileata,SA,PASSERIFORMES,Tyrannidae,krzykaczyk czarnołbisty
4976,Phyllomyias fasciatus,SA,PASSERIFORMES,Tyrannidae,oliwiarek jasnogardły
4977,Phyllomyias weedeni,SA,PASSERIFORMES,Tyrannidae,oliwiarek szarolicy
4978,Phyllomyias burmeisteri,SA,PASSERIFORMES,Tyrannidae,pręgotyranik włochaty
4979,Phyllomyias zeledoni,"MA, SA",PASSERIFORMES,Tyrannidae,pręgotyranik białolicy
4980,Phyllomyias virescens,SA,PASSERIFORMES,Tyrannidae,pręgotyranik zielonawy
4981,Phyllomyias reiseri,SA,PASSERIFORMES,Tyrannidae,pręgotyranik brazylijski
4982,Phyllomyias urichi,SA,PASSERIFORMES,Tyrannidae,pręgotyranik wenezuelski
4983,Phyllomyias sclateri,SA,PASSERIFORMES,Tyrannidae,pręgotyranik stokowy
4984,Phyllomyias griseocapilla,SA,PASSERIFORMES,Tyrannidae,oliwiaczek szarogłowy
4985,Phyllomyias griseiceps,SA,PASSERIFORMES,Tyrannidae,oliwiarek okopcony
4986,Phyllomyias plumbeiceps,SA,PASSERIFORMES,Tyrannidae,pręgotyranik ciemnogłowy
4987,Phyllomyias nigrocapillus,SA,PASSERIFORMES,Tyrannidae,pręgotyranik czarnogłowy
4988,Phyllomyias cinereiceps,SA,PASSERIFORMES,Tyrannidae,pręgotyranik siwogłowy
4989,Phyllomyias uropygialis,SA,PASSERIFORMES,Tyrannidae,pręgotyranik rdzaworzytny
4990,Tyrannulus elatus,"MA, SA",PASSERIFORMES,Tyrannidae,tyranik żółtogłowy
4991,Myiopagis gaimardii,"MA, SA",PASSERIFORMES,Tyrannidae,tyranik leśny
4992,Myiopagis parambae,"MA, SA",PASSERIFORMES,Tyrannidae,tyranik mniejszy
4993,Myiopagis cinerea,SA,PASSERIFORMES,Tyrannidae,tyranik siwy
4994,Myiopagis caniceps,SA,PASSERIFORMES,Tyrannidae,tyranik popielaty
4995,Myiopagis olallai,SA,PASSERIFORMES,Tyrannidae,tyranik jasnolicy
4996,Myiopagis subplacens,SA,PASSERIFORMES,Tyrannidae,tyranik białobrewy
4997,Myiopagis flavivertex,SA,PASSERIFORMES,Tyrannidae,tyranik żółtociemieniowy
4998,Myiopagis viridicata,"MA, SA",PASSERIFORMES,Tyrannidae,tyranik szarogardły
4999,Elaenia flavogaster,"MA, SA",PASSERIFORMES,Tyrannidae,elenia żółtobrzucha
5000,Elaenia spectabilis,SA,PASSERIFORMES,Tyrannidae,elenia skromna
5001,Elaenia ridleyana,SA,PASSERIFORMES,Tyrannidae,elenia szarogardła
5002,Elaenia albiceps,SA,PASSERIFORMES,Tyrannidae,elenia białoczuba
5003,Elaenia chilensis,SA,PASSERIFORMES,Tyrannidae,elenia chilijska
5004,Elaenia parvirostris,SA,PASSERIFORMES,Tyrannidae,elenia krótkodzioba
5005,Elaenia mesoleuca,SA,PASSERIFORMES,Tyrannidae,elenia oliwkowa
5006,Elaenia strepera,SA,PASSERIFORMES,Tyrannidae,elenia szara
5007,Elaenia gigas,SA,PASSERIFORMES,Tyrannidae,elenia czubata
5008,Elaenia pelzelni,SA,PASSERIFORMES,Tyrannidae,elenia brązowa
5009,Elaenia cristata,SA,PASSERIFORMES,Tyrannidae,elenia płowa
5010,Elaenia chiriquensis,"MA, SA",PASSERIFORMES,Tyrannidae,elenia cienkodzioba
5011,Elaenia brachyptera,SA,PASSERIFORMES,Tyrannidae,elenia mała
5012,Elaenia ruficeps,SA,PASSERIFORMES,Tyrannidae,elenia rudogłowa
5013,Elaenia frantzii,"MA, SA",PASSERIFORMES,Tyrannidae,elenia górska
5014,Elaenia obscura,SA,PASSERIFORMES,Tyrannidae,elenia wyżynna
5015,Elaenia sordida,SA,PASSERIFORMES,Tyrannidae,elenia wielka
5016,Elaenia dayi,SA,PASSERIFORMES,Tyrannidae,elenia duża
5017,Elaenia pallatangae,SA,PASSERIFORMES,Tyrannidae,elenia andyjska
5018,Elaenia olivina,SA,PASSERIFORMES,Tyrannidae,elenia wenezuelska
5019,Ornithion semiflavum,MA,PASSERIFORMES,Tyrannidae,brewinek żółtobrzuchy
5020,Ornithion brunneicapillus,"MA, SA",PASSERIFORMES,Tyrannidae,brewinek brązowogłowy
5021,Ornithion inerme,SA,PASSERIFORMES,Tyrannidae,brewinek amazoński
5022,Camptostoma imberbe,MA,PASSERIFORMES,Tyrannidae,koszykotyranik północny
5023,Camptostoma obsoletum,"MA, SA",PASSERIFORMES,Tyrannidae,koszykotyranik czubaty
5024,Suiriri suiriri,SA,PASSERIFORMES,Tyrannidae,siwogłowik
5025,Mecocerculus leucophrys,SA,PASSERIFORMES,Tyrannidae,tyranek białogardły
5026,Mecocerculus poecilocercus,SA,PASSERIFORMES,Tyrannidae,andotyranek białosterny
5027,Mecocerculus hellmayri,SA,PASSERIFORMES,Tyrannidae,andotyranek boliwijski
5028,Mecocerculus calopterus,SA,PASSERIFORMES,Tyrannidae,andotyranek rdzawoskrzydły
5029,Mecocerculus minor,SA,PASSERIFORMES,Tyrannidae,andotyranek żółtawy
5030,Mecocerculus stictopterus,SA,PASSERIFORMES,Tyrannidae,andotyranek białopręgi
5031,Anairetes nigrocristatus,SA,PASSERIFORMES,Tyrannidae,czuprynek czarnoczuby
5032,Anairetes reguloides,SA,PASSERIFORMES,Tyrannidae,czuprynek rogaty
5033,Anairetes alpinus,SA,PASSERIFORMES,Tyrannidae,czuprynek peruwiański
5034,Anairetes flavirostris,SA,PASSERIFORMES,Tyrannidae,czuprynek żółtodzioby
5035,Anairetes parulus,SA,PASSERIFORMES,Tyrannidae,czuprynek czubaty
5036,Anairetes fernandezianus,SA,PASSERIFORMES,Tyrannidae,czuprynek wyspowy
5037,Uromyias agilis,SA,PASSERIFORMES,Tyrannidae,czuprynek kreskowany
5038,Uromyias agraphia,SA,PASSERIFORMES,Tyrannidae,czuprynek brązowoskrzydły
5039,Serpophaga cinerea,"MA, SA",PASSERIFORMES,Tyrannidae,tyranek szary
5040,Serpophaga hypoleuca,SA,PASSERIFORMES,Tyrannidae,tyranek rzeczny
5041,Serpophaga nigricans,SA,PASSERIFORMES,Tyrannidae,tyranek ciemny
5042,Serpophaga subcristata,SA,PASSERIFORMES,Tyrannidae,tyranek szarogłowy
5043,Serpophaga griseicapilla,SA,PASSERIFORMES,Tyrannidae,tyranek popielaty
5044,Nesotriccus incomtus,"MA, SA",PASSERIFORMES,Tyrannidae,mysityranik płowy
5045,Nesotriccus ridgwayi,MA,PASSERIFORMES,Tyrannidae,kokosanka
5046,Nesotriccus murinus,SA,PASSERIFORMES,Tyrannidae,mysityranik jasnoskrzydły
5047,Nesotriccus tumbezanus,SA,PASSERIFORMES,Tyrannidae,mysityranik Taczanowskiego
5048,Nesotriccus maranonicus,SA,PASSERIFORMES,Tyrannidae,mysityranik cynamonowy
5049,Capsiempis flaveola,"MA, SA",PASSERIFORMES,Tyrannidae,cytrynówka
5050,Polystictus pectoralis,SA,PASSERIFORMES,Tyrannidae,murawnik brodaty
5051,Polystictus superciliaris,SA,PASSERIFORMES,Tyrannidae,murawnik białobrody
5052,Pseudocolopteryx dinelliana,SA,PASSERIFORMES,Tyrannidae,mokradnik argentyński
5053,Pseudocolopteryx sclateri,SA,PASSERIFORMES,Tyrannidae,mokradnik czubaty
5054,Pseudocolopteryx acutipennis,SA,PASSERIFORMES,Tyrannidae,mokradnik andyjski
5055,Pseudocolopteryx flaviventris,SA,PASSERIFORMES,Tyrannidae,mokradnik szczebiotliwy
5056,Pseudocolopteryx citreola,SA,PASSERIFORMES,Tyrannidae,mokradnik cytrynowy
5057,Pseudotriccus pelzelni,"MA, SA",PASSERIFORMES,Tyrannidae,tyranulek brunatny
5058,Pseudotriccus simplex,SA,PASSERIFORMES,Tyrannidae,tyranulek rdzawolicy
5059,Pseudotriccus ruficeps,SA,PASSERIFORMES,Tyrannidae,tyranulek rudogłowy
5060,Corythopis torquatus,SA,PASSERIFORMES,Tyrannidae,świergoczek obrożny
5061,Corythopis delalandi,SA,PASSERIFORMES,Tyrannidae,świergoczek południowy
5062,Euscarthmus meloryphus,SA,PASSERIFORMES,Tyrannidae,rdzawik jasnobrzuchy
5063,Euscarthmus fulviceps,SA,PASSERIFORMES,Tyrannidae,rdzawik pacyficzny
5064,Euscarthmus rufomarginatus,SA,PASSERIFORMES,Tyrannidae,rdzawik białogardły
5065,Pseudelaenia leucospodia,SA,PASSERIFORMES,Tyrannidae,białoczuprynka
5066,Stigmatura napensis,SA,PASSERIFORMES,Tyrannidae,pliszkogonek mały
5067,Stigmatura bahiae,SA,PASSERIFORMES,Tyrannidae,pliszkogonek płowy
5068,Stigmatura budytoides,SA,PASSERIFORMES,Tyrannidae,pliszkogonek duży
5069,Zimmerius vilissimus,MA,PASSERIFORMES,Tyrannidae,oliwiaczek gwatemalski
5070,Zimmerius parvus,"MA, SA",PASSERIFORMES,Tyrannidae,oliwiaczek mały
5071,Zimmerius improbus,SA,PASSERIFORMES,Tyrannidae,oliwiaczek ubogi
5072,Zimmerius petersi,SA,PASSERIFORMES,Tyrannidae,oliwiaczek białobrewy
5073,Zimmerius bolivianus,SA,PASSERIFORMES,Tyrannidae,oliwiaczek ciemnolicy
5074,Zimmerius cinereicapilla,SA,PASSERIFORMES,Tyrannidae,oliwiaczek czerwonodzioby
5075,Zimmerius villarejoi,SA,PASSERIFORMES,Tyrannidae,oliwiaczek skryty
5076,Zimmerius chicomendesi,SA,PASSERIFORMES,Tyrannidae,oliwiaczek jemiołowy
5077,Zimmerius gracilipes,SA,PASSERIFORMES,Tyrannidae,oliwiaczek smukłonogi
5078,Zimmerius acer,SA,PASSERIFORMES,Tyrannidae,oliwiaczek płowy
5079,Zimmerius chrysops,SA,PASSERIFORMES,Tyrannidae,oliwiaczek złotolicy
5080,Zimmerius minimus,SA,PASSERIFORMES,Tyrannidae,oliwiaczek górski
5081,Zimmerius albigularis,SA,PASSERIFORMES,Tyrannidae,oliwiaczek stokowy
5082,Zimmerius flavidifrons,SA,PASSERIFORMES,Tyrannidae,oliwiaczek żółtoczelny
5083,Zimmerius viridiflavus,SA,PASSERIFORMES,Tyrannidae,oliwiaczek złotobrewy
5084,Pogonotriccus poecilotis,SA,PASSERIFORMES,Tyrannidae,tyrańczyk rdzawopręgi
5085,Pogonotriccus chapmani,SA,PASSERIFORMES,Tyrannidae,tyrańczyk oliwkowy
5086,Pogonotriccus ophthalmicus,SA,PASSERIFORMES,Tyrannidae,tyrańczyk łuskolicy
5087,Pogonotriccus orbitalis,SA,PASSERIFORMES,Tyrannidae,tyrańczyk okularowy
5088,Pogonotriccus venezuelanus,SA,PASSERIFORMES,Tyrannidae,tyrańczyk wenezuelski
5089,Pogonotriccus lanyoni,SA,PASSERIFORMES,Tyrannidae,tyrańczyk kolumbijski
5090,Pogonotriccus eximius,SA,PASSERIFORMES,Tyrannidae,tyrańczyk białobrewy
5091,Phylloscartes ventralis,SA,PASSERIFORMES,Tyrannidae,tyrańczyk skromny
5092,Phylloscartes ceciliae,SA,PASSERIFORMES,Tyrannidae,tyrańczyk maskowy
5093,Phylloscartes kronei,SA,PASSERIFORMES,Tyrannidae,tyrańczyk żółtolicy
5094,Phylloscartes beckeri,SA,PASSERIFORMES,Tyrannidae,tyrańczyk brazylijski
5095,Phylloscartes flavovirens,MA,PASSERIFORMES,Tyrannidae,tyrańczyk panamski
5096,Phylloscartes virescens,SA,PASSERIFORMES,Tyrannidae,tyrańczyk gujański
5097,Phylloscartes gualaquizae,SA,PASSERIFORMES,Tyrannidae,tyrańczyk ekwadorski
5098,Phylloscartes nigrifrons,SA,PASSERIFORMES,Tyrannidae,tyrańczyk czarnoczelny
5099,Phylloscartes superciliaris,"MA, SA",PASSERIFORMES,Tyrannidae,tyrańczyk rdzawobrewy
5100,Phylloscartes flaviventris,SA,PASSERIFORMES,Tyrannidae,tyrańczyk żółtobrzuchy
5101,Phylloscartes parkeri,SA,PASSERIFORMES,Tyrannidae,tyrańczyk skryty
5102,Phylloscartes roquettei,SA,PASSERIFORMES,Tyrannidae,tyrańczyk rdzawoczelny
5103,Phylloscartes paulista,SA,PASSERIFORMES,Tyrannidae,tyrańczyk mały
5104,Phylloscartes oustaleti,SA,PASSERIFORMES,Tyrannidae,tyrańczyk złotooki
5105,Phylloscartes difficilis,SA,PASSERIFORMES,Tyrannidae,tyrańczyk białooki
5106,Phylloscartes sylviolus,SA,PASSERIFORMES,Tyrannidae,tyrańczyk rudooki
5107,Mionectes striaticollis,SA,PASSERIFORMES,Tyrannidae,muchotyranik cętkowany
5108,Mionectes olivaceus,MA,PASSERIFORMES,Tyrannidae,muchotyranik oliwkowy
5109,Mionectes galbinus,"MA, SA",PASSERIFORMES,Tyrannidae,muchotyranik kolumbijski
5110,Mionectes oleagineus,"MA, SA",PASSERIFORMES,Tyrannidae,muchotyranik ochrowy
5111,Mionectes macconnelli,SA,PASSERIFORMES,Tyrannidae,muchotyranik rdzawy
5112,Mionectes roraimae,SA,PASSERIFORMES,Tyrannidae,muchotyranik zielonawy
5113,Mionectes rufiventris,SA,PASSERIFORMES,Tyrannidae,muchotyranik szarogłowy
5114,Leptopogon amaurocephalus,"MA, SA",PASSERIFORMES,Tyrannidae,muchotyranik brązowogłowy
5115,Leptopogon superciliaris,"MA, SA",PASSERIFORMES,Tyrannidae,muchotyranik andyjski
5116,Leptopogon rufipectus,SA,PASSERIFORMES,Tyrannidae,muchotyranik rdzawogardły
5117,Leptopogon taczanowskii,SA,PASSERIFORMES,Tyrannidae,muchotyranik inkaski
5118,Guyramemua affine,SA,PASSERIFORMES,Tyrannidae,jasnoliczek
5119,Sublegatus arenarum,"MA, SA",PASSERIFORMES,Tyrannidae,szaroliczek północny
5120,Sublegatus obscurior,SA,PASSERIFORMES,Tyrannidae,szaroliczek ciemny
5121,Sublegatus modestus,SA,PASSERIFORMES,Tyrannidae,szaroliczek zaroślowy
5122,Inezia tenuirostris,SA,PASSERIFORMES,Tyrannidae,pręgówek cienkodzioby
5123,Inezia inornata,SA,PASSERIFORMES,Tyrannidae,pręgówek ubogi
5124,Inezia subflava,SA,PASSERIFORMES,Tyrannidae,pręgówek płowy
5125,Inezia caudata,SA,PASSERIFORMES,Tyrannidae,pręgówek gujański
5126,Myiophobus flavicans,SA,PASSERIFORMES,Tyrannidae,smugogłówka oliwkowa
5127,Myiophobus phoenicomitra,SA,PASSERIFORMES,Tyrannidae,smugogłówka stokowa
5128,Myiophobus inornatus,SA,PASSERIFORMES,Tyrannidae,smugogłówka skromna
5129,Myiophobus roraimae,SA,PASSERIFORMES,Tyrannidae,smugogłówka brązowa
5130,Myiophobus cryptoxanthus,SA,PASSERIFORMES,Tyrannidae,tyranka kreskowana
5131,Myiophobus fasciatus,"MA, SA",PASSERIFORMES,Tyrannidae,tyranka smugowana
5132,Myiophobus crypterythrus,SA,PASSERIFORMES,Tyrannidae,tyranka szarawa
5133,Myiophobus rufescens,SA,PASSERIFORMES,Tyrannidae,tyranka rdzawa
5134,Nephelomyias pulcher,SA,PASSERIFORMES,Tyrannidae,tyranówka nadobna
5135,Nephelomyias lintoni,SA,PASSERIFORMES,Tyrannidae,tyranówka żółtobrzucha
5136,Nephelomyias ochraceiventris,SA,PASSERIFORMES,Tyrannidae,tyranówka rdzawoszyja
5137,Myiotriccus ornatus,SA,PASSERIFORMES,Tyrannidae,tyranówka ozdobna
5138,Tachuris rubrigastra,SA,PASSERIFORMES,Tyrannidae,tęczak
5139,Culicivora caudacuta,SA,PASSERIFORMES,Tyrannidae,trawniczek
5140,Hemitriccus diops,SA,PASSERIFORMES,Tyrannidae,smukłodziobek szaropierśny
5141,Hemitriccus obsoletus,SA,PASSERIFORMES,Tyrannidae,smukłodziobek bambusowy
5142,Hemitriccus flammulatus,SA,PASSERIFORMES,Tyrannidae,smukłodziobek płowy
5143,Hemitriccus minor,SA,PASSERIFORMES,Tyrannidae,tyraneczek brazylijski
5144,Hemitriccus spodiops,SA,PASSERIFORMES,Tyrannidae,tyraneczek boliwijski
5145,Hemitriccus cohnhafti,SA,PASSERIFORMES,Tyrannidae,tyraneczek zielonogrzbiety
5146,Hemitriccus josephinae,SA,PASSERIFORMES,Tyrannidae,smukłodziobek gujański
5147,Hemitriccus zosterops,SA,PASSERIFORMES,Tyrannidae,tyraneczek szlarnikowy
5148,Hemitriccus griseipectus,SA,PASSERIFORMES,Tyrannidae,tyraneczek szaropierśny
5149,Hemitriccus minimus,SA,PASSERIFORMES,Tyrannidae,tyraneczek amazoński
5150,Hemitriccus orbitatus,SA,PASSERIFORMES,Tyrannidae,smukłodziobek okularowy
5151,Hemitriccus iohannis,SA,PASSERIFORMES,Tyrannidae,smukłodziobek żółtobrzuchy
5152,Hemitriccus striaticollis,SA,PASSERIFORMES,Tyrannidae,smukłodziobek kreskowany
5153,Hemitriccus nidipendulus,SA,PASSERIFORMES,Tyrannidae,smukłodziobek brazylijski
5154,Hemitriccus margaritaceiventer,SA,PASSERIFORMES,Tyrannidae,smukłodziobek brązowogrzbiety
5155,Hemitriccus inornatus,SA,PASSERIFORMES,Tyrannidae,tyraneczek samotny
5156,Hemitriccus granadensis,SA,PASSERIFORMES,Tyrannidae,smukłodziobek czarnobrody
5157,Hemitriccus mirandae,SA,PASSERIFORMES,Tyrannidae,smukłodziobek oliwkowy
5158,Hemitriccus cinnamomeipectus,SA,PASSERIFORMES,Tyrannidae,smukłodziobek cynamonowy
5159,Hemitriccus kaempferi,SA,PASSERIFORMES,Tyrannidae,smukłodziobek bury
5160,Hemitriccus rufigularis,SA,PASSERIFORMES,Tyrannidae,smukłodziobek andyjski
5161,Hemitriccus furcatus,SA,PASSERIFORMES,Tyrannidae,cienkodziobek widłosterny
5162,Myiornis auricularis,SA,PASSERIFORMES,Tyrannidae,tyraneczek uszaty
5163,Myiornis albiventris,SA,PASSERIFORMES,Tyrannidae,tyraneczek białobrzuchy
5164,Myiornis atricapillus,"MA, SA",PASSERIFORMES,Tyrannidae,smukłodziobek czarnołbisty
5165,Myiornis ecaudatus,SA,PASSERIFORMES,Tyrannidae,smukłodziobek krótkosterny
5166,Oncostoma cinereigulare,MA,PASSERIFORMES,Tyrannidae,zgiętodziobek północny
5167,Oncostoma olivaceum,"MA, SA",PASSERIFORMES,Tyrannidae,zgiętodziobek południowy
5168,Lophotriccus pileatus,"MA, SA",PASSERIFORMES,Tyrannidae,łuskoczubek rdzawopióry
5169,Lophotriccus eulophotes,SA,PASSERIFORMES,Tyrannidae,łuskoczubek długopióry
5170,Lophotriccus vitiosus,SA,PASSERIFORMES,Tyrannidae,łuskoczubek czarnopióry
5171,Lophotriccus galeatus,SA,PASSERIFORMES,Tyrannidae,łuskoczubek hełmiasty
5172,Atalotriccus pilaris,"MA, SA",PASSERIFORMES,Tyrannidae,żółtooczek
5173,Poecilotriccus ruficeps,SA,PASSERIFORMES,Tyrannidae,cienkodziobek rudogłowy
5174,Poecilotriccus luluae,SA,PASSERIFORMES,Tyrannidae,cienkodziobek złotobrzuchy
5175,Poecilotriccus albifacies,SA,PASSERIFORMES,Tyrannidae,cienkodziobek białolicy
5176,Poecilotriccus capitalis,SA,PASSERIFORMES,Tyrannidae,cienkodziobek czarno-biały
5177,Poecilotriccus senex,SA,PASSERIFORMES,Tyrannidae,tyraneczek reliktowy
5178,Poecilotriccus russatus,SA,PASSERIFORMES,Tyrannidae,cienkodziobek rdzawy
5179,Poecilotriccus plumbeiceps,SA,PASSERIFORMES,Tyrannidae,cienkodziobek rudolicy
5180,Poecilotriccus fumifrons,SA,PASSERIFORMES,Tyrannidae,cienkodziobek ubogi
5181,Poecilotriccus latirostris,SA,PASSERIFORMES,Tyrannidae,cienkodziobek rdzawoczelny
5182,Poecilotriccus sylvia,"MA, SA",PASSERIFORMES,Tyrannidae,cienkodziobek siwogłowy
5183,Poecilotriccus calopterus,SA,PASSERIFORMES,Tyrannidae,cienkodziobek złotoskrzydły
5184,Poecilotriccus pulchellus,SA,PASSERIFORMES,Tyrannidae,cienkodziobek ozdobny
5185,Taeniotriccus andrei,SA,PASSERIFORMES,Tyrannidae,rdzawoliczek
5186,Todirostrum maculatum,SA,PASSERIFORMES,Tyrannidae,klinodziobek plamisty
5187,Todirostrum poliocephalum,SA,PASSERIFORMES,Tyrannidae,klinodziobek żółtokantarowy
5188,Todirostrum cinereum,"MA, SA",PASSERIFORMES,Tyrannidae,klinodziobek szary
5189,Todirostrum viridanum,SA,PASSERIFORMES,Tyrannidae,klinodziobek wenezuelski
