,IOC,Breeding Range,Order,Family,French
6392,Rhipidura aureola,OR,PASSERIFORMES,Rhipiduridae,Rhipidure à grands sourcils
6393,Rhipidura javanica,OR,PASSERIFORMES,Rhipiduridae,Rhipidure pie
6394,Rhipidura nigritorquis,OR,PASSERIFORMES,Rhipiduridae,Rhipidure de Vigors
6395,Rhipidura perlata,OR,PASSERIFORMES,Rhipiduridae,Rhipidure perlé
6396,Rhipidura leucophrys,AU,PASSERIFORMES,Rhipiduridae,Rhipidure hochequeue
6397,Rhipidura diluta,AU,PASSERIFORMES,Rhipiduridae,Rhipidure à calotte brune
6398,Rhipidura fuscorufa,AU,PASSERIFORMES,Rhipiduridae,Rhipidure brun-roux
6399,Rhipidura rufiventris,AU,PASSERIFORMES,Rhipiduridae,Rhipidure à ventre chamois
6400,Rhipidura kordensis,AU,PASSERIFORMES,Rhipiduridae,Rhipidure de Biak
6401,Rhipidura cockerelli,AU,PASSERIFORMES,Rhipiduridae,Rhipidure de Cockerell
6402,Rhipidura threnothorax,AU,PASSERIFORMES,Rhipiduridae,Rhipidure fuligineux
6403,Rhipidura maculipectus,AU,PASSERIFORMES,Rhipiduridae,Rhipidure maculé
6404,Rhipidura leucothorax,AU,PASSERIFORMES,Rhipiduridae,Rhipidure à poitrine blanche
6405,Rhipidura atra,AU,PASSERIFORMES,Rhipiduridae,Rhipidure noir
6406,Rhipidura hyperythra,AU,PASSERIFORMES,Rhipiduridae,Rhipidure à ventre roux
6407,Rhipidura albolimbata,AU,PASSERIFORMES,Rhipiduridae,Rhipidure familier
6408,Rhipidura albiscapa,AU,PASSERIFORMES,Rhipiduridae,Rhipidure gris
6409,Rhipidura fuliginosa,AU,PASSERIFORMES,Rhipiduridae,Rhipidure à collier
6410,Rhipidura phasiana,AU,PASSERIFORMES,Rhipiduridae,Rhipidure des mangroves
6411,Rhipidura drownei,AU,PASSERIFORMES,Rhipiduridae,Rhipidure brun
6412,Rhipidura tenebrosa,AU,PASSERIFORMES,Rhipiduridae,Rhipidure ombré
6413,Rhipidura rennelliana,AU,PASSERIFORMES,Rhipiduridae,Rhipidure de Rennell
6414,Rhipidura verreauxi,PO,PASSERIFORMES,Rhipiduridae,Rhipidure tacheté
6415,Rhipidura personata,PO,PASSERIFORMES,Rhipiduridae,Rhipidure de Kandavu
6416,Rhipidura nebulosa,PO,PASSERIFORMES,Rhipiduridae,Rhipidure des Samoa
6417,Rhipidura phoenicura,OR,PASSERIFORMES,Rhipiduridae,Rhipidure rougequeue
6418,Rhipidura nigrocinnamomea,OR,PASSERIFORMES,Rhipiduridae,Rhipidure noir et roux
6419,Rhipidura brachyrhyncha,AU,PASSERIFORMES,Rhipiduridae,Rhipidure dimorphe
6420,Rhipidura lepida,PO,PASSERIFORMES,Rhipiduridae,Rhipidure des Palau
6421,Rhipidura dedemi,AU,PASSERIFORMES,Rhipiduridae,Rhipidure de Céram
6422,Rhipidura superflua,AU,PASSERIFORMES,Rhipiduridae,Rhipidure de Buru
6423,Rhipidura teysmanni,AU,PASSERIFORMES,Rhipiduridae,Rhipidure des Célèbes
6424,Rhipidura habibiei,AU,PASSERIFORMES,Rhipiduridae,Rhipidure de Peleng
6425,Rhipidura sulaensis,AU,PASSERIFORMES,Rhipiduridae,Rhipidure des Sula
6426,Rhipidura opistherythra,AU,PASSERIFORMES,Rhipiduridae,Rhipidure des Tanimbar
6427,Rhipidura rufidorsa,AU,PASSERIFORMES,Rhipiduridae,Rhipidure à dos roux
6428,Rhipidura dahli,AU,PASSERIFORMES,Rhipiduridae,Rhipidure des Bismarck
6429,Rhipidura matthiae,AU,PASSERIFORMES,Rhipiduridae,Rhipidure des Saint-Matthias
6430,Rhipidura malaitae,AU,PASSERIFORMES,Rhipiduridae,Rhipidure de Malaita
6431,Rhipidura semirubra,AU,PASSERIFORMES,Rhipiduridae,Rhipidure de l’Amirauté
6432,Rhipidura rufifrons,"AU, PO",PASSERIFORMES,Rhipiduridae,Rhipidure roux
6433,Rhipidura kubaryi,PO,PASSERIFORMES,Rhipiduridae,Rhipidure de Ponapé
6434,Rhipidura dryas,AU,PASSERIFORMES,Rhipiduridae,Rhipidure dryade
6435,Chaetorhynchus papuensis,AU,PASSERIFORMES,Rhipiduridae,Chétorhynche papou
6436,Eutrichomyias rowleyi,AU,PASSERIFORMES,Rhipiduridae,Eutrichome de Rowley
6437,Lamprolia klinesmithi,PO,PASSERIFORMES,Rhipiduridae,Lamprolie de Vanua Levu
6438,Lamprolia victoriae,PO,PASSERIFORMES,Rhipiduridae,Lamprolie queue-de-soie
6439,Hypothymis azurea,OR,PASSERIFORMES,Monarchidae,Tchitrec azuré
6440,Hypothymis puella,AU,PASSERIFORMES,Monarchidae,Tchitrec des Célèbes
6441,Hypothymis helenae,OR,PASSERIFORMES,Monarchidae,Tchitrec d’Hélène
6442,Hypothymis coelestis,OR,PASSERIFORMES,Monarchidae,Tchitrec céleste
6443,Trochocercus cyanomelas,AF,PASSERIFORMES,Monarchidae,Tchitrec du Cap
6444,Trochocercus nitens,AF,PASSERIFORMES,Monarchidae,Tchitrec noir
6445,Terpsiphone bedfordi,AF,PASSERIFORMES,Monarchidae,Tchitrec de Bedford
6446,Terpsiphone rufocinerea,AF,PASSERIFORMES,Monarchidae,Tchitrec du Congo
6447,Terpsiphone rufiventer,AF,PASSERIFORMES,Monarchidae,Tchitrec à ventre roux
6448,Terpsiphone smithii,AF,PASSERIFORMES,Monarchidae,Tchitrec d’Annobon
6449,Terpsiphone batesi,AF,PASSERIFORMES,Monarchidae,Tchitrec de Bates
6450,Terpsiphone viridis,AF,PASSERIFORMES,Monarchidae,Tchitrec d’Afrique
6451,Terpsiphone paradisi,OR,PASSERIFORMES,Monarchidae,Tchitrec de paradis
6452,Terpsiphone affinis,OR,PASSERIFORMES,Monarchidae,Tchitrec de Blyth
6453,Terpsiphone floris,AU,PASSERIFORMES,Monarchidae,Tchitrec de la Sonde
6454,Terpsiphone incei,OR,PASSERIFORMES,Monarchidae,Tchitrec de Chine
6455,Terpsiphone atrocaudata,PAL,PASSERIFORMES,Monarchidae,Tchitrec du Japon
6456,Terpsiphone cyanescens,OR,PASSERIFORMES,Monarchidae,Tchitrec de Palawan
6457,Terpsiphone cinnamomea,OR,PASSERIFORMES,Monarchidae,Tchitrec roux
6458,Terpsiphone atrochalybeia,AF,PASSERIFORMES,Monarchidae,Tchitrec de Sao Tomé
6459,Terpsiphone mutata,AF,PASSERIFORMES,Monarchidae,Tchitrec malgache
6460,Terpsiphone corvina,IO,PASSERIFORMES,Monarchidae,Tchitrec des Seychelles
6461,Terpsiphone bourbonnensis,IO,PASSERIFORMES,Monarchidae,Tchitrec des Mascareignes
6462,Chasiempis sclateri,PO,PASSERIFORMES,Monarchidae,Monarque de Kauai
6463,Chasiempis ibidis,PO,PASSERIFORMES,Monarchidae,Monarque d’Oahu
6464,Chasiempis sandwichensis,PO,PASSERIFORMES,Monarchidae,Monarque d’Hawaï
6465,Pomarea dimidiata,PO,PASSERIFORMES,Monarchidae,Monarque de Rarotonga
6466,Pomarea nigra,PO,PASSERIFORMES,Monarchidae,Monarque de Tahiti
6467,Pomarea mendozae,PO,PASSERIFORMES,Monarchidae,Monarque des Marquises
6468,Pomarea mira,PO,PASSERIFORMES,Monarchidae,Monarque de Ua Pou
6469,Pomarea iphis,PO,PASSERIFORMES,Monarchidae,Monarque iphis
6470,Pomarea whitneyi,PO,PASSERIFORMES,Monarchidae,Monarque de Fatu Hiva
6471,Mayrornis schistaceus,AU,PASSERIFORMES,Monarchidae,Monarque schistacé
6472,Mayrornis versicolor,PO,PASSERIFORMES,Monarchidae,Monarque versicolore
6473,Mayrornis lessoni,PO,PASSERIFORMES,Monarchidae,Monarque de Lesson
6474,Neolalage banksiana,AU,PASSERIFORMES,Monarchidae,Monarque des Banks
6475,Clytorhynchus pachycephaloides,AU,PASSERIFORMES,Monarchidae,Monarque brun
6476,Clytorhynchus vitiensis,PO,PASSERIFORMES,Monarchidae,Monarque des Fidji
6477,Clytorhynchus nigrogularis,PO,PASSERIFORMES,Monarchidae,Monarque à gorge noire
6478,Clytorhynchus sanctaecrucis,PO,PASSERIFORMES,Monarchidae,Monarque des Santa Cruz
6479,Clytorhynchus hamlini,AU,PASSERIFORMES,Monarchidae,Monarque de Rennell
6480,Metabolus rugensis,PO,PASSERIFORMES,Monarchidae,Monarque de Truk
6481,Symposiachrus axillaris,AU,PASSERIFORMES,Monarchidae,Monarque noir
6482,Symposiachrus guttula,AU,PASSERIFORMES,Monarchidae,Monarque à ailes tachetées
6483,Symposiachrus mundus,AU,PASSERIFORMES,Monarchidae,Monarque à menton noir
6484,Symposiachrus sacerdotum,AU,PASSERIFORMES,Monarchidae,Monarque de Florès
6485,Symposiachrus boanensis,AU,PASSERIFORMES,Monarchidae,Monarque de Boano
6486,Symposiachrus melanopterus,AU,PASSERIFORMES,Monarchidae,Monarque de Louisiade
6487,Symposiachrus trivirgatus,AU,PASSERIFORMES,Monarchidae,Monarque à lunettes
6488,Symposiachrus bimaculatus,AU,PASSERIFORMES,Monarchidae,Monarque bimaculé
6489,Symposiachrus leucurus,AU,PASSERIFORMES,Monarchidae,Monarque des Kai
6490,Symposiachrus everetti,AU,PASSERIFORMES,Monarchidae,Monarque d’Everett
6491,Symposiachrus loricatus,AU,PASSERIFORMES,Monarchidae,Monarque de Buru
6492,Symposiachrus julianae,AU,PASSERIFORMES,Monarchidae,Monarque de Kofiau
6493,Symposiachrus brehmii,AU,PASSERIFORMES,Monarchidae,Monarque de Brehm
6494,Symposiachrus manadensis,AU,PASSERIFORMES,Monarchidae,Monarque à capuchon
6495,Symposiachrus infelix,AU,PASSERIFORMES,Monarchidae,Monarque triste
6496,Symposiachrus menckei,AU,PASSERIFORMES,Monarchidae,Monarque des Saint-Matthias
6497,Symposiachrus verticalis,AU,PASSERIFORMES,Monarchidae,Monarque des Bismarck
6498,Symposiachrus barbatus,AU,PASSERIFORMES,Monarchidae,Monarque pie
6499,Symposiachrus browni,AU,PASSERIFORMES,Monarchidae,Monarque de Brown
6500,Symposiachrus vidua,AU,PASSERIFORMES,Monarchidae,Monarque à col blanc
6501,Symposiachrus rubiensis,AU,PASSERIFORMES,Monarchidae,Monarque roux
6502,Monarcha cinerascens,AU,PASSERIFORMES,Monarchidae,Monarque des îles
6503,Monarcha melanopsis,AU,PASSERIFORMES,Monarchidae,Monarque à face noire
6504,Monarcha frater,AU,PASSERIFORMES,Monarchidae,Monarque à ailes noires
6505,Monarcha erythrostictus,AU,PASSERIFORMES,Monarchidae,Monarque de Bougainville
6506,Monarcha castaneiventris,AU,PASSERIFORMES,Monarchidae,Monarque à ventre marron
6507,Monarcha richardsii,AU,PASSERIFORMES,Monarchidae,Monarque de Richards
6508,Monarcha godeffroyi,PO,PASSERIFORMES,Monarchidae,Monarque de Yap
6509,Monarcha takatsukasae,PO,PASSERIFORMES,Monarchidae,Monarque de Tinian
6510,Carterornis leucotis,AU,PASSERIFORMES,Monarchidae,Monarque oreillard
6511,Carterornis pileatus,AU,PASSERIFORMES,Monarchidae,Monarque à nuque blanche
6512,Carterornis castus,AU,PASSERIFORMES,Monarchidae,Monarque des Tanimbar
6513,Carterornis chrysomela,AU,PASSERIFORMES,Monarchidae,Monarque doré
6514,Arses insularis,AU,PASSERIFORMES,Monarchidae,Monarque à froc roux
6515,Arses telescopthalmus,AU,PASSERIFORMES,Monarchidae,Monarque à collerette
6516,Arses lorealis,AU,PASSERIFORMES,Monarchidae,Monarque ruché
6517,Arses kaupi,AU,PASSERIFORMES,Monarchidae,Monarque sanglé
6518,Grallina cyanoleuca,AU,PASSERIFORMES,Monarchidae,Gralline pie
6519,Grallina bruijnii,AU,PASSERIFORMES,Monarchidae,Gralline papoue
6520,Myiagra oceanica,PO,PASSERIFORMES,Monarchidae,Monarque océanite
6521,Myiagra erythrops,PO,PASSERIFORMES,Monarchidae,Monarque des Palau
6522,Myiagra pluto,PO,PASSERIFORMES,Monarchidae,Monarque de Ponapé
6523,Myiagra galeata,AU,PASSERIFORMES,Monarchidae,Monarque des Moluques
6524,Myiagra atra,AU,PASSERIFORMES,Monarchidae,Monarque de Biak
6525,Myiagra rubecula,AU,PASSERIFORMES,Monarchidae,Monarque rougegorge
6526,Myiagra ferrocyanea,AU,PASSERIFORMES,Monarchidae,Monarque acier
6527,Myiagra cervinicauda,AU,PASSERIFORMES,Monarchidae,Monarque de San Cristobal
6528,Myiagra caledonica,AU,PASSERIFORMES,Monarchidae,Monarque mélanésien
6529,Myiagra vanikorensis,PO,PASSERIFORMES,Monarchidae,Monarque de Vanikoro
6530,Myiagra albiventris,PO,PASSERIFORMES,Monarchidae,Monarque des Samoa
6531,Myiagra azureocapilla,PO,PASSERIFORMES,Monarchidae,Monarque à crête bleue
6532,Myiagra castaneigularis,PO,PASSERIFORMES,Monarchidae,Monarque à gorge marron
6533,Myiagra ruficollis,AU,PASSERIFORMES,Monarchidae,Monarque à bec large
6534,Myiagra cyanoleuca,AU,PASSERIFORMES,Monarchidae,Monarque satiné
6535,Myiagra alecto,AU,PASSERIFORMES,Monarchidae,Monarque luisant
6536,Myiagra hebetior,AU,PASSERIFORMES,Monarchidae,Monarque terne
6537,Myiagra eichhorni,AU,PASSERIFORMES,Monarchidae,Monarque d’Eichhorn
6538,Myiagra cervinicolor,AU,PASSERIFORMES,Monarchidae,Monarque de Djaul
6539,Myiagra nana,AU,PASSERIFORMES,Monarchidae,Monarque menu
6540,Myiagra inquieta,AU,PASSERIFORMES,Monarchidae,Monarque infatigable
6541,Platylophus galericulatus,OR,PASSERIFORMES,Platylophidae,Platylophe longup
6542,Eurocephalus ruppelli,AF,PASSERIFORMES,Laniidae,Eurocéphale de Rüppell
6543,Eurocephalus anguitimens,AF,PASSERIFORMES,Laniidae,Eurocéphale à couronne blanche
6544,Lanius corvinus,AF,PASSERIFORMES,Laniidae,Corvinelle à bec jaune
6545,Lanius melanoleucus,AF,PASSERIFORMES,Laniidae,Corvinelle noir et blanc
6546,Lanius cabanisi,AF,PASSERIFORMES,Laniidae,Pie-grièche à longue queue
6547,Lanius excubitoroides,AF,PASSERIFORMES,Laniidae,Pie-grièche à dos gris
6548,Lanius dorsalis,AF,PASSERIFORMES,Laniidae,Pie-grièche du Taita
6549,Lanius excubitor,"PAL, AF",PASSERIFORMES,Laniidae,Pie-grièche grise
6550,Lanius somalicus,AF,PASSERIFORMES,Laniidae,Pie-grièche de Somalie
6551,Lanius ludovicianus,"NA, MA",PASSERIFORMES,Laniidae,Pie-grièche migratrice
6552,Lanius giganteus,PAL,PASSERIFORMES,Laniidae,Pie-grièche géante
6553,Lanius sphenocercus,PAL,PASSERIFORMES,Laniidae,Pie-grièche de Cabanis
6554,Lanius meridionalis,PAL,PASSERIFORMES,Laniidae,Pie-grièche méridionale
6555,Lanius borealis,"NA, PAL",PASSERIFORMES,Laniidae,Pie-grièche boréale
6556,Lanius nubicus,PAL,PASSERIFORMES,Laniidae,Pie-grièche masquée
6557,Lanius newtoni,AF,PASSERIFORMES,Laniidae,Pie-grièche de Sao Tomé
6558,Lanius humeralis,AF,PASSERIFORMES,Laniidae,Pie-grièche à dos noir
6559,Lanius gubernator,AF,PASSERIFORMES,Laniidae,Pie-grièche à dos roux
6560,Lanius mackinnoni,AF,PASSERIFORMES,Laniidae,Pie-grièche de Mackinnon
6561,Lanius souzae,AF,PASSERIFORMES,Laniidae,Pie-grièche de Sousa
6562,Lanius collaris,AF,PASSERIFORMES,Laniidae,Pie-grièche fiscale
6563,Lanius minor,PAL,PASSERIFORMES,Laniidae,Pie-grièche à poitrine rose
6564,Lanius senator,PAL,PASSERIFORMES,Laniidae,Pie-grièche à tête rousse
6565,Lanius collurioides,OR,PASSERIFORMES,Laniidae,Pie-grièche à dos marron
6566,Lanius tigrinus,PAL,PASSERIFORMES,Laniidae,Pie-grièche tigrine
6567,Lanius vittatus,PAL,PASSERIFORMES,Laniidae,Pie-grièche à bandeau
6568,Lanius isabellinus,PAL,PASSERIFORMES,Laniidae,Pie-grièche isabelle
6569,Lanius collurio,PAL,PASSERIFORMES,Laniidae,Pie-grièche écorcheur
6570,Lanius phoenicuroides,OR,PASSERIFORMES,Laniidae,Pie-grièche du Turkestan
6571,Lanius validirostris,OR,PASSERIFORMES,Laniidae,Pie-grièche des Philippines
6572,Lanius cristatus,PAL,PASSERIFORMES,Laniidae,Pie-grièche brune
6573,Lanius bucephalus,PAL,PASSERIFORMES,Laniidae,Pie-grièche bucéphale
6574,Lanius schach,"OR, AU",PASSERIFORMES,Laniidae,Pie-grièche schach
6575,Lanius tephronotus,PAL,PASSERIFORMES,Laniidae,Pie-grièche du Tibet
6576,Platysmurus leucopterus,OR,PASSERIFORMES,Corvidae,Platysmure à ailes blanches
6577,Platysmurus aterrimus,OR,PASSERIFORMES,Corvidae,Platysmure de Bornéo
6578,Perisoreus infaustus,PAL,PASSERIFORMES,Corvidae,Mésangeai imitateur
6579,Perisoreus internigrans,PAL,PASSERIFORMES,Corvidae,Mésangeai du Sichuan
6580,Cyanolyca armillata,SA,PASSERIFORMES,Corvidae,Geai à collier
6581,Cyanolyca viridicyanus,SA,PASSERIFORMES,Corvidae,Geai indigo
6582,Cyanolyca turcosa,SA,PASSERIFORMES,Corvidae,Geai turquoise
6583,Cyanolyca pulchra,SA,PASSERIFORMES,Corvidae,Geai superbe
6584,Cyanolyca cucullata,MA,PASSERIFORMES,Corvidae,Geai couronné
6585,Cyanolyca pumilo,MA,PASSERIFORMES,Corvidae,Geai à gorge noire
6586,Cyanolyca nanus,MA,PASSERIFORMES,Corvidae,Geai nain
6587,Cyanolyca mirabilis,MA,PASSERIFORMES,Corvidae,Geai masqué
6588,Cyanolyca argentigula,MA,PASSERIFORMES,Corvidae,Geai à gorge argentée
6589,Cyanocorax melanocyaneus,MA,PASSERIFORMES,Corvidae,Geai houppé
6590,Cyanocorax sanblasianus,MA,PASSERIFORMES,Corvidae,Geai de San Blas
6591,Cyanocorax yucatanicus,MA,PASSERIFORMES,Corvidae,Geai du Yucatan
6592,Cyanocorax beecheii,MA,PASSERIFORMES,Corvidae,Geai à dos violet
6593,Cyanocorax violaceus,SA,PASSERIFORMES,Corvidae,Geai violacé
6594,Cyanocorax caeruleus,SA,PASSERIFORMES,Corvidae,Geai azuré
6595,Cyanocorax cyanomelas,SA,PASSERIFORMES,Corvidae,Geai bleu-noir
6596,Cyanocorax cristatellus,SA,PASSERIFORMES,Corvidae,Geai à plumet
6597,Cyanocorax dickeyi,MA,PASSERIFORMES,Corvidae,Geai panaché
6598,Cyanocorax affinis,"MA, SA",PASSERIFORMES,Corvidae,Geai à poitrine noire
6599,Cyanocorax mystacalis,SA,PASSERIFORMES,Corvidae,Geai à moustaches
6600,Cyanocorax cayanus,SA,PASSERIFORMES,Corvidae,Geai de Cayenne
6601,Cyanocorax heilprini,SA,PASSERIFORMES,Corvidae,Geai à calotte azur
6602,Cyanocorax chrysops,SA,PASSERIFORMES,Corvidae,Geai acahé
6603,Cyanocorax cyanopogon,SA,PASSERIFORMES,Corvidae,Geai à nuque blanche
6604,Cyanocorax luxuosus,MA,PASSERIFORMES,Corvidae,Geai vert
6605,Cyanocorax yncas,SA,PASSERIFORMES,Corvidae,Geai inca
6606,Psilorhinus morio,MA,PASSERIFORMES,Corvidae,Geai enfumé
6607,Calocitta colliei,MA,PASSERIFORMES,Corvidae,Geai à face noire
6608,Calocitta formosa,MA,PASSERIFORMES,Corvidae,Geai à face blanche
6609,Cyanocitta stelleri,"NA, MA",PASSERIFORMES,Corvidae,Geai de Steller
6610,Aphelocoma wollweberi,"NA, MA",PASSERIFORMES,Corvidae,Geai du Mexique
6611,Aphelocoma ultramarina,MA,PASSERIFORMES,Corvidae,Geai des volcans
6612,Aphelocoma unicolor,MA,PASSERIFORMES,Corvidae,Geai unicolore
6613,Aphelocoma californica,"NA, MA",PASSERIFORMES,Corvidae,Geai buissonnier
6614,Aphelocoma woodhouseii,"NA, MA",PASSERIFORMES,Corvidae,Geai de Woodhouse
6615,Garrulus glandarius,"PAL, OR",PASSERIFORMES,Corvidae,Geai des chênes
6616,Garrulus lanceolatus,PAL,PASSERIFORMES,Corvidae,Geai lancéolé
6617,Garrulus lidthi,PAL,PASSERIFORMES,Corvidae,Geai de Lidth
6618,Cyanopica cyanus,PAL,PASSERIFORMES,Corvidae,Pie-bleue à calotte noire
6619,Cyanopica cooki,PAL,PASSERIFORMES,Corvidae,Pie-bleue ibérique
6620,Urocissa ornata,OR,PASSERIFORMES,Corvidae,Pirolle de Ceylan
6621,Urocissa caerulea,OR,PASSERIFORMES,Corvidae,Pirolle de Taïwan
6622,Urocissa flavirostris,OR,PASSERIFORMES,Corvidae,Pirolle à bec jaune
6623,Urocissa erythroryncha,OR,PASSERIFORMES,Corvidae,Pirolle à bec rouge
6624,Urocissa whiteheadi,OR,PASSERIFORMES,Corvidae,Pirolle de Whitehead
6625,Cissa chinensis,OR,PASSERIFORMES,Corvidae,Pirolle verte
6626,Cissa hypoleuca,OR,PASSERIFORMES,Corvidae,Pirolle à ventre jaune
6627,Cissa thalassina,OR,PASSERIFORMES,Corvidae,Pirolle à queue courte
6628,Cissa jefferyi,OR,PASSERIFORMES,Corvidae,Pirolle de Bornéo
6629,Dendrocitta vagabunda,OR,PASSERIFORMES,Corvidae,Témia vagabonde
6630,Dendrocitta occipitalis,OR,PASSERIFORMES,Corvidae,Témia coiffée
6631,Dendrocitta cinerascens,OR,PASSERIFORMES,Corvidae,Témia de Bornéo
6632,Dendrocitta formosae,OR,PASSERIFORMES,Corvidae,Témia de Swinhoe
6633,Dendrocitta leucogastra,OR,PASSERIFORMES,Corvidae,Témia à ventre blanc
6634,Dendrocitta frontalis,OR,PASSERIFORMES,Corvidae,Témia masquée
6635,Dendrocitta bayleii,OR,PASSERIFORMES,Corvidae,Témia des Andaman
6636,Crypsirina temia,OR,PASSERIFORMES,Corvidae,Témia bronzée
6637,Crypsirina cucullata,OR,PASSERIFORMES,Corvidae,Témia à collier
6638,Temnurus temnurus,OR,PASSERIFORMES,Corvidae,Témia temnure
6639,Pica pica,PAL,PASSERIFORMES,Corvidae,Pie bavarde
6640,Pica mauritanica,AF,PASSERIFORMES,Corvidae,Pie du Maghreb
6641,Pica asirensis,PAL,PASSERIFORMES,Corvidae,Pie d’Arabie
6642,Pica bottanensis,OR,PASSERIFORMES,Corvidae,Pie de Delessert
6643,Pica serica,OR,PASSERIFORMES,Corvidae,Pie orientale
6644,Zavattariornis stresemanni,AF,PASSERIFORMES,Corvidae,Corbin de Stresemann
6645,Podoces hendersoni,PAL,PASSERIFORMES,Corvidae,Podoce de Henderson
6646,Podoces biddulphi,PAL,PASSERIFORMES,Corvidae,Podoce de Biddulph
6647,Podoces panderi,PAL,PASSERIFORMES,Corvidae,Podoce de Pander
6648,Podoces pleskei,PAL,PASSERIFORMES,Corvidae,Podoce de Pleske
6649,Nucifraga caryocatactes,PAL,PASSERIFORMES,Corvidae,Cassenoix moucheté
6650,Nucifraga multipunctata,PAL,PASSERIFORMES,Corvidae,Cassenoix du Cachemire
6651,Pyrrhocorax pyrrhocorax,PAL,PASSERIFORMES,Corvidae,Crave à bec rouge
6652,Pyrrhocorax graculus,PAL,PASSERIFORMES,Corvidae,Chocard à bec jaune
6653,Ptilostomus afer,AF,PASSERIFORMES,Corvidae,Piapiac africain
6654,Coloeus monedula,PAL,PASSERIFORMES,Corvidae,Choucas des tours
6655,Coloeus dauuricus,PAL,PASSERIFORMES,Corvidae,Choucas de Daourie
6656,Corvus splendens,OR,PASSERIFORMES,Corvidae,Corbeau familier
6657,Corvus moneduloides,AU,PASSERIFORMES,Corvidae,Corbeau calédonien
6658,Corvus typicus,AU,PASSERIFORMES,Corvidae,Corneille des Célèbes
6659,Corvus unicolor,AU,PASSERIFORMES,Corvidae,Corneille des Banggai
6660,Corvus enca,"OR, AU",PASSERIFORMES,Corvidae,Corneille à bec fin
6661,Corvus samarensis,OR,PASSERIFORMES,Corvidae,Corneille de Samar
6662,Corvus pusillus,OR,PASSERIFORMES,Corvidae,Corneille de Palawan
6663,Corvus violaceus,AU,PASSERIFORMES,Corvidae,Corneille violacée
6664,Corvus florensis,AU,PASSERIFORMES,Corvidae,Corneille de Florès
6665,Corvus kubaryi,PO,PASSERIFORMES,Corvidae,Corneille de Guam
6666,Corvus validus,AU,PASSERIFORMES,Corvidae,Corneille des Moluques
6667,Corvus woodfordi,AU,PASSERIFORMES,Corvidae,Corneille à bec blanc
6668,Corvus meeki,AU,PASSERIFORMES,Corvidae,Corneille de Meek
6669,Corvus fuscicapillus,AU,PASSERIFORMES,Corvidae,Corneille à tête brune
6670,Corvus tristis,AU,PASSERIFORMES,Corvidae,Corneille grise
6671,Corvus capensis,AF,PASSERIFORMES,Corvidae,Corneille du Cap
6672,Corvus frugilegus,PAL,PASSERIFORMES,Corvidae,Corbeau freux
6673,Corvus imparatus,"NA, MA",PASSERIFORMES,Corvidae,Corneille du Mexique
6674,Corvus sinaloae,MA,PASSERIFORMES,Corvidae,Corneille du Sinaloa
6675,Corvus hawaiiensis,PO,PASSERIFORMES,Corvidae,Corneille d’Hawaï
6676,Corvus corone,PAL,PASSERIFORMES,Corvidae,Corneille noire
6677,Corvus cornix,PAL,PASSERIFORMES,Corvidae,Corneille mantelée
6678,Corvus torquatus,"PAL, OR",PASSERIFORMES,Corvidae,Corbeau à collier
6679,Corvus macrorhynchos,"PAL, OR",PASSERIFORMES,Corvidae,Corbeau à gros bec
6680,Corvus levaillantii,OR,PASSERIFORMES,Corvidae,Corbeau de Levaillant
6681,Corvus culminatus,OR,PASSERIFORMES,Corvidae,Corbeau indien
6682,Corvus orru,AU,PASSERIFORMES,Corvidae,Corbeau de Torres
6683,Corvus insularis,AU,PASSERIFORMES,Corvidae,Corneille des Bismarck
6684,Corvus bennetti,AU,PASSERIFORMES,Corvidae,Corbeau du désert
6685,Corvus tasmanicus,AU,PASSERIFORMES,Corvidae,Corbeau de Tasmanie
6686,Corvus mellori,AU,PASSERIFORMES,Corvidae,Petit Corbeau
6687,Corvus coronoides,AU,PASSERIFORMES,Corvidae,Corbeau d’Australie
6688,Corvus albus,AF,PASSERIFORMES,Corvidae,Corbeau pie
6689,Corvus ruficollis,"AF, PAL",PASSERIFORMES,Corvidae,Corbeau brun
6690,Corvus edithae,AF,PASSERIFORMES,Corvidae,Corbeau d’Edith
6691,Corvus corax,"NA, MA, PAL",PASSERIFORMES,Corvidae,Grand Corbeau
6692,Corvus cryptoleucus,"NA, MA",PASSERIFORMES,Corvidae,Corbeau à cou blanc
6693,Corvus rhipidurus,"AF, PAL",PASSERIFORMES,Corvidae,Corbeau à queue courte
6694,Corvus albicollis,AF,PASSERIFORMES,Corvidae,Corbeau à nuque blanche
6695,Corvus crassirostris,AF,PASSERIFORMES,Corvidae,Corbeau corbivau
6696,Corcorax melanorhamphos,AU,PASSERIFORMES,Corcoracidae,Corbicrave leucoptère
6697,Struthidea cinerea,AU,PASSERIFORMES,Corcoracidae,Apôtre gris
6698,Melampitta lugubris,AU,PASSERIFORMES,Melampittidae,Petite Mélampitte
6699,Megalampitta gigantea,AU,PASSERIFORMES,Melampittidae,Grande Mélampitte
6700,Ifrita kowaldi,AU,PASSERIFORMES,Ifritidae,Ifrita de Kowald
6701,Lycocorax pyrrhopterus,AU,PASSERIFORMES,Paradisaeidae,Paradisier corvin
6702,Lycocorax obiensis,AU,PASSERIFORMES,Paradisaeidae,Paradisier d’Obi
6703,Manucodia ater,AU,PASSERIFORMES,Paradisaeidae,Paradisier noir
6704,Manucodia alter,AU,PASSERIFORMES,Paradisaeidae,Paradisier de Tagula
