,IOC,Breeding Range,Order,Family,French
133,Spatula versicolor,SA,ANSERIFORMES,Anatidae,Sarcelle bariolée
134,Spatula platalea,SA,ANSERIFORMES,Anatidae,Canard spatule
135,Spatula cyanoptera,"NA, MA, SA",ANSERIFORMES,Anatidae,Sarcelle cannelle
136,Spatula smithii,AF,ANSERIFORMES,Anatidae,Canard de Smith
137,Spatula rhynchotis,AU,ANSERIFORMES,Anatidae,Canard bridé
138,Spatula clypeata,"NA, PAL",ANSERIFORMES,Anatidae,Canard souchet
139,Mareca strepera,"NA, PAL",ANSERIFORMES,Anatidae,Canard chipeau
140,Mareca falcata,PAL,ANSERIFORMES,Anatidae,Canard à faucilles
141,Mareca penelope,PAL,ANSERIFORMES,Anatidae,Canard siffleur
142,Mareca sibilatrix,SA,ANSERIFORMES,Anatidae,Canard de Chiloé
143,Anas sparsa,AF,ANSERIFORMES,Anatidae,Canard noirâtre
144,Anas undulata,AF,ANSERIFORMES,Anatidae,Canard à bec jaune
145,Anas melleri,AF,ANSERIFORMES,Anatidae,Canard de Meller
146,Anas superciliosa,AU,ANSERIFORMES,Anatidae,Canard à sourcils
147,Anas laysanensis,PO,ANSERIFORMES,Anatidae,Canard de Laysan
148,Anas wyvilliana,PO,ANSERIFORMES,Anatidae,Canard des Hawaï
149,Anas luzonica,OR,ANSERIFORMES,Anatidae,Canard des Philippines
150,Anas poecilorhyncha,OR,ANSERIFORMES,Anatidae,Canard à bec tacheté
151,Anas zonorhyncha,OR,ANSERIFORMES,Anatidae,Canard de Chine
152,Anas platyrhynchos,"NA, PAL",ANSERIFORMES,Anatidae,Canard colvert
153,Anas diazi,"NA, MA",ANSERIFORMES,Anatidae,Canard du Mexique
154,Anas capensis,AF,ANSERIFORMES,Anatidae,Canard du Cap
155,Anas bahamensis,"SA, NA",ANSERIFORMES,Anatidae,Canard des Bahamas
156,Anas erythrorhyncha,AF,ANSERIFORMES,Anatidae,Canard à bec rouge
157,Anas georgica,SA,ANSERIFORMES,Anatidae,Canard à queue pointue
