,IOC,Breeding Range,Order,Family,Serbian
114,Tadorna variegata,AU,ANSERIFORMES,Anatidae,Rajska utva
115,Malacorhynchus membranaceus,AU,ANSERIFORMES,Anatidae,Zebrasta plovka kašikara
116,Salvadorina waigiuensis,AU,ANSERIFORMES,Anatidae,Novogvinejska patka iz brzaka
117,Cairina moschata,"NA, MA, SA",ANSERIFORMES,Anatidae,Mošusna patka
118,Asarcornis scutulata,OR,ANSERIFORMES,Anatidae,Belokrila patka
119,Pteronetta hartlaubii,AF,ANSERIFORMES,Anatidae,Gvinejska patka
120,Aix galericulata,PAL,ANSERIFORMES,Anatidae,Mandarinka
121,Chenonetta jubata,AU,ANSERIFORMES,Anatidae,Grivasta patka
122,Nettapus auritus,AF,ANSERIFORMES,Anatidae,Afrička patuljasta guska
123,Nettapus coromandelianus,OR,ANSERIFORMES,Anatidae,Indomalajska patuljasta guska
124,Nettapus pulchellus,AU,ANSERIFORMES,Anatidae,Zelena patuljasta guska
125,Amazonetta brasiliensis,SA,ANSERIFORMES,Anatidae,Brazilska krdža
126,Callonetta leucophrys,SA,ANSERIFORMES,Anatidae,Ogrličasta krdža
127,Lophonetta specularioides,SA,ANSERIFORMES,Anatidae,Južnoamerička ćubasta patka
128,Speculanas specularis,SA,ANSERIFORMES,Anatidae,Naočarasta patka
129,Sibirionetta formosa,PAL,ANSERIFORMES,Anatidae,Sibirska krdža
130,Spatula querquedula,PAL,ANSERIFORMES,Anatidae,Grogotovac
131,Spatula hottentota,AF,ANSERIFORMES,Anatidae,Afrička krdža
132,Spatula puna,SA,ANSERIFORMES,Anatidae,Punska krdža
133,Spatula versicolor,SA,ANSERIFORMES,Anatidae,Srebrna krdža
134,Spatula platalea,SA,ANSERIFORMES,Anatidae,Crvena plovka kašikara
135,Spatula cyanoptera,"NA, MA, SA",ANSERIFORMES,Anatidae,Cimetasta krdža
136,Spatula smithii,AF,ANSERIFORMES,Anatidae,Kapska plovka kašikara
137,Spatula rhynchotis,AU,ANSERIFORMES,Anatidae,Australijska plovka kašikara
138,Spatula clypeata,"NA, PAL",ANSERIFORMES,Anatidae,Plovka kašikara
139,Mareca strepera,"NA, PAL",ANSERIFORMES,Anatidae,Čegrtuša
140,Mareca falcata,PAL,ANSERIFORMES,Anatidae,Kineska krdža
141,Mareca penelope,PAL,ANSERIFORMES,Anatidae,Zviždara
142,Mareca sibilatrix,SA,ANSERIFORMES,Anatidae,Patagonska zviždara
143,Anas sparsa,AF,ANSERIFORMES,Anatidae,Afrička crna plovka
144,Anas undulata,AF,ANSERIFORMES,Anatidae,Žutokljuna plovka
145,Anas melleri,AF,ANSERIFORMES,Anatidae,Melerova plovka
146,Anas superciliosa,AU,ANSERIFORMES,Anatidae,Pacifička crna plovka
147,Anas laysanensis,PO,ANSERIFORMES,Anatidae,Lajsanska plovka
148,Anas wyvilliana,PO,ANSERIFORMES,Anatidae,Havajska plovka
149,Anas luzonica,OR,ANSERIFORMES,Anatidae,Filipinska plovka
150,Anas poecilorhyncha,OR,ANSERIFORMES,Anatidae,Indijska plovka pegavog kljuna
151,Anas zonorhyncha,OR,ANSERIFORMES,Anatidae,Istočna plovka pegavog kljuna
152,Anas platyrhynchos,"NA, PAL",ANSERIFORMES,Anatidae,Gluvara
153,Anas diazi,"NA, MA",ANSERIFORMES,Anatidae,Meksička plovka
154,Anas capensis,AF,ANSERIFORMES,Anatidae,Afrička siva plovka
155,Anas bahamensis,"SA, NA",ANSERIFORMES,Anatidae,Bahamski šiljkan
156,Anas erythrorhyncha,AF,ANSERIFORMES,Anatidae,Crvenokljuni šiljkan
157,Anas georgica,SA,ANSERIFORMES,Anatidae,Žutokljuni šiljkan
158,Anas eatoni,IO,ANSERIFORMES,Anatidae,Kergelenski šiljkan
159,Anas acuta,"NA, PAL",ANSERIFORMES,Anatidae,Šiljkan
160,Anas crecca,"PAL, NA",ANSERIFORMES,Anatidae,Krdža
161,Anas flavirostris,SA,ANSERIFORMES,Anatidae,Žutokljuna krdža
162,Anas andium,SA,ANSERIFORMES,Anatidae,Andska krdža
163,Anas gibberifrons,OR,ANSERIFORMES,Anatidae,Sundska krdža
164,Anas albogularis,OR,ANSERIFORMES,Anatidae,Andamanska krdža
165,Anas gracilis,AU,ANSERIFORMES,Anatidae,Siva krdža
166,Anas castanea,AU,ANSERIFORMES,Anatidae,Kestenjasta krdža
167,Anas bernieri,AF,ANSERIFORMES,Anatidae,Bernijeova krdža
168,Anas chlorotis,AU,ANSERIFORMES,Anatidae,Novozelandska krdža
169,Anas aucklandica,AU,ANSERIFORMES,Anatidae,Oklandska krdža
170,Anas nesiotis,AU,ANSERIFORMES,Anatidae,Krdža sa ostrva Kampbel
171,Marmaronetta angustirostris,PAL,ANSERIFORMES,Anatidae,Mramorka
172,Netta rufina,PAL,ANSERIFORMES,Anatidae,Prevez
173,Netta peposaca,SA,ANSERIFORMES,Anatidae,Ružokljuni prevez
174,Netta erythrophthalma,"AF, SA",ANSERIFORMES,Anatidae,Južni prevez
175,Aythya ferina,PAL,ANSERIFORMES,Anatidae,Riđoglava patka
176,Aythya australis,AU,ANSERIFORMES,Anatidae,Australijska patka njorka
177,Aythya innotata,AF,ANSERIFORMES,Anatidae,Madagaskarska patka njorka
178,Aythya baeri,PAL,ANSERIFORMES,Anatidae,Baerova patka njorka
179,Aythya nyroca,PAL,ANSERIFORMES,Anatidae,Patka njorka
180,Aythya novaeseelandiae,AU,ANSERIFORMES,Anatidae,Novozelandska patka ronilica
181,Aythya fuligula,PAL,ANSERIFORMES,Anatidae,Ćubasta patka
182,Aythya marila,"NA, PAL",ANSERIFORMES,Anatidae,Morska crnka
183,Polysticta stelleri,"NA, PAL",ANSERIFORMES,Anatidae,Štelerova gavka
184,Somateria fischeri,"NA, PAL",ANSERIFORMES,Anatidae,Gavka naočarka
185,Somateria spectabilis,"NA, PAL",ANSERIFORMES,Anatidae,Kraljevska gavka
186,Somateria mollissima,"NA, PAL",ANSERIFORMES,Anatidae,Gavka
187,Histrionicus histrionicus,"NA, PAL",ANSERIFORMES,Anatidae,Arlekinka
188,Melanitta fusca,PAL,ANSERIFORMES,Anatidae,Baršunasti turpan
189,Melanitta stejnegeri,PAL,ANSERIFORMES,Anatidae,Sibirski belokrili turpan
190,Melanitta nigra,PAL,ANSERIFORMES,Anatidae,Crni turpan
191,Melanitta americana,"PAL, NA",ANSERIFORMES,Anatidae,Američki crni turpan
192,Clangula hyemalis,"NA, PAL",ANSERIFORMES,Anatidae,Ledenjarka
193,Bucephala clangula,"NA, PAL",ANSERIFORMES,Anatidae,Patka dupljašica
194,Bucephala islandica,"NA, PAL",ANSERIFORMES,Anatidae,Islandska patka dupljašica
195,Mergellus albellus,PAL,ANSERIFORMES,Anatidae,Mali ronac
196,Mergus octosetaceus,SA,ANSERIFORMES,Anatidae,Brazilski ronac
197,Mergus merganser,"NA, PAL",ANSERIFORMES,Anatidae,Veliki ronac
198,Mergus serrator,"NA, PAL",ANSERIFORMES,Anatidae,Srednji ronac
199,Mergus squamatus,PAL,ANSERIFORMES,Anatidae,Kineski ronac
200,Heteronetta atricapilla,SA,ANSERIFORMES,Anatidae,Patagonska crnoglava patka
201,Nomonyx dominicus,"MA, SA",ANSERIFORMES,Anatidae,Maskirana plavokljuna patka
202,Oxyura jamaicensis,"NA, MA",ANSERIFORMES,Anatidae,Crnoglava plavokljuna patka
203,Oxyura ferruginea,SA,ANSERIFORMES,Anatidae,Andska plavokljuna patka
204,Oxyura vittata,SA,ANSERIFORMES,Anatidae,Argentinska plavokljuna patka
205,Oxyura australis,AU,ANSERIFORMES,Anatidae,Australijska plavokljuna patka
206,Oxyura maccoa,AF,ANSERIFORMES,Anatidae,Afrička plavokljuna patka
207,Oxyura leucocephala,PAL,ANSERIFORMES,Anatidae,Beloglava plavokljuna patka
208,Biziura lobata,AU,ANSERIFORMES,Anatidae,Režnjevita patka
209,Alectura lathami,AU,GALLIFORMES,Megapodiidae,Australijska megapoda
210,Aepypodius arfakianus,AU,GALLIFORMES,Megapodiidae,Resasta megapoda
211,Aepypodius bruijnii,AU,GALLIFORMES,Megapodiidae,Megapoda sa ostrva Vaigeo
212,Talegalla cuvieri,AU,GALLIFORMES,Megapodiidae,Crvenokljuna megapoda
213,Talegalla fuscirostris,AU,GALLIFORMES,Megapodiidae,Žutonoga megapoda
214,Talegalla jobiensis,AU,GALLIFORMES,Megapodiidae,Crvenonoga megapoda
215,Leipoa ocellata,AU,GALLIFORMES,Megapodiidae,Pegava megapoda
216,Macrocephalon maleo,AU,GALLIFORMES,Megapodiidae,Sulaveška kokoška
217,Eulipoa wallacei,AU,GALLIFORMES,Megapodiidae,Molučka megapoda
218,Megapodius pritchardii,PO,GALLIFORMES,Megapodiidae,Megapoda sa ostrva Niuafo-ou
219,Megapodius laperouse,PO,GALLIFORMES,Megapodiidae,Mikronezijska megapoda
220,Megapodius nicobariensis,OR,GALLIFORMES,Megapodiidae,Nikobarska megapoda
221,Megapodius cumingii,"OR, AU",GALLIFORMES,Megapodiidae,Filipinska megapoda
222,Megapodius bernsteinii,AU,GALLIFORMES,Megapodiidae,Megapoda sa ostrva Sula
223,Megapodius tenimberensis,AU,GALLIFORMES,Megapodiidae,Megapoda sa Tanimbarskih ostrva
224,Megapodius freycinet,AU,GALLIFORMES,Megapodiidae,Tamna megapoda
225,Megapodius geelvinkianus,AU,GALLIFORMES,Megapodiidae,Megapoda sa ostrva Biak
226,Megapodius eremita,AU,GALLIFORMES,Megapodiidae,Melanezijska megapoda
227,Megapodius layardi,AU,GALLIFORMES,Megapodiidae,Vanuatu megapoda
228,Megapodius decollatus,AU,GALLIFORMES,Megapodiidae,Novogvinejska megapoda
229,Megapodius reinwardt,AU,GALLIFORMES,Megapodiidae,Megapoda narandžastih nogu
230,Ortalis vetula,"NA, MA",GALLIFORMES,Cracidae,Obična čačalaka
231,Ortalis cinereiceps,"MA, SA",GALLIFORMES,Cracidae,Sivoglava čačalaka
232,Ortalis garrula,SA,GALLIFORMES,Cracidae,Čačalaka kestenjastih krila
233,Ortalis ruficauda,SA,GALLIFORMES,Cracidae,Čačalaka riđeg podrepka
234,Ortalis erythroptera,SA,GALLIFORMES,Cracidae,Riđoglava čačalaka
235,Ortalis wagleri,MA,GALLIFORMES,Cracidae,Riđotrba čačalaka
236,Ortalis poliocephala,MA,GALLIFORMES,Cracidae,Čačalaka iz zapadnog Meksika
237,Ortalis canicollis,SA,GALLIFORMES,Cracidae,Čako čačalaka
238,Ortalis leucogastra,MA,GALLIFORMES,Cracidae,Belotrba čačalaka
