,IOC,Breeding Range,Order,Family,Estonian
210,Aepypodius arfakianus,AU,GALLIFORMES,Megapodiidae,sagar-rihukana
211,Aepypodius bruijnii,AU,GALLIFORMES,Megapodiidae,lott-rihukana
212,Talegalla cuvieri,AU,GALLIFORMES,Megapodiidae,punanokk-rihukana
213,Talegalla fuscirostris,AU,GALLIFORMES,Megapodiidae,nõgi-rihukana
214,Talegalla jobiensis,AU,GALLIFORMES,Megapodiidae,pruunkael-rihukana
215,Leipoa ocellata,AU,GALLIFORMES,Megapodiidae,kõnnu-rihukana
216,Macrocephalon maleo,AU,GALLIFORMES,Megapodiidae,vasar-rihukana
217,Eulipoa wallacei,AU,GALLIFORMES,Megapodiidae,punaselg-rihukana
218,Megapodius pritchardii,PO,GALLIFORMES,Megapodiidae,tonga rihukana
219,Megapodius laperouse,PO,GALLIFORMES,Megapodiidae,mikroneesia rihukana
220,Megapodius nicobariensis,OR,GALLIFORMES,Megapodiidae,nicobari rihukana
221,Megapodius cumingii,"OR, AU",GALLIFORMES,Megapodiidae,filipiini rihukana
222,Megapodius bernsteinii,AU,GALLIFORMES,Megapodiidae,sulasaarte rihukana
223,Megapodius tenimberensis,AU,GALLIFORMES,Megapodiidae,tanimbari rihukana
224,Megapodius freycinet,AU,GALLIFORMES,Megapodiidae,tõmmu-rihukana
225,Megapodius geelvinkianus,AU,GALLIFORMES,Megapodiidae,biaki rihukana
226,Megapodius eremita,AU,GALLIFORMES,Megapodiidae,melaneesia rihukana
227,Megapodius layardi,AU,GALLIFORMES,Megapodiidae,vanuatu rihukana
228,Megapodius decollatus,AU,GALLIFORMES,Megapodiidae,paapua rihukana
229,Megapodius reinwardt,AU,GALLIFORMES,Megapodiidae,punajalg-rihukana
230,Ortalis vetula,"NA, MA",GALLIFORMES,Cracidae,võsa-tšatšalaka
231,Ortalis cinereiceps,"MA, SA",GALLIFORMES,Cracidae,panama tšatšalaka
232,Ortalis garrula,SA,GALLIFORMES,Cracidae,punatiib-tšatšalaka
233,Ortalis ruficauda,SA,GALLIFORMES,Cracidae,venetsueela tšatšalaka
234,Ortalis erythroptera,SA,GALLIFORMES,Cracidae,ekuadori tšatšalaka
235,Ortalis wagleri,MA,GALLIFORMES,Cracidae,punakõht-tšatšalaka
236,Ortalis poliocephala,MA,GALLIFORMES,Cracidae,suur-tšatšalaka
237,Ortalis canicollis,SA,GALLIFORMES,Cracidae,lõuna-tšatšalaka
238,Ortalis leucogastra,MA,GALLIFORMES,Cracidae,valgekõht-tšatšalaka
239,Ortalis guttata,SA,GALLIFORMES,Cracidae,kiripugu-tšatšalaka
240,Ortalis araucuan,SA,GALLIFORMES,Cracidae,East Brazilian Chachalaca
241,Ortalis squamata,SA,GALLIFORMES,Cracidae,Scaled Chachalaca
242,Ortalis columbiana,SA,GALLIFORMES,Cracidae,Colombian Chachalaca
243,Ortalis motmot,SA,GALLIFORMES,Cracidae,väike-tšatšalaka
244,Ortalis ruficeps,SA,GALLIFORMES,Cracidae,Chestnut-headed Chachalaca
245,Ortalis superciliaris,SA,GALLIFORMES,Cracidae,kahkkulm-tšatšalaka
246,Penelope argyrotis,SA,GALLIFORMES,Cracidae,laidsaba-lotthoko
247,Penelope barbata,SA,GALLIFORMES,Cracidae,väike-lotthoko
248,Penelope ortoni,SA,GALLIFORMES,Cracidae,mustpõsk-lotthoko
249,Penelope montagnii,SA,GALLIFORMES,Cracidae,andi lotthoko
250,Penelope marail,SA,GALLIFORMES,Cracidae,läik-lotthoko
251,Penelope superciliaris,SA,GALLIFORMES,Cracidae,brasiilia lotthoko
252,Penelope dabbenei,SA,GALLIFORMES,Cracidae,punapale-lotthoko
253,Penelope purpurascens,"MA, SA",GALLIFORMES,Cracidae,suur-lotthoko
254,Penelope perspicax,SA,GALLIFORMES,Cracidae,cauca lotthoko
255,Penelope albipennis,SA,GALLIFORMES,Cracidae,valgetiib-lotthoko
256,Penelope jacquacu,SA,GALLIFORMES,Cracidae,häälis-lotthoko
257,Penelope obscura,SA,GALLIFORMES,Cracidae,tõmmu-lotthoko
258,Penelope bridgesi,SA,GALLIFORMES,Cracidae,Yungas Guan
259,Penelope pileata,SA,GALLIFORMES,Cracidae,ruskepugu-lotthoko
260,Penelope ochrogaster,SA,GALLIFORMES,Cracidae,ruskekõht-lotthoko
261,Penelope jacucaca,SA,GALLIFORMES,Cracidae,valgekulm-lotthoko
262,Pipile pipile,SA,GALLIFORMES,Cracidae,paruk-pugalhoko
263,Pipile cumanensis,SA,GALLIFORMES,Cracidae,läik-pugalhoko
264,Pipile grayi,SA,GALLIFORMES,Cracidae,White-throated Piping Guan
265,Pipile cujubi,SA,GALLIFORMES,Cracidae,amasoonia pugalhoko
266,Pipile jacutinga,SA,GALLIFORMES,Cracidae,palmi-pugalhoko
267,Aburria aburri,SA,GALLIFORMES,Cracidae,sireenhoko
268,Chamaepetes unicolor,MA,GALLIFORMES,Cracidae,must-nõlvahoko
269,Chamaepetes goudotii,SA,GALLIFORMES,Cracidae,punakõht-nõlvahoko
270,Penelopina nigra,MA,GALLIFORMES,Cracidae,lokut-nõlvahoko
271,Oreophasis derbianus,MA,GALLIFORMES,Cracidae,sarvhoko
272,Nothocrax urumutum,SA,GALLIFORMES,Cracidae,ööhoko
273,Mitu tomentosum,SA,GALLIFORMES,Cracidae,jõgihoko
274,Mitu salvini,SA,GALLIFORMES,Cracidae,loreto hoko
275,Mitu tuberosum,SA,GALLIFORMES,Cracidae,kühmnokk-hoko
276,Mitu mitu,SA,GALLIFORMES,Cracidae,suurnokk-hoko
277,Pauxi pauxi,SA,GALLIFORMES,Cracidae,kiiverhoko
278,Pauxi unicornis,SA,GALLIFORMES,Cracidae,lõuna-kiiverhoko
279,Pauxi koepckeae,SA,GALLIFORMES,Cracidae,Sira Curassow
280,Crax rubra,"MA, SA",GALLIFORMES,Cracidae,suurhoko
281,Crax alberti,SA,GALLIFORMES,Cracidae,sinisagar-hoko
282,Crax daubentoni,SA,GALLIFORMES,Cracidae,ljaanohoko
283,Crax alector,SA,GALLIFORMES,Cracidae,guajaana hoko
284,Crax globulosa,SA,GALLIFORMES,Cracidae,punasagar-hoko
285,Crax fasciolata,SA,GALLIFORMES,Cracidae,palehoko
286,Crax blumenbachii,SA,GALLIFORMES,Cracidae,bahia hoko
287,Agelastes meleagrides,AF,GALLIFORMES,Numididae,kiilas-pärlkana
288,Agelastes niger,AF,GALLIFORMES,Numididae,must-pärlkana
289,Numida meleagris,AF,GALLIFORMES,Numididae,pärlkana
290,Guttera plumifera,AF,GALLIFORMES,Numididae,paruk-pärlkana
291,Guttera verreauxi,AF,GALLIFORMES,Numididae,Western Crested Guineafowl
292,Guttera pucherani,AF,GALLIFORMES,Numididae,kähar-pärlkana
293,Guttera edouardi,AF,GALLIFORMES,Numididae,Southern Crested Guineafowl
294,Acryllium vulturinum,AF,GALLIFORMES,Numididae,hund-pärlkana
295,Ptilopachus petrosus,AF,GALLIFORMES,Odontophoridae,rahnukana
296,Ptilopachus nahani,AF,GALLIFORMES,Odontophoridae,uganda frankoliin (uganda-frankoliinkana)
297,Dendrortyx leucophrys,MA,GALLIFORMES,Odontophoridae,valgekurk-händvutt
298,Dendrortyx macroura,MA,GALLIFORMES,Odontophoridae,mustkurk-händvutt
299,Dendrortyx barbatus,MA,GALLIFORMES,Odontophoridae,hallkurk-händvutt
300,Oreortyx pictus,"NA, MA",GALLIFORMES,Odontophoridae,mägi-tuttvutt
301,Callipepla squamata,"NA, MA",GALLIFORMES,Odontophoridae,soomus-tuttvutt
