,IOC,Breeding Range,Order,Family,Estonian
6447,Terpsiphone rufiventer,AF,PASSERIFORMES,Monarchidae,Red-bellied Paradise Flycatcher
6448,Terpsiphone smithii,AF,PASSERIFORMES,Monarchidae,Annobon Paradise Flycatcher
6449,Terpsiphone batesi,AF,PASSERIFORMES,Monarchidae,Bates's Paradise Flycatcher
6450,Terpsiphone viridis,AF,PASSERIFORMES,Monarchidae,African Paradise Flycatcher
6451,Terpsiphone paradisi,OR,PASSERIFORMES,Monarchidae,Indian Paradise Flycatcher
6452,Terpsiphone affinis,OR,PASSERIFORMES,Monarchidae,Blyth's Paradise Flycatcher
6453,Terpsiphone floris,AU,PASSERIFORMES,Monarchidae,Tenggara Paradise Flycatcher
6454,Terpsiphone incei,OR,PASSERIFORMES,Monarchidae,Amur Paradise Flycatcher
6455,Terpsiphone atrocaudata,PAL,PASSERIFORMES,Monarchidae,Black Paradise Flycatcher
6456,Terpsiphone cyanescens,OR,PASSERIFORMES,Monarchidae,Blue Paradise Flycatcher
6457,Terpsiphone cinnamomea,OR,PASSERIFORMES,Monarchidae,Rufous Paradise Flycatcher
6458,Terpsiphone atrochalybeia,AF,PASSERIFORMES,Monarchidae,Sao Tome Paradise Flycatcher
6459,Terpsiphone mutata,AF,PASSERIFORMES,Monarchidae,Malagasy Paradise Flycatcher
6460,Terpsiphone corvina,IO,PASSERIFORMES,Monarchidae,Seychelles Paradise Flycatcher
6461,Terpsiphone bourbonnensis,IO,PASSERIFORMES,Monarchidae,Mascarene Paradise Flycatcher
6462,Chasiempis sclateri,PO,PASSERIFORMES,Monarchidae,Kauai Elepaio
6463,Chasiempis ibidis,PO,PASSERIFORMES,Monarchidae,Oahu Elepaio
6464,Chasiempis sandwichensis,PO,PASSERIFORMES,Monarchidae,Hawaii Elepaio
6465,Pomarea dimidiata,PO,PASSERIFORMES,Monarchidae,Rarotonga Monarch
6466,Pomarea nigra,PO,PASSERIFORMES,Monarchidae,Tahiti Monarch
6467,Pomarea mendozae,PO,PASSERIFORMES,Monarchidae,Marquesan Monarch
6468,Pomarea mira,PO,PASSERIFORMES,Monarchidae,Ua Pou Monarch
6469,Pomarea iphis,PO,PASSERIFORMES,Monarchidae,Iphis Monarch
6470,Pomarea whitneyi,PO,PASSERIFORMES,Monarchidae,Fatu Hiva Monarch
6471,Mayrornis schistaceus,AU,PASSERIFORMES,Monarchidae,Vanikoro Monarch
6472,Mayrornis versicolor,PO,PASSERIFORMES,Monarchidae,Ogea Monarch
6473,Mayrornis lessoni,PO,PASSERIFORMES,Monarchidae,Slaty Monarch
6474,Neolalage banksiana,AU,PASSERIFORMES,Monarchidae,Buff-bellied Monarch
6475,Clytorhynchus pachycephaloides,AU,PASSERIFORMES,Monarchidae,Southern Shrikebill
6476,Clytorhynchus vitiensis,PO,PASSERIFORMES,Monarchidae,Fiji Shrikebill
6477,Clytorhynchus nigrogularis,PO,PASSERIFORMES,Monarchidae,Black-throated Shrikebill
6478,Clytorhynchus sanctaecrucis,PO,PASSERIFORMES,Monarchidae,Santa Cruz Shrikebill
6479,Clytorhynchus hamlini,AU,PASSERIFORMES,Monarchidae,Rennell Shrikebill
6480,Metabolus rugensis,PO,PASSERIFORMES,Monarchidae,Chuuk Monarch
6481,Symposiachrus axillaris,AU,PASSERIFORMES,Monarchidae,Black Monarch
6482,Symposiachrus guttula,AU,PASSERIFORMES,Monarchidae,Spot-winged Monarch
6483,Symposiachrus mundus,AU,PASSERIFORMES,Monarchidae,Black-bibbed Monarch
6484,Symposiachrus sacerdotum,AU,PASSERIFORMES,Monarchidae,Flores Monarch
6485,Symposiachrus boanensis,AU,PASSERIFORMES,Monarchidae,Boano Monarch
6486,Symposiachrus melanopterus,AU,PASSERIFORMES,Monarchidae,Louisiade Monarch
6487,Symposiachrus trivirgatus,AU,PASSERIFORMES,Monarchidae,Spectacled Monarch
6488,Symposiachrus bimaculatus,AU,PASSERIFORMES,Monarchidae,Moluccan Monarch
6489,Symposiachrus leucurus,AU,PASSERIFORMES,Monarchidae,Kai Monarch
6490,Symposiachrus everetti,AU,PASSERIFORMES,Monarchidae,Tanahjampea Monarch
6491,Symposiachrus loricatus,AU,PASSERIFORMES,Monarchidae,Buru Monarch
6492,Symposiachrus julianae,AU,PASSERIFORMES,Monarchidae,Kofiau Monarch
6493,Symposiachrus brehmii,AU,PASSERIFORMES,Monarchidae,Biak Monarch
6494,Symposiachrus manadensis,AU,PASSERIFORMES,Monarchidae,Hooded Monarch
6495,Symposiachrus infelix,AU,PASSERIFORMES,Monarchidae,Manus Monarch
6496,Symposiachrus menckei,AU,PASSERIFORMES,Monarchidae,Mussau Monarch
6497,Symposiachrus verticalis,AU,PASSERIFORMES,Monarchidae,Black-tailed Monarch
6498,Symposiachrus barbatus,AU,PASSERIFORMES,Monarchidae,Solomons Monarch
6499,Symposiachrus browni,AU,PASSERIFORMES,Monarchidae,Kolombangara Monarch
6500,Symposiachrus vidua,AU,PASSERIFORMES,Monarchidae,White-collared Monarch
6501,Symposiachrus rubiensis,AU,PASSERIFORMES,Monarchidae,Rufous Monarch
6502,Monarcha cinerascens,AU,PASSERIFORMES,Monarchidae,Island Monarch
6503,Monarcha melanopsis,AU,PASSERIFORMES,Monarchidae,Black-faced Monarch
6504,Monarcha frater,AU,PASSERIFORMES,Monarchidae,Black-winged Monarch
6505,Monarcha erythrostictus,AU,PASSERIFORMES,Monarchidae,Bougainville Monarch
6506,Monarcha castaneiventris,AU,PASSERIFORMES,Monarchidae,Chestnut-bellied Monarch
6507,Monarcha richardsii,AU,PASSERIFORMES,Monarchidae,White-capped Monarch
6508,Monarcha godeffroyi,PO,PASSERIFORMES,Monarchidae,Yap Monarch
6509,Monarcha takatsukasae,PO,PASSERIFORMES,Monarchidae,Tinian Monarch
6510,Carterornis leucotis,AU,PASSERIFORMES,Monarchidae,White-eared Monarch
6511,Carterornis pileatus,AU,PASSERIFORMES,Monarchidae,White-naped Monarch
6512,Carterornis castus,AU,PASSERIFORMES,Monarchidae,Tanimbar Monarch
6513,Carterornis chrysomela,AU,PASSERIFORMES,Monarchidae,Golden Monarch
6514,Arses insularis,AU,PASSERIFORMES,Monarchidae,Ochre-collared Monarch
6515,Arses telescopthalmus,AU,PASSERIFORMES,Monarchidae,Frilled Monarch
6516,Arses lorealis,AU,PASSERIFORMES,Monarchidae,Frill-necked Monarch
6517,Arses kaupi,AU,PASSERIFORMES,Monarchidae,Pied Monarch
6518,Grallina cyanoleuca,AU,PASSERIFORMES,Monarchidae,piibik
6519,Grallina bruijnii,AU,PASSERIFORMES,Monarchidae,kärestikupiibik
6520,Myiagra oceanica,PO,PASSERIFORMES,Monarchidae,Oceanic Flycatcher
6521,Myiagra erythrops,PO,PASSERIFORMES,Monarchidae,Palau Flycatcher
6522,Myiagra pluto,PO,PASSERIFORMES,Monarchidae,Pohnpei Flycatcher
6523,Myiagra galeata,AU,PASSERIFORMES,Monarchidae,Moluccan Flycatcher
6524,Myiagra atra,AU,PASSERIFORMES,Monarchidae,Biak Black Flycatcher
6525,Myiagra rubecula,AU,PASSERIFORMES,Monarchidae,Leaden Flycatcher
6526,Myiagra ferrocyanea,AU,PASSERIFORMES,Monarchidae,Steel-blue Flycatcher
6527,Myiagra cervinicauda,AU,PASSERIFORMES,Monarchidae,Makira Flycatcher
6528,Myiagra caledonica,AU,PASSERIFORMES,Monarchidae,Melanesian Flycatcher
6529,Myiagra vanikorensis,PO,PASSERIFORMES,Monarchidae,Vanikoro Flycatcher
6530,Myiagra albiventris,PO,PASSERIFORMES,Monarchidae,Samoan Flycatcher
6531,Myiagra azureocapilla,PO,PASSERIFORMES,Monarchidae,Azure-crested Flycatcher
6532,Myiagra castaneigularis,PO,PASSERIFORMES,Monarchidae,Chestnut-throated Flycatcher
6533,Myiagra ruficollis,AU,PASSERIFORMES,Monarchidae,Broad-billed Flycatcher
6534,Myiagra cyanoleuca,AU,PASSERIFORMES,Monarchidae,Satin Flycatcher
6535,Myiagra alecto,AU,PASSERIFORMES,Monarchidae,Shining Flycatcher
6536,Myiagra hebetior,AU,PASSERIFORMES,Monarchidae,Mussau Flycatcher
6537,Myiagra eichhorni,AU,PASSERIFORMES,Monarchidae,Velvet Flycatcher
6538,Myiagra cervinicolor,AU,PASSERIFORMES,Monarchidae,Dyaul Flycatcher
6539,Myiagra nana,AU,PASSERIFORMES,Monarchidae,Paperbark Flycatcher
6540,Myiagra inquieta,AU,PASSERIFORMES,Monarchidae,Restless Flycatcher
6541,Platylophus galericulatus,OR,PASSERIFORMES,Platylophidae,Crested Jayshrike
6542,Eurocephalus ruppelli,AF,PASSERIFORMES,Laniidae,liblikõgija
6543,Eurocephalus anguitimens,AF,PASSERIFORMES,Laniidae,valgepea-õgija
6544,Lanius corvinus,AF,PASSERIFORMES,Laniidae,pruun-harakõgija
6545,Lanius melanoleucus,AF,PASSERIFORMES,Laniidae,harakõgija
6546,Lanius cabanisi,AF,PASSERIFORMES,Laniidae,händõgija
6547,Lanius excubitoroides,AF,PASSERIFORMES,Laniidae,ühisõgija
6548,Lanius dorsalis,AF,PASSERIFORMES,Laniidae,keenia õgija
6549,Lanius excubitor,"PAL, AF",PASSERIFORMES,Laniidae,hallõgija
6550,Lanius somalicus,AF,PASSERIFORMES,Laniidae,somaali õgija
6551,Lanius ludovicianus,"NA, MA",PASSERIFORMES,Laniidae,ameerika õgija
6552,Lanius giganteus,PAL,PASSERIFORMES,Laniidae,Giant Grey Shrike
6553,Lanius sphenocercus,PAL,PASSERIFORMES,Laniidae,hiina hallõgija
6554,Lanius meridionalis,PAL,PASSERIFORMES,Laniidae,lõuna-hallõgija
6555,Lanius borealis,"NA, PAL",PASSERIFORMES,Laniidae,viir-hallõgija
6556,Lanius nubicus,PAL,PASSERIFORMES,Laniidae,valgelauk-õgija
6557,Lanius newtoni,AF,PASSERIFORMES,Laniidae,são tomé õgija
6558,Lanius humeralis,AF,PASSERIFORMES,Laniidae,Northern Fiscal
6559,Lanius gubernator,AF,PASSERIFORMES,Laniidae,väikeõgija
6560,Lanius mackinnoni,AF,PASSERIFORMES,Laniidae,musttiib-õgija
6561,Lanius souzae,AF,PASSERIFORMES,Laniidae,viirtiib-õgija
6562,Lanius collaris,AF,PASSERIFORMES,Laniidae,pugalõgija
6563,Lanius minor,PAL,PASSERIFORMES,Laniidae,mustlauk-õgija
6564,Lanius senator,PAL,PASSERIFORMES,Laniidae,punapea-õgija
6565,Lanius collurioides,OR,PASSERIFORMES,Laniidae,indohiina õgija
6566,Lanius tigrinus,PAL,PASSERIFORMES,Laniidae,tiigerõgija
6567,Lanius vittatus,PAL,PASSERIFORMES,Laniidae,kõrbselg-õgija
6568,Lanius isabellinus,PAL,PASSERIFORMES,Laniidae,kõnnuõgija
6569,Lanius collurio,PAL,PASSERIFORMES,Laniidae,punaselg-õgija
6570,Lanius phoenicuroides,OR,PASSERIFORMES,Laniidae,punasaba-kõnnuõgija
6571,Lanius validirostris,OR,PASSERIFORMES,Laniidae,filipiini õgija
6572,Lanius cristatus,PAL,PASSERIFORMES,Laniidae,pruunõgija
6573,Lanius bucephalus,PAL,PASSERIFORMES,Laniidae,väluõgija
6574,Lanius schach,"OR, AU",PASSERIFORMES,Laniidae,ruskselg-õgija
6575,Lanius tephronotus,PAL,PASSERIFORMES,Laniidae,mägiõgija
6576,Platysmurus leucopterus,OR,PASSERIFORMES,Corvidae,mustnäär
6577,Platysmurus aterrimus,OR,PASSERIFORMES,Corvidae,Bornean Black Magpie
6578,Perisoreus infaustus,PAL,PASSERIFORMES,Corvidae,laanenäär
6579,Perisoreus internigrans,PAL,PASSERIFORMES,Corvidae,hiina laanenäär
6580,Cyanolyca armillata,SA,PASSERIFORMES,Corvidae,kaelus-sininäär
6581,Cyanolyca viridicyanus,SA,PASSERIFORMES,Corvidae,andi sininäär
6582,Cyanolyca turcosa,SA,PASSERIFORMES,Corvidae,ekuadori sininäär
6583,Cyanolyca pulchra,SA,PASSERIFORMES,Corvidae,pagu-sininäär
6584,Cyanolyca cucullata,MA,PASSERIFORMES,Corvidae,lasuurkiird-sininäär
6585,Cyanolyca pumilo,MA,PASSERIFORMES,Corvidae,guatemaala sininäär
6586,Cyanolyca nanus,MA,PASSERIFORMES,Corvidae,väike-sininäär
6587,Cyanolyca mirabilis,MA,PASSERIFORMES,Corvidae,valgekurk-sininäär
6588,Cyanolyca argentigula,MA,PASSERIFORMES,Corvidae,kostariika sininäär
6589,Cyanocorax melanocyaneus,MA,PASSERIFORMES,Corvidae,honduurase sininäär
6590,Cyanocorax sanblasianus,MA,PASSERIFORMES,Corvidae,kookose-sininäär
6591,Cyanocorax yucatanicus,MA,PASSERIFORMES,Corvidae,yucatani sininäär
6592,Cyanocorax beecheii,MA,PASSERIFORMES,Corvidae,tõmmu-sininäär
6593,Cyanocorax violaceus,SA,PASSERIFORMES,Corvidae,jõgi-sininäär
6594,Cyanocorax caeruleus,SA,PASSERIFORMES,Corvidae,araukaaria-sininäär
6595,Cyanocorax cyanomelas,SA,PASSERIFORMES,Corvidae,purpur-sininäär
6596,Cyanocorax cristatellus,SA,PASSERIFORMES,Corvidae,kihar-sininäär
6597,Cyanocorax dickeyi,MA,PASSERIFORMES,Corvidae,hari-sininäär
6598,Cyanocorax affinis,"MA, SA",PASSERIFORMES,Corvidae,kolumbia sininäär
6599,Cyanocorax mystacalis,SA,PASSERIFORMES,Corvidae,meskite-sininäär
6600,Cyanocorax cayanus,SA,PASSERIFORMES,Corvidae,guajaana sininäär
6601,Cyanocorax heilprini,SA,PASSERIFORMES,Corvidae,ljaano-sininäär
6602,Cyanocorax chrysops,SA,PASSERIFORMES,Corvidae,kübar-sininäär
6603,Cyanocorax cyanopogon,SA,PASSERIFORMES,Corvidae,pugal-sininäär
6604,Cyanocorax luxuosus,MA,PASSERIFORMES,Corvidae,violettpea-sininäär
6605,Cyanocorax yncas,SA,PASSERIFORMES,Corvidae,rohenäär
6606,Psilorhinus morio,MA,PASSERIFORMES,Corvidae,pruunnäär
6607,Calocitta colliei,MA,PASSERIFORMES,Corvidae,mustkurk-haraknäär
6608,Calocitta formosa,MA,PASSERIFORMES,Corvidae,haraknäär (valgekurk-haraknäär)
6609,Cyanocitta stelleri,"NA, MA",PASSERIFORMES,Corvidae,tutt-sininäär
6610,Aphelocoma wollweberi,"NA, MA",PASSERIFORMES,Corvidae,lääne-sininäär
6611,Aphelocoma ultramarina,MA,PASSERIFORMES,Corvidae,asteegi sininäär
6612,Aphelocoma unicolor,MA,PASSERIFORMES,Corvidae,maia sininäär
6613,Aphelocoma californica,"NA, MA",PASSERIFORMES,Corvidae,võsa-sininäär
6614,Aphelocoma woodhouseii,"NA, MA",PASSERIFORMES,Corvidae,hallrind-sininäär
6615,Garrulus glandarius,"PAL, OR",PASSERIFORMES,Corvidae,pasknäär
6616,Garrulus lanceolatus,PAL,PASSERIFORMES,Corvidae,tutt-pasknäär
6617,Garrulus lidthi,PAL,PASSERIFORMES,Corvidae,ryukyu pasknäär
6618,Cyanopica cyanus,PAL,PASSERIFORMES,Corvidae,siniharakas
6619,Cyanopica cooki,PAL,PASSERIFORMES,Corvidae,ibeeria siniharakas
6620,Urocissa ornata,OR,PASSERIFORMES,Corvidae,tseiloni lasuurharakas
6621,Urocissa caerulea,OR,PASSERIFORMES,Corvidae,taivani lasuurharakas
6622,Urocissa flavirostris,OR,PASSERIFORMES,Corvidae,himaalaja lasuurharakas
6623,Urocissa erythroryncha,OR,PASSERIFORMES,Corvidae,hiina lasuurharakas
6624,Urocissa whiteheadi,OR,PASSERIFORMES,Corvidae,suurharakas
6625,Cissa chinensis,OR,PASSERIFORMES,Corvidae,roheharakas
6626,Cissa hypoleuca,OR,PASSERIFORMES,Corvidae,vietnami roheharakas
6627,Cissa thalassina,OR,PASSERIFORMES,Corvidae,lühisaba-roheharakas
6628,Cissa jefferyi,OR,PASSERIFORMES,Corvidae,Bornean Green Magpie
6629,Dendrocitta vagabunda,OR,PASSERIFORMES,Corvidae,aed-ruskharakas
6630,Dendrocitta occipitalis,OR,PASSERIFORMES,Corvidae,sumatra ruskharakas
6631,Dendrocitta cinerascens,OR,PASSERIFORMES,Corvidae,kalimantani ruskharakas
6632,Dendrocitta formosae,OR,PASSERIFORMES,Corvidae,hiina ruskharakas
6633,Dendrocitta leucogastra,OR,PASSERIFORMES,Corvidae,draviidi ruskharakas
6634,Dendrocitta frontalis,OR,PASSERIFORMES,Corvidae,bambuse-ruskharakas
6635,Dendrocitta bayleii,OR,PASSERIFORMES,Corvidae,andamani ruskharakas
6636,Crypsirina temia,OR,PASSERIFORMES,Corvidae,must-pisiharakas
6637,Crypsirina cucullata,OR,PASSERIFORMES,Corvidae,hall-pisiharakas
6638,Temnurus temnurus,OR,PASSERIFORMES,Corvidae,kidasaba-harakas
6639,Pica pica,PAL,PASSERIFORMES,Corvidae,harakas
6640,Pica mauritanica,AF,PASSERIFORMES,Corvidae,berberi harakas
6641,Pica asirensis,PAL,PASSERIFORMES,Corvidae,araabia harakas
6642,Pica bottanensis,OR,PASSERIFORMES,Corvidae,Black-rumped Magpie
6643,Pica serica,OR,PASSERIFORMES,Corvidae,Oriental Magpie
6644,Zavattariornis stresemanni,AF,PASSERIFORMES,Corvidae,akaatsianäär
6645,Podoces hendersoni,PAL,PASSERIFORMES,Corvidae,mongoolia maanäär
6646,Podoces biddulphi,PAL,PASSERIFORMES,Corvidae,uiguuri maanäär
6647,Podoces panderi,PAL,PASSERIFORMES,Corvidae,saksauuli-maanäär
6648,Podoces pleskei,PAL,PASSERIFORMES,Corvidae,pärsia maanäär
6649,Nucifraga caryocatactes,PAL,PASSERIFORMES,Corvidae,mänsak
6650,Nucifraga multipunctata,PAL,PASSERIFORMES,Corvidae,kašmiiri mänsak
6651,Pyrrhocorax pyrrhocorax,PAL,PASSERIFORMES,Corvidae,kaljuhakk
6652,Pyrrhocorax graculus,PAL,PASSERIFORMES,Corvidae,mägihakk
6653,Ptilostomus afer,AF,PASSERIFORMES,Corvidae,savanniharakas (piapiak)
6654,Coloeus monedula,PAL,PASSERIFORMES,Corvidae,hakk
6655,Coloeus dauuricus,PAL,PASSERIFORMES,Corvidae,idahakk
6656,Corvus splendens,OR,PASSERIFORMES,Corvidae,õuevares
6657,Corvus moneduloides,AU,PASSERIFORMES,Corvidae,uuskaledoonia vares
6658,Corvus typicus,AU,PASSERIFORMES,Corvidae,sulawesi vares
6659,Corvus unicolor,AU,PASSERIFORMES,Corvidae,banggai vares
6660,Corvus enca,"OR, AU",PASSERIFORMES,Corvidae,salenokk-vares
6661,Corvus samarensis,OR,PASSERIFORMES,Corvidae,Small Crow
6662,Corvus pusillus,OR,PASSERIFORMES,Corvidae,Palawan Crow
6663,Corvus violaceus,AU,PASSERIFORMES,Corvidae,filipiini vares
6664,Corvus florensis,AU,PASSERIFORMES,Corvidae,florese vares
6665,Corvus kubaryi,PO,PASSERIFORMES,Corvidae,mariaani vares
6666,Corvus validus,AU,PASSERIFORMES,Corvidae,pikknokk-vares
6667,Corvus woodfordi,AU,PASSERIFORMES,Corvidae,valgenokk-vares
6668,Corvus meeki,AU,PASSERIFORMES,Corvidae,bougainville'i vares
6669,Corvus fuscicapillus,AU,PASSERIFORMES,Corvidae,pruunpea-vares
6670,Corvus tristis,AU,PASSERIFORMES,Corvidae,paapua vares
6671,Corvus capensis,AF,PASSERIFORMES,Corvidae,aafrika künnivares
6672,Corvus frugilegus,PAL,PASSERIFORMES,Corvidae,künnivares
6673,Corvus imparatus,"NA, MA",PASSERIFORMES,Corvidae,mehhiko vares
6674,Corvus sinaloae,MA,PASSERIFORMES,Corvidae,sinaloa vares
6675,Corvus hawaiiensis,PO,PASSERIFORMES,Corvidae,havai vares
6676,Corvus corone,PAL,PASSERIFORMES,Corvidae,mustvares
6677,Corvus cornix,PAL,PASSERIFORMES,Corvidae,hallvares
6678,Corvus torquatus,"PAL, OR",PASSERIFORMES,Corvidae,kaelusvares
6679,Corvus macrorhynchos,"PAL, OR",PASSERIFORMES,Corvidae,suurnokk-vares
6680,Corvus levaillantii,OR,PASSERIFORMES,Corvidae,džunglivares
6681,Corvus culminatus,OR,PASSERIFORMES,Corvidae,Indian Jungle Crow
6682,Corvus orru,AU,PASSERIFORMES,Corvidae,viljavares
6683,Corvus insularis,AU,PASSERIFORMES,Corvidae,melaneesia vares
6684,Corvus bennetti,AU,PASSERIFORMES,Corvidae,kõnnuvares
6685,Corvus tasmanicus,AU,PASSERIFORMES,Corvidae,tasmaania vares
6686,Corvus mellori,AU,PASSERIFORMES,Corvidae,eukalüptivares
6687,Corvus coronoides,AU,PASSERIFORMES,Corvidae,halavares
6688,Corvus albus,AF,PASSERIFORMES,Corvidae,pugalronk
6689,Corvus ruficollis,"AF, PAL",PASSERIFORMES,Corvidae,kõrberonk
6690,Corvus edithae,AF,PASSERIFORMES,Corvidae,väike-kõrberonk
6691,Corvus corax,"NA, MA, PAL",PASSERIFORMES,Corvidae,ronk e. kaaren
6692,Corvus cryptoleucus,"NA, MA",PASSERIFORMES,Corvidae,asteegi ronk
6693,Corvus rhipidurus,"AF, PAL",PASSERIFORMES,Corvidae,lühisaba-ronk
6694,Corvus albicollis,AF,PASSERIFORMES,Corvidae,kaelusronk
6695,Corvus crassirostris,AF,PASSERIFORMES,Corvidae,etioopia ronk
6696,Corcorax melanorhamphos,AU,PASSERIFORMES,Corcoracidae,White-winged Chough
6697,Struthidea cinerea,AU,PASSERIFORMES,Corcoracidae,Apostlebird
6698,Melampitta lugubris,AU,PASSERIFORMES,Melampittidae,Lesser Melampitta
6699,Megalampitta gigantea,AU,PASSERIFORMES,Melampittidae,Greater Melampitta
6700,Ifrita kowaldi,AU,PASSERIFORMES,Ifritidae,Blue-capped Ifrit
6701,Lycocorax pyrrhopterus,AU,PASSERIFORMES,Paradisaeidae,paradiisivares
6702,Lycocorax obiensis,AU,PASSERIFORMES,Paradisaeidae,Obi Paradise-crow
6703,Manucodia ater,AU,PASSERIFORMES,Paradisaeidae,vile-paradiisihakk
6704,Manucodia alter,AU,PASSERIFORMES,Paradisaeidae,Tagula Manucode
6705,Manucodia jobiensis,AU,PASSERIFORMES,Paradisaeidae,sarnas-paradiisihakk
6706,Manucodia chalybatus,AU,PASSERIFORMES,Paradisaeidae,nõlva-paradiisihakk
6707,Manucodia comrii,AU,PASSERIFORMES,Paradisaeidae,suur-paradiisihakk
6708,Phonygammus keraudrenii,AU,PASSERIFORMES,Paradisaeidae,krae-paradiisihakk
6709,Paradigalla carunculata,AU,PASSERIFORMES,Paradisaeidae,lauk-paradiisilind
6710,Paradigalla brevicauda,AU,PASSERIFORMES,Paradisaeidae,töbi-paradiisilind
6711,Astrapia nigra,AU,PASSERIFORMES,Paradisaeidae,arfaki paradiisilind
6712,Astrapia splendidissima,AU,PASSERIFORMES,Paradisaeidae,pugalsaba-paradiisilind
6713,Astrapia mayeri,AU,PASSERIFORMES,Paradisaeidae,paelsaba-paradiisilind
6714,Astrapia stephaniae,AU,PASSERIFORMES,Paradisaeidae,talbsaba-paradiisilind
6715,Astrapia rothschildi,AU,PASSERIFORMES,Paradisaeidae,laisaba-paradiisilind
6716,Parotia sefilata,AU,PASSERIFORMES,Paradisaeidae,valgelaup-paradiisilind
6717,Parotia carolae,AU,PASSERIFORMES,Paradisaeidae,tanu-paradiisilind
6718,Parotia berlepschi,AU,PASSERIFORMES,Paradisaeidae,foja paradiisilind
6719,Parotia lawesii,AU,PASSERIFORMES,Paradisaeidae,hõbelaup-paradiisilind
6720,Parotia helenae,AU,PASSERIFORMES,Paradisaeidae,vasklaup-paradiisilind
6721,Parotia wahnesi,AU,PASSERIFORMES,Paradisaeidae,puhmlaup-paradiisilind
6722,Pteridophora alberti,AU,PASSERIFORMES,Paradisaeidae,lint-paradiisilind
6723,Lophorina superba,AU,PASSERIFORMES,Paradisaeidae,hõlmik-paradiisilind
6724,Lophorina niedda,AU,PASSERIFORMES,Paradisaeidae,Crescent-caped Lophorina
6725,Lophorina minor,AU,PASSERIFORMES,Paradisaeidae,Lesser Lophorina
6726,Ptiloris paradiseus,AU,PASSERIFORMES,Paradisaeidae,lõuna-paradiisilind
6727,Ptiloris victoriae,AU,PASSERIFORMES,Paradisaeidae,queenslandi paradiisilind
6728,Ptiloris magnificus,AU,PASSERIFORMES,Paradisaeidae,safiir-paradiisilind
6729,Ptiloris intercedens,AU,PASSERIFORMES,Paradisaeidae,kagu-paradiisilind
6730,Epimachus fastosus,AU,PASSERIFORMES,Paradisaeidae,händ-paradiisilind
6731,Epimachus meyeri,AU,PASSERIFORMES,Paradisaeidae,mõõksaba-paradiisilind
6732,Drepanornis albertisi,AU,PASSERIFORMES,Paradisaeidae,leetsaba-paradiisilind
6733,Drepanornis bruijnii,AU,PASSERIFORMES,Paradisaeidae,vandelnokk-paradiisilind
6734,Diphyllodes magnificus,AU,PASSERIFORMES,Paradisaeidae,kuld-paradiisilind
6735,Diphyllodes respublica,AU,PASSERIFORMES,Paradisaeidae,viker-paradiisilind
6736,Cicinnurus regius,AU,PASSERIFORMES,Paradisaeidae,karmiin-paradiisilind
6737,Semioptera wallacii,AU,PASSERIFORMES,Paradisaeidae,paeltiib-paradiisilind
6738,Seleucidis melanoleucus,AU,PASSERIFORMES,Paradisaeidae,puhv-paradiisilind
6739,Paradisaea apoda,AU,PASSERIFORMES,Paradisaeidae,pruun-paradiisilind
6740,Paradisaea raggiana,AU,PASSERIFORMES,Paradisaeidae,kuning-paradiisilind
6741,Paradisaea minor,AU,PASSERIFORMES,Paradisaeidae,printsess-paradiisilind
6742,Paradisaea decora,AU,PASSERIFORMES,Paradisaeidae,lavendel-paradiisilind
6743,Paradisaea rubra,AU,PASSERIFORMES,Paradisaeidae,punasaba-paradiisilind
6744,Paradisaea guilielmi,AU,PASSERIFORMES,Paradisaeidae,loorsaba-paradiisilind
6745,Paradisornis rudolphi,AU,PASSERIFORMES,Paradisaeidae,sini-paradiisilind
6746,Tregellasia leucops,AU,PASSERIFORMES,Petroicidae,valgepale-miro
6747,Tregellasia capito,AU,PASSERIFORMES,Petroicidae,rotangi-miro
6748,Quoyornis georgianus,AU,PASSERIFORMES,Petroicidae,läänemiro
6749,Eopsaltria australis,AU,PASSERIFORMES,Petroicidae,koldmiro
6750,Eopsaltria griseogularis,AU,PASSERIFORMES,Petroicidae,hallrind-miro
6751,Gennaeodryas placens,AU,PASSERIFORMES,Petroicidae,oliivpugu-miro
6752,Melanodryas cucullata,AU,PASSERIFORMES,Petroicidae,pugalmiro
6753,Melanodryas vittata,AU,PASSERIFORMES,Petroicidae,tasmaania miro
6754,Peneothello sigillata,AU,PASSERIFORMES,Petroicidae,valgetiib-miro
6755,Peneothello cryptoleuca,AU,PASSERIFORMES,Petroicidae,nõgimiro
6756,Peneothello cyanus,AU,PASSERIFORMES,Petroicidae,virpmiro
6757,Peneothello bimaculata,AU,PASSERIFORMES,Petroicidae,valgelaik-miro
6758,Peneothello pulverulenta,AU,PASSERIFORMES,Petroicidae,mangroovimiro
6759,Poecilodryas brachyura,AU,PASSERIFORMES,Petroicidae,kapralmiro
6760,Poecilodryas hypoleuca,AU,PASSERIFORMES,Petroicidae,saagomiro
6761,Poecilodryas superciliosa,AU,PASSERIFORMES,Petroicidae,valgekulm-miro
6762,Poecilodryas cerviniventris,AU,PASSERIFORMES,Petroicidae,maskmiro
6763,Plesiodryas albonotata,AU,PASSERIFORMES,Petroicidae,maniskmiro
6764,Heteromyias albispecularis,AU,PASSERIFORMES,Petroicidae,tuhkmiro
6765,Heteromyias armiti,AU,PASSERIFORMES,Petroicidae,Black-capped Robin
6766,Heteromyias cinereifrons,AU,PASSERIFORMES,Petroicidae,queenslandi tuhkmiro
