,IOC,Breeding Range,Order,Family,Scientific
274,Mitu salvini,SA,GALLIFORMES,Cracidae,Mitu salvini
275,Mitu tuberosum,SA,GALLIFORMES,Cracidae,Mitu tuberosum
276,Mitu mitu,SA,GALLIFORMES,Cracidae,Mitu mitu
277,Pauxi pauxi,SA,GALLIFORMES,Cracidae,Pauxi pauxi
278,Pauxi unicornis,SA,GALLIFORMES,Cracidae,Pauxi unicornis
279,Pauxi koepckeae,SA,GALLIFORMES,Cracidae,Pauxi koepckeae
280,Crax rubra,"MA, SA",GALLIFORMES,Cracidae,Crax rubra
281,Crax alberti,SA,GALLIFORMES,Cracidae,Crax alberti
282,Crax daubentoni,SA,GALLIFORMES,Cracidae,Crax daubentoni
283,Crax alector,SA,GALLIFORMES,Cracidae,Crax alector
284,Crax globulosa,SA,GALLIFORMES,Cracidae,Crax globulosa
285,Crax fasciolata,SA,GALLIFORMES,Cracidae,Crax fasciolata
286,Crax blumenbachii,SA,GALLIFORMES,Cracidae,Crax blumenbachii
287,Agelastes meleagrides,AF,GALLIFORMES,Numididae,Agelastes meleagrides
288,Agelastes niger,AF,GALLIFORMES,Numididae,Agelastes niger
289,Numida meleagris,AF,GALLIFORMES,Numididae,Numida meleagris
290,Guttera plumifera,AF,GALLIFORMES,Numididae,Guttera plumifera
291,Guttera verreauxi,AF,GALLIFORMES,Numididae,Guttera verreauxi
292,Guttera pucherani,AF,GALLIFORMES,Numididae,Guttera pucherani
293,Guttera edouardi,AF,GALLIFORMES,Numididae,Guttera edouardi
294,Acryllium vulturinum,AF,GALLIFORMES,Numididae,Acryllium vulturinum
295,Ptilopachus petrosus,AF,GALLIFORMES,Odontophoridae,Ptilopachus petrosus
296,Ptilopachus nahani,AF,GALLIFORMES,Odontophoridae,Ptilopachus nahani
297,Dendrortyx leucophrys,MA,GALLIFORMES,Odontophoridae,Dendrortyx leucophrys
298,Dendrortyx macroura,MA,GALLIFORMES,Odontophoridae,Dendrortyx macroura
299,Dendrortyx barbatus,MA,GALLIFORMES,Odontophoridae,Dendrortyx barbatus
300,Oreortyx pictus,"NA, MA",GALLIFORMES,Odontophoridae,Oreortyx pictus
301,Callipepla squamata,"NA, MA",GALLIFORMES,Odontophoridae,Callipepla squamata
302,Callipepla douglasii,MA,GALLIFORMES,Odontophoridae,Callipepla douglasii
303,Callipepla californica,"NA, MA",GALLIFORMES,Odontophoridae,Callipepla californica
304,Callipepla gambelii,"NA, MA",GALLIFORMES,Odontophoridae,Callipepla gambelii
305,Philortyx fasciatus,MA,GALLIFORMES,Odontophoridae,Philortyx fasciatus
306,Colinus virginianus,"NA, MA",GALLIFORMES,Odontophoridae,Colinus virginianus
307,Colinus nigrogularis,MA,GALLIFORMES,Odontophoridae,Colinus nigrogularis
308,Colinus leucopogon,MA,GALLIFORMES,Odontophoridae,Colinus leucopogon
309,Colinus cristatus,"MA, SA",GALLIFORMES,Odontophoridae,Colinus cristatus
310,Odontophorus gujanensis,"MA, SA",GALLIFORMES,Odontophoridae,Odontophorus gujanensis
311,Odontophorus capueira,SA,GALLIFORMES,Odontophoridae,Odontophorus capueira
312,Odontophorus melanotis,MA,GALLIFORMES,Odontophoridae,Odontophorus melanotis
313,Odontophorus erythrops,SA,GALLIFORMES,Odontophoridae,Odontophorus erythrops
314,Odontophorus atrifrons,SA,GALLIFORMES,Odontophoridae,Odontophorus atrifrons
315,Odontophorus hyperythrus,SA,GALLIFORMES,Odontophoridae,Odontophorus hyperythrus
316,Odontophorus melanonotus,SA,GALLIFORMES,Odontophoridae,Odontophorus melanonotus
317,Odontophorus speciosus,SA,GALLIFORMES,Odontophoridae,Odontophorus speciosus
318,Odontophorus dialeucos,"MA, SA",GALLIFORMES,Odontophoridae,Odontophorus dialeucos
319,Odontophorus strophium,SA,GALLIFORMES,Odontophoridae,Odontophorus strophium
320,Odontophorus columbianus,SA,GALLIFORMES,Odontophoridae,Odontophorus columbianus
321,Odontophorus leucolaemus,MA,GALLIFORMES,Odontophoridae,Odontophorus leucolaemus
322,Odontophorus balliviani,SA,GALLIFORMES,Odontophoridae,Odontophorus balliviani
323,Odontophorus stellatus,SA,GALLIFORMES,Odontophoridae,Odontophorus stellatus
324,Odontophorus guttatus,MA,GALLIFORMES,Odontophoridae,Odontophorus guttatus
325,Dactylortyx thoracicus,MA,GALLIFORMES,Odontophoridae,Dactylortyx thoracicus
326,Cyrtonyx montezumae,"NA, MA",GALLIFORMES,Odontophoridae,Cyrtonyx montezumae
327,Cyrtonyx ocellatus,MA,GALLIFORMES,Odontophoridae,Cyrtonyx ocellatus
328,Rhynchortyx cinctus,"MA, SA",GALLIFORMES,Odontophoridae,Rhynchortyx cinctus
