,IOC,Breeding Range,Order,Family,Scientific
4418,Automolus cervinigularis,MA,PASSERIFORMES,Furnariidae,Automolus cervinigularis
4419,Automolus ochrolaemus,"MA, SA",PASSERIFORMES,Furnariidae,Automolus ochrolaemus
4420,Automolus exsertus,MA,PASSERIFORMES,Furnariidae,Automolus exsertus
4421,Automolus subulatus,SA,PASSERIFORMES,Furnariidae,Automolus subulatus
4422,Automolus virgatus,"MA, SA",PASSERIFORMES,Furnariidae,Automolus virgatus
4423,Automolus infuscatus,SA,PASSERIFORMES,Furnariidae,Automolus infuscatus
4424,Automolus paraensis,SA,PASSERIFORMES,Furnariidae,Automolus paraensis
4425,Automolus lammi,SA,PASSERIFORMES,Furnariidae,Automolus lammi
4426,Automolus leucophthalmus,SA,PASSERIFORMES,Furnariidae,Automolus leucophthalmus
4427,Premnoplex brunnescens,"MA, SA",PASSERIFORMES,Furnariidae,Premnoplex brunnescens
4428,Premnoplex tatei,SA,PASSERIFORMES,Furnariidae,Premnoplex tatei
4429,Margarornis bellulus,MA,PASSERIFORMES,Furnariidae,Margarornis bellulus
4430,Margarornis rubiginosus,MA,PASSERIFORMES,Furnariidae,Margarornis rubiginosus
4431,Margarornis stellatus,SA,PASSERIFORMES,Furnariidae,Margarornis stellatus
4432,Margarornis squamiger,SA,PASSERIFORMES,Furnariidae,Margarornis squamiger
4433,Aphrastura spinicauda,SA,PASSERIFORMES,Furnariidae,Aphrastura spinicauda
4434,Aphrastura masafuerae,SA,PASSERIFORMES,Furnariidae,Aphrastura masafuerae
4435,Sylviorthorhynchus desmurii,SA,PASSERIFORMES,Furnariidae,Sylviorthorhynchus desmurii
4436,Sylviorthorhynchus yanacensis,SA,PASSERIFORMES,Furnariidae,Sylviorthorhynchus yanacensis
4437,Leptasthenura fuliginiceps,SA,PASSERIFORMES,Furnariidae,Leptasthenura fuliginiceps
4438,Leptasthenura platensis,SA,PASSERIFORMES,Furnariidae,Leptasthenura platensis
4439,Leptasthenura aegithaloides,SA,PASSERIFORMES,Furnariidae,Leptasthenura aegithaloides
4440,Leptasthenura striolata,SA,PASSERIFORMES,Furnariidae,Leptasthenura striolata
4441,Leptasthenura pileata,SA,PASSERIFORMES,Furnariidae,Leptasthenura pileata
4442,Leptasthenura xenothorax,SA,PASSERIFORMES,Furnariidae,Leptasthenura xenothorax
4443,Leptasthenura striata,SA,PASSERIFORMES,Furnariidae,Leptasthenura striata
4444,Leptasthenura andicola,SA,PASSERIFORMES,Furnariidae,Leptasthenura andicola
4445,Leptasthenura setaria,SA,PASSERIFORMES,Furnariidae,Leptasthenura setaria
4446,Phacellodomus rufifrons,SA,PASSERIFORMES,Furnariidae,Phacellodomus rufifrons
4447,Phacellodomus inornatus,SA,PASSERIFORMES,Furnariidae,Phacellodomus inornatus
4448,Phacellodomus striaticeps,SA,PASSERIFORMES,Furnariidae,Phacellodomus striaticeps
4449,Phacellodomus sibilatrix,SA,PASSERIFORMES,Furnariidae,Phacellodomus sibilatrix
4450,Phacellodomus dorsalis,SA,PASSERIFORMES,Furnariidae,Phacellodomus dorsalis
4451,Phacellodomus maculipectus,SA,PASSERIFORMES,Furnariidae,Phacellodomus maculipectus
4452,Phacellodomus striaticollis,SA,PASSERIFORMES,Furnariidae,Phacellodomus striaticollis
4453,Phacellodomus ruber,SA,PASSERIFORMES,Furnariidae,Phacellodomus ruber
4454,Phacellodomus erythrophthalmus,SA,PASSERIFORMES,Furnariidae,Phacellodomus erythrophthalmus
4455,Phacellodomus ferrugineigula,SA,PASSERIFORMES,Furnariidae,Phacellodomus ferrugineigula
4456,Hellmayrea gularis,SA,PASSERIFORMES,Furnariidae,Hellmayrea gularis
4457,Anumbius annumbi,SA,PASSERIFORMES,Furnariidae,Anumbius annumbi
4458,Coryphistera alaudina,SA,PASSERIFORMES,Furnariidae,Coryphistera alaudina
4459,Asthenes dorbignyi,SA,PASSERIFORMES,Furnariidae,Asthenes dorbignyi
4460,Asthenes arequipae,SA,PASSERIFORMES,Furnariidae,Asthenes arequipae
4461,Asthenes huancavelicae,SA,PASSERIFORMES,Furnariidae,Asthenes huancavelicae
4462,Asthenes berlepschi,SA,PASSERIFORMES,Furnariidae,Asthenes berlepschi
4463,Asthenes baeri,SA,PASSERIFORMES,Furnariidae,Asthenes baeri
4464,Asthenes luizae,SA,PASSERIFORMES,Furnariidae,Asthenes luizae
4465,Asthenes hudsoni,SA,PASSERIFORMES,Furnariidae,Asthenes hudsoni
4466,Asthenes anthoides,SA,PASSERIFORMES,Furnariidae,Asthenes anthoides
4467,Asthenes urubambensis,SA,PASSERIFORMES,Furnariidae,Asthenes urubambensis
4468,Asthenes flammulata,SA,PASSERIFORMES,Furnariidae,Asthenes flammulata
4469,Asthenes virgata,SA,PASSERIFORMES,Furnariidae,Asthenes virgata
4470,Asthenes maculicauda,SA,PASSERIFORMES,Furnariidae,Asthenes maculicauda
4471,Asthenes wyatti,SA,PASSERIFORMES,Furnariidae,Asthenes wyatti
4472,Asthenes humilis,SA,PASSERIFORMES,Furnariidae,Asthenes humilis
4473,Asthenes modesta,SA,PASSERIFORMES,Furnariidae,Asthenes modesta
4474,Asthenes moreirae,SA,PASSERIFORMES,Furnariidae,Asthenes moreirae
4475,Asthenes pyrrholeuca,SA,PASSERIFORMES,Furnariidae,Asthenes pyrrholeuca
4476,Asthenes harterti,SA,PASSERIFORMES,Furnariidae,Asthenes harterti
4477,Asthenes helleri,SA,PASSERIFORMES,Furnariidae,Asthenes helleri
4478,Asthenes vilcabambae,SA,PASSERIFORMES,Furnariidae,Asthenes vilcabambae
4479,Asthenes ayacuchensis,SA,PASSERIFORMES,Furnariidae,Asthenes ayacuchensis
4480,Asthenes pudibunda,SA,PASSERIFORMES,Furnariidae,Asthenes pudibunda
4481,Asthenes ottonis,SA,PASSERIFORMES,Furnariidae,Asthenes ottonis
4482,Asthenes heterura,SA,PASSERIFORMES,Furnariidae,Asthenes heterura
4483,Asthenes palpebralis,SA,PASSERIFORMES,Furnariidae,Asthenes palpebralis
4484,Asthenes coryi,SA,PASSERIFORMES,Furnariidae,Asthenes coryi
4485,Asthenes perijana,SA,PASSERIFORMES,Furnariidae,Asthenes perijana
4486,Asthenes fuliginosa,SA,PASSERIFORMES,Furnariidae,Asthenes fuliginosa
4487,Asthenes griseomurina,SA,PASSERIFORMES,Furnariidae,Asthenes griseomurina
4488,Acrobatornis fonsecai,SA,PASSERIFORMES,Furnariidae,Acrobatornis fonsecai
4489,Metopothrix aurantiaca,SA,PASSERIFORMES,Furnariidae,Metopothrix aurantiaca
4490,Xenerpestes minlosi,"MA, SA",PASSERIFORMES,Furnariidae,Xenerpestes minlosi
4491,Xenerpestes singularis,SA,PASSERIFORMES,Furnariidae,Xenerpestes singularis
4492,Siptornis striaticollis,SA,PASSERIFORMES,Furnariidae,Siptornis striaticollis
4493,Roraimia adusta,SA,PASSERIFORMES,Furnariidae,Roraimia adusta
4494,Thripophaga gutturata,SA,PASSERIFORMES,Furnariidae,Thripophaga gutturata
4495,Thripophaga macroura,SA,PASSERIFORMES,Furnariidae,Thripophaga macroura
4496,Thripophaga cherriei,SA,PASSERIFORMES,Furnariidae,Thripophaga cherriei
4497,Thripophaga amacurensis,SA,PASSERIFORMES,Furnariidae,Thripophaga amacurensis
4498,Thripophaga fusciceps,SA,PASSERIFORMES,Furnariidae,Thripophaga fusciceps
4499,Limnoctites rectirostris,SA,PASSERIFORMES,Furnariidae,Limnoctites rectirostris
4500,Limnoctites sulphuriferus,SA,PASSERIFORMES,Furnariidae,Limnoctites sulphuriferus
4501,Cranioleuca berlepschi,SA,PASSERIFORMES,Furnariidae,Cranioleuca berlepschi
4502,Cranioleuca weskei,SA,PASSERIFORMES,Furnariidae,Cranioleuca weskei
4503,Cranioleuca marcapatae,SA,PASSERIFORMES,Furnariidae,Cranioleuca marcapatae
4504,Cranioleuca albiceps,SA,PASSERIFORMES,Furnariidae,Cranioleuca albiceps
4505,Cranioleuca vulpina,SA,PASSERIFORMES,Furnariidae,Cranioleuca vulpina
4506,Cranioleuca dissita,MA,PASSERIFORMES,Furnariidae,Cranioleuca dissita
4507,Cranioleuca vulpecula,SA,PASSERIFORMES,Furnariidae,Cranioleuca vulpecula
4508,Cranioleuca subcristata,SA,PASSERIFORMES,Furnariidae,Cranioleuca subcristata
4509,Cranioleuca pyrrhophia,SA,PASSERIFORMES,Furnariidae,Cranioleuca pyrrhophia
4510,Cranioleuca henricae,SA,PASSERIFORMES,Furnariidae,Cranioleuca henricae
4511,Cranioleuca obsoleta,SA,PASSERIFORMES,Furnariidae,Cranioleuca obsoleta
4512,Cranioleuca pallida,SA,PASSERIFORMES,Furnariidae,Cranioleuca pallida
4513,Cranioleuca semicinerea,SA,PASSERIFORMES,Furnariidae,Cranioleuca semicinerea
4514,Cranioleuca albicapilla,SA,PASSERIFORMES,Furnariidae,Cranioleuca albicapilla
4515,Cranioleuca erythrops,"MA, SA",PASSERIFORMES,Furnariidae,Cranioleuca erythrops
4516,Cranioleuca demissa,SA,PASSERIFORMES,Furnariidae,Cranioleuca demissa
4517,Cranioleuca hellmayri,SA,PASSERIFORMES,Furnariidae,Cranioleuca hellmayri
4518,Cranioleuca curtata,SA,PASSERIFORMES,Furnariidae,Cranioleuca curtata
4519,Cranioleuca antisiensis,SA,PASSERIFORMES,Furnariidae,Cranioleuca antisiensis
4520,Cranioleuca muelleri,SA,PASSERIFORMES,Furnariidae,Cranioleuca muelleri
4521,Pseudasthenes humicola,SA,PASSERIFORMES,Furnariidae,Pseudasthenes humicola
4522,Pseudasthenes patagonica,SA,PASSERIFORMES,Furnariidae,Pseudasthenes patagonica
4523,Pseudasthenes steinbachi,SA,PASSERIFORMES,Furnariidae,Pseudasthenes steinbachi
4524,Pseudasthenes cactorum,SA,PASSERIFORMES,Furnariidae,Pseudasthenes cactorum
4525,Spartonoica maluroides,SA,PASSERIFORMES,Furnariidae,Spartonoica maluroides
4526,Pseudoseisura cristata,SA,PASSERIFORMES,Furnariidae,Pseudoseisura cristata
4527,Pseudoseisura unirufa,SA,PASSERIFORMES,Furnariidae,Pseudoseisura unirufa
4528,Pseudoseisura lophotes,SA,PASSERIFORMES,Furnariidae,Pseudoseisura lophotes
4529,Pseudoseisura gutturalis,SA,PASSERIFORMES,Furnariidae,Pseudoseisura gutturalis
4530,Certhiaxis cinnamomeus,SA,PASSERIFORMES,Furnariidae,Certhiaxis cinnamomeus
4531,Certhiaxis mustelinus,SA,PASSERIFORMES,Furnariidae,Certhiaxis mustelinus
4532,Mazaria propinqua,SA,PASSERIFORMES,Furnariidae,Mazaria propinqua
4533,Schoeniophylax phryganophilus,SA,PASSERIFORMES,Furnariidae,Schoeniophylax phryganophilus
4534,Synallaxis scutata,SA,PASSERIFORMES,Furnariidae,Synallaxis scutata
4535,Synallaxis cinerascens,SA,PASSERIFORMES,Furnariidae,Synallaxis cinerascens
4536,Synallaxis gujanensis,SA,PASSERIFORMES,Furnariidae,Synallaxis gujanensis
4537,Synallaxis simoni,SA,PASSERIFORMES,Furnariidae,Synallaxis simoni
4538,Synallaxis albilora,SA,PASSERIFORMES,Furnariidae,Synallaxis albilora
4539,Synallaxis maranonica,SA,PASSERIFORMES,Furnariidae,Synallaxis maranonica
4540,Synallaxis hypochondriaca,SA,PASSERIFORMES,Furnariidae,Synallaxis hypochondriaca
4541,Synallaxis chinchipensis,SA,PASSERIFORMES,Furnariidae,Synallaxis chinchipensis
4542,Synallaxis stictothorax,SA,PASSERIFORMES,Furnariidae,Synallaxis stictothorax
4543,Synallaxis zimmeri,SA,PASSERIFORMES,Furnariidae,Synallaxis zimmeri
4544,Synallaxis brachyura,"MA, SA",PASSERIFORMES,Furnariidae,Synallaxis brachyura
4545,Synallaxis subpudica,SA,PASSERIFORMES,Furnariidae,Synallaxis subpudica
4546,Synallaxis hellmayri,SA,PASSERIFORMES,Furnariidae,Synallaxis hellmayri
4547,Synallaxis ruficapilla,SA,PASSERIFORMES,Furnariidae,Synallaxis ruficapilla
4548,Synallaxis cinerea,SA,PASSERIFORMES,Furnariidae,Synallaxis cinerea
4549,Synallaxis infuscata,SA,PASSERIFORMES,Furnariidae,Synallaxis infuscata
4550,Synallaxis moesta,SA,PASSERIFORMES,Furnariidae,Synallaxis moesta
4551,Synallaxis macconnelli,SA,PASSERIFORMES,Furnariidae,Synallaxis macconnelli
4552,Synallaxis cabanisi,SA,PASSERIFORMES,Furnariidae,Synallaxis cabanisi
4553,Synallaxis hypospodia,SA,PASSERIFORMES,Furnariidae,Synallaxis hypospodia
4554,Synallaxis spixi,SA,PASSERIFORMES,Furnariidae,Synallaxis spixi
4555,Synallaxis albigularis,SA,PASSERIFORMES,Furnariidae,Synallaxis albigularis
4556,Synallaxis beverlyae,SA,PASSERIFORMES,Furnariidae,Synallaxis beverlyae
4557,Synallaxis albescens,"MA, SA",PASSERIFORMES,Furnariidae,Synallaxis albescens
4558,Synallaxis frontalis,SA,PASSERIFORMES,Furnariidae,Synallaxis frontalis
4559,Synallaxis azarae,SA,PASSERIFORMES,Furnariidae,Synallaxis azarae
4560,Synallaxis courseni,SA,PASSERIFORMES,Furnariidae,Synallaxis courseni
4561,Synallaxis candei,SA,PASSERIFORMES,Furnariidae,Synallaxis candei
4562,Synallaxis erythrothorax,MA,PASSERIFORMES,Furnariidae,Synallaxis erythrothorax
4563,Synallaxis kollari,SA,PASSERIFORMES,Furnariidae,Synallaxis kollari
4564,Synallaxis tithys,SA,PASSERIFORMES,Furnariidae,Synallaxis tithys
4565,Synallaxis fuscorufa,SA,PASSERIFORMES,Furnariidae,Synallaxis fuscorufa
4566,Synallaxis unirufa,SA,PASSERIFORMES,Furnariidae,Synallaxis unirufa
4567,Synallaxis castanea,SA,PASSERIFORMES,Furnariidae,Synallaxis castanea
4568,Synallaxis cinnamomea,SA,PASSERIFORMES,Furnariidae,Synallaxis cinnamomea
4569,Synallaxis rutilans,SA,PASSERIFORMES,Furnariidae,Synallaxis rutilans
4570,Synallaxis cherriei,SA,PASSERIFORMES,Furnariidae,Synallaxis cherriei
4571,Euchrepomis callinota,"MA, SA",PASSERIFORMES,Thamnophilidae,Euchrepomis callinota
4572,Euchrepomis humeralis,SA,PASSERIFORMES,Thamnophilidae,Euchrepomis humeralis
4573,Euchrepomis sharpei,SA,PASSERIFORMES,Thamnophilidae,Euchrepomis sharpei
4574,Euchrepomis spodioptila,SA,PASSERIFORMES,Thamnophilidae,Euchrepomis spodioptila
4575,Myrmornis torquata,"MA, SA",PASSERIFORMES,Thamnophilidae,Myrmornis torquata
4576,Pygiptila stellaris,SA,PASSERIFORMES,Thamnophilidae,Pygiptila stellaris
4577,Thamnistes anabatinus,"MA, SA",PASSERIFORMES,Thamnophilidae,Thamnistes anabatinus
4578,Thamnistes rufescens,SA,PASSERIFORMES,Thamnophilidae,Thamnistes rufescens
4579,Microrhopias quixensis,"MA, SA",PASSERIFORMES,Thamnophilidae,Microrhopias quixensis
4580,Neoctantes niger,SA,PASSERIFORMES,Thamnophilidae,Neoctantes niger
4581,Clytoctantes alixii,SA,PASSERIFORMES,Thamnophilidae,Clytoctantes alixii
4582,Clytoctantes atrogularis,SA,PASSERIFORMES,Thamnophilidae,Clytoctantes atrogularis
4583,Epinecrophylla fulviventris,"MA, SA",PASSERIFORMES,Thamnophilidae,Epinecrophylla fulviventris
4584,Epinecrophylla ornata,SA,PASSERIFORMES,Thamnophilidae,Epinecrophylla ornata
4585,Epinecrophylla erythrura,SA,PASSERIFORMES,Thamnophilidae,Epinecrophylla erythrura
4586,Epinecrophylla leucophthalma,SA,PASSERIFORMES,Thamnophilidae,Epinecrophylla leucophthalma
4587,Epinecrophylla gutturalis,SA,PASSERIFORMES,Thamnophilidae,Epinecrophylla gutturalis
4588,Epinecrophylla haematonota,SA,PASSERIFORMES,Thamnophilidae,Epinecrophylla haematonota
4589,Epinecrophylla spodionota,SA,PASSERIFORMES,Thamnophilidae,Epinecrophylla spodionota
4590,Epinecrophylla amazonica,SA,PASSERIFORMES,Thamnophilidae,Epinecrophylla amazonica
4591,Myrmorchilus strigilatus,SA,PASSERIFORMES,Thamnophilidae,Myrmorchilus strigilatus
4592,Aprositornis disjuncta,SA,PASSERIFORMES,Thamnophilidae,Aprositornis disjuncta
4593,Ammonastes pelzelni,SA,PASSERIFORMES,Thamnophilidae,Ammonastes pelzelni
4594,Myrmophylax atrothorax,SA,PASSERIFORMES,Thamnophilidae,Myrmophylax atrothorax
4595,Myrmotherula ignota,"MA, SA",PASSERIFORMES,Thamnophilidae,Myrmotherula ignota
4596,Myrmotherula brachyura,SA,PASSERIFORMES,Thamnophilidae,Myrmotherula brachyura
4597,Myrmotherula surinamensis,SA,PASSERIFORMES,Thamnophilidae,Myrmotherula surinamensis
4598,Myrmotherula multostriata,SA,PASSERIFORMES,Thamnophilidae,Myrmotherula multostriata
4599,Myrmotherula pacifica,"MA, SA",PASSERIFORMES,Thamnophilidae,Myrmotherula pacifica
4600,Myrmotherula cherriei,SA,PASSERIFORMES,Thamnophilidae,Myrmotherula cherriei
4601,Myrmotherula klagesi,SA,PASSERIFORMES,Thamnophilidae,Myrmotherula klagesi
4602,Myrmotherula longicauda,SA,PASSERIFORMES,Thamnophilidae,Myrmotherula longicauda
4603,Myrmotherula ambigua,SA,PASSERIFORMES,Thamnophilidae,Myrmotherula ambigua
4604,Myrmotherula sclateri,SA,PASSERIFORMES,Thamnophilidae,Myrmotherula sclateri
4605,Myrmotherula axillaris,"MA, SA",PASSERIFORMES,Thamnophilidae,Myrmotherula axillaris
4606,Myrmotherula luctuosa,SA,PASSERIFORMES,Thamnophilidae,Myrmotherula luctuosa
4607,Myrmotherula schisticolor,"MA, SA",PASSERIFORMES,Thamnophilidae,Myrmotherula schisticolor
4608,Myrmotherula sunensis,SA,PASSERIFORMES,Thamnophilidae,Myrmotherula sunensis
4609,Myrmotherula minor,SA,PASSERIFORMES,Thamnophilidae,Myrmotherula minor
4610,Myrmotherula longipennis,SA,PASSERIFORMES,Thamnophilidae,Myrmotherula longipennis
4611,Myrmotherula urosticta,SA,PASSERIFORMES,Thamnophilidae,Myrmotherula urosticta
4612,Myrmotherula iheringi,SA,PASSERIFORMES,Thamnophilidae,Myrmotherula iheringi
4613,Myrmotherula fluminensis,SA,PASSERIFORMES,Thamnophilidae,Myrmotherula fluminensis
4614,Myrmotherula grisea,SA,PASSERIFORMES,Thamnophilidae,Myrmotherula grisea
4615,Myrmotherula unicolor,SA,PASSERIFORMES,Thamnophilidae,Myrmotherula unicolor
4616,Myrmotherula snowi,SA,PASSERIFORMES,Thamnophilidae,Myrmotherula snowi
4617,Myrmotherula behni,SA,PASSERIFORMES,Thamnophilidae,Myrmotherula behni
4618,Myrmotherula menetriesii,SA,PASSERIFORMES,Thamnophilidae,Myrmotherula menetriesii
4619,Myrmotherula assimilis,SA,PASSERIFORMES,Thamnophilidae,Myrmotherula assimilis
4620,Terenura maculata,SA,PASSERIFORMES,Thamnophilidae,Terenura maculata
4621,Terenura sicki,SA,PASSERIFORMES,Thamnophilidae,Terenura sicki
4622,Myrmochanes hemileucus,SA,PASSERIFORMES,Thamnophilidae,Myrmochanes hemileucus
4623,Formicivora iheringi,SA,PASSERIFORMES,Thamnophilidae,Formicivora iheringi
4624,Formicivora erythronotos,SA,PASSERIFORMES,Thamnophilidae,Formicivora erythronotos
4625,Formicivora grisea,SA,PASSERIFORMES,Thamnophilidae,Formicivora grisea
4626,Formicivora intermedia,SA,PASSERIFORMES,Thamnophilidae,Formicivora intermedia
4627,Formicivora serrana,SA,PASSERIFORMES,Thamnophilidae,Formicivora serrana
4628,Formicivora melanogaster,SA,PASSERIFORMES,Thamnophilidae,Formicivora melanogaster
4629,Formicivora rufa,SA,PASSERIFORMES,Thamnophilidae,Formicivora rufa
4630,Formicivora grantsaui,SA,PASSERIFORMES,Thamnophilidae,Formicivora grantsaui
4631,Formicivora acutirostris,SA,PASSERIFORMES,Thamnophilidae,Formicivora acutirostris
4632,Dichrozona cincta,SA,PASSERIFORMES,Thamnophilidae,Dichrozona cincta
4633,Rhopias gularis,SA,PASSERIFORMES,Thamnophilidae,Rhopias gularis
4634,Isleria hauxwelli,SA,PASSERIFORMES,Thamnophilidae,Isleria hauxwelli
4635,Isleria guttata,SA,PASSERIFORMES,Thamnophilidae,Isleria guttata
4636,Thamnomanes ardesiacus,SA,PASSERIFORMES,Thamnophilidae,Thamnomanes ardesiacus
4637,Thamnomanes saturninus,SA,PASSERIFORMES,Thamnophilidae,Thamnomanes saturninus
4638,Thamnomanes caesius,SA,PASSERIFORMES,Thamnophilidae,Thamnomanes caesius
4639,Thamnomanes schistogynus,SA,PASSERIFORMES,Thamnophilidae,Thamnomanes schistogynus
4640,Megastictus margaritatus,SA,PASSERIFORMES,Thamnophilidae,Megastictus margaritatus
4641,Sakesphoroides cristatus,SA,PASSERIFORMES,Thamnophilidae,Sakesphoroides cristatus
4642,Herpsilochmus pileatus,SA,PASSERIFORMES,Thamnophilidae,Herpsilochmus pileatus
4643,Herpsilochmus atricapillus,SA,PASSERIFORMES,Thamnophilidae,Herpsilochmus atricapillus
4644,Herpsilochmus stotzi,SA,PASSERIFORMES,Thamnophilidae,Herpsilochmus stotzi
4645,Herpsilochmus praedictus,SA,PASSERIFORMES,Thamnophilidae,Herpsilochmus praedictus
4646,Herpsilochmus motacilloides,SA,PASSERIFORMES,Thamnophilidae,Herpsilochmus motacilloides
4647,Herpsilochmus parkeri,SA,PASSERIFORMES,Thamnophilidae,Herpsilochmus parkeri
4648,Herpsilochmus sticturus,SA,PASSERIFORMES,Thamnophilidae,Herpsilochmus sticturus
4649,Herpsilochmus dugandi,SA,PASSERIFORMES,Thamnophilidae,Herpsilochmus dugandi
4650,Herpsilochmus stictocephalus,SA,PASSERIFORMES,Thamnophilidae,Herpsilochmus stictocephalus
4651,Herpsilochmus dorsimaculatus,SA,PASSERIFORMES,Thamnophilidae,Herpsilochmus dorsimaculatus
4652,Herpsilochmus roraimae,SA,PASSERIFORMES,Thamnophilidae,Herpsilochmus roraimae
4653,Herpsilochmus pectoralis,SA,PASSERIFORMES,Thamnophilidae,Herpsilochmus pectoralis
4654,Herpsilochmus longirostris,SA,PASSERIFORMES,Thamnophilidae,Herpsilochmus longirostris
4655,Herpsilochmus gentryi,SA,PASSERIFORMES,Thamnophilidae,Herpsilochmus gentryi
4656,Herpsilochmus axillaris,SA,PASSERIFORMES,Thamnophilidae,Herpsilochmus axillaris
4657,Herpsilochmus frater,"MA, SA",PASSERIFORMES,Thamnophilidae,Herpsilochmus frater
4658,Herpsilochmus rufimarginatus,SA,PASSERIFORMES,Thamnophilidae,Herpsilochmus rufimarginatus
4659,Dysithamnus stictothorax,SA,PASSERIFORMES,Thamnophilidae,Dysithamnus stictothorax
4660,Dysithamnus mentalis,"MA, SA",PASSERIFORMES,Thamnophilidae,Dysithamnus mentalis
4661,Dysithamnus striaticeps,MA,PASSERIFORMES,Thamnophilidae,Dysithamnus striaticeps
4662,Dysithamnus puncticeps,"MA, SA",PASSERIFORMES,Thamnophilidae,Dysithamnus puncticeps
4663,Dysithamnus xanthopterus,SA,PASSERIFORMES,Thamnophilidae,Dysithamnus xanthopterus
4664,Dysithamnus occidentalis,SA,PASSERIFORMES,Thamnophilidae,Dysithamnus occidentalis
4665,Dysithamnus plumbeus,SA,PASSERIFORMES,Thamnophilidae,Dysithamnus plumbeus
4666,Dysithamnus leucostictus,SA,PASSERIFORMES,Thamnophilidae,Dysithamnus leucostictus
4667,Thamnophilus bernardi,SA,PASSERIFORMES,Thamnophilidae,Thamnophilus bernardi
4668,Thamnophilus melanonotus,SA,PASSERIFORMES,Thamnophilidae,Thamnophilus melanonotus
4669,Thamnophilus melanothorax,SA,PASSERIFORMES,Thamnophilidae,Thamnophilus melanothorax
4670,Thamnophilus doliatus,"MA, SA",PASSERIFORMES,Thamnophilidae,Thamnophilus doliatus
4671,Thamnophilus zarumae,SA,PASSERIFORMES,Thamnophilidae,Thamnophilus zarumae
4672,Thamnophilus multistriatus,SA,PASSERIFORMES,Thamnophilidae,Thamnophilus multistriatus
4673,Thamnophilus tenuepunctatus,SA,PASSERIFORMES,Thamnophilidae,Thamnophilus tenuepunctatus
4674,Thamnophilus palliatus,SA,PASSERIFORMES,Thamnophilidae,Thamnophilus palliatus
4675,Thamnophilus bridgesi,MA,PASSERIFORMES,Thamnophilidae,Thamnophilus bridgesi
4676,Thamnophilus nigriceps,"MA, SA",PASSERIFORMES,Thamnophilidae,Thamnophilus nigriceps
4677,Thamnophilus praecox,SA,PASSERIFORMES,Thamnophilidae,Thamnophilus praecox
4678,Thamnophilus nigrocinereus,SA,PASSERIFORMES,Thamnophilidae,Thamnophilus nigrocinereus
4679,Thamnophilus cryptoleucus,SA,PASSERIFORMES,Thamnophilidae,Thamnophilus cryptoleucus
4680,Thamnophilus aethiops,SA,PASSERIFORMES,Thamnophilidae,Thamnophilus aethiops
4681,Thamnophilus unicolor,SA,PASSERIFORMES,Thamnophilidae,Thamnophilus unicolor
4682,Thamnophilus schistaceus,SA,PASSERIFORMES,Thamnophilidae,Thamnophilus schistaceus
4683,Thamnophilus murinus,SA,PASSERIFORMES,Thamnophilidae,Thamnophilus murinus
4684,Thamnophilus aroyae,SA,PASSERIFORMES,Thamnophilidae,Thamnophilus aroyae
4685,Thamnophilus atrinucha,"MA, SA",PASSERIFORMES,Thamnophilidae,Thamnophilus atrinucha
4686,Thamnophilus punctatus,SA,PASSERIFORMES,Thamnophilidae,Thamnophilus punctatus
4687,Thamnophilus stictocephalus,SA,PASSERIFORMES,Thamnophilidae,Thamnophilus stictocephalus
4688,Thamnophilus sticturus,SA,PASSERIFORMES,Thamnophilidae,Thamnophilus sticturus
4689,Thamnophilus pelzelni,SA,PASSERIFORMES,Thamnophilidae,Thamnophilus pelzelni
4690,Thamnophilus ambiguus,SA,PASSERIFORMES,Thamnophilidae,Thamnophilus ambiguus
4691,Thamnophilus amazonicus,SA,PASSERIFORMES,Thamnophilidae,Thamnophilus amazonicus
4692,Thamnophilus divisorius,SA,PASSERIFORMES,Thamnophilidae,Thamnophilus divisorius
4693,Thamnophilus insignis,SA,PASSERIFORMES,Thamnophilidae,Thamnophilus insignis
4694,Thamnophilus caerulescens,SA,PASSERIFORMES,Thamnophilidae,Thamnophilus caerulescens
4695,Thamnophilus torquatus,SA,PASSERIFORMES,Thamnophilidae,Thamnophilus torquatus
4696,Thamnophilus ruficapillus,SA,PASSERIFORMES,Thamnophilidae,Thamnophilus ruficapillus
4697,Sakesphorus canadensis,SA,PASSERIFORMES,Thamnophilidae,Sakesphorus canadensis
4698,Sakesphorus luctuosus,SA,PASSERIFORMES,Thamnophilidae,Sakesphorus luctuosus
4699,Radinopsyche sellowi,SA,PASSERIFORMES,Thamnophilidae,Radinopsyche sellowi
4700,Biatas nigropectus,SA,PASSERIFORMES,Thamnophilidae,Biatas nigropectus
4701,Cymbilaimus lineatus,"MA, SA",PASSERIFORMES,Thamnophilidae,Cymbilaimus lineatus
4702,Cymbilaimus sanctaemariae,SA,PASSERIFORMES,Thamnophilidae,Cymbilaimus sanctaemariae
4703,Taraba major,"MA, SA",PASSERIFORMES,Thamnophilidae,Taraba major
4704,Mackenziaena leachii,SA,PASSERIFORMES,Thamnophilidae,Mackenziaena leachii
4705,Mackenziaena severa,SA,PASSERIFORMES,Thamnophilidae,Mackenziaena severa
4706,Frederickena viridis,SA,PASSERIFORMES,Thamnophilidae,Frederickena viridis
4707,Frederickena unduliger,SA,PASSERIFORMES,Thamnophilidae,Frederickena unduliger
4708,Frederickena fulva,SA,PASSERIFORMES,Thamnophilidae,Frederickena fulva
